assignment_id,resource_id,project_id,revision_number,effective_start_date,effective_end_date,planned_allocation_pct,submitted_date,approval_status
ASG00022,R0016,PRJ1490,1,2024-02-25,2024-04-30,55,2024-02-25,approved
ASG00023,R0016,PRJ1439,1,2024-03-12,2024-04-25,41,2024-03-12,approved
ASG00023,R0016,PRJ1439,2,2024-04-26,2024-04-30,40,2024-04-26,approved
ASG00024,R0016,PRJ1874,1,2024-02-27,2024-04-30,19,2024-02-27,approved
ASG00024,R0016,PRJ1874,2,2024-04-20,2024-04-30,20,2024-04-21,approved
ASG00025,R0017,PRJ1236,1,2024-01-21,2024-03-09,80,2024-01-21,approved
ASG00026,R0018,PRJ2687,1,2024-02-27,2024-04-15,44,2024-02-27,approved
ASG00026,R0018,PRJ2687,2,2024-03-08,2024-04-15,40,2024-03-11,approved
ASG00027,R0019,PRJ2636,1,2024-01-13,2024-04-30,50,2024-01-13,approved
ASG00028,R0020,PRJ1837,1,2024-01-23,2024-04-22,44,2024-01-23,approved
ASG00029,R0020,PRJ1950,1,2024-01-30,2024-04-30,63,2024-01-30,approved
ASG00030,R0020,PRJ0033,1,2024-01-13,2024-04-30,10,2024-01-13,approved
ASG00031,R0021,PRJ2775,1,2024-02-19,2024-04-22,67,2024-02-19,approved
ASG00031,R0021,PRJ2775,2,2024-04-23,2024-04-30,42,2024-04-23,approved
ASG00032,R0021,PRJ2591,1,2024-02-07,2024-04-30,77,2024-02-07,approved
ASG00032,R0021,PRJ2591,2,2024-04-07,2024-04-30,47,2024-04-08,rejected
ASG00033,R0022,PRJ2120,1,2024-02-22,2024-04-30,85,2024-02-22,approved
ASG00033,R0022,PRJ2120,2,2024-03-11,2024-04-30,90,2024-03-14,approved
ASG00034,R0023,PRJ1408,1,2024-01-15,2024-04-30,45,2024-01-15,approved
ASG00035,R0024,PRJ1065,1,2024-02-19,2024-04-14,84,2024-02-19,approved
ASG00036,R0024,PRJ1093,1,2024-01-02,2024-04-09,15,2024-01-02,approved
ASG00037,R0025,PRJ1176,1,2024-03-07,2024-04-30,61,2024-03-07,approved
ASG00038,R0026,PRJ1466,1,2024-01-28,2024-04-26,84,2024-01-28,approved
ASG00038,R0026,PRJ1466,2,2024-04-27,2024-04-30,90,2024-04-27,approved
ASG00039,R0027,PRJ2426,1,2024-01-09,2024-04-30,67,2024-01-09,approved
ASG00039,R0027,PRJ2426,2,2024-04-11,2024-04-30,40,2024-04-12,approved
ASG00040,R0028,PRJ3213,1,2024-01-31,2024-04-30,67,2024-01-31,approved
ASG00040,R0028,PRJ3213,2,2024-03-17,2024-04-30,47,2024-03-19,approved
ASG00041,R0028,PRJ3469,1,2024-02-17,2024-04-30,7,2024-02-17,approved
ASG00042,R0029,PRJ1810,1,2024-01-26,2024-03-11,60,2024-01-26,approved
ASG00043,R0030,PRJ1297,1,2024-01-29,2024-04-30,61,2024-01-29,approved
ASG00044,R0031,PRJ2813,1,2024-01-10,2024-04-17,81,2024-01-10,approved
ASG00045,R0031,PRJ2456,1,2024-01-24,2024-04-12,59,2024-01-24,approved
ASG00046,R0032,PRJ1448,1,2024-01-10,2024-04-16,88,2024-01-10,approved
ASG00046,R0032,PRJ1448,2,2024-04-17,2024-04-30,73,2024-04-17,approved
ASG00047,R0032,PRJ0041,1,2024-02-13,2024-04-30,13,2024-02-13,approved
ASG00047,R0032,PRJ0041,2,2024-04-07,2024-04-30,5,2024-04-09,approved
ASG00048,R0033,PRJ1744,1,2024-02-03,2024-04-06,67,2024-02-03,approved
ASG00048,R0033,PRJ1744,2,2024-03-09,2024-04-06,87,2024-03-11,approved
ASG00049,R0034,PRJ3453,1,2024-02-25,2024-04-30,61,2024-02-25,approved
ASG00050,R0034,PRJ3998,1,2024-02-07,2024-04-19,69,2024-02-07,approved
ASG00051,R0035,PRJ3738,1,2024-02-08,2024-04-30,81,2024-02-08,approved
ASG00052,R0036,PRJ1430,1,2024-03-13,2024-04-22,54,2024-03-13,approved
ASG00053,R0036,PRJ1567,1,2024-02-22,2024-04-19,74,2024-02-22,approved
ASG00053,R0036,PRJ1567,2,2024-04-20,2024-04-30,90,2024-04-20,approved
ASG00054,R0036,PRJ1129,1,2024-02-20,2024-04-30,10,2024-02-20,approved
ASG00054,R0036,PRJ1129,2,2024-04-17,2024-04-30,5,2024-04-19,rejected
ASG00055,R0037,PRJ3464,1,2024-01-22,2024-04-30,81,2024-01-22,approved
ASG00055,R0037,PRJ3464,2,2024-03-18,2024-04-30,56,2024-03-21,rejected
ASG00056,R0038,PRJ1468,1,2024-01-25,2024-04-30,40,2024-01-25,approved
ASG00057,R0038,PRJ1752,1,2024-03-03,2024-04-30,72,2024-03-03,approved
ASG00058,R0039,PRJ3099,1,2024-03-12,2024-04-30,55,2024-03-12,approved
ASG00059,R0039,PRJ3939,1,2024-02-10,2024-04-30,68,2024-02-10,approved
ASG00060,R0040,PRJ1235,1,2024-01-18,2024-04-17,68,2024-01-18,approved
ASG00060,R0040,PRJ1235,2,2024-04-18,2024-04-30,43,2024-04-18,approved
ASG00061,R0040,PRJ1340,1,2024-01-01,2024-04-15,18,2024-01-01,approved
ASG00061,R0040,PRJ1340,2,2024-04-13,2024-04-15,20,2024-04-15,approved
ASG00062,R0041,PRJ2875,1,2024-01-23,2024-03-13,61,2024-01-23,approved
ASG00063,R0042,PRJ1358,1,2024-01-30,2024-04-30,79,2024-01-30,approved
ASG00063,R0042,PRJ1358,2,2024-02-21,2024-04-30,90,2024-02-22,rejected
ASG00064,R0043,PRJ1016,1,2024-02-26,2024-04-30,63,2024-02-26,approved
ASG00065,R0043,PRJ1106,1,2024-01-31,2024-04-30,78,2024-01-31,approved
ASG00066,R0044,PRJ1990,1,2024-01-02,2024-04-30,71,2024-01-02,approved
ASG00067,R0044,PRJ1488,1,2024-02-20,2024-04-12,79,2024-02-20,approved
ASG00068,R0044,PRJ1710,1,2024-03-14,2024-04-05,19,2024-03-14,approved
ASG00068,R0044,PRJ1710,2,2024-04-06,2024-04-24,5,2024-04-06,approved
ASG00069,R0045,PRJ1162,1,2024-03-13,2024-04-16,43,2024-03-13,approved
ASG00069,R0045,PRJ1162,2,2024-04-11,2024-04-16,40,2024-04-14,approved
ASG00070,R0046,PRJ3549,1,2024-03-07,2024-04-30,41,2024-03-07,approved
ASG00070,R0046,PRJ3549,2,2024-03-18,2024-04-30,61,2024-03-20,approved
ASG00071,R0046,PRJ3055,1,2024-01-27,2024-04-30,82,2024-01-27,approved
ASG00072,R0047,PRJ1656,1,2024-02-12,2024-04-30,65,2024-02-12,approved
ASG00073,R0047,PRJ1344,1,2024-01-04,2024-04-30,65,2024-01-04,approved
ASG00074,R0048,PRJ3998,1,2024-02-26,2024-04-30,58,2024-02-26,approved
ASG00075,R0048,PRJ3627,1,2024-01-17,2024-04-22,17,2024-01-17,approved
ASG00075,R0048,PRJ3627,2,2024-04-23,2024-04-30,5,2024-04-23,approved
ASG00076,R0049,PRJ1399,1,2024-01-12,2024-04-30,54,2024-01-12,approved
ASG00076,R0049,PRJ1399,2,2024-04-15,2024-04-30,40,2024-04-18,rejected
ASG00077,R0050,PRJ1878,1,2024-02-03,2024-04-30,45,2024-02-03,approved
ASG00077,R0050,PRJ1878,2,2024-02-15,2024-04-30,40,2024-02-18,approved
ASG00078,R0051,PRJ3191,1,2024-02-28,2024-04-30,67,2024-02-28,approved
ASG00079,R0052,PRJ1448,1,2024-01-21,2024-03-07,65,2024-01-21,approved
ASG00080,R0053,PRJ2784,1,2024-03-10,2024-04-11,79,2024-03-10,approved
ASG00081,R0054,PRJ1395,1,2024-01-09,2024-04-30,75,2024-01-09,approved
ASG00082,R0055,PRJ1575,1,2024-02-09,2024-04-30,86,2024-02-09,approved
ASG00083,R0056,PRJ3626,1,2024-01-01,2024-04-18,84,2024-01-01,approved
ASG00083,R0056,PRJ3626,2,2024-04-19,2024-04-30,90,2024-04-19,approved
ASG00084,R0056,PRJ3129,1,2024-01-01,2024-04-30,7,2024-01-01,approved
ASG00084,R0056,PRJ3129,2,2024-04-05,2024-04-30,5,2024-04-07,rejected
ASG00085,R0057,PRJ3531,1,2024-01-01,2024-04-30,79,2024-01-01,approved
ASG00085,R0057,PRJ3531,2,2024-02-20,2024-04-30,90,2024-02-23,approved
ASG00086,R0058,PRJ1029,1,2024-01-26,2024-04-30,53,2024-01-26,approved
ASG00087,R0059,PRJ1967,1,2024-02-14,2024-04-30,52,2024-02-14,approved
ASG00088,R0059,PRJ1700,1,2024-02-08,2024-04-30,83,2024-02-08,approved
ASG00089,R0060,PRJ3117,1,2024-01-21,2024-04-30,66,2024-01-21,approved
ASG00090,R0060,PRJ3629,1,2024-01-22,2024-04-03,19,2024-01-22,approved
ASG00090,R0060,PRJ3629,2,2024-04-04,2024-04-30,20,2024-04-04,approved
ASG00091,R0061,PRJ3238,1,2024-02-15,2024-04-24,89,2024-02-15,approved
ASG00091,R0061,PRJ3238,2,2024-04-16,2024-04-24,59,2024-04-17,approved
ASG00092,R0062,PRJ2350,1,2024-01-19,2024-04-30,58,2024-01-19,approved
ASG00092,R0062,PRJ2350,2,2024-03-03,2024-04-30,40,2024-03-05,approved
ASG00093,R0063,PRJ1603,1,2024-01-11,2024-04-30,52,2024-01-11,approved
ASG00094,R0064,PRJ3066,1,2024-01-21,2024-03-06,77,2024-01-21,approved
ASG00095,R0065,PRJ3549,1,2024-02-23,2024-04-30,53,2024-02-23,approved
ASG00096,R0066,PRJ2217,1,2024-02-01,2024-04-06,88,2024-02-01,approved
ASG00097,R0067,PRJ1990,1,2024-03-09,2024-04-30,71,2024-03-09,approved
ASG00098,R0068,PRJ2860,1,2024-01-18,2024-04-05,87,2024-01-18,approved
ASG00098,R0068,PRJ2860,2,2024-04-06,2024-04-10,57,2024-04-06,approved
ASG00099,R0068,PRJ0029,1,2024-01-11,2024-04-11,13,2024-01-11,approved
ASG00099,R0068,PRJ0029,2,2024-04-05,2024-04-11,5,2024-04-06,approved
ASG00100,R0069,PRJ1488,1,2024-03-03,2024-04-30,57,2024-03-03,approved
ASG00100,R0069,PRJ1488,2,2024-03-16,2024-04-30,87,2024-03-19,approved
ASG00101,R0069,PRJ1967,1,2024-02-10,2024-04-30,56,2024-02-10,approved
ASG00102,R0070,PRJ1601,1,2024-02-15,2024-04-30,52,2024-02-15,approved
ASG00103,R0071,PRJ2636,1,2024-02-29,2024-04-30,51,2024-02-29,approved
ASG00104,R0072,PRJ2502,1,2024-02-28,2024-04-13,73,2024-02-28,approved
ASG00105,R0072,PRJ0020,1,2024-03-05,2024-04-24,16,2024-03-05,approved
ASG00105,R0072,PRJ0020,2,2024-04-25,2024-04-30,20,2024-04-25,approved
ASG00106,R0073,PRJ1656,1,2024-03-07,2024-04-30,55,2024-03-07,approved
ASG00106,R0073,PRJ1656,2,2024-04-24,2024-04-30,40,2024-04-27,approved
ASG00107,R0074,PRJ1438,1,2024-01-19,2024-04-30,73,2024-01-19,approved
ASG00107,R0074,PRJ1438,2,2024-03-17,2024-04-30,58,2024-03-20,approved
ASG00108,R0074,PRJ1843,1,2024-01-15,2024-04-30,79,2024-01-15,approved
ASG00109,R0075,PRJ3125,1,2024-02-23,2024-04-30,87,2024-02-23,approved
ASG00110,R0076,PRJ1805,1,2024-01-16,2024-03-11,62,2024-01-16,approved
ASG00111,R0077,PRJ1275,1,2024-03-11,2024-04-30,73,2024-03-11,approved
ASG00112,R0078,PRJ3769,1,2024-01-02,2024-04-30,54,2024-01-02,approved
ASG00113,R0079,PRJ3675,1,2024-02-16,2024-04-03,69,2024-02-16,approved
ASG00113,R0079,PRJ3675,2,2024-04-04,2024-04-15,49,2024-04-04,approved
ASG00114,R0079,PRJ3639,1,2024-01-23,2024-04-16,66,2024-01-23,approved
ASG00114,R0079,PRJ3639,2,2024-04-15,2024-04-16,46,2024-04-17,rejected
ASG00115,R0080,PRJ1819,1,2024-01-18,2024-04-30,61,2024-01-18,approved
ASG00115,R0080,PRJ1819,2,2024-03-19,2024-04-30,40,2024-03-21,rejected
ASG00116,R0080,PRJ1093,1,2024-02-08,2024-04-30,10,2024-02-08,approved
ASG00117,R0081,PRJ2440,1,2024-02-03,2024-04-12,78,2024-02-03,approved
ASG00118,R0082,PRJ2730,1,2024-03-13,2024-04-30,73,2024-03-13,approved
ASG00119,R0083,PRJ1111,1,2024-02-18,2024-04-30,61,2024-02-18,approved
ASG00120,R0083,PRJ1236,1,2024-03-05,2024-04-05,50,2024-03-05,approved
ASG00120,R0083,PRJ1236,2,2024-04-06,2024-04-16,40,2024-04-06,approved
ASG00121,R0084,PRJ2922,1,2024-03-14,2024-04-30,72,2024-03-14,approved
ASG00121,R0084,PRJ2922,2,2024-04-13,2024-04-30,47,2024-04-16,approved
ASG00122,R0084,PRJ2213,1,2024-02-18,2024-04-11,8,2024-02-18,approved
ASG00122,R0084,PRJ2213,2,2024-02-28,2024-04-11,20,2024-02-29,approved
ASG00123,R0085,PRJ1390,1,2024-03-04,2024-04-07,87,2024-03-04,approved
ASG00124,R0085,PRJ1663,1,2024-02-16,2024-04-30,59,2024-02-16,approved
ASG00125,R0086,PRJ3917,1,2024-02-20,2024-04-23,76,2024-02-20,approved
ASG00126,R0087,PRJ2901,1,2024-01-03,2024-03-06,49,2024-01-03,approved
ASG00127,R0088,PRJ1408,1,2024-02-14,2024-04-18,73,2024-02-14,approved
ASG00128,R0088,PRJ1016,1,2024-02-20,2024-04-04,82,2024-02-20,approved
ASG00128,R0088,PRJ1016,2,2024-04-05,2024-04-12,90,2024-04-05,approved
ASG00129,R0088,PRJ0020,1,2024-03-08,2024-04-30,17,2024-03-08,approved
ASG00129,R0088,PRJ0020,2,2024-04-22,2024-04-30,20,2024-04-23,approved
ASG00130,R0089,PRJ1552,1,2024-01-29,2024-04-30,40,2024-01-29,approved
ASG00130,R0089,PRJ1552,2,2024-03-02,2024-04-30,40,2024-03-03,rejected
ASG00131,R0089,PRJ1990,1,2024-02-05,2024-04-30,40,2024-02-05,approved
ASG00132,R0090,PRJ1112,1,2024-02-09,2024-04-08,54,2024-02-09,approved
ASG00133,R0091,PRJ1583,1,2024-02-08,2024-04-25,49,2024-02-08,approved
ASG00134,R0092,PRJ2784,1,2024-01-24,2024-04-30,88,2024-01-24,approved
ASG00135,R0092,PRJ0006,1,2024-01-29,2024-04-08,6,2024-01-29,approved
ASG00135,R0092,PRJ0006,2,2024-04-09,2024-04-30,5,2024-04-09,approved
ASG00136,R0093,PRJ2822,1,2024-02-04,2024-04-30,55,2024-02-04,approved
ASG00136,R0093,PRJ2822,2,2024-04-11,2024-04-30,85,2024-04-13,approved
ASG00137,R0093,PRJ2309,1,2024-01-31,2024-04-30,45,2024-01-31,approved
ASG00137,R0093,PRJ2309,2,2024-02-25,2024-04-30,40,2024-02-26,approved
ASG00138,R0094,PRJ1421,1,2024-01-14,2024-04-30,82,2024-01-14,approved
ASG00139,R0095,PRJ1518,1,2024-02-01,2024-04-30,58,2024-02-01,approved
ASG00140,R0095,PRJ1564,1,2024-01-21,2024-04-30,57,2024-01-21,approved
ASG00141,R0096,PRJ1734,1,2024-03-09,2024-04-15,72,2024-03-09,approved
ASG00142,R0096,PRJ1580,1,2024-02-01,2024-04-10,62,2024-02-01,approved
ASG00142,R0096,PRJ1580,2,2024-04-11,2024-04-30,77,2024-04-11,approved
ASG00143,R0096,PRJ1026,1,2024-01-19,2024-04-23,5,2024-01-19,approved
ASG00143,R0096,PRJ1026,2,2024-04-11,2024-04-23,20,2024-04-13,rejected
ASG00144,R0097,PRJ1358,1,2024-01-28,2024-04-30,46,2024-01-28,approved
ASG00144,R0097,PRJ1358,2,2024-02-16,2024-04-30,40,2024-02-19,approved
ASG00145,R0098,PRJ3238,1,2024-02-19,2024-04-30,49,2024-02-19,approved
ASG00146,R0099,PRJ3520,1,2024-01-05,2024-03-12,70,2024-01-05,approved
ASG00147,R0100,PRJ2561,1,2024-02-15,2024-04-30,78,2024-02-15,approved
ASG00148,R0100,PRJ2914,1,2024-02-03,2024-04-10,11,2024-02-03,approved
ASG00149,R0101,PRJ1364,1,2024-02-27,2024-04-30,48,2024-02-27,approved
ASG00150,R0102,PRJ3684,1,2024-01-03,2024-04-15,79,2024-01-03,approved
ASG00150,R0102,PRJ3684,2,2024-04-16,2024-04-30,90,2024-04-16,approved
ASG00151,R0103,PRJ2745,1,2024-01-25,2024-04-19,41,2024-01-25,approved
ASG00151,R0103,PRJ2745,2,2024-04-07,2024-04-19,56,2024-04-10,rejected
ASG00152,R0103,PRJ2619,1,2024-02-06,2024-04-30,66,2024-02-06,approved
ASG00152,R0103,PRJ2619,2,2024-02-20,2024-04-30,40,2024-02-21,rejected
ASG00153,R0104,PRJ2552,1,2024-01-17,2024-04-30,67,2024-01-17,approved
ASG00154,R0104,PRJ0034,1,2024-02-21,2024-04-30,10,2024-02-21,approved
ASG00155,R0105,PRJ1332,1,2024-01-11,2024-04-14,68,2024-01-11,approved
ASG00156,R0105,PRJ1218,1,2024-01-03,2024-04-09,57,2024-01-03,approved
ASG00157,R0106,PRJ1220,1,2024-02-15,2024-04-14,59,2024-02-15,approved
ASG00157,R0106,PRJ1220,2,2024-04-15,2024-04-20,40,2024-04-15,approved
ASG00158,R0106,PRJ1154,1,2024-02-22,2024-04-19,41,2024-02-22,approved
ASG00158,R0106,PRJ1154,2,2024-04-12,2024-04-19,56,2024-04-13,approved
ASG00159,R0107,PRJ3573,1,2024-01-05,2024-04-15,80,2024-01-05,approved
ASG00159,R0107,PRJ3573,2,2024-02-25,2024-04-15,90,2024-02-27,approved
ASG00160,R0107,PRJ3675,1,2024-02-23,2024-04-30,62,2024-02-23,approved
ASG00161,R0108,PRJ1284,1,2024-03-09,2024-04-30,73,2024-03-09,approved
ASG00162,R0108,PRJ0026,1,2024-01-27,2024-04-25,10,2024-01-27,approved
ASG00163,R0109,PRJ2761,1,2024-01-09,2024-04-30,51,2024-01-09,approved
ASG00164,R0109,PRJ2217,1,2024-02-13,2024-04-26,58,2024-02-13,approved
ASG00164,R0109,PRJ2217,2,2024-04-27,2024-04-30,83,2024-04-27,approved
ASG00165,R0110,PRJ2589,1,2024-01-03,2024-03-13,77,2024-01-03,approved
ASG00166,R0111,PRJ1308,1,2024-02-09,2024-04-30,41,2024-02-09,approved
ASG00166,R0111,PRJ1308,2,2024-04-20,2024-04-30,61,2024-04-23,rejected
ASG00167,R0111,PRJ1548,1,2024-02-23,2024-04-19,76,2024-02-23,approved
ASG00167,R0111,PRJ1548,2,2024-03-11,2024-04-19,90,2024-03-14,approved
ASG00168,R0112,PRJ1439,1,2024-02-21,2024-04-30,74,2024-02-21,approved
ASG00169,R0112,PRJ1819,1,2024-01-01,2024-04-30,78,2024-01-01,approved
ASG00170,R0112,PRJ1157,1,2024-02-08,2024-04-30,15,2024-02-08,approved
ASG00171,R0113,PRJ2356,1,2024-02-29,2024-04-30,79,2024-02-29,approved
ASG00172,R0114,PRJ1734,1,2024-01-25,2024-04-07,46,2024-01-25,approved
ASG00172,R0114,PRJ1734,2,2024-04-08,2024-04-30,40,2024-04-08,approved
ASG00173,R0114,PRJ1618,1,2024-02-06,2024-04-30,48,2024-02-06,approved
ASG00173,R0114,PRJ1618,2,2024-04-09,2024-04-30,78,2024-04-10,rejected
ASG00174,R0115,PRJ2400,1,2024-02-14,2024-04-30,47,2024-02-14,approved
ASG00174,R0115,PRJ2400,2,2024-03-09,2024-04-30,40,2024-03-12,approved
ASG00175,R0115,PRJ2078,1,2024-01-09,2024-04-30,79,2024-01-09,approved
ASG00176,R0116,PRJ3831,1,2024-01-08,2024-04-17,87,2024-01-08,approved
ASG00177,R0116,PRJ3675,1,2024-01-08,2024-04-30,67,2024-01-08,approved
ASG00178,R0116,PRJ3734,1,2024-02-20,2024-04-30,6,2024-02-20,approved
ASG00179,R0117,PRJ1518,1,2024-02-20,2024-04-04,62,2024-02-20,approved
ASG00179,R0117,PRJ1518,2,2024-04-05,2024-04-16,87,2024-04-05,approved
ASG00180,R0118,PRJ2990,1,2024-01-23,2024-04-30,83,2024-01-23,approved
ASG00180,R0118,PRJ2990,2,2024-04-10,2024-04-30,68,2024-04-12,approved
ASG00181,R0119,PRJ2585,1,2024-01-12,2024-04-30,63,2024-01-12,approved
ASG00181,R0119,PRJ2585,2,2024-03-11,2024-04-30,40,2024-03-12,approved
ASG00182,R0120,PRJ2981,1,2024-01-07,2024-04-30,72,2024-01-07,approved
ASG00183,R0120,PRJ2304,1,2024-03-04,2024-04-30,80,2024-03-04,approved
ASG00184,R0120,PRJ0046,1,2024-01-18,2024-04-30,17,2024-01-18,approved
ASG00185,R0121,PRJ1182,1,2024-02-11,2024-04-30,77,2024-02-11,approved
ASG00186,R0121,PRJ1126,1,2024-01-28,2024-04-17,69,2024-01-28,approved
ASG00186,R0121,PRJ1126,2,2024-04-18,2024-04-30,84,2024-04-18,approved
ASG00187,R0122,PRJ2137,1,2024-01-10,2024-03-14,54,2024-01-10,approved
ASG00188,R0123,PRJ2378,1,2024-01-31,2024-04-25,54,2024-01-31,approved
ASG00188,R0123,PRJ2378,2,2024-04-19,2024-04-25,84,2024-04-20,approved
ASG00189,R0123,PRJ2554,1,2024-01-16,2024-04-30,79,2024-01-16,approved
ASG00189,R0123,PRJ2554,2,2024-02-15,2024-04-30,90,2024-02-16,approved
ASG00190,R0124,PRJ2038,1,2024-03-09,2024-04-30,84,2024-03-09,approved
ASG00191,R0124,PRJ0034,1,2024-01-29,2024-04-30,19,2024-01-29,approved
ASG00192,R0125,PRJ1029,1,2024-01-01,2024-04-30,88,2024-01-01,approved
ASG00193,R0126,PRJ3714,1,2024-01-27,2024-04-30,55,2024-01-27,approved
ASG00194,R0127,PRJ2646,1,2024-02-10,2024-04-20,79,2024-02-10,approved
ASG00194,R0127,PRJ2646,2,2024-04-21,2024-04-30,90,2024-04-21,approved
ASG00195,R0127,PRJ2324,1,2024-01-05,2024-04-30,59,2024-01-05,approved
ASG00195,R0127,PRJ2324,2,2024-04-20,2024-04-30,84,2024-04-22,approved
ASG00196,R0128,PRJ2212,1,2024-02-24,2024-04-30,42,2024-02-24,approved
ASG00196,R0128,PRJ2212,2,2024-03-11,2024-04-30,72,2024-03-13,rejected
ASG00197,R0128,PRJ2732,1,2024-02-23,2024-04-25,14,2024-02-23,approved
ASG00198,R0129,PRJ3791,1,2024-02-11,2024-04-17,68,2024-02-11,approved
ASG00199,R0130,PRJ1238,1,2024-03-03,2024-04-13,68,2024-03-03,approved
ASG00200,R0130,PRJ1112,1,2024-02-17,2024-04-30,86,2024-02-17,approved
ASG00201,R0131,PRJ1434,1,2024-01-13,2024-04-07,40,2024-01-13,approved
ASG00201,R0131,PRJ1434,2,2024-04-08,2024-04-30,40,2024-04-08,approved
ASG00202,R0132,PRJ1250,1,2024-01-11,2024-04-23,69,2024-01-11,approved
ASG00202,R0132,PRJ1250,2,2024-04-11,2024-04-23,40,2024-04-14,approved
ASG00203,R0132,PRJ1063,1,2024-02-14,2024-04-30,16,2024-02-14,approved
ASG00203,R0132,PRJ1063,2,2024-03-13,2024-04-30,20,2024-03-14,approved
ASG00204,R0133,PRJ1878,1,2024-01-15,2024-04-08,76,2024-01-15,approved
ASG00205,R0133,PRJ1126,1,2024-02-14,2024-04-30,70,2024-02-14,approved
ASG00206,R0134,PRJ1029,1,2024-01-06,2024-03-13,84,2024-01-06,approved
ASG00207,R0135,PRJ1768,1,2024-01-01,2024-04-30,87,2024-01-01,approved
ASG00208,R0136,PRJ1131,1,2024-01-24,2024-04-30,50,2024-01-24,approved
ASG00209,R0136,PRJ1439,1,2024-02-28,2024-04-12,59,2024-02-28,approved
ASG00209,R0136,PRJ1439,2,2024-04-13,2024-04-30,74,2024-04-13,approved
ASG00210,R0136,PRJ1514,1,2024-01-02,2024-04-30,6,2024-01-02,approved
ASG00210,R0136,PRJ1514,2,2024-04-12,2024-04-30,20,2024-04-13,approved
ASG00211,R0137,PRJ3463,1,2024-01-31,2024-04-30,78,2024-01-31,approved
ASG00211,R0137,PRJ3463,2,2024-03-05,2024-04-30,90,2024-03-06,rejected
ASG00212,R0138,PRJ1477,1,2024-01-03,2024-04-21,80,2024-01-03,approved
ASG00213,R0139,PRJ1632,1,2024-01-23,2024-04-30,42,2024-01-23,approved
ASG00214,R0139,PRJ1837,1,2024-02-21,2024-04-12,64,2024-02-21,approved
ASG00215,R0140,PRJ1979,1,2024-01-11,2024-04-30,76,2024-01-11,approved
ASG00216,R0140,PRJ1729,1,2024-02-29,2024-04-08,47,2024-02-29,approved
ASG00216,R0140,PRJ1729,2,2024-04-09,2024-04-18,72,2024-04-09,approved
ASG00217,R0140,PRJ0012,1,2024-01-12,2024-04-11,13,2024-01-12,approved
ASG00217,R0140,PRJ0012,2,2024-04-10,2024-04-11,20,2024-04-13,approved
ASG00218,R0141,PRJ1297,1,2024-01-03,2024-04-30,75,2024-01-03,approved
ASG00218,R0141,PRJ1297,2,2024-03-12,2024-04-30,50,2024-03-13,approved
