resource_id,project_id,week_ending_date,hours_logged
R0009,PRJ1049,2024-03-31,30.5
R0009,PRJ1049,2024-04-07,30.9
R0009,PRJ1049,2024-04-14,33.6
R0009,PRJ1049,2024-04-21,30.2
R0009,PRJ1049,2024-04-28,26.4
R0010,PRJ1663,2024-03-03,14.4
R0010,PRJ1663,2024-03-10,17.2
R0010,PRJ1663,2024-03-17,13.1
R0010,PRJ1663,2024-03-24,13.3
R0010,PRJ1663,2024-03-31,14.6
R0010,PRJ1663,2024-04-07,13.6
R0010,PRJ1663,2024-04-14,14.7
R0010,PRJ1663,2024-04-21,15.6
R0010,PRJ1663,2024-04-28,13.2
R0011,PRJ3199,2024-03-10,19.6
R0011,PRJ3199,2024-03-24,20.9
R0011,PRJ3199,2024-03-31,19.3
R0011,PRJ3199,2024-04-07,21.2
R0011,PRJ3199,2024-04-14,22.5
R0011,PRJ3199,2024-04-21,18.1
R0011,PRJ3199,2024-04-28,25.8
R0012,PRJ2250,2024-03-03,17.0
R0012,PRJ2250,2024-03-10,15.9
R0012,PRJ2250,2024-03-17,13.9
R0012,PRJ2250,2024-03-24,19.0
R0012,PRJ2250,2024-04-07,17.1
R0012,PRJ2250,2024-04-14,21.7
R0012,PRJ2160,2024-03-03,16.8
R0012,PRJ2160,2024-03-10,21.7
R0012,PRJ2160,2024-03-17,20.5
R0012,PRJ2160,2024-03-24,17.2
R0012,PRJ2160,2024-03-31,18.8
R0012,PRJ2160,2024-04-14,17.0
R0012,PRJ2160,2024-04-21,35.2
R0012,PRJ2160,2024-04-28,32.8
R0012,PRJ2819,2024-03-03,8.2
R0012,PRJ2819,2024-03-10,6.7
R0012,PRJ2819,2024-03-17,6.9
R0012,PRJ2819,2024-03-24,5.6
R0012,PRJ2819,2024-03-31,7.5
R0012,PRJ2819,2024-04-07,4.3
R0012,PRJ2819,2024-04-14,6.5
R0012,PRJ2819,2024-04-21,6.9
R0012,PRJ2819,2024-04-28,2.1
R0013,PRJ2722,2024-03-03,28.7
R0013,PRJ2722,2024-03-10,28.3
R0013,PRJ2722,2024-03-17,28.9
R0013,PRJ2722,2024-03-24,24.4
R0013,PRJ2722,2024-03-31,30.1
R0013,PRJ2722,2024-04-07,25.8
R0013,PRJ2722,2024-04-14,26.5
R0013,PRJ2722,2024-04-21,24.0
R0013,PRJ2722,2024-04-28,38.0
R0014,PRJ1849,2024-03-10,22.4
R0014,PRJ1849,2024-03-17,17.5
R0014,PRJ1849,2024-03-24,22.1
R0014,PRJ1849,2024-03-31,25.6
R0014,PRJ1849,2024-04-07,22.6
R0014,PRJ1166,2024-03-17,19.8
R0014,PRJ1166,2024-03-24,20.8
R0014,PRJ1166,2024-03-31,18.7
R0014,PRJ1166,2024-04-07,23.1
R0014,PRJ1166,2024-04-14,16.9
R0014,PRJ1166,2024-04-21,17.3
R0014,PRJ1166,2024-04-28,17.3
R0015,PRJ1175,2024-03-03,38.0
R0015,PRJ1175,2024-03-10,39.4
R0015,PRJ1175,2024-03-17,31.8
R0015,PRJ1175,2024-03-24,33.2
R0015,PRJ1175,2024-03-31,39.1
R0015,PRJ1175,2024-04-07,41.7
R0015,PRJ1175,2024-04-14,33.9
R0015,PRJ1175,2024-04-21,26.2
R0015,PRJ1175,2024-04-28,29.5
R0016,PRJ1490,2024-03-03,24.9
R0016,PRJ1490,2024-03-10,25.0
R0016,PRJ1490,2024-03-17,24.0
R0016,PRJ1490,2024-03-24,19.5
R0016,PRJ1490,2024-03-31,25.0
R0016,PRJ1490,2024-04-07,19.7
R0016,PRJ1490,2024-04-14,22.7
R0016,PRJ1490,2024-04-21,21.8
R0016,PRJ1490,2024-04-28,20.5
R0016,PRJ1439,2024-03-17,17.8
R0016,PRJ1439,2024-03-24,18.3
R0016,PRJ1439,2024-03-31,14.4
R0016,PRJ1439,2024-04-07,16.4
R0016,PRJ1439,2024-04-14,18.1
R0016,PRJ1439,2024-04-21,10.2
R0016,PRJ1439,2024-04-28,17.2
R0016,PRJ1874,2024-03-03,8.4
R0016,PRJ1874,2024-03-10,8.0
R0016,PRJ1874,2024-03-17,8.1
R0016,PRJ1874,2024-03-24,7.4
R0016,PRJ1874,2024-03-31,8.3
R0016,PRJ1874,2024-04-07,6.2
R0016,PRJ1874,2024-04-14,6.6
R0016,PRJ1874,2024-04-21,8.1
R0016,PRJ1874,2024-04-28,8.8
R0017,PRJ1236,2024-03-03,37.3
R0017,PRJ1236,2024-03-10,38.7
R0018,PRJ2687,2024-03-03,21.7
R0018,PRJ2687,2024-03-10,15.6
R0018,PRJ2687,2024-03-17,13.4
R0018,PRJ2687,2024-03-24,18.0
R0018,PRJ2687,2024-03-31,14.8
R0018,PRJ2687,2024-04-07,15.7
R0018,PRJ2687,2024-04-14,17.8
R0019,PRJ2636,2024-03-03,21.1
R0019,PRJ2636,2024-03-10,21.8
R0019,PRJ2636,2024-03-17,22.7
R0019,PRJ2636,2024-03-24,18.7
R0019,PRJ2636,2024-03-31,21.0
R0019,PRJ2636,2024-04-07,16.9
R0019,PRJ2636,2024-04-14,20.1
R0019,PRJ2636,2024-04-21,18.4
R0019,PRJ2636,2024-04-28,14.8
R0020,PRJ1837,2024-03-03,22.8
R0020,PRJ1837,2024-03-10,15.1
R0020,PRJ1837,2024-03-17,17.5
R0020,PRJ1837,2024-03-24,17.3
R0020,PRJ1837,2024-03-31,17.0
R0020,PRJ1837,2024-04-07,14.6
R0020,PRJ1837,2024-04-21,21.3
R0020,PRJ1950,2024-03-03,22.8
R0020,PRJ1950,2024-03-10,31.3
R0020,PRJ1950,2024-03-17,24.3
R0020,PRJ1950,2024-03-24,25.0
R0020,PRJ1950,2024-03-31,31.1
R0020,PRJ1950,2024-04-07,25.3
R0020,PRJ1950,2024-04-14,26.7
R0020,PRJ1950,2024-04-21,22.5
R0020,PRJ1950,2024-04-28,30.4
R0020,PRJ0033,2024-03-03,5.0
R0020,PRJ0033,2024-03-10,3.6
R0020,PRJ0033,2024-03-17,4.0
R0020,PRJ0033,2024-03-24,4.3
R0020,PRJ0033,2024-03-31,3.9
R0020,PRJ0033,2024-04-07,4.0
R0020,PRJ0033,2024-04-14,5.2
R0020,PRJ0033,2024-04-21,3.8
R0021,PRJ2775,2024-03-03,20.2
R0021,PRJ2775,2024-03-10,25.8
R0021,PRJ2775,2024-03-17,23.5
R0021,PRJ2775,2024-03-31,27.8
R0021,PRJ2775,2024-04-07,27.5
R0021,PRJ2775,2024-04-14,23.4
R0021,PRJ2775,2024-04-21,25.4
R0021,PRJ2775,2024-04-28,17.6
R0021,PRJ2591,2024-03-03,30.8
R0021,PRJ2591,2024-03-10,36.1
R0021,PRJ2591,2024-03-17,31.9
R0021,PRJ2591,2024-03-24,33.7
R0021,PRJ2591,2024-03-31,21.3
R0021,PRJ2591,2024-04-14,37.5
R0021,PRJ2591,2024-04-21,28.3
R0021,PRJ2591,2024-04-28,31.8
R0022,PRJ2120,2024-03-03,34.4
R0022,PRJ2120,2024-03-10,34.2
R0022,PRJ2120,2024-03-17,40.0
R0022,PRJ2120,2024-03-24,31.9
R0022,PRJ2120,2024-03-31,33.7
R0022,PRJ2120,2024-04-07,27.3
R0022,PRJ2120,2024-04-21,35.2
R0022,PRJ2120,2024-04-28,38.3
R0023,PRJ1408,2024-03-03,16.9
R0023,PRJ1408,2024-03-10,17.8
R0023,PRJ1408,2024-03-17,14.9
R0023,PRJ1408,2024-03-31,11.6
R0023,PRJ1408,2024-04-07,19.6
R0023,PRJ1408,2024-04-14,16.3
R0023,PRJ1408,2024-04-21,17.1
R0023,PRJ1408,2024-04-28,16.7
R0024,PRJ1065,2024-03-03,39.6
R0024,PRJ1065,2024-03-10,24.8
R0024,PRJ1065,2024-03-17,32.6
R0024,PRJ1065,2024-03-31,34.7
R0024,PRJ1065,2024-04-07,36.1
R0024,PRJ1065,2024-04-14,32.1
R0024,PRJ1093,2024-03-03,7.1
R0024,PRJ1093,2024-03-10,6.6
R0024,PRJ1093,2024-03-24,6.0
R0024,PRJ1093,2024-03-31,5.1
R0024,PRJ1093,2024-04-07,5.9
R0025,PRJ1176,2024-03-10,25.8
R0025,PRJ1176,2024-03-17,23.4
R0025,PRJ1176,2024-03-24,24.2
R0025,PRJ1176,2024-03-31,24.7
R0025,PRJ1176,2024-04-07,16.5
R0025,PRJ1176,2024-04-14,26.5
R0025,PRJ1176,2024-04-21,28.9
R0025,PRJ1176,2024-04-28,29.4
R0026,PRJ1466,2024-03-03,38.9
R0026,PRJ1466,2024-03-10,33.7
R0026,PRJ1466,2024-03-17,35.0
R0026,PRJ1466,2024-03-24,26.6
R0026,PRJ1466,2024-03-31,29.6
R0026,PRJ1466,2024-04-07,31.8
R0026,PRJ1466,2024-04-14,28.1
R0026,PRJ1466,2024-04-21,31.7
R0026,PRJ1466,2024-04-28,33.7
R0027,PRJ2426,2024-03-03,30.3
R0027,PRJ2426,2024-03-10,27.9
R0027,PRJ2426,2024-03-17,34.8
R0027,PRJ2426,2024-03-24,26.2
R0027,PRJ2426,2024-03-31,24.6
R0027,PRJ2426,2024-04-07,23.6
R0027,PRJ2426,2024-04-14,14.7
R0027,PRJ2426,2024-04-21,13.2
R0027,PRJ2426,2024-04-28,15.4
R0028,PRJ3213,2024-03-03,31.5
R0028,PRJ3213,2024-03-10,29.3
R0028,PRJ3213,2024-03-17,29.1
R0028,PRJ3213,2024-03-24,18.1
R0028,PRJ3213,2024-03-31,20.9
R0028,PRJ3213,2024-04-07,17.5
R0028,PRJ3213,2024-04-21,17.7
R0028,PRJ3213,2024-04-28,21.7
R0028,PRJ3469,2024-03-03,2.7
R0028,PRJ3469,2024-03-10,2.9
R0028,PRJ3469,2024-03-24,3.3
R0028,PRJ3469,2024-03-31,3.4
R0028,PRJ3469,2024-04-14,3.2
R0028,PRJ3469,2024-04-21,3.2
R0028,PRJ3469,2024-04-28,3.6
R0029,PRJ1810,2024-03-03,23.4
R0030,PRJ1297,2024-03-03,29.4
R0030,PRJ1297,2024-03-10,25.0
R0030,PRJ1297,2024-03-17,28.3
R0030,PRJ1297,2024-03-24,21.5
R0030,PRJ1297,2024-03-31,25.1
R0030,PRJ1297,2024-04-07,22.3
R0030,PRJ1297,2024-04-14,27.3
R0030,PRJ1297,2024-04-28,24.5
R0031,PRJ2813,2024-03-03,39.5
R0031,PRJ2813,2024-03-10,30.9
R0031,PRJ2813,2024-03-17,42.0
R0031,PRJ2813,2024-03-24,28.8
R0031,PRJ2813,2024-04-14,33.6
R0031,PRJ2456,2024-03-03,28.9
R0031,PRJ2456,2024-03-10,24.8
R0031,PRJ2456,2024-03-17,24.8
R0031,PRJ2456,2024-03-31,23.0
R0031,PRJ2456,2024-04-07,22.9
R0031,PRJ2456,2024-04-14,18.7
R0032,PRJ1448,2024-03-03,27.8
R0032,PRJ1448,2024-03-10,27.1
R0032,PRJ1448,2024-03-17,29.4
R0032,PRJ1448,2024-03-24,30.0
R0032,PRJ1448,2024-03-31,36.5
R0032,PRJ1448,2024-04-07,34.6
R0032,PRJ1448,2024-04-14,42.0
R0032,PRJ1448,2024-04-21,31.1
R0032,PRJ1448,2024-04-28,31.2
R0032,PRJ0041,2024-03-03,4.7
R0032,PRJ0041,2024-03-10,6.2
R0032,PRJ0041,2024-03-17,3.7
R0032,PRJ0041,2024-03-24,4.7
R0032,PRJ0041,2024-03-31,4.2
R0032,PRJ0041,2024-04-07,6.6
R0032,PRJ0041,2024-04-14,2.1
R0032,PRJ0041,2024-04-21,1.5
R0032,PRJ0041,2024-04-28,1.5
R0033,PRJ1744,2024-03-03,28.3
R0033,PRJ1744,2024-03-10,27.4
R0033,PRJ1744,2024-03-17,45.0
R0033,PRJ1744,2024-03-31,38.7
R0033,PRJ1744,2024-04-07,24.3
R0034,PRJ3453,2024-03-03,22.4
R0034,PRJ3453,2024-03-10,23.1
R0034,PRJ3453,2024-03-17,20.3
R0034,PRJ3453,2024-03-24,26.3
R0034,PRJ3453,2024-04-07,23.2
R0034,PRJ3453,2024-04-14,28.3
R0034,PRJ3453,2024-04-21,26.0
R0034,PRJ3453,2024-04-28,27.6
R0034,PRJ3998,2024-03-03,32.6
R0034,PRJ3998,2024-03-10,23.8
R0034,PRJ3998,2024-03-17,26.2
R0034,PRJ3998,2024-03-24,24.7
R0034,PRJ3998,2024-03-31,21.8
R0034,PRJ3998,2024-04-07,27.0
R0034,PRJ3998,2024-04-14,22.4
R0034,PRJ3998,2024-04-21,24.4
R0035,PRJ3738,2024-03-10,29.8
R0035,PRJ3738,2024-03-17,37.3
R0035,PRJ3738,2024-03-24,33.1
R0035,PRJ3738,2024-03-31,31.5
R0035,PRJ3738,2024-04-07,34.3
R0035,PRJ3738,2024-04-14,23.2
R0035,PRJ3738,2024-04-21,34.0
R0036,PRJ1430,2024-03-17,17.4
R0036,PRJ1430,2024-03-24,19.1
R0036,PRJ1430,2024-03-31,24.4
R0036,PRJ1430,2024-04-07,21.2
R0036,PRJ1430,2024-04-14,21.2
R0036,PRJ1430,2024-04-21,16.4
R0036,PRJ1567,2024-03-03,29.5
R0036,PRJ1567,2024-03-10,32.5
R0036,PRJ1567,2024-03-17,30.8
R0036,PRJ1567,2024-03-24,30.8
R0036,PRJ1567,2024-03-31,23.9
R0036,PRJ1567,2024-04-07,23.6
R0036,PRJ1567,2024-04-21,23.2
R0036,PRJ1567,2024-04-28,31.3
R0036,PRJ1129,2024-03-03,3.6
R0036,PRJ1129,2024-03-10,4.4
R0036,PRJ1129,2024-03-17,4.5
R0036,PRJ1129,2024-03-24,3.8
R0036,PRJ1129,2024-03-31,4.0
R0036,PRJ1129,2024-04-07,3.0
R0036,PRJ1129,2024-04-14,5.0
R0036,PRJ1129,2024-04-21,3.8
R0036,PRJ1129,2024-04-28,3.8
R0037,PRJ3464,2024-03-03,30.5
R0037,PRJ3464,2024-03-10,27.8
R0037,PRJ3464,2024-03-17,28.6
R0037,PRJ3464,2024-03-24,25.4
R0037,PRJ3464,2024-03-31,26.8
R0037,PRJ3464,2024-04-07,31.9
R0037,PRJ3464,2024-04-14,34.5
R0037,PRJ3464,2024-04-21,31.8
R0037,PRJ3464,2024-04-28,36.2
R0038,PRJ1468,2024-03-03,18.0
R0038,PRJ1468,2024-03-10,14.0
R0038,PRJ1468,2024-03-17,14.7
R0038,PRJ1468,2024-03-24,14.9
R0038,PRJ1468,2024-03-31,13.5
R0038,PRJ1468,2024-04-07,15.0
R0038,PRJ1468,2024-04-14,14.4
R0038,PRJ1468,2024-04-21,20.8
R0038,PRJ1468,2024-04-28,14.3
R0038,PRJ1752,2024-03-10,33.2
R0038,PRJ1752,2024-03-17,31.6
R0038,PRJ1752,2024-03-24,23.0
R0038,PRJ1752,2024-03-31,29.8
R0038,PRJ1752,2024-04-14,32.6
R0038,PRJ1752,2024-04-21,23.7
R0038,PRJ1752,2024-04-28,36.9
R0039,PRJ3099,2024-03-17,16.5
R0039,PRJ3099,2024-03-24,20.5
R0039,PRJ3099,2024-03-31,22.1
R0039,PRJ3099,2024-04-07,20.3
R0039,PRJ3099,2024-04-14,17.6
R0039,PRJ3099,2024-04-21,21.7
R0039,PRJ3099,2024-04-28,24.1
R0039,PRJ3939,2024-03-03,26.2
R0039,PRJ3939,2024-03-10,23.6
R0039,PRJ3939,2024-03-17,30.9
R0039,PRJ3939,2024-03-24,31.1
R0039,PRJ3939,2024-03-31,26.0
R0039,PRJ3939,2024-04-07,28.4
R0039,PRJ3939,2024-04-14,30.9
R0039,PRJ3939,2024-04-21,29.7
R0039,PRJ3939,2024-04-28,28.3
R0040,PRJ1235,2024-03-03,29.5
R0040,PRJ1235,2024-03-10,28.7
R0040,PRJ1235,2024-03-17,27.1
R0040,PRJ1235,2024-03-24,22.3
R0040,PRJ1235,2024-03-31,23.1
R0040,PRJ1235,2024-04-07,28.9
R0040,PRJ1235,2024-04-14,25.1
R0040,PRJ1340,2024-03-03,5.9
R0040,PRJ1340,2024-03-10,6.3
R0040,PRJ1340,2024-03-17,6.9
R0040,PRJ1340,2024-03-24,4.9
R0040,PRJ1340,2024-04-07,7.5
R0040,PRJ1340,2024-04-14,9.4
R0041,PRJ2875,2024-03-03,23.3
R0042,PRJ1358,2024-03-03,31.6
R0042,PRJ1358,2024-03-10,30.0
R0042,PRJ1358,2024-03-24,34.8
R0042,PRJ1358,2024-03-31,33.7
R0042,PRJ1358,2024-04-07,37.3
R0042,PRJ1358,2024-04-14,28.4
R0042,PRJ1358,2024-04-21,40.3
R0042,PRJ1358,2024-04-28,31.8
R0043,PRJ1016,2024-03-03,28.3
R0043,PRJ1016,2024-03-10,26.4
R0043,PRJ1016,2024-03-17,26.9
R0043,PRJ1016,2024-03-24,21.7
R0043,PRJ1016,2024-04-07,20.7
R0043,PRJ1016,2024-04-14,23.6
R0043,PRJ1016,2024-04-21,25.6
R0043,PRJ1016,2024-04-28,25.9
R0043,PRJ1106,2024-03-03,26.9
R0043,PRJ1106,2024-03-10,30.7
R0043,PRJ1106,2024-03-17,30.3
R0043,PRJ1106,2024-03-24,28.7
R0043,PRJ1106,2024-03-31,29.9
R0043,PRJ1106,2024-04-07,33.1
R0043,PRJ1106,2024-04-14,36.9
R0043,PRJ1106,2024-04-21,33.8
R0043,PRJ1106,2024-04-28,28.9
R0044,PRJ1990,2024-03-03,25.6
R0044,PRJ1990,2024-03-10,34.9
R0044,PRJ1990,2024-03-17,30.3
R0044,PRJ1990,2024-03-24,33.2
R0044,PRJ1990,2024-03-31,30.7
R0044,PRJ1990,2024-04-07,28.4
R0044,PRJ1990,2024-04-14,31.6
R0044,PRJ1990,2024-04-21,28.7
R0044,PRJ1990,2024-04-28,27.3
R0044,PRJ1488,2024-03-03,33.4
R0044,PRJ1488,2024-03-10,19.6
R0044,PRJ1488,2024-03-17,28.0
R0044,PRJ1488,2024-03-24,16.9
R0044,PRJ1488,2024-03-31,30.8
R0044,PRJ1488,2024-04-07,33.4
R0044,PRJ1488,2024-04-14,34.0
R0044,PRJ1710,2024-03-24,6.4
R0044,PRJ1710,2024-03-31,8.7
R0044,PRJ1710,2024-04-07,6.7
R0044,PRJ1710,2024-04-14,1.6
R0044,PRJ1710,2024-04-21,1.8
R0045,PRJ1162,2024-03-17,19.9
R0045,PRJ1162,2024-03-24,14.7
R0045,PRJ1162,2024-03-31,15.1
R0045,PRJ1162,2024-04-14,16.7
R0046,PRJ3549,2024-03-10,18.9
R0046,PRJ3549,2024-03-17,12.1
R0046,PRJ3549,2024-03-24,20.9
R0046,PRJ3549,2024-03-31,25.9
R0046,PRJ3549,2024-04-07,19.2
R0046,PRJ3549,2024-04-14,21.1
R0046,PRJ3549,2024-04-21,24.7
R0046,PRJ3055,2024-03-03,32.9
R0046,PRJ3055,2024-03-10,32.9
R0046,PRJ3055,2024-03-17,35.1
R0046,PRJ3055,2024-03-24,30.2
R0046,PRJ3055,2024-03-31,35.6
R0046,PRJ3055,2024-04-07,32.3
R0046,PRJ3055,2024-04-14,26.3
R0046,PRJ3055,2024-04-21,36.3
R0046,PRJ3055,2024-04-28,33.3
R0047,PRJ1656,2024-03-03,28.0
R0047,PRJ1656,2024-03-10,21.2
R0047,PRJ1656,2024-03-17,29.0
R0047,PRJ1656,2024-03-24,33.8
R0047,PRJ1656,2024-03-31,21.0
R0047,PRJ1656,2024-04-07,29.6
R0047,PRJ1656,2024-04-14,26.4
R0047,PRJ1656,2024-04-21,25.7
R0047,PRJ1656,2024-04-28,29.1
R0047,PRJ1344,2024-03-03,28.6
R0047,PRJ1344,2024-03-10,30.6
R0047,PRJ1344,2024-03-17,21.4
R0047,PRJ1344,2024-03-24,30.8
R0047,PRJ1344,2024-03-31,27.1
R0047,PRJ1344,2024-04-07,19.6
R0047,PRJ1344,2024-04-14,24.1
R0047,PRJ1344,2024-04-21,26.5
R0047,PRJ1344,2024-04-28,24.1
R0048,PRJ3998,2024-03-03,22.5
R0048,PRJ3998,2024-03-10,21.0
R0048,PRJ3998,2024-03-17,29.3
R0048,PRJ3998,2024-03-24,30.2
R0048,PRJ3998,2024-03-31,25.2
R0048,PRJ3998,2024-04-07,23.2
R0048,PRJ3998,2024-04-14,19.5
R0048,PRJ3998,2024-04-21,27.3
R0048,PRJ3998,2024-04-28,24.7
R0048,PRJ3627,2024-03-03,5.8
R0048,PRJ3627,2024-03-10,5.8
R0048,PRJ3627,2024-03-17,6.6
R0048,PRJ3627,2024-03-31,7.0
R0048,PRJ3627,2024-04-07,6.7
R0048,PRJ3627,2024-04-14,7.5
R0048,PRJ3627,2024-04-21,6.3
R0048,PRJ3627,2024-04-28,2.0
R0049,PRJ1399,2024-03-03,25.6
R0049,PRJ1399,2024-03-10,23.8
R0049,PRJ1399,2024-03-17,21.4
R0049,PRJ1399,2024-03-24,14.6
R0049,PRJ1399,2024-03-31,22.4
R0049,PRJ1399,2024-04-07,21.2
R0049,PRJ1399,2024-04-14,17.1
R0049,PRJ1399,2024-04-21,13.6
R0049,PRJ1399,2024-04-28,26.8
R0050,PRJ1878,2024-03-03,13.8
R0050,PRJ1878,2024-03-10,15.0
R0050,PRJ1878,2024-03-17,20.8
R0050,PRJ1878,2024-03-24,13.4
R0050,PRJ1878,2024-03-31,15.6
R0050,PRJ1878,2024-04-07,19.1
R0050,PRJ1878,2024-04-14,20.5
R0050,PRJ1878,2024-04-21,17.0
R0050,PRJ1878,2024-04-28,18.9
R0051,PRJ3191,2024-03-03,25.7
R0051,PRJ3191,2024-03-10,16.8
R0051,PRJ3191,2024-03-17,31.2
R0051,PRJ3191,2024-03-24,26.5
R0051,PRJ3191,2024-03-31,25.3
R0051,PRJ3191,2024-04-07,24.9
R0051,PRJ3191,2024-04-14,29.3
R0051,PRJ3191,2024-04-28,25.1
R0052,PRJ1448,2024-03-03,17.5
R0052,PRJ1448,2024-03-10,26.4
R0053,PRJ2784,2024-03-17,30.4
R0053,PRJ2784,2024-03-24,26.6
R0053,PRJ2784,2024-03-31,26.4
R0053,PRJ2784,2024-04-07,32.9
R0053,PRJ2784,2024-04-14,31.6
R0054,PRJ1395,2024-03-03,27.8
R0054,PRJ1395,2024-03-10,28.6
R0054,PRJ1395,2024-03-17,31.6
R0054,PRJ1395,2024-03-24,32.9
R0054,PRJ1395,2024-03-31,32.1
R0054,PRJ1395,2024-04-14,23.6
R0054,PRJ1395,2024-04-21,37.9
R0054,PRJ1395,2024-04-28,35.4
R0055,PRJ1575,2024-03-03,40.5
R0055,PRJ1575,2024-03-10,33.2
R0055,PRJ1575,2024-03-17,38.1
R0055,PRJ1575,2024-03-24,24.4
R0055,PRJ1575,2024-03-31,41.6
R0055,PRJ1575,2024-04-07,34.0
R0055,PRJ1575,2024-04-14,27.7
R0055,PRJ1575,2024-04-21,32.2
R0055,PRJ1575,2024-04-28,31.4
R0056,PRJ3626,2024-03-03,31.4
R0056,PRJ3626,2024-03-10,35.6
R0056,PRJ3626,2024-03-17,38.1
R0056,PRJ3626,2024-03-24,33.9
R0056,PRJ3626,2024-03-31,38.4
R0056,PRJ3626,2024-04-07,30.8
R0056,PRJ3626,2024-04-14,39.2
R0056,PRJ3626,2024-04-21,34.0
R0056,PRJ3626,2024-04-28,40.3
R0056,PRJ3129,2024-03-03,2.6
R0056,PRJ3129,2024-03-10,2.8
R0056,PRJ3129,2024-03-17,3.6
R0056,PRJ3129,2024-03-31,2.4
R0056,PRJ3129,2024-04-07,2.6
R0056,PRJ3129,2024-04-14,2.1
R0056,PRJ3129,2024-04-21,2.5
R0056,PRJ3129,2024-04-28,2.8
R0057,PRJ3531,2024-03-03,33.9
R0057,PRJ3531,2024-03-10,40.5
R0057,PRJ3531,2024-03-17,34.6
R0057,PRJ3531,2024-03-24,44.7
R0057,PRJ3531,2024-03-31,34.7
R0057,PRJ3531,2024-04-07,24.8
R0057,PRJ3531,2024-04-14,34.0
R0057,PRJ3531,2024-04-21,27.4
R0057,PRJ3531,2024-04-28,37.4
R0058,PRJ1029,2024-03-03,19.0
R0058,PRJ1029,2024-03-10,22.8
