project_id,project_name,client_name,region,engagement_type,contract_type,contracted_hour_cap
PRJ1865,Client Engagement 74,Client-V2,AMER,client_billable,time_and_materials,
PRJ2722,Client Engagement 75,Client-W2,EMEA,client_billable,fixed_fee,516.8
PRJ1468,Client Engagement 76,Client-X2,AMER,client_billable,time_and_materials,
PRJ1583,Client Engagement 77,Client-Y2,AMER,client_billable,time_and_materials,
PRJ2137,Client Engagement 78,Client-Z2,EMEA,client_billable,time_and_materials,
PRJ1644,Client Engagement 79,Client-A3,AMER,client_billable,time_and_materials,
PRJ1513,Client Engagement 80,Client-B3,AMER,client_billable,time_and_materials,
PRJ3754,Client Engagement 81,Client-C3,APAC,client_billable,time_and_materials,
PRJ3639,Client Engagement 82,Client-D3,APAC,client_billable,fixed_fee,417.9
PRJ1635,Client Engagement 83,Client-E3,AMER,client_billable,time_and_materials,
PRJ3623,Client Engagement 84,Client-F3,APAC,client_billable,time_and_materials,
PRJ1477,Client Engagement 85,Client-G3,AMER,client_billable,time_and_materials,
PRJ1196,Client Engagement 86,Client-H3,AMER,client_billable,time_and_materials,
PRJ1152,Client Engagement 87,Client-I3,AMER,client_billable,fixed_fee,463.9
PRJ1448,Client Engagement 88,Client-J3,AMER,client_billable,time_and_materials,
PRJ1704,Client Engagement 89,Client-K3,AMER,client_billable,time_and_materials,
PRJ1649,Client Engagement 90,Client-L3,AMER,client_billable,time_and_materials,
PRJ1067,Client Engagement 91,Client-M3,AMER,client_billable,time_and_materials,
PRJ1690,Client Engagement 92,Client-N3,AMER,client_billable,time_and_materials,
PRJ1548,Client Engagement 93,Client-O3,AMER,client_billable,time_and_materials,
PRJ1201,Client Engagement 94,Client-P3,AMER,client_billable,time_and_materials,
PRJ2435,Client Engagement 95,Client-Q3,EMEA,client_billable,time_and_materials,
PRJ1039,Client Engagement 96,Client-R3,AMER,client_billable,time_and_materials,
PRJ3692,Client Engagement 97,Client-S3,APAC,client_billable,time_and_materials,
PRJ1919,Client Engagement 98,Client-T3,AMER,client_billable,time_and_materials,
PRJ1849,Client Engagement 99,Client-U3,AMER,client_billable,time_and_materials,
PRJ3464,Client Engagement 100,Client-V3,APAC,client_billable,time_and_materials,
PRJ3453,Client Engagement 101,Client-W3,APAC,client_billable,time_and_materials,
PRJ1127,Client Engagement 102,Client-X3,AMER,client_billable,time_and_materials,
PRJ1792,Client Engagement 103,Client-Y3,AMER,client_billable,fixed_fee,112.4
PRJ3871,Client Engagement 104,Client-Z3,APAC,client_billable,time_and_materials,
PRJ1994,Client Engagement 105,Client-A4,AMER,client_billable,time_and_materials,
PRJ1575,Client Engagement 106,Client-B4,AMER,client_billable,time_and_materials,
PRJ2822,Client Engagement 107,Client-C4,EMEA,client_billable,fixed_fee,305.7
PRJ2917,Client Engagement 108,Client-D4,EMEA,client_billable,time_and_materials,
PRJ1438,Client Engagement 109,Client-E4,AMER,client_billable,time_and_materials,
PRJ1580,Client Engagement 110,Client-F4,AMER,client_billable,time_and_materials,
PRJ3939,Client Engagement 111,Client-G4,APAC,client_billable,time_and_materials,
PRJ3341,Client Engagement 112,Client-H4,APAC,client_billable,time_and_materials,
PRJ1686,Client Engagement 113,Client-I4,AMER,client_billable,time_and_materials,
PRJ1158,Client Engagement 114,Client-J4,AMER,client_billable,time_and_materials,
PRJ1857,Client Engagement 115,Client-K4,AMER,client_billable,time_and_materials,
PRJ2282,Client Engagement 116,Client-L4,EMEA,client_billable,time_and_materials,
PRJ1112,Client Engagement 117,Client-M4,AMER,client_billable,fixed_fee,569.4
PRJ1078,Client Engagement 118,Client-N4,AMER,client_billable,time_and_materials,
PRJ3717,Client Engagement 119,Client-O4,APAC,client_billable,time_and_materials,
PRJ1945,Client Engagement 120,Client-P4,AMER,client_billable,time_and_materials,
PRJ2340,Client Engagement 121,Client-Q4,EMEA,client_billable,time_and_materials,
PRJ3738,Client Engagement 122,Client-R4,APAC,client_billable,time_and_materials,
PRJ1025,Client Engagement 123,Client-S4,AMER,client_billable,time_and_materials,
PRJ2286,Client Engagement 124,Client-T4,EMEA,client_billable,time_and_materials,
PRJ3729,Client Engagement 125,Client-U4,APAC,client_billable,time_and_materials,
PRJ2730,Client Engagement 126,Client-V4,EMEA,client_billable,time_and_materials,
PRJ2245,Client Engagement 127,Client-W4,EMEA,client_billable,time_and_materials,
PRJ3430,Client Engagement 128,Client-X4,APAC,client_billable,time_and_materials,
PRJ2400,Client Engagement 129,Client-Y4,EMEA,client_billable,time_and_materials,
PRJ1169,Client Engagement 130,Client-Z4,AMER,client_billable,time_and_materials,
PRJ2479,Client Engagement 131,Client-A5,EMEA,client_billable,time_and_materials,
PRJ2978,Client Engagement 132,Client-B5,EMEA,client_billable,time_and_materials,
PRJ1764,Client Engagement 133,Client-C5,AMER,client_billable,time_and_materials,
PRJ1343,Client Engagement 134,Client-D5,AMER,client_billable,time_and_materials,
PRJ1843,Client Engagement 135,Client-E5,AMER,client_billable,time_and_materials,
PRJ1297,Client Engagement 136,Client-F5,AMER,client_billable,time_and_materials,
PRJ1439,Client Engagement 137,Client-G5,AMER,client_billable,time_and_materials,
PRJ1168,Client Engagement 138,Client-H5,AMER,client_billable,time_and_materials,
PRJ2463,Client Engagement 139,Client-I5,EMEA,client_billable,time_and_materials,
PRJ2246,Client Engagement 140,Client-J5,EMEA,client_billable,time_and_materials,
PRJ3440,Client Engagement 141,Client-K5,APAC,client_billable,time_and_materials,
PRJ1567,Client Engagement 142,Client-L5,AMER,client_billable,time_and_materials,
PRJ1422,Client Engagement 143,Client-M5,AMER,client_billable,time_and_materials,
PRJ2591,Client Engagement 144,Client-N5,EMEA,client_billable,time_and_materials,
PRJ1419,Client Engagement 145,Client-O5,AMER,client_billable,time_and_materials,
PRJ2447,Client Engagement 146,Client-P5,EMEA,client_billable,time_and_materials,
PRJ1967,Client Engagement 147,Client-Q5,AMER,client_billable,time_and_materials,
PRJ1613,Client Engagement 148,Client-R5,AMER,client_billable,time_and_materials,
PRJ1711,Client Engagement 149,Client-S5,AMER,client_billable,fixed_fee,374.6
PRJ1805,Client Engagement 150,Client-T5,AMER,client_billable,time_and_materials,
PRJ2775,Client Engagement 151,Client-U5,EMEA,client_billable,time_and_materials,
PRJ1411,Client Engagement 152,Client-V5,AMER,client_billable,time_and_materials,
PRJ3125,Client Engagement 153,Client-W5,APAC,client_billable,time_and_materials,
PRJ1344,Client Engagement 154,Client-X5,AMER,client_billable,time_and_materials,
PRJ3381,Client Engagement 155,Client-Y5,APAC,client_billable,time_and_materials,
PRJ2746,Client Engagement 156,Client-Z5,EMEA,client_billable,time_and_materials,
PRJ1348,Client Engagement 157,Client-A6,AMER,client_billable,time_and_materials,
PRJ2132,Client Engagement 158,Client-B6,EMEA,client_billable,time_and_materials,
PRJ1018,Client Engagement 159,Client-C6,AMER,client_billable,time_and_materials,
PRJ2226,Client Engagement 160,Client-D6,EMEA,client_billable,time_and_materials,
PRJ1552,Client Engagement 161,Client-E6,AMER,client_billable,time_and_materials,
PRJ1072,Client Engagement 162,Client-F6,AMER,client_billable,fixed_fee,179.2
PRJ1618,Client Engagement 163,Client-G6,AMER,client_billable,time_and_materials,
PRJ3919,Client Engagement 164,Client-H6,APAC,client_billable,time_and_materials,
PRJ1111,Client Engagement 165,Client-I6,AMER,client_billable,time_and_materials,
PRJ2030,Client Engagement 166,Client-J6,EMEA,client_billable,time_and_materials,
PRJ2365,Client Engagement 167,Client-K6,EMEA,client_billable,fixed_fee,243.8
PRJ3213,Client Engagement 168,Client-L6,APAC,client_billable,time_and_materials,
PRJ1545,Client Engagement 169,Client-M6,AMER,client_billable,fixed_fee,114.9
PRJ3406,Client Engagement 170,Client-N6,APAC,client_billable,time_and_materials,
PRJ3066,Client Engagement 171,Client-O6,APAC,client_billable,time_and_materials,
PRJ2863,Client Engagement 172,Client-P6,EMEA,client_billable,time_and_materials,
PRJ3504,Client Engagement 173,Client-Q6,APAC,client_billable,time_and_materials,
PRJ2162,Client Engagement 174,Client-R6,EMEA,client_billable,time_and_materials,
PRJ1538,Client Engagement 175,Client-S6,AMER,client_billable,time_and_materials,
PRJ2659,Client Engagement 176,Client-T6,EMEA,client_billable,time_and_materials,
PRJ1549,Client Engagement 177,Client-U6,AMER,client_billable,time_and_materials,
PRJ2710,Client Engagement 178,Client-V6,EMEA,client_billable,time_and_materials,
PRJ1005,Client Engagement 179,Client-W6,AMER,client_billable,time_and_materials,
PRJ1950,Client Engagement 180,Client-X6,AMER,client_billable,time_and_materials,
PRJ1007,Client Engagement 181,Client-Y6,AMER,client_billable,fixed_fee,122.6
PRJ1469,Client Engagement 182,Client-Z6,AMER,client_billable,time_and_materials,
PRJ1082,Client Engagement 183,Client-A7,AMER,client_billable,time_and_materials,
PRJ2552,Client Engagement 184,Client-B7,EMEA,client_billable,time_and_materials,
PRJ3309,Client Engagement 185,Client-C7,APAC,client_billable,time_and_materials,
PRJ3220,Client Engagement 186,Client-D7,APAC,client_billable,fixed_fee,209.9
PRJ3586,Client Engagement 187,Client-E7,APAC,client_billable,time_and_materials,
PRJ3163,Client Engagement 188,Client-F7,APAC,client_billable,time_and_materials,
PRJ2319,Client Engagement 189,Client-G7,EMEA,client_billable,time_and_materials,
PRJ1137,Client Engagement 190,Client-H7,AMER,client_billable,time_and_materials,
PRJ2685,Client Engagement 191,Client-I7,EMEA,client_billable,time_and_materials,
PRJ1755,Client Engagement 192,Client-J7,AMER,client_billable,time_and_materials,
PRJ3275,Client Engagement 193,Client-K7,APAC,client_billable,time_and_materials,
PRJ1234,Client Engagement 194,Client-L7,AMER,client_billable,time_and_materials,
PRJ1182,Client Engagement 195,Client-M7,AMER,client_billable,fixed_fee,261.6
PRJ2680,Client Engagement 196,Client-N7,EMEA,client_billable,time_and_materials,
PRJ2843,Client Engagement 197,Client-O7,EMEA,client_billable,time_and_materials,
PRJ1209,Client Engagement 198,Client-P7,AMER,client_billable,time_and_materials,
PRJ1317,Client Engagement 199,Client-Q7,AMER,client_billable,time_and_materials,
PRJ3463,Client Engagement 200,Client-R7,APAC,client_billable,time_and_materials,
PRJ2080,Client Engagement 201,Client-S7,EMEA,client_billable,time_and_materials,
PRJ2409,Client Engagement 202,Client-T7,EMEA,client_billable,time_and_materials,
PRJ1406,Client Engagement 203,Client-U7,AMER,client_billable,time_and_materials,
PRJ2580,Client Engagement 204,Client-V7,EMEA,client_billable,time_and_materials,
PRJ2865,Client Engagement 205,Client-W7,EMEA,client_billable,time_and_materials,
PRJ3508,Client Engagement 206,Client-X7,APAC,client_billable,time_and_materials,
PRJ1029,Client Engagement 207,Client-Y7,AMER,client_billable,time_and_materials,
PRJ1016,Client Engagement 208,Client-Z7,AMER,client_billable,time_and_materials,
PRJ3000,Client Engagement 209,Client-A8,EMEA,client_billable,time_and_materials,
PRJ2541,Client Engagement 210,Client-B8,EMEA,client_billable,time_and_materials,
PRJ2450,Client Engagement 211,Client-C8,EMEA,client_billable,fixed_fee,179.6
PRJ2275,Client Engagement 212,Client-D8,EMEA,client_billable,time_and_materials,
PRJ2412,Client Engagement 213,Client-E8,EMEA,client_billable,time_and_materials,
PRJ1839,Client Engagement 214,Client-F8,AMER,client_billable,time_and_materials,
PRJ1179,Client Engagement 215,Client-G8,AMER,client_billable,fixed_fee,252.6
PRJ2784,Client Engagement 216,Client-H8,EMEA,client_billable,time_and_materials,
PRJ2909,Client Engagement 217,Client-I8,EMEA,client_billable,time_and_materials,
PRJ1041,Client Engagement 218,Client-J8,AMER,client_billable,fixed_fee,211.4
PRJ2683,Client Engagement 219,Client-K8,EMEA,client_billable,time_and_materials,
PRJ1677,Client Engagement 220,Client-L8,AMER,client_billable,time_and_materials,
PRJ1827,Client Engagement 221,Client-M8,AMER,client_billable,time_and_materials,
PRJ1819,Client Engagement 222,Client-N8,AMER,client_billable,time_and_materials,
PRJ1879,Client Engagement 223,Client-O8,AMER,client_billable,time_and_materials,
PRJ1275,Client Engagement 224,Client-P8,AMER,client_billable,time_and_materials,
PRJ1273,Client Engagement 225,Client-Q8,AMER,client_billable,time_and_materials,
PRJ1395,Client Engagement 226,Client-R8,AMER,client_billable,time_and_materials,
PRJ1119,Client Engagement 227,Client-S8,AMER,client_billable,time_and_materials,
PRJ1656,Client Engagement 228,Client-T8,AMER,client_billable,time_and_materials,
PRJ2035,Client Engagement 229,Client-U8,EMEA,client_billable,time_and_materials,
PRJ2202,Client Engagement 230,Client-V8,EMEA,client_billable,time_and_materials,
PRJ3320,Client Engagement 231,Client-W8,APAC,client_billable,time_and_materials,
PRJ1126,Client Engagement 232,Client-X8,AMER,client_billable,time_and_materials,
PRJ3520,Client Engagement 233,Client-Y8,APAC,client_billable,fixed_fee,86.8
PRJ2464,Client Engagement 234,Client-Z8,EMEA,client_billable,time_and_materials,
PRJ1279,Client Engagement 235,Client-A9,AMER,client_billable,time_and_materials,
PRJ2124,Client Engagement 236,Client-B9,EMEA,client_billable,time_and_materials,
PRJ1887,Client Engagement 237,Client-C9,AMER,client_billable,time_and_materials,
PRJ2860,Client Engagement 238,Client-D9,EMEA,client_billable,fixed_fee,420.5
PRJ1663,Client Engagement 239,Client-E9,AMER,client_billable,time_and_materials,
PRJ1399,Client Engagement 240,Client-F9,AMER,client_billable,time_and_materials,
PRJ1238,Client Engagement 241,Client-G9,AMER,client_billable,time_and_materials,
PRJ2350,Client Engagement 242,Client-H9,EMEA,client_billable,fixed_fee,545.4
PRJ1434,Client Engagement 243,Client-I9,AMER,client_billable,fixed_fee,272.6
PRJ2244,Client Engagement 244,Client-J9,EMEA,client_billable,time_and_materials,
PRJ2585,Client Engagement 245,Client-K9,EMEA,client_billable,time_and_materials,
PRJ2794,Client Engagement 246,Client-L9,EMEA,client_billable,time_and_materials,
PRJ2222,Client Engagement 247,Client-M9,EMEA,client_billable,time_and_materials,
PRJ1889,Client Engagement 248,Client-N9,AMER,client_billable,time_and_materials,
PRJ1364,Client Engagement 249,Client-O9,AMER,client_billable,time_and_materials,
PRJ2761,Client Engagement 250,Client-P9,EMEA,client_billable,time_and_materials,
PRJ1603,Client Engagement 251,Client-Q9,AMER,client_billable,time_and_materials,
PRJ3128,Client Engagement 252,Client-R9,APAC,client_billable,time_and_materials,
PRJ1846,Client Engagement 253,Client-S9,AMER,client_billable,time_and_materials,
PRJ2394,Client Engagement 254,Client-T9,EMEA,client_billable,time_and_materials,
PRJ3323,Client Engagement 255,Client-U9,APAC,client_billable,time_and_materials,
PRJ1226,Client Engagement 256,Client-V9,AMER,client_billable,fixed_fee,189.4
PRJ1524,Client Engagement 257,Client-W9,AMER,client_billable,time_and_materials,
PRJ2269,Client Engagement 258,Client-X9,EMEA,client_billable,fixed_fee,178.9
PRJ2058,Client Engagement 259,Client-Y9,EMEA,client_billable,fixed_fee,178.7
PRJ2221,Client Engagement 260,Client-Z9,EMEA,client_billable,fixed_fee,682.0
PRJ3714,Client Engagement 261,Client-A10,APAC,client_billable,time_and_materials,
PRJ2793,Client Engagement 262,Client-B10,EMEA,client_billable,fixed_fee,358.9
PRJ1891,Client Engagement 263,Client-C10,AMER,client_billable,fixed_fee,176.6
PRJ3180,Client Engagement 264,Client-D10,APAC,client_billable,time_and_materials,
PRJ2990,Client Engagement 265,Client-E10,EMEA,client_billable,time_and_materials,
PRJ3573,Client Engagement 266,Client-F10,APAC,client_billable,time_and_materials,
PRJ1250,Client Engagement 267,Client-G10,AMER,client_billable,time_and_materials,
PRJ1683,Client Engagement 268,Client-H10,AMER,client_billable,time_and_materials,
PRJ1220,Client Engagement 269,Client-I10,AMER,client_billable,time_and_materials,
PRJ1466,Client Engagement 270,Client-J10,AMER,client_billable,time_and_materials,
PRJ3872,Client Engagement 271,Client-K10,APAC,client_billable,time_and_materials,
PRJ3324,Client Engagement 272,Client-L10,APAC,client_billable,fixed_fee,212.4
PRJ2120,Client Engagement 273,Client-M10,EMEA,client_billable,time_and_materials,
PRJ3668,Client Engagement 274,Client-N10,APAC,client_billable,time_and_materials,
PRJ1990,Client Engagement 275,Client-O10,AMER,client_billable,time_and_materials,
PRJ1390,Client Engagement 276,Client-P10,AMER,client_billable,fixed_fee,382.7
PRJ1573,Client Engagement 277,Client-Q10,AMER,client_billable,time_and_materials,
PRJ2880,Client Engagement 278,Client-R10,EMEA,client_billable,time_and_materials,
PRJ1850,Client Engagement 279,Client-S10,AMER,client_billable,time_and_materials,
PRJ2217,Client Engagement 280,Client-T10,EMEA,client_billable,time_and_materials,
PRJ2363,Client Engagement 281,Client-U10,EMEA,client_billable,time_and_materials,
PRJ2287,Client Engagement 282,Client-V10,EMEA,client_billable,time_and_materials,
PRJ2662,Client Engagement 283,Client-W10,EMEA,client_billable,time_and_materials,
PRJ1788,Client Engagement 284,Client-X10,AMER,client_billable,time_and_materials,
PRJ2646,Client Engagement 285,Client-Y10,EMEA,client_billable,time_and_materials,
PRJ1154,Client Engagement 286,Client-Z10,AMER,client_billable,time_and_materials,
PRJ2983,Client Engagement 287,Client-A11,EMEA,client_billable,time_and_materials,
PRJ1632,Client Engagement 288,Client-B11,AMER,client_billable,time_and_materials,
PRJ3383,Client Engagement 289,Client-C11,APAC,client_billable,time_and_materials,
PRJ2054,Client Engagement 290,Client-D11,EMEA,client_billable,time_and_materials,
PRJ3934,Client Engagement 291,Client-E11,APAC,client_billable,time_and_materials,
PRJ3532,Client Engagement 292,Client-F11,APAC,client_billable,time_and_materials,
PRJ2475,Client Engagement 293,Client-G11,EMEA,client_billable,time_and_materials,
PRJ2658,Client Engagement 294,Client-H11,EMEA,client_billable,time_and_materials,
PRJ1692,Client Engagement 295,Client-I11,AMER,client_billable,time_and_materials,
PRJ2619,Client Engagement 296,Client-J11,EMEA,client_billable,time_and_materials,
PRJ3238,Client Engagement 297,Client-K11,APAC,client_billable,time_and_materials,
PRJ1939,Client Engagement 298,Client-L11,AMER,client_billable,time_and_materials,
PRJ3237,Client Engagement 299,Client-M11,APAC,client_billable,time_and_materials,
PRJ1081,Client Engagement 300,Client-N11,AMER,client_billable,time_and_materials,
PRJ2361,Client Engagement 301,Client-O11,EMEA,client_billable,time_and_materials,
PRJ1702,Client Engagement 302,Client-P11,AMER,client_billable,time_and_materials,
PRJ2160,Client Engagement 303,Client-Q11,EMEA,client_billable,time_and_materials,
PRJ1212,Client Engagement 304,Client-R11,AMER,client_billable,time_and_materials,
PRJ1236,Client Engagement 305,Client-S11,AMER,client_billable,fixed_fee,162.5
PRJ1020,Client Engagement 306,Client-T11,AMER,client_billable,time_and_materials,
PRJ1319,Client Engagement 307,Client-U11,AMER,client_billable,fixed_fee,503.8
PRJ2574,Client Engagement 308,Client-V11,EMEA,client_billable,time_and_materials,
PRJ1627,Client Engagement 309,Client-W11,AMER,client_billable,time_and_materials,
PRJ1689,Client Engagement 310,Client-X11,AMER,client_billable,time_and_materials,
PRJ2873,Client Engagement 311,Client-Y11,EMEA,client_billable,time_and_materials,
PRJ1060,Client Engagement 312,Client-Z11,AMER,client_billable,time_and_materials,
PRJ1768,Client Engagement 313,Client-A12,AMER,client_billable,time_and_materials,
PRJ3812,Client Engagement 314,Client-B12,APAC,client_billable,time_and_materials,
PRJ3769,Client Engagement 315,Client-C12,APAC,client_billable,time_and_materials,
PRJ1224,Client Engagement 316,Client-D12,AMER,client_billable,time_and_materials,
PRJ1245,Client Engagement 317,Client-E12,AMER,client_billable,time_and_materials,
PRJ1308,Client Engagement 318,Client-F12,AMER,client_billable,time_and_materials,
PRJ2554,Client Engagement 319,Client-G12,EMEA,client_billable,time_and_materials,
PRJ3190,Client Engagement 320,Client-H12,APAC,client_billable,time_and_materials,
PRJ1454,Client Engagement 321,Client-I12,AMER,client_billable,time_and_materials,
PRJ3007,Client Engagement 322,Client-J12,APAC,client_billable,time_and_materials,
PRJ2490,Client Engagement 323,Client-K12,EMEA,client_billable,time_and_materials,
PRJ2356,Client Engagement 324,Client-L12,EMEA,client_billable,time_and_materials,
PRJ1917,Client Engagement 325,Client-M12,AMER,client_billable,time_and_materials,
PRJ2169,Client Engagement 326,Client-N12,EMEA,client_billable,time_and_materials,
PRJ1566,Client Engagement 327,Client-O12,AMER,client_billable,time_and_materials,
PRJ1616,Client Engagement 328,Client-P12,AMER,client_billable,time_and_materials,
PRJ2262,Client Engagement 329,Client-Q12,EMEA,client_billable,time_and_materials,
PRJ1767,Client Engagement 330,Client-R12,AMER,client_billable,time_and_materials,
PRJ1654,Client Engagement 331,Client-S12,AMER,client_billable,fixed_fee,76.3
PRJ2440,Client Engagement 332,Client-T12,EMEA,client_billable,time_and_materials,
PRJ2841,Client Engagement 333,Client-U12,EMEA,client_billable,time_and_materials,
PRJ1203,Client Engagement 334,Client-V12,AMER,client_billable,fixed_fee,184.1
PRJ2078,Client Engagement 335,Client-W12,EMEA,client_billable,time_and_materials,
PRJ2205,Client Engagement 336,Client-X12,EMEA,client_billable,fixed_fee,368.2
PRJ1065,Client Engagement 337,Client-Y12,AMER,client_billable,time_and_materials,
PRJ2292,Client Engagement 338,Client-Z12,EMEA,client_billable,time_and_materials,
PRJ2491,Client Engagement 339,Client-A13,EMEA,client_billable,time_and_materials,
PRJ1601,Client Engagement 340,Client-B13,AMER,client_billable,time_and_materials,
PRJ3373,Client Engagement 341,Client-C13,APAC,client_billable,fixed_fee,195.6
PRJ3840,Client Engagement 342,Client-D13,APAC,client_billable,fixed_fee,94.0
PRJ2324,Client Engagement 343,Client-E13,EMEA,client_billable,time_and_materials,
PRJ2636,Client Engagement 344,Client-F13,EMEA,client_billable,time_and_materials,
PRJ1430,Client Engagement 345,Client-G13,AMER,client_billable,time_and_materials,
PRJ2323,Client Engagement 346,Client-H13,EMEA,client_billable,time_and_materials,
PRJ1008,Client Engagement 347,Client-I13,AMER,client_billable,fixed_fee,111.4
PRJ3068,Client Engagement 348,Client-J13,APAC,client_billable,time_and_materials,
PRJ2047,Client Engagement 349,Client-K13,EMEA,client_billable,time_and_materials,
PRJ2237,Client Engagement 350,Client-L13,EMEA,client_billable,time_and_materials,
