driver_id,fleet_type,home_borough
454,premium,Brooklyn
455,standard,Bronx
456,premium,Manhattan
457,premium,Brooklyn
458,premium,Queens
459,premium,Brooklyn
460,hybrid,Brooklyn
461,hybrid,Queens
462,premium,Brooklyn
463,standard,Manhattan
464,hybrid,Manhattan
465,hybrid,Queens
466,premium,Manhattan
467,hybrid,Brooklyn
468,premium,Manhattan
469,standard,Queens
470,hybrid,Manhattan
471,hybrid,Queens
472,premium,Bronx
473,hybrid,Bronx
474,hybrid,Bronx
475,standard,Manhattan
476,hybrid,Manhattan
477,hybrid,Manhattan
478,hybrid,Bronx
479,hybrid,Bronx
480,premium,Brooklyn
481,standard,Manhattan
482,premium,Bronx
483,hybrid,Queens
484,premium,Bronx
485,hybrid,Queens
486,premium,Brooklyn
487,hybrid,Bronx
488,hybrid,Brooklyn
489,premium,Manhattan
490,hybrid,Brooklyn
491,standard,Brooklyn
492,premium,Bronx
493,standard,Queens
494,standard,Manhattan
495,standard,Queens
496,standard,Bronx
497,premium,Manhattan
498,standard,Brooklyn
499,standard,Manhattan
500,standard,Queens
501,standard,Brooklyn
502,premium,Brooklyn
503,standard,Brooklyn
504,standard,Bronx
505,hybrid,Bronx
506,standard,Manhattan
507,standard,Queens
508,premium,Queens
509,standard,Brooklyn
510,hybrid,Queens
511,standard,Manhattan
512,hybrid,Queens
513,standard,Manhattan
514,hybrid,Queens
515,premium,Queens
516,premium,Brooklyn
517,premium,Bronx
518,hybrid,Brooklyn
519,standard,Bronx
520,standard,Bronx
521,premium,Queens
522,standard,Brooklyn
523,standard,Brooklyn
524,premium,Brooklyn
525,standard,Brooklyn
526,hybrid,Manhattan
527,premium,Bronx
528,standard,Bronx
529,premium,Bronx
530,premium,Manhattan
531,standard,Brooklyn
532,standard,Brooklyn
533,hybrid,Bronx
534,premium,Queens
535,hybrid,Brooklyn
536,hybrid,Manhattan
537,standard,Manhattan
538,standard,Queens
539,standard,Brooklyn
540,hybrid,Brooklyn
541,hybrid,Queens
542,premium,Queens
543,standard,Bronx
544,premium,Brooklyn
545,premium,Manhattan
546,standard,Bronx
547,hybrid,Manhattan
548,premium,Brooklyn
549,standard,Bronx
550,standard,Queens
551,standard,Manhattan
552,standard,Manhattan
553,premium,Brooklyn
554,hybrid,Bronx
555,premium,Bronx
556,premium,Bronx
557,hybrid,Brooklyn
558,premium,Queens
559,standard,Brooklyn
560,hybrid,Brooklyn
561,hybrid,Bronx
562,premium,Bronx
563,premium,Manhattan
564,hybrid,Queens
565,standard,Queens
566,hybrid,Queens
567,hybrid,Bronx
568,premium,Bronx
569,premium,Bronx
570,premium,Brooklyn
571,premium,Brooklyn
572,premium,Brooklyn
573,premium,Manhattan
574,premium,Manhattan
575,standard,Brooklyn
576,premium,Queens
577,hybrid,Bronx
578,standard,Queens
579,hybrid,Manhattan
580,standard,Bronx
581,hybrid,Queens
582,hybrid,Bronx
583,premium,Bronx
584,premium,Manhattan
585,premium,Brooklyn
586,premium,Bronx
587,premium,Bronx
588,standard,Brooklyn
589,premium,Bronx
590,hybrid,Brooklyn
591,premium,Bronx
592,hybrid,Manhattan
593,standard,Brooklyn
594,premium,Manhattan
595,standard,Bronx
596,premium,Manhattan
597,standard,Bronx
598,hybrid,Brooklyn
599,premium,Manhattan
600,standard,Queens
601,hybrid,Queens
602,premium,Bronx
603,standard,Brooklyn
604,premium,Brooklyn
605,premium,Bronx
606,standard,Brooklyn
607,standard,Manhattan
608,premium,Bronx
609,hybrid,Bronx
610,premium,Manhattan
611,hybrid,Queens
612,premium,Manhattan
613,standard,Bronx
614,hybrid,Queens
615,hybrid,Brooklyn
616,premium,Queens
617,standard,Queens
618,standard,Bronx
619,standard,Manhattan
620,hybrid,Manhattan
621,hybrid,Bronx
622,premium,Queens
623,hybrid,Bronx
624,premium,Queens
625,standard,Bronx
626,hybrid,Manhattan
627,premium,Manhattan
628,hybrid,Brooklyn
629,hybrid,Queens
630,premium,Bronx
631,standard,Brooklyn
632,premium,Bronx
633,hybrid,Brooklyn
634,premium,Manhattan
635,hybrid,Brooklyn
636,premium,Manhattan
637,hybrid,Manhattan
638,premium,Brooklyn
639,premium,Queens
640,hybrid,Manhattan
641,premium,Brooklyn
642,hybrid,Queens
643,standard,Queens
644,premium,Bronx
645,premium,Queens
646,standard,Manhattan
647,premium,Brooklyn
648,premium,Brooklyn
649,premium,Manhattan
650,hybrid,Queens
651,standard,Bronx
652,premium,Manhattan
653,hybrid,Bronx
654,hybrid,Manhattan
655,premium,Brooklyn
656,hybrid,Bronx
657,premium,Manhattan
658,premium,Queens
659,hybrid,Brooklyn
660,standard,Manhattan
661,premium,Brooklyn
662,standard,Manhattan
663,standard,Manhattan
664,hybrid,Manhattan
665,premium,Brooklyn
666,hybrid,Manhattan
667,standard,Bronx
668,premium,Queens
669,standard,Bronx
670,hybrid,Queens
671,standard,Manhattan
672,hybrid,Manhattan
673,hybrid,Queens
674,hybrid,Queens
675,hybrid,Manhattan
676,standard,Queens
677,standard,Manhattan
678,premium,Brooklyn
679,premium,Manhattan
680,hybrid,Queens
681,hybrid,Queens
682,hybrid,Queens
683,premium,Queens
684,standard,Bronx
685,standard,Brooklyn
686,hybrid,Bronx
687,premium,Bronx
688,premium,Bronx
689,premium,Manhattan
690,hybrid,Queens
691,premium,Queens
692,premium,Bronx
693,standard,Manhattan
694,premium,Bronx
695,hybrid,Brooklyn
696,standard,Queens
697,standard,Queens
698,premium,Manhattan
699,standard,Brooklyn
700,standard,Queens
701,standard,Brooklyn
702,premium,Bronx
703,hybrid,Manhattan
704,hybrid,Brooklyn
705,premium,Queens
706,hybrid,Bronx
707,premium,Manhattan
708,hybrid,Queens
709,premium,Bronx
710,premium,Bronx
711,premium,Brooklyn
712,standard,Bronx
713,premium,Brooklyn
714,hybrid,Brooklyn
715,hybrid,Bronx
716,standard,Bronx
717,hybrid,Bronx
718,hybrid,Bronx
719,hybrid,Queens
720,premium,Queens
721,premium,Queens
722,standard,Manhattan
723,hybrid,Queens
724,hybrid,Queens
725,hybrid,Bronx
726,premium,Bronx
727,premium,Manhattan
728,hybrid,Brooklyn
729,premium,Bronx
730,standard,Brooklyn
731,standard,Brooklyn
732,premium,Queens
733,premium,Brooklyn
734,standard,Queens
735,standard,Queens
736,standard,Brooklyn
737,standard,Bronx
738,hybrid,Bronx
739,standard,Queens
740,premium,Queens
741,hybrid,Manhattan
742,premium,Queens
743,standard,Brooklyn
744,hybrid,Manhattan
745,premium,Bronx
746,hybrid,Bronx
747,premium,Queens
748,premium,Manhattan
749,standard,Brooklyn
750,premium,Brooklyn
751,standard,Brooklyn
752,premium,Queens
753,hybrid,Queens
754,standard,Queens
755,standard,Manhattan
756,premium,Queens
757,premium,Queens
758,standard,Manhattan
759,standard,Brooklyn
760,standard,Bronx
761,hybrid,Manhattan
762,standard,Queens
763,premium,Queens
764,premium,Manhattan
765,standard,Brooklyn
766,standard,Queens
767,hybrid,Queens
768,standard,Bronx
769,hybrid,Brooklyn
770,premium,Brooklyn
771,premium,Queens
772,standard,Manhattan
773,hybrid,Brooklyn
774,premium,Queens
775,hybrid,Queens
776,standard,Queens
777,premium,Queens
778,standard,Bronx
779,premium,Bronx
780,standard,Bronx
781,standard,Queens
782,hybrid,Brooklyn
783,standard,Queens
784,hybrid,Manhattan
785,standard,Manhattan
786,premium,Manhattan
787,standard,Manhattan
788,hybrid,Bronx
789,standard,Bronx
790,hybrid,Manhattan
791,standard,Queens
792,premium,Bronx
793,hybrid,Bronx
794,standard,Brooklyn
795,premium,Queens
796,premium,Brooklyn
797,standard,Manhattan
798,premium,Queens
799,premium,Manhattan
800,premium,Brooklyn
801,premium,Brooklyn
802,premium,Manhattan
803,premium,Queens
804,standard,Bronx
805,standard,Manhattan
806,hybrid,Manhattan
807,premium,Brooklyn
808,hybrid,Brooklyn
809,hybrid,Brooklyn
810,hybrid,Queens
811,hybrid,Brooklyn
812,standard,Brooklyn
813,standard,Queens
814,standard,Brooklyn
815,standard,Queens
816,standard,Bronx
817,standard,Bronx
818,premium,Manhattan
819,standard,Queens
820,hybrid,Manhattan
821,premium,Queens
822,standard,Brooklyn
823,premium,Brooklyn
824,standard,Queens
825,hybrid,Queens
826,standard,Bronx
827,hybrid,Queens
828,premium,Bronx
829,hybrid,Brooklyn
830,premium,Bronx
831,hybrid,Brooklyn
832,hybrid,Bronx
833,standard,Bronx
834,hybrid,Brooklyn
835,hybrid,Bronx
836,hybrid,Manhattan
837,standard,Brooklyn
838,hybrid,Manhattan
839,premium,Manhattan
840,hybrid,Bronx
841,hybrid,Brooklyn
842,hybrid,Bronx
843,hybrid,Queens
844,standard,Brooklyn
845,premium,Manhattan
846,hybrid,Bronx
847,premium,Bronx
848,hybrid,Brooklyn
849,standard,Brooklyn
850,premium,Queens
851,standard,Brooklyn
852,standard,Bronx
853,standard,Brooklyn
854,premium,Brooklyn
855,premium,Brooklyn
856,standard,Queens
857,standard,Queens
858,hybrid,Bronx
859,premium,Bronx
860,premium,Bronx
861,hybrid,Queens
862,premium,Bronx
863,hybrid,Manhattan
864,standard,Bronx
865,premium,Brooklyn
866,hybrid,Bronx
867,standard,Manhattan
868,standard,Manhattan
869,premium,Brooklyn
870,standard,Manhattan
871,standard,Queens
872,hybrid,Manhattan
873,standard,Bronx
874,hybrid,Manhattan
875,premium,Bronx
876,standard,Manhattan
877,hybrid,Manhattan
878,premium,Brooklyn
879,standard,Bronx
880,premium,Queens
881,standard,Manhattan
882,standard,Brooklyn
883,standard,Bronx
884,hybrid,Brooklyn
885,standard,Bronx
886,standard,Brooklyn
887,hybrid,Bronx
888,standard,Manhattan
889,premium,Brooklyn
890,premium,Queens
891,premium,Manhattan
892,standard,Brooklyn
893,standard,Manhattan
894,standard,Manhattan
895,hybrid,Bronx
896,standard,Manhattan
897,standard,Manhattan
898,standard,Bronx
899,hybrid,Queens
900,premium,Brooklyn
901,premium,Queens
902,hybrid,Queens
903,standard,Manhattan
904,hybrid,Bronx
905,hybrid,Queens
906,premium,Manhattan
907,standard,Brooklyn
908,standard,Bronx
909,standard,Manhattan
910,hybrid,Queens
911,hybrid,Brooklyn
912,standard,Bronx
913,standard,Bronx
914,premium,Bronx
915,premium,Manhattan
916,standard,Manhattan
917,premium,Bronx
918,hybrid,Manhattan
919,hybrid,Queens
920,premium,Manhattan
921,hybrid,Bronx
922,hybrid,Queens
923,premium,Bronx
924,premium,Bronx
925,standard,Queens
926,hybrid,Brooklyn
927,standard,Queens
928,standard,Queens
929,premium,Manhattan
930,premium,Queens
931,standard,Manhattan
932,standard,Brooklyn
933,hybrid,Brooklyn
934,premium,Manhattan
935,standard,Brooklyn
936,premium,Bronx
937,standard,Manhattan
938,premium,Brooklyn
939,hybrid,Manhattan
940,premium,Manhattan
941,standard,Brooklyn
942,hybrid,Manhattan
943,premium,Brooklyn
944,standard,Queens
945,hybrid,Queens
946,standard,Brooklyn
947,hybrid,Brooklyn
948,standard,Bronx
949,standard,Brooklyn
950,premium,Brooklyn
951,premium,Queens
952,standard,Bronx
953,premium,Brooklyn
954,standard,Brooklyn
955,hybrid,Queens
956,standard,Bronx
957,premium,Queens
958,standard,Queens
959,premium,Queens
960,premium,Brooklyn
961,standard,Queens
962,premium,Queens
963,standard,Manhattan
964,premium,Bronx
965,hybrid,Manhattan
966,hybrid,Manhattan
967,standard,Bronx
968,standard,Manhattan
969,hybrid,Brooklyn
970,standard,Manhattan
971,standard,Bronx
972,hybrid,Bronx
973,premium,Queens
974,hybrid,Brooklyn
975,premium,Bronx
976,standard,Brooklyn
977,standard,Brooklyn
978,hybrid,Brooklyn
979,standard,Manhattan
980,hybrid,Brooklyn
981,hybrid,Queens
982,hybrid,Bronx
983,hybrid,Brooklyn
984,hybrid,Brooklyn
985,standard,Manhattan
986,premium,Manhattan
987,hybrid,Manhattan
988,standard,Queens
989,premium,Brooklyn
990,standard,Bronx
991,standard,Manhattan
992,premium,Queens
993,premium,Bronx
994,standard,Brooklyn
995,premium,Bronx
996,standard,Manhattan
997,premium,Manhattan
998,standard,Brooklyn
999,premium,Manhattan
1000,hybrid,Brooklyn
1001,standard,Brooklyn
1002,standard,Bronx
1003,standard,Bronx
1004,standard,Manhattan
1005,premium,Brooklyn
1006,hybrid,Bronx
1007,standard,Manhattan
1008,hybrid,Queens
1009,premium,Brooklyn
1010,premium,Brooklyn
1011,premium,Brooklyn
1012,standard,Queens
1013,standard,Brooklyn
1014,premium,Manhattan
1015,hybrid,Queens
1016,standard,Brooklyn
1017,hybrid,Brooklyn
1018,hybrid,Queens
1019,standard,Bronx
1020,hybrid,Brooklyn
1021,standard,Bronx
1022,hybrid,Brooklyn
1023,hybrid,Bronx
1024,premium,Bronx
1025,hybrid,Manhattan
1026,premium,Bronx
1027,premium,Brooklyn
1028,premium,Queens
1029,standard,Manhattan
1030,standard,Bronx
1031,standard,Brooklyn
1032,hybrid,Queens
1033,standard,Queens
1034,hybrid,Queens
1035,standard,Brooklyn
1036,hybrid,Queens
1037,standard,Bronx
1038,standard,Queens
1039,standard,Brooklyn
1040,standard,Queens
1041,premium,Manhattan
1042,premium,Manhattan
1043,premium,Brooklyn
1044,hybrid,Bronx
1045,premium,Queens
1046,standard,Bronx
1047,premium,Bronx
1048,standard,Bronx
1049,premium,Bronx
1050,premium,Brooklyn
1051,premium,Manhattan
1052,premium,Bronx
1053,premium,Manhattan
1054,premium,Queens
1055,hybrid,Queens
1056,premium,Manhattan
1057,standard,Brooklyn
1058,hybrid,Brooklyn
1059,standard,Queens
1060,standard,Brooklyn
1061,standard,Brooklyn
1062,hybrid,Bronx
1063,hybrid,Brooklyn
1064,hybrid,Queens
1065,premium,Bronx
1066,premium,Bronx
1067,premium,Bronx
1068,premium,Queens
1069,premium,Brooklyn
1070,hybrid,Bronx
1071,premium,Bronx
1072,premium,Manhattan
1073,standard,Brooklyn
1074,standard,Bronx
1075,hybrid,Manhattan
1076,standard,Manhattan
1077,standard,Bronx
1078,standard,Manhattan
1079,standard,Bronx
1080,standard,Bronx
1081,hybrid,Manhattan
1082,premium,Manhattan
1083,premium,Bronx
1084,premium,Brooklyn
1085,standard,Manhattan
1086,standard,Manhattan
1087,hybrid,Brooklyn
1088,standard,Bronx
1089,hybrid,Manhattan
1090,premium,Queens
1091,standard,Manhattan
1092,hybrid,Bronx
1093,hybrid,Bronx
1094,standard,Bronx
1095,premium,Queens
1096,standard,Bronx
1097,premium,Queens
1098,premium,Queens
1099,premium,Bronx
1100,hybrid,Queens
1101,standard,Queens
1102,hybrid,Brooklyn
1103,standard,Brooklyn
1104,standard,Bronx
1105,premium,Queens
1106,standard,Bronx
1107,hybrid,Manhattan
1108,standard,Brooklyn
1109,hybrid,Bronx
1110,standard,Brooklyn
1111,premium,Manhattan
1112,standard,Brooklyn
1113,hybrid,Queens
1114,hybrid,Brooklyn
1115,standard,Queens
1116,hybrid,Bronx
1117,hybrid,Bronx
1118,standard,Bronx
1119,premium,Bronx
1120,premium,Queens
1121,hybrid,Bronx
1122,standard,Brooklyn
1123,hybrid,Manhattan
1124,premium,Manhattan
1125,hybrid,Queens
1126,hybrid,Brooklyn
1127,hybrid,Bronx
1128,hybrid,Bronx
1129,premium,Brooklyn
1130,standard,Brooklyn
1131,hybrid,Queens
1132,standard,Brooklyn
1133,standard,Brooklyn
1134,hybrid,Bronx
1135,hybrid,Queens
1136,standard,Brooklyn
1137,standard,Bronx
1138,hybrid,Bronx
1139,premium,Brooklyn
1140,standard,Brooklyn
1141,standard,Brooklyn
1142,premium,Brooklyn
1143,premium,Manhattan
1144,standard,Queens
1145,hybrid,Brooklyn
1146,premium,Brooklyn
1147,premium,Queens
1148,hybrid,Brooklyn
1149,hybrid,Queens
1150,hybrid,Queens
1151,standard,Queens
1152,standard,Brooklyn
1153,hybrid,Queens
1154,hybrid,Manhattan
1155,premium,Brooklyn
1156,hybrid,Bronx
1157,premium,Bronx
1158,standard,Manhattan
1159,premium,Manhattan
1160,standard,Brooklyn
1161,premium,Brooklyn
1162,standard,Manhattan
1163,standard,Bronx
1164,premium,Queens
1165,premium,Manhattan
1166,standard,Bronx
1167,premium,Manhattan
1168,premium,Manhattan
1169,standard,Bronx
1170,premium,Manhattan
1171,hybrid,Queens
1172,standard,Manhattan
1173,premium,Brooklyn
1174,hybrid,Queens
1175,hybrid,Manhattan
1176,premium,Brooklyn
1177,standard,Bronx
1178,hybrid,Bronx
1179,hybrid,Manhattan
1180,premium,Queens
1181,premium,Bronx
1182,premium,Queens
1183,premium,Queens
1184,hybrid,Bronx
1185,standard,Bronx
1186,premium,Queens
1187,standard,Queens
1188,standard,Manhattan
1189,premium,Bronx
1190,hybrid,Brooklyn
1191,standard,Manhattan
1192,standard,Manhattan
1193,standard,Brooklyn
1194,hybrid,Brooklyn
1195,premium,Queens
1196,standard,Queens
1197,premium,Brooklyn
1198,hybrid,Brooklyn
1199,premium,Bronx
1200,hybrid,Bronx
1201,standard,Manhattan
1202,premium,Brooklyn
1203,premium,Bronx
1204,standard,Queens
1205,premium,Manhattan
1206,hybrid,Bronx
1207,premium,Queens
1208,standard,Queens
1209,premium,Brooklyn
1210,standard,Queens
1211,standard,Manhattan
1212,hybrid,Manhattan
1213,standard,Bronx
1214,hybrid,Queens
1215,premium,Brooklyn
1216,hybrid,Queens
1217,standard,Queens
1218,hybrid,Manhattan
1219,standard,Manhattan
1220,standard,Bronx
1221,hybrid,Manhattan
1222,premium,Manhattan
1223,hybrid,Brooklyn
1224,hybrid,Bronx
1225,hybrid,Manhattan
1226,standard,Queens
1227,hybrid,Brooklyn
1228,hybrid,Brooklyn
1229,hybrid,Brooklyn
1230,premium,Manhattan
1231,standard,Bronx
1232,premium,Bronx
