leave_id,spell_id,leave_start,leave_end
LV00045,SPL00205,2022-04-17,2022-07-15
LV00046,SPL00212,2023-04-30,2023-06-09
LV00047,SPL00217,2023-10-24,2024-02-10
LV00048,SPL00221,2022-04-14,2022-05-24
LV00049,SPL00221,2022-08-05,2022-10-23
LV00050,SPL00224,2023-05-07,2023-08-17
LV00051,SPL00232,2024-06-14,2024-07-22
LV00052,SPL00242,2024-06-26,2024-08-17
LV00053,SPL00256,2024-04-11,2024-07-31
LV00054,SPL00267,2022-05-02,2022-07-01
LV00055,SPL00267,2022-09-07,2022-12-04
LV00056,SPL00273,2024-04-12,2024-05-31
LV00057,SPL00282,2024-04-25,2024-08-01
LV00058,SPL00289,2023-11-04,2024-01-17
LV00059,SPL00296,2024-05-27,2024-08-19
LV00060,SPL00304,2023-01-05,2023-04-17
LV00061,SPL00334,2024-01-24,2024-04-04
LV00062,SPL00345,2021-11-02,2022-02-19
LV00063,SPL00349,2019-06-06,2019-08-02
LV00064,SPL00358,2022-07-06,2022-10-04
LV00065,SPL00368,2023-07-20,2023-10-09
LV00066,SPL00371,2021-12-16,2022-02-28
LV00067,SPL00389,2023-06-20,2023-07-18
LV00068,SPL00392,2021-08-18,2021-10-01
LV00069,SPL00405,2021-02-12,2021-05-03
LV00070,SPL00416,2023-07-01,2023-09-02
LV00071,SPL00421,2023-03-25,2023-07-16
LV00072,SPL00422,2024-04-29,2024-07-12
LV00073,SPL00423,2020-08-24,2020-11-02
LV00074,SPL00423,2021-10-18,2022-01-24
LV00075,SPL00436,2024-06-27,2024-07-19
LV00076,SPL00439,2023-12-21,2024-02-12
LV00077,SPL00455,2023-01-13,2023-05-02
LV00078,SPL00459,2020-07-29,2020-11-18
LV00079,SPL00459,2020-12-20,2021-01-11
LV00080,SPL00464,2021-11-29,2022-01-31
LV00081,SPL00466,2023-08-27,2023-12-05
LV00082,SPL00477,2022-03-18,2022-06-01
LV00083,SPL00496,2023-11-11,2024-02-20
LV00084,SPL00496,2024-05-02,2024-07-14
LV00085,SPL00511,2023-12-31,2024-04-04
LV00086,SPL00511,2024-06-13,2024-08-04
LV00087,SPL00515,2023-01-30,2023-05-29
LV00088,SPL00519,2024-03-30,2024-04-22
LV00089,SPL00527,2024-05-16,2024-07-20
LV00090,SPL00541,2023-03-16,2023-06-05
LV00091,SPL00559,2023-11-14,2023-12-23
LV00092,SPL00564,2021-04-04,2021-05-02
LV00093,SPL00564,2021-05-13,2021-07-11
LV00094,SPL00573,2023-11-25,2024-03-01
LV00095,SPL00574,2020-04-20,2020-07-16
LV00096,SPL00575,2024-06-25,2024-08-23
LV00097,SPL00576,2024-01-19,2024-05-02
LV00098,SPL00577,2023-08-24,2023-11-07
LV00099,SPL00583,2021-10-25,2021-11-27
LV00100,SPL00584,2024-03-21,2024-07-05
LV00101,SPL00589,2023-04-24,2023-07-31
LV00102,SPL00601,2024-04-06,2024-07-28
LV00103,SPL00603,2022-01-12,2022-05-02
LV00104,SPL00606,2023-08-02,2023-10-15
LV00105,SPL00615,2022-12-15,2023-01-19
LV00106,SPL00616,2021-06-05,2021-09-01
LV00107,SPL00629,2022-05-02,2022-08-22
LV00108,SPL00629,2023-05-05,2023-06-12
LV00109,SPL00642,2024-04-13,2024-07-11
LV00110,SPL00656,2023-08-19,2023-10-14
LV00111,SPL00674,2023-08-27,2023-10-09
LV00112,SPL00675,2020-11-19,2021-02-04
LV00113,SPL00695,2021-10-18,2022-02-03
LV00114,SPL00697,2021-10-04,2022-01-30
LV00115,SPL00705,2024-01-28,2024-03-23
LV00116,SPL00725,2023-10-15,2023-11-09
LV00117,SPL00728,2022-09-23,2023-01-07
LV00118,SPL00745,2022-11-12,2023-02-12
LV00119,SPL00759,2022-10-27,2023-02-07
LV00120,SPL00778,2023-06-08,2023-09-02
LV00121,SPL00791,2021-02-26,2021-05-24
LV00122,SPL00798,2023-09-18,2024-01-02
LV00123,SPL00801,2022-08-01,2022-11-19
LV00124,SPL00805,2023-03-09,2023-05-22
LV00125,SPL00808,2024-06-09,2024-07-24
LV00126,SPL00815,2020-11-20,2021-01-19
LV00127,SPL00818,2024-06-27,2024-09-28
LV00128,SPL00820,2024-01-25,2024-05-12
LV00129,SPL00832,2024-06-23,2024-08-22
LV00130,SPL00839,2023-04-22,2023-05-22
LV00131,SPL00840,2024-02-01,2024-03-02
LV00132,SPL00841,2020-05-13,2020-06-08
LV00133,SPL00865,2021-12-21,2022-03-16
LV00134,SPL00870,2024-01-14,2024-05-05
LV00135,SPL00870,2024-05-06,2024-06-05
LV00136,SPL00871,2024-05-25,2024-08-08
LV00137,SPL00874,2021-08-10,2021-12-03
LV00138,SPL00881,2023-01-22,2023-05-20
LV00139,SPL00886,2020-10-22,2021-02-12
LV00140,SPL00891,2023-07-04,2023-10-29
LV00141,SPL00892,2024-03-22,2024-04-28
LV00142,SPL00892,2024-05-29,2024-09-07
LV00143,SPL00906,2024-06-07,2024-08-16
LV00144,SPL00916,2023-08-23,2023-12-15
LV00145,SPL00919,2022-03-02,2022-05-23
LV00146,SPL00919,2023-12-14,2024-03-27
LV00147,SPL00923,2024-04-16,2024-05-31
LV00148,SPL00926,2023-05-17,2023-07-16
LV00149,SPL00927,2021-05-05,2021-06-08
LV00150,SPL00933,2024-01-22,2024-02-11
LV00151,SPL00936,2022-03-25,2022-05-13
LV00152,SPL00939,2023-10-12,2024-01-21
LV00153,SPL00942,2022-01-12,2022-04-26
LV00154,SPL00958,2022-10-26,2023-02-08
LV00155,SPL00958,2023-02-11,2023-03-15
LV00156,SPL00972,2024-06-20,2024-09-11
LV00157,SPL00974,2020-05-16,2020-09-03
LV00158,SPL00978,2023-07-23,2023-10-05
LV00159,SPL00984,2024-03-15,2024-04-06
LV00160,SPL00992,2023-09-26,2023-12-15
LV00161,SPL00993,2023-04-16,2023-05-19
LV00162,SPL01001,2022-11-26,2023-02-20
LV00163,SPL01001,2023-03-07,2023-06-16
LV00164,SPL01006,2024-03-12,2024-04-18
LV00165,SPL01010,2020-05-17,2020-06-16
LV00166,SPL01011,2024-06-11,2024-07-21
LV00167,SPL01014,2023-04-04,2023-06-11
LV00168,SPL01023,2023-12-18,2024-02-04
LV00169,SPL01042,2023-01-17,2023-05-09
LV00170,SPL01055,2024-06-27,2024-07-18
LV00171,SPL01066,2024-01-27,2024-03-18
LV00172,SPL01099,2024-06-22,2024-07-21
LV00173,SPL01110,2023-11-15,2024-02-12
LV00174,SPL01126,2024-05-27,2024-08-02
LV00175,SPL01128,2024-05-03,2024-06-22
LV00176,SPL01130,2021-10-11,2022-01-17
LV00177,SPL01130,2022-07-21,2022-11-06
LV00178,SPL01134,2023-11-29,2024-02-05
LV00179,SPL01142,2024-01-21,2024-04-19
LV00180,SPL01143,2024-04-23,2024-05-24
LV00181,SPL01165,2024-05-16,2024-08-18
LV00182,SPL01168,2023-12-02,2024-03-13
LV00183,SPL01169,2021-12-30,2022-01-31
LV00184,SPL01171,2024-03-31,2024-07-24
LV00185,SPL01183,2024-05-19,2024-07-16
LV00186,SPL01193,2024-06-12,2024-07-11
LV00187,SPL01195,2022-05-10,2022-07-18
LV00188,SPL01199,2024-06-09,2024-10-04
LV00189,SPL01204,2024-01-04,2024-03-13
LV00190,SPL01209,2024-03-01,2024-05-07
LV00191,SPL01213,2022-03-20,2022-04-14
LV00192,SPL01213,2022-06-12,2022-07-26
LV00193,SPL01214,2024-06-23,2024-07-17
LV00194,SPL01218,2024-06-20,2024-09-14
LV00195,SPL01230,2024-06-02,2024-07-09
LV00196,SPL01232,2021-03-23,2021-07-15
LV00197,SPL01245,2023-02-06,2023-04-17
LV00198,SPL01254,2024-06-22,2024-07-23
LV00199,SPL01270,2024-05-12,2024-09-06
LV00200,SPL01274,2022-11-20,2023-01-20
LV00201,SPL01280,2024-03-06,2024-05-26
LV00202,SPL01280,2024-06-05,2024-08-03
LV00203,SPL01285,2022-12-04,2023-02-26
LV00204,SPL01293,2022-02-01,2022-03-23
LV00205,SPL01303,2023-01-20,2023-03-28
LV00206,SPL01305,2024-01-13,2024-03-05
LV00207,SPL01321,2023-11-05,2023-11-26
LV00208,SPL01328,2024-06-03,2024-07-18
LV00209,SPL01330,2023-06-02,2023-06-26
LV00210,SPL01360,2022-10-18,2023-01-04
LV00211,SPL01379,2023-04-26,2023-05-23
LV00212,SPL01384,2024-06-22,2024-07-12
LV00213,SPL01398,2024-06-17,2024-08-13
LV00214,SPL01400,2024-06-22,2024-08-16
LV00215,SPL01414,2023-06-01,2023-07-06
LV00216,SPL01415,2022-10-19,2022-11-23
LV00217,SPL01416,2020-12-17,2021-03-04
LV00218,SPL01430,2024-06-12,2024-09-27
LV00219,SPL01434,2022-06-16,2022-08-04
LV00220,SPL01442,2024-03-06,2024-06-08
LV00221,SPL01448,2024-05-28,2024-07-25
LV00222,SPL01452,2023-09-09,2023-10-13
LV00223,SPL01453,2023-09-29,2023-11-26
LV00224,SPL01454,2024-06-05,2024-08-08
LV00225,SPL01457,2024-02-16,2024-04-28
LV00226,SPL01459,2021-06-01,2021-07-07
LV00227,SPL01467,2021-11-18,2022-03-17
LV00228,SPL01488,2024-06-24,2024-10-10
LV00229,SPL01492,2023-04-12,2023-05-11
LV00230,SPL01495,2023-12-26,2024-03-30
LV00231,SPL01514,2024-06-25,2024-09-07
LV00232,SPL01516,2022-02-11,2022-03-03
LV00233,SPL01517,2024-06-16,2024-09-03
LV00234,SPL01526,2023-01-22,2023-05-21
LV00235,SPL01526,2023-06-19,2023-10-16
LV00236,SPL01539,2021-09-11,2021-10-29
LV00237,SPL01543,2024-05-19,2024-06-21
LV00238,SPL01563,2023-01-21,2023-04-12
LV00239,SPL01573,2023-06-06,2023-08-24
LV00240,SPL01574,2022-09-17,2022-10-21
LV00241,SPL01575,2024-06-30,2024-09-12
LV00242,SPL01578,2021-11-27,2022-01-09
LV00243,SPL01582,2024-04-14,2024-05-21
LV00244,SPL01583,2024-05-21,2024-07-18
LV00245,SPL01608,2021-07-20,2021-10-14
LV00246,SPL01610,2024-04-18,2024-07-28
LV00247,SPL01615,2020-03-21,2020-04-21
LV00248,SPL01624,2023-01-28,2023-02-21
LV00249,SPL01641,2022-11-09,2022-12-01
LV00250,SPL01641,2023-07-22,2023-10-27
LV00251,SPL01642,2022-02-22,2022-06-19
LV00252,SPL01645,2021-07-30,2021-09-09
LV00253,SPL01645,2022-08-05,2022-10-11
LV00254,SPL01649,2020-09-09,2020-11-20
LV00255,SPL01653,2022-07-04,2022-09-19
LV00256,SPL01654,2021-04-18,2021-07-31
LV00257,SPL01658,2024-06-24,2024-08-13
LV00258,SPL01664,2022-07-11,2022-08-13
LV00259,SPL01666,2023-10-23,2024-02-14
LV00260,SPL01667,2024-04-21,2024-06-09
LV00261,SPL01669,2023-11-23,2024-03-02
LV00262,SPL01681,2024-06-12,2024-09-18
LV00263,SPL01686,2024-06-14,2024-10-07
LV00264,SPL01689,2024-01-30,2024-03-29
LV00265,SPL01693,2019-09-28,2020-01-14
LV00266,SPL01694,2023-03-20,2023-04-11
LV00267,SPL01697,2024-05-23,2024-08-06
LV00268,SPL01713,2020-04-05,2020-07-07
LV00269,SPL01726,2024-06-07,2024-07-31
LV00270,SPL01729,2021-05-02,2021-07-09
LV00271,SPL01750,2024-01-03,2024-03-22
LV00272,SPL01760,2024-05-27,2024-08-21
LV00273,SPL01761,2023-07-03,2023-09-30
LV00274,SPL01763,2024-03-10,2024-04-25
LV00275,SPL01774,2024-06-10,2024-07-09
LV00276,SPL01778,2020-06-09,2020-07-29
LV00277,SPL01782,2024-05-06,2024-07-24
LV00278,SPL01788,2022-04-04,2022-06-07
LV00279,SPL01791,2023-04-03,2023-06-29
LV00280,SPL01794,2022-07-05,2022-08-03
LV00281,SPL01794,2022-08-31,2022-10-20
LV00282,SPL01812,2022-06-08,2022-09-22
LV00283,SPL01817,2021-08-22,2021-11-03
LV00284,SPL01823,2023-10-29,2024-01-12
LV00285,SPL01834,2024-05-16,2024-08-06
LV00286,SPL01835,2024-05-09,2024-08-31
LV00287,SPL01837,2024-06-12,2024-08-13
LV00288,SPL01847,2021-09-12,2021-11-19
LV00289,SPL01852,2021-09-05,2021-10-25
LV00290,SPL01861,2023-10-23,2023-12-25
LV00291,SPL01861,2024-01-24,2024-04-02
LV00292,SPL01868,2021-09-03,2021-11-29
LV00293,SPL01873,2024-05-20,2024-07-18
LV00294,SPL01881,2024-01-18,2024-02-25
LV00295,SPL01899,2024-05-28,2024-08-07
LV00296,SPL01912,2023-05-11,2023-08-30
LV00297,SPL01915,2023-10-21,2023-11-23
LV00298,SPL01927,2023-11-24,2024-03-20
LV00299,SPL01928,2021-12-15,2022-01-24
LV00300,SPL01930,2022-01-14,2022-05-09
LV00301,SPL01935,2024-06-22,2024-09-08
LV00302,SPL01940,2023-06-15,2023-07-23
LV00303,SPL01944,2022-04-19,2022-08-11
LV00304,SPL01946,2024-06-14,2024-07-31
LV00305,SPL01955,2024-05-07,2024-06-22
LV00306,SPL01961,2023-05-01,2023-08-11
LV00307,SPL01966,2022-05-05,2022-06-05
LV00308,SPL01972,2023-03-28,2023-04-30
LV00309,SPL01974,2024-05-02,2024-08-04
LV00310,SPL01978,2023-08-13,2023-10-09
LV00311,SPL01978,2023-10-29,2024-02-23
LV00312,SPL01996,2024-05-26,2024-06-26
LV00313,SPL01997,2020-11-27,2021-01-07
LV00314,SPL02006,2023-02-14,2023-04-15
LV00315,SPL02011,2024-05-08,2024-06-24
LV00316,SPL02014,2023-06-15,2023-08-02
LV00317,SPL02016,2024-04-30,2024-07-22
LV00318,SPL02024,2024-06-14,2024-07-27
LV00319,SPL02025,2024-06-09,2024-07-05
LV00320,SPL02037,2023-10-31,2023-12-02
LV00321,SPL02048,2023-06-16,2023-10-08
LV00322,SPL02050,2021-10-22,2022-01-10
LV00323,SPL02059,2022-08-29,2022-11-22
LV00324,SPL02061,2024-05-27,2024-08-28
LV00325,SPL02078,2024-01-22,2024-03-22
LV00326,SPL02080,2024-02-10,2024-04-12
LV00327,SPL02087,2023-02-21,2023-04-03
LV00328,SPL02096,2024-05-25,2024-07-24
LV00329,SPL02104,2022-10-17,2023-02-11
LV00330,SPL02116,2020-07-09,2020-08-10
LV00331,SPL02118,2021-12-29,2022-02-01
LV00332,SPL02124,2021-06-09,2021-07-09
LV00333,SPL02132,2024-03-29,2024-06-23
LV00334,SPL02141,2024-02-14,2024-03-31
LV00335,SPL02151,2024-06-28,2024-08-27
LV00336,SPL02161,2024-01-19,2024-02-19
LV00337,SPL02164,2020-03-18,2020-07-16
LV00338,SPL02165,2023-03-11,2023-05-24
LV00339,SPL02166,2024-05-07,2024-07-24
LV00340,SPL02168,2023-12-19,2024-02-20
LV00341,SPL02180,2023-06-08,2023-07-22
LV00342,SPL02183,2021-06-02,2021-09-30
LV00343,SPL02196,2024-05-12,2024-07-28
LV00344,SPL02215,2023-11-07,2024-02-03
LV00345,SPL02220,2021-03-20,2021-06-26
LV00346,SPL02231,2022-10-14,2023-01-08
LV00347,SPL02237,2024-05-24,2024-08-08
LV00348,SPL02243,2022-01-01,2022-02-02
LV00349,SPL02246,2024-04-22,2024-07-10
LV00350,SPL02249,2023-05-04,2023-08-24
LV00351,SPL02251,2024-06-20,2024-08-13
LV00352,SPL02260,2019-09-03,2019-11-26
LV00353,SPL02269,2024-04-26,2024-07-27
LV00354,SPL02273,2023-12-20,2024-02-07
LV00355,SPL02288,2023-11-28,2023-12-31
LV00356,SPL02289,2024-06-03,2024-07-12
LV00357,SPL02296,2024-06-15,2024-10-05
LV00358,SPL02299,2023-11-29,2024-02-22
LV00359,SPL02300,2023-01-25,2023-04-23
LV00360,SPL02309,2022-08-03,2022-09-07
LV00361,SPL02324,2024-06-29,2024-07-27
LV00362,SPL02327,2024-03-20,2024-05-29
LV00363,SPL02331,2022-02-09,2022-05-18
LV00364,SPL02342,2023-10-20,2024-02-02
LV00365,SPL02353,2022-01-14,2022-04-18
LV00366,SPL02357,2023-11-26,2024-02-23
LV00367,SPL02359,2024-06-01,2024-08-29
LV00368,SPL02372,2021-04-20,2021-06-13
LV00369,SPL02384,2024-05-11,2024-08-12
LV00370,SPL02385,2022-10-03,2022-12-27
LV00371,SPL02386,2023-08-20,2023-12-09
LV00372,SPL02411,2024-05-07,2024-07-23
LV00373,SPL02413,2024-06-11,2024-09-17
LV00374,SPL02417,2023-06-24,2023-09-06
LV00375,SPL02422,2023-11-27,2024-01-20
LV00376,SPL02434,2023-07-01,2023-07-21
LV00377,SPL02435,2022-04-17,2022-07-22
LV00378,SPL02438,2024-04-12,2024-07-09
LV00379,SPL02441,2024-01-09,2024-05-06
LV00380,SPL02448,2022-09-19,2022-12-11
LV00381,SPL02451,2023-06-03,2023-06-25
LV00382,SPL02457,2024-03-10,2024-05-21
LV00383,SPL02467,2023-05-27,2023-09-23
LV00384,SPL02467,2023-10-13,2023-12-04
LV00385,SPL02477,2021-12-18,2022-04-05
LV00386,SPL02481,2024-06-22,2024-09-03
LV00387,SPL02485,2022-09-22,2022-11-07
LV00388,SPL02495,2024-06-28,2024-08-27
LV00389,SPL02499,2022-05-17,2022-07-04
LV00390,SPL02507,2024-06-29,2024-10-16
LV00391,SPL02551,2022-08-16,2022-10-13
LV00392,SPL02566,2023-11-14,2024-01-22
LV00393,SPL02570,2024-03-18,2024-06-23
LV00394,SPL02577,2023-04-05,2023-05-26
LV00395,SPL02589,2022-03-30,2022-06-01
LV00396,SPL02600,2022-02-12,2022-05-29
LV00397,SPL02610,2024-05-28,2024-09-12
LV00398,SPL02613,2024-04-27,2024-08-11
LV00399,SPL02617,2023-09-10,2023-11-28
LV00400,SPL02620,2024-05-08,2024-07-12
LV00401,SPL02637,2024-01-17,2024-03-13
LV00402,SPL02643,2023-03-03,2023-06-10
LV00403,SPL02643,2023-11-01,2024-02-26
LV00404,SPL02644,2024-05-04,2024-05-24
LV00405,SPL02644,2024-05-31,2024-09-12
LV00406,SPL02645,2021-10-03,2021-10-23
LV00407,SPL02646,2022-03-22,2022-05-05
LV00408,SPL02646,2023-05-08,2023-08-23
LV00409,SPL02658,2022-06-23,2022-08-19
LV00410,SPL02691,2024-01-02,2024-01-25
LV00411,SPL02700,2022-12-03,2023-02-02
LV00412,SPL02701,2023-10-14,2024-01-09
LV00413,SPL02705,2022-11-25,2023-01-01
LV00414,SPL02705,2023-05-10,2023-07-11
LV00415,SPL02710,2023-02-09,2023-03-04
LV00416,SPL02711,2023-04-09,2023-07-17
LV00417,SPL02724,2023-12-20,2024-01-27
LV00418,SPL02741,2023-12-02,2024-02-20
LV00419,SPL02741,2024-06-22,2024-08-01
LV00420,SPL02744,2021-10-05,2022-01-09
LV00421,SPL02746,2022-09-22,2023-01-13
LV00422,SPL02750,2022-05-31,2022-08-09
LV00423,SPL02759,2022-03-08,2022-05-05
LV00424,SPL02791,2023-09-21,2024-01-03
LV00425,SPL02792,2023-03-31,2023-07-05
LV00426,SPL02792,2024-06-26,2024-10-13
LV00427,SPL02796,2023-02-19,2023-04-09
LV00428,SPL02805,2023-08-09,2023-10-17
LV00429,SPL02806,2024-06-30,2024-07-20
LV00430,SPL02822,2023-03-19,2023-06-01
LV00431,SPL02826,2023-10-14,2023-11-09
LV00432,SPL02827,2022-11-14,2023-02-04
LV00433,SPL02831,2024-06-24,2024-09-29
LV00434,SPL02835,2021-11-17,2022-03-16
LV00435,SPL02840,2023-09-17,2023-12-27
LV00436,SPL02842,2021-04-09,2021-06-11
LV00437,SPL02855,2024-01-23,2024-04-20
LV00438,SPL02865,2024-05-05,2024-08-28
LV00439,SPL02867,2023-10-17,2023-11-13
LV00440,SPL02895,2022-02-27,2022-06-27
LV00441,SPL02898,2023-06-02,2023-06-23
LV00442,SPL02898,2024-01-19,2024-02-21
LV00443,SPL02912,2023-03-19,2023-07-13
LV00444,SPL02916,2020-05-01,2020-08-10
LV00445,SPL02929,2024-06-20,2024-08-10
LV00446,SPL02947,2021-05-03,2021-06-25
LV00447,SPL02951,2024-05-16,2024-08-05
LV00448,SPL02953,2021-12-25,2022-04-02
LV00449,SPL02953,2022-05-18,2022-08-29
LV00450,SPL02959,2022-04-25,2022-06-23
LV00451,SPL02959,2022-10-14,2023-02-09
LV00452,SPL02975,2024-05-08,2024-07-07
LV00453,SPL02984,2024-02-21,2024-06-02
LV00454,SPL02994,2023-07-27,2023-11-03
LV00455,SPL02998,2020-01-29,2020-04-29
LV00456,SPL03001,2021-12-27,2022-03-03
LV00457,SPL03006,2024-01-25,2024-02-27
LV00458,SPL03012,2024-05-23,2024-09-18
LV00459,SPL03028,2020-04-17,2020-07-11
LV00460,SPL03028,2020-12-27,2021-04-18
LV00461,SPL03039,2023-09-07,2023-12-13
LV00462,SPL03054,2023-05-12,2023-08-11
LV00463,SPL03059,2023-05-30,2023-09-16
LV00464,SPL03069,2024-06-13,2024-08-28
LV00465,SPL03070,2023-10-07,2024-01-23
LV00466,SPL03072,2024-06-04,2024-07-06
LV00467,SPL03076,2024-01-04,2024-03-16
LV00468,SPL03079,2024-06-28,2024-07-26
LV00469,SPL03085,2022-11-27,2023-02-09
LV00470,SPL03095,2024-03-29,2024-04-29
LV00471,SPL03096,2023-12-17,2024-02-19
LV00472,SPL03096,2024-03-07,2024-06-09
LV00473,SPL03105,2020-07-24,2020-09-22
LV00474,SPL03105,2021-07-31,2021-10-04
LV00475,SPL03108,2022-10-09,2022-11-17
LV00476,SPL03113,2022-05-26,2022-08-06
LV00477,SPL03140,2024-03-08,2024-05-25
LV00478,SPL03147,2022-07-01,2022-10-19
LV00479,SPL03168,2021-11-15,2021-12-25
LV00480,SPL03171,2023-10-19,2023-12-15
LV00481,SPL03172,2020-03-04,2020-04-22
LV00482,SPL03181,2024-06-30,2024-09-10
LV00483,SPL03189,2024-06-13,2024-07-03
LV00484,SPL03195,2024-04-17,2024-07-14
LV00485,SPL03200,2023-09-24,2023-10-22
LV00486,SPL03222,2024-04-20,2024-07-27
LV00487,SPL03247,2023-01-21,2023-04-03
LV00488,SPL03248,2024-06-17,2024-07-18
LV00489,SPL03249,2024-01-25,2024-02-22
LV00490,SPL03249,2024-03-02,2024-05-04
LV00491,SPL03254,2024-05-22,2024-09-06
LV00492,SPL03280,2020-11-01,2021-01-11
LV00493,SPL03297,2024-03-15,2024-05-09
LV00494,SPL03310,2022-02-20,2022-05-23
LV00495,SPL03318,2024-06-11,2024-07-14
LV00496,SPL03321,2021-09-24,2021-12-29
LV00497,SPL03322,2023-08-03,2023-10-31
LV00498,SPL03323,2024-03-17,2024-05-16
LV00499,SPL03326,2023-12-04,2024-01-17
LV00500,SPL03332,2020-03-22,2020-04-18
LV00501,SPL03334,2022-02-26,2022-05-25
LV00502,SPL03334,2022-09-03,2022-11-13
LV00503,SPL03340,2024-06-10,2024-08-26
LV00504,SPL03352,2024-02-16,2024-04-14
LV00505,SPL03352,2024-06-10,2024-08-03
LV00506,SPL03369,2023-09-10,2023-09-30
LV00507,SPL03378,2021-07-26,2021-10-20
LV00508,SPL03386,2022-10-07,2023-01-23
LV00509,SPL03389,2023-09-16,2023-11-11
LV00510,SPL03406,2023-11-05,2024-02-12
LV00511,SPL03408,2024-05-16,2024-08-15
LV00512,SPL03410,2024-06-24,2024-10-09
LV00513,SPL03412,2023-10-23,2023-12-17
LV00514,SPL03415,2024-06-16,2024-08-23
LV00515,SPL03421,2023-11-10,2023-12-24
LV00516,SPL03427,2023-01-07,2023-04-15
LV00517,SPL03440,2022-06-02,2022-08-28
LV00518,SPL03453,2024-06-12,2024-09-05
LV00519,SPL03466,2022-07-28,2022-08-30
LV00520,SPL03480,2021-06-06,2021-07-04
LV00521,SPL03482,2023-03-30,2023-07-06
LV00522,SPL03489,2021-06-19,2021-07-23
LV00523,SPL03493,2022-08-26,2022-12-02
LV00524,SPL03507,2023-04-30,2023-06-13
LV00525,SPL03512,2024-04-03,2024-06-24
LV00526,SPL03518,2024-01-23,2024-05-20
LV00527,SPL03519,2024-02-13,2024-04-25
LV00528,SPL03523,2024-05-05,2024-05-28
LV00529,SPL03527,2023-05-20,2023-09-11
LV00530,SPL03544,2024-01-26,2024-05-02
LV00531,SPL03546,2022-06-18,2022-10-09
LV00532,SPL03555,2020-07-31,2020-09-20
LV00533,SPL03569,2023-08-31,2023-11-10
LV00534,SPL03576,2024-05-25,2024-07-15
LV00535,SPL03589,2024-04-21,2024-06-08
LV00536,SPL03591,2023-03-25,2023-04-19
LV00537,SPL03600,2024-03-24,2024-05-14
LV00538,SPL03608,2023-02-01,2023-03-29
LV00539,SPL03611,2024-05-31,2024-08-07
LV00540,SPL03614,2024-01-22,2024-05-04
LV00541,SPL03615,2023-06-11,2023-08-18
LV00542,SPL03615,2024-03-05,2024-05-29
LV00543,SPL03617,2024-04-17,2024-08-09
LV00544,SPL03620,2020-01-26,2020-03-31
LV00545,SPL03620,2020-06-14,2020-07-16
LV00546,SPL03625,2022-12-19,2023-03-10
LV00547,SPL03626,2023-01-06,2023-04-28
LV00548,SPL03627,2023-03-02,2023-03-27
LV00549,SPL03647,2023-02-25,2023-03-19
LV00550,SPL03653,2024-01-28,2024-05-08
LV00551,SPL03654,2022-03-18,2022-06-20
LV00552,SPL03676,2022-06-02,2022-07-11
LV00553,SPL03681,2024-06-28,2024-07-21
LV00554,SPL03682,2024-03-31,2024-05-23
LV00555,SPL03686,2024-06-14,2024-07-10
LV00556,SPL03693,2022-10-30,2023-01-18
LV00557,SPL03694,2024-04-20,2024-06-24
LV00558,SPL03705,2023-07-17,2023-11-05
