transfer_id,spell_id,transfer_date,new_department_id,transfer_type
TRF00054,SPL00337,2024-04-14,DEPT07,permanent
TRF00055,SPL00345,2022-01-17,DEPT02,temporary_secondment
TRF00056,SPL00360,2024-04-17,DEPT07,temporary_secondment
TRF00057,SPL00366,2023-09-04,DEPT01,permanent
TRF00058,SPL00375,2024-06-06,DEPT09,temporary_secondment
TRF00059,SPL00387,2024-04-19,DEPT04,permanent
TRF00060,SPL00389,2022-06-13,DEPT10,permanent
TRF00061,SPL00392,2024-04-30,DEPT09,permanent
TRF00062,SPL00394,2024-04-25,DEPT08,temporary_secondment
TRF00063,SPL00403,2024-05-04,DEPT01,temporary_secondment
TRF00064,SPL00411,2024-06-17,DEPT02,temporary_secondment
TRF00065,SPL00412,2022-02-27,DEPT04,permanent
TRF00066,SPL00424,2020-06-24,DEPT07,permanent
TRF00067,SPL00433,2024-05-03,DEPT08,permanent
TRF00068,SPL00436,2024-01-12,DEPT07,permanent
TRF00069,SPL00440,2021-06-03,DEPT04,permanent
TRF00070,SPL00458,2020-05-12,DEPT10,permanent
TRF00071,SPL00460,2023-12-29,DEPT09,permanent
TRF00072,SPL00461,2022-01-21,DEPT03,permanent
TRF00073,SPL00468,2024-05-05,DEPT04,permanent
TRF00074,SPL00477,2021-05-03,DEPT09,permanent
TRF00075,SPL00483,2023-11-10,DEPT01,permanent
TRF00076,SPL00493,2024-05-04,DEPT05,permanent
TRF00077,SPL00499,2024-06-18,DEPT07,permanent
TRF00078,SPL00503,2024-06-03,DEPT05,permanent
TRF00079,SPL00527,2024-04-08,DEPT03,permanent
TRF00080,SPL00530,2023-03-27,DEPT03,permanent
TRF00081,SPL00534,2023-01-05,DEPT10,permanent
TRF00082,SPL00534,2023-04-21,DEPT06,permanent
TRF00083,SPL00535,2019-05-22,DEPT02,permanent
TRF00084,SPL00538,2022-08-20,DEPT08,permanent
TRF00085,SPL00585,2024-06-20,DEPT06,permanent
TRF00086,SPL00592,2023-06-27,DEPT02,temporary_secondment
TRF00087,SPL00593,2024-05-24,DEPT09,permanent
TRF00088,SPL00602,2023-11-18,DEPT04,permanent
TRF00089,SPL00604,2024-05-10,DEPT04,permanent
TRF00090,SPL00606,2023-02-28,DEPT09,permanent
TRF00091,SPL00607,2024-04-02,DEPT06,permanent
TRF00092,SPL00609,2021-10-27,DEPT03,permanent
TRF00093,SPL00609,2021-11-04,DEPT04,permanent
TRF00094,SPL00621,2024-06-23,DEPT09,permanent
TRF00095,SPL00633,2024-02-08,DEPT10,permanent
TRF00096,SPL00633,2024-02-21,DEPT04,permanent
TRF00097,SPL00635,2022-09-24,DEPT10,permanent
TRF00098,SPL00637,2024-05-25,DEPT06,permanent
TRF00099,SPL00640,2024-04-10,DEPT09,temporary_secondment
TRF00100,SPL00645,2022-04-05,DEPT09,permanent
TRF00101,SPL00656,2024-06-08,DEPT04,permanent
TRF00102,SPL00667,2024-05-22,DEPT09,temporary_secondment
TRF00103,SPL00675,2022-10-11,DEPT04,permanent
TRF00104,SPL00683,2023-11-08,DEPT09,temporary_secondment
TRF00105,SPL00683,2023-11-17,DEPT02,permanent
TRF00106,SPL00692,2020-09-22,DEPT03,permanent
TRF00107,SPL00698,2019-07-23,DEPT07,temporary_secondment
TRF00108,SPL00701,2022-09-17,DEPT01,permanent
TRF00109,SPL00705,2022-11-08,DEPT04,permanent
TRF00110,SPL00711,2024-04-12,DEPT02,permanent
TRF00111,SPL00713,2024-05-29,DEPT06,permanent
TRF00112,SPL00719,2021-04-06,DEPT09,permanent
TRF00113,SPL00731,2024-04-14,DEPT10,temporary_secondment
TRF00114,SPL00732,2024-04-07,DEPT01,permanent
TRF00115,SPL00732,2024-05-17,DEPT07,permanent
TRF00116,SPL00736,2024-05-17,DEPT08,permanent
TRF00117,SPL00738,2023-12-15,DEPT10,permanent
TRF00118,SPL00769,2024-05-11,DEPT02,permanent
TRF00119,SPL00776,2024-06-27,DEPT09,permanent
TRF00120,SPL00781,2019-07-05,DEPT06,permanent
TRF00121,SPL00783,2024-05-24,DEPT08,temporary_secondment
TRF00122,SPL00805,2022-03-12,DEPT06,permanent
TRF00123,SPL00811,2024-01-18,DEPT08,permanent
TRF00124,SPL00816,2021-09-28,DEPT04,permanent
TRF00125,SPL00816,2021-10-08,DEPT07,permanent
TRF00126,SPL00834,2023-07-20,DEPT09,permanent
TRF00127,SPL00845,2024-06-13,DEPT09,permanent
TRF00128,SPL00846,2024-04-06,DEPT01,temporary_secondment
TRF00129,SPL00851,2023-05-30,DEPT04,permanent
TRF00130,SPL00858,2023-05-23,DEPT07,permanent
TRF00131,SPL00870,2021-03-12,DEPT04,permanent
TRF00132,SPL00879,2022-02-16,DEPT07,permanent
TRF00133,SPL00886,2021-06-03,DEPT08,permanent
TRF00134,SPL00889,2024-04-27,DEPT10,permanent
TRF00135,SPL00892,2024-06-12,DEPT05,permanent
TRF00136,SPL00899,2024-01-23,DEPT01,permanent
TRF00137,SPL00903,2022-09-29,DEPT01,permanent
TRF00138,SPL00920,2024-06-05,DEPT08,permanent
TRF00139,SPL00923,2024-04-07,DEPT02,temporary_secondment
TRF00140,SPL00926,2024-04-04,DEPT03,temporary_secondment
TRF00141,SPL00927,2024-06-12,DEPT09,permanent
TRF00142,SPL00927,2024-06-13,DEPT04,permanent
TRF00143,SPL00932,2022-08-31,DEPT04,permanent
TRF00144,SPL00932,2023-09-11,DEPT03,permanent
TRF00145,SPL00935,2024-05-12,DEPT01,permanent
TRF00146,SPL00967,2022-07-30,DEPT02,permanent
TRF00147,SPL00967,2022-10-12,DEPT07,temporary_secondment
TRF00148,SPL00972,2024-04-26,DEPT09,permanent
TRF00149,SPL00975,2021-11-26,DEPT04,permanent
TRF00150,SPL00978,2024-06-11,DEPT07,permanent
TRF00151,SPL00981,2023-01-03,DEPT02,permanent
TRF00152,SPL00994,2022-06-13,DEPT04,permanent
TRF00153,SPL01000,2023-01-19,DEPT09,permanent
TRF00154,SPL01013,2023-12-26,DEPT07,temporary_secondment
TRF00155,SPL01024,2024-05-01,DEPT03,permanent
TRF00156,SPL01034,2023-08-02,DEPT03,permanent
TRF00157,SPL01041,2023-01-26,DEPT10,permanent
TRF00158,SPL01041,2023-04-21,DEPT09,permanent
TRF00159,SPL01047,2021-06-12,DEPT04,permanent
TRF00160,SPL01048,2023-03-15,DEPT01,permanent
TRF00161,SPL01054,2024-05-14,DEPT02,permanent
TRF00162,SPL01054,2024-06-17,DEPT07,permanent
TRF00163,SPL01057,2024-05-16,DEPT08,permanent
TRF00164,SPL01062,2023-11-30,DEPT09,permanent
TRF00165,SPL01066,2022-08-03,DEPT09,permanent
TRF00166,SPL01070,2024-06-10,DEPT09,permanent
TRF00167,SPL01070,2024-06-27,DEPT08,permanent
TRF00168,SPL01079,2023-06-26,DEPT09,permanent
TRF00169,SPL01087,2022-02-10,DEPT01,permanent
TRF00170,SPL01089,2022-11-05,DEPT08,permanent
TRF00171,SPL01098,2020-06-12,DEPT03,permanent
TRF00172,SPL01102,2024-05-12,DEPT05,permanent
TRF00173,SPL01102,2024-06-22,DEPT06,permanent
TRF00174,SPL01103,2024-03-27,DEPT09,permanent
TRF00175,SPL01104,2022-05-07,DEPT10,permanent
TRF00176,SPL01104,2022-07-16,DEPT03,permanent
TRF00177,SPL01106,2024-05-08,DEPT07,permanent
TRF00178,SPL01120,2023-03-07,DEPT02,temporary_secondment
TRF00179,SPL01120,2023-09-10,DEPT07,permanent
TRF00180,SPL01126,2021-03-04,DEPT10,temporary_secondment
TRF00181,SPL01130,2024-04-21,DEPT07,permanent
TRF00182,SPL01131,2022-10-27,DEPT05,permanent
TRF00183,SPL01134,2022-06-12,DEPT10,permanent
TRF00184,SPL01143,2024-05-07,DEPT09,permanent
TRF00185,SPL01147,2023-10-04,DEPT03,permanent
TRF00186,SPL01163,2022-01-25,DEPT07,permanent
TRF00187,SPL01164,2024-06-10,DEPT09,permanent
TRF00188,SPL01164,2024-06-12,DEPT02,permanent
TRF00189,SPL01170,2024-04-01,DEPT08,permanent
TRF00190,SPL01174,2023-01-03,DEPT07,permanent
TRF00191,SPL01177,2022-09-18,DEPT01,temporary_secondment
TRF00192,SPL01181,2024-04-02,DEPT04,permanent
TRF00193,SPL01181,2024-06-01,DEPT02,permanent
TRF00194,SPL01187,2024-05-16,DEPT09,temporary_secondment
TRF00195,SPL01194,2024-06-29,DEPT06,permanent
TRF00196,SPL01195,2023-02-08,DEPT01,temporary_secondment
TRF00197,SPL01196,2024-04-20,DEPT04,permanent
TRF00198,SPL01201,2024-06-12,DEPT04,permanent
TRF00199,SPL01201,2024-06-24,DEPT05,temporary_secondment
TRF00200,SPL01214,2023-04-07,DEPT03,temporary_secondment
TRF00201,SPL01214,2023-04-13,DEPT06,permanent
TRF00202,SPL01222,2020-12-18,DEPT01,permanent
TRF00203,SPL01224,2024-06-06,DEPT02,permanent
TRF00204,SPL01227,2021-02-28,DEPT04,permanent
TRF00205,SPL01228,2024-05-13,DEPT08,permanent
TRF00206,SPL01230,2024-05-13,DEPT01,permanent
TRF00207,SPL01230,2024-06-05,DEPT07,permanent
TRF00208,SPL01234,2024-05-28,DEPT09,temporary_secondment
TRF00209,SPL01238,2024-05-30,DEPT02,permanent
TRF00210,SPL01242,2024-04-13,DEPT07,permanent
TRF00211,SPL01242,2024-05-24,DEPT08,permanent
TRF00212,SPL01243,2024-06-06,DEPT08,permanent
TRF00213,SPL01254,2024-04-18,DEPT04,temporary_secondment
TRF00214,SPL01257,2024-05-06,DEPT06,temporary_secondment
TRF00215,SPL01257,2024-05-13,DEPT09,permanent
TRF00216,SPL01261,2024-04-02,DEPT08,permanent
TRF00217,SPL01270,2022-12-15,DEPT06,permanent
TRF00218,SPL01278,2021-12-21,DEPT03,permanent
TRF00219,SPL01281,2024-04-29,DEPT05,permanent
TRF00220,SPL01284,2021-08-21,DEPT09,permanent
TRF00221,SPL01285,2023-06-06,DEPT08,temporary_secondment
TRF00222,SPL01285,2023-10-07,DEPT07,permanent
TRF00223,SPL01289,2022-12-15,DEPT09,permanent
TRF00224,SPL01293,2023-05-20,DEPT05,permanent
TRF00225,SPL01293,2023-07-28,DEPT10,temporary_secondment
TRF00226,SPL01296,2023-05-31,DEPT08,permanent
TRF00227,SPL01298,2023-07-26,DEPT10,permanent
TRF00228,SPL01299,2024-04-04,DEPT06,permanent
TRF00229,SPL01299,2024-04-11,DEPT04,permanent
TRF00230,SPL01306,2024-05-07,DEPT05,temporary_secondment
TRF00231,SPL01307,2024-05-16,DEPT05,permanent
TRF00232,SPL01322,2023-04-02,DEPT04,permanent
TRF00233,SPL01322,2023-11-18,DEPT09,permanent
TRF00234,SPL01323,2024-05-02,DEPT09,permanent
TRF00235,SPL01326,2024-05-20,DEPT07,permanent
TRF00236,SPL01326,2024-05-27,DEPT01,temporary_secondment
TRF00237,SPL01327,2022-04-12,DEPT09,permanent
TRF00238,SPL01329,2022-07-10,DEPT04,permanent
TRF00239,SPL01336,2024-04-21,DEPT08,permanent
TRF00240,SPL01336,2024-06-15,DEPT01,permanent
TRF00241,SPL01338,2023-04-27,DEPT04,permanent
TRF00242,SPL01340,2023-08-30,DEPT10,permanent
TRF00243,SPL01343,2024-05-30,DEPT04,permanent
TRF00244,SPL01349,2022-09-03,DEPT10,permanent
TRF00245,SPL01355,2024-04-28,DEPT07,permanent
TRF00246,SPL01357,2024-06-15,DEPT07,permanent
TRF00247,SPL01360,2024-06-11,DEPT04,permanent
TRF00248,SPL01363,2022-08-04,DEPT05,permanent
TRF00249,SPL01374,2021-02-21,DEPT02,permanent
TRF00250,SPL01382,2024-04-20,DEPT09,permanent
TRF00251,SPL01390,2022-02-06,DEPT06,permanent
TRF00252,SPL01393,2021-05-21,DEPT09,permanent
TRF00253,SPL01396,2021-01-27,DEPT02,permanent
TRF00254,SPL01402,2024-05-20,DEPT05,temporary_secondment
TRF00255,SPL01405,2023-08-18,DEPT05,permanent
TRF00256,SPL01407,2023-12-22,DEPT04,permanent
TRF00257,SPL01411,2024-05-14,DEPT05,temporary_secondment
TRF00258,SPL01415,2024-04-08,DEPT07,temporary_secondment
TRF00259,SPL01418,2021-11-23,DEPT07,permanent
TRF00260,SPL01418,2023-06-20,DEPT01,permanent
TRF00261,SPL01422,2023-01-30,DEPT10,permanent
TRF00262,SPL01434,2021-10-28,DEPT01,permanent
TRF00263,SPL01435,2024-06-18,DEPT04,permanent
TRF00264,SPL01456,2020-02-17,DEPT09,permanent
TRF00265,SPL01470,2024-02-03,DEPT05,temporary_secondment
TRF00266,SPL01471,2021-04-02,DEPT10,temporary_secondment
TRF00267,SPL01474,2024-04-30,DEPT03,temporary_secondment
TRF00268,SPL01475,2024-06-29,DEPT04,temporary_secondment
TRF00269,SPL01476,2022-05-08,DEPT09,permanent
TRF00270,SPL01476,2022-10-21,DEPT06,permanent
TRF00271,SPL01479,2023-08-09,DEPT04,permanent
TRF00272,SPL01480,2022-12-31,DEPT10,permanent
TRF00273,SPL01480,2023-01-22,DEPT04,permanent
TRF00274,SPL01501,2024-05-09,DEPT10,permanent
TRF00275,SPL01511,2022-01-24,DEPT06,permanent
TRF00276,SPL01511,2022-08-20,DEPT10,permanent
TRF00277,SPL01526,2022-09-07,DEPT06,permanent
TRF00278,SPL01537,2024-04-20,DEPT10,permanent
TRF00279,SPL01545,2023-10-12,DEPT04,permanent
TRF00280,SPL01570,2023-02-18,DEPT06,permanent
TRF00281,SPL01582,2024-05-17,DEPT02,temporary_secondment
TRF00282,SPL01582,2024-06-12,DEPT01,permanent
TRF00283,SPL01609,2024-04-10,DEPT02,temporary_secondment
TRF00284,SPL01611,2023-09-16,DEPT04,permanent
TRF00285,SPL01613,2023-04-13,DEPT07,permanent
TRF00286,SPL01614,2024-05-22,DEPT08,permanent
TRF00287,SPL01616,2020-03-06,DEPT04,permanent
TRF00288,SPL01623,2023-11-09,DEPT05,permanent
TRF00289,SPL01632,2023-11-29,DEPT04,permanent
TRF00290,SPL01637,2024-06-26,DEPT01,permanent
TRF00291,SPL01649,2024-05-14,DEPT04,permanent
TRF00292,SPL01655,2024-04-01,DEPT01,temporary_secondment
TRF00293,SPL01655,2024-04-04,DEPT07,permanent
TRF00294,SPL01662,2024-04-20,DEPT04,permanent
TRF00295,SPL01668,2024-05-30,DEPT04,permanent
TRF00296,SPL01671,2024-04-12,DEPT04,temporary_secondment
TRF00297,SPL01685,2024-04-03,DEPT03,temporary_secondment
TRF00298,SPL01695,2020-04-04,DEPT03,temporary_secondment
TRF00299,SPL01706,2021-05-26,DEPT01,temporary_secondment
TRF00300,SPL01711,2024-06-29,DEPT10,permanent
TRF00301,SPL01714,2021-09-04,DEPT06,permanent
TRF00302,SPL01717,2024-04-29,DEPT10,temporary_secondment
TRF00303,SPL01722,2023-02-26,DEPT03,permanent
TRF00304,SPL01727,2024-04-19,DEPT09,temporary_secondment
TRF00305,SPL01733,2021-06-13,DEPT02,permanent
TRF00306,SPL01746,2023-07-29,DEPT06,permanent
TRF00307,SPL01746,2023-08-05,DEPT09,permanent
TRF00308,SPL01757,2023-01-13,DEPT06,permanent
TRF00309,SPL01768,2024-06-25,DEPT09,permanent
TRF00310,SPL01770,2023-12-12,DEPT02,temporary_secondment
TRF00311,SPL01778,2024-04-21,DEPT07,permanent
TRF00312,SPL01778,2024-04-27,DEPT09,permanent
TRF00313,SPL01791,2022-07-28,DEPT08,permanent
TRF00314,SPL01794,2024-05-11,DEPT10,temporary_secondment
TRF00315,SPL01794,2024-06-10,DEPT04,permanent
TRF00316,SPL01799,2022-10-11,DEPT02,temporary_secondment
TRF00317,SPL01799,2023-05-14,DEPT07,permanent
TRF00318,SPL01801,2022-02-28,DEPT07,permanent
TRF00319,SPL01809,2023-05-08,DEPT02,permanent
TRF00320,SPL01809,2023-05-12,DEPT08,permanent
TRF00321,SPL01811,2023-03-29,DEPT09,permanent
TRF00322,SPL01814,2020-09-18,DEPT06,permanent
TRF00323,SPL01815,2024-04-29,DEPT01,permanent
TRF00324,SPL01815,2024-05-29,DEPT07,temporary_secondment
TRF00325,SPL01828,2024-04-12,DEPT09,temporary_secondment
TRF00326,SPL01834,2024-06-25,DEPT09,permanent
TRF00327,SPL01839,2024-04-18,DEPT01,permanent
TRF00328,SPL01839,2024-05-21,DEPT08,permanent
TRF00329,SPL01848,2024-04-18,DEPT06,permanent
TRF00330,SPL01849,2023-04-15,DEPT09,permanent
TRF00331,SPL01851,2022-08-27,DEPT09,temporary_secondment
TRF00332,SPL01852,2024-06-17,DEPT03,temporary_secondment
TRF00333,SPL01853,2021-03-05,DEPT04,permanent
TRF00334,SPL01869,2024-06-16,DEPT04,permanent
TRF00335,SPL01873,2024-06-13,DEPT01,permanent
TRF00336,SPL01890,2024-05-28,DEPT01,permanent
TRF00337,SPL01890,2024-06-26,DEPT08,temporary_secondment
TRF00338,SPL01896,2022-02-21,DEPT07,permanent
TRF00339,SPL01896,2022-04-14,DEPT09,permanent
TRF00340,SPL01897,2022-12-01,DEPT06,temporary_secondment
TRF00341,SPL01897,2023-03-10,DEPT05,permanent
TRF00342,SPL01905,2021-07-24,DEPT08,permanent
TRF00343,SPL01905,2021-09-25,DEPT01,permanent
TRF00344,SPL01912,2024-05-27,DEPT09,permanent
TRF00345,SPL01912,2024-06-14,DEPT01,temporary_secondment
TRF00346,SPL01914,2024-04-21,DEPT10,permanent
TRF00347,SPL01915,2022-03-18,DEPT09,permanent
TRF00348,SPL01923,2020-12-15,DEPT04,permanent
TRF00349,SPL01926,2023-12-11,DEPT09,permanent
TRF00350,SPL01941,2024-04-05,DEPT05,permanent
TRF00351,SPL01972,2024-04-13,DEPT10,permanent
TRF00352,SPL01978,2021-08-18,DEPT05,temporary_secondment
TRF00353,SPL01978,2022-05-03,DEPT06,permanent
TRF00354,SPL01984,2022-10-09,DEPT03,permanent
TRF00355,SPL01987,2024-05-17,DEPT09,permanent
TRF00356,SPL01994,2021-10-05,DEPT09,permanent
TRF00357,SPL01996,2023-11-28,DEPT04,permanent
TRF00358,SPL02005,2024-04-04,DEPT03,permanent
TRF00359,SPL02012,2024-04-06,DEPT10,permanent
TRF00360,SPL02017,2022-10-03,DEPT04,permanent
TRF00361,SPL02019,2020-12-27,DEPT06,temporary_secondment
TRF00362,SPL02022,2024-06-22,DEPT08,temporary_secondment
TRF00363,SPL02024,2024-05-23,DEPT04,permanent
TRF00364,SPL02026,2024-03-14,DEPT02,permanent
TRF00365,SPL02027,2021-12-04,DEPT02,permanent
TRF00366,SPL02029,2022-08-30,DEPT10,permanent
TRF00367,SPL02033,2024-05-23,DEPT04,permanent
TRF00368,SPL02036,2024-02-10,DEPT04,permanent
TRF00369,SPL02040,2023-08-05,DEPT07,permanent
TRF00370,SPL02044,2024-04-17,DEPT09,permanent
TRF00371,SPL02049,2022-10-20,DEPT07,permanent
TRF00372,SPL02051,2021-08-08,DEPT06,permanent
TRF00373,SPL02065,2024-06-11,DEPT04,permanent
TRF00374,SPL02066,2022-07-28,DEPT04,permanent
TRF00375,SPL02074,2024-04-08,DEPT04,permanent
TRF00376,SPL02075,2021-07-31,DEPT09,temporary_secondment
TRF00377,SPL02076,2024-04-28,DEPT01,permanent
TRF00378,SPL02079,2022-12-14,DEPT07,permanent
TRF00379,SPL02082,2024-04-18,DEPT09,permanent
TRF00380,SPL02082,2024-06-10,DEPT04,permanent
TRF00381,SPL02087,2024-01-24,DEPT10,permanent
TRF00382,SPL02097,2024-04-13,DEPT07,permanent
TRF00383,SPL02099,2024-06-05,DEPT09,permanent
TRF00384,SPL02100,2024-05-16,DEPT04,permanent
TRF00385,SPL02108,2024-04-03,DEPT05,permanent
TRF00386,SPL02111,2023-06-16,DEPT03,permanent
TRF00387,SPL02111,2024-05-13,DEPT04,permanent
TRF00388,SPL02124,2022-01-30,DEPT04,permanent
TRF00389,SPL02125,2020-09-22,DEPT06,permanent
TRF00390,SPL02125,2021-05-30,DEPT05,temporary_secondment
TRF00391,SPL02130,2024-06-05,DEPT03,permanent
TRF00392,SPL02132,2024-05-20,DEPT10,permanent
TRF00393,SPL02144,2022-12-03,DEPT09,temporary_secondment
TRF00394,SPL02147,2024-06-30,DEPT08,permanent
TRF00395,SPL02149,2023-05-19,DEPT01,permanent
TRF00396,SPL02149,2024-05-16,DEPT07,permanent
TRF00397,SPL02155,2022-06-28,DEPT06,permanent
TRF00398,SPL02158,2024-01-22,DEPT09,temporary_secondment
TRF00399,SPL02165,2023-05-01,DEPT02,temporary_secondment
TRF00400,SPL02166,2022-03-08,DEPT10,permanent
TRF00401,SPL02166,2023-09-24,DEPT05,permanent
TRF00402,SPL02169,2022-06-03,DEPT01,permanent
TRF00403,SPL02172,2021-09-21,DEPT02,permanent
TRF00404,SPL02173,2024-04-22,DEPT08,permanent
TRF00405,SPL02180,2024-04-07,DEPT04,permanent
TRF00406,SPL02181,2021-07-10,DEPT05,permanent
TRF00407,SPL02184,2021-09-01,DEPT06,permanent
TRF00408,SPL02192,2024-05-22,DEPT04,permanent
TRF00409,SPL02193,2024-04-23,DEPT09,permanent
TRF00410,SPL02198,2024-05-06,DEPT02,permanent
TRF00411,SPL02201,2022-11-25,DEPT09,permanent
TRF00412,SPL02202,2024-05-31,DEPT07,permanent
TRF00413,SPL02212,2023-04-14,DEPT01,permanent
TRF00414,SPL02212,2023-05-31,DEPT02,temporary_secondment
TRF00415,SPL02213,2024-05-27,DEPT01,temporary_secondment
TRF00416,SPL02222,2023-04-24,DEPT10,temporary_secondment
TRF00417,SPL02232,2023-01-27,DEPT09,permanent
TRF00418,SPL02248,2024-04-01,DEPT06,permanent
TRF00419,SPL02252,2020-10-07,DEPT09,temporary_secondment
TRF00420,SPL02252,2021-04-01,DEPT07,permanent
TRF00421,SPL02254,2024-06-23,DEPT08,permanent
TRF00422,SPL02255,2024-04-14,DEPT09,permanent
TRF00423,SPL02256,2024-04-02,DEPT01,permanent
TRF00424,SPL02256,2024-04-22,DEPT02,permanent
TRF00425,SPL02259,2022-11-14,DEPT06,permanent
TRF00426,SPL02263,2024-06-25,DEPT04,permanent
TRF00427,SPL02266,2024-06-05,DEPT10,permanent
TRF00428,SPL02272,2023-03-26,DEPT04,permanent
TRF00429,SPL02277,2024-05-05,DEPT08,permanent
TRF00430,SPL02281,2023-11-01,DEPT09,temporary_secondment
TRF00431,SPL02299,2024-05-28,DEPT01,permanent
TRF00432,SPL02300,2023-10-17,DEPT02,temporary_secondment
TRF00433,SPL02300,2023-11-15,DEPT04,temporary_secondment
TRF00434,SPL02312,2024-06-02,DEPT08,permanent
TRF00435,SPL02317,2024-06-30,DEPT04,permanent
TRF00436,SPL02318,2022-05-12,DEPT10,permanent
TRF00437,SPL02318,2024-06-07,DEPT05,permanent
TRF00438,SPL02327,2024-05-24,DEPT03,permanent
TRF00439,SPL02328,2023-01-01,DEPT04,permanent
TRF00440,SPL02328,2023-07-04,DEPT10,permanent
TRF00441,SPL02337,2023-08-28,DEPT09,permanent
TRF00442,SPL02340,2021-01-09,DEPT02,permanent
TRF00443,SPL02348,2024-05-08,DEPT08,temporary_secondment
TRF00444,SPL02362,2020-10-23,DEPT06,permanent
TRF00445,SPL02368,2020-11-15,DEPT09,permanent
TRF00446,SPL02380,2023-01-04,DEPT05,permanent
TRF00447,SPL02383,2022-12-10,DEPT09,permanent
TRF00448,SPL02384,2023-03-29,DEPT10,temporary_secondment
TRF00449,SPL02392,2024-05-23,DEPT09,permanent
TRF00450,SPL02395,2022-08-31,DEPT09,permanent
TRF00451,SPL02395,2022-11-30,DEPT02,permanent
TRF00452,SPL02402,2024-01-10,DEPT02,permanent
TRF00453,SPL02405,2021-03-04,DEPT02,permanent
TRF00454,SPL02413,2024-04-01,DEPT01,permanent
TRF00455,SPL02423,2020-01-15,DEPT10,temporary_secondment
TRF00456,SPL02424,2021-11-15,DEPT01,permanent
TRF00457,SPL02424,2021-11-23,DEPT08,permanent
TRF00458,SPL02425,2024-02-22,DEPT02,permanent
TRF00459,SPL02425,2024-05-24,DEPT01,permanent
TRF00460,SPL02432,2024-04-24,DEPT01,permanent
TRF00461,SPL02432,2024-04-25,DEPT07,permanent
TRF00462,SPL02434,2022-12-08,DEPT01,permanent
TRF00463,SPL02435,2020-08-12,DEPT07,permanent
TRF00464,SPL02440,2024-06-20,DEPT04,permanent
TRF00465,SPL02440,2024-06-24,DEPT08,permanent
TRF00466,SPL02442,2024-05-11,DEPT08,temporary_secondment
TRF00467,SPL02446,2021-09-26,DEPT04,permanent
TRF00468,SPL02450,2024-06-11,DEPT08,permanent
