change_id,spell_id,change_date,new_worker_category,approval_status
CAT00095,SPL04911,2024-02-13,regular_part_time,rejected
CAT00096,SPL05024,2024-06-01,regular_full_time,approved
CAT00097,SPL05084,2020-12-22,regular_part_time,approved
CAT00098,SPL05147,2021-09-02,regular_full_time,approved
CAT00099,SPL05191,2023-08-22,regular_full_time,approved
CAT00100,SPL05275,2020-02-03,regular_part_time,approved
CAT00101,SPL05289,2023-06-12,regular_full_time,approved
CAT00102,SPL05589,2024-02-12,regular_full_time,approved
CAT00103,SPL05622,2024-04-22,regular_full_time,rejected
CAT00104,SPL05649,2021-09-13,regular_full_time,rejected
CAT00105,SPL05739,2021-11-12,regular_part_time,rejected
CAT00106,SPL05763,2024-02-02,regular_full_time,approved
CAT00107,SPL05869,2024-06-28,regular_full_time,approved
CAT00108,SPL05898,2023-08-08,regular_full_time,approved
CAT00109,SPL05929,2024-04-15,regular_full_time,pending
CAT00110,SPL06029,2024-04-27,regular_part_time,approved
CAT00111,SPL06106,2024-01-21,regular_full_time,approved
CAT00112,SPL06157,2020-05-28,regular_full_time,approved
CAT00113,SPL06212,2022-12-23,regular_full_time,pending
CAT00114,SPL06271,2022-11-26,regular_full_time,approved
CAT00115,SPL06325,2023-08-27,regular_full_time,approved
CAT00116,SPL06352,2022-06-06,regular_part_time,approved
CAT00117,SPL06393,2023-07-04,regular_part_time,pending
CAT00118,SPL06395,2023-09-12,regular_part_time,approved
CAT00119,SPL06435,2024-03-30,regular_part_time,approved
CAT00120,SPL06437,2024-04-29,regular_part_time,approved
CAT00121,SPL06662,2024-05-11,regular_part_time,pending
CAT00122,SPL06676,2022-07-24,regular_full_time,pending
CAT00123,SPL06699,2021-12-09,regular_full_time,pending
CAT00124,SPL06731,2023-11-02,regular_full_time,approved
CAT00125,SPL06757,2023-01-25,regular_full_time,approved
CAT00126,SPL06884,2022-06-11,regular_full_time,rejected
CAT00127,SPL06912,2023-12-16,regular_full_time,approved
CAT00128,SPL06931,2024-02-02,regular_part_time,approved
CAT00129,SPL07029,2024-03-01,regular_full_time,approved
CAT00130,SPL07058,2024-04-09,regular_full_time,rejected
CAT00131,SPL07113,2024-03-30,regular_full_time,approved
CAT00132,SPL07124,2023-09-16,regular_full_time,approved
CAT00133,SPL07197,2021-12-07,regular_full_time,approved
CAT00134,SPL07205,2020-07-31,regular_part_time,pending
CAT00135,SPL07221,2023-05-11,regular_full_time,approved
CAT00136,SPL07351,2023-12-30,regular_part_time,approved
CAT00137,SPL07390,2022-11-24,regular_full_time,approved
CAT00138,SPL07395,2024-06-24,regular_full_time,approved
CAT00139,SPL07407,2024-06-21,regular_full_time,approved
CAT00140,SPL07426,2023-03-08,regular_full_time,approved
CAT00141,SPL07512,2021-04-22,regular_full_time,pending
CAT00142,SPL07526,2024-03-01,regular_full_time,approved
CAT00143,SPL07563,2024-06-28,regular_full_time,approved
CAT00144,SPL07572,2021-11-20,regular_full_time,rejected
CAT00145,SPL07611,2022-05-13,regular_full_time,pending
CAT00146,SPL07613,2024-04-04,regular_full_time,approved
CAT00147,SPL07735,2023-05-02,regular_part_time,approved
CAT00148,SPL07868,2024-06-09,regular_full_time,rejected
CAT00149,SPL07936,2024-04-07,regular_full_time,pending
CAT00150,SPL07971,2023-08-15,regular_part_time,approved
CAT00151,SPL07979,2022-05-28,regular_full_time,approved
CAT00152,SPL08124,2024-04-05,regular_full_time,approved
CAT00153,SPL08131,2024-04-23,regular_full_time,pending
CAT00154,SPL08241,2024-06-01,regular_full_time,approved
CAT00155,SPL08251,2024-06-19,regular_full_time,approved
CAT00156,SPL08313,2022-09-15,regular_full_time,approved
CAT00157,SPL08341,2024-04-21,regular_part_time,pending
CAT00158,SPL08359,2022-02-21,regular_part_time,approved
CAT00159,SPL08456,2022-08-03,regular_part_time,approved
CAT00160,SPL08458,2022-11-09,regular_part_time,rejected
CAT00161,SPL08480,2022-12-26,regular_full_time,approved
CAT00162,SPL08573,2022-02-05,regular_full_time,approved
CAT00163,SPL08733,2024-02-16,regular_full_time,approved
CAT00164,SPL08872,2024-01-28,regular_part_time,approved
CAT00165,SPL08910,2022-08-16,regular_part_time,approved
CAT00166,SPL08915,2023-03-18,regular_full_time,pending
CAT00167,SPL08932,2019-08-03,regular_full_time,approved
CAT00168,SPL08939,2023-07-17,regular_full_time,rejected
CAT00169,SPL08947,2021-04-15,regular_full_time,rejected
