spell_id,employee_id,business_unit_id,home_department_id,hire_date,term_date,term_reason,worker_category
SPL00145,EMP00145,BU02,DEPT06,2022-09-15,,,regular_full_time
SPL00146,EMP00146,BU01,DEPT07,2019-06-19,2021-08-31,involuntary_termination,contractor
SPL00147,EMP00147,BU02,DEPT05,2020-01-08,2024-04-30,resignation,regular_part_time
SPL00148,EMP00148,BU01,DEPT08,2024-06-11,,,regular_full_time
SPL00149,EMP00149,BU01,DEPT01,2019-06-14,2023-08-10,resignation,regular_full_time
SPL00150,EMP00150,BU01,DEPT09,2019-05-14,,,regular_full_time
SPL00151,EMP00151,BU01,DEPT04,2021-09-29,2023-07-03,layoff,regular_full_time
SPL00152,EMP00152,BU02,DEPT06,2021-12-13,2024-02-04,resignation,regular_full_time
SPL00153,EMP00153,BU01,DEPT02,2023-08-31,,,regular_full_time
SPL00154,EMP00154,BU02,DEPT05,2020-04-26,,,regular_full_time
SPL00155,EMP00155,BU02,DEPT03,2022-03-11,,,regular_full_time
SPL00156,EMP00156,BU02,DEPT10,2023-04-12,,,regular_full_time
SPL00157,EMP00157,BU02,DEPT05,2020-06-16,2023-11-01,layoff,regular_full_time
SPL00158,EMP00158,BU01,DEPT08,2023-04-19,2024-06-23,resignation,regular_full_time
SPL00159,EMP00159,BU01,DEPT01,2020-08-08,2023-07-23,resignation,regular_full_time
SPL00160,EMP00160,BU01,DEPT02,2019-03-23,2020-11-21,involuntary_termination,regular_full_time
SPL00161,EMP00161,BU01,DEPT08,2021-06-14,2021-11-08,resignation,regular_full_time
SPL00162,EMP00162,BU01,DEPT01,2020-02-17,2023-05-13,resignation,intern
SPL00163,EMP00163,BU02,DEPT10,2021-03-28,2023-04-18,resignation,regular_part_time
SPL00164,EMP00164,BU02,DEPT06,2021-05-09,2023-05-12,layoff,regular_full_time
SPL00165,EMP00165,BU02,DEPT06,2021-08-19,2022-07-17,resignation,regular_full_time
SPL00166,EMP00166,BU01,DEPT01,2019-04-07,2020-07-23,resignation,contractor
SPL00167,EMP00167,BU02,DEPT05,2022-11-08,2024-05-24,resignation,regular_full_time
SPL00168,EMP00168,BU02,DEPT05,2022-05-20,2024-04-16,layoff,intern
SPL00169,EMP00169,BU02,DEPT03,2020-08-03,,,contractor
SPL00170,EMP00170,BU01,DEPT08,2020-05-21,,,contractor
SPL00171,EMP00171,BU02,DEPT05,2019-10-23,2023-01-15,resignation,regular_part_time
SPL00172,EMP00172,BU01,DEPT01,2020-09-26,2021-07-28,resignation,regular_full_time
SPL00173,EMP00173,BU02,DEPT06,2022-08-06,2024-05-30,involuntary_termination,regular_part_time
SPL00174,EMP00174,BU01,DEPT02,2022-12-16,,,regular_full_time
SPL00175,EMP00175,BU02,DEPT09,2019-05-01,2020-05-09,layoff,regular_full_time
SPL00176,EMP00176,BU01,DEPT02,2019-12-11,,,regular_full_time
SPL00177,EMP00177,BU02,DEPT05,2019-07-01,2020-12-25,involuntary_termination,regular_full_time
SPL00178,EMP00178,BU02,DEPT06,2023-10-21,,,regular_full_time
SPL00179,EMP00179,BU01,DEPT07,2020-01-14,,,regular_full_time
SPL00180,EMP00180,BU02,DEPT05,2019-02-06,2022-09-28,involuntary_termination,regular_full_time
SPL00181,EMP00181,BU02,DEPT06,2021-11-27,,,regular_full_time
SPL00182,EMP00182,BU02,DEPT03,2022-12-17,2024-05-15,retirement,regular_full_time
SPL00183,EMP00183,BU01,DEPT04,2021-05-03,2024-01-14,resignation,regular_full_time
SPL00184,EMP00184,BU01,DEPT02,2021-03-24,2024-04-18,layoff,contractor
SPL00185,EMP00185,BU02,DEPT06,2020-04-30,,,regular_full_time
SPL00186,EMP00186,BU02,DEPT03,2020-02-27,,,regular_full_time
SPL00187,EMP00187,BU02,DEPT05,2022-07-24,2024-06-02,layoff,regular_part_time
SPL00188,EMP00188,BU01,DEPT01,2022-12-28,2024-05-03,resignation,regular_part_time
SPL00189,EMP00189,BU02,DEPT06,2020-02-24,,,regular_full_time
SPL00190,EMP00190,BU01,DEPT07,2024-05-05,,,regular_full_time
SPL00191,EMP00191,BU01,DEPT08,2020-11-24,,,regular_full_time
SPL00192,EMP00192,BU02,DEPT03,2022-04-28,2023-10-23,resignation,contractor
SPL00193,EMP00193,BU02,DEPT06,2023-03-13,2024-06-22,resignation,regular_full_time
SPL00194,EMP00194,BU02,DEPT06,2019-09-19,,,regular_full_time
SPL00195,EMP00195,BU01,DEPT02,2020-11-16,2023-07-09,resignation,regular_full_time
SPL00196,EMP00196,BU02,DEPT03,2020-07-08,,,regular_full_time
SPL00197,EMP00197,BU01,DEPT02,2020-05-02,2022-11-03,involuntary_termination,regular_full_time
SPL00198,EMP00198,BU01,DEPT04,2022-07-24,,,intern
SPL00199,EMP00199,BU01,DEPT01,2022-05-08,2023-09-16,retirement,contractor
SPL00200,EMP00200,BU02,DEPT10,2024-05-11,,,regular_full_time
SPL00201,EMP00201,BU01,DEPT02,2023-01-20,2023-10-28,layoff,regular_full_time
SPL00202,EMP00202,BU02,DEPT06,2022-05-14,2023-10-26,resignation,regular_full_time
SPL00203,EMP00203,BU01,DEPT02,2019-08-10,,,regular_part_time
SPL00204,EMP00204,BU01,DEPT04,2023-02-23,2023-12-31,layoff,regular_full_time
SPL00205,EMP00205,BU02,DEPT03,2022-05-16,2024-03-24,layoff,regular_full_time
SPL00206,EMP00206,BU01,DEPT08,2019-12-24,2022-07-04,resignation,intern
SPL00207,EMP00207,BU01,DEPT04,2020-08-13,,,contractor
SPL00208,EMP00208,BU02,DEPT03,2019-11-18,2023-06-06,resignation,regular_full_time
SPL00209,EMP00209,BU01,DEPT09,2020-12-21,2024-06-04,resignation,regular_full_time
SPL00210,EMP00210,BU01,DEPT02,2019-09-20,2020-11-24,resignation,regular_full_time
SPL00211,EMP00211,BU02,DEPT05,2019-11-10,2023-01-05,retirement,regular_full_time
SPL00212,EMP00212,BU02,DEPT09,2024-01-02,,,regular_full_time
SPL00213,EMP00213,BU01,DEPT02,2023-06-17,,,regular_full_time
SPL00214,EMP00214,BU01,DEPT01,2023-01-18,2024-05-17,involuntary_termination,regular_full_time
SPL00215,EMP00215,BU01,DEPT02,2019-04-18,,,regular_part_time
SPL00216,EMP00216,BU02,DEPT05,2023-02-05,2024-06-28,resignation,regular_full_time
SPL00217,EMP00217,BU01,DEPT02,2023-10-17,2024-05-29,resignation,regular_full_time
SPL00218,EMP00218,BU01,DEPT07,2019-05-04,,,contractor
SPL00219,EMP00219,BU02,DEPT05,2022-12-05,2024-06-18,resignation,regular_full_time
SPL00220,EMP00220,BU02,DEPT06,2021-07-07,,,regular_full_time
SPL00221,EMP00221,BU01,DEPT04,2022-03-09,,,regular_full_time
SPL00222,EMP00222,BU02,DEPT03,2019-03-22,,,contractor
SPL00223,EMP00223,BU01,DEPT08,2019-12-10,,,contractor
SPL00224,EMP00224,BU02,DEPT05,2020-08-25,,,regular_full_time
SPL00225,EMP00225,BU01,DEPT08,2022-03-21,,,intern
SPL00226,EMP00226,BU01,DEPT08,2021-10-11,2022-12-30,resignation,regular_full_time
SPL00227,EMP00227,BU02,DEPT06,2020-10-09,2023-02-13,resignation,regular_full_time
SPL00228,EMP00228,BU02,DEPT10,2022-08-23,2024-03-24,resignation,regular_part_time
SPL00229,EMP00229,BU01,DEPT07,2023-10-03,,,regular_full_time
SPL00230,EMP00230,BU01,DEPT02,2020-07-02,2023-12-11,layoff,contractor
SPL00231,EMP00231,BU02,DEPT05,2022-03-06,2024-06-21,resignation,regular_full_time
SPL00232,EMP00232,BU01,DEPT01,2022-04-30,2024-05-20,involuntary_termination,regular_part_time
SPL00233,EMP00233,BU02,DEPT10,2020-12-23,2023-09-18,resignation,contractor
SPL00234,EMP00234,BU01,DEPT08,2021-06-03,2024-05-19,layoff,regular_full_time
SPL00235,EMP00235,BU02,DEPT06,2020-09-21,,,contractor
SPL00236,EMP00236,BU02,DEPT03,2023-08-08,2024-03-09,involuntary_termination,regular_part_time
SPL00237,EMP00237,BU02,DEPT05,2022-06-17,2023-08-11,layoff,regular_full_time
SPL00238,EMP00238,BU01,DEPT02,2020-07-30,2023-01-27,involuntary_termination,intern
SPL00239,EMP00239,BU02,DEPT10,2019-09-25,2022-12-08,layoff,regular_full_time
SPL00240,EMP00240,BU01,DEPT02,2023-07-31,2024-05-13,layoff,regular_full_time
SPL00241,EMP00241,BU01,DEPT02,2020-07-31,,,regular_full_time
SPL00242,EMP00242,BU01,DEPT04,2024-05-08,,,regular_full_time
SPL00243,EMP00243,BU02,DEPT10,2020-03-21,2023-03-15,retirement,regular_full_time
SPL00244,EMP00244,BU02,DEPT06,2022-08-15,,,regular_full_time
SPL00245,EMP00245,BU02,DEPT03,2019-01-03,2023-10-18,layoff,contractor
SPL00246,EMP00246,BU02,DEPT03,2024-05-31,,,regular_full_time
SPL00247,EMP00247,BU02,DEPT06,2019-12-21,2024-01-22,layoff,regular_full_time
SPL00248,EMP00248,BU01,DEPT08,2021-04-26,2024-02-20,layoff,regular_part_time
SPL00249,EMP00249,BU01,DEPT02,2019-11-30,,,intern
SPL00250,EMP00250,BU01,DEPT02,2021-09-06,2022-09-09,resignation,regular_full_time
SPL00251,EMP00251,BU02,DEPT10,2020-03-27,2023-10-17,layoff,regular_full_time
SPL00252,EMP00252,BU01,DEPT02,2019-01-02,,,regular_full_time
SPL00253,EMP00253,BU02,DEPT10,2020-06-18,2023-03-14,involuntary_termination,regular_full_time
SPL00254,EMP00254,BU02,DEPT06,2023-06-29,2024-05-27,resignation,regular_full_time
SPL00255,EMP00255,BU01,DEPT02,2020-09-08,,,regular_full_time
SPL00256,EMP00256,BU01,DEPT01,2021-01-03,2022-09-25,layoff,regular_full_time
SPL00257,EMP00257,BU01,DEPT02,2019-05-02,,,contractor
SPL00258,EMP00258,BU01,DEPT08,2021-03-05,,,regular_full_time
SPL00259,EMP00259,BU01,DEPT02,2024-03-14,2024-06-26,resignation,intern
SPL00260,EMP00260,BU02,DEPT05,2024-04-28,,,regular_part_time
SPL00261,EMP00261,BU02,DEPT06,2023-01-26,2023-08-15,involuntary_termination,regular_part_time
SPL00262,EMP00262,BU01,DEPT07,2022-01-02,2024-03-25,layoff,regular_full_time
SPL00263,EMP00263,BU01,DEPT07,2020-11-25,2023-02-19,retirement,regular_full_time
SPL00264,EMP00264,BU01,DEPT01,2022-01-23,2023-05-25,layoff,regular_full_time
SPL00265,EMP00265,BU01,DEPT04,2023-03-22,2024-03-15,layoff,regular_full_time
SPL00266,EMP00266,BU01,DEPT02,2022-07-12,2023-08-07,involuntary_termination,regular_full_time
SPL00267,EMP00267,BU01,DEPT02,2019-02-23,2021-09-23,resignation,regular_full_time
SPL00268,EMP00268,BU01,DEPT07,2020-03-02,2021-07-10,resignation,intern
SPL00269,EMP00269,BU01,DEPT02,2020-11-13,,,regular_full_time
SPL00270,EMP00270,BU01,DEPT01,2020-06-11,2022-02-16,involuntary_termination,contractor
SPL00271,EMP00271,BU02,DEPT06,2021-03-22,,,intern
SPL00272,EMP00272,BU02,DEPT09,2019-09-01,2022-12-13,resignation,regular_full_time
SPL00273,EMP00273,BU02,DEPT10,2021-07-22,2024-06-20,resignation,regular_full_time
SPL00274,EMP00274,BU02,DEPT09,2024-03-05,2024-06-20,involuntary_termination,regular_full_time
SPL00275,EMP00275,BU01,DEPT02,2021-07-26,2024-04-29,involuntary_termination,regular_full_time
SPL00276,EMP00276,BU01,DEPT08,2019-09-13,2023-08-26,layoff,regular_full_time
SPL00277,EMP00277,BU01,DEPT07,2023-05-18,2024-04-19,resignation,regular_full_time
SPL00278,EMP00278,BU02,DEPT05,2024-02-03,2024-06-07,resignation,regular_full_time
SPL00279,EMP00279,BU02,DEPT06,2021-11-26,2023-04-28,retirement,regular_full_time
SPL00280,EMP00280,BU01,DEPT07,2019-07-08,,,regular_part_time
SPL00281,EMP00281,BU02,DEPT06,2024-04-18,,,regular_full_time
SPL00282,EMP00282,BU01,DEPT09,2024-01-23,2024-06-27,involuntary_termination,regular_full_time
SPL00283,EMP00283,BU02,DEPT06,2024-05-04,,,regular_full_time
SPL00284,EMP00284,BU01,DEPT01,2019-01-10,,,regular_full_time
SPL00285,EMP00285,BU02,DEPT03,2019-10-29,2024-01-16,resignation,regular_full_time
SPL00286,EMP00286,BU01,DEPT08,2023-08-26,2024-03-24,resignation,intern
SPL00287,EMP00287,BU02,DEPT03,2021-05-16,,,regular_full_time
SPL00288,EMP00288,BU02,DEPT10,2023-03-25,2024-04-13,layoff,contractor
SPL00289,EMP00289,BU02,DEPT10,2022-03-01,2024-01-09,layoff,regular_full_time
SPL00290,EMP00290,BU01,DEPT08,2021-01-16,2023-06-15,resignation,regular_full_time
SPL00291,EMP00291,BU01,DEPT07,2023-10-23,2024-06-20,resignation,intern
SPL00292,EMP00292,BU02,DEPT03,2023-05-03,,,regular_full_time
SPL00293,EMP00293,BU01,DEPT08,2022-03-01,,,regular_full_time
SPL00294,EMP00294,BU02,DEPT03,2019-11-22,2022-04-26,resignation,regular_full_time
SPL00295,EMP00295,BU01,DEPT01,2022-02-18,,,regular_full_time
SPL00296,EMP00296,BU02,DEPT10,2020-01-11,,,regular_full_time
SPL00297,EMP00297,BU02,DEPT10,2020-05-03,,,regular_full_time
SPL00298,EMP00298,BU01,DEPT08,2019-06-10,2023-04-25,layoff,regular_full_time
SPL00299,EMP00299,BU02,DEPT06,2021-08-11,2024-05-17,resignation,regular_full_time
SPL00300,EMP00300,BU02,DEPT10,2024-03-25,2024-06-24,layoff,contractor
SPL00301,EMP00301,BU02,DEPT04,2024-02-11,2024-06-13,resignation,regular_full_time
SPL00302,EMP00302,BU01,DEPT09,2019-11-07,2022-03-05,resignation,regular_full_time
SPL00303,EMP00303,BU02,DEPT10,2020-01-30,,,regular_full_time
SPL00304,EMP00304,BU02,DEPT09,2024-04-05,,,intern
SPL00305,EMP00305,BU01,DEPT02,2022-05-18,,,contractor
SPL00306,EMP00306,BU02,DEPT03,2023-08-06,,,regular_full_time
SPL00307,EMP00307,BU02,DEPT03,2020-03-05,2023-01-28,resignation,regular_part_time
SPL00308,EMP00308,BU01,DEPT01,2024-04-20,,,regular_full_time
SPL00309,EMP00309,BU02,DEPT03,2022-12-13,,,regular_part_time
SPL00310,EMP00310,BU01,DEPT01,2019-06-04,2022-01-14,layoff,regular_full_time
SPL00311,EMP00311,BU02,DEPT04,2023-06-19,,,regular_full_time
SPL00312,EMP00312,BU01,DEPT01,2020-03-11,2021-08-11,resignation,regular_full_time
SPL00313,EMP00313,BU02,DEPT03,2019-10-24,,,contractor
SPL00314,EMP00314,BU02,DEPT10,2022-02-07,,,regular_full_time
SPL00315,EMP00315,BU01,DEPT08,2022-07-23,2023-09-02,resignation,contractor
SPL00316,EMP00316,BU01,DEPT08,2023-09-19,,,contractor
SPL00317,EMP00317,BU01,DEPT07,2019-09-04,,,regular_full_time
SPL00318,EMP00318,BU01,DEPT08,2021-12-13,2024-03-07,resignation,regular_full_time
SPL00319,EMP00319,BU01,DEPT01,2022-11-26,2024-02-25,retirement,regular_full_time
SPL00320,EMP00320,BU02,DEPT09,2024-02-10,2024-06-15,resignation,regular_full_time
SPL00321,EMP00321,BU01,DEPT07,2024-04-23,,,regular_full_time
SPL00322,EMP00322,BU01,DEPT01,2019-05-14,,,regular_full_time
SPL00323,EMP00323,BU02,DEPT03,2019-02-04,2024-01-23,involuntary_termination,intern
