entry_id,business_unit_id,facility_id,reporting_date,scope,transaction_type,emission_source,quantity_tco2e,method,preliminary_estimate_tco2e,original_entry_id,restatement_reason,source_document_id,entry_created_by,approval_status,data_quality_tier
ENT000019,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Steam,14.38,market_based,16.34,,,DOC-754532,M. Bergstrom,approved,Tier 1 - metered
ENT000020,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Cooling,9.77,location_based,10.89,,,DOC-409435,P. Iyer,approved,Tier 1 - metered
ENT000021,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Cooling,6.32,market_based,6.36,,,DOC-151341,A. Kowalski,approved,Tier 1 - metered
ENT000022,BU-01,FAC-008,2024-03-31,Scope 1,verified_emission,Stationary Combustion - Boilers,75.02,,74.6,,,DOC-180856,H. Tanaka,approved,Tier 2 - calculated
ENT000023,BU-01,FAC-008,2024-03-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,15.41,,14.27,,,DOC-221872,P. Iyer,approved,Tier 3 - estimated
ENT000024,BU-01,FAC-008,2024-03-31,Scope 1,verified_emission,Process Emissions,27.03,,30.96,,,DOC-652565,H. Tanaka,approved,Tier 3 - estimated
ENT000025,BU-01,FAC-008,2024-03-31,Scope 1,emission_restatement,Process Emissions,36.07,,,ENT000024,Data entry correction,DOC-374019,M. Bergstrom,approved,Tier 1 - metered
ENT000026,BU-01,FAC-008,2024-03-31,Scope 1,emission_restatement,Process Emissions,44.25,,,ENT000025,Verification body recalculation,DOC-768665,K. Novak,approved,Tier 1 - metered
ENT000027,BU-01,FAC-008,2024-03-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,9.21,,8.29,,,DOC-173631,M. Bergstrom,approved,Tier 1 - metered
ENT000028,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Electricity,44.86,location_based,48.02,,,DOC-765830,P. Iyer,pending_review,Tier 2 - calculated
ENT000029,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Electricity,29.03,market_based,31.29,,,DOC-127145,N. Petrova,approved,Tier 1 - metered
ENT000030,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Steam,15.02,location_based,13.31,,,DOC-309617,V. Lindqvist,approved,Tier 1 - metered
ENT000031,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Steam,9.72,market_based,10.73,,,DOC-655939,S. Okoye,approved,Tier 2 - calculated
ENT000032,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Cooling,12.22,location_based,11.29,,,DOC-891097,E. Haddad,approved,Tier 3 - estimated
ENT000033,BU-01,FAC-008,2024-03-31,Scope 2,verified_emission,Purchased Cooling,7.91,market_based,7.53,,,DOC-581381,A. Kowalski,approved,Tier 1 - metered
ENT000034,BU-01,FAC-008,2024-04-30,Scope 1,verified_emission,Stationary Combustion - Boilers,64.28,,72.77,,,DOC-320316,T. Nakamura,pending_review,Tier 1 - metered
ENT000035,BU-01,FAC-008,2024-04-30,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,53.82,,54.3,,,DOC-799622,L. Fontaine,approved,Tier 3 - estimated
ENT000036,BU-01,FAC-008,2024-04-30,Scope 1,verified_emission,Process Emissions,25.05,,28.45,,,DOC-491106,T. Nakamura,approved,Tier 3 - estimated
ENT000037,BU-01,FAC-008,2024-04-30,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,14.95,,13.64,,,DOC-957884,S. Okoye,approved,Tier 3 - estimated
ENT000038,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Electricity,58.17,location_based,55.06,,,DOC-127049,V. Lindqvist,approved,Tier 1 - metered
ENT000039,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Electricity,37.64,market_based,38.0,,,DOC-518512,K. Novak,approved,Tier 3 - estimated
ENT000040,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Steam,23.06,location_based,24.73,,,DOC-989742,L. Fontaine,approved,Tier 3 - estimated
ENT000041,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Steam,14.92,market_based,14.21,,,DOC-237589,D. Silveira,approved,Tier 3 - estimated
ENT000042,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Cooling,8.06,location_based,8.36,,,DOC-408162,R. Alvarez,pending_review,Tier 2 - calculated
ENT000043,BU-01,FAC-008,2024-04-30,Scope 2,verified_emission,Purchased Cooling,5.21,market_based,5.87,,,DOC-814271,A. Kowalski,approved,Tier 1 - metered
ENT000044,BU-01,FAC-008,2024-05-31,Scope 1,verified_emission,Stationary Combustion - Boilers,69.36,,79.63,,,DOC-675111,P. Iyer,approved,Tier 3 - estimated
ENT000045,BU-01,FAC-008,2024-05-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,35.35,,31.66,,,DOC-155856,N. Petrova,approved,Tier 2 - calculated
ENT000046,BU-01,FAC-008,2024-05-31,Scope 1,verified_emission,Process Emissions,16.0,,17.09,,,DOC-453634,E. Haddad,approved,Tier 1 - metered
ENT000047,BU-01,FAC-008,2024-05-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,14.22,,16.14,,,DOC-693955,A. Kowalski,approved,Tier 2 - calculated
ENT000048,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Electricity,60.62,location_based,52.26,,,DOC-259511,H. Tanaka,approved,Tier 1 - metered
ENT000049,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Electricity,39.22,market_based,45.01,,,DOC-903238,J. Whitfield,approved,Tier 3 - estimated
ENT000050,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Steam,26.96,location_based,30.58,,,DOC-693995,E. Haddad,approved,Tier 3 - estimated
ENT000051,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Steam,17.44,market_based,17.76,,,DOC-764658,S. Okoye,approved,Tier 2 - calculated
ENT000052,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Cooling,10.52,location_based,10.27,,,DOC-558040,S. Okoye,approved,Tier 2 - calculated
ENT000053,BU-01,FAC-008,2024-05-31,Scope 2,verified_emission,Purchased Cooling,6.81,market_based,6.69,,,DOC-408125,M. Bergstrom,approved,Tier 3 - estimated
ENT000054,BU-01,FAC-008,2024-06-30,Scope 1,verified_emission,Stationary Combustion - Boilers,82.06,,85.89,,,DOC-182551,E. Haddad,approved,Tier 1 - metered
ENT000055,BU-01,FAC-008,2024-06-30,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,49.42,,53.54,,,DOC-117789,H. Tanaka,pending_review,Tier 3 - estimated
ENT000056,BU-01,FAC-008,2024-06-30,Scope 1,verified_emission,Process Emissions,25.47,,23.75,,,DOC-322012,N. Petrova,approved,Tier 1 - metered
ENT000057,BU-01,FAC-008,2024-06-30,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,13.58,,12.37,,,DOC-355168,H. Tanaka,approved,Tier 2 - calculated
ENT000058,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Electricity,22.3,location_based,20.66,,,DOC-731251,P. Iyer,approved,Tier 1 - metered
ENT000059,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Electricity,14.43,market_based,14.0,,,DOC-388441,J. Whitfield,approved,Tier 2 - calculated
ENT000060,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Steam,15.78,location_based,17.56,,,DOC-120904,H. Tanaka,approved,Tier 2 - calculated
ENT000061,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Steam,10.21,market_based,11.29,,,DOC-499548,P. Iyer,approved,Tier 3 - estimated
ENT000062,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Cooling,12.79,location_based,13.3,,,DOC-590093,C. Osei,approved,Tier 3 - estimated
ENT000063,BU-01,FAC-008,2024-06-30,Scope 2,verified_emission,Purchased Cooling,8.28,market_based,9.33,,,DOC-319784,P. Iyer,pending_review,Tier 3 - estimated
ENT000064,BU-01,FAC-008,2024-06-23,Scope 2,renewable_energy_certificate,REC - Hydro,-43.46,,-43.21,,,DOC-663604,J. Whitfield,approved,Tier 2 - calculated
ENT000065,BU-01,FAC-008,2024-06-14,Scope 2,renewable_energy_certificate,REC - Wind,-39.24,,-36.39,,,DOC-627364,L. Fontaine,approved,Tier 2 - calculated
ENT000066,BU-01,FAC-008,2024-07-31,Scope 1,verified_emission,Stationary Combustion - Boilers,96.17,,105.29,,,DOC-361633,C. Osei,approved,Tier 1 - metered
ENT000067,BU-01,FAC-008,2024-07-31,Scope 1,emission_restatement,Stationary Combustion - Boilers,133.1,,,ENT000066,Third-party assurance adjustment,DOC-817758,S. Okoye,approved,Tier 1 - metered
ENT000068,BU-01,FAC-008,2024-07-31,Scope 1,emission_restatement,Stationary Combustion - Boilers,161.87,,,ENT000067,Second-round emission factor revision,DOC-644420,T. Nakamura,approved,Tier 1 - metered
ENT000069,BU-01,FAC-008,2024-07-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,32.71,,37.6,,,DOC-357827,S. Okoye,pending_review,Tier 1 - metered
ENT000070,BU-01,FAC-008,2024-07-31,Scope 1,verified_emission,Process Emissions,50.28,,56.81,,,DOC-360674,H. Tanaka,approved,Tier 1 - metered
ENT000071,BU-01,FAC-008,2024-07-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,14.16,,13.19,,,DOC-528558,V. Lindqvist,approved,Tier 2 - calculated
ENT000072,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Electricity,31.85,location_based,28.76,,,DOC-240152,J. Whitfield,approved,Tier 2 - calculated
ENT000073,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Electricity,20.61,market_based,21.76,,,DOC-816825,K. Novak,approved,Tier 3 - estimated
ENT000074,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Steam,29.81,location_based,26.19,,,DOC-715055,E. Haddad,approved,Tier 3 - estimated
ENT000075,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Steam,19.29,market_based,19.07,,,DOC-260050,J. Whitfield,approved,Tier 1 - metered
ENT000076,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Cooling,12.08,location_based,11.55,,,DOC-391371,N. Petrova,approved,Tier 3 - estimated
ENT000077,BU-01,FAC-008,2024-07-31,Scope 2,verified_emission,Purchased Cooling,7.82,market_based,7.62,,,DOC-455204,P. Iyer,approved,Tier 3 - estimated
ENT000078,BU-01,FAC-008,2024-08-31,Scope 1,verified_emission,Stationary Combustion - Boilers,65.11,,64.94,,,DOC-299762,V. Lindqvist,approved,Tier 1 - metered
ENT000079,BU-01,FAC-008,2024-08-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,46.34,,41.52,,,DOC-377078,D. Silveira,approved,Tier 1 - metered
ENT000080,BU-01,FAC-008,2024-08-31,Scope 1,emission_restatement,Mobile Combustion - Fleet Vehicles,60.25,,,ENT000079,Meter recalibration,DOC-492684,C. Osei,approved,Tier 1 - metered
ENT000081,BU-01,FAC-008,2024-08-31,Scope 1,emission_restatement,Mobile Combustion - Fleet Vehicles,72.17,,,ENT000080,Second-round emission factor revision,DOC-772058,C. Osei,approved,Tier 1 - metered
ENT000082,BU-01,FAC-008,2024-08-31,Scope 1,verified_emission,Process Emissions,24.11,,21.56,,,DOC-158645,C. Osei,approved,Tier 3 - estimated
ENT000083,BU-01,FAC-008,2024-08-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,8.57,,7.52,,,DOC-481048,L. Fontaine,approved,Tier 3 - estimated
ENT000084,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Electricity,55.56,location_based,55.63,,,DOC-584911,N. Petrova,approved,Tier 2 - calculated
ENT000085,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Electricity,35.95,market_based,32.92,,,DOC-662866,M. Bergstrom,approved,Tier 3 - estimated
ENT000086,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Steam,25.52,location_based,22.35,,,DOC-403522,S. Okoye,approved,Tier 1 - metered
ENT000087,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Steam,16.51,market_based,16.01,,,DOC-729245,H. Tanaka,pending_review,Tier 1 - metered
ENT000088,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Cooling,7.75,location_based,7.63,,,DOC-926093,L. Fontaine,approved,Tier 3 - estimated
ENT000089,BU-01,FAC-008,2024-08-31,Scope 2,verified_emission,Purchased Cooling,5.01,market_based,5.57,,,DOC-509040,S. Okoye,approved,Tier 1 - metered
ENT000090,BU-01,FAC-008,2024-09-30,Scope 1,verified_emission,Stationary Combustion - Boilers,63.46,,59.44,,,DOC-326722,N. Petrova,approved,Tier 2 - calculated
ENT000091,BU-01,FAC-008,2024-09-30,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,59.57,,63.33,,,DOC-517727,R. Alvarez,approved,Tier 1 - metered
ENT000092,BU-01,FAC-008,2024-09-30,Scope 1,verified_emission,Process Emissions,7.83,,7.27,,,DOC-359554,J. Whitfield,approved,Tier 3 - estimated
ENT000093,BU-01,FAC-008,2024-09-30,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,8.19,,7.91,,,DOC-779136,P. Iyer,approved,Tier 2 - calculated
ENT000094,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Electricity,67.82,location_based,71.41,,,DOC-859857,R. Alvarez,approved,Tier 1 - metered
ENT000095,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Electricity,43.88,market_based,49.07,,,DOC-796186,K. Novak,pending_review,Tier 1 - metered
ENT000096,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Steam,18.87,location_based,18.7,,,DOC-847032,A. Kowalski,pending_review,Tier 3 - estimated
ENT000097,BU-01,FAC-008,2024-09-30,Scope 2,emission_restatement,Purchased Steam,25.55,location_based,,ENT000096,Third-party assurance adjustment,DOC-627193,J. Whitfield,approved,Tier 1 - metered
ENT000098,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Steam,12.21,market_based,11.16,,,DOC-275937,V. Lindqvist,approved,Tier 2 - calculated
ENT000099,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Cooling,8.06,location_based,7.28,,,DOC-286286,T. Nakamura,approved,Tier 2 - calculated
ENT000100,BU-01,FAC-008,2024-09-30,Scope 2,verified_emission,Purchased Cooling,5.21,market_based,4.99,,,DOC-874252,M. Bergstrom,approved,Tier 2 - calculated
ENT000101,BU-01,FAC-008,2024-09-19,Scope 2,purchased_offset,Blue Carbon Offset,-105.76,,-118.08,,,DOC-129086,V. Lindqvist,approved,Tier 2 - calculated
ENT000102,BU-01,FAC-008,2024-10-31,Scope 1,verified_emission,Stationary Combustion - Boilers,45.2,,39.98,,,DOC-189847,J. Whitfield,approved,Tier 2 - calculated
ENT000103,BU-01,FAC-008,2024-10-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,34.56,,37.88,,,DOC-209771,E. Haddad,approved,Tier 1 - metered
ENT000104,BU-01,FAC-008,2024-10-31,Scope 1,emission_restatement,Mobile Combustion - Fleet Vehicles,48.39,,,ENT000103,Data entry correction,DOC-156094,P. Iyer,approved,Tier 1 - metered
ENT000105,BU-01,FAC-008,2024-10-31,Scope 1,verified_emission,Process Emissions,30.04,,32.8,,,DOC-932446,S. Okoye,pending_review,Tier 3 - estimated
ENT000106,BU-01,FAC-008,2024-10-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,12.43,,12.05,,,DOC-815328,D. Silveira,approved,Tier 1 - metered
ENT000107,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Electricity,64.27,location_based,56.62,,,DOC-818672,C. Osei,approved,Tier 2 - calculated
ENT000108,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Electricity,41.58,market_based,40.44,,,DOC-495721,J. Whitfield,pending_review,Tier 2 - calculated
ENT000109,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Steam,16.7,location_based,18.87,,,DOC-757450,L. Fontaine,pending_review,Tier 1 - metered
ENT000110,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Steam,10.81,market_based,11.03,,,DOC-445323,J. Whitfield,approved,Tier 2 - calculated
ENT000111,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Cooling,7.1,location_based,6.72,,,DOC-973211,L. Fontaine,approved,Tier 2 - calculated
ENT000112,BU-01,FAC-008,2024-10-31,Scope 2,verified_emission,Purchased Cooling,4.59,market_based,4.13,,,DOC-550582,E. Haddad,pending_review,Tier 2 - calculated
ENT000113,BU-01,FAC-008,2024-11-30,Scope 1,verified_emission,Stationary Combustion - Boilers,84.32,,85.91,,,DOC-782355,N. Petrova,approved,Tier 1 - metered
ENT000114,BU-01,FAC-008,2024-11-30,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,41.62,,42.84,,,DOC-194135,E. Haddad,pending_review,Tier 1 - metered
ENT000115,BU-01,FAC-008,2024-11-30,Scope 1,verified_emission,Process Emissions,21.63,,24.38,,,DOC-929189,D. Silveira,pending_review,Tier 1 - metered
ENT000116,BU-01,FAC-008,2024-11-30,Scope 1,emission_restatement,Process Emissions,31.8,,,ENT000115,Data entry correction,DOC-606400,T. Nakamura,approved,Tier 1 - metered
ENT000117,BU-01,FAC-008,2024-11-30,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,1.15,,1.15,,,DOC-123879,M. Bergstrom,approved,Tier 2 - calculated
ENT000118,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Electricity,35.1,location_based,39.09,,,DOC-104925,H. Tanaka,approved,Tier 3 - estimated
ENT000119,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Electricity,22.71,market_based,20.4,,,DOC-608569,J. Whitfield,pending_review,Tier 1 - metered
ENT000120,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Steam,22.06,location_based,25.14,,,DOC-546930,T. Nakamura,pending_review,Tier 3 - estimated
ENT000121,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Steam,14.27,market_based,14.67,,,DOC-870077,H. Tanaka,pending_review,Tier 2 - calculated
ENT000122,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Cooling,0.5,location_based,0.55,,,DOC-437017,A. Kowalski,approved,Tier 1 - metered
ENT000123,BU-01,FAC-008,2024-11-30,Scope 2,verified_emission,Purchased Cooling,0.5,market_based,0.52,,,DOC-607952,V. Lindqvist,approved,Tier 3 - estimated
ENT000124,BU-01,FAC-008,2024-12-31,Scope 1,verified_emission,Stationary Combustion - Boilers,63.74,,56.44,,,DOC-432985,V. Lindqvist,pending_review,Tier 1 - metered
ENT000125,BU-01,FAC-008,2024-12-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,40.65,,45.22,,,DOC-853944,R. Alvarez,approved,Tier 3 - estimated
ENT000126,BU-01,FAC-008,2024-12-31,Scope 1,verified_emission,Process Emissions,35.71,,32.1,,,DOC-568411,K. Novak,approved,Tier 1 - metered
ENT000127,BU-01,FAC-008,2024-12-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,13.14,,12.99,,,DOC-439060,H. Tanaka,approved,Tier 3 - estimated
ENT000128,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Electricity,66.13,location_based,63.04,,,DOC-292893,S. Okoye,approved,Tier 2 - calculated
ENT000129,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Electricity,42.79,market_based,46.76,,,DOC-952586,J. Whitfield,pending_review,Tier 1 - metered
ENT000130,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Steam,25.26,location_based,28.07,,,DOC-172661,V. Lindqvist,approved,Tier 2 - calculated
ENT000131,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Steam,16.34,market_based,14.06,,,DOC-486123,M. Bergstrom,approved,Tier 2 - calculated
ENT000132,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Cooling,19.24,location_based,16.59,,,DOC-994187,M. Bergstrom,approved,Tier 2 - calculated
ENT000133,BU-01,FAC-008,2024-12-31,Scope 2,verified_emission,Purchased Cooling,12.45,market_based,10.75,,,DOC-371588,P. Iyer,pending_review,Tier 3 - estimated
ENT000134,BU-01,FAC-008,2024-12-02,Scope 2,purchased_offset,Forestry Offset Program,-52.91,,-47.45,,,DOC-749951,D. Silveira,approved,Tier 2 - calculated
ENT000135,BU-01,FAC-008,2024-12-31,Scope 2,renewable_energy_certificate,REC - Hydro,-48.56,,-47.76,,,DOC-156805,S. Okoye,pending_review,Tier 2 - calculated
ENT000136,BU-01,FAC-101,2024-01-31,Scope 1,verified_emission,Stationary Combustion - Boilers,85.52,,77.55,,,DOC-562184,P. Iyer,approved,Tier 3 - estimated
ENT000137,BU-01,FAC-101,2024-01-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,47.46,,50.42,,,DOC-586711,C. Osei,approved,Tier 3 - estimated
ENT000138,BU-01,FAC-101,2024-01-31,Scope 1,verified_emission,Process Emissions,10.55,,9.37,,,DOC-930610,N. Petrova,approved,Tier 2 - calculated
ENT000139,BU-01,FAC-101,2024-01-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,13.46,,15.37,,,DOC-494150,E. Haddad,pending_review,Tier 2 - calculated
ENT000140,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Electricity,52.53,location_based,50.35,,,DOC-275394,L. Fontaine,approved,Tier 1 - metered
ENT000141,BU-01,FAC-101,2024-01-31,Scope 2,emission_restatement,Purchased Electricity,78.53,location_based,,ENT000140,Emission factor update,DOC-501465,S. Okoye,approved,Tier 1 - metered
ENT000142,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Electricity,32.17,market_based,27.68,,,DOC-937615,P. Iyer,approved,Tier 3 - estimated
ENT000143,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Steam,34.9,location_based,31.95,,,DOC-285237,L. Fontaine,approved,Tier 2 - calculated
ENT000144,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Steam,21.37,market_based,19.68,,,DOC-942558,D. Silveira,approved,Tier 2 - calculated
ENT000145,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Cooling,8.03,location_based,7.3,,,DOC-238241,S. Okoye,approved,Tier 2 - calculated
ENT000146,BU-01,FAC-101,2024-01-31,Scope 2,verified_emission,Purchased Cooling,4.92,market_based,5.11,,,DOC-921203,N. Petrova,approved,Tier 2 - calculated
ENT000147,BU-01,FAC-101,2024-02-29,Scope 1,verified_emission,Stationary Combustion - Boilers,110.14,,122.17,,,DOC-820524,K. Novak,pending_review,Tier 1 - metered
ENT000148,BU-01,FAC-101,2024-02-29,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,57.29,,56.22,,,DOC-413110,K. Novak,pending_review,Tier 3 - estimated
ENT000149,BU-01,FAC-101,2024-02-29,Scope 1,verified_emission,Process Emissions,23.12,,20.92,,,DOC-440478,K. Novak,approved,Tier 1 - metered
ENT000150,BU-01,FAC-101,2024-02-29,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,16.12,,14.81,,,DOC-687872,N. Petrova,approved,Tier 3 - estimated
ENT000151,BU-01,FAC-101,2024-02-29,Scope 2,verified_emission,Purchased Electricity,41.07,location_based,36.23,,,DOC-251985,D. Silveira,approved,Tier 2 - calculated
ENT000152,BU-01,FAC-101,2024-02-29,Scope 2,verified_emission,Purchased Electricity,25.15,market_based,24.67,,,DOC-567594,P. Iyer,pending_review,Tier 1 - metered
ENT000153,BU-01,FAC-101,2024-02-29,Scope 2,verified_emission,Purchased Steam,28.97,location_based,28.29,,,DOC-537652,H. Tanaka,approved,Tier 3 - estimated
ENT000154,BU-01,FAC-101,2024-02-29,Scope 2,verified_emission,Purchased Steam,17.74,market_based,18.47,,,DOC-633660,K. Novak,approved,Tier 2 - calculated
