business_unit_id,facility_id,facility_name,region,ownership_start,ownership_end,facility_address,square_footage,employee_headcount,naics_code,data_source_system,last_audit_date
BU-02,FAC-109,BU-02 FAC-109 Facility,Europe,2021-10-18,,"2916 Industrial Pkwy, Unit 16",20294,343,322130,SAP-EHS,2024-10-22
BU-02,FAC-110,BU-02 FAC-110 Facility,North America,2019-05-05,,"3091 Industrial Pkwy, Unit 17",150738,301,325180,Workiva,2024-08-09
BU-02,FAC-111,BU-02 FAC-111 Facility,Europe,2015-12-14,,"2514 Industrial Pkwy, Unit 18",176558,664,212210,Sphera,2024-09-10
BU-02,FAC-112,BU-02 FAC-112 Facility,North America,2017-07-25,,"6184 Industrial Pkwy, Unit 19",239422,878,327310,SAP-EHS,2024-01-13
BU-02,FAC-113,BU-02 FAC-113 Facility,Latin America,2024-03-03,,"5512 Industrial Pkwy, Unit 20",105875,296,322130,Enablon,2024-09-23
BU-02,FAC-114,BU-02 FAC-114 Facility,Europe,2022-09-14,,"2106 Industrial Pkwy, Unit 21",248460,580,331110,Workiva,2024-06-18
BU-02,FAC-115,BU-02 FAC-115 Facility,APAC,2022-03-30,2024-04-10,"9365 Industrial Pkwy, Unit 22",59271,169,311710,SAP-EHS,2024-04-08
BU-02,FAC-116,BU-02 FAC-116 Facility,North America,2022-12-08,2024-02-29,"8926 Industrial Pkwy, Unit 23",37277,680,322130,Sphera,2024-03-14
BU-02,FAC-116,BU-02 FAC-116 Facility,APAC,2024-09-01,,"1248 Industrial Pkwy, Unit 24",142120,435,331110,SAP-EHS,2024-09-11
BU-03,FAC-003,BU-03 FAC-003 Facility,Latin America,2017-09-07,,"4160 Industrial Pkwy, Unit 25",106546,800,325180,Workiva,2024-09-03
BU-03,FAC-010,BU-03 FAC-010 Facility,Europe,2018-01-14,,"152 Industrial Pkwy, Unit 26",244519,854,327310,SAP-EHS,2024-02-10
BU-03,FAC-015,BU-03 FAC-015 Facility,APAC,2015-07-17,2024-10-20,"1617 Industrial Pkwy, Unit 27",197951,181,331110,Workiva,2024-08-25
BU-03,FAC-117,BU-03 FAC-117 Facility,North America,2021-12-29,2024-01-31,"2876 Industrial Pkwy, Unit 28",91029,898,322130,Enablon,2024-11-16
BU-03,FAC-118,BU-03 FAC-118 Facility,Latin America,2018-12-29,,"4393 Industrial Pkwy, Unit 29",50254,842,325180,SAP-EHS,2024-03-16
BU-03,FAC-119,BU-03 FAC-119 Facility,North America,2024-04-18,,"277 Industrial Pkwy, Unit 30",181026,873,325180,Enablon,2024-06-16
BU-03,FAC-120,BU-03 FAC-120 Facility,APAC,2022-06-02,2024-09-04,"5852 Industrial Pkwy, Unit 31",117173,199,322130,Sphera,2024-01-09
BU-03,FAC-121,BU-03 FAC-121 Facility,North America,2020-09-20,,"7415 Industrial Pkwy, Unit 32",217358,139,484110,SAP-EHS,2024-07-06
BU-03,FAC-122,BU-03 FAC-122 Facility,North America,2022-06-02,,"4035 Industrial Pkwy, Unit 33",253414,288,327310,Enablon,2024-06-16
BU-03,FAC-123,BU-03 FAC-123 Facility,Europe,2020-04-20,,"9559 Industrial Pkwy, Unit 34",142650,275,325410,Sphera,2024-06-13
BU-03,FAC-124,BU-03 FAC-124 Facility,Latin America,2015-03-14,,"5595 Industrial Pkwy, Unit 35",51311,579,322130,SAP-EHS,2024-08-26
BU-04,FAC-004,BU-04 FAC-004 Facility,Latin America,2024-03-03,,"4248 Industrial Pkwy, Unit 36",16595,870,327310,Workiva,2024-02-29
BU-04,FAC-011,BU-04 FAC-011 Facility,Latin America,2022-06-18,,"8062 Industrial Pkwy, Unit 37",120859,433,212210,Sphera,2024-10-06
BU-04,FAC-125,BU-04 FAC-125 Facility,Latin America,2015-02-22,,"1180 Industrial Pkwy, Unit 38",85543,750,331110,Sphera,2024-06-01
BU-04,FAC-126,BU-04 FAC-126 Facility,Europe,2016-11-10,,"5354 Industrial Pkwy, Unit 39",202461,555,325410,Sphera,2024-09-05
BU-04,FAC-127,BU-04 FAC-127 Facility,Europe,2019-10-28,2024-04-22,"1276 Industrial Pkwy, Unit 40",106675,835,484110,SAP-EHS,2024-08-03
BU-04,FAC-128,BU-04 FAC-128 Facility,APAC,2025-10-16,,"2813 Industrial Pkwy, Unit 41",126204,489,327310,Enablon,2024-03-19
BU-04,FAC-129,BU-04 FAC-129 Facility,Latin America,2022-12-15,,"8423 Industrial Pkwy, Unit 42",215059,864,325180,Sphera,2024-01-22
BU-04,FAC-130,BU-04 FAC-130 Facility,Latin America,2018-10-20,,"3642 Industrial Pkwy, Unit 43",50812,193,322130,Enablon,2024-04-12
BU-04,FAC-131,BU-04 FAC-131 Facility,North America,2022-05-21,,"9160 Industrial Pkwy, Unit 44",240637,548,327310,SAP-EHS,2024-04-03
BU-04,FAC-132,BU-04 FAC-132 Facility,North America,2019-08-14,,"4610 Industrial Pkwy, Unit 45",43295,497,325180,Workiva,2024-01-19
BU-04,FAC-133,BU-04 FAC-133 Facility,North America,2016-07-23,,"8326 Industrial Pkwy, Unit 46",28078,400,311710,Workiva,2024-08-12
BU-05,FAC-005,BU-05 FAC-005 Facility,Europe,2021-06-03,,"8298 Industrial Pkwy, Unit 47",92907,886,311710,Workiva,2024-10-15
BU-05,FAC-012,BU-05 FAC-012 Facility,North America,2019-04-17,2024-03-31,"4981 Industrial Pkwy, Unit 48",59467,802,327310,SAP-EHS,2024-03-23
BU-05,FAC-012,BU-05 FAC-012 Facility,Latin America,2024-09-01,,"5754 Industrial Pkwy, Unit 49",247466,389,331110,SAP-EHS,2024-01-03
BU-05,FAC-134,BU-05 FAC-134 Facility,APAC,2024-05-20,,"5284 Industrial Pkwy, Unit 50",233919,113,325180,Sphera,2024-02-05
BU-05,FAC-135,BU-05 FAC-135 Facility,Europe,2015-06-01,,"9255 Industrial Pkwy, Unit 51",183898,111,322130,Sphera,2024-09-21
BU-05,FAC-136,BU-05 FAC-136 Facility,North America,2022-03-21,,"9796 Industrial Pkwy, Unit 52",93570,726,311710,Sphera,2024-07-26
BU-05,FAC-137,BU-05 FAC-137 Facility,Latin America,2020-02-20,,"7811 Industrial Pkwy, Unit 53",196065,142,322130,Workiva,2024-04-16
BU-05,FAC-138,BU-05 FAC-138 Facility,APAC,2019-02-11,2024-12-04,"8352 Industrial Pkwy, Unit 54",128385,711,484110,Workiva,2024-07-30
BU-05,FAC-139,BU-05 FAC-139 Facility,North America,2015-06-28,2024-01-31,"4392 Industrial Pkwy, Unit 55",132079,169,484110,Workiva,2024-03-17
BU-05,FAC-139,BU-05 FAC-139 Facility,Europe,2024-07-01,,"3737 Industrial Pkwy, Unit 56",138738,345,212210,Enablon,2024-05-23
BU-05,FAC-140,BU-05 FAC-140 Facility,North America,2018-01-13,,"6888 Industrial Pkwy, Unit 57",72684,284,322130,Sphera,2024-08-09
BU-05,FAC-141,BU-05 FAC-141 Facility,APAC,2022-04-30,,"4860 Industrial Pkwy, Unit 58",203721,312,484110,Workiva,2024-11-12
BU-05,FAC-142,BU-05 FAC-142 Facility,Europe,2021-10-14,,"6559 Industrial Pkwy, Unit 59",64577,728,311710,Workiva,2024-09-09
BU-06,FAC-001,BU-06 FAC-001 Facility,North America,2020-01-23,,"2952 Industrial Pkwy, Unit 60",58296,668,325180,SAP-EHS,2024-07-16
BU-06,FAC-006,BU-06 FAC-006 Facility,Latin America,2024-09-04,,"8620 Industrial Pkwy, Unit 61",240140,140,325410,Workiva,2024-07-28
BU-06,FAC-013,BU-06 FAC-013 Facility,Latin America,2015-10-05,,"7283 Industrial Pkwy, Unit 62",157293,98,311710,Sphera,2024-08-26
BU-06,FAC-143,BU-06 FAC-143 Facility,APAC,2016-02-06,,"9591 Industrial Pkwy, Unit 63",56501,725,484110,Workiva,2024-05-26
BU-06,FAC-144,BU-06 FAC-144 Facility,APAC,2021-11-09,2023-11-30,"9319 Industrial Pkwy, Unit 64",246776,103,331110,Workiva,2024-07-13
BU-06,FAC-145,BU-06 FAC-145 Facility,North America,2015-05-27,,"5252 Industrial Pkwy, Unit 65",165960,171,327310,SAP-EHS,2024-07-05
BU-06,FAC-146,BU-06 FAC-146 Facility,Latin America,2015-01-23,,"4811 Industrial Pkwy, Unit 66",129166,619,311710,Workiva,2024-09-09
BU-06,FAC-147,BU-06 FAC-147 Facility,APAC,2022-05-11,,"5224 Industrial Pkwy, Unit 67",135577,231,311710,SAP-EHS,2024-11-03
BU-06,FAC-148,BU-06 FAC-148 Facility,North America,2021-10-04,,"7880 Industrial Pkwy, Unit 68",43690,656,325180,Enablon,2024-08-05
BU-06,FAC-149,BU-06 FAC-149 Facility,Europe,2020-10-29,,"9223 Industrial Pkwy, Unit 69",204708,207,212210,Workiva,2024-04-20
BU-06,FAC-150,BU-06 FAC-150 Facility,APAC,2020-11-26,,"8188 Industrial Pkwy, Unit 70",201820,580,331110,Sphera,2024-04-30
BU-07,FAC-002,BU-07 FAC-002 Facility,North America,2017-07-03,2024-02-29,"9615 Industrial Pkwy, Unit 71",51206,100,325410,Workiva,2024-05-24
BU-07,FAC-002,BU-07 FAC-002 Facility,Latin America,2024-07-01,,"3894 Industrial Pkwy, Unit 72",46340,663,327310,Workiva,2024-11-09
BU-07,FAC-007,BU-07 FAC-007 Facility,Europe,2022-06-27,,"7824 Industrial Pkwy, Unit 73",165105,444,327310,Enablon,2024-08-03
BU-07,FAC-014,BU-07 FAC-014 Facility,Latin America,2022-11-21,2024-01-17,"8477 Industrial Pkwy, Unit 74",248042,395,325180,Enablon,2024-10-07
BU-07,FAC-151,BU-07 FAC-151 Facility,Latin America,2022-01-08,,"1315 Industrial Pkwy, Unit 75",44870,443,311710,SAP-EHS,2024-08-14
BU-07,FAC-152,BU-07 FAC-152 Facility,North America,2019-05-10,2024-01-20,"4597 Industrial Pkwy, Unit 76",192033,747,484110,Enablon,2024-11-15
BU-07,FAC-153,BU-07 FAC-153 Facility,Europe,2018-09-01,2024-04-30,"219 Industrial Pkwy, Unit 77",88972,476,325410,Workiva,2024-09-14
BU-07,FAC-154,BU-07 FAC-154 Facility,North America,2024-07-16,,"3969 Industrial Pkwy, Unit 78",259273,63,325410,Workiva,2024-04-03
BU-07,FAC-155,BU-07 FAC-155 Facility,North America,2021-03-22,2024-10-22,"1153 Industrial Pkwy, Unit 79",178108,899,325180,Workiva,2024-02-15
BU-07,FAC-156,BU-07 FAC-156 Facility,Latin America,2020-03-14,,"995 Industrial Pkwy, Unit 80",181778,809,322130,SAP-EHS,2024-03-22
BU-07,FAC-157,BU-07 FAC-157 Facility,APAC,2016-02-22,2024-01-31,"7789 Industrial Pkwy, Unit 81",213045,198,325180,Sphera,2024-04-05
BU-07,FAC-157,BU-07 FAC-157 Facility,Latin America,2024-08-01,,"9102 Industrial Pkwy, Unit 82",23859,29,325180,SAP-EHS,2024-01-18
BU-07,FAC-158,BU-07 FAC-158 Facility,Latin America,2024-10-16,,"9801 Industrial Pkwy, Unit 83",211363,867,327310,Enablon,2024-10-07
BU-08,FAC-003,BU-08 FAC-003 Facility,North America,2016-12-16,,"6723 Industrial Pkwy, Unit 84",211236,872,325410,SAP-EHS,2024-09-11
BU-08,FAC-008,BU-08 FAC-008 Facility,APAC,2021-07-22,2024-03-31,"4520 Industrial Pkwy, Unit 85",24837,424,327310,SAP-EHS,2024-02-11
BU-08,FAC-008,BU-08 FAC-008 Facility,Latin America,2024-09-01,,"5094 Industrial Pkwy, Unit 86",147260,677,311710,Workiva,2024-01-29
BU-08,FAC-015,BU-08 FAC-015 Facility,Europe,2021-10-22,,"1636 Industrial Pkwy, Unit 87",214265,667,325180,SAP-EHS,2024-01-06
BU-08,FAC-159,BU-08 FAC-159 Facility,North America,2024-04-15,,"7127 Industrial Pkwy, Unit 88",143025,882,212210,Workiva,2024-06-17
BU-08,FAC-160,BU-08 FAC-160 Facility,North America,2015-06-09,,"6200 Industrial Pkwy, Unit 89",16072,62,327310,Sphera,2024-05-31
BU-08,FAC-161,BU-08 FAC-161 Facility,Europe,2024-09-09,,"1813 Industrial Pkwy, Unit 90",105933,105,322130,SAP-EHS,2024-05-04
BU-08,FAC-162,BU-08 FAC-162 Facility,Latin America,2022-11-02,,"4639 Industrial Pkwy, Unit 91",148038,711,331110,Workiva,2024-10-14
BU-08,FAC-163,BU-08 FAC-163 Facility,Europe,2019-07-31,,"1536 Industrial Pkwy, Unit 92",75830,852,311710,Enablon,2024-05-18
BU-08,FAC-164,BU-08 FAC-164 Facility,Latin America,2024-07-27,,"7027 Industrial Pkwy, Unit 93",78085,593,484110,Sphera,2024-02-22
BU-08,FAC-165,BU-08 FAC-165 Facility,Latin America,2016-03-09,2024-06-18,"6938 Industrial Pkwy, Unit 94",113988,824,484110,SAP-EHS,2024-02-09
BU-08,FAC-166,BU-08 FAC-166 Facility,North America,2024-12-07,,"9482 Industrial Pkwy, Unit 95",83128,106,331110,Workiva,2024-05-21
BU-09,FAC-004,BU-09 FAC-004 Facility,Latin America,2021-04-13,,"4067 Industrial Pkwy, Unit 96",170484,875,484110,SAP-EHS,2024-05-14
BU-09,FAC-009,BU-09 FAC-009 Facility,North America,2021-09-19,,"9495 Industrial Pkwy, Unit 97",159135,551,331110,Sphera,2024-01-12
BU-09,FAC-167,BU-09 FAC-167 Facility,Europe,2024-04-25,,"4824 Industrial Pkwy, Unit 98",131162,154,327310,SAP-EHS,2024-07-07
BU-09,FAC-168,BU-09 FAC-168 Facility,Latin America,2017-10-21,,"5937 Industrial Pkwy, Unit 99",186990,503,212210,Workiva,2024-08-03
BU-09,FAC-169,BU-09 FAC-169 Facility,APAC,2016-12-20,2024-02-29,"3492 Industrial Pkwy, Unit 100",149540,197,484110,Workiva,2024-07-25
BU-09,FAC-169,BU-09 FAC-169 Facility,Latin America,2024-07-01,,"3670 Industrial Pkwy, Unit 101",250633,473,322130,Workiva,2024-07-03
BU-09,FAC-170,BU-09 FAC-170 Facility,North America,2022-02-02,,"9217 Industrial Pkwy, Unit 102",223305,465,212210,Workiva,2024-03-29
BU-09,FAC-171,BU-09 FAC-171 Facility,North America,2024-10-09,,"3212 Industrial Pkwy, Unit 103",142226,757,484110,Enablon,2024-01-14
BU-09,FAC-172,BU-09 FAC-172 Facility,North America,2015-12-05,2024-02-03,"8697 Industrial Pkwy, Unit 104",221288,744,325180,SAP-EHS,2024-04-02
BU-09,FAC-173,BU-09 FAC-173 Facility,Europe,2019-07-10,2024-05-06,"1812 Industrial Pkwy, Unit 105",194040,299,325180,Workiva,2024-10-24
BU-09,FAC-174,BU-09 FAC-174 Facility,Europe,2015-02-12,,"8288 Industrial Pkwy, Unit 106",188010,774,484110,Enablon,2024-08-22
BU-09,FAC-175,BU-09 FAC-175 Facility,Latin America,2016-03-24,2024-04-05,"6717 Industrial Pkwy, Unit 107",44319,469,331110,Workiva,2024-11-12
BU-10,FAC-005,BU-10 FAC-005 Facility,APAC,2015-08-12,,"4550 Industrial Pkwy, Unit 108",204165,396,331110,Sphera,2024-08-14
BU-10,FAC-010,BU-10 FAC-010 Facility,Latin America,2024-03-04,,"7554 Industrial Pkwy, Unit 109",110021,834,212210,Enablon,2024-01-04
BU-10,FAC-176,BU-10 FAC-176 Facility,North America,2020-05-25,,"7588 Industrial Pkwy, Unit 110",143646,433,327310,Workiva,2024-02-24
BU-10,FAC-177,BU-10 FAC-177 Facility,APAC,2018-05-05,,"9210 Industrial Pkwy, Unit 111",257337,863,311710,SAP-EHS,2024-10-03
BU-10,FAC-178,BU-10 FAC-178 Facility,APAC,2021-05-30,,"6543 Industrial Pkwy, Unit 112",49690,465,484110,Sphera,2024-05-09
BU-10,FAC-179,BU-10 FAC-179 Facility,APAC,2017-08-17,2024-02-11,"7577 Industrial Pkwy, Unit 113",25100,404,484110,Enablon,2024-10-30
BU-10,FAC-180,BU-10 FAC-180 Facility,Europe,2024-03-06,,"1890 Industrial Pkwy, Unit 114",74800,818,325410,SAP-EHS,2024-07-27
BU-10,FAC-181,BU-10 FAC-181 Facility,Europe,2016-11-11,2024-03-20,"2024 Industrial Pkwy, Unit 115",135098,896,311710,Workiva,2024-06-11
BU-10,FAC-182,BU-10 FAC-182 Facility,North America,2015-02-10,,"2761 Industrial Pkwy, Unit 116",74698,760,322130,Sphera,2024-07-29
BU-10,FAC-183,BU-10 FAC-183 Facility,Latin America,2019-06-13,,"4126 Industrial Pkwy, Unit 117",179199,720,322130,Workiva,2024-01-20
BU-10,FAC-184,BU-10 FAC-184 Facility,Latin America,2021-07-28,2023-02-01,"5440 Industrial Pkwy, Unit 118",230890,321,325410,Sphera,2024-04-19
BU-11,FAC-006,BU-11 FAC-006 Facility,Latin America,2018-11-10,,"7708 Industrial Pkwy, Unit 119",183843,770,331110,Workiva,2024-05-22
BU-11,FAC-011,BU-11 FAC-011 Facility,Europe,2022-04-10,,"5911 Industrial Pkwy, Unit 120",44440,768,484110,Enablon,2024-07-11
BU-11,FAC-185,BU-11 FAC-185 Facility,Latin America,2019-04-02,2024-02-29,"1139 Industrial Pkwy, Unit 121",20374,373,325410,Sphera,2024-07-26
BU-11,FAC-185,BU-11 FAC-185 Facility,Latin America,2024-09-01,,"3975 Industrial Pkwy, Unit 122",58489,32,331110,Enablon,2024-03-04
BU-11,FAC-186,BU-11 FAC-186 Facility,North America,2017-01-27,,"6118 Industrial Pkwy, Unit 123",242227,629,484110,Enablon,2024-04-11
BU-11,FAC-187,BU-11 FAC-187 Facility,North America,2019-07-13,2024-01-31,"4213 Industrial Pkwy, Unit 124",83115,173,212210,Workiva,2024-07-28
BU-11,FAC-187,BU-11 FAC-187 Facility,Latin America,2024-08-01,,"9818 Industrial Pkwy, Unit 125",211676,567,325410,Enablon,2024-11-20
BU-11,FAC-188,BU-11 FAC-188 Facility,Latin America,2021-02-02,,"9042 Industrial Pkwy, Unit 126",141194,655,331110,Sphera,2024-07-24
BU-11,FAC-189,BU-11 FAC-189 Facility,Europe,2025-08-23,,"8680 Industrial Pkwy, Unit 127",33173,124,311710,Workiva,2024-09-24
BU-11,FAC-190,BU-11 FAC-190 Facility,Latin America,2018-07-09,,"5575 Industrial Pkwy, Unit 128",250573,597,484110,Sphera,2024-02-05
BU-11,FAC-191,BU-11 FAC-191 Facility,North America,2022-11-15,,"2953 Industrial Pkwy, Unit 129",216260,667,325410,Workiva,2024-07-29
BU-11,FAC-192,BU-11 FAC-192 Facility,North America,2017-10-09,,"1326 Industrial Pkwy, Unit 130",87955,60,311710,Sphera,2024-11-13
BU-11,FAC-193,BU-11 FAC-193 Facility,APAC,2018-12-01,,"9855 Industrial Pkwy, Unit 131",225657,431,331110,Sphera,2024-03-20
BU-12,FAC-007,BU-12 FAC-007 Facility,North America,2018-04-17,,"7956 Industrial Pkwy, Unit 132",174210,99,327310,Workiva,2024-06-27
BU-12,FAC-012,BU-12 FAC-012 Facility,Europe,2021-05-31,,"9253 Industrial Pkwy, Unit 133",123896,744,327310,SAP-EHS,2024-01-19
BU-12,FAC-194,BU-12 FAC-194 Facility,APAC,2017-12-24,,"582 Industrial Pkwy, Unit 134",105399,120,325410,Workiva,2024-09-08
BU-12,FAC-195,BU-12 FAC-195 Facility,Latin America,2024-09-10,,"7759 Industrial Pkwy, Unit 135",16990,782,212210,Workiva,2024-05-09
BU-12,FAC-196,BU-12 FAC-196 Facility,Europe,2021-05-28,,"584 Industrial Pkwy, Unit 136",237415,230,325180,Workiva,2024-03-18
BU-12,FAC-197,BU-12 FAC-197 Facility,Europe,2021-11-11,,"144 Industrial Pkwy, Unit 137",248170,475,331110,Workiva,2024-06-24
BU-12,FAC-198,BU-12 FAC-198 Facility,APAC,2015-03-28,,"4073 Industrial Pkwy, Unit 138",186455,808,311710,Workiva,2024-03-25
BU-12,FAC-199,BU-12 FAC-199 Facility,Latin America,2021-10-26,2024-01-31,"3545 Industrial Pkwy, Unit 139",206004,771,325410,Enablon,2024-08-22
BU-12,FAC-199,BU-12 FAC-199 Facility,Latin America,2024-08-01,,"4544 Industrial Pkwy, Unit 140",112250,125,331110,Workiva,2024-10-19
BU-12,FAC-200,BU-12 FAC-200 Facility,North America,2021-12-05,,"6824 Industrial Pkwy, Unit 141",35778,615,331110,Enablon,2024-08-24
BU-12,FAC-201,BU-12 FAC-201 Facility,APAC,2018-05-26,,"5381 Industrial Pkwy, Unit 142",259692,583,331110,Sphera,2024-05-14
BU-12,FAC-202,BU-12 FAC-202 Facility,Latin America,2015-12-15,2024-02-29,"1948 Industrial Pkwy, Unit 143",259407,773,212210,Workiva,2024-07-15
BU-12,FAC-202,BU-12 FAC-202 Facility,North America,2024-07-01,,"3984 Industrial Pkwy, Unit 144",136471,825,327310,Enablon,2024-04-23
