employee_id,department_id,hourly_rate
E0124,D04,21.87
E0125,D04,17.94
E0126,D04,22.69
E0127,D04,20.96
E0128,D04,19.02
E0129,D04,18.59
E0130,D04,23.67
E0131,D04,19.29
E0132,D04,27.21
E0133,D04,23.6
E0134,D04,21.14
E0135,D04,23.7
E0136,D04,17.74
E0137,D04,27.56
E0138,D04,22.56
E0139,D04,25.72
E0140,D04,18.37
E0141,D04,22.61
E0142,D04,22.65
E0143,D04,27.35
E0144,D04,23.5
E0145,D04,22.47
E0146,D04,20.3
E0147,D04,20.98
E0148,D04,22.97
E0149,D04,22.11
E0150,D04,17.73
E0151,D04,26.18
E0152,D04,26.91
E0153,D04,18.97
E0154,D04,23.32
E0155,D04,18.64
E0156,D04,24.56
E0157,D04,20.45
E0158,D04,24.42
E0159,D04,25.13
E0160,D04,25.57
E0161,D05,18.63
E0162,D05,27.12
E0163,D05,19.92
E0164,D05,17.89
E0165,D05,23.33
E0166,D05,21.39
E0167,D05,26.21
E0168,D05,25.99
E0169,D05,20.83
E0170,D05,27.51
E0171,D05,20.55
E0172,D05,22.91
E0173,D05,20.19
E0174,D05,27.33
E0175,D05,19.23
E0176,D05,17.97
E0177,D05,22.07
E0178,D05,27.92
E0179,D05,26.86
E0180,D05,25.36
E0181,D05,26.85
E0182,D05,26.88
E0183,D05,22.95
E0184,D05,20.82
E0185,D05,25.61
E0186,D05,24.45
E0187,D05,21.42
E0188,D05,18.49
E0189,D05,25.34
E0190,D05,20.26
E0191,D05,27.34
E0192,D05,20.03
E0193,D05,18.79
E0194,D05,26.23
E0195,D05,19.11
E0196,D05,19.38
E0197,D05,23.79
E0198,D05,26.68
E0199,D05,19.56
E0200,D05,20.76
E0201,D06,25.66
E0202,D06,27.7
E0203,D06,22.76
E0204,D06,19.01
E0205,D06,17.65
E0206,D06,19.91
E0207,D06,18.88
E0208,D06,24.62
E0209,D06,18.78
E0210,D06,22.82
E0211,D06,24.79
E0212,D06,23.6
E0213,D06,19.6
E0214,D06,25.94
E0215,D06,25.01
E0216,D06,25.26
E0217,D06,18.88
E0218,D06,18.8
E0219,D06,27.24
E0220,D06,21.67
E0221,D06,20.66
E0222,D06,22.63
E0223,D06,24.46
E0224,D06,27.53
E0225,D06,20.51
E0226,D06,27.21
E0227,D06,17.76
E0228,D06,23.33
E0229,D06,24.16
E0230,D06,18.61
E0231,D06,18.97
E0232,D06,21.9
E0233,D06,27.65
E0234,D06,23.76
E0235,D06,27.3
E0236,D06,25.95
E0237,D06,22.41
E0238,D06,25.74
E0239,D06,17.69
E0240,D06,18.65
E0241,D07,26.21
E0242,D07,25.87
E0243,D07,19.94
E0244,D07,23.07
E0245,D07,23.86
E0246,D07,26.61
E0247,D07,23.83
E0248,D07,21.83
E0249,D07,21.43
E0250,D07,21.97
E0251,D07,24.35
E0252,D07,26.61
E0253,D07,22.27
E0254,D07,20.1
E0255,D07,19.98
E0256,D07,25.33
E0257,D07,26.07
E0258,D07,18.61
E0259,D07,18.2
E0260,D07,23.74
E0261,D07,19.03
E0262,D07,26.16
E0263,D07,20.76
E0264,D07,19.01
E0265,D07,27.17
E0266,D07,19.24
E0267,D07,20.49
E0268,D07,19.11
E0269,D07,18.71
E0270,D07,17.72
E0271,D07,18.08
E0272,D07,19.33
E0273,D07,18.06
E0274,D07,23.71
E0275,D07,24.65
E0276,D07,21.63
E0277,D07,20.84
E0278,D07,22.8
E0279,D07,26.69
E0280,D07,26.44
E0281,D08,17.96
E0282,D08,19.41
E0283,D08,19.99
E0284,D08,20.12
E0285,D08,23.5
E0286,D08,21.87
E0287,D08,18.02
E0288,D08,21.42
E0289,D08,23.0
E0290,D08,18.57
E0291,D08,26.25
E0292,D08,18.05
E0293,D08,27.21
E0294,D08,18.54
E0295,D08,26.36
E0296,D08,26.98
E0297,D08,27.79
E0298,D08,25.92
E0299,D08,25.68
E0300,D08,24.25
E0301,D08,25.68
E0302,D08,18.91
E0303,D08,23.13
E0304,D08,22.9
E0305,D08,26.5
E0306,D08,22.36
E0307,D08,21.54
E0308,D08,24.22
E0309,D08,20.3
E0310,D08,18.97
E0311,D08,22.52
E0312,D08,21.88
E0313,D08,19.94
E0314,D08,21.36
E0315,D08,21.35
E0316,D08,20.94
E0317,D08,21.48
E0318,D08,24.7
E0319,D08,20.62
E0320,D08,27.46
E0321,D09,27.12
E0322,D09,22.55
E0323,D09,20.95
E0324,D09,23.12
E0325,D09,26.41
E0326,D09,24.35
E0327,D09,25.95
E0328,D09,23.09
E0329,D09,24.15
E0330,D09,20.53
E0331,D09,25.22
E0332,D09,19.63
E0333,D09,24.8
E0334,D09,26.54
E0335,D09,18.89
E0336,D09,23.95
E0337,D09,18.5
E0338,D09,25.12
E0339,D09,18.39
E0340,D09,27.33
E0341,D09,18.94
E0342,D09,27.57
E0343,D09,25.91
E0344,D09,23.73
E0345,D09,25.72
E0346,D09,25.85
E0347,D09,27.43
E0348,D09,20.16
E0349,D09,23.7
E0350,D09,18.5
E0351,D09,23.97
E0352,D09,19.3
E0353,D09,23.43
E0354,D09,23.51
E0355,D09,22.39
E0356,D09,22.99
E0357,D09,25.52
E0358,D09,25.89
E0359,D09,22.67
E0360,D09,23.8
E0361,D10,27.28
E0362,D10,18.76
E0363,D10,18.73
E0364,D10,18.42
E0365,D10,24.41
E0366,D10,21.9
E0367,D10,25.63
E0368,D10,24.55
E0369,D10,21.0
E0370,D10,26.93
E0371,D10,25.51
E0372,D10,20.34
E0373,D10,21.32
E0374,D10,20.8
E0375,D10,19.15
E0376,D10,19.05
E0377,D10,27.33
E0378,D10,22.1
E0379,D10,21.52
E0380,D10,25.16
E0381,D10,23.31
E0382,D10,27.33
E0383,D10,25.69
E0384,D10,22.53
E0385,D10,21.45
E0386,D10,27.86
E0387,D10,25.04
E0388,D10,27.49
E0389,D10,18.74
E0390,D10,26.43
E0391,D10,24.19
E0392,D10,18.78
E0393,D10,23.68
E0394,D10,24.7
E0395,D10,17.63
E0396,D10,22.27
E0397,D10,26.17
E0398,D10,20.6
E0399,D10,22.31
E0400,D10,22.14
