employee_id,week_start,to_dept_id,reassigned_hours
E0366,2024-02-05,D08,8.64
E0202,2024-01-08,D02,10.14
E0363,2024-02-05,D04,7.37
E0374,2024-01-15,D04,7.18
E0026,2024-03-11,D09,14.06
E0232,2024-01-01,D08,10.12
C0032,2024-02-26,D09,6.52
E0142,2024-01-29,D08,5.26
E0140,2024-03-25,D01,5.92
E0080,2024-01-15,D04,5.25
E0266,2024-01-01,D06,6.22
E0260,2024-03-11,D06,11.46
E0229,2024-01-08,D01,4.01
E0224,2024-01-08,D07,14.92
E0365,2024-01-01,D06,4.57
E0081,2024-01-15,D01,14.69
E0097,2024-01-08,D05,10.16
E0045,2024-01-29,D03,10.82
E0316,2024-02-19,D03,5.93
E0259,2024-02-12,D01,8.47
C0052,2024-03-04,D03,11.56
C0072,2024-01-15,D05,13.46
E0294,2024-01-29,D09,5.99
E0147,2024-02-19,D06,11.88
E0279,2024-03-11,D09,10.44
C0053,2024-02-19,D05,13.1
E0393,2024-03-04,D03,8.24
E0073,2024-03-04,D10,12.0
E0107,2024-01-29,D02,5.95
E0146,2024-01-01,D09,10.91
E0200,2024-02-19,D03,12.55
E0335,2024-03-25,D10,4.34
E0149,2024-03-04,D06,8.08
E0093,2024-02-26,D05,14.61
E0374,2024-02-12,D05,5.27
E0079,2024-03-25,D05,11.95
E0118,2024-01-08,D08,10.96
E0145,2024-01-29,D10,5.6
E0076,2024-02-19,D09,7.22
E0228,2024-01-01,D09,6.42
C0090,2024-01-22,D04,12.94
C0038,2024-02-12,D09,14.42
C0089,2024-03-11,D08,12.54
E0341,2024-03-25,D07,8.4
C0028,2024-01-29,D09,5.15
E0163,2024-03-25,D02,6.74
E0052,2024-01-29,D05,13.85
E0027,2024-01-22,D02,10.47
E0170,2024-01-29,D09,8.54
E0126,2024-01-22,D06,12.94
E0082,2024-03-18,D05,5.32
C0084,2024-02-19,D01,15.32
E0050,2024-01-01,D07,6.48
E0294,2024-01-22,D02,5.63
E0228,2024-01-15,D04,12.61
E0051,2024-02-05,D03,13.61
C0029,2024-02-05,D07,8.89
E0119,2024-03-04,D07,6.85
C0059,2024-03-25,D09,11.55
E0069,2024-02-26,D03,12.47
E0361,2024-03-11,D05,10.49
E0162,2024-01-29,D10,6.5
E0258,2024-01-15,D05,11.84
C0017,2024-02-26,D04,4.18
E0053,2024-03-25,D05,15.36
E0360,2024-01-29,D06,15.34
E0025,2024-02-05,D10,9.59
E0121,2024-01-08,D07,7.21
E0299,2024-02-19,D05,7.87
E0046,2024-01-01,D04,11.63
E0017,2024-02-26,D08,5.31
E0201,2024-02-19,D02,15.01
E0380,2024-02-19,D01,10.63
E0148,2024-01-29,D03,5.21
C0029,2024-01-01,D07,9.8
E0180,2024-01-08,D03,8.23
C0015,2024-03-04,D08,9.68
E0265,2024-02-19,D02,6.01
E0380,2024-01-22,D03,10.05
E0155,2024-01-08,D02,8.01
E0038,2024-03-25,D10,7.85
C0091,2024-03-11,D06,8.36
E0347,2024-03-18,D06,11.49
E0200,2024-01-22,D03,7.75
C0055,2024-01-22,D07,10.05
C0043,2024-01-15,D09,8.91
E0061,2024-01-15,D03,12.1
E0251,2024-02-05,D01,13.55
E0249,2024-02-19,D06,7.68
E0007,2024-01-08,D10,9.78
C0028,2024-03-04,D07,9.14
E0363,2024-01-22,D05,5.96
E0346,2024-03-18,D02,9.17
E0045,2024-03-11,D09,15.43
C0029,2024-01-29,D01,5.2
C0045,2024-03-04,D09,10.27
E0093,2024-01-29,D04,7.68
E0088,2024-02-26,D01,10.01
E0343,2024-03-18,D02,14.83
E0395,2024-03-18,D02,4.42
E0359,2024-01-15,D05,4.91
E0214,2024-01-01,D10,8.86
C0081,2024-01-01,D01,11.85
E0150,2024-01-01,D03,11.55
E0055,2024-01-08,D10,10.71
E0072,2024-02-26,D06,14.79
E0227,2024-01-01,D05,13.21
E0138,2024-01-08,D03,4.17
E0035,2024-01-29,D09,11.55
E0239,2024-03-04,D02,8.79
E0019,2024-03-18,D09,6.69
E0058,2024-01-08,D03,4.8
E0352,2024-03-11,D05,13.49
E0210,2024-03-04,D02,15.66
E0109,2024-02-19,D06,8.26
E0322,2024-02-12,D02,7.42
C0024,2024-02-26,D05,14.6
C0090,2024-02-05,D08,5.82
