department_id,category_id,budget_month,budgeted_amount
D10,C01,2024-01,193294.72
D10,C01,2024-02,193294.72
D10,C01,2024-03,193294.72
D10,C02,2024-01,14534.02
D10,C02,2024-02,14534.02
D10,C02,2024-03,14534.02
D10,C03,2024-01,127683.17
D10,C03,2024-02,127683.17
D10,C03,2024-03,127683.17
D10,C04,2024-01,3443.15
D10,C04,2024-02,3443.15
D10,C04,2024-03,3443.15
D10,C05,2024-01,16710.28
D10,C05,2024-02,16710.28
D10,C05,2024-03,16710.28
D10,C06,2024-01,5684.12
D10,C06,2024-02,5684.12
D10,C06,2024-03,5684.12
D11,C01,2024-01,270459.39
D11,C01,2024-02,270459.39
D11,C01,2024-03,270459.39
D11,C02,2024-01,18505.42
D11,C02,2024-02,18505.42
D11,C02,2024-03,18505.42
D11,C03,2024-01,187911.85
D11,C03,2024-02,187911.85
D11,C03,2024-03,187911.85
D11,C04,2024-01,5214.1
D11,C04,2024-02,5214.1
D11,C04,2024-03,5214.1
D11,C05,2024-01,28519.16
D11,C05,2024-02,28519.16
D11,C05,2024-03,28519.16
D11,C06,2024-01,9530.35
D11,C06,2024-02,9530.35
D11,C06,2024-03,9530.35
D12,C01,2024-01,168516.91
D12,C01,2024-02,168516.91
D12,C01,2024-03,168516.91
D12,C02,2024-01,11246.01
D12,C02,2024-02,11246.01
D12,C02,2024-03,11246.01
D12,C03,2024-01,98734.02
D12,C03,2024-02,98734.02
D12,C03,2024-03,98734.02
D12,C04,2024-01,3009.83
D12,C04,2024-02,3009.83
D12,C04,2024-03,3009.83
D12,C05,2024-01,15791.61
D12,C05,2024-02,15791.61
D12,C05,2024-03,15791.61
D12,C06,2024-01,5850.78
D12,C06,2024-02,5850.78
D12,C06,2024-03,5850.78
D13,C01,2024-01,118358.64
D13,C01,2024-02,118358.64
D13,C01,2024-03,118358.64
D13,C02,2024-01,6962.48
D13,C02,2024-02,6962.48
D13,C02,2024-03,6962.48
D13,C03,2024-01,63578.77
D13,C03,2024-02,63578.77
D13,C03,2024-03,63578.77
D13,C04,2024-01,1805.74
D13,C04,2024-02,1805.74
D13,C04,2024-03,1805.74
D13,C05,2024-01,10367.77
D13,C05,2024-02,10367.77
D13,C05,2024-03,10367.77
D13,C06,2024-01,4074.42
D13,C06,2024-02,4074.42
D13,C06,2024-03,4074.42
D14,C01,2024-01,199003.66
D14,C01,2024-02,199003.66
D14,C01,2024-03,199003.66
D14,C02,2024-01,15761.51
D14,C02,2024-02,15761.51
D14,C02,2024-03,15761.51
D14,C03,2024-01,148705.06
D14,C03,2024-02,148705.06
D14,C03,2024-03,148705.06
D14,C04,2024-01,3517.33
D14,C04,2024-02,3517.33
D14,C04,2024-03,3517.33
D14,C05,2024-01,23151.38
D14,C05,2024-02,23151.38
D14,C05,2024-03,23151.38
D14,C06,2024-01,6292.79
D14,C06,2024-02,6292.79
D14,C06,2024-03,6292.79
D15,C01,2024-01,74535.87
D15,C01,2024-02,74535.87
D15,C01,2024-03,74535.87
D15,C02,2024-01,5625.95
D15,C02,2024-02,5625.95
D15,C02,2024-03,5625.95
D15,C03,2024-01,69987.2
D15,C03,2024-02,69987.2
D15,C03,2024-03,69987.2
D15,C04,2024-01,1656.94
D15,C04,2024-02,1656.94
D15,C04,2024-03,1656.94
D15,C05,2024-01,8429.36
D15,C05,2024-02,8429.36
D15,C05,2024-03,8429.36
D15,C06,2024-01,3301.24
D15,C06,2024-02,3301.24
D15,C06,2024-03,3301.24
