shift_id,employee_id,shift_start,shift_end
S000040,E0001,2024-02-19 06:30:00,2024-02-19 21:33:36
S000041,E0001,2024-02-20 06:00:00,2024-02-20 20:07:48
S000042,E0001,2024-02-21 08:00:00,2024-02-21 22:24:00
S000043,E0001,2024-02-22 08:00:00,2024-02-22 21:13:48
S000044,E0001,2024-02-23 07:30:00,2024-02-23 22:46:12
S000045,E0001,2024-02-24 06:30:00,2024-02-24 21:55:48
S000046,E0001,2024-02-25 06:15:00,2024-02-25 21:02:24
S000047,E0001,2024-02-26 07:15:00,2024-02-26 20:37:11
S000048,E0001,2024-02-28 06:00:00,2024-02-28 20:15:36
S000049,E0001,2024-02-29 07:00:00,2024-02-29 20:09:36
S000050,E0001,2024-03-01 07:30:00,2024-03-01 22:34:48
S000051,E0001,2024-03-04 08:15:00,2024-03-04 21:06:00
S000052,E0001,2024-03-05 06:00:00,2024-03-05 21:30:00
S000053,E0001,2024-03-06 06:00:00,2024-03-06 18:57:36
S000054,E0001,2024-03-07 06:00:00,2024-03-07 20:21:36
S000055,E0001,2024-03-08 08:30:00,2024-03-08 23:56:24
S000056,E0001,2024-03-10 07:00:00,2024-03-10 18:54:36
S000057,E0001,2024-03-11 07:00:00,2024-03-11 19:46:12
S000058,E0001,2024-03-12 07:00:00,2024-03-12 20:00:00
S000059,E0001,2024-03-13 06:15:00,2024-03-13 19:42:36
S000060,E0001,2024-03-14 06:30:00,2024-03-14 21:00:00
S000061,E0001,2024-03-16 06:00:00,2024-03-16 17:47:24
S000062,E0001,2024-03-17 08:15:00,2024-03-17 22:40:48
S000063,E0001,2024-03-18 08:00:00,2024-03-18 21:51:36
S000064,E0001,2024-03-19 08:30:00,2024-03-19 22:27:36
S000065,E0001,2024-03-20 08:00:00,2024-03-20 20:27:36
S000066,E0001,2024-03-23 06:15:00,2024-03-23 20:09:00
S000067,E0001,2024-03-24 06:00:00,2024-03-24 20:10:48
S000068,E0001,2024-03-25 06:00:00,2024-03-25 17:39:36
S000069,E0001,2024-03-27 06:00:00,2024-03-27 18:48:36
S000070,E0001,2024-03-29 08:15:00,2024-03-29 19:51:00
S000071,E0001,2024-03-30 07:15:00,2024-03-30 21:13:12
S000072,E0001,2024-03-31 07:00:00,2024-03-31 18:56:24
S000073,E0002,2024-01-02 22:00:00,2024-01-03 11:17:23
S000074,E0002,2024-01-04 23:15:00,2024-01-05 12:15:36
S000075,E0002,2024-01-05 22:15:00,2024-01-06 11:45:36
S000076,E0002,2024-01-07 23:15:00,2024-01-08 12:40:48
S000077,E0002,2024-01-09 23:00:00,2024-01-10 11:51:00
S000078,E0002,2024-01-11 22:00:00,2024-01-12 12:09:00
S000079,E0002,2024-01-12 22:00:00,2024-01-13 12:28:48
S000080,E0002,2024-01-13 23:00:00,2024-01-14 12:48:36
S000081,E0002,2024-01-14 22:00:00,2024-01-15 11:17:23
S000082,E0002,2024-01-18 23:00:00,2024-01-19 12:48:36
S000083,E0002,2024-01-19 23:00:00,2024-01-20 12:58:12
S000084,E0002,2024-01-20 22:00:00,2024-01-21 11:36:00
S000085,E0002,2024-01-21 22:30:00,2024-01-22 12:25:12
S000086,E0002,2024-01-22 22:00:00,2024-01-23 12:01:12
S000087,E0002,2024-01-24 22:30:00,2024-01-25 12:07:11
S000088,E0002,2024-01-26 22:00:00,2024-01-27 11:02:23
S000089,E0002,2024-01-27 22:00:00,2024-01-28 11:07:48
S000090,E0002,2024-01-28 22:00:00,2024-01-29 11:51:00
S000091,E0002,2024-01-29 23:00:00,2024-01-30 12:26:59
S000092,E0002,2024-01-30 22:30:00,2024-01-31 11:07:12
S000093,E0002,2024-01-31 23:00:00,2024-02-01 12:40:12
S000094,E0002,2024-02-01 22:00:00,2024-02-02 11:51:35
S000095,E0002,2024-02-02 22:00:00,2024-02-03 10:42:00
S000096,E0002,2024-02-03 22:00:00,2024-02-04 11:21:00
S000097,E0002,2024-02-04 22:00:00,2024-02-05 10:46:12
S000098,E0002,2024-02-06 22:00:00,2024-02-07 11:01:47
S000099,E0002,2024-02-07 22:30:00,2024-02-08 11:24:36
S000100,E0002,2024-02-09 23:30:00,2024-02-10 13:51:36
S000101,E0002,2024-02-11 23:15:00,2024-02-12 11:57:36
S000102,E0002,2024-02-12 23:30:00,2024-02-13 13:38:24
S000103,E0002,2024-02-14 23:15:00,2024-02-15 13:44:24
S000104,E0002,2024-02-16 23:00:00,2024-02-17 12:18:00
S000105,E0002,2024-02-18 22:00:00,2024-02-19 12:24:00
S000106,E0002,2024-02-19 22:00:00,2024-02-20 12:26:24
S000107,E0002,2024-02-21 22:30:00,2024-02-22 11:48:00
S000108,E0002,2024-02-23 22:15:00,2024-02-24 11:00:36
S000109,E0002,2024-02-24 23:15:00,2024-02-25 12:08:24
S000110,E0002,2024-02-25 22:30:00,2024-02-26 12:43:48
S000111,E0002,2024-02-26 22:30:00,2024-02-27 12:51:00
S000112,E0002,2024-02-28 23:30:00,2024-02-29 12:46:47
S000113,E0002,2024-02-29 23:15:00,2024-03-01 12:39:00
S000114,E0002,2024-03-03 22:30:00,2024-03-04 11:55:12
S000115,E0002,2024-03-04 22:00:00,2024-03-05 11:56:59
S000116,E0002,2024-03-05 22:30:00,2024-03-06 11:25:48
S000117,E0002,2024-03-06 22:15:00,2024-03-07 12:15:36
S000118,E0002,2024-03-07 23:00:00,2024-03-08 13:09:00
S000119,E0002,2024-03-09 22:30:00,2024-03-10 11:11:24
S000120,E0002,2024-03-10 23:00:00,2024-03-11 10:36:36
S000121,E0002,2024-03-11 22:30:00,2024-03-12 11:07:48
S000122,E0002,2024-03-12 23:00:00,2024-03-13 11:59:24
S000123,E0002,2024-03-13 22:00:00,2024-03-14 10:29:24
S000124,E0002,2024-03-14 23:00:00,2024-03-15 10:30:36
S000125,E0002,2024-03-15 22:00:00,2024-03-16 10:09:36
S000126,E0002,2024-03-17 23:30:00,2024-03-18 11:45:00
S000127,E0002,2024-03-18 22:30:00,2024-03-19 11:55:48
S000128,E0002,2024-03-19 23:30:00,2024-03-20 11:22:48
S000129,E0002,2024-03-20 23:00:00,2024-03-21 12:15:36
S000130,E0002,2024-03-21 23:00:00,2024-03-22 10:42:00
S000131,E0002,2024-03-22 22:30:00,2024-03-23 10:57:36
S000132,E0002,2024-03-23 22:00:00,2024-03-24 11:27:36
S000133,E0002,2024-03-24 23:15:00,2024-03-25 11:36:00
S000134,E0002,2024-03-25 22:15:00,2024-03-26 09:48:00
S000135,E0002,2024-03-26 23:30:00,2024-03-27 11:55:48
S000136,E0002,2024-03-27 23:00:00,2024-03-28 10:49:48
S000137,E0002,2024-03-28 23:15:00,2024-03-29 11:30:00
S000138,E0002,2024-03-29 23:15:00,2024-03-30 10:49:48
S000139,E0002,2024-03-30 23:00:00,2024-03-31 11:32:23
S000140,E0002,2024-03-31 22:30:00,2024-04-01 10:16:48
S000141,E0003,2024-01-01 17:00:00,2024-01-02 08:25:48
S000142,E0003,2024-01-03 16:00:00,2024-01-04 05:14:24
S000143,E0003,2024-01-06 17:00:00,2024-01-07 08:36:36
S000144,E0003,2024-01-07 17:30:00,2024-01-08 07:47:24
S000145,E0003,2024-01-08 16:00:00,2024-01-09 05:54:36
S000146,E0003,2024-01-09 17:00:00,2024-01-10 06:08:24
S000147,E0003,2024-01-11 17:00:00,2024-01-12 08:30:36
S000148,E0003,2024-01-12 17:30:00,2024-01-13 06:40:48
S000149,E0003,2024-01-13 16:00:00,2024-01-14 05:28:12
S000150,E0003,2024-01-14 17:15:00,2024-01-15 09:00:00
S000151,E0003,2024-01-16 16:15:00,2024-01-17 06:06:35
S000152,E0003,2024-01-17 16:00:00,2024-01-18 05:16:47
S000153,E0003,2024-01-18 17:15:00,2024-01-19 08:22:12
S000154,E0003,2024-01-19 17:00:00,2024-01-20 08:55:48
S000155,E0003,2024-01-20 17:15:00,2024-01-21 09:04:48
S000156,E0003,2024-01-21 17:15:00,2024-01-22 08:38:24
S000157,E0003,2024-01-23 17:00:00,2024-01-24 07:27:00
S000158,E0003,2024-01-24 17:00:00,2024-01-25 07:09:36
S000159,E0003,2024-01-25 16:00:00,2024-01-26 06:10:12
S000160,E0003,2024-01-27 16:00:00,2024-01-28 05:13:48
S000161,E0003,2024-01-31 17:00:00,2024-02-01 06:28:12
S000162,E0003,2024-02-01 16:30:00,2024-02-02 08:25:48
S000163,E0003,2024-02-02 16:30:00,2024-02-03 07:03:00
S000164,E0003,2024-02-04 16:15:00,2024-02-05 08:10:48
S000165,E0003,2024-02-05 16:30:00,2024-02-06 07:06:36
S000166,E0003,2024-02-06 17:15:00,2024-02-07 06:51:35
S000167,E0003,2024-02-07 17:30:00,2024-02-08 08:21:00
S000168,E0003,2024-02-08 17:30:00,2024-02-09 09:21:00
S000169,E0003,2024-02-09 16:00:00,2024-02-10 05:16:12
S000170,E0003,2024-02-10 16:00:00,2024-02-11 06:18:36
S000171,E0003,2024-02-11 17:30:00,2024-02-12 07:37:48
S000172,E0003,2024-02-12 16:15:00,2024-02-13 06:33:00
S000173,E0003,2024-02-13 17:00:00,2024-02-14 08:10:12
S000174,E0003,2024-02-14 17:00:00,2024-02-15 08:48:36
S000175,E0003,2024-02-16 17:00:00,2024-02-17 06:19:12
S000176,E0003,2024-02-17 17:00:00,2024-02-18 07:33:36
S000177,E0003,2024-02-20 17:00:00,2024-02-21 07:16:12
S000178,E0003,2024-02-21 17:00:00,2024-02-22 07:46:48
S000179,E0003,2024-02-23 16:00:00,2024-02-24 06:54:36
S000180,E0003,2024-02-24 17:00:00,2024-02-25 08:56:24
S000181,E0003,2024-02-27 17:30:00,2024-02-28 08:26:24
S000182,E0003,2024-02-28 17:15:00,2024-02-29 07:31:48
S000183,E0003,2024-03-02 16:15:00,2024-03-03 07:49:12
S000184,E0003,2024-03-03 17:15:00,2024-03-04 07:17:23
S000185,E0003,2024-03-05 17:30:00,2024-03-06 08:01:12
S000186,E0003,2024-03-07 16:15:00,2024-03-08 06:37:48
S000187,E0003,2024-03-08 17:00:00,2024-03-09 08:14:24
S000188,E0003,2024-03-09 16:00:00,2024-03-10 05:36:00
S000189,E0003,2024-03-10 16:15:00,2024-03-11 06:29:24
S000190,E0003,2024-03-12 17:00:00,2024-03-13 05:35:24
S000191,E0003,2024-03-14 16:00:00,2024-03-15 05:35:24
S000192,E0003,2024-03-15 16:30:00,2024-03-16 06:46:48
S000193,E0003,2024-03-17 16:15:00,2024-03-18 04:46:47
S000194,E0003,2024-03-18 17:30:00,2024-03-19 05:42:36
S000195,E0003,2024-03-19 17:00:00,2024-03-20 07:21:00
S000196,E0003,2024-03-20 16:00:00,2024-03-21 06:27:00
S000197,E0003,2024-03-21 17:00:00,2024-03-22 07:27:36
S000198,E0003,2024-03-22 16:00:00,2024-03-23 05:04:48
S000199,E0003,2024-03-23 16:00:00,2024-03-24 05:24:00
S000200,E0003,2024-03-24 16:00:00,2024-03-25 04:43:12
S000201,E0003,2024-03-25 16:15:00,2024-03-26 05:21:36
S000202,E0003,2024-03-26 16:30:00,2024-03-27 06:47:24
S000203,E0003,2024-03-27 16:00:00,2024-03-28 05:29:24
S000204,E0003,2024-03-28 17:15:00,2024-03-29 07:51:00
S000205,E0003,2024-03-31 17:15:00,2024-04-01 07:05:24
S000206,E0004,2024-01-01 07:00:00,2024-01-01 20:58:48
S000207,E0004,2024-01-02 07:00:00,2024-01-02 21:12:00
S000208,E0004,2024-01-03 08:00:00,2024-01-03 23:00:36
S000209,E0004,2024-01-04 08:00:00,2024-01-04 21:10:48
S000210,E0004,2024-01-05 06:15:00,2024-01-05 21:17:24
S000211,E0004,2024-01-06 08:30:00,2024-01-06 23:37:12
S000212,E0004,2024-01-07 06:30:00,2024-01-07 19:56:24
S000213,E0004,2024-01-09 07:00:00,2024-01-09 21:10:12
S000214,E0004,2024-01-11 07:00:00,2024-01-11 20:00:36
S000215,E0004,2024-01-13 06:00:00,2024-01-13 18:40:12
S000216,E0004,2024-01-14 07:30:00,2024-01-14 21:12:36
S000217,E0004,2024-01-15 06:30:00,2024-01-15 19:47:23
S000218,E0004,2024-01-18 08:30:00,2024-01-18 21:25:12
S000219,E0004,2024-01-19 06:15:00,2024-01-19 21:11:24
S000220,E0004,2024-01-21 07:00:00,2024-01-21 20:19:48
S000221,E0004,2024-01-22 08:15:00,2024-01-22 23:04:12
S000222,E0004,2024-01-23 07:00:00,2024-01-23 22:00:36
S000223,E0004,2024-01-24 08:00:00,2024-01-24 20:30:36
S000224,E0004,2024-01-25 07:00:00,2024-01-25 22:28:48
S000225,E0004,2024-01-28 08:00:00,2024-01-28 21:07:11
S000226,E0004,2024-01-29 06:00:00,2024-01-29 19:43:48
S000227,E0004,2024-01-30 06:00:00,2024-01-30 21:05:24
S000228,E0004,2024-01-31 07:00:00,2024-01-31 21:34:12
S000229,E0004,2024-02-01 07:00:00,2024-02-01 20:44:24
S000230,E0004,2024-02-02 08:15:00,2024-02-02 23:31:12
S000231,E0004,2024-02-03 07:00:00,2024-02-03 21:41:24
S000232,E0004,2024-02-04 06:00:00,2024-02-04 18:47:24
S000233,E0004,2024-02-05 06:30:00,2024-02-05 21:24:36
S000234,E0004,2024-02-06 07:00:00,2024-02-06 20:19:12
S000235,E0004,2024-02-07 06:00:00,2024-02-07 18:54:36
S000236,E0004,2024-02-08 06:30:00,2024-02-08 20:12:36
S000237,E0004,2024-02-09 08:00:00,2024-02-09 23:02:24
S000238,E0004,2024-02-10 07:00:00,2024-02-10 19:36:36
S000239,E0004,2024-02-11 06:00:00,2024-02-11 20:25:12
S000240,E0004,2024-02-12 06:00:00,2024-02-12 18:39:00
S000241,E0004,2024-02-13 08:30:00,2024-02-13 21:55:12
S000242,E0004,2024-02-14 06:15:00,2024-02-14 21:01:48
S000243,E0004,2024-02-17 07:00:00,2024-02-17 21:50:24
S000244,E0004,2024-02-18 06:30:00,2024-02-18 21:11:24
S000245,E0004,2024-02-19 06:00:00,2024-02-19 19:13:12
S000246,E0004,2024-02-20 06:00:00,2024-02-20 20:01:12
S000247,E0004,2024-02-21 07:00:00,2024-02-21 20:41:24
S000248,E0004,2024-02-22 07:30:00,2024-02-22 22:44:24
S000249,E0004,2024-02-23 08:15:00,2024-02-23 22:57:36
S000250,E0004,2024-02-24 06:00:00,2024-02-24 20:04:12
S000251,E0004,2024-02-25 08:15:00,2024-02-25 23:08:24
S000252,E0004,2024-02-26 08:00:00,2024-02-26 22:24:36
S000253,E0004,2024-02-27 07:15:00,2024-02-27 22:42:36
S000254,E0004,2024-03-01 07:00:00,2024-03-01 20:44:24
S000255,E0004,2024-03-02 06:15:00,2024-03-02 19:36:00
S000256,E0004,2024-03-04 06:00:00,2024-03-04 20:19:12
S000257,E0004,2024-03-05 06:15:00,2024-03-05 21:14:24
S000258,E0004,2024-03-06 08:00:00,2024-03-06 21:09:36
S000259,E0004,2024-03-07 08:15:00,2024-03-07 22:26:24
S000260,E0004,2024-03-08 07:00:00,2024-03-08 19:40:12
S000261,E0004,2024-03-09 07:00:00,2024-03-09 22:06:00
S000262,E0004,2024-03-10 08:00:00,2024-03-10 20:41:24
S000263,E0004,2024-03-11 06:15:00,2024-03-11 20:24:36
S000264,E0004,2024-03-13 06:00:00,2024-03-13 19:05:24
S000265,E0004,2024-03-14 07:15:00,2024-03-14 19:29:24
S000266,E0004,2024-03-16 08:00:00,2024-03-16 19:34:48
S000267,E0004,2024-03-17 07:30:00,2024-03-17 21:07:48
S000268,E0004,2024-03-19 06:00:00,2024-03-19 19:25:12
S000269,E0004,2024-03-20 06:00:00,2024-03-20 20:09:36
S000270,E0004,2024-03-22 08:30:00,2024-03-22 21:03:00
S000271,E0004,2024-03-24 08:00:00,2024-03-24 19:55:12
S000272,E0004,2024-03-25 06:00:00,2024-03-25 17:46:12
S000273,E0004,2024-03-27 06:00:00,2024-03-27 17:42:36
S000274,E0004,2024-03-29 06:30:00,2024-03-29 18:13:12
S000275,E0004,2024-03-30 06:00:00,2024-03-30 19:58:48
S000276,E0004,2024-03-31 08:00:00,2024-03-31 21:49:12
S000277,E0005,2024-01-03 08:15:00,2024-01-03 22:05:24
S000278,E0005,2024-01-05 08:00:00,2024-01-05 21:54:00
S000279,E0005,2024-01-06 06:00:00,2024-01-06 20:53:24
S000280,E0005,2024-01-07 08:00:00,2024-01-07 20:57:36
S000281,E0005,2024-01-08 08:00:00,2024-01-08 21:09:00
S000282,E0005,2024-01-09 06:00:00,2024-01-09 21:13:48
S000283,E0005,2024-01-10 08:00:00,2024-01-10 22:12:36
S000284,E0005,2024-01-11 06:00:00,2024-01-11 20:09:36
S000285,E0005,2024-01-12 06:00:00,2024-01-12 20:19:48
S000286,E0005,2024-01-13 07:00:00,2024-01-13 19:54:36
S000287,E0005,2024-01-14 07:00:00,2024-01-14 21:31:12
S000288,E0005,2024-01-15 06:00:00,2024-01-15 20:43:48
S000289,E0005,2024-01-16 07:15:00,2024-01-16 22:14:24
S000290,E0005,2024-01-17 06:00:00,2024-01-17 20:46:48
S000291,E0005,2024-01-18 07:30:00,2024-01-18 21:30:00
S000292,E0005,2024-01-19 07:00:00,2024-01-19 22:16:48
S000293,E0005,2024-01-21 07:30:00,2024-01-21 21:35:24
S000294,E0005,2024-01-22 07:00:00,2024-01-22 20:58:48
S000295,E0005,2024-01-23 08:00:00,2024-01-23 23:23:24
S000296,E0005,2024-01-24 07:00:00,2024-01-24 20:02:23
S000297,E0005,2024-01-26 07:00:00,2024-01-26 19:47:24
S000298,E0005,2024-01-27 06:00:00,2024-01-27 19:48:00
S000299,E0005,2024-01-30 07:30:00,2024-01-30 22:49:12
S000300,E0005,2024-02-01 06:30:00,2024-02-01 20:52:48
S000301,E0005,2024-02-03 06:00:00,2024-02-03 20:25:12
S000302,E0005,2024-02-04 06:00:00,2024-02-04 20:46:48
S000303,E0005,2024-02-05 08:00:00,2024-02-05 21:10:12
S000304,E0005,2024-02-06 08:15:00,2024-02-06 21:30:00
S000305,E0005,2024-02-08 06:15:00,2024-02-08 20:30:00
S000306,E0005,2024-02-10 06:15:00,2024-02-10 21:43:12
S000307,E0005,2024-02-11 08:00:00,2024-02-11 22:25:12
S000308,E0005,2024-02-13 06:30:00,2024-02-13 21:57:36
S000309,E0005,2024-02-14 07:00:00,2024-02-14 22:13:12
S000310,E0005,2024-02-15 08:00:00,2024-02-15 21:18:36
S000311,E0005,2024-02-16 08:00:00,2024-02-16 22:08:24
S000312,E0005,2024-02-17 06:00:00,2024-02-17 20:01:12
S000313,E0005,2024-02-18 07:00:00,2024-02-18 20:43:12
S000314,E0005,2024-02-20 08:30:00,2024-02-20 21:40:48
S000315,E0005,2024-02-21 07:00:00,2024-02-21 21:09:36
S000316,E0005,2024-02-22 08:00:00,2024-02-22 21:26:59
S000317,E0005,2024-02-23 06:00:00,2024-02-23 20:28:12
S000318,E0005,2024-02-24 06:30:00,2024-02-24 19:11:24
S000319,E0005,2024-02-25 06:00:00,2024-02-25 20:15:00
S000320,E0005,2024-02-26 07:00:00,2024-02-26 20:49:48
S000321,E0005,2024-02-29 07:00:00,2024-02-29 21:54:36
S000322,E0005,2024-03-02 06:15:00,2024-03-02 18:46:48
S000323,E0005,2024-03-03 08:00:00,2024-03-03 23:12:36
S000324,E0005,2024-03-05 07:00:00,2024-03-05 21:18:00
S000325,E0005,2024-03-06 08:30:00,2024-03-06 22:28:48
S000326,E0005,2024-03-08 08:00:00,2024-03-08 21:55:48
S000327,E0005,2024-03-10 06:15:00,2024-03-10 18:25:12
S000328,E0005,2024-03-11 07:00:00,2024-03-11 20:19:48
S000329,E0005,2024-03-13 07:15:00,2024-03-13 21:10:48
S000330,E0005,2024-03-14 08:00:00,2024-03-14 19:48:36
S000331,E0005,2024-03-15 08:30:00,2024-03-15 21:48:36
S000332,E0005,2024-03-16 07:15:00,2024-03-16 18:52:48
S000333,E0005,2024-03-19 06:00:00,2024-03-19 20:16:48
S000334,E0005,2024-03-21 08:00:00,2024-03-21 22:17:24
S000335,E0005,2024-03-23 06:00:00,2024-03-23 20:16:12
S000336,E0005,2024-03-24 06:00:00,2024-03-24 17:32:24
S000337,E0005,2024-03-25 06:30:00,2024-03-25 19:50:24
S000338,E0005,2024-03-26 08:15:00,2024-03-26 21:00:00
S000339,E0005,2024-03-27 07:00:00,2024-03-27 18:57:36
S000340,E0005,2024-03-28 07:15:00,2024-03-28 18:58:48
S000341,E0005,2024-03-29 08:15:00,2024-03-29 22:18:00
S000342,E0005,2024-03-30 07:00:00,2024-03-30 20:01:47
S000343,E0005,2024-03-31 07:00:00,2024-03-31 21:24:36
S000344,E0006,2024-01-01 08:00:00,2024-01-01 23:19:48
S000345,E0006,2024-01-03 07:15:00,2024-01-03 20:24:00
S000346,E0006,2024-01-06 08:30:00,2024-01-06 22:07:48
S000347,E0006,2024-01-07 06:30:00,2024-01-07 19:43:48
S000348,E0006,2024-01-08 07:00:00,2024-01-08 21:31:12
S000349,E0006,2024-01-09 08:00:00,2024-01-09 20:42:36
S000350,E0006,2024-01-10 07:00:00,2024-01-10 21:45:36
S000351,E0006,2024-01-11 06:00:00,2024-01-11 19:30:36
S000352,E0006,2024-01-13 06:30:00,2024-01-13 20:33:36
S000353,E0006,2024-01-14 06:30:00,2024-01-14 20:20:24
S000354,E0006,2024-01-15 06:00:00,2024-01-15 18:38:24
S000355,E0006,2024-01-16 08:00:00,2024-01-16 20:55:12
S000356,E0006,2024-01-17 06:00:00,2024-01-17 19:44:24
S000357,E0006,2024-01-18 07:00:00,2024-01-18 20:20:24
S000358,E0006,2024-01-19 07:00:00,2024-01-19 21:20:24
S000359,E0006,2024-01-20 06:00:00,2024-01-20 20:27:00
S000360,E0006,2024-01-21 07:15:00,2024-01-21 19:47:24
S000361,E0006,2024-01-23 08:00:00,2024-01-23 22:05:24
S000362,E0006,2024-01-24 07:00:00,2024-01-24 19:34:12
S000363,E0006,2024-01-25 07:15:00,2024-01-25 20:46:47
S000364,E0006,2024-01-26 07:30:00,2024-01-26 20:18:00
S000365,E0006,2024-01-29 08:30:00,2024-01-29 23:21:36
S000366,E0006,2024-01-31 06:00:00,2024-01-31 21:17:24
S000367,E0006,2024-02-01 07:30:00,2024-02-01 20:07:48
S000368,E0006,2024-02-02 08:00:00,2024-02-02 22:08:24
S000369,E0006,2024-02-03 07:00:00,2024-02-03 20:30:36
S000370,E0006,2024-02-05 08:00:00,2024-02-05 21:56:24
S000371,E0006,2024-02-06 06:00:00,2024-02-06 19:55:12
S000372,E0006,2024-02-09 08:00:00,2024-02-09 20:39:36
S000373,E0006,2024-02-11 06:15:00,2024-02-11 19:33:00
S000374,E0006,2024-02-12 08:00:00,2024-02-12 22:00:36
S000375,E0006,2024-02-13 08:30:00,2024-02-13 22:20:24
S000376,E0006,2024-02-14 06:00:00,2024-02-14 21:04:12
S000377,E0006,2024-02-15 08:00:00,2024-02-15 22:05:24
S000378,E0006,2024-02-16 08:30:00,2024-02-16 21:33:36
S000379,E0006,2024-02-17 08:00:00,2024-02-17 20:35:24
S000380,E0006,2024-02-18 07:00:00,2024-02-18 20:06:00
S000381,E0006,2024-02-19 06:15:00,2024-02-19 20:09:00
S000382,E0006,2024-02-20 07:00:00,2024-02-20 22:03:36
S000383,E0006,2024-02-21 06:00:00,2024-02-21 19:08:24
S000384,E0006,2024-02-23 06:30:00,2024-02-23 20:01:47
S000385,E0006,2024-02-24 08:00:00,2024-02-24 21:58:48
S000386,E0006,2024-02-25 07:00:00,2024-02-25 20:13:12
S000387,E0006,2024-02-26 07:15:00,2024-02-26 22:43:48
S000388,E0006,2024-02-27 07:00:00,2024-02-27 19:59:24
S000389,E0006,2024-02-28 06:00:00,2024-02-28 20:06:00
S000390,E0006,2024-03-01 08:00:00,2024-03-01 22:20:24
S000391,E0006,2024-03-02 07:00:00,2024-03-02 22:16:48
S000392,E0006,2024-03-03 07:00:00,2024-03-03 19:37:12
S000393,E0006,2024-03-04 07:00:00,2024-03-04 20:31:12
S000394,E0006,2024-03-05 07:00:00,2024-03-05 19:46:12
S000395,E0006,2024-03-06 06:15:00,2024-03-06 19:21:35
S000396,E0006,2024-03-07 06:00:00,2024-03-07 21:28:12
S000397,E0006,2024-03-08 08:00:00,2024-03-08 22:00:36
S000398,E0006,2024-03-09 08:15:00,2024-03-09 21:41:24
S000399,E0006,2024-03-10 07:00:00,2024-03-10 20:47:24
S000400,E0006,2024-03-11 06:30:00,2024-03-11 18:16:48
S000401,E0006,2024-03-12 08:30:00,2024-03-12 22:18:36
S000402,E0006,2024-03-13 06:00:00,2024-03-13 19:28:12
S000403,E0006,2024-03-14 06:00:00,2024-03-14 19:48:36
S000404,E0006,2024-03-15 08:15:00,2024-03-15 21:33:36
S000405,E0006,2024-03-16 07:30:00,2024-03-16 19:17:24
S000406,E0006,2024-03-17 08:00:00,2024-03-17 20:44:24
S000407,E0006,2024-03-18 06:30:00,2024-03-18 19:16:47
S000408,E0006,2024-03-19 08:15:00,2024-03-19 21:15:36
S000409,E0006,2024-03-20 06:00:00,2024-03-20 18:16:12
S000410,E0006,2024-03-21 07:00:00,2024-03-21 18:57:36
