expense_id,department_id,category_id,expense_date,payment_date,amount_usd,is_approved,vendor_id
EXP00051,D01,C02,2024-02-25,2024-02-25,1108.95,False,V018
EXP00052,D01,C02,2024-02-25,2024-02-27,1216.3,True,V048
EXP00053,D01,C02,2024-02-10,2024-02-14,1540.84,True,V056
EXP00054,D01,C02,2024-02-26,2024-02-28,1339.33,True,V025
EXP00055,D01,C02,2024-02-27,2024-02-27,1768.12,True,V017
EXP00056,D01,C02,2024-02-14,2024-02-18,1219.79,True,V015
EXP00057,D01,C02,2024-02-29,2024-02-29,1105.59,True,V053
EXP00058,D01,C02,2024-02-02,2024-02-05,1141.14,True,V036
EXP00059,D01,C02,2024-02-06,2024-02-12,1283.83,True,V056
EXP00060,D01,C02,2024-02-05,2024-02-12,1157.97,True,V056
EXP00061,D01,C02,2024-02-05,2024-02-07,1147.61,True,V028
EXP00062,D01,C02,2024-03-04,2024-03-08,1062.23,False,V002
EXP00063,D01,C02,2024-03-07,2024-03-08,1060.48,True,V026
EXP00064,D01,C02,2024-03-19,2024-03-23,1356.23,True,V041
EXP00065,D01,C02,2024-03-26,2024-04-06,1774.65,True,V048
EXP00066,D01,C02,2024-03-27,2024-04-08,1219.87,True,V011
EXP00067,D01,C02,2024-03-08,2024-03-09,1510.61,True,V057
EXP00068,D01,C02,2024-03-13,2024-03-15,1338.83,True,V003
EXP00069,D01,C02,2024-03-29,2024-04-09,1738.54,True,V007
EXP00070,D01,C02,2024-03-02,2024-03-05,1100.23,True,V056
EXP00071,D01,C02,2024-03-26,2024-03-29,1865.54,True,V020
EXP00072,D01,C02,2024-03-25,2024-04-11,1691.2,True,V039
EXP00073,D01,C02,2024-03-23,2024-04-03,1461.05,True,V059
EXP00074,D01,C02,2024-03-27,2024-04-13,1570.0,True,V024
EXP00075,D01,C02,2024-03-08,2024-03-10,1135.57,True,V027
EXP00076,D01,C02,2024-03-15,2024-03-16,1216.24,True,V026
EXP00077,D01,C02,2024-03-11,2024-03-13,1332.56,True,V045
EXP00078,D01,C02,2024-03-11,2024-03-14,1610.14,True,V023
EXP00079,D01,C02,2024-03-08,2024-03-10,1838.84,True,V041
EXP00080,D01,C02,2024-03-29,2024-04-13,1479.49,True,V020
EXP00081,D01,C02,2024-03-30,2024-04-14,1713.27,True,V034
EXP00082,D01,C03,2024-01-17,2024-01-23,4777.93,True,V038
EXP00083,D01,C03,2024-01-06,2024-01-11,4496.31,True,V036
EXP00084,D01,C03,2024-01-22,2024-01-26,4265.42,True,V052
EXP00085,D01,C03,2024-01-30,2024-02-06,6214.97,True,V035
EXP00086,D01,C03,2024-01-03,2024-01-07,4282.85,True,V057
EXP00087,D01,C03,2024-02-28,2024-02-28,5781.34,True,V027
EXP00088,D01,C03,2024-02-23,2024-02-23,6938.52,True,V048
EXP00089,D01,C03,2024-02-03,2024-02-05,5769.5,True,V004
EXP00090,D01,C03,2024-02-03,2024-02-07,4394.13,True,V037
EXP00091,D01,C03,2024-02-04,2024-02-08,5711.55,True,V029
EXP00092,D01,C03,2024-03-15,2024-03-20,6340.45,True,V032
EXP00093,D01,C03,2024-03-29,2024-04-13,5800.76,True,V009
EXP00094,D01,C03,2024-03-29,2024-04-13,4119.62,False,V008
EXP00095,D01,C03,2024-03-16,2024-03-21,5206.37,True,V056
EXP00096,D01,C03,2024-03-25,2024-04-12,6781.99,True,V021
EXP00097,D01,C04,2024-01-26,2024-01-26,309.11,True,V032
EXP00098,D01,C04,2024-01-10,2024-01-12,265.42,True,V010
EXP00099,D01,C04,2024-01-03,2024-01-10,324.0,True,V045
EXP00100,D01,C04,2024-01-12,2024-01-13,347.24,True,V044
EXP00101,D01,C04,2024-01-30,2024-01-30,332.37,True,V009
EXP00102,D01,C04,2024-01-12,2024-01-17,380.51,True,V060
EXP00103,D01,C04,2024-01-27,2024-02-09,407.32,True,V053
EXP00104,D01,C04,2024-01-20,2024-01-20,354.36,True,V008
EXP00105,D01,C04,2024-01-02,2024-01-07,238.06,True,V006
EXP00106,D01,C04,2024-01-15,2024-01-20,295.22,True,V050
EXP00107,D01,C04,2024-01-31,2024-01-31,296.54,True,V031
EXP00108,D01,C04,2024-01-29,2024-01-29,436.9,True,V007
EXP00109,D01,C04,2024-01-02,2024-01-09,292.9,True,V047
EXP00110,D01,C04,2024-01-26,2024-02-06,369.99,True,V060
EXP00111,D01,C04,2024-01-05,2024-01-10,253.84,True,V041
EXP00112,D01,C04,2024-01-28,2024-02-03,264.46,True,V015
EXP00113,D01,C04,2024-01-27,2024-01-27,419.45,True,V018
EXP00114,D01,C04,2024-01-21,2024-01-28,236.67,True,V003
EXP00115,D01,C04,2024-01-05,2024-01-05,357.93,True,V059
EXP00116,D01,C04,2024-01-25,2024-01-25,407.09,True,V015
EXP00117,D01,C04,2024-01-08,2024-01-08,397.31,True,V059
EXP00118,D01,C04,2024-01-29,2024-01-29,404.78,True,V042
EXP00119,D01,C04,2024-01-14,2024-01-14,276.32,True,V007
EXP00120,D01,C04,2024-01-04,2024-01-09,386.05,True,V031
EXP00121,D01,C04,2024-02-16,2024-02-21,407.44,True,V027
EXP00122,D01,C04,2024-02-05,2024-02-11,274.56,True,V045
EXP00123,D01,C04,2024-02-01,2024-02-03,378.92,True,V032
EXP00124,D01,C04,2024-02-29,2024-02-29,360.02,True,V004
EXP00125,D01,C04,2024-02-01,2024-02-01,414.1,True,V028
EXP00126,D01,C04,2024-02-21,2024-02-24,254.1,True,V011
EXP00127,D01,C04,2024-02-23,2024-02-24,433.47,True,V036
EXP00128,D01,C04,2024-02-14,2024-02-18,364.08,True,V048
EXP00129,D01,C04,2024-02-26,2024-03-06,426.6,True,V033
EXP00130,D01,C04,2024-02-09,2024-02-12,376.88,True,V035
EXP00131,D01,C04,2024-02-08,2024-02-13,425.5,True,V010
EXP00132,D01,C04,2024-02-05,2024-02-08,317.16,True,V031
EXP00133,D01,C04,2024-02-27,2024-03-05,262.65,True,V057
EXP00134,D01,C04,2024-02-09,2024-02-09,321.98,True,V019
EXP00135,D01,C04,2024-02-23,2024-02-27,363.72,True,V059
EXP00136,D01,C04,2024-02-12,2024-02-13,279.52,True,V025
EXP00137,D01,C04,2024-02-28,2024-02-28,242.86,True,V018
EXP00138,D01,C04,2024-02-13,2024-02-16,281.13,True,V029
EXP00139,D01,C04,2024-02-03,2024-02-07,349.82,True,V036
EXP00140,D01,C04,2024-02-21,2024-02-25,367.32,True,V039
EXP00141,D01,C04,2024-02-18,2024-02-20,394.58,True,V021
EXP00142,D01,C04,2024-02-16,2024-02-17,361.98,True,V026
EXP00143,D01,C04,2024-02-16,2024-02-18,339.11,True,V049
EXP00144,D01,C04,2024-02-22,2024-02-26,421.56,True,V054
EXP00145,D01,C04,2024-03-27,2024-04-09,397.09,True,V015
EXP00146,D01,C04,2024-03-10,2024-03-14,335.35,True,V051
EXP00147,D01,C04,2024-03-02,2024-03-02,250.13,True,V053
EXP00148,D01,C04,2024-03-27,2024-04-02,303.04,False,V017
EXP00149,D01,C04,2024-03-16,2024-03-17,298.96,True,V004
EXP00150,D01,C04,2024-03-24,2024-04-07,408.53,True,V050
EXP00151,D01,C04,2024-03-13,2024-03-15,266.59,True,V015
EXP00152,D01,C04,2024-03-19,2024-03-24,309.26,True,V008
EXP00153,D01,C04,2024-03-16,2024-03-23,436.58,False,V027
EXP00154,D01,C04,2024-03-24,2024-04-13,378.01,True,V042
EXP00155,D01,C04,2024-03-24,2024-04-07,237.74,True,V041
EXP00156,D01,C04,2024-03-07,2024-03-13,268.64,False,V032
EXP00157,D01,C04,2024-03-23,2024-04-03,435.3,True,V058
EXP00158,D01,C04,2024-03-18,2024-03-19,435.54,True,V051
EXP00159,D01,C04,2024-03-21,2024-04-03,314.85,True,V020
EXP00160,D01,C04,2024-03-03,2024-03-09,323.17,True,V046
EXP00161,D01,C04,2024-03-15,2024-03-18,266.0,True,V019
EXP00162,D01,C04,2024-03-06,2024-03-07,244.59,True,V055
EXP00163,D01,C04,2024-03-20,2024-04-04,334.56,True,V060
EXP00164,D01,C04,2024-03-19,2024-03-24,252.56,True,V030
EXP00165,D01,C04,2024-03-09,2024-03-10,405.92,True,V052
EXP00166,D01,C04,2024-03-20,2024-04-07,389.62,True,V041
EXP00167,D01,C04,2024-03-20,2024-04-01,344.52,False,V053
EXP00168,D01,C04,2024-03-11,2024-03-18,333.02,True,V051
EXP00169,D01,C05,2024-01-17,2024-01-23,5571.01,True,V023
EXP00170,D01,C05,2024-01-16,2024-01-19,4839.98,True,V055
EXP00171,D01,C05,2024-01-04,2024-01-10,4159.62,True,V035
EXP00172,D01,C05,2024-01-16,2024-01-22,3509.4,True,V032
EXP00173,D01,C05,2024-01-01,2024-01-04,5751.28,True,V038
EXP00174,D01,C05,2024-01-20,2024-01-23,4154.83,True,V011
EXP00175,D01,C05,2024-01-10,2024-01-11,3288.19,True,V037
EXP00176,D01,C05,2024-01-29,2024-01-29,4871.31,True,V019
EXP00177,D01,C05,2024-02-17,2024-02-17,3986.94,True,V011
EXP00178,D01,C05,2024-02-21,2024-02-25,5929.2,True,V039
EXP00179,D01,C05,2024-02-24,2024-02-28,4537.47,True,V060
EXP00180,D01,C05,2024-02-23,2024-02-28,5208.6,True,V055
EXP00181,D01,C05,2024-02-09,2024-02-16,5377.8,True,V028
EXP00182,D01,C05,2024-02-26,2024-03-05,4434.2,True,V044
EXP00183,D01,C05,2024-02-19,2024-02-23,5024.82,True,V026
EXP00184,D01,C05,2024-02-29,2024-02-29,5244.64,True,V018
EXP00185,D01,C05,2024-03-31,2024-04-12,3561.53,True,V018
EXP00186,D01,C05,2024-03-02,2024-03-06,4571.12,True,V047
EXP00187,D01,C05,2024-03-28,2024-04-16,5918.46,True,V015
EXP00188,D01,C05,2024-03-13,2024-03-13,3453.76,True,V048
EXP00189,D01,C05,2024-03-07,2024-03-11,5433.15,True,V016
EXP00190,D01,C05,2024-03-29,2024-04-04,4248.24,True,V003
EXP00191,D01,C05,2024-03-30,2024-04-01,5083.34,True,V046
EXP00192,D01,C05,2024-03-23,2024-04-01,5260.31,True,V052
EXP00193,D01,C06,2024-01-13,2024-01-19,1265.41,True,V055
EXP00194,D01,C06,2024-01-08,2024-01-08,2107.71,True,V038
EXP00195,D01,C06,2024-01-14,2024-01-14,1750.14,True,V016
EXP00196,D01,C06,2024-01-21,2024-01-25,1632.23,True,V002
EXP00197,D01,C06,2024-01-22,2024-01-29,1913.56,True,V016
EXP00198,D01,C06,2024-01-08,2024-01-11,1576.72,True,V052
EXP00199,D01,C06,2024-01-25,2024-01-31,1525.63,True,V043
EXP00200,D01,C06,2024-01-19,2024-01-22,1500.52,True,V024
EXP00201,D01,C06,2024-01-18,2024-01-25,1409.72,True,V041
EXP00202,D01,C06,2024-01-03,2024-01-08,1961.47,True,V021
EXP00203,D01,C06,2024-02-13,2024-02-19,2254.08,True,V039
EXP00204,D01,C06,2024-02-09,2024-02-15,1356.87,True,V025
EXP00205,D01,C06,2024-02-04,2024-02-08,2252.87,True,V052
EXP00206,D01,C06,2024-02-21,2024-02-26,1622.88,True,V036
EXP00207,D01,C06,2024-02-15,2024-02-22,1731.71,True,V021
EXP00208,D01,C06,2024-02-04,2024-02-04,1284.36,True,V022
EXP00209,D01,C06,2024-02-11,2024-02-12,1232.83,True,V019
EXP00210,D01,C06,2024-02-14,2024-02-21,1571.79,True,V039
EXP00211,D01,C06,2024-02-14,2024-02-17,2212.93,False,V058
EXP00212,D01,C06,2024-02-22,2024-02-26,1510.63,True,V033
EXP00213,D01,C06,2024-03-11,2024-03-18,1459.17,True,V034
EXP00214,D01,C06,2024-03-11,2024-03-18,1765.67,True,V055
EXP00215,D01,C06,2024-03-31,2024-04-12,1894.64,True,V002
EXP00216,D01,C06,2024-03-10,2024-03-16,1550.14,True,V015
EXP00217,D01,C06,2024-03-06,2024-03-07,2124.56,True,V001
EXP00218,D01,C06,2024-03-09,2024-03-09,2038.85,True,V034
EXP00219,D01,C06,2024-03-19,2024-03-25,1670.78,True,V052
EXP00220,D01,C06,2024-03-15,2024-03-22,1916.66,True,V060
EXP00221,D01,C06,2024-03-08,2024-03-14,2153.95,True,V017
EXP00222,D01,C06,2024-03-25,2024-04-03,1320.51,True,V034
EXP00223,D02,C01,2024-01-14,2024-01-19,5798.99,True,V047
EXP00224,D02,C01,2024-01-16,2024-01-23,3286.19,True,V026
EXP00225,D02,C01,2024-01-30,2024-02-09,3300.49,True,V004
EXP00226,D02,C01,2024-01-08,2024-01-12,4431.97,True,V004
EXP00227,D02,C01,2024-01-09,2024-01-13,4042.42,True,V003
EXP00228,D02,C01,2024-01-02,2024-01-08,4239.0,True,V007
EXP00229,D02,C01,2024-01-25,2024-01-25,5096.23,True,V027
EXP00230,D02,C01,2024-02-07,2024-02-14,4265.29,True,V019
EXP00231,D02,C01,2024-02-07,2024-02-10,3192.77,True,V018
EXP00232,D02,C01,2024-02-04,2024-02-07,3191.6,False,V052
EXP00233,D02,C01,2024-02-04,2024-02-08,4525.93,True,V002
EXP00234,D02,C01,2024-02-10,2024-02-13,5321.39,True,V026
EXP00235,D02,C01,2024-02-14,2024-02-20,3899.71,True,V014
EXP00236,D02,C01,2024-02-10,2024-02-14,4499.59,True,V015
EXP00237,D02,C01,2024-03-27,2024-04-11,4092.06,True,V015
EXP00238,D02,C01,2024-03-29,2024-04-08,5132.76,False,V028
EXP00239,D02,C01,2024-03-06,2024-03-07,3317.7,True,V020
EXP00240,D02,C01,2024-03-05,2024-03-05,3213.54,True,V056
EXP00241,D02,C01,2024-03-29,2024-04-04,3490.56,True,V043
EXP00242,D02,C01,2024-03-20,2024-04-02,4801.1,True,V035
EXP00243,D02,C01,2024-03-22,2024-04-14,5520.3,True,V032
EXP00244,D02,C02,2024-01-20,2024-01-23,1645.94,True,V010
EXP00245,D02,C02,2024-01-31,2024-01-31,1769.72,True,V034
EXP00246,D02,C02,2024-01-15,2024-01-22,1825.6,True,V037
EXP00247,D02,C02,2024-01-03,2024-01-05,1680.08,True,V009
EXP00248,D02,C02,2024-01-10,2024-01-14,1499.81,True,V048
EXP00249,D02,C02,2024-01-10,2024-01-11,1341.37,True,V039
EXP00250,D02,C02,2024-01-10,2024-01-16,1015.35,True,V005
EXP00251,D02,C02,2024-01-23,2024-01-25,1006.18,True,V043
EXP00252,D02,C02,2024-01-06,2024-01-11,1590.91,True,V044
EXP00253,D02,C02,2024-01-10,2024-01-15,1259.17,True,V008
EXP00254,D02,C02,2024-01-28,2024-01-29,1111.99,True,V008
EXP00255,D02,C02,2024-01-21,2024-01-26,1136.79,True,V048
EXP00256,D02,C02,2024-01-16,2024-01-16,993.43,True,V060
EXP00257,D02,C02,2024-01-29,2024-01-29,1486.15,True,V024
EXP00258,D02,C02,2024-01-04,2024-01-08,1737.12,True,V054
EXP00259,D02,C02,2024-01-13,2024-01-17,1517.68,True,V011
EXP00260,D02,C02,2024-01-09,2024-01-14,1494.58,True,V004
EXP00261,D02,C02,2024-01-05,2024-01-07,1553.18,True,V059
EXP00262,D02,C02,2024-01-26,2024-02-01,1186.29,True,V036
EXP00263,D02,C02,2024-01-27,2024-01-27,1508.33,True,V012
EXP00264,D02,C02,2024-02-17,2024-02-21,1565.06,False,V024
EXP00265,D02,C02,2024-02-16,2024-02-21,1471.13,True,V017
EXP00266,D02,C02,2024-02-22,2024-02-27,1345.82,True,V060
EXP00267,D02,C02,2024-02-27,2024-03-05,1665.54,True,V022
EXP00268,D02,C02,2024-02-16,2024-02-19,1069.86,True,V025
EXP00269,D02,C02,2024-02-23,2024-02-23,1325.23,True,V010
EXP00270,D02,C02,2024-02-20,2024-02-23,1806.0,True,V009
EXP00271,D02,C02,2024-02-08,2024-02-09,1159.36,True,V056
EXP00272,D02,C02,2024-02-25,2024-02-25,1170.06,True,V055
EXP00273,D02,C02,2024-02-10,2024-02-13,1612.47,True,V039
EXP00274,D02,C02,2024-02-26,2024-02-29,1619.45,False,V032
EXP00275,D02,C02,2024-02-19,2024-02-24,1654.45,True,V057
EXP00276,D02,C02,2024-02-17,2024-02-20,1757.14,True,V007
EXP00277,D02,C02,2024-02-21,2024-02-27,1667.29,True,V031
EXP00278,D02,C02,2024-02-03,2024-02-03,1621.05,True,V013
EXP00279,D02,C02,2024-02-14,2024-02-14,1821.0,True,V060
EXP00280,D02,C02,2024-02-11,2024-02-17,1743.22,False,V044
EXP00281,D02,C02,2024-02-19,2024-02-22,1260.85,True,V021
EXP00282,D02,C02,2024-02-18,2024-02-22,1337.23,True,V035
EXP00283,D02,C02,2024-02-01,2024-02-05,1783.79,True,V031
EXP00284,D02,C02,2024-03-15,2024-03-15,1310.13,True,V012
EXP00285,D02,C02,2024-03-12,2024-03-15,1101.29,True,V020
EXP00286,D02,C02,2024-03-06,2024-03-08,1278.11,True,V042
EXP00287,D02,C02,2024-03-01,2024-03-08,1196.75,True,V012
EXP00288,D02,C02,2024-03-04,2024-03-07,1737.68,True,V046
EXP00289,D02,C02,2024-03-11,2024-03-13,1161.52,True,V059
EXP00290,D02,C02,2024-03-06,2024-03-09,1387.53,True,V032
EXP00291,D02,C02,2024-03-15,2024-03-17,1028.36,True,V001
EXP00292,D02,C02,2024-03-15,2024-03-15,1543.76,True,V058
EXP00293,D02,C02,2024-03-21,2024-04-08,1204.25,True,V009
EXP00294,D02,C02,2024-03-10,2024-03-12,1734.0,True,V046
EXP00295,D02,C02,2024-03-24,2024-03-27,1823.66,True,V022
EXP00296,D02,C02,2024-03-30,2024-04-07,1248.4,True,V009
EXP00297,D02,C02,2024-03-07,2024-03-11,1072.33,True,V049
EXP00298,D02,C02,2024-03-27,2024-04-07,1130.31,True,V033
EXP00299,D02,C02,2024-03-03,2024-03-05,1126.07,True,V007
EXP00300,D02,C02,2024-03-27,2024-04-09,1241.24,True,V045
EXP00301,D02,C02,2024-03-27,2024-04-06,1634.98,True,V002
EXP00302,D02,C02,2024-03-24,2024-04-10,1092.42,True,V057
EXP00303,D02,C02,2024-03-08,2024-03-15,1075.23,True,V024
EXP00304,D02,C03,2024-01-09,2024-01-10,2935.74,True,V051
EXP00305,D02,C03,2024-01-21,2024-01-24,3525.36,True,V012
EXP00306,D02,C03,2024-01-08,2024-01-15,4400.91,True,V043
EXP00307,D02,C03,2024-01-18,2024-01-24,3284.3,True,V033
EXP00308,D02,C03,2024-01-17,2024-01-22,3078.16,True,V015
EXP00309,D02,C03,2024-02-09,2024-02-10,4594.32,True,V005
EXP00310,D02,C03,2024-02-26,2024-02-28,3614.23,True,V032
EXP00311,D02,C03,2024-02-14,2024-02-18,3714.46,True,V050
EXP00312,D02,C03,2024-02-13,2024-02-15,2818.35,True,V008
EXP00313,D02,C03,2024-02-06,2024-02-13,3595.52,True,V051
EXP00314,D02,C03,2024-03-30,2024-04-06,2997.29,True,V034
EXP00315,D02,C03,2024-03-06,2024-03-08,2609.84,True,V023
EXP00316,D02,C03,2024-03-04,2024-03-05,3245.51,False,V056
EXP00317,D02,C03,2024-03-29,2024-04-10,3417.61,True,V032
EXP00318,D02,C03,2024-03-17,2024-03-22,4700.27,True,V012
EXP00319,D02,C04,2024-01-05,2024-01-11,305.87,True,V023
EXP00320,D02,C04,2024-01-15,2024-01-21,334.57,True,V010
EXP00321,D02,C04,2024-01-22,2024-01-24,195.03,True,V056
EXP00322,D02,C04,2024-01-11,2024-01-11,286.81,True,V048
EXP00323,D02,C04,2024-01-02,2024-01-08,314.2,True,V050
EXP00324,D02,C04,2024-01-07,2024-01-08,257.2,True,V056
EXP00325,D02,C04,2024-01-09,2024-01-14,187.37,True,V034
EXP00326,D02,C04,2024-01-31,2024-01-31,260.45,True,V004
EXP00327,D02,C04,2024-01-25,2024-01-26,211.41,True,V048
EXP00328,D02,C04,2024-01-20,2024-01-23,334.76,True,V024
EXP00329,D02,C04,2024-01-21,2024-01-23,303.39,True,V044
EXP00330,D02,C04,2024-01-15,2024-01-17,283.12,True,V040
EXP00331,D02,C04,2024-01-03,2024-01-06,339.28,True,V032
EXP00332,D02,C04,2024-01-11,2024-01-15,295.69,True,V011
EXP00333,D02,C04,2024-01-31,2024-02-08,259.07,True,V018
EXP00334,D02,C04,2024-01-28,2024-01-30,272.18,True,V060
EXP00335,D02,C04,2024-01-24,2024-01-29,235.48,False,V022
EXP00336,D02,C04,2024-01-30,2024-01-30,251.61,True,V045
EXP00337,D02,C04,2024-01-28,2024-01-28,268.57,False,V044
EXP00338,D02,C04,2024-01-29,2024-01-30,241.87,False,V039
EXP00339,D02,C04,2024-01-22,2024-01-25,257.53,True,V016
EXP00340,D02,C04,2024-01-04,2024-01-10,293.99,True,V006
EXP00341,D02,C04,2024-01-05,2024-01-10,293.25,True,V019
EXP00342,D02,C04,2024-01-01,2024-01-08,218.7,True,V020
EXP00343,D02,C04,2024-02-05,2024-02-11,324.94,True,V046
EXP00344,D02,C04,2024-02-08,2024-02-15,207.73,True,V041
EXP00345,D02,C04,2024-02-26,2024-03-03,232.44,False,V017
EXP00346,D02,C04,2024-02-20,2024-02-27,219.46,True,V055
EXP00347,D02,C04,2024-02-28,2024-02-28,339.74,True,V035
EXP00348,D02,C04,2024-02-18,2024-02-23,287.25,True,V016
EXP00349,D02,C04,2024-02-02,2024-02-04,343.46,False,V032
EXP00350,D02,C04,2024-02-12,2024-02-15,190.72,True,V042
EXP00351,D02,C04,2024-02-16,2024-02-19,327.26,True,V058
EXP00352,D02,C04,2024-02-18,2024-02-20,337.01,True,V027
EXP00353,D02,C04,2024-02-25,2024-02-25,238.64,True,V052
EXP00354,D02,C04,2024-02-16,2024-02-21,288.33,False,V030
EXP00355,D02,C04,2024-02-24,2024-02-26,226.14,False,V025
EXP00356,D02,C04,2024-02-27,2024-02-29,343.79,True,V051
EXP00357,D02,C04,2024-02-01,2024-02-06,309.56,True,V014
EXP00358,D02,C04,2024-02-23,2024-02-23,260.16,True,V029
EXP00359,D02,C04,2024-02-21,2024-02-22,290.35,True,V039
EXP00360,D02,C04,2024-02-09,2024-02-11,280.92,True,V016
EXP00361,D02,C04,2024-02-11,2024-02-14,222.08,True,V040
EXP00362,D02,C04,2024-02-24,2024-02-26,213.88,True,V052
EXP00363,D02,C04,2024-02-11,2024-02-11,240.87,True,V028
EXP00364,D02,C04,2024-02-24,2024-02-25,209.17,True,V051
EXP00365,D02,C04,2024-02-21,2024-02-27,205.54,True,V007
EXP00366,D02,C04,2024-02-12,2024-02-15,217.87,True,V060
EXP00367,D02,C04,2024-03-30,2024-04-03,286.32,True,V053
EXP00368,D02,C04,2024-03-29,2024-03-31,209.12,False,V005
EXP00369,D02,C04,2024-03-19,2024-03-25,230.38,True,V029
EXP00370,D02,C04,2024-03-28,2024-04-08,320.44,True,V007
EXP00371,D02,C04,2024-03-18,2024-03-19,254.88,False,V031
EXP00372,D02,C04,2024-03-18,2024-03-19,296.98,True,V031
EXP00373,D02,C04,2024-03-25,2024-03-27,347.19,True,V002
EXP00374,D02,C04,2024-03-17,2024-03-17,303.66,True,V006
EXP00375,D02,C04,2024-03-04,2024-03-11,238.02,True,V018
EXP00376,D02,C04,2024-03-15,2024-03-16,195.24,True,V026
EXP00377,D02,C04,2024-03-12,2024-03-17,243.63,True,V020
EXP00378,D02,C04,2024-03-25,2024-04-15,253.78,True,V050
EXP00379,D02,C04,2024-03-13,2024-03-15,307.02,True,V043
EXP00380,D02,C04,2024-03-25,2024-04-04,210.06,True,V054
EXP00381,D02,C04,2024-03-18,2024-03-25,202.4,True,V020
EXP00382,D02,C04,2024-03-05,2024-03-07,197.82,True,V033
EXP00383,D02,C04,2024-03-16,2024-03-16,187.08,True,V006
EXP00384,D02,C04,2024-03-14,2024-03-20,192.58,True,V047
EXP00385,D02,C04,2024-03-11,2024-03-16,318.93,True,V021
EXP00386,D02,C04,2024-03-06,2024-03-06,324.97,True,V009
EXP00387,D02,C04,2024-03-09,2024-03-15,273.38,True,V028
EXP00388,D02,C04,2024-03-26,2024-04-07,305.26,True,V024
EXP00389,D02,C04,2024-03-19,2024-03-21,307.58,True,V013
EXP00390,D02,C04,2024-03-16,2024-03-20,261.48,True,V046
