product_id,test_id,lower_spec_limit,upper_spec_limit,target_value,spec_version,effective_from
P010,T04,0.0,300.0,50.0,V1,2023-01-01
P010,T05,0.0,50.0,5.0,V1,2023-01-01
P011,T01,0.88,1.12,1.0,V1,2023-01-01
P011,T02,6.5,7.5,7.0,V1,2023-01-01
P011,T03,80.0,160.0,120.0,V1,2023-01-01
P011,T04,0.0,300.0,50.0,V1,2023-01-01
P011,T05,0.0,50.0,5.0,V1,2023-01-01
P012,T01,0.85,1.15,1.0,V1,2023-01-01
P012,T01,0.9,1.1,1.0,V2,2024-02-01
P012,T02,6.5,7.5,7.0,V1,2023-01-01
P012,T03,80.0,160.0,120.0,V1,2023-01-01
P012,T04,0.0,300.0,50.0,V1,2023-01-01
P012,T05,0.0,50.0,5.0,V1,2023-01-01
P013,T01,0.88,1.12,1.0,V1,2023-01-01
P013,T02,6.5,7.5,7.0,V1,2023-01-01
P013,T03,80.0,160.0,120.0,V1,2023-01-01
P013,T04,0.0,300.0,50.0,V1,2023-01-01
P013,T05,0.0,50.0,5.0,V1,2023-01-01
P014,T01,0.88,1.12,1.0,V1,2023-01-01
P014,T02,6.5,7.5,7.0,V1,2023-01-01
P014,T03,80.0,160.0,120.0,V1,2023-01-01
P014,T04,0.0,300.0,50.0,V1,2023-01-01
P014,T05,0.0,50.0,5.0,V1,2023-01-01
P015,T01,0.85,1.15,1.0,V1,2023-01-01
P015,T01,0.9,1.1,1.0,V2,2024-02-01
P015,T02,6.5,7.5,7.0,V1,2023-01-01
P015,T03,80.0,160.0,120.0,V1,2023-01-01
P015,T04,0.0,300.0,50.0,V1,2023-01-01
P015,T05,0.0,50.0,5.0,V1,2023-01-01
P016,T01,0.88,1.12,1.0,V1,2023-01-01
P016,T02,6.5,7.5,7.0,V1,2023-01-01
P016,T03,80.0,160.0,120.0,V1,2023-01-01
P016,T04,0.0,300.0,50.0,V1,2023-01-01
P016,T05,0.0,50.0,5.0,V1,2023-01-01
P017,T01,0.88,1.12,1.0,V1,2023-01-01
P017,T02,6.5,7.5,7.0,V1,2023-01-01
P017,T03,80.0,160.0,120.0,V1,2023-01-01
P017,T04,0.0,300.0,50.0,V1,2023-01-01
P017,T05,0.0,50.0,5.0,V1,2023-01-01
P018,T01,0.85,1.15,1.0,V1,2023-01-01
P018,T01,0.9,1.1,1.0,V2,2024-02-01
P018,T02,6.5,7.5,7.0,V1,2023-01-01
P018,T03,80.0,160.0,120.0,V1,2023-01-01
P018,T04,0.0,300.0,50.0,V1,2023-01-01
P018,T05,0.0,50.0,5.0,V1,2023-01-01
P019,T01,0.88,1.12,1.0,V1,2023-01-01
P019,T02,6.5,7.5,7.0,V1,2023-01-01
P019,T03,80.0,160.0,120.0,V1,2023-01-01
P019,T04,0.0,300.0,50.0,V1,2023-01-01
P019,T05,0.0,50.0,5.0,V1,2023-01-01
P020,T01,0.85,1.15,1.0,V1,2023-01-01
P020,T01,0.9,1.1,1.0,V2,2024-02-01
P020,T02,6.5,7.5,7.0,V1,2023-01-01
P020,T03,80.0,160.0,120.0,V1,2023-01-01
P020,T04,0.0,300.0,50.0,V1,2023-01-01
P020,T05,0.0,50.0,5.0,V1,2023-01-01
P021,T01,0.88,1.12,1.0,V1,2023-01-01
P021,T02,6.5,7.5,7.0,V1,2023-01-01
P021,T03,80.0,160.0,120.0,V1,2023-01-01
P021,T04,0.0,300.0,50.0,V1,2023-01-01
P021,T05,0.0,50.0,5.0,V1,2023-01-01
P022,T01,0.85,1.15,1.0,V1,2023-01-01
P022,T01,0.9,1.1,1.0,V2,2024-02-01
P022,T02,6.5,7.5,7.0,V1,2023-01-01
P022,T03,80.0,160.0,120.0,V1,2023-01-01
P022,T04,0.0,300.0,50.0,V1,2023-01-01
P022,T05,0.0,50.0,5.0,V1,2023-01-01
P023,T01,0.85,1.15,1.0,V1,2023-01-01
P023,T01,0.9,1.1,1.0,V2,2024-02-01
P023,T02,6.5,7.5,7.0,V1,2023-01-01
P023,T03,80.0,160.0,120.0,V1,2023-01-01
P023,T04,0.0,300.0,50.0,V1,2023-01-01
P023,T05,0.0,50.0,5.0,V1,2023-01-01
P024,T01,0.85,1.15,1.0,V1,2023-01-01
P024,T01,0.9,1.1,1.0,V2,2024-02-01
P024,T02,6.5,7.5,7.0,V1,2023-01-01
P024,T03,80.0,160.0,120.0,V1,2023-01-01
P024,T04,0.0,300.0,50.0,V1,2023-01-01
P024,T05,0.0,50.0,5.0,V1,2023-01-01
