lot_id,rejection_date,rejection_reason,rework_possible,rework_cost_per_unit,disposal_cost_per_unit
L03-0637,2024-02-04,microbial contamination,False,20.86,64.97
L03-0642,2024-02-02,microbial contamination,False,16.34,62.2
L03-0643,2024-02-01,viscosity failure,False,14.97,57.45
L03-0645,2024-01-31,pH deviation,False,18.48,69.29
L03-0650,2024-02-03,assay out of specification,False,17.88,62.06
L01-0777,2024-02-03,viscosity failure,False,14.0,68.51
L02-0540,2024-02-05,viscosity failure,False,15.57,55.12
L02-0554,2024-02-01,assay out of specification,False,17.32,69.66
L02-0555,2024-02-04,microbial contamination,True,16.07,58.93
L01-0804,2024-02-03,pH deviation,False,14.24,62.96
L01-0817,2024-02-04,viscosity failure,True,16.75,69.89
L02-0561,2024-02-04,microbial contamination,True,17.28,50.91
L02-0562,2024-02-01,pH deviation,False,14.7,55.97
L02-0572,2024-02-03,assay out of specification,False,17.11,59.57
L03-0673,2024-02-03,assay out of specification,False,20.95,66.94
L03-0675,2024-02-04,viscosity failure,False,18.31,68.83
L03-0676,2024-02-06,viscosity failure,False,15.41,61.63
L03-0679,2024-02-03,microbial contamination,False,19.74,52.52
L03-0682,2024-02-06,assay out of specification,True,18.34,53.15
L03-0689,2024-02-06,assay out of specification,False,20.04,56.64
L01-0012,2024-02-03,assay out of specification,True,17.17,53.06
L01-0013,2024-02-04,assay out of specification,False,16.08,68.66
L01-0018,2024-02-06,viscosity failure,False,16.02,63.39
L02-0001,2024-02-02,viscosity failure,False,15.23,67.77
L02-0006,2024-02-03,particulate exceedance,False,15.46,60.95
L02-0007,2024-02-03,microbial contamination,True,21.62,52.07
L02-0014,2024-02-04,assay out of specification,False,15.37,63.41
L02-0017,2024-02-07,particulate exceedance,False,17.64,50.91
L03-0005,2024-02-04,pH deviation,False,20.11,69.23
L03-0006,2024-02-03,pH deviation,True,16.92,56.84
L01-0031,2024-02-04,particulate exceedance,False,17.38,54.1
L01-0037,2024-02-05,assay out of specification,False,19.91,68.53
L01-0040,2024-02-07,assay out of specification,False,21.23,68.29
L01-0041,2024-02-06,assay out of specification,True,21.74,60.93
L02-0020,2024-02-05,microbial contamination,True,17.58,57.2
L02-0024,2024-02-04,microbial contamination,True,17.68,69.29
L02-0025,2024-02-06,viscosity failure,False,14.85,61.93
L03-0016,2024-02-03,pH deviation,False,18.62,69.63
L03-0017,2024-02-06,assay out of specification,False,17.32,59.65
L03-0021,2024-02-06,viscosity failure,True,15.3,49.24
L01-0048,2024-02-08,particulate exceedance,False,21.43,66.44
L01-0056,2024-02-06,microbial contamination,False,17.65,58.49
L01-0074,2024-02-09,viscosity failure,True,16.51,69.42
L03-0047,2024-02-08,viscosity failure,False,19.24,56.73
L03-0055,2024-02-08,microbial contamination,False,18.04,57.31
L01-0076,2024-02-09,assay out of specification,False,18.17,63.29
L01-0079,2024-02-10,assay out of specification,False,20.58,62.13
L01-0088,2024-02-06,particulate exceedance,False,18.91,67.15
L01-0094,2024-02-06,pH deviation,True,21.39,70.26
L02-0064,2024-02-08,assay out of specification,False,19.83,55.18
L02-0065,2024-02-08,pH deviation,False,14.78,65.05
L03-0070,2024-02-06,viscosity failure,False,20.6,64.19
L03-0072,2024-02-10,particulate exceedance,False,19.22,71.38
L03-0077,2024-02-08,assay out of specification,True,19.3,71.63
L03-0085,2024-02-06,particulate exceedance,True,21.68,54.69
L01-0102,2024-02-06,pH deviation,False,18.15,49.3
L01-0110,2024-02-07,particulate exceedance,False,14.99,59.07
L01-0116,2024-02-08,pH deviation,True,21.33,56.59
L01-0118,2024-02-07,particulate exceedance,False,15.33,61.6
L01-0120,2024-02-07,pH deviation,False,14.94,67.01
L02-0086,2024-02-08,viscosity failure,False,21.16,63.94
L03-0095,2024-02-07,assay out of specification,True,14.63,68.16
L03-0099,2024-02-06,microbial contamination,True,15.89,50.32
L01-0128,2024-02-09,viscosity failure,True,20.78,66.36
L01-0145,2024-02-10,viscosity failure,False,15.71,53.29
L02-0096,2024-02-10,viscosity failure,False,19.37,60.73
L03-0125,2024-02-10,pH deviation,False,20.88,53.61
L03-0127,2024-02-12,assay out of specification,True,21.23,64.5
L01-0154,2024-02-12,microbial contamination,True,17.19,49.38
L01-0155,2024-02-11,microbial contamination,True,21.85,65.3
L02-0122,2024-02-11,assay out of specification,True,14.98,53.99
L03-0135,2024-02-13,viscosity failure,False,16.3,53.86
L03-0136,2024-02-10,pH deviation,False,17.85,58.76
L03-0147,2024-02-12,assay out of specification,True,17.63,53.18
L03-0153,2024-02-10,microbial contamination,True,16.87,66.22
L01-0184,2024-02-11,particulate exceedance,False,16.31,48.25
L01-0189,2024-02-12,particulate exceedance,True,14.99,48.43
L01-0212,2024-02-10,particulate exceedance,True,16.59,57.15
L02-0127,2024-02-14,microbial contamination,True,18.08,71.86
L02-0132,2024-02-12,assay out of specification,False,19.46,58.15
L02-0134,2024-02-12,viscosity failure,False,19.7,51.11
L02-0135,2024-02-12,particulate exceedance,True,14.64,58.19
L03-0162,2024-02-13,assay out of specification,True,21.77,69.05
L01-0225,2024-02-11,assay out of specification,True,16.74,50.7
L02-0147,2024-02-10,pH deviation,False,15.92,66.69
L02-0154,2024-02-12,viscosity failure,True,18.32,49.84
L03-0176,2024-02-14,particulate exceedance,True,17.98,58.25
L03-0192,2024-02-11,viscosity failure,True,14.87,49.75
L03-0193,2024-02-15,assay out of specification,False,21.79,62.3
L01-0237,2024-02-12,microbial contamination,False,15.4,70.67
L01-0241,2024-02-15,viscosity failure,True,15.99,61.69
L01-0248,2024-02-11,viscosity failure,False,17.02,57.12
L01-0257,2024-02-12,particulate exceedance,False,20.17,67.21
L02-0163,2024-02-16,assay out of specification,True,20.27,50.85
L02-0165,2024-02-12,pH deviation,False,18.47,61.06
L02-0166,2024-02-13,pH deviation,True,20.92,52.36
L02-0167,2024-02-16,particulate exceedance,False,17.82,67.52
L03-0213,2024-02-11,assay out of specification,True,19.6,49.16
L01-0266,2024-02-14,viscosity failure,True,18.76,48.23
L01-0270,2024-02-14,particulate exceedance,True,16.69,70.51
L01-0284,2024-02-16,microbial contamination,False,21.91,52.29
L02-0186,2024-02-17,assay out of specification,False,14.18,66.7
L02-0191,2024-02-12,particulate exceedance,True,19.12,59.86
L03-0220,2024-02-13,assay out of specification,False,16.31,53.88
L03-0230,2024-02-17,microbial contamination,False,16.75,61.44
L01-0289,2024-02-15,microbial contamination,True,21.16,56.94
L02-0207,2024-02-14,assay out of specification,True,21.19,49.53
L02-0214,2024-02-16,microbial contamination,True,21.03,69.85
L02-0219,2024-02-15,pH deviation,True,14.31,70.99
L03-0249,2024-02-16,microbial contamination,False,17.84,67.25
L03-0250,2024-02-16,viscosity failure,True,14.72,54.74
L03-0254,2024-02-16,particulate exceedance,False,21.81,66.83
L01-0314,2024-02-17,assay out of specification,False,20.76,53.16
L01-0316,2024-02-15,viscosity failure,True,18.2,66.46
L02-0222,2024-02-15,assay out of specification,False,18.14,60.23
L01-0343,2024-02-16,microbial contamination,True,15.02,52.24
L01-0356,2024-02-16,assay out of specification,False,18.8,51.21
L02-0243,2024-02-18,microbial contamination,False,14.77,52.04
L02-0244,2024-02-18,pH deviation,False,14.68,56.34
L02-0246,2024-02-16,viscosity failure,False,15.39,62.68
L03-0300,2024-02-17,pH deviation,False,21.6,53.65
L01-0370,2024-02-17,viscosity failure,False,15.24,67.83
L01-0386,2024-02-16,assay out of specification,True,20.22,56.31
L02-0257,2024-02-17,viscosity failure,False,18.88,65.9
L02-0259,2024-02-16,viscosity failure,True,15.63,69.31
L02-0266,2024-02-21,pH deviation,False,14.57,64.03
L02-0270,2024-02-16,assay out of specification,False,19.94,62.11
L03-0302,2024-02-19,assay out of specification,True,14.34,55.56
L03-0304,2024-02-19,pH deviation,False,21.97,65.41
L01-0390,2024-02-17,pH deviation,False,16.93,56.7
L01-0397,2024-02-22,assay out of specification,False,15.62,53.64
L01-0402,2024-02-20,pH deviation,False,20.89,61.22
L02-0279,2024-02-21,viscosity failure,False,18.84,70.3
L02-0280,2024-02-20,particulate exceedance,False,14.23,69.13
L02-0283,2024-02-21,assay out of specification,False,20.35,60.3
L03-0336,2024-02-20,microbial contamination,False,20.84,49.91
L03-0339,2024-02-17,pH deviation,False,16.1,64.96
L03-0344,2024-02-18,particulate exceedance,False,16.04,67.35
L03-0354,2024-02-17,particulate exceedance,True,17.93,60.98
L01-0418,2024-02-21,assay out of specification,True,21.27,63.98
L01-0434,2024-02-19,microbial contamination,True,18.32,48.92
L01-0437,2024-02-20,assay out of specification,False,15.68,59.78
L01-0439,2024-02-21,viscosity failure,False,15.33,58.78
L02-0301,2024-02-21,particulate exceedance,False,20.73,61.34
L02-0305,2024-02-19,microbial contamination,True,19.57,58.28
L03-0357,2024-02-19,microbial contamination,False,16.72,56.55
L03-0363,2024-02-19,viscosity failure,False,18.93,71.01
L03-0365,2024-02-22,pH deviation,False,15.57,53.75
L01-0452,2024-02-20,microbial contamination,True,15.19,53.84
L02-0319,2024-02-23,particulate exceedance,False,19.45,63.68
L03-0381,2024-02-22,pH deviation,True,20.36,48.93
L01-0475,2024-02-22,microbial contamination,True,17.81,60.48
L01-0480,2024-02-21,pH deviation,False,16.23,51.5
L01-0485,2024-02-21,pH deviation,False,17.33,71.12
L01-0489,2024-02-20,assay out of specification,True,21.17,52.61
L01-0499,2024-02-21,pH deviation,False,15.45,62.74
L02-0326,2024-02-23,assay out of specification,False,18.57,58.78
L02-0329,2024-02-24,pH deviation,True,16.11,71.4
L02-0335,2024-02-21,pH deviation,True,17.66,54.18
L03-0390,2024-02-24,pH deviation,True,15.1,69.29
L03-0395,2024-02-23,assay out of specification,True,20.22,58.84
L01-0514,2024-02-25,pH deviation,False,18.45,57.24
L01-0516,2024-02-22,viscosity failure,False,16.92,53.33
L02-0340,2024-02-26,particulate exceedance,True,16.26,57.2
L02-0342,2024-02-24,pH deviation,True,18.08,62.73
L02-0345,2024-02-24,microbial contamination,False,14.62,51.77
L02-0346,2024-02-23,particulate exceedance,False,15.64,55.18
L03-0407,2024-02-24,assay out of specification,False,17.82,64.51
L03-0409,2024-02-24,microbial contamination,True,20.08,51.64
L03-0418,2024-02-24,microbial contamination,False,15.88,52.69
L01-0538,2024-02-22,assay out of specification,False,16.91,71.97
L01-0541,2024-02-26,microbial contamination,True,16.99,48.34
L01-0545,2024-02-26,microbial contamination,False,19.96,54.37
L01-0548,2024-02-27,assay out of specification,False,14.95,65.04
L01-0561,2024-02-24,pH deviation,True,14.37,52.08
L02-0355,2024-02-23,assay out of specification,False,17.6,60.78
L02-0357,2024-02-27,assay out of specification,False,14.99,67.97
L02-0363,2024-02-27,pH deviation,False,19.22,62.53
L02-0368,2024-02-24,particulate exceedance,False,17.84,49.57
L02-0370,2024-02-24,assay out of specification,False,19.38,56.08
L03-0431,2024-02-27,microbial contamination,False,18.22,71.52
L01-0566,2024-02-26,pH deviation,True,14.07,51.6
L01-0572,2024-02-28,viscosity failure,False,15.52,64.26
L01-0582,2024-02-25,assay out of specification,False,21.98,55.59
L01-0585,2024-02-25,microbial contamination,True,16.4,55.33
L02-0374,2024-02-24,viscosity failure,True,16.58,51.91
L02-0382,2024-02-28,particulate exceedance,True,15.43,58.36
L02-0384,2024-02-24,particulate exceedance,True,21.73,51.49
L02-0389,2024-02-27,microbial contamination,False,17.08,64.18
L03-0443,2024-02-28,assay out of specification,False,20.67,65.86
L03-0444,2024-02-24,viscosity failure,False,15.62,69.28
L03-0461,2024-02-25,microbial contamination,False,18.25,61.49
L03-0463,2024-02-28,particulate exceedance,False,18.98,67.76
L01-0596,2024-02-29,viscosity failure,False,21.57,71.1
L01-0606,2024-02-28,microbial contamination,True,18.15,69.7
L01-0617,2024-02-26,assay out of specification,False,21.57,65.23
L01-0622,2024-02-26,viscosity failure,False,21.89,71.06
L01-0631,2024-02-28,microbial contamination,False,21.17,66.49
L01-0637,2024-02-25,particulate exceedance,False,14.56,70.93
L02-0399,2024-02-29,particulate exceedance,True,17.03,60.33
L03-0471,2024-02-24,viscosity failure,False,14.36,49.73
L03-0475,2024-02-27,particulate exceedance,False,16.88,71.63
L03-0478,2024-02-27,assay out of specification,False,21.81,59.6
L03-0483,2024-02-27,particulate exceedance,True,20.4,70.33
L01-0647,2024-02-26,particulate exceedance,False,15.12,64.2
L01-0648,2024-02-27,pH deviation,True,18.94,61.04
L01-0649,2024-03-01,particulate exceedance,False,17.81,57.14
L01-0662,2024-02-25,microbial contamination,False,18.22,62.88
L02-0423,2024-02-29,particulate exceedance,False,17.2,67.53
L03-0489,2024-02-26,microbial contamination,False,21.85,60.11
L03-0490,2024-02-29,viscosity failure,True,21.28,61.58
L03-0491,2024-02-28,particulate exceedance,False,21.64,52.79
L03-0492,2024-03-01,assay out of specification,False,16.87,51.32
L03-0493,2024-03-01,pH deviation,True,20.18,49.77
L01-0667,2024-03-01,particulate exceedance,True,19.59,71.12
L01-0668,2024-02-29,pH deviation,False,21.08,56.36
L01-0691,2024-02-27,pH deviation,True,21.32,58.21
L02-0430,2024-02-28,particulate exceedance,True,15.83,70.23
L03-0516,2024-03-01,viscosity failure,True,19.6,64.48
L03-0526,2024-02-28,particulate exceedance,False,21.16,66.59
L01-0695,2024-02-29,particulate exceedance,False,20.7,65.99
L01-0696,2024-03-02,viscosity failure,False,14.46,65.2
L01-0699,2024-03-01,assay out of specification,False,14.8,54.9
L01-0700,2024-02-29,pH deviation,False,21.91,60.93
L01-0705,2024-03-02,particulate exceedance,False,19.12,49.65
L02-0439,2024-03-02,pH deviation,False,15.88,62.62
L02-0447,2024-03-02,viscosity failure,False,18.27,54.69
L03-0543,2024-02-29,particulate exceedance,True,15.16,71.97
L03-0555,2024-02-29,viscosity failure,False,19.03,54.73
L01-0720,2024-02-29,pH deviation,True,21.6,67.56
L02-0453,2024-03-04,pH deviation,True,14.09,54.43
L03-0578,2024-03-03,pH deviation,True,21.32,48.56
L03-0582,2024-03-01,particulate exceedance,False,17.2,51.61
L03-0588,2024-03-03,microbial contamination,True,19.47,55.58
L03-0591,2024-03-02,viscosity failure,True,20.66,65.84
L03-0598,2024-02-29,viscosity failure,False,18.62,65.52
L01-0771,2024-03-02,particulate exceedance,False,18.94,68.31
L01-0772,2024-03-04,pH deviation,True,14.79,63.66
L02-0476,2024-03-03,viscosity failure,True,18.72,60.61
L03-0607,2024-03-04,microbial contamination,True,15.78,66.71
L03-0611,2024-03-01,assay out of specification,False,14.57,50.48
L03-0620,2024-03-04,pH deviation,True,21.89,58.95
L01-0788,2024-03-04,particulate exceedance,False,16.16,62.33
L02-0479,2024-03-06,microbial contamination,False,14.98,63.72
L03-0625,2024-03-02,assay out of specification,False,16.89,67.55
L03-0642,2024-03-06,microbial contamination,False,15.36,55.44
L01-0005,2024-03-05,pH deviation,True,17.37,58.2
L01-0013,2024-03-05,pH deviation,False,19.52,67.08
L01-0015,2024-03-06,viscosity failure,True,21.57,63.61
L02-0005,2024-03-05,microbial contamination,False,20.52,61.43
L02-0010,2024-03-07,particulate exceedance,False,21.0,49.59
L01-0026,2024-03-03,pH deviation,True,17.57,62.45
L01-0033,2024-03-05,microbial contamination,True,17.45,54.97
L02-0027,2024-03-04,microbial contamination,True,15.87,52.15
L02-0032,2024-03-06,particulate exceedance,True,19.58,69.22
L02-0034,2024-03-03,assay out of specification,False,21.04,68.46
L02-0037,2024-03-06,microbial contamination,True,17.5,71.6
L03-0028,2024-03-05,pH deviation,True,17.31,51.63
L01-0055,2024-03-08,particulate exceedance,False,17.16,54.07
L02-0046,2024-03-05,particulate exceedance,False,20.54,48.15
L02-0048,2024-03-07,assay out of specification,False,15.82,57.75
L03-0034,2024-03-09,assay out of specification,True,20.09,49.27
L03-0036,2024-03-09,particulate exceedance,False,16.29,67.71
L03-0049,2024-03-07,assay out of specification,False,20.82,50.8
L03-0051,2024-03-05,assay out of specification,False,16.52,53.93
L01-0082,2024-03-09,particulate exceedance,False,19.72,57.17
L01-0083,2024-03-07,particulate exceedance,False,21.6,63.18
L01-0090,2024-03-08,particulate exceedance,False,21.27,53.4
L01-0091,2024-03-09,pH deviation,True,21.74,67.62
L01-0096,2024-03-09,assay out of specification,False,19.66,68.71
L02-0070,2024-03-05,viscosity failure,True,16.33,56.12
L02-0073,2024-03-07,microbial contamination,False,17.9,61.06
L03-0080,2024-03-09,particulate exceedance,True,20.51,61.71
L01-0101,2024-03-08,microbial contamination,True,15.97,57.73
L03-0083,2024-03-10,pH deviation,False,19.72,53.45
L01-0117,2024-03-09,assay out of specification,False,21.85,55.86
L01-0131,2024-03-12,microbial contamination,True,18.55,61.44
L01-0133,2024-03-10,particulate exceedance,False,17.6,68.76
L01-0140,2024-03-09,assay out of specification,True,17.33,67.89
L02-0104,2024-03-11,pH deviation,True,14.98,50.89
L02-0105,2024-03-10,microbial contamination,False,15.99,52.53
L03-0106,2024-03-12,viscosity failure,False,20.75,54.35
L03-0108,2024-03-12,particulate exceedance,True,15.28,57.34
L03-0112,2024-03-09,assay out of specification,False,17.6,50.97
L02-0111,2024-03-11,particulate exceedance,False,21.66,48.04
L02-0114,2024-03-09,viscosity failure,True,19.66,66.07
L02-0116,2024-03-11,viscosity failure,False,20.13,64.45
L01-0185,2024-03-10,pH deviation,False,21.13,61.6
L01-0186,2024-03-14,viscosity failure,False,20.31,62.84
L01-0188,2024-03-12,microbial contamination,True,14.77,57.92
L01-0196,2024-03-12,microbial contamination,True,14.11,53.23
L02-0135,2024-03-14,viscosity failure,False,16.36,64.36
L03-0141,2024-03-10,microbial contamination,True,16.99,51.6
L03-0143,2024-03-13,pH deviation,True,14.61,71.66
L03-0149,2024-03-13,particulate exceedance,True,15.88,48.88
L03-0157,2024-03-11,pH deviation,True,15.98,58.45
L01-0206,2024-03-14,microbial contamination,False,14.44,53.92
L01-0207,2024-03-14,assay out of specification,True,15.41,53.64
L01-0210,2024-03-13,viscosity failure,False,20.93,61.04
L01-0213,2024-03-12,viscosity failure,True,15.96,61.17
L02-0152,2024-03-11,viscosity failure,False,15.95,70.91
L03-0164,2024-03-13,particulate exceedance,False,16.31,63.05
L03-0177,2024-03-12,particulate exceedance,False,21.32,65.92
L03-0180,2024-03-11,assay out of specification,True,18.29,51.69
L01-0232,2024-03-11,microbial contamination,True,15.86,50.01
L01-0242,2024-03-11,viscosity failure,False,16.77,57.52
L01-0243,2024-03-15,assay out of specification,False,16.44,49.71
L02-0177,2024-03-13,pH deviation,True,17.26,68.65
L03-0183,2024-03-15,microbial contamination,True,16.57,58.39
L03-0187,2024-03-16,assay out of specification,True,16.47,52.53
L03-0188,2024-03-12,pH deviation,False,20.78,64.32
L03-0196,2024-03-13,assay out of specification,False,15.88,48.03
L03-0199,2024-03-12,particulate exceedance,True,19.18,54.26
L01-0254,2024-03-14,pH deviation,False,18.73,68.37
L01-0256,2024-03-13,assay out of specification,False,16.95,71.28
L01-0260,2024-03-12,assay out of specification,False,21.71,54.97
L01-0268,2024-03-16,pH deviation,False,15.1,55.08
L02-0184,2024-03-17,viscosity failure,False,20.37,68.96
L02-0190,2024-03-14,microbial contamination,False,19.86,57.39
L03-0216,2024-03-12,assay out of specification,False,20.4,53.63
L03-0219,2024-03-14,assay out of specification,False,15.11,61.17
L03-0220,2024-03-16,microbial contamination,True,18.48,64.32
L03-0235,2024-03-14,assay out of specification,False,17.79,61.34
L01-0270,2024-03-16,assay out of specification,False,20.88,68.48
L01-0271,2024-03-18,particulate exceedance,False,20.41,71.12
L01-0281,2024-03-17,viscosity failure,True,15.14,60.21
L01-0287,2024-03-15,microbial contamination,False,14.09,58.41
L01-0295,2024-03-14,particulate exceedance,False,18.43,67.27
L02-0204,2024-03-14,microbial contamination,False,15.9,63.46
L03-0240,2024-03-17,pH deviation,False,15.21,53.09
L01-0304,2024-03-18,particulate exceedance,False,21.63,62.58
L01-0308,2024-03-17,particulate exceedance,False,15.11,48.35
L01-0315,2024-03-15,pH deviation,False,19.09,67.24
L01-0320,2024-03-16,microbial contamination,True,20.33,48.3
L01-0323,2024-03-19,microbial contamination,False,17.96,65.89
L03-0265,2024-03-16,assay out of specification,False,21.53,48.33
L03-0280,2024-03-18,viscosity failure,False,21.26,49.1
L01-0324,2024-03-17,viscosity failure,False,15.99,59.3
L01-0342,2024-03-19,viscosity failure,False,15.09,49.57
L01-0353,2024-03-16,assay out of specification,True,18.39,56.41
L02-0239,2024-03-17,viscosity failure,False,17.72,53.53
L02-0240,2024-03-16,particulate exceedance,False,14.19,69.34
L03-0289,2024-03-18,microbial contamination,False,19.31,56.71
L03-0294,2024-03-18,particulate exceedance,True,14.46,50.47
L01-0356,2024-03-17,pH deviation,True,17.21,57.75
L01-0357,2024-03-16,pH deviation,False,21.48,60.55
L03-0315,2024-03-16,viscosity failure,False,17.34,53.75
L01-0384,2024-03-18,assay out of specification,True,15.75,69.05
L01-0395,2024-03-22,assay out of specification,False,17.66,63.49
L01-0396,2024-03-21,assay out of specification,False,14.72,60.55
L01-0398,2024-03-22,assay out of specification,False,18.71,61.1
L01-0406,2024-03-20,pH deviation,False,14.17,59.54
L02-0262,2024-03-22,pH deviation,False,16.18,60.27
L03-0328,2024-03-19,assay out of specification,False,15.29,71.97
L03-0334,2024-03-19,pH deviation,False,21.68,66.15
L01-0409,2024-03-18,pH deviation,False,15.7,63.23
L01-0412,2024-03-22,microbial contamination,True,20.65,59.34
L02-0278,2024-03-19,viscosity failure,True,21.17,60.79
L02-0280,2024-03-22,particulate exceedance,True,14.82,54.99
L02-0284,2024-03-22,pH deviation,False,19.79,49.03
L03-0344,2024-03-22,viscosity failure,True,19.43,67.36
