result_id,lot_id,test_id,measured_value,units,analyst_id,tested_date
RES000115,L01-0023,T05,10.5,CFU/mL,AN15,2024-01-05
RES000116,L01-0024,T01,1.1129,%,AN07,2024-01-04
RES000117,L01-0024,T02,6.5774,pH units,AN07,2024-01-04
RES000118,L01-0024,T03,107.709,cP,AN07,2024-01-04
RES000119,L01-0024,T04,80.08,particles/mL,AN07,2024-01-04
RES000120,L01-0024,T05,3.59,CFU/mL,AN07,2024-01-04
RES000121,L01-0025,T01,0.8253,%,AN13,2024-01-03
RES000122,L01-0025,T02,6.8696,pH units,AN13,2024-01-03
RES000123,L01-0025,T03,128.501,cP,AN13,2024-01-03
RES000124,L01-0025,T04,31.24,particles/mL,AN13,2024-01-03
RES000125,L01-0025,T05,0.0,CFU/mL,AN13,2024-01-03
RES000126,L01-0026,T01,1.0611,%,AN11,2024-01-03
RES000127,L01-0026,T02,6.7698,pH units,AN11,2024-01-03
RES000128,L01-0026,T03,105.4594,cP,AN11,2024-01-03
RES000129,L01-0026,T04,15.04,particles/mL,AN11,2024-01-03
RES000130,L01-0026,T05,4.54,CFU/mL,AN11,2024-01-03
RES000131,L01-0027,T01,0.9316,%,AN04,2024-01-03
RES000132,L01-0027,T02,7.1483,pH units,AN04,2024-01-03
RES000133,L01-0027,T03,130.5086,cP,AN04,2024-01-03
RES000134,L01-0027,T04,40.37,particles/mL,AN04,2024-01-03
RES000135,L01-0027,T05,3.65,CFU/mL,AN04,2024-01-03
RES000136,L01-0028,T01,1.0348,%,AN11,2024-01-05
RES000137,L01-0028,T02,6.7747,pH units,AN11,2024-01-05
RES000138,L01-0028,T03,113.724,cP,AN11,2024-01-05
RES000139,L01-0028,T04,48.14,particles/mL,AN11,2024-01-05
RES000140,L01-0028,T05,9.18,CFU/mL,AN11,2024-01-05
RES000141,L01-0029,T01,1.0463,%,AN03,2024-01-03
RES000142,L01-0029,T02,6.7394,pH units,AN03,2024-01-03
RES000143,L01-0029,T03,111.6449,cP,AN03,2024-01-03
RES000144,L01-0029,T04,36.98,particles/mL,AN03,2024-01-03
RES000145,L01-0029,T05,6.25,CFU/mL,AN03,2024-01-03
RES000146,L01-0030,T01,1.0516,%,AN04,2024-01-05
RES000147,L01-0030,T02,6.8231,pH units,AN04,2024-01-05
RES000148,L01-0030,T03,119.5007,cP,AN04,2024-01-05
RES000149,L01-0030,T04,58.24,particles/mL,AN04,2024-01-05
RES000150,L01-0030,T05,6.83,CFU/mL,AN04,2024-01-05
RES000151,L01-0031,T01,0.9931,%,AN13,2024-01-03
RES000152,L01-0031,T02,7.1735,pH units,AN13,2024-01-03
RES000153,L01-0031,T03,106.524,cP,AN13,2024-01-03
RES000154,L01-0031,T04,68.0,particles/mL,AN13,2024-01-03
RES000155,L01-0031,T05,2.92,CFU/mL,AN13,2024-01-03
RES000156,L02-0001,T01,0.9038,%,AN12,2024-01-03
RES000157,L02-0001,T02,6.9296,pH units,AN12,2024-01-03
RES000158,L02-0001,T03,119.092,cP,AN12,2024-01-03
RES000159,L02-0001,T04,10.57,particles/mL,AN12,2024-01-03
RES000160,L02-0001,T05,9.16,CFU/mL,AN12,2024-01-03
RES000161,L02-0002,T01,1.0168,%,AN08,2024-01-04
RES000162,L02-0002,T02,6.8214,pH units,AN08,2024-01-04
RES000163,L02-0002,T03,113.4145,cP,AN08,2024-01-04
RES000164,L02-0002,T04,4.37,particles/mL,AN08,2024-01-04
RES000165,L02-0002,T05,5.86,CFU/mL,AN08,2024-01-04
RES000166,L02-0003,T01,1.0159,%,AN03,2024-01-02
RES000167,L02-0003,T02,7.0187,pH units,AN03,2024-01-02
RES000168,L02-0003,T03,120.6607,cP,AN03,2024-01-02
RES000169,L02-0003,T04,45.24,particles/mL,AN03,2024-01-02
RES000170,L02-0003,T05,2.67,CFU/mL,AN03,2024-01-02
RES000171,L02-0004,T01,0.8771,%,AN01,2024-01-03
RES000172,L02-0004,T02,7.212,pH units,AN01,2024-01-03
RES000173,L02-0004,T03,95.5476,cP,AN01,2024-01-03
RES000174,L02-0004,T04,90.5,particles/mL,AN01,2024-01-03
RES000175,L02-0004,T05,0.0,CFU/mL,AN01,2024-01-03
RES000176,L02-0005,T01,1.0209,%,AN11,2024-01-03
RES000177,L02-0005,T02,7.1607,pH units,AN11,2024-01-03
RES000178,L02-0005,T03,112.0345,cP,AN11,2024-01-03
RES000179,L02-0005,T04,53.94,particles/mL,AN11,2024-01-03
RES000180,L02-0005,T05,3.54,CFU/mL,AN11,2024-01-03
RES000181,L02-0006,T01,0.8646,%,AN02,2024-01-05
RES000182,L02-0006,T02,7.1941,pH units,AN02,2024-01-05
RES000183,L02-0006,T03,107.1406,cP,AN02,2024-01-05
RES000184,L02-0006,T04,38.05,particles/mL,AN02,2024-01-05
RES000185,L02-0006,T05,7.72,CFU/mL,AN02,2024-01-05
RES000186,L02-0007,T01,1.0385,%,AN05,2024-01-05
RES000187,L02-0007,T02,7.3278,pH units,AN05,2024-01-05
RES000188,L02-0007,T03,120.9154,cP,AN05,2024-01-05
RES000189,L02-0007,T04,39.96,particles/mL,AN05,2024-01-05
RES000190,L02-0007,T05,7.74,CFU/mL,AN05,2024-01-05
RES000191,L02-0008,T01,0.9923,%,AN01,2024-01-05
RES000192,L02-0008,T02,6.9081,pH units,AN01,2024-01-05
RES000193,L02-0008,T03,124.7585,cP,AN01,2024-01-05
RES000194,L02-0008,T04,46.79,particles/mL,AN01,2024-01-05
RES000195,L02-0008,T05,5.38,CFU/mL,AN01,2024-01-05
RES000196,L02-0009,T01,0.9307,%,AN09,2024-01-02
RES000197,L02-0009,T02,6.9952,pH units,AN09,2024-01-02
RES000198,L02-0009,T03,138.5148,cP,AN09,2024-01-02
RES000199,L02-0009,T04,83.79,particles/mL,AN09,2024-01-02
RES000200,L02-0009,T05,4.54,CFU/mL,AN09,2024-01-02
RES000201,L02-0010,T01,0.9995,%,AN01,2024-01-03
RES000202,L02-0010,T02,6.9426,pH units,AN01,2024-01-03
RES000203,L02-0010,T03,122.3222,cP,AN01,2024-01-03
RES000204,L02-0010,T04,51.82,particles/mL,AN01,2024-01-03
RES000205,L02-0010,T05,6.16,CFU/mL,AN01,2024-01-03
RES000206,L02-0011,T01,1.0441,%,AN14,2024-01-02
RES000207,L02-0011,T02,6.9845,pH units,AN14,2024-01-02
RES000208,L02-0011,T03,119.1881,cP,AN14,2024-01-02
RES000209,L02-0011,T04,64.66,particles/mL,AN14,2024-01-02
RES000210,L02-0011,T05,7.46,CFU/mL,AN14,2024-01-02
RES000211,L02-0012,T01,1.0437,%,AN05,2024-01-03
RES000212,L02-0012,T02,7.2794,pH units,AN05,2024-01-03
RES000213,L02-0012,T03,117.7538,cP,AN05,2024-01-03
RES000214,L02-0012,T04,65.01,particles/mL,AN05,2024-01-03
RES000215,L02-0012,T05,5.78,CFU/mL,AN05,2024-01-03
RES000216,L02-0013,T01,1.0082,%,AN07,2024-01-03
RES000217,L02-0013,T02,7.1584,pH units,AN07,2024-01-03
RES000218,L02-0013,T03,141.9271,cP,AN07,2024-01-03
RES000219,L02-0013,T04,53.04,particles/mL,AN07,2024-01-03
RES000220,L02-0013,T05,1.4,CFU/mL,AN07,2024-01-03
RES000221,L02-0014,T01,1.081,%,AN05,2024-01-04
RES000222,L02-0014,T02,6.7183,pH units,AN05,2024-01-04
RES000223,L02-0014,T03,114.7066,cP,AN05,2024-01-04
RES000224,L02-0014,T04,55.91,particles/mL,AN05,2024-01-04
RES000225,L02-0014,T05,7.94,CFU/mL,AN05,2024-01-04
RES000226,L02-0015,T01,0.8895,%,AN13,2024-01-04
RES000227,L02-0015,T02,6.8656,pH units,AN13,2024-01-04
RES000228,L02-0015,T03,128.9459,cP,AN13,2024-01-04
RES000229,L02-0015,T04,0.0,particles/mL,AN13,2024-01-04
RES000230,L02-0015,T05,6.21,CFU/mL,AN13,2024-01-04
RES000231,L02-0016,T01,1.0336,%,AN09,2024-01-05
RES000232,L02-0016,T02,7.0308,pH units,AN09,2024-01-05
RES000233,L02-0016,T03,125.2643,cP,AN09,2024-01-05
RES000234,L02-0016,T04,49.57,particles/mL,AN09,2024-01-05
RES000235,L02-0016,T05,0.0,CFU/mL,AN09,2024-01-05
RES000236,L02-0017,T01,1.034,%,AN11,2024-01-05
RES000237,L02-0017,T02,6.6886,pH units,AN11,2024-01-05
RES000238,L02-0017,T03,119.3234,cP,AN11,2024-01-05
RES000239,L02-0017,T04,75.4,particles/mL,AN11,2024-01-05
RES000240,L02-0017,T05,6.16,CFU/mL,AN11,2024-01-05
RES000241,L02-0018,T01,0.9782,%,AN15,2024-01-05
RES000242,L02-0018,T02,6.945,pH units,AN15,2024-01-05
RES000243,L02-0018,T03,139.0633,cP,AN15,2024-01-05
RES000244,L02-0018,T04,46.37,particles/mL,AN15,2024-01-05
RES000245,L02-0018,T05,7.82,CFU/mL,AN15,2024-01-05
RES000246,L02-0019,T01,0.9842,%,AN10,2024-01-05
RES000247,L02-0019,T02,7.0328,pH units,AN10,2024-01-05
RES000248,L02-0019,T03,114.0546,cP,AN10,2024-01-05
RES000249,L02-0019,T04,41.7,particles/mL,AN10,2024-01-05
RES000250,L02-0019,T05,4.02,CFU/mL,AN10,2024-01-05
RES000251,L02-0020,T01,0.9782,%,AN02,2024-01-02
RES000252,L02-0020,T02,6.9051,pH units,AN02,2024-01-02
RES000253,L02-0020,T03,101.3319,cP,AN02,2024-01-02
RES000254,L02-0020,T04,3.36,particles/mL,AN02,2024-01-02
RES000255,L02-0020,T05,4.29,CFU/mL,AN02,2024-01-02
RES000256,L02-0021,T01,0.9623,%,AN15,2024-01-03
RES000257,L02-0021,T02,6.8869,pH units,AN15,2024-01-03
RES000258,L02-0021,T03,119.525,cP,AN15,2024-01-03
RES000259,L02-0021,T04,93.14,particles/mL,AN15,2024-01-03
RES000260,L02-0021,T05,9.03,CFU/mL,AN15,2024-01-03
RES000261,L02-0022,T01,0.9715,%,AN11,2024-01-05
RES000262,L02-0022,T02,6.6702,pH units,AN11,2024-01-05
RES000263,L02-0022,T03,116.4477,cP,AN11,2024-01-05
RES000264,L02-0022,T04,41.07,particles/mL,AN11,2024-01-05
RES000265,L02-0022,T05,5.18,CFU/mL,AN11,2024-01-05
RES000266,L03-0001,T01,10334.69,ppm,AN07,2024-01-05
RES000267,L03-0001,T02,6.9113,pH units,AN07,2024-01-05
RES000268,L03-0001,T03,126.2056,cP,AN07,2024-01-05
RES000269,L03-0001,T04,71.47,particles/mL,AN07,2024-01-05
RES000270,L03-0001,T05,0.0,CFU/mL,AN07,2024-01-05
RES000271,L03-0002,T01,11365.69,ppm,AN02,2024-01-04
RES000272,L03-0002,T02,6.8669,pH units,AN02,2024-01-04
RES000273,L03-0002,T03,122.1522,cP,AN02,2024-01-04
RES000274,L03-0002,T04,80.7,particles/mL,AN02,2024-01-04
RES000275,L03-0002,T05,5.86,CFU/mL,AN02,2024-01-04
RES000276,L03-0003,T01,10020.29,ppm,AN07,2024-01-04
RES000277,L03-0003,T02,6.7988,pH units,AN07,2024-01-04
RES000278,L03-0003,T03,122.1779,cP,AN07,2024-01-04
RES000279,L03-0003,T04,53.57,particles/mL,AN07,2024-01-04
RES000280,L03-0003,T05,3.69,CFU/mL,AN07,2024-01-04
RES000281,L03-0004,T01,9447.25,ppm,AN07,2024-01-05
RES000282,L03-0004,T02,6.7959,pH units,AN07,2024-01-05
RES000283,L03-0004,T03,129.0016,cP,AN07,2024-01-05
RES000284,L03-0004,T04,51.4,particles/mL,AN07,2024-01-05
RES000285,L03-0004,T05,1.16,CFU/mL,AN07,2024-01-05
RES000286,L03-0005,T01,10508.11,ppm,AN10,2024-01-04
RES000287,L03-0005,T02,6.8727,pH units,AN10,2024-01-04
RES000288,L03-0005,T03,118.0489,cP,AN10,2024-01-04
RES000289,L03-0005,T04,58.42,particles/mL,AN10,2024-01-04
RES000290,L03-0005,T05,3.05,CFU/mL,AN10,2024-01-04
RES000291,L03-0006,T01,10032.4,ppm,AN12,2024-01-03
RES000292,L03-0006,T02,7.1993,pH units,AN12,2024-01-03
RES000293,L03-0006,T03,115.1769,cP,AN12,2024-01-03
RES000294,L03-0006,T04,51.67,particles/mL,AN12,2024-01-03
RES000295,L03-0006,T05,0.0,CFU/mL,AN12,2024-01-03
RES000296,L03-0007,T01,9230.29,ppm,AN01,2024-01-04
RES000297,L03-0007,T02,7.0449,pH units,AN01,2024-01-04
RES000298,L03-0007,T03,132.2602,cP,AN01,2024-01-04
RES000299,L03-0007,T04,47.77,particles/mL,AN01,2024-01-04
RES000300,L03-0007,T05,13.51,CFU/mL,AN01,2024-01-04
RES000301,L03-0008,T01,11124.48,ppm,AN09,2024-01-04
RES000302,L03-0008,T02,7.0474,pH units,AN09,2024-01-04
RES000303,L03-0008,T03,118.6327,cP,AN09,2024-01-04
RES000304,L03-0008,T04,66.18,particles/mL,AN09,2024-01-04
RES000305,L03-0008,T05,4.99,CFU/mL,AN09,2024-01-04
RES000306,L03-0009,T01,11217.98,ppm,AN07,2024-01-03
RES000307,L03-0009,T02,6.9337,pH units,AN07,2024-01-03
RES000308,L03-0009,T03,132.6966,cP,AN07,2024-01-03
RES000309,L03-0009,T04,22.3,particles/mL,AN07,2024-01-03
RES000310,L03-0009,T05,8.89,CFU/mL,AN07,2024-01-03
RES000311,L03-0010,T01,8788.59,ppm,AN02,2024-01-04
RES000312,L03-0010,T02,7.0151,pH units,AN02,2024-01-04
RES000313,L03-0010,T03,109.4758,cP,AN02,2024-01-04
RES000314,L03-0010,T04,57.24,particles/mL,AN02,2024-01-04
RES000315,L03-0010,T05,2.13,CFU/mL,AN02,2024-01-04
RES000316,L03-0011,T01,9181.83,ppm,AN05,2024-01-03
RES000317,L03-0011,T02,7.0226,pH units,AN05,2024-01-03
RES000318,L03-0011,T03,118.7267,cP,AN05,2024-01-03
RES000319,L03-0011,T04,4.71,particles/mL,AN05,2024-01-03
RES000320,L03-0011,T05,0.0,CFU/mL,AN05,2024-01-03
RES000321,L03-0012,T01,9255.52,ppm,AN13,2024-01-04
RES000322,L03-0012,T02,6.8168,pH units,AN13,2024-01-04
RES000323,L03-0012,T03,119.8772,cP,AN13,2024-01-04
RES000324,L03-0012,T04,74.06,particles/mL,AN13,2024-01-04
RES000325,L03-0012,T05,3.89,CFU/mL,AN13,2024-01-04
RES000326,L03-0013,T01,10805.17,ppm,AN06,2024-01-04
RES000327,L03-0013,T02,6.8057,pH units,AN06,2024-01-04
RES000328,L03-0013,T03,118.3904,cP,AN06,2024-01-04
RES000329,L03-0013,T04,42.6,particles/mL,AN06,2024-01-04
RES000330,L03-0013,T05,0.14,CFU/mL,AN06,2024-01-04
RES000331,L03-0014,T01,10300.53,ppm,AN11,2024-01-04
RES000332,L03-0014,T02,6.8012,pH units,AN11,2024-01-04
RES000333,L03-0014,T03,126.2846,cP,AN11,2024-01-04
RES000334,L03-0014,T04,48.26,particles/mL,AN11,2024-01-04
RES000335,L03-0014,T05,5.06,CFU/mL,AN11,2024-01-04
RES000336,L03-0015,T01,9686.81,ppm,AN13,2024-01-04
RES000337,L03-0015,T02,7.2143,pH units,AN13,2024-01-04
RES000338,L03-0015,T03,133.2129,cP,AN13,2024-01-04
RES000339,L03-0015,T04,88.21,particles/mL,AN13,2024-01-04
RES000340,L03-0015,T05,3.06,CFU/mL,AN13,2024-01-04
RES000341,L03-0016,T01,10106.29,ppm,AN08,2024-01-03
RES000342,L03-0016,T02,6.7966,pH units,AN08,2024-01-03
RES000343,L03-0016,T03,132.9507,cP,AN08,2024-01-03
RES000344,L03-0016,T04,44.04,particles/mL,AN08,2024-01-03
RES000345,L03-0016,T05,7.24,CFU/mL,AN08,2024-01-03
RES000346,L03-0017,T01,10422.32,ppm,AN01,2024-01-04
RES000347,L03-0017,T02,6.5181,pH units,AN01,2024-01-04
RES000348,L03-0017,T03,118.8353,cP,AN01,2024-01-04
RES000349,L03-0017,T04,51.99,particles/mL,AN01,2024-01-04
RES000350,L03-0017,T05,3.55,CFU/mL,AN01,2024-01-04
RES000351,L01-0032,T01,0.9792,%,AN07,2024-01-06
RES000352,L01-0032,T02,7.3344,pH units,AN07,2024-01-06
RES000353,L01-0032,T03,114.2927,cP,AN07,2024-01-06
RES000354,L01-0032,T04,75.79,particles/mL,AN07,2024-01-06
RES000355,L01-0032,T05,3.78,CFU/mL,AN07,2024-01-06
RES000356,L01-0033,T01,1.0126,%,AN08,2024-01-04
RES000357,L01-0033,T02,7.275,pH units,AN08,2024-01-04
RES000358,L01-0033,T03,121.18,cP,AN08,2024-01-04
RES000359,L01-0033,T04,103.37,particles/mL,AN08,2024-01-04
RES000360,L01-0033,T05,0.9,CFU/mL,AN08,2024-01-04
RES000361,L01-0034,T01,0.9252,%,AN12,2024-01-04
RES000362,L01-0034,T02,6.9831,pH units,AN12,2024-01-04
RES000363,L01-0034,T03,130.9561,cP,AN12,2024-01-04
RES000364,L01-0034,T04,64.48,particles/mL,AN12,2024-01-04
RES000365,L01-0034,T05,0.0,CFU/mL,AN12,2024-01-04
RES000366,L01-0035,T01,1.0348,%,AN14,2024-01-05
RES000367,L01-0035,T02,7.3775,pH units,AN14,2024-01-05
RES000368,L01-0035,T03,119.9351,cP,AN14,2024-01-05
RES000369,L01-0035,T04,43.21,particles/mL,AN14,2024-01-05
RES000370,L01-0035,T05,0.0,CFU/mL,AN14,2024-01-05
RES000371,L01-0036,T01,1.0091,%,AN04,2024-01-06
RES000372,L01-0036,T02,7.0213,pH units,AN04,2024-01-06
RES000373,L01-0036,T03,120.0676,cP,AN04,2024-01-06
RES000374,L01-0036,T04,74.11,particles/mL,AN04,2024-01-06
RES000375,L01-0036,T05,1.05,CFU/mL,AN04,2024-01-06
RES000376,L01-0037,T01,1.0122,%,AN11,2024-01-04
RES000377,L01-0037,T02,7.2171,pH units,AN11,2024-01-04
RES000378,L01-0037,T03,107.9872,cP,AN11,2024-01-04
RES000379,L01-0037,T04,22.84,particles/mL,AN11,2024-01-04
RES000380,L01-0037,T05,8.17,CFU/mL,AN11,2024-01-04
RES000381,L01-0038,T01,0.9734,%,AN08,2024-01-05
RES000382,L01-0038,T02,6.7375,pH units,AN08,2024-01-05
RES000383,L01-0038,T03,114.3047,cP,AN08,2024-01-05
RES000384,L01-0038,T04,50.67,particles/mL,AN08,2024-01-05
RES000385,L01-0038,T05,3.41,CFU/mL,AN08,2024-01-05
RES000386,L01-0039,T01,0.9653,%,AN11,2024-01-05
RES000387,L01-0039,T02,6.6205,pH units,AN11,2024-01-05
RES000388,L01-0039,T03,123.1662,cP,AN11,2024-01-05
RES000389,L01-0039,T04,80.06,particles/mL,AN11,2024-01-05
RES000390,L01-0039,T05,2.33,CFU/mL,AN11,2024-01-05
RES000391,L01-0040,T01,0.9405,%,AN08,2024-01-05
RES000392,L01-0040,T02,7.0066,pH units,AN08,2024-01-05
RES000393,L01-0040,T03,117.7352,cP,AN08,2024-01-05
RES000394,L01-0040,T04,60.17,particles/mL,AN08,2024-01-05
RES000395,L01-0040,T05,13.43,CFU/mL,AN08,2024-01-05
RES000396,L01-0041,T01,1.1501,%,AN01,2024-01-05
RES000397,L01-0041,T02,6.895,pH units,AN01,2024-01-05
RES000398,L01-0041,T03,120.6161,cP,AN01,2024-01-05
RES000399,L01-0041,T04,18.28,particles/mL,AN01,2024-01-05
RES000400,L01-0041,T05,2.18,CFU/mL,AN01,2024-01-05
RES000401,L01-0042,T01,1.0168,%,AN14,2024-01-05
RES000402,L01-0042,T02,6.6539,pH units,AN14,2024-01-05
RES000403,L01-0042,T03,110.8609,cP,AN14,2024-01-05
RES000404,L01-0042,T04,89.67,particles/mL,AN14,2024-01-05
RES000405,L01-0042,T05,5.37,CFU/mL,AN14,2024-01-05
RES000406,L01-0043,T01,1.0672,%,AN15,2024-01-05
RES000407,L01-0043,T02,7.1978,pH units,AN15,2024-01-05
RES000408,L01-0043,T03,111.0408,cP,AN15,2024-01-05
RES000409,L01-0043,T04,84.17,particles/mL,AN15,2024-01-05
