lot_id,product_id,line_id,batch_start_datetime,batch_end_datetime,quantity_produced
L02-0001,P003,L02,2024-01-01 22:10:00,2024-01-02 05:47:00,134
L02-0002,P008,L02,2024-01-01 19:34:00,2024-01-02 07:34:00,191
L02-0003,P020,L02,2024-01-01 10:01:00,2024-01-01 18:01:00,387
L02-0004,P019,L02,2024-01-01 12:46:00,2024-01-01 18:46:00,106
L02-0005,P007,L02,2024-01-01 15:29:00,2024-01-02 03:29:00,381
L02-0006,P005,L02,2024-01-01 13:28:00,2024-01-02 06:28:00,165
L02-0007,P019,L02,2024-01-01 13:31:00,2024-01-02 06:31:00,220
L02-0008,P003,L02,2024-01-01 22:49:00,2024-01-02 01:53:00,254
L02-0009,P018,L02,2024-01-01 07:18:00,2024-01-01 14:18:00,293
L02-0010,P002,L02,2024-01-01 15:14:00,2024-01-02 06:14:00,314
L02-0011,P019,L02,2024-01-01 16:19:00,2024-01-01 21:30:00,277
L02-0012,P019,L02,2024-01-01 18:14:00,2024-01-02 00:14:00,125
L02-0013,P002,L02,2024-01-01 13:18:00,2024-01-02 06:18:00,227
L02-0014,P021,L02,2024-01-01 17:12:00,2024-01-02 12:12:00,283
L02-0015,P007,L02,2024-01-01 10:54:00,2024-01-01 19:54:00,398
L02-0016,P021,L02,2024-01-01 19:31:00,2024-01-02 01:31:00,175
L02-0017,P001,L02,2024-01-01 12:09:00,2024-01-02 06:09:00,109
L02-0018,P003,L02,2024-01-01 16:13:00,2024-01-02 10:13:00,117
L02-0019,P008,L02,2024-01-01 13:01:00,2024-01-02 05:01:00,187
L02-0020,P004,L02,2024-01-01 15:53:00,2024-01-01 21:30:00,316
L02-0021,P006,L02,2024-01-01 16:00:00,2024-01-02 11:00:00,384
L02-0022,P019,L02,2024-01-01 22:04:00,2024-01-02 06:53:00,129
L03-0001,P020,L03,2024-01-01 22:01:00,2024-01-02 05:58:00,119
L03-0002,P022,L03,2024-01-01 18:41:00,2024-01-02 10:41:00,266
L03-0003,P009,L03,2024-01-01 18:48:00,2024-01-02 00:48:00,309
L03-0004,P012,L03,2024-01-01 17:07:00,2024-01-02 05:07:00,119
L03-0005,P013,L03,2024-01-01 07:23:00,2024-01-02 02:23:00,176
L03-0006,P013,L03,2024-01-01 13:39:00,2024-01-01 21:30:00,386
L03-0007,P024,L03,2024-01-01 19:55:00,2024-01-02 07:55:00,87
L03-0008,P021,L03,2024-01-01 08:38:00,2024-01-02 01:38:00,113
L03-0009,P014,L03,2024-01-01 23:25:00,2024-01-02 01:57:00,133
L03-0010,P024,L03,2024-01-01 14:44:00,2024-01-02 07:44:00,218
L03-0011,P016,L03,2024-01-01 12:50:00,2024-01-01 18:50:00,293
L03-0012,P017,L03,2024-01-01 07:15:00,2024-01-02 00:15:00,228
L03-0013,P015,L03,2024-01-01 09:45:00,2024-01-01 21:30:00,379
L03-0014,P011,L03,2024-01-01 18:17:00,2024-01-02 05:17:00,118
L03-0015,P023,L03,2024-01-01 11:06:00,2024-01-02 02:06:00,388
L03-0016,P009,L03,2024-01-01 18:31:00,2024-01-02 03:31:00,166
L03-0017,P011,L03,2024-01-01 09:50:00,2024-01-02 02:50:00,387
L01-0032,P002,L01,2024-01-02 23:01:00,2024-01-03 05:03:00,142
L01-0033,P006,L01,2024-01-02 22:25:00,2024-01-03 05:30:00,298
L01-0034,P003,L01,2024-01-02 17:19:00,2024-01-03 12:19:00,241
L01-0035,P004,L01,2024-01-02 17:51:00,2024-01-03 06:51:00,93
L01-0036,P014,L01,2024-01-02 18:14:00,2024-01-03 03:14:00,160
L01-0037,P006,L01,2024-01-02 19:24:00,2024-01-03 04:24:00,95
L01-0038,P005,L01,2024-01-02 18:31:00,2024-01-03 12:31:00,112
L01-0039,P015,L01,2024-01-02 07:03:00,2024-01-02 18:03:00,376
L01-0040,P003,L01,2024-01-02 23:50:00,2024-01-03 06:54:00,157
L01-0041,P015,L01,2024-01-02 19:34:00,2024-01-03 11:34:00,281
L01-0042,P015,L01,2024-01-02 14:44:00,2024-01-02 21:44:00,345
L01-0043,P010,L01,2024-01-02 13:58:00,2024-01-03 07:58:00,347
L01-0044,P003,L01,2024-01-02 12:41:00,2024-01-03 02:41:00,160
L01-0045,P003,L01,2024-01-02 22:26:00,2024-01-03 04:09:00,213
L01-0046,P005,L01,2024-01-02 10:22:00,2024-01-02 21:30:00,197
L01-0047,P010,L01,2024-01-02 12:22:00,2024-01-02 20:22:00,300
L01-0048,P003,L01,2024-01-02 17:56:00,2024-01-03 08:56:00,374
L02-0023,P008,L02,2024-01-02 08:30:00,2024-01-03 02:30:00,374
L02-0024,P017,L02,2024-01-02 07:38:00,2024-01-02 14:38:00,279
L02-0025,P024,L02,2024-01-02 23:31:00,2024-01-03 07:43:00,124
L02-0026,P022,L02,2024-01-02 08:48:00,2024-01-02 19:48:00,270
L02-0027,P008,L02,2024-01-02 19:47:00,2024-01-03 14:47:00,383
L02-0028,P019,L02,2024-01-02 16:35:00,2024-01-02 21:30:00,110
L02-0029,P004,L02,2024-01-02 08:10:00,2024-01-02 15:10:00,261
L02-0030,P021,L02,2024-01-02 12:27:00,2024-01-03 03:27:00,247
L02-0031,P017,L02,2024-01-02 18:47:00,2024-01-03 07:47:00,237
L02-0032,P017,L02,2024-01-02 07:55:00,2024-01-03 00:55:00,118
L02-0033,P021,L02,2024-01-02 23:05:00,2024-01-03 04:39:00,313
L02-0034,P019,L02,2024-01-02 11:12:00,2024-01-03 02:12:00,314
L02-0035,P002,L02,2024-01-02 10:49:00,2024-01-03 02:49:00,283
L02-0036,P005,L02,2024-01-02 09:31:00,2024-01-02 19:31:00,180
L02-0037,P003,L02,2024-01-02 22:05:00,2024-01-03 07:33:00,220
L02-0038,P020,L02,2024-01-02 07:43:00,2024-01-02 15:43:00,257
L02-0039,P001,L02,2024-01-02 11:46:00,2024-01-03 01:46:00,233
L03-0018,P016,L03,2024-01-02 06:52:00,2024-01-02 21:52:00,171
L03-0019,P018,L03,2024-01-02 06:06:00,2024-01-02 21:06:00,400
L03-0020,P009,L03,2024-01-02 07:39:00,2024-01-02 21:39:00,109
L03-0021,P019,L03,2024-01-02 18:01:00,2024-01-03 03:01:00,157
L03-0022,P017,L03,2024-01-02 23:46:00,2024-01-03 06:11:00,84
L03-0023,P009,L03,2024-01-02 18:54:00,2024-01-03 00:54:00,81
L03-0024,P010,L03,2024-01-02 22:49:00,2024-01-03 05:58:00,337
L03-0025,P016,L03,2024-01-02 10:50:00,2024-01-02 19:50:00,98
L03-0026,P020,L03,2024-01-02 19:55:00,2024-01-03 02:55:00,327
L03-0027,P022,L03,2024-01-02 17:50:00,2024-01-03 05:50:00,92
L03-0028,P015,L03,2024-01-02 07:07:00,2024-01-02 21:30:00,241
L03-0029,P013,L03,2024-01-02 13:37:00,2024-01-02 20:37:00,353
L03-0030,P024,L03,2024-01-02 17:44:00,2024-01-02 21:30:00,141
L03-0031,P016,L03,2024-01-02 07:42:00,2024-01-02 20:42:00,394
L03-0032,P014,L03,2024-01-02 13:03:00,2024-01-02 19:03:00,277
L03-0033,P016,L03,2024-01-02 22:53:00,2024-01-03 04:42:00,212
L03-0034,P009,L03,2024-01-02 22:46:00,2024-01-03 02:22:00,394
L03-0035,P013,L03,2024-01-02 13:47:00,2024-01-02 21:30:00,284
L03-0036,P017,L03,2024-01-02 12:08:00,2024-01-02 21:08:00,383
L03-0037,P023,L03,2024-01-02 11:34:00,2024-01-03 00:34:00,304
L03-0038,P020,L03,2024-01-02 12:56:00,2024-01-02 20:56:00,127
L03-0039,P021,L03,2024-01-02 15:24:00,2024-01-03 09:24:00,232
L03-0040,P017,L03,2024-01-02 23:08:00,2024-01-03 07:16:00,109
L03-0041,P010,L03,2024-01-02 10:47:00,2024-01-03 00:47:00,208
L01-0049,P011,L01,2024-01-03 10:20:00,2024-01-03 21:30:00,143
L01-0050,P014,L01,2024-01-03 12:31:00,2024-01-03 21:30:00,388
L01-0051,P004,L01,2024-01-03 13:33:00,2024-01-04 07:33:00,121
L01-0052,P016,L01,2024-01-03 18:44:00,2024-01-04 07:44:00,166
L01-0053,P010,L01,2024-01-03 17:31:00,2024-01-04 10:31:00,203
L01-0054,P010,L01,2024-01-03 22:03:00,2024-01-04 01:52:00,350
L01-0055,P006,L01,2024-01-03 22:16:00,2024-01-04 04:20:00,236
L01-0056,P015,L01,2024-01-03 08:03:00,2024-01-04 00:03:00,369
L01-0057,P001,L01,2024-01-03 06:42:00,2024-01-03 21:30:00,213
L01-0058,P005,L01,2024-01-03 11:14:00,2024-01-04 01:14:00,294
L01-0059,P007,L01,2024-01-03 07:30:00,2024-01-04 02:30:00,104
L01-0060,P008,L01,2024-01-03 19:25:00,2024-01-04 05:25:00,327
L01-0061,P008,L01,2024-01-03 15:45:00,2024-01-04 02:45:00,377
L01-0062,P003,L01,2024-01-03 23:40:00,2024-01-04 02:45:00,248
L01-0063,P004,L01,2024-01-03 15:09:00,2024-01-04 02:09:00,348
L01-0064,P002,L01,2024-01-03 19:33:00,2024-01-04 03:33:00,349
L01-0065,P010,L01,2024-01-03 15:08:00,2024-01-04 04:08:00,223
L01-0066,P006,L01,2024-01-03 10:04:00,2024-01-04 03:04:00,322
L01-0067,P010,L01,2024-01-03 12:28:00,2024-01-04 06:28:00,128
L01-0068,P010,L01,2024-01-03 09:54:00,2024-01-04 04:54:00,94
L01-0069,P012,L01,2024-01-03 08:17:00,2024-01-03 16:17:00,237
L01-0070,P009,L01,2024-01-03 16:29:00,2024-01-03 21:30:00,107
L01-0071,P011,L01,2024-01-03 17:50:00,2024-01-04 10:50:00,284
L01-0072,P010,L01,2024-01-03 11:40:00,2024-01-04 04:40:00,324
L01-0073,P011,L01,2024-01-03 23:21:00,2024-01-04 06:32:00,362
L01-0074,P010,L01,2024-01-03 10:19:00,2024-01-03 21:30:00,250
L02-0040,P021,L02,2024-01-03 08:18:00,2024-01-03 16:18:00,163
L02-0041,P007,L02,2024-01-03 06:41:00,2024-01-03 18:41:00,214
L02-0042,P023,L02,2024-01-03 10:33:00,2024-01-03 16:33:00,213
L02-0043,P005,L02,2024-01-03 09:31:00,2024-01-03 21:30:00,309
L02-0044,P018,L02,2024-01-03 19:52:00,2024-01-04 07:52:00,396
L02-0045,P002,L02,2024-01-03 16:30:00,2024-01-04 08:30:00,171
L02-0046,P022,L02,2024-01-03 19:27:00,2024-01-04 13:27:00,103
L02-0047,P007,L02,2024-01-03 07:48:00,2024-01-03 19:48:00,288
L02-0048,P006,L02,2024-01-03 13:25:00,2024-01-04 08:25:00,114
L02-0049,P018,L02,2024-01-03 19:49:00,2024-01-04 11:49:00,391
L02-0050,P008,L02,2024-01-03 16:00:00,2024-01-03 21:30:00,175
L02-0051,P022,L02,2024-01-03 06:57:00,2024-01-03 18:57:00,360
L02-0052,P017,L02,2024-01-03 19:19:00,2024-01-04 14:19:00,157
L02-0053,P017,L02,2024-01-03 11:38:00,2024-01-03 18:38:00,151
L02-0054,P002,L02,2024-01-03 13:15:00,2024-01-04 07:15:00,222
L02-0055,P001,L02,2024-01-03 23:03:00,2024-01-04 03:57:00,95
L02-0056,P007,L02,2024-01-03 23:40:00,2024-01-04 06:42:00,290
L02-0057,P024,L02,2024-01-03 16:44:00,2024-01-04 08:44:00,206
L02-0058,P023,L02,2024-01-03 23:54:00,2024-01-04 02:06:00,279
L02-0059,P019,L02,2024-01-03 12:00:00,2024-01-04 07:00:00,245
L02-0060,P019,L02,2024-01-03 13:01:00,2024-01-04 05:01:00,208
L02-0061,P007,L02,2024-01-03 14:40:00,2024-01-03 21:30:00,156
L03-0042,P021,L03,2024-01-03 22:34:00,2024-01-04 02:59:00,354
L03-0043,P022,L03,2024-01-03 15:03:00,2024-01-04 02:03:00,239
L03-0044,P023,L03,2024-01-03 18:20:00,2024-01-04 01:20:00,113
L03-0045,P013,L03,2024-01-03 22:21:00,2024-01-04 02:33:00,85
L03-0046,P020,L03,2024-01-03 19:38:00,2024-01-04 13:38:00,190
L03-0047,P018,L03,2024-01-03 18:57:00,2024-01-04 13:57:00,321
L03-0048,P016,L03,2024-01-03 19:17:00,2024-01-04 05:17:00,367
L03-0049,P015,L03,2024-01-03 13:19:00,2024-01-04 07:19:00,371
L03-0050,P010,L03,2024-01-03 19:44:00,2024-01-04 04:44:00,269
L03-0051,P013,L03,2024-01-03 06:17:00,2024-01-03 21:30:00,157
L03-0052,P017,L03,2024-01-03 08:09:00,2024-01-03 18:09:00,360
L03-0053,P023,L03,2024-01-03 06:33:00,2024-01-03 15:33:00,334
L03-0054,P022,L03,2024-01-03 14:26:00,2024-01-04 08:26:00,232
L03-0055,P012,L03,2024-01-03 14:40:00,2024-01-03 21:30:00,341
L03-0056,P019,L03,2024-01-03 09:47:00,2024-01-03 21:47:00,139
L03-0057,P010,L03,2024-01-03 10:06:00,2024-01-03 21:06:00,289
L03-0058,P019,L03,2024-01-03 16:30:00,2024-01-04 11:30:00,218
L03-0059,P014,L03,2024-01-03 23:57:00,2024-01-04 06:06:00,174
L03-0060,P016,L03,2024-01-03 06:34:00,2024-01-03 12:34:00,396
L03-0061,P020,L03,2024-01-03 12:47:00,2024-01-03 21:30:00,95
L03-0062,P015,L03,2024-01-03 22:38:00,2024-01-04 03:46:00,99
L03-0063,P021,L03,2024-01-03 12:12:00,2024-01-04 07:12:00,176
L03-0064,P017,L03,2024-01-03 09:24:00,2024-01-03 17:24:00,80
L03-0065,P024,L03,2024-01-03 22:51:00,2024-01-04 02:00:00,115
L03-0066,P019,L03,2024-01-03 13:01:00,2024-01-03 21:30:00,211
L03-0067,P013,L03,2024-01-03 12:28:00,2024-01-04 05:28:00,250
L03-0068,P021,L03,2024-01-03 09:35:00,2024-01-03 18:35:00,373
L03-0069,P015,L03,2024-01-03 12:20:00,2024-01-03 21:20:00,318
L01-0075,P006,L01,2024-01-04 18:46:00,2024-01-05 13:46:00,354
L01-0076,P008,L01,2024-01-04 09:55:00,2024-01-04 21:30:00,225
L01-0077,P008,L01,2024-01-04 18:59:00,2024-01-05 01:59:00,196
L01-0078,P014,L01,2024-01-04 08:19:00,2024-01-04 21:19:00,336
L01-0079,P012,L01,2024-01-04 10:12:00,2024-01-04 21:30:00,212
L01-0080,P004,L01,2024-01-04 17:04:00,2024-01-05 11:04:00,89
L01-0081,P003,L01,2024-01-04 11:01:00,2024-01-05 02:01:00,133
L01-0082,P010,L01,2024-01-04 17:42:00,2024-01-05 03:42:00,317
L01-0083,P001,L01,2024-01-04 07:53:00,2024-01-04 15:53:00,270
L01-0084,P006,L01,2024-01-04 23:08:00,2024-01-05 05:41:00,99
L01-0085,P003,L01,2024-01-04 08:07:00,2024-01-05 03:07:00,165
L01-0086,P001,L01,2024-01-04 22:33:00,2024-01-05 07:34:00,267
L01-0087,P015,L01,2024-01-04 23:53:00,2024-01-05 01:52:00,213
L01-0088,P002,L01,2024-01-04 13:10:00,2024-01-04 21:30:00,311
L01-0089,P001,L01,2024-01-04 06:07:00,2024-01-04 16:07:00,190
L01-0090,P015,L01,2024-01-04 15:11:00,2024-01-04 21:11:00,96
L01-0091,P004,L01,2024-01-04 14:50:00,2024-01-05 08:50:00,349
L01-0092,P014,L01,2024-01-04 09:11:00,2024-01-04 21:30:00,248
L01-0093,P001,L01,2024-01-04 11:31:00,2024-01-05 03:31:00,324
L01-0094,P003,L01,2024-01-04 13:43:00,2024-01-05 08:43:00,128
L01-0095,P002,L01,2024-01-04 11:56:00,2024-01-04 17:56:00,91
L01-0096,P012,L01,2024-01-04 17:25:00,2024-01-05 04:25:00,381
L01-0097,P010,L01,2024-01-04 07:39:00,2024-01-04 18:39:00,131
L01-0098,P008,L01,2024-01-04 23:21:00,2024-01-05 07:15:00,137
L01-0099,P004,L01,2024-01-04 18:51:00,2024-01-05 13:51:00,372
L01-0100,P002,L01,2024-01-04 10:28:00,2024-01-05 04:28:00,315
L01-0101,P010,L01,2024-01-04 15:22:00,2024-01-05 02:22:00,245
L01-0102,P004,L01,2024-01-04 15:43:00,2024-01-05 04:43:00,331
L01-0103,P010,L01,2024-01-04 12:06:00,2024-01-05 04:06:00,370
L01-0104,P011,L01,2024-01-04 18:47:00,2024-01-05 07:47:00,112
L01-0105,P014,L01,2024-01-04 12:44:00,2024-01-05 00:44:00,87
L01-0106,P008,L01,2024-01-04 19:22:00,2024-01-05 12:22:00,310
L01-0107,P001,L01,2024-01-04 14:23:00,2024-01-05 04:23:00,182
L01-0108,P005,L01,2024-01-04 13:34:00,2024-01-05 00:34:00,211
L01-0109,P014,L01,2024-01-04 14:56:00,2024-01-05 03:56:00,230
L01-0110,P009,L01,2024-01-04 10:22:00,2024-01-04 21:22:00,206
L01-0111,P010,L01,2024-01-04 22:09:00,2024-01-05 03:41:00,95
L02-0062,P006,L02,2024-01-04 18:06:00,2024-01-05 03:06:00,161
L02-0063,P004,L02,2024-01-04 10:45:00,2024-01-04 20:45:00,361
L02-0064,P002,L02,2024-01-04 07:59:00,2024-01-04 21:59:00,395
L02-0065,P008,L02,2024-01-04 14:04:00,2024-01-05 01:04:00,124
L02-0066,P021,L02,2024-01-04 09:33:00,2024-01-04 20:33:00,111
L02-0067,P018,L02,2024-01-04 16:37:00,2024-01-05 03:37:00,254
L02-0068,P023,L02,2024-01-04 07:15:00,2024-01-04 19:15:00,131
L02-0069,P006,L02,2024-01-04 11:35:00,2024-01-05 00:35:00,315
L02-0070,P005,L02,2024-01-04 17:22:00,2024-01-05 10:22:00,209
L02-0071,P008,L02,2024-01-04 06:46:00,2024-01-04 12:46:00,146
L02-0072,P004,L02,2024-01-04 11:07:00,2024-01-04 20:07:00,367
L02-0073,P024,L02,2024-01-04 22:15:00,2024-01-05 02:50:00,278
L02-0074,P003,L02,2024-01-04 08:03:00,2024-01-04 20:03:00,139
L02-0075,P008,L02,2024-01-04 09:08:00,2024-01-05 02:08:00,264
L02-0076,P017,L02,2024-01-04 18:32:00,2024-01-05 07:32:00,311
L02-0077,P001,L02,2024-01-04 09:17:00,2024-01-04 17:17:00,91
L02-0078,P008,L02,2024-01-04 19:00:00,2024-01-05 11:00:00,185
L02-0079,P008,L02,2024-01-04 13:27:00,2024-01-05 02:27:00,206
L02-0080,P005,L02,2024-01-04 13:21:00,2024-01-04 20:21:00,195
L02-0081,P003,L02,2024-01-04 07:05:00,2024-01-04 19:05:00,347
L02-0082,P001,L02,2024-01-04 19:22:00,2024-01-05 08:22:00,388
L02-0083,P001,L02,2024-01-04 08:52:00,2024-01-04 14:52:00,202
L02-0084,P008,L02,2024-01-04 07:00:00,2024-01-04 17:00:00,373
L02-0085,P002,L02,2024-01-04 14:58:00,2024-01-05 01:58:00,249
L02-0086,P024,L02,2024-01-04 13:50:00,2024-01-05 08:50:00,125
L02-0087,P004,L02,2024-01-04 17:22:00,2024-01-05 05:22:00,349
L02-0088,P019,L02,2024-01-04 08:40:00,2024-01-04 18:40:00,259
L03-0070,P009,L03,2024-01-04 22:23:00,2024-01-05 04:47:00,121
L03-0071,P019,L03,2024-01-04 17:37:00,2024-01-05 05:37:00,206
L03-0072,P018,L03,2024-01-04 15:19:00,2024-01-05 02:19:00,313
L03-0073,P009,L03,2024-01-04 10:39:00,2024-01-05 01:39:00,272
L03-0074,P021,L03,2024-01-04 14:57:00,2024-01-05 03:57:00,190
L03-0075,P019,L03,2024-01-04 07:40:00,2024-01-05 02:40:00,351
L03-0076,P021,L03,2024-01-04 23:26:00,2024-01-05 03:53:00,319
L03-0077,P022,L03,2024-01-04 16:27:00,2024-01-05 05:27:00,321
L03-0078,P012,L03,2024-01-04 15:21:00,2024-01-05 10:21:00,309
L03-0079,P012,L03,2024-01-04 11:23:00,2024-01-04 21:30:00,367
L03-0080,P023,L03,2024-01-04 13:35:00,2024-01-05 02:35:00,312
L03-0081,P017,L03,2024-01-04 18:11:00,2024-01-05 09:11:00,209
L03-0082,P016,L03,2024-01-04 10:27:00,2024-01-04 21:30:00,162
L03-0083,P013,L03,2024-01-04 22:19:00,2024-01-05 05:07:00,290
L03-0084,P019,L03,2024-01-04 10:01:00,2024-01-05 04:01:00,184
L03-0085,P021,L03,2024-01-04 08:46:00,2024-01-05 03:46:00,356
L03-0086,P009,L03,2024-01-04 18:40:00,2024-01-05 02:40:00,121
L03-0087,P017,L03,2024-01-04 16:08:00,2024-01-05 01:08:00,171
L03-0088,P024,L03,2024-01-04 18:54:00,2024-01-05 10:54:00,145
L03-0089,P013,L03,2024-01-04 13:42:00,2024-01-05 05:42:00,385
L01-0112,P005,L01,2024-01-05 12:48:00,2024-01-05 21:30:00,339
L01-0113,P011,L01,2024-01-05 09:57:00,2024-01-06 03:57:00,181
L01-0114,P002,L01,2024-01-05 17:01:00,2024-01-06 09:01:00,399
L01-0115,P006,L01,2024-01-05 16:06:00,2024-01-06 04:06:00,281
L01-0116,P012,L01,2024-01-05 12:36:00,2024-01-06 03:36:00,283
L01-0117,P016,L01,2024-01-05 10:27:00,2024-01-06 00:27:00,196
L01-0118,P009,L01,2024-01-05 11:39:00,2024-01-06 04:39:00,173
L01-0119,P007,L01,2024-01-05 18:21:00,2024-01-06 00:21:00,92
L01-0120,P008,L01,2024-01-05 10:08:00,2024-01-06 03:08:00,155
L01-0121,P011,L01,2024-01-05 07:36:00,2024-01-05 14:36:00,117
L01-0122,P009,L01,2024-01-05 11:17:00,2024-01-05 19:17:00,383
L01-0123,P001,L01,2024-01-05 08:24:00,2024-01-05 21:30:00,361
L01-0124,P009,L01,2024-01-05 19:37:00,2024-01-06 01:37:00,381
L01-0125,P007,L01,2024-01-05 07:14:00,2024-01-05 16:14:00,232
L01-0126,P012,L01,2024-01-05 18:27:00,2024-01-06 01:27:00,308
L01-0127,P015,L01,2024-01-05 17:09:00,2024-01-06 04:09:00,242
L01-0128,P016,L01,2024-01-05 13:17:00,2024-01-06 04:17:00,335
L01-0129,P010,L01,2024-01-05 15:01:00,2024-01-06 10:01:00,90
L01-0130,P006,L01,2024-01-05 23:41:00,2024-01-06 06:07:00,393
L01-0131,P008,L01,2024-01-05 10:27:00,2024-01-05 18:27:00,216
L01-0132,P003,L01,2024-01-05 22:40:00,2024-01-06 06:21:00,183
L01-0133,P015,L01,2024-01-05 17:54:00,2024-01-06 10:54:00,380
L01-0134,P014,L01,2024-01-05 11:14:00,2024-01-06 03:14:00,309
L01-0135,P014,L01,2024-01-05 17:13:00,2024-01-06 11:13:00,165
L01-0136,P006,L01,2024-01-05 08:54:00,2024-01-05 15:54:00,184
L01-0137,P006,L01,2024-01-05 08:16:00,2024-01-05 14:16:00,243
L01-0138,P014,L01,2024-01-05 22:05:00,2024-01-06 04:51:00,328
L01-0139,P009,L01,2024-01-05 22:39:00,2024-01-06 06:49:00,189
L01-0140,P012,L01,2024-01-05 22:03:00,2024-01-06 07:16:00,344
L02-0089,P001,L02,2024-01-05 11:37:00,2024-01-05 19:37:00,288
L02-0090,P002,L02,2024-01-05 23:45:00,2024-01-06 01:20:00,136
L02-0091,P007,L02,2024-01-05 06:49:00,2024-01-05 12:49:00,207
L02-0092,P007,L02,2024-01-05 17:08:00,2024-01-06 12:08:00,289
L02-0093,P017,L02,2024-01-05 18:23:00,2024-01-06 02:23:00,360
L02-0094,P020,L02,2024-01-05 19:52:00,2024-01-06 07:52:00,141
L02-0095,P018,L02,2024-01-05 12:39:00,2024-01-06 07:39:00,172
L02-0096,P005,L02,2024-01-05 06:33:00,2024-01-05 21:30:00,256
L02-0097,P006,L02,2024-01-05 11:42:00,2024-01-05 21:30:00,88
L02-0098,P021,L02,2024-01-05 23:36:00,2024-01-06 03:29:00,278
L02-0099,P004,L02,2024-01-05 09:15:00,2024-01-06 01:15:00,113
L02-0100,P017,L02,2024-01-05 17:09:00,2024-01-06 04:09:00,322
L02-0101,P017,L02,2024-01-05 09:09:00,2024-01-05 19:09:00,224
L02-0102,P021,L02,2024-01-05 13:50:00,2024-01-05 19:50:00,196
L02-0103,P020,L02,2024-01-05 06:35:00,2024-01-06 00:35:00,328
L02-0104,P008,L02,2024-01-05 15:50:00,2024-01-06 09:50:00,110
L02-0105,P005,L02,2024-01-05 12:50:00,2024-01-06 07:50:00,232
L03-0090,P009,L03,2024-01-05 18:20:00,2024-01-06 05:20:00,158
L03-0091,P016,L03,2024-01-05 06:20:00,2024-01-05 15:20:00,378
L03-0092,P012,L03,2024-01-05 14:48:00,2024-01-06 08:48:00,90
L03-0093,P013,L03,2024-01-05 23:45:00,2024-01-06 01:03:00,117
L03-0094,P019,L03,2024-01-05 11:07:00,2024-01-05 19:07:00,353
L03-0095,P009,L03,2024-01-05 07:49:00,2024-01-05 21:30:00,248
L03-0096,P012,L03,2024-01-05 12:02:00,2024-01-05 20:02:00,208
L03-0097,P023,L03,2024-01-05 12:56:00,2024-01-05 19:56:00,265
L03-0098,P010,L03,2024-01-05 18:10:00,2024-01-06 11:10:00,394
L03-0099,P015,L03,2024-01-05 13:29:00,2024-01-05 21:30:00,391
L03-0100,P012,L03,2024-01-05 17:23:00,2024-01-06 10:23:00,267
L03-0101,P010,L03,2024-01-05 23:19:00,2024-01-06 02:11:00,395
L03-0102,P015,L03,2024-01-05 07:01:00,2024-01-05 21:01:00,265
L03-0103,P017,L03,2024-01-05 11:26:00,2024-01-05 21:30:00,337
