account_id,segment,valid_from,valid_to
ACC00203,SMB,2020-01-01,2025-03-31
ACC00203,Mid-Market,2025-04-01,
ACC00204,SMB,2020-01-01,
ACC00205,SMB,2020-01-01,2025-03-31
ACC00205,Mid-Market,2025-04-01,
ACC00206,SMB,2020-01-01,
ACC00207,Mid-Market,2020-01-01,
ACC00208,SMB,2020-01-01,
ACC00209,SMB,2020-01-01,2025-03-31
ACC00209,Mid-Market,2025-04-01,
ACC00210,Enterprise,2020-01-01,
ACC00211,SMB,2020-01-01,
ACC00212,Mid-Market,2020-01-01,
ACC00213,SMB,2020-01-01,
ACC00214,SMB,2020-01-01,
ACC00215,SMB,2020-01-01,
ACC00216,SMB,2020-01-01,
ACC00217,Mid-Market,2020-01-01,
ACC00218,SMB,2020-01-01,
ACC00219,Mid-Market,2020-01-01,
ACC00220,Enterprise,2020-01-01,
ACC00221,Mid-Market,2020-01-01,
ACC00222,SMB,2020-01-01,
ACC00223,Enterprise,2020-01-01,
ACC00224,Mid-Market,2020-01-01,
ACC00225,Mid-Market,2020-01-01,
ACC00226,SMB,2020-01-01,
ACC00227,Enterprise,2020-01-01,
ACC00228,Mid-Market,2020-01-01,
ACC00229,SMB,2020-01-01,
ACC00230,SMB,2020-01-01,
ACC00231,SMB,2020-01-01,
ACC00232,SMB,2020-01-01,
ACC00233,SMB,2020-01-01,
ACC00234,SMB,2020-01-01,
ACC00235,SMB,2020-01-01,
ACC00236,Mid-Market,2020-01-01,
ACC00237,Mid-Market,2020-01-01,
ACC00238,SMB,2020-01-01,
ACC00239,SMB,2020-01-01,
ACC00240,SMB,2020-01-01,
ACC00241,SMB,2020-01-01,
ACC00242,Mid-Market,2020-01-01,
ACC00243,SMB,2020-01-01,
ACC00244,SMB,2020-01-01,2025-03-31
ACC00244,Mid-Market,2025-04-01,
ACC00245,Mid-Market,2020-01-01,
ACC00246,SMB,2020-01-01,
ACC00247,SMB,2020-01-01,
ACC00248,SMB,2020-01-01,
ACC00249,SMB,2020-01-01,
ACC00250,SMB,2020-01-01,
ACC00251,Enterprise,2020-01-01,
ACC00252,SMB,2020-01-01,2025-03-31
ACC00252,Mid-Market,2025-04-01,
ACC00253,Enterprise,2020-01-01,
ACC00254,SMB,2020-01-01,2025-03-31
ACC00254,Mid-Market,2025-04-01,
ACC00255,Mid-Market,2020-01-01,
ACC00256,Mid-Market,2020-01-01,
ACC00257,SMB,2020-01-01,2025-03-31
ACC00257,Mid-Market,2025-04-01,
ACC00258,Mid-Market,2020-01-01,
ACC00259,SMB,2020-01-01,
ACC00260,SMB,2020-01-01,
ACC00261,Mid-Market,2020-01-01,
ACC00262,Enterprise,2020-01-01,
ACC00263,SMB,2020-01-01,
ACC00264,Mid-Market,2020-01-01,
ACC00265,Mid-Market,2020-01-01,
ACC00266,SMB,2020-01-01,
ACC00267,SMB,2020-01-01,
ACC00268,SMB,2020-01-01,
ACC00269,SMB,2020-01-01,
ACC00270,Mid-Market,2020-01-01,
ACC00271,SMB,2020-01-01,2025-03-31
ACC00271,Mid-Market,2025-04-01,
ACC00272,Mid-Market,2020-01-01,
ACC00273,SMB,2020-01-01,
ACC00274,SMB,2020-01-01,2025-03-31
ACC00274,Mid-Market,2025-04-01,
ACC00275,SMB,2020-01-01,
ACC00276,SMB,2020-01-01,
ACC00277,Mid-Market,2020-01-01,
ACC00278,SMB,2020-01-01,
ACC00279,SMB,2020-01-01,2025-03-31
ACC00279,Mid-Market,2025-04-01,
ACC00280,SMB,2020-01-01,
ACC00281,SMB,2020-01-01,
ACC00282,Enterprise,2020-01-01,
ACC00283,SMB,2020-01-01,
ACC00284,SMB,2020-01-01,
ACC00285,Mid-Market,2020-01-01,
ACC00286,SMB,2020-01-01,
ACC00287,SMB,2020-01-01,
ACC00288,Mid-Market,2020-01-01,
ACC00289,SMB,2020-01-01,
ACC00290,SMB,2020-01-01,2025-03-31
ACC00290,Mid-Market,2025-04-01,
ACC00291,SMB,2020-01-01,
ACC00292,Enterprise,2020-01-01,
ACC00293,SMB,2020-01-01,
ACC00294,Mid-Market,2020-01-01,
ACC00295,SMB,2020-01-01,
ACC00296,SMB,2020-01-01,2025-03-31
ACC00296,Mid-Market,2025-04-01,
ACC00297,Mid-Market,2020-01-01,
ACC00298,SMB,2020-01-01,
ACC00299,SMB,2020-01-01,2025-03-31
ACC00299,Mid-Market,2025-04-01,
ACC00300,SMB,2020-01-01,
ACC00301,SMB,2020-01-01,
ACC00302,Mid-Market,2020-01-01,
ACC00303,SMB,2020-01-01,
ACC00304,SMB,2020-01-01,
ACC00305,Mid-Market,2020-01-01,
ACC00306,SMB,2020-01-01,
ACC00307,SMB,2020-01-01,
ACC00308,Mid-Market,2020-01-01,
ACC00309,SMB,2020-01-01,2025-03-31
ACC00309,Mid-Market,2025-04-01,
ACC00310,SMB,2020-01-01,
ACC00311,SMB,2020-01-01,2025-03-31
ACC00311,Mid-Market,2025-04-01,
ACC00312,SMB,2020-01-01,
ACC00313,SMB,2020-01-01,2025-03-31
ACC00313,Mid-Market,2025-04-01,
ACC00314,SMB,2020-01-01,
ACC00315,SMB,2020-01-01,
ACC00316,Mid-Market,2020-01-01,
ACC00317,SMB,2020-01-01,
ACC00318,SMB,2020-01-01,
ACC00319,SMB,2020-01-01,2025-03-31
ACC00319,Mid-Market,2025-04-01,
ACC00320,SMB,2020-01-01,
ACC00321,SMB,2020-01-01,
ACC00322,SMB,2020-01-01,
ACC00323,SMB,2020-01-01,
ACC00324,Enterprise,2020-01-01,
ACC00325,SMB,2020-01-01,
ACC00326,SMB,2020-01-01,2025-03-31
ACC00326,Mid-Market,2025-04-01,
ACC00327,SMB,2020-01-01,
ACC00328,SMB,2020-01-01,
ACC00329,SMB,2020-01-01,2025-03-31
ACC00329,Mid-Market,2025-04-01,
ACC00330,SMB,2020-01-01,
ACC00331,SMB,2020-01-01,
ACC00332,Mid-Market,2020-01-01,
ACC00333,Mid-Market,2020-01-01,
ACC00334,SMB,2020-01-01,
ACC00335,Mid-Market,2020-01-01,
ACC00336,SMB,2020-01-01,
ACC00337,Mid-Market,2020-01-01,
ACC00338,SMB,2020-01-01,
ACC00339,SMB,2020-01-01,
ACC00340,Mid-Market,2020-01-01,
ACC00341,SMB,2020-01-01,
ACC00342,SMB,2020-01-01,
ACC00343,Mid-Market,2020-01-01,
ACC00344,Mid-Market,2020-01-01,
ACC00345,SMB,2020-01-01,
ACC00346,SMB,2020-01-01,
ACC00347,SMB,2020-01-01,
ACC00348,SMB,2020-01-01,2025-03-31
ACC00348,Mid-Market,2025-04-01,
ACC00349,SMB,2020-01-01,
ACC00350,SMB,2020-01-01,
ACC00351,Enterprise,2020-01-01,
ACC00352,SMB,2020-01-01,
ACC00353,Enterprise,2020-01-01,
ACC00354,SMB,2020-01-01,
ACC00355,SMB,2020-01-01,
ACC00356,SMB,2020-01-01,
ACC00357,SMB,2020-01-01,2025-03-31
ACC00357,Mid-Market,2025-04-01,
ACC00358,SMB,2020-01-01,
ACC00359,SMB,2020-01-01,
ACC00360,SMB,2020-01-01,2025-03-31
ACC00360,Mid-Market,2025-04-01,
ACC00361,Mid-Market,2020-01-01,
ACC00362,SMB,2020-01-01,
ACC00363,SMB,2020-01-01,
ACC00364,SMB,2020-01-01,
ACC00365,Mid-Market,2020-01-01,
ACC00366,SMB,2020-01-01,
ACC00367,Mid-Market,2020-01-01,
ACC00368,Enterprise,2020-01-01,
ACC00369,SMB,2020-01-01,
ACC00370,SMB,2020-01-01,2025-03-31
ACC00370,Mid-Market,2025-04-01,
ACC00371,SMB,2020-01-01,
ACC00372,SMB,2020-01-01,
ACC00373,Mid-Market,2020-01-01,
ACC00374,SMB,2020-01-01,
ACC00375,Enterprise,2020-01-01,
ACC00376,SMB,2020-01-01,
ACC00377,Mid-Market,2020-01-01,
ACC00378,Enterprise,2020-01-01,
ACC00379,SMB,2020-01-01,
ACC00380,Mid-Market,2020-01-01,
ACC00381,SMB,2020-01-01,
ACC00382,SMB,2020-01-01,
ACC00383,SMB,2020-01-01,
ACC00384,SMB,2020-01-01,
ACC00385,Mid-Market,2020-01-01,
ACC00386,Mid-Market,2020-01-01,
ACC00387,Mid-Market,2020-01-01,
ACC00388,SMB,2020-01-01,
ACC00389,SMB,2020-01-01,
ACC00390,Mid-Market,2020-01-01,
ACC00391,Mid-Market,2020-01-01,
ACC00392,SMB,2020-01-01,
ACC00393,SMB,2020-01-01,
ACC00394,SMB,2020-01-01,2025-03-31
ACC00394,Mid-Market,2025-04-01,
ACC00395,Mid-Market,2020-01-01,
ACC00396,SMB,2020-01-01,
ACC00397,SMB,2020-01-01,
ACC00398,SMB,2020-01-01,2025-03-31
ACC00398,Mid-Market,2025-04-01,
ACC00399,SMB,2020-01-01,
ACC00400,SMB,2020-01-01,2025-03-31
ACC00400,Mid-Market,2025-04-01,
ACC00401,SMB,2020-01-01,
ACC00402,SMB,2020-01-01,
ACC00403,Mid-Market,2020-01-01,
ACC00404,Enterprise,2020-01-01,
ACC00405,SMB,2020-01-01,
ACC00406,SMB,2020-01-01,
ACC00407,SMB,2020-01-01,
ACC00408,SMB,2020-01-01,2025-03-31
ACC00408,Mid-Market,2025-04-01,
ACC00409,SMB,2020-01-01,2025-03-31
ACC00409,Mid-Market,2025-04-01,
ACC00410,SMB,2020-01-01,2025-03-31
ACC00410,Mid-Market,2025-04-01,
ACC00411,Mid-Market,2020-01-01,
ACC00412,SMB,2020-01-01,
ACC00413,Enterprise,2020-01-01,
ACC00414,SMB,2020-01-01,
ACC00415,SMB,2020-01-01,2025-03-31
ACC00415,Mid-Market,2025-04-01,
ACC00416,SMB,2020-01-01,
ACC00417,SMB,2020-01-01,
ACC00418,SMB,2020-01-01,
ACC00419,SMB,2020-01-01,
ACC00420,SMB,2020-01-01,
ACC00421,SMB,2020-01-01,
ACC00422,SMB,2020-01-01,
ACC00423,SMB,2020-01-01,
ACC00424,SMB,2020-01-01,
ACC00425,SMB,2020-01-01,
ACC00426,Mid-Market,2020-01-01,
ACC00427,SMB,2020-01-01,
ACC00428,SMB,2020-01-01,
ACC00429,Enterprise,2020-01-01,
ACC00430,SMB,2020-01-01,
ACC00431,SMB,2020-01-01,
ACC00432,SMB,2020-01-01,
ACC00433,Enterprise,2020-01-01,
ACC00434,SMB,2020-01-01,
ACC00435,Enterprise,2020-01-01,
ACC00436,Mid-Market,2020-01-01,
ACC00437,SMB,2020-01-01,2025-03-31
ACC00437,Mid-Market,2025-04-01,
ACC00438,Mid-Market,2020-01-01,
ACC00439,SMB,2020-01-01,
ACC00440,SMB,2020-01-01,
ACC00441,Mid-Market,2020-01-01,
ACC00442,SMB,2020-01-01,
ACC00443,SMB,2020-01-01,
ACC00444,Mid-Market,2020-01-01,
ACC00445,Mid-Market,2020-01-01,
ACC00446,SMB,2020-01-01,
ACC00447,SMB,2020-01-01,
ACC00448,SMB,2020-01-01,
ACC00449,Mid-Market,2020-01-01,
ACC00450,SMB,2020-01-01,
ACC00451,Mid-Market,2020-01-01,
ACC00452,SMB,2020-01-01,
ACC00453,SMB,2020-01-01,
ACC00454,Enterprise,2020-01-01,
ACC00455,SMB,2020-01-01,
ACC00456,SMB,2020-01-01,
ACC00457,Mid-Market,2020-01-01,
ACC00458,Enterprise,2020-01-01,
ACC00459,SMB,2020-01-01,
ACC00460,SMB,2020-01-01,
ACC00461,Enterprise,2020-01-01,
ACC00462,SMB,2020-01-01,
ACC00463,SMB,2020-01-01,
ACC00464,Mid-Market,2020-01-01,
ACC00465,SMB,2020-01-01,
ACC00466,Mid-Market,2020-01-01,
ACC00467,SMB,2020-01-01,
ACC00468,SMB,2020-01-01,
ACC00469,Mid-Market,2020-01-01,
ACC00470,Enterprise,2020-01-01,
ACC00471,SMB,2020-01-01,2025-03-31
ACC00471,Mid-Market,2025-04-01,
ACC00472,Enterprise,2020-01-01,
ACC00473,SMB,2020-01-01,2025-03-31
ACC00473,Mid-Market,2025-04-01,
ACC00474,SMB,2020-01-01,
ACC00475,SMB,2020-01-01,
ACC00476,Enterprise,2020-01-01,
ACC00477,Mid-Market,2020-01-01,
ACC00478,SMB,2020-01-01,
ACC00479,Mid-Market,2020-01-01,
ACC00480,SMB,2020-01-01,2025-03-31
ACC00480,Mid-Market,2025-04-01,
ACC00481,SMB,2020-01-01,
ACC00482,SMB,2020-01-01,
ACC00483,SMB,2020-01-01,
ACC00484,SMB,2020-01-01,
ACC00485,Mid-Market,2020-01-01,
ACC00486,SMB,2020-01-01,
ACC00487,SMB,2020-01-01,
ACC00488,SMB,2020-01-01,
ACC00489,SMB,2020-01-01,
ACC00490,Enterprise,2020-01-01,
ACC00491,SMB,2020-01-01,
ACC00492,SMB,2020-01-01,
ACC00493,SMB,2020-01-01,2025-03-31
ACC00493,Mid-Market,2025-04-01,
ACC00494,SMB,2020-01-01,
ACC00495,Mid-Market,2020-01-01,
ACC00496,SMB,2020-01-01,
ACC00497,Mid-Market,2020-01-01,
ACC00498,Enterprise,2020-01-01,
ACC00499,SMB,2020-01-01,
ACC00500,SMB,2020-01-01,
ACC00501,SMB,2020-01-01,2025-03-31
ACC00501,Mid-Market,2025-04-01,
ACC00502,SMB,2020-01-01,2025-03-31
ACC00502,Mid-Market,2025-04-01,
ACC00503,SMB,2020-01-01,
ACC00504,SMB,2020-01-01,
ACC00505,SMB,2020-01-01,
ACC00506,Mid-Market,2020-01-01,
ACC00507,SMB,2020-01-01,
ACC00508,SMB,2020-01-01,
ACC00509,Mid-Market,2020-01-01,
ACC00510,Mid-Market,2020-01-01,
ACC00511,SMB,2020-01-01,2025-03-31
ACC00511,Mid-Market,2025-04-01,
ACC00512,SMB,2020-01-01,
ACC00513,SMB,2020-01-01,
ACC00514,SMB,2020-01-01,
ACC00515,SMB,2020-01-01,
ACC00516,SMB,2020-01-01,
ACC00517,Mid-Market,2020-01-01,
ACC00518,Mid-Market,2020-01-01,
ACC00519,Mid-Market,2020-01-01,
ACC00520,SMB,2020-01-01,2025-03-31
ACC00520,Mid-Market,2025-04-01,
ACC00521,SMB,2020-01-01,
ACC00522,SMB,2020-01-01,
ACC00523,SMB,2020-01-01,
ACC00524,Enterprise,2020-01-01,
ACC00525,SMB,2020-01-01,
ACC00526,SMB,2020-01-01,
ACC00527,SMB,2020-01-01,
ACC00528,Enterprise,2020-01-01,
ACC00529,Enterprise,2020-01-01,
ACC00530,SMB,2020-01-01,
ACC00531,SMB,2020-01-01,
ACC00532,SMB,2020-01-01,
ACC00533,SMB,2020-01-01,
ACC00534,Enterprise,2020-01-01,
ACC00535,Enterprise,2020-01-01,
ACC00536,Enterprise,2020-01-01,
ACC00537,SMB,2020-01-01,
ACC00538,Mid-Market,2020-01-01,
ACC00539,SMB,2020-01-01,
ACC00540,Mid-Market,2020-01-01,
ACC00541,Enterprise,2020-01-01,
ACC00542,SMB,2020-01-01,
ACC00543,SMB,2020-01-01,
ACC00544,SMB,2020-01-01,
ACC00545,SMB,2020-01-01,
ACC00546,Mid-Market,2020-01-01,
ACC00547,SMB,2020-01-01,
ACC00548,Enterprise,2020-01-01,
ACC00549,SMB,2020-01-01,
ACC00550,Mid-Market,2020-01-01,
ACC00551,SMB,2020-01-01,
ACC00552,Mid-Market,2020-01-01,
ACC00553,SMB,2020-01-01,
ACC00554,Mid-Market,2020-01-01,
ACC00555,SMB,2020-01-01,
ACC00556,Mid-Market,2020-01-01,
ACC00557,Enterprise,2020-01-01,
ACC00558,SMB,2020-01-01,
ACC00559,SMB,2020-01-01,
ACC00560,SMB,2020-01-01,
ACC00561,SMB,2020-01-01,
ACC00562,SMB,2020-01-01,
ACC00563,Mid-Market,2020-01-01,
ACC00564,SMB,2020-01-01,
ACC00565,SMB,2020-01-01,
ACC00566,Mid-Market,2020-01-01,
ACC00567,Enterprise,2020-01-01,
ACC00568,SMB,2020-01-01,
ACC00569,Mid-Market,2020-01-01,
ACC00570,Mid-Market,2020-01-01,
ACC00571,SMB,2020-01-01,
ACC00572,Mid-Market,2020-01-01,
ACC00573,Mid-Market,2020-01-01,
ACC00574,SMB,2020-01-01,
ACC00575,Enterprise,2020-01-01,
ACC00576,SMB,2020-01-01,
ACC00577,SMB,2020-01-01,2025-03-31
ACC00577,Mid-Market,2025-04-01,
ACC00578,SMB,2020-01-01,
ACC00579,SMB,2020-01-01,2025-03-31
ACC00579,Mid-Market,2025-04-01,
ACC00580,SMB,2020-01-01,
ACC00581,Mid-Market,2020-01-01,
ACC00582,SMB,2020-01-01,
ACC00583,SMB,2020-01-01,
ACC00584,SMB,2020-01-01,
ACC00585,SMB,2020-01-01,
ACC00586,Enterprise,2020-01-01,
ACC00587,SMB,2020-01-01,
ACC00588,SMB,2020-01-01,
ACC00589,SMB,2020-01-01,
ACC00590,SMB,2020-01-01,2025-03-31
ACC00590,Mid-Market,2025-04-01,
ACC00591,SMB,2020-01-01,2025-03-31
ACC00591,Mid-Market,2025-04-01,
ACC00592,SMB,2020-01-01,
ACC00593,Enterprise,2020-01-01,
ACC00594,SMB,2020-01-01,
ACC00595,SMB,2020-01-01,
ACC00596,SMB,2020-01-01,
ACC00597,SMB,2020-01-01,
ACC00598,SMB,2020-01-01,
ACC00599,Mid-Market,2020-01-01,
ACC00600,SMB,2020-01-01,2025-03-31
ACC00600,Mid-Market,2025-04-01,
ACC00601,Enterprise,2020-01-01,
ACC00602,SMB,2020-01-01,
ACC00603,SMB,2020-01-01,
ACC00604,SMB,2020-01-01,
ACC00605,Mid-Market,2020-01-01,
ACC00606,SMB,2020-01-01,
ACC00607,SMB,2020-01-01,
ACC00608,SMB,2020-01-01,
ACC00609,SMB,2020-01-01,
ACC00610,Mid-Market,2020-01-01,
ACC00611,SMB,2020-01-01,
ACC00612,SMB,2020-01-01,2025-03-31
ACC00612,Mid-Market,2025-04-01,
ACC00613,SMB,2020-01-01,
ACC00614,SMB,2020-01-01,
ACC00615,SMB,2020-01-01,
ACC00616,SMB,2020-01-01,2025-03-31
ACC00616,Mid-Market,2025-04-01,
ACC00617,SMB,2020-01-01,
ACC00618,Enterprise,2020-01-01,
ACC00619,SMB,2020-01-01,
ACC00620,Mid-Market,2020-01-01,
ACC00621,SMB,2020-01-01,
ACC00622,Enterprise,2020-01-01,
ACC00623,SMB,2020-01-01,
ACC00624,SMB,2020-01-01,
ACC00625,SMB,2020-01-01,
ACC00626,SMB,2020-01-01,
ACC00627,SMB,2020-01-01,2025-03-31
ACC00627,Mid-Market,2025-04-01,
ACC00628,Mid-Market,2020-01-01,
ACC00629,Mid-Market,2020-01-01,
ACC00630,SMB,2020-01-01,
ACC00631,SMB,2020-01-01,
ACC00632,Mid-Market,2020-01-01,
ACC00633,SMB,2020-01-01,
ACC00634,SMB,2020-01-01,
ACC00635,SMB,2020-01-01,
ACC00636,SMB,2020-01-01,2025-03-31
ACC00636,Mid-Market,2025-04-01,
ACC00637,SMB,2020-01-01,
ACC00638,SMB,2020-01-01,
ACC00639,SMB,2020-01-01,
ACC00640,SMB,2020-01-01,2025-03-31
ACC00640,Mid-Market,2025-04-01,
ACC00641,Mid-Market,2020-01-01,
ACC00642,SMB,2020-01-01,
ACC00643,SMB,2020-01-01,
ACC00644,SMB,2020-01-01,
ACC00645,Mid-Market,2020-01-01,
ACC00646,SMB,2020-01-01,
ACC00647,SMB,2020-01-01,2025-03-31
ACC00647,Mid-Market,2025-04-01,
