account_id,current_segment,billing_currency,monthly_recurring_revenue,signup_date,status,is_test_account
ACC00113,smb,EUR,121.81,2018-10-14,active,False
ACC00114,mid_market,EUR,3055.35,2023-05-10,active,False
ACC00115,smb,USD,199.78,2020-01-08,active,False
ACC00116,smb,USD,81.8,2023-05-11,active,False
ACC00117,mid_market,GBP,274.08,2021-09-25,active,False
ACC00118,smb,USD,254.01,2024-12-25,active,False
ACC00119,smb,USD,135.57,2021-09-03,active,False
ACC00120,smb,USD,244.56,2024-01-27,active,False
ACC00121,smb,USD,290.8,2023-12-14,active,False
ACC00122,smb,USD,340.89,2019-06-26,active,False
ACC00123,smb,USD,301.08,2024-12-21,active,False
ACC00124,smb,USD,168.05,2023-03-22,active,False
ACC00125,mid_market,USD,1484.33,2018-10-02,active,False
ACC00126,smb,USD,247.61,2018-01-16,active,False
ACC00127,smb,USD,290.97,2019-11-25,active,False
ACC00128,smb,USD,88.6,2018-02-11,active,False
ACC00129,mid_market,USD,1413.95,2020-07-03,active,False
ACC00130,smb,GBP,176.96,2024-12-21,active,False
ACC00131,smb,USD,142.97,2021-05-09,active,False
ACC00132,smb,USD,273.87,2018-03-03,active,False
ACC00133,mid_market,EUR,1966.64,2021-06-16,active,False
ACC00134,smb,USD,234.26,2019-07-15,active,False
ACC00135,smb,USD,262.09,2023-12-29,active,False
ACC00136,mid_market,USD,3051.48,2018-08-20,active,False
ACC00137,smb,USD,228.94,2023-05-24,active,False
ACC00138,smb,GBP,361.31,2021-02-13,active,False
ACC00139,smb,USD,331.76,2018-02-18,active,False
ACC00140,smb,USD,251.14,2022-09-17,active,False
ACC00141,smb,USD,353.09,2021-03-09,active,False
ACC00142,mid_market,USD,252.07,2023-05-27,active,False
ACC00143,smb,USD,223.46,2022-04-29,active,False
ACC00144,mid_market,GBP,3077.56,2023-07-06,active,False
ACC00145,smb,USD,362.88,2021-03-22,active,False
ACC00146,smb,USD,254.94,2018-01-21,active,False
ACC00147,smb,USD,259.98,2018-11-30,active,False
ACC00148,smb,USD,182.52,2021-03-18,active,False
ACC00149,enterprise,EUR,37213.22,2020-10-12,active,False
ACC00150,smb,USD,355.21,2023-07-24,active,False
ACC00151,smb,USD,86.73,2020-11-18,active,False
ACC00152,mid_market,USD,3071.56,2024-01-08,active,False
ACC00153,smb,USD,205.57,2019-04-25,active,False
ACC00154,smb,USD,275.89,2020-09-10,active,False
ACC00155,smb,USD,309.97,2023-04-18,active,False
ACC00156,smb,USD,130.64,2018-11-14,active,False
ACC00157,mid_market,USD,378.39,2020-04-01,active,False
ACC00158,mid_market,USD,335.17,2023-04-06,active,False
ACC00159,smb,USD,263.77,2022-02-14,active,False
ACC00160,smb,USD,197.88,2023-06-12,active,False
ACC00161,smb,USD,345.26,2021-08-11,active,False
ACC00162,mid_market,USD,2867.77,2024-01-06,active,False
ACC00163,mid_market,GBP,299.86,2024-02-21,active,False
ACC00164,mid_market,USD,3705.12,2024-10-26,active,False
ACC00165,enterprise,GBP,22601.95,2018-11-08,active,False
ACC00166,smb,USD,361.29,2022-02-20,active,False
ACC00167,mid_market,USD,250.02,2018-10-20,active,False
ACC00168,smb,USD,103.23,2019-08-09,active,False
ACC00169,smb,USD,120.45,2020-02-07,active,False
ACC00170,smb,USD,203.78,2022-07-10,active,False
ACC00171,smb,USD,208.8,2021-01-07,active,False
ACC00172,smb,USD,179.64,2024-01-20,active,False
ACC00173,smb,USD,358.2,2020-02-03,active,False
ACC00174,smb,EUR,226.75,2022-04-27,active,False
ACC00175,enterprise,EUR,9519.43,2023-05-05,active,False
ACC00176,smb,USD,205.72,2024-11-10,active,False
ACC00177,smb,USD,313.83,2019-09-19,active,False
ACC00178,mid_market,USD,3897.75,2023-02-19,active,False
ACC00179,mid_market,USD,1685.74,2018-08-05,active,False
ACC00180,smb,USD,147.69,2021-10-21,active,False
ACC00181,enterprise,GBP,19557.55,2020-11-23,active,False
ACC00182,enterprise,GBP,20449.51,2024-09-16,active,False
ACC00183,smb,USD,285.56,2023-05-31,active,False
ACC00184,mid_market,USD,1222.86,2024-06-28,active,False
ACC00185,smb,USD,254.98,2023-12-15,active,False
ACC00186,mid_market,USD,360.94,2020-11-15,active,False
ACC00187,smb,USD,180.5,2023-02-18,active,False
ACC00188,mid_market,USD,1887.41,2018-03-19,active,False
ACC00189,mid_market,USD,1645.81,2021-11-26,active,False
ACC00190,smb,USD,91.79,2018-05-01,active,False
ACC00191,smb,USD,384.94,2023-01-26,active,False
ACC00192,smb,USD,236.47,2024-10-06,active,False
ACC00193,mid_market,USD,3066.94,2022-10-08,active,False
ACC00194,mid_market,USD,1683.62,2023-11-17,active,False
ACC00195,mid_market,USD,2333.01,2019-08-23,active,False
ACC00196,enterprise,GBP,36707.52,2024-12-15,active,False
ACC00197,mid_market,EUR,1389.46,2021-11-08,active,False
ACC00198,smb,USD,134.22,2022-09-20,active,False
ACC00199,mid_market,EUR,3724.26,2023-05-24,active,False
ACC00200,smb,USD,175.43,2022-06-23,active,False
ACC00201,mid_market,USD,251.6,2020-03-21,active,False
ACC00202,smb,USD,255.48,2022-04-12,active,False
ACC00203,mid_market,USD,105.35,2022-07-30,active,False
ACC00204,smb,EUR,216.26,2024-01-01,active,False
ACC00205,mid_market,USD,194.02,2021-05-15,active,False
ACC00206,smb,USD,382.4,2021-07-06,active,False
ACC00207,mid_market,USD,1181.0,2021-07-10,active,False
ACC00208,smb,USD,255.81,2018-10-20,active,False
ACC00209,mid_market,USD,91.03,2018-08-19,active,False
ACC00210,enterprise,USD,16345.94,2018-02-22,active,False
ACC00211,smb,USD,149.15,2022-08-30,active,False
ACC00212,mid_market,EUR,3537.39,2020-12-06,active,False
ACC00213,smb,USD,204.77,2024-01-22,active,False
ACC00214,smb,USD,399.96,2022-11-30,active,False
ACC00215,smb,USD,251.95,2018-12-28,active,False
ACC00216,smb,USD,182.82,2018-09-13,active,False
ACC00217,mid_market,USD,2534.67,2020-07-24,active,False
ACC00218,smb,USD,387.01,2024-06-11,active,False
ACC00219,mid_market,USD,2685.31,2018-05-05,active,False
ACC00220,enterprise,USD,32479.59,2019-04-24,active,False
ACC00221,mid_market,EUR,1104.51,2018-03-17,active,False
ACC00222,smb,USD,290.62,2020-11-23,active,False
ACC00223,enterprise,GBP,14594.92,2024-12-04,active,False
ACC00224,mid_market,EUR,2276.74,2022-10-14,active,False
ACC00225,mid_market,USD,1137.99,2021-06-15,active,False
ACC00226,smb,USD,170.48,2019-01-05,active,False
ACC00227,enterprise,EUR,31960.04,2020-06-27,active,False
ACC00228,mid_market,USD,3976.49,2021-09-02,active,False
ACC00229,smb,USD,271.8,2019-12-04,active,True
ACC00230,smb,USD,346.4,2022-12-08,active,False
ACC00231,smb,USD,308.96,2024-11-09,active,False
ACC00232,smb,USD,83.09,2019-06-11,active,False
ACC00233,smb,USD,108.65,2019-10-07,active,False
ACC00234,smb,USD,151.6,2018-11-19,active,False
ACC00235,smb,USD,361.62,2023-01-29,active,False
ACC00236,mid_market,EUR,3084.62,2021-03-26,active,False
ACC00237,mid_market,USD,954.78,2019-12-27,active,False
ACC00238,smb,USD,285.52,2019-07-15,active,False
ACC00239,smb,USD,231.26,2018-06-30,active,False
ACC00240,smb,USD,156.78,2021-05-02,active,False
ACC00241,smb,USD,213.88,2022-10-13,active,False
ACC00242,mid_market,USD,3858.62,2019-08-24,active,False
ACC00243,smb,USD,313.97,2018-01-05,active,False
ACC00244,mid_market,USD,116.32,2021-04-24,active,False
ACC00245,mid_market,USD,2342.75,2022-09-24,active,False
ACC00246,smb,USD,92.29,2020-05-31,active,False
ACC00247,smb,USD,384.89,2019-10-02,active,False
ACC00248,smb,USD,148.09,2019-01-30,active,False
ACC00249,smb,USD,330.02,2023-03-23,active,False
ACC00250,smb,USD,136.75,2024-01-12,active,False
ACC00251,enterprise,GBP,19311.2,2023-05-22,active,False
ACC00252,mid_market,USD,203.94,2021-08-17,active,False
ACC00253,enterprise,EUR,23364.56,2023-01-25,active,False
ACC00254,mid_market,USD,215.86,2020-10-11,active,False
ACC00255,mid_market,GBP,2409.26,2018-03-04,active,False
ACC00256,mid_market,GBP,2560.41,2020-07-28,active,False
ACC00257,mid_market,USD,173.95,2022-12-04,active,False
ACC00258,mid_market,EUR,1645.83,2022-07-13,active,False
ACC00259,smb,USD,131.43,2024-12-05,active,False
ACC00260,smb,USD,383.06,2024-12-24,active,False
ACC00261,mid_market,GBP,3239.14,2019-09-13,active,False
ACC00262,enterprise,USD,36766.25,2018-01-25,active,False
ACC00263,smb,USD,186.32,2019-12-02,active,False
ACC00264,mid_market,USD,2917.63,2024-02-18,active,False
ACC00265,mid_market,USD,2404.93,2023-09-11,active,False
ACC00266,smb,USD,140.23,2018-09-10,active,False
ACC00267,smb,USD,250.41,2019-02-14,active,False
ACC00268,smb,USD,388.63,2021-12-11,active,False
ACC00269,smb,USD,278.89,2022-08-16,active,False
ACC00270,mid_market,USD,2730.2,2024-11-15,active,False
ACC00271,mid_market,USD,99.0,2023-04-14,active,False
ACC00272,mid_market,EUR,3092.28,2019-06-26,active,False
ACC00273,smb,USD,358.52,2018-04-05,active,False
ACC00274,mid_market,USD,196.05,2022-06-08,active,False
ACC00275,smb,USD,98.93,2021-11-16,active,False
ACC00276,smb,USD,227.87,2024-06-14,active,False
ACC00277,mid_market,USD,1405.85,2022-01-11,active,False
ACC00278,smb,USD,329.76,2021-07-05,active,False
ACC00279,mid_market,USD,202.54,2020-02-15,active,False
ACC00280,smb,USD,115.49,2018-08-09,active,False
ACC00281,smb,USD,205.21,2024-02-18,active,False
ACC00282,enterprise,USD,18676.32,2023-10-13,active,False
ACC00283,smb,EUR,242.4,2019-02-20,active,False
ACC00284,smb,USD,121.37,2022-12-05,active,False
ACC00285,mid_market,USD,3828.95,2020-07-19,active,False
ACC00286,smb,USD,287.49,2021-01-22,active,False
ACC00287,smb,EUR,256.25,2023-12-10,active,False
ACC00288,mid_market,USD,2502.24,2023-11-23,active,False
ACC00289,smb,USD,115.96,2019-05-03,active,False
ACC00290,mid_market,USD,362.95,2020-02-26,active,False
ACC00291,smb,USD,175.47,2023-10-01,active,False
ACC00292,enterprise,USD,29858.45,2024-06-01,active,False
ACC00293,smb,USD,175.72,2018-07-22,active,False
ACC00294,mid_market,USD,3533.57,2023-11-01,active,False
ACC00295,smb,USD,372.49,2021-06-04,active,False
ACC00296,mid_market,USD,118.5,2022-02-17,active,False
ACC00297,mid_market,USD,1746.45,2018-07-12,active,False
ACC00298,smb,USD,91.72,2022-10-05,active,False
ACC00299,mid_market,USD,369.98,2022-09-29,active,False
ACC00300,smb,EUR,288.04,2022-08-21,active,False
ACC00301,smb,EUR,104.21,2023-07-14,active,False
ACC00302,mid_market,USD,827.89,2024-08-15,active,False
ACC00303,smb,GBP,368.87,2023-12-13,active,False
ACC00304,smb,USD,85.8,2023-03-19,active,False
ACC00305,mid_market,USD,1627.32,2024-11-13,active,False
ACC00306,smb,USD,131.36,2022-09-21,active,False
ACC00307,smb,USD,257.43,2022-09-14,active,False
ACC00308,mid_market,USD,1266.3,2021-10-17,active,False
ACC00309,mid_market,GBP,277.76,2023-05-20,active,False
ACC00310,smb,USD,198.76,2018-07-02,active,False
ACC00311,mid_market,USD,342.78,2021-07-16,active,False
ACC00312,smb,USD,277.18,2020-12-23,active,False
ACC00313,mid_market,USD,175.77,2024-05-21,active,False
ACC00314,smb,USD,209.42,2018-07-05,active,False
ACC00315,smb,USD,399.41,2022-07-04,active,False
ACC00316,mid_market,GBP,2440.38,2019-04-17,active,False
ACC00317,smb,USD,367.14,2024-03-08,active,False
ACC00318,smb,GBP,329.15,2023-12-18,active,False
ACC00319,mid_market,USD,183.24,2019-08-25,active,False
ACC00320,smb,USD,325.87,2024-02-07,active,False
ACC00321,smb,USD,293.74,2021-06-23,active,False
ACC00322,smb,USD,209.04,2024-10-17,active,False
ACC00323,smb,USD,174.01,2023-02-09,active,False
ACC00324,enterprise,GBP,31238.67,2018-03-30,active,False
ACC00325,smb,USD,182.36,2019-06-03,active,False
ACC00326,mid_market,USD,114.08,2020-10-28,active,False
ACC00327,smb,USD,213.55,2019-06-25,active,False
ACC00328,smb,USD,383.26,2018-12-05,active,False
ACC00329,mid_market,USD,95.66,2024-11-04,active,False
ACC00330,smb,USD,242.84,2024-01-31,active,False
ACC00331,smb,USD,363.82,2021-01-15,active,False
ACC00332,mid_market,USD,1172.25,2019-07-04,active,False
ACC00333,mid_market,USD,2390.15,2019-04-10,active,False
ACC00334,smb,EUR,263.24,2024-05-29,active,False
ACC00335,mid_market,USD,898.95,2020-04-27,active,False
ACC00336,smb,USD,184.69,2018-02-02,active,False
ACC00337,mid_market,EUR,3021.56,2020-10-12,active,False
ACC00338,smb,USD,100.41,2021-03-07,active,True
ACC00339,smb,USD,181.48,2022-05-12,active,False
ACC00340,mid_market,EUR,3423.3,2020-05-15,active,False
ACC00341,smb,USD,249.03,2024-06-17,active,False
ACC00342,smb,USD,148.56,2022-07-03,active,False
ACC00343,mid_market,EUR,3338.87,2024-11-26,active,False
ACC00344,mid_market,EUR,1255.64,2020-07-27,active,False
ACC00345,smb,USD,215.27,2022-07-24,active,False
ACC00346,smb,GBP,289.3,2020-07-22,active,False
ACC00347,smb,USD,126.51,2022-11-25,active,False
ACC00348,mid_market,USD,326.91,2023-03-21,active,False
ACC00349,smb,USD,282.4,2020-04-02,active,False
ACC00350,smb,USD,397.42,2024-07-24,active,False
ACC00351,enterprise,USD,37931.16,2023-12-31,active,False
ACC00352,smb,USD,229.76,2024-04-05,active,False
ACC00353,enterprise,EUR,16491.73,2019-07-11,active,False
ACC00354,smb,EUR,371.68,2023-01-09,active,False
ACC00355,smb,EUR,399.01,2018-09-29,active,False
ACC00356,smb,USD,224.54,2018-09-27,active,False
ACC00357,mid_market,USD,87.62,2024-10-23,active,False
ACC00358,smb,USD,239.13,2019-01-26,active,False
ACC00359,smb,USD,199.69,2024-01-18,active,False
ACC00360,mid_market,USD,90.15,2021-01-06,active,False
ACC00361,mid_market,USD,2106.73,2020-02-16,active,False
ACC00362,smb,USD,159.14,2018-07-07,active,False
ACC00363,smb,USD,181.69,2022-09-22,active,False
ACC00364,smb,USD,115.64,2023-01-18,active,False
ACC00365,mid_market,USD,1312.14,2021-04-08,active,False
ACC00366,smb,USD,256.81,2023-09-02,active,False
ACC00367,mid_market,USD,2167.76,2020-04-05,active,False
ACC00368,enterprise,EUR,13790.48,2021-11-11,active,False
ACC00369,smb,USD,199.37,2020-01-03,active,False
ACC00370,mid_market,USD,219.14,2022-01-28,active,False
ACC00371,smb,USD,216.32,2018-12-14,active,False
ACC00372,smb,USD,167.58,2021-05-02,active,False
ACC00373,mid_market,USD,2527.74,2021-11-05,active,False
ACC00374,smb,USD,326.12,2021-11-23,active,False
ACC00375,enterprise,EUR,14275.85,2021-02-15,active,False
ACC00376,smb,USD,98.17,2022-07-03,active,False
ACC00377,mid_market,USD,3541.17,2021-08-02,active,False
ACC00378,enterprise,EUR,11772.02,2019-12-25,active,False
ACC00379,smb,USD,272.01,2019-07-05,active,False
ACC00380,mid_market,USD,2895.79,2022-07-14,active,False
ACC00381,smb,USD,187.0,2024-07-27,active,False
ACC00382,smb,USD,343.47,2023-04-10,active,False
ACC00383,smb,USD,316.31,2022-06-21,active,False
ACC00384,smb,USD,109.4,2024-06-13,active,False
ACC00385,mid_market,USD,2424.6,2024-04-18,active,False
ACC00386,mid_market,USD,3411.97,2021-07-18,active,False
ACC00387,mid_market,GBP,3317.69,2018-10-07,active,False
ACC00388,smb,USD,253.26,2022-06-10,active,False
ACC00389,smb,USD,172.11,2022-05-12,active,False
ACC00390,mid_market,EUR,3541.91,2019-12-10,active,False
ACC00391,mid_market,USD,3689.02,2023-12-12,active,False
ACC00392,smb,USD,215.84,2024-02-02,active,False
ACC00393,smb,USD,118.54,2020-04-25,active,False
ACC00394,mid_market,USD,191.32,2021-05-03,active,False
ACC00395,mid_market,USD,1924.62,2019-05-14,active,False
ACC00396,smb,EUR,161.51,2019-04-01,active,False
ACC00397,smb,USD,283.14,2019-11-09,active,False
ACC00398,mid_market,USD,312.82,2020-07-23,active,False
ACC00399,smb,USD,392.88,2019-11-29,active,False
ACC00400,mid_market,USD,96.71,2019-01-23,active,False
ACC00401,smb,USD,108.21,2021-02-17,active,False
ACC00402,smb,EUR,298.9,2022-05-13,active,False
ACC00403,mid_market,USD,1441.54,2020-04-13,active,False
ACC00404,enterprise,GBP,14449.79,2021-09-25,active,False
ACC00405,smb,USD,324.26,2019-11-25,active,False
ACC00406,smb,USD,241.57,2022-12-05,active,False
ACC00407,smb,USD,201.26,2022-07-16,active,False
ACC00408,mid_market,EUR,301.8,2024-09-19,active,False
ACC00409,mid_market,USD,252.99,2018-05-16,active,False
ACC00410,mid_market,USD,308.12,2023-12-21,active,False
ACC00411,mid_market,USD,1365.92,2020-05-19,active,False
ACC00412,smb,USD,283.15,2018-06-18,active,False
ACC00413,enterprise,GBP,15783.07,2022-10-30,active,False
ACC00414,smb,USD,201.46,2019-03-15,active,False
ACC00415,mid_market,USD,142.44,2019-03-26,active,False
ACC00416,smb,USD,193.33,2024-11-08,active,False
ACC00417,smb,USD,151.3,2019-07-19,active,False
ACC00418,smb,USD,329.93,2021-10-30,active,False
ACC00419,smb,USD,382.43,2019-05-28,active,False
ACC00420,smb,USD,122.54,2018-11-13,active,False
ACC00421,smb,USD,304.45,2018-01-03,active,False
ACC00422,smb,USD,257.3,2018-02-11,active,False
ACC00423,smb,USD,257.31,2021-04-25,active,False
ACC00424,smb,USD,391.3,2021-01-14,active,False
ACC00425,smb,USD,287.43,2018-04-10,active,False
ACC00426,mid_market,USD,1816.18,2020-06-12,active,False
ACC00427,smb,USD,396.12,2019-11-29,active,False
ACC00428,smb,USD,332.89,2021-12-31,active,False
ACC00429,enterprise,USD,33739.24,2024-12-17,active,False
ACC00430,smb,USD,389.49,2022-11-03,active,False
ACC00431,smb,USD,108.84,2024-06-05,active,False
ACC00432,smb,USD,273.16,2019-05-07,active,False
ACC00433,enterprise,EUR,16343.55,2019-07-04,active,False
ACC00434,smb,USD,317.24,2023-04-04,active,False
ACC00435,enterprise,EUR,36039.27,2020-03-03,active,False
ACC00436,mid_market,USD,1023.57,2023-12-10,active,False
ACC00437,mid_market,USD,114.26,2021-03-31,active,False
ACC00438,mid_market,USD,2423.0,2019-05-29,active,False
ACC00439,smb,USD,148.8,2023-11-29,active,False
ACC00440,smb,USD,255.04,2021-11-07,active,False
ACC00441,mid_market,EUR,2659.97,2023-08-14,active,False
ACC00442,smb,USD,163.6,2021-03-01,active,False
ACC00443,smb,USD,143.0,2018-11-19,active,False
ACC00444,mid_market,USD,3493.08,2022-10-07,active,False
ACC00445,mid_market,EUR,2761.2,2018-11-15,active,False
ACC00446,smb,USD,120.72,2022-08-23,active,False
ACC00447,smb,USD,318.83,2020-12-01,active,False
ACC00448,smb,USD,85.53,2023-07-17,active,False
ACC00449,mid_market,USD,2684.05,2024-02-02,active,False
ACC00450,smb,USD,90.7,2020-11-07,active,False
ACC00451,mid_market,USD,1636.19,2024-03-04,active,False
ACC00452,smb,USD,253.42,2018-10-11,active,False
ACC00453,smb,USD,287.43,2018-10-02,active,False
ACC00454,enterprise,GBP,39056.53,2024-12-14,active,False
ACC00455,smb,EUR,167.48,2022-01-07,active,False
ACC00456,smb,USD,185.41,2021-02-26,active,False
ACC00457,mid_market,EUR,991.36,2019-02-02,active,False
ACC00458,enterprise,EUR,17537.11,2020-01-09,active,False
ACC00459,smb,USD,305.96,2022-10-20,active,False
ACC00460,smb,USD,251.36,2023-10-02,active,False
ACC00461,enterprise,GBP,11300.44,2024-05-31,active,False
ACC00462,smb,USD,202.7,2020-11-08,active,False
ACC00463,smb,USD,266.91,2021-03-08,active,False
ACC00464,mid_market,USD,3866.96,2019-02-22,active,False
ACC00465,smb,USD,194.87,2018-08-01,active,False
ACC00466,mid_market,USD,3824.53,2021-01-24,active,False
ACC00467,smb,USD,385.53,2022-01-20,active,False
ACC00468,smb,USD,278.02,2018-09-24,active,False
ACC00469,mid_market,EUR,2428.88,2020-11-10,active,False
ACC00470,enterprise,EUR,39512.27,2022-06-28,active,False
ACC00471,mid_market,USD,211.5,2023-09-04,active,False
ACC00472,enterprise,GBP,36815.38,2024-07-26,active,False
ACC00473,mid_market,GBP,363.15,2020-05-19,active,False
ACC00474,smb,USD,377.53,2020-09-28,active,False
ACC00475,smb,USD,288.52,2024-02-15,active,False
ACC00476,enterprise,EUR,34037.38,2022-11-07,active,False
ACC00477,mid_market,USD,3505.74,2019-12-01,active,False
ACC00478,smb,USD,139.19,2022-10-18,active,False
ACC00479,mid_market,USD,815.2,2019-02-07,active,False
ACC00480,mid_market,USD,174.74,2021-02-21,active,False
ACC00481,smb,USD,102.4,2020-02-23,active,False
ACC00482,smb,USD,279.31,2024-12-12,active,False
ACC00483,smb,USD,148.71,2018-03-31,active,False
ACC00484,smb,USD,148.74,2023-12-30,active,False
ACC00485,mid_market,USD,1336.61,2019-12-20,active,False
ACC00486,smb,USD,300.12,2018-04-03,active,False
ACC00487,smb,USD,271.13,2022-08-15,active,False
ACC00488,smb,USD,378.47,2022-09-30,active,False
ACC00489,smb,USD,171.83,2018-12-30,active,False
ACC00490,enterprise,GBP,28969.27,2018-04-08,active,False
