date,currency,usd_rate
2025-02-24,GBP,1.278285
2025-02-24,USD,1.0
2025-02-25,EUR,1.059259
2025-02-25,GBP,1.277046
2025-02-25,USD,1.0
2025-02-26,EUR,1.060046
2025-02-26,GBP,1.278107
2025-02-26,USD,1.0
2025-02-27,EUR,1.0601
2025-02-27,GBP,1.276614
2025-02-27,USD,1.0
2025-02-28,EUR,1.057633
2025-02-28,GBP,1.281124
2025-02-28,USD,1.0
2025-03-03,EUR,1.060432
2025-03-03,GBP,1.278626
2025-03-03,USD,1.0
2025-03-04,EUR,1.060698
2025-03-04,GBP,1.276585
2025-03-04,USD,1.0
2025-03-05,EUR,1.061508
2025-03-05,GBP,1.277058
2025-03-05,USD,1.0
2025-03-06,EUR,1.063694
2025-03-06,GBP,1.282792
2025-03-06,USD,1.0
2025-03-07,EUR,1.062629
2025-03-07,GBP,1.288371
2025-03-07,USD,1.0
2025-03-10,EUR,1.064322
2025-03-10,GBP,1.28406
2025-03-10,USD,1.0
2025-03-11,EUR,1.063349
2025-03-11,GBP,1.283741
2025-03-11,USD,1.0
2025-03-12,EUR,1.064457
2025-03-12,GBP,1.285813
2025-03-12,USD,1.0
2025-03-13,EUR,1.065867
2025-03-13,GBP,1.29004
2025-03-13,USD,1.0
2025-03-14,EUR,1.061201
2025-03-14,GBP,1.286893
2025-03-14,USD,1.0
2025-03-17,EUR,1.064599
2025-03-17,GBP,1.285343
2025-03-17,USD,1.0
2025-03-18,EUR,1.064777
2025-03-18,GBP,1.29131
2025-03-18,USD,1.0
2025-03-19,EUR,1.064911
2025-03-19,GBP,1.289594
2025-03-19,USD,1.0
2025-03-20,EUR,1.066375
2025-03-20,GBP,1.294125
2025-03-20,USD,1.0
2025-03-21,EUR,1.071355
2025-03-21,GBP,1.290048
2025-03-21,USD,1.0
2025-03-24,EUR,1.066007
2025-03-24,GBP,1.285777
2025-03-24,USD,1.0
2025-03-25,EUR,1.071147
2025-03-25,GBP,1.28593
2025-03-25,USD,1.0
2025-03-26,EUR,1.065074
2025-03-26,GBP,1.297153
2025-03-26,USD,1.0
2025-03-27,EUR,1.068999
2025-03-27,GBP,1.298064
2025-03-27,USD,1.0
2025-03-28,EUR,1.070798
2025-03-28,GBP,1.292059
2025-03-28,USD,1.0
2025-03-31,EUR,1.072411
2025-03-31,GBP,1.292003
2025-03-31,USD,1.0
2025-04-01,EUR,1.073278
2025-04-01,GBP,1.299115
2025-04-01,USD,1.0
2025-04-02,EUR,1.074038
2025-04-02,GBP,1.290782
2025-04-02,USD,1.0
2025-04-03,EUR,1.071738
2025-04-03,GBP,1.292181
2025-04-03,USD,1.0
2025-04-04,EUR,1.072008
2025-04-04,GBP,1.29822
2025-04-04,USD,1.0
2025-04-07,EUR,1.075864
2025-04-07,GBP,1.295244
2025-04-07,USD,1.0
2025-04-08,EUR,1.073795
2025-04-08,GBP,1.297263
2025-04-08,USD,1.0
2025-04-09,EUR,1.071639
2025-04-09,GBP,1.297365
2025-04-09,USD,1.0
2025-04-10,EUR,1.07255
2025-04-10,GBP,1.299775
2025-04-10,USD,1.0
2025-04-11,EUR,1.073639
2025-04-11,GBP,1.304176
2025-04-11,USD,1.0
2025-04-14,EUR,1.077735
2025-04-14,GBP,1.300223
2025-04-14,USD,1.0
2025-04-15,EUR,1.077403
2025-04-15,GBP,1.302816
2025-04-15,USD,1.0
2025-04-16,EUR,1.079328
2025-04-16,GBP,1.294043
2025-04-16,USD,1.0
2025-04-17,EUR,1.077088
2025-04-17,GBP,1.301704
2025-04-17,USD,1.0
2025-04-18,EUR,1.079107
2025-04-18,GBP,1.29958
2025-04-18,USD,1.0
2025-04-21,EUR,1.08083
2025-04-21,GBP,1.298922
2025-04-21,USD,1.0
2025-04-22,EUR,1.079047
2025-04-22,GBP,1.30077
2025-04-22,USD,1.0
2025-04-23,EUR,1.081517
2025-04-23,GBP,1.303331
2025-04-23,USD,1.0
2025-04-24,EUR,1.079275
2025-04-24,GBP,1.308362
2025-04-24,USD,1.0
2025-04-25,EUR,1.080577
2025-04-25,GBP,1.30117
2025-04-25,USD,1.0
2025-04-28,EUR,1.081085
2025-04-28,GBP,1.306576
2025-04-28,USD,1.0
2025-04-29,EUR,1.079604
2025-04-29,GBP,1.30543
2025-04-29,USD,1.0
2025-04-30,EUR,1.084366
2025-04-30,GBP,1.306634
2025-04-30,USD,1.0
2025-05-01,EUR,1.08253
2025-05-01,GBP,1.311947
2025-05-01,USD,1.0
2025-05-02,EUR,1.084289
2025-05-02,GBP,1.310977
2025-05-02,USD,1.0
2025-05-05,EUR,1.086014
2025-05-05,GBP,1.314431
2025-05-05,USD,1.0
2025-05-06,EUR,1.086484
2025-05-06,GBP,1.309865
2025-05-06,USD,1.0
2025-05-07,EUR,1.087585
2025-05-07,GBP,1.308627
2025-05-07,USD,1.0
2025-05-08,EUR,1.08623
2025-05-08,GBP,1.310935
2025-05-08,USD,1.0
2025-05-09,EUR,1.085973
2025-05-09,GBP,1.313224
2025-05-09,USD,1.0
2025-05-12,EUR,1.087387
2025-05-12,GBP,1.313649
2025-05-12,USD,1.0
2025-05-13,EUR,1.083922
2025-05-13,GBP,1.309892
2025-05-13,USD,1.0
2025-05-14,EUR,1.085078
2025-05-14,GBP,1.31466
2025-05-14,USD,1.0
2025-05-15,EUR,1.085943
2025-05-15,GBP,1.315799
2025-05-15,USD,1.0
2025-05-16,EUR,1.087312
2025-05-16,GBP,1.324467
2025-05-16,USD,1.0
2025-05-19,EUR,1.091359
2025-05-19,GBP,1.322881
2025-05-19,USD,1.0
2025-05-20,EUR,1.08865
2025-05-20,GBP,1.313982
2025-05-20,USD,1.0
2025-05-21,EUR,1.090523
2025-05-21,GBP,1.316619
2025-05-21,USD,1.0
2025-05-22,EUR,1.095272
2025-05-22,GBP,1.313159
2025-05-22,USD,1.0
2025-05-23,EUR,1.091687
2025-05-23,GBP,1.31687
2025-05-23,USD,1.0
2025-05-26,EUR,1.094977
2025-05-26,GBP,1.320698
2025-05-26,USD,1.0
2025-05-27,EUR,1.091353
2025-05-27,GBP,1.32447
2025-05-27,USD,1.0
2025-05-28,EUR,1.093729
2025-05-28,GBP,1.318354
2025-05-28,USD,1.0
2025-05-29,EUR,1.092422
2025-05-29,GBP,1.319273
2025-05-29,USD,1.0
2025-05-30,EUR,1.094504
2025-05-30,GBP,1.314703
2025-05-30,USD,1.0
2025-06-02,EUR,1.098007
2025-06-02,GBP,1.322306
2025-06-02,USD,1.0
2025-06-03,EUR,1.092143
2025-06-03,GBP,1.319813
2025-06-03,USD,1.0
2025-06-04,EUR,1.098102
2025-06-04,GBP,1.322334
2025-06-04,USD,1.0
2025-06-05,EUR,1.098165
2025-06-05,GBP,1.321775
2025-06-05,USD,1.0
2025-06-06,EUR,1.09664
2025-06-06,GBP,1.32517
2025-06-06,USD,1.0
2025-06-09,EUR,1.095065
2025-06-09,GBP,1.320004
2025-06-09,USD,1.0
2025-06-10,EUR,1.099415
2025-06-10,GBP,1.321678
2025-06-10,USD,1.0
2025-06-11,EUR,1.098465
2025-06-11,GBP,1.334921
2025-06-11,USD,1.0
2025-06-12,EUR,1.100925
2025-06-12,GBP,1.323619
2025-06-12,USD,1.0
2025-06-13,EUR,1.100953
2025-06-13,GBP,1.324943
2025-06-13,USD,1.0
2025-06-16,EUR,1.105458
2025-06-16,GBP,1.335867
2025-06-16,USD,1.0
2025-06-17,EUR,1.101409
2025-06-17,GBP,1.340261
2025-06-17,USD,1.0
2025-06-18,EUR,1.100004
2025-06-18,GBP,1.32665
2025-06-18,USD,1.0
2025-06-19,EUR,1.103565
2025-06-19,GBP,1.330117
2025-06-19,USD,1.0
2025-06-20,EUR,1.104222
2025-06-20,GBP,1.333258
2025-06-20,USD,1.0
2025-06-23,EUR,1.107625
2025-06-23,GBP,1.338769
2025-06-23,USD,1.0
2025-06-24,EUR,1.106869
2025-06-24,GBP,1.329921
2025-06-24,USD,1.0
2025-06-25,EUR,1.106228
2025-06-25,GBP,1.333173
2025-06-25,USD,1.0
2025-06-26,EUR,1.109549
2025-06-26,GBP,1.337408
2025-06-26,USD,1.0
2025-06-27,EUR,1.103473
2025-06-27,GBP,1.336865
2025-06-27,USD,1.0
2025-06-30,EUR,1.105401
2025-06-30,GBP,1.334683
2025-06-30,USD,1.0
