ticket_id,account_id,opened_date,status,category
TKT000112,ACC00127,2025-01-10,closed,feature_request
TKT000113,ACC00127,2025-02-25,closed,performance
TKT000114,ACC00127,2025-01-02,closed,integration_error
TKT000115,ACC00127,2025-01-11,closed,technical_issue
TKT000116,ACC00127,2025-01-01,open,access_management
TKT000117,ACC00128,2025-05-18,closed,access_management
TKT000118,ACC00128,2025-01-31,pending,access_management
TKT000119,ACC00130,2025-05-08,open,technical_issue
TKT000120,ACC00132,2025-03-04,closed,billing
TKT000121,ACC00133,2025-02-25,open,feature_request
TKT000122,ACC00134,2025-05-14,open,performance
TKT000123,ACC00135,2025-01-14,open,feature_request
TKT000124,ACC00135,2025-05-23,closed,feature_request
TKT000125,ACC00135,2025-02-20,open,access_management
TKT000126,ACC00137,2025-01-03,open,billing
TKT000127,ACC00138,2025-01-04,open,data_loss
TKT000128,ACC00138,2025-04-13,closed,technical_issue
TKT000129,ACC00139,2025-01-03,closed,performance
TKT000130,ACC00139,2025-01-30,open,data_loss
TKT000131,ACC00139,2025-03-21,open,billing
TKT000132,ACC00140,2025-06-02,pending,billing
TKT000133,ACC00140,2025-06-24,pending,data_loss
TKT000134,ACC00140,2025-06-22,open,access_management
TKT000135,ACC00143,2025-06-12,pending,data_loss
TKT000136,ACC00144,2025-06-04,closed,data_loss
TKT000137,ACC00144,2025-06-02,closed,data_loss
TKT000138,ACC00145,2025-02-23,closed,integration_error
TKT000139,ACC00145,2025-01-31,open,technical_issue
TKT000140,ACC00145,2025-03-02,pending,performance
TKT000141,ACC00145,2025-05-14,open,data_loss
TKT000142,ACC00146,2025-04-02,pending,technical_issue
TKT000143,ACC00152,2025-06-16,closed,feature_request
TKT000144,ACC00154,2025-05-30,open,billing
TKT000145,ACC00154,2025-05-06,closed,feature_request
TKT000146,ACC00155,2025-04-09,closed,data_loss
TKT000147,ACC00155,2025-04-03,open,technical_issue
TKT000148,ACC00155,2025-05-03,open,feature_request
TKT000149,ACC00155,2025-02-09,open,technical_issue
TKT000150,ACC00156,2025-05-26,open,performance
TKT000151,ACC00157,2025-05-10,closed,integration_error
TKT000152,ACC00158,2025-06-01,closed,billing
TKT000153,ACC00159,2025-06-28,closed,integration_error
TKT000154,ACC00159,2025-01-07,open,integration_error
TKT000155,ACC00160,2025-05-02,closed,integration_error
TKT000156,ACC00160,2025-03-19,closed,data_loss
TKT000157,ACC00161,2025-04-15,pending,performance
TKT000158,ACC00161,2025-02-22,closed,integration_error
TKT000159,ACC00164,2025-02-11,open,data_loss
TKT000160,ACC00165,2025-06-10,open,technical_issue
TKT000161,ACC00166,2025-02-23,closed,data_loss
TKT000162,ACC00166,2025-01-06,pending,data_loss
TKT000163,ACC00168,2025-03-22,pending,data_loss
TKT000164,ACC00169,2025-05-22,closed,technical_issue
TKT000165,ACC00169,2025-03-29,open,data_loss
TKT000166,ACC00169,2025-01-23,closed,performance
TKT000167,ACC00169,2025-01-11,pending,data_loss
TKT000168,ACC00171,2025-02-01,closed,access_management
TKT000169,ACC00171,2025-01-21,open,billing
TKT000170,ACC00173,2025-01-07,open,data_loss
TKT000171,ACC00176,2025-02-15,closed,performance
TKT000172,ACC00177,2025-05-13,closed,performance
TKT000173,ACC00177,2025-04-28,closed,integration_error
TKT000174,ACC00177,2025-04-15,closed,data_loss
TKT000175,ACC00180,2025-06-08,open,technical_issue
TKT000176,ACC00183,2025-04-24,open,access_management
TKT000177,ACC00183,2025-06-17,closed,billing
TKT000178,ACC00185,2025-05-08,pending,technical_issue
TKT000179,ACC00187,2025-06-13,closed,performance
TKT000180,ACC00188,2025-06-18,open,integration_error
TKT000181,ACC00188,2025-02-10,closed,technical_issue
TKT000182,ACC00193,2025-02-13,closed,performance
TKT000183,ACC00193,2025-06-24,closed,billing
TKT000184,ACC00193,2025-01-04,closed,access_management
TKT000185,ACC00197,2025-06-02,closed,integration_error
TKT000186,ACC00198,2025-06-29,open,technical_issue
TKT000187,ACC00198,2025-06-09,closed,access_management
TKT000188,ACC00198,2025-05-01,open,integration_error
TKT000189,ACC00198,2025-05-07,closed,technical_issue
TKT000190,ACC00199,2025-05-05,pending,feature_request
TKT000191,ACC00200,2025-06-04,closed,data_loss
TKT000192,ACC00200,2025-06-18,open,integration_error
TKT000193,ACC00202,2025-05-19,pending,technical_issue
TKT000194,ACC00203,2025-02-07,open,technical_issue
TKT000195,ACC00206,2025-01-23,open,access_management
TKT000196,ACC00207,2025-02-23,closed,billing
TKT000197,ACC00207,2025-05-09,open,feature_request
TKT000198,ACC00207,2025-06-06,closed,performance
TKT000199,ACC00208,2025-04-10,open,access_management
TKT000200,ACC00211,2025-04-24,closed,access_management
TKT000201,ACC00211,2025-04-03,open,technical_issue
TKT000202,ACC00212,2025-01-06,open,performance
TKT000203,ACC00213,2025-03-08,closed,data_loss
TKT000204,ACC00218,2025-02-20,closed,data_loss
TKT000205,ACC00220,2025-04-19,closed,billing
TKT000206,ACC00221,2025-04-22,open,performance
TKT000207,ACC00223,2025-06-16,closed,data_loss
TKT000208,ACC00224,2025-04-18,open,feature_request
TKT000209,ACC00224,2025-04-24,closed,integration_error
TKT000210,ACC00226,2025-01-03,open,feature_request
TKT000211,ACC00230,2025-01-11,open,integration_error
TKT000212,ACC00230,2025-01-03,open,integration_error
TKT000213,ACC00232,2025-04-23,closed,performance
TKT000214,ACC00234,2025-04-03,closed,integration_error
TKT000215,ACC00234,2025-01-13,closed,feature_request
TKT000216,ACC00235,2025-01-07,pending,integration_error
TKT000217,ACC00235,2025-02-01,closed,integration_error
TKT000218,ACC00235,2025-05-03,closed,technical_issue
TKT000219,ACC00236,2025-06-09,pending,access_management
TKT000220,ACC00237,2025-01-22,closed,billing
TKT000221,ACC00238,2025-03-27,closed,performance
TKT000222,ACC00239,2025-05-20,closed,access_management
TKT000223,ACC00239,2025-03-04,closed,integration_error
TKT000224,ACC00239,2025-04-09,open,integration_error
TKT000225,ACC00241,2025-05-23,open,feature_request
TKT000226,ACC00241,2025-01-27,pending,data_loss
TKT000227,ACC00242,2025-03-17,open,integration_error
TKT000228,ACC00243,2025-03-18,pending,performance
TKT000229,ACC00245,2025-05-09,closed,technical_issue
TKT000230,ACC00246,2025-03-23,open,performance
TKT000231,ACC00246,2025-02-19,open,feature_request
TKT000232,ACC00247,2025-02-21,open,feature_request
TKT000233,ACC00247,2025-02-26,closed,technical_issue
TKT000234,ACC00248,2025-02-23,closed,billing
TKT000235,ACC00250,2025-02-18,pending,data_loss
TKT000236,ACC00251,2025-06-01,closed,access_management
TKT000237,ACC00252,2025-06-22,pending,integration_error
TKT000238,ACC00254,2025-01-21,open,data_loss
TKT000239,ACC00257,2025-04-06,closed,technical_issue
TKT000240,ACC00259,2025-04-14,closed,data_loss
TKT000241,ACC00259,2025-02-14,closed,feature_request
TKT000242,ACC00259,2025-05-19,closed,feature_request
TKT000243,ACC00260,2025-01-15,open,access_management
TKT000244,ACC00261,2025-06-24,closed,integration_error
TKT000245,ACC00262,2025-05-07,closed,billing
TKT000246,ACC00262,2025-03-02,pending,performance
TKT000247,ACC00264,2025-03-06,closed,integration_error
TKT000248,ACC00266,2025-05-18,open,performance
TKT000249,ACC00266,2025-01-22,closed,performance
TKT000250,ACC00269,2025-05-12,open,integration_error
TKT000251,ACC00270,2025-02-21,open,data_loss
TKT000252,ACC00271,2025-05-11,open,integration_error
TKT000253,ACC00273,2025-04-09,closed,performance
TKT000254,ACC00273,2025-05-01,closed,feature_request
TKT000255,ACC00275,2025-03-20,open,access_management
TKT000256,ACC00275,2025-05-10,open,integration_error
TKT000257,ACC00276,2025-01-15,open,data_loss
TKT000258,ACC00276,2025-02-16,pending,feature_request
TKT000259,ACC00276,2025-01-24,open,technical_issue
TKT000260,ACC00277,2025-02-01,closed,integration_error
TKT000261,ACC00277,2025-04-11,open,technical_issue
TKT000262,ACC00277,2025-02-18,closed,performance
TKT000263,ACC00278,2025-03-25,closed,integration_error
TKT000264,ACC00279,2025-01-09,closed,access_management
TKT000265,ACC00280,2025-06-18,closed,access_management
TKT000266,ACC00280,2025-03-27,closed,performance
TKT000267,ACC00281,2025-04-24,open,feature_request
TKT000268,ACC00282,2025-02-04,open,integration_error
TKT000269,ACC00284,2025-05-13,open,feature_request
TKT000270,ACC00284,2025-05-08,closed,feature_request
TKT000271,ACC00284,2025-05-11,closed,feature_request
TKT000272,ACC00284,2025-04-14,closed,integration_error
TKT000273,ACC00287,2025-03-03,open,integration_error
TKT000274,ACC00287,2025-06-27,closed,integration_error
TKT000275,ACC00289,2025-02-18,closed,access_management
TKT000276,ACC00289,2025-04-10,open,access_management
TKT000277,ACC00290,2025-02-11,closed,data_loss
TKT000278,ACC00291,2025-06-07,open,integration_error
TKT000279,ACC00291,2025-01-04,open,feature_request
TKT000280,ACC00293,2025-02-23,open,feature_request
TKT000281,ACC00294,2025-03-19,open,feature_request
TKT000282,ACC00295,2025-03-09,closed,billing
TKT000283,ACC00295,2025-04-03,closed,billing
TKT000284,ACC00296,2025-03-23,closed,performance
TKT000285,ACC00296,2025-04-02,closed,billing
TKT000286,ACC00296,2025-03-29,closed,performance
TKT000287,ACC00298,2025-03-13,closed,performance
TKT000288,ACC00301,2025-02-09,closed,access_management
TKT000289,ACC00303,2025-05-08,open,billing
TKT000290,ACC00303,2025-06-24,closed,technical_issue
TKT000291,ACC00303,2025-02-01,closed,integration_error
TKT000292,ACC00307,2025-02-20,closed,performance
TKT000293,ACC00309,2025-01-10,closed,integration_error
TKT000294,ACC00309,2025-05-15,open,feature_request
TKT000295,ACC00309,2025-02-23,closed,integration_error
TKT000296,ACC00309,2025-03-23,closed,feature_request
TKT000297,ACC00310,2025-06-20,closed,data_loss
TKT000298,ACC00310,2025-05-10,closed,integration_error
TKT000299,ACC00311,2025-04-04,open,performance
TKT000300,ACC00313,2025-03-18,open,data_loss
TKT000301,ACC00313,2025-05-15,closed,integration_error
TKT000302,ACC00314,2025-06-23,closed,access_management
TKT000303,ACC00315,2025-02-03,closed,feature_request
TKT000304,ACC00315,2025-02-02,closed,technical_issue
TKT000305,ACC00315,2025-04-19,open,performance
TKT000306,ACC00315,2025-02-12,open,technical_issue
TKT000307,ACC00317,2025-05-23,open,feature_request
TKT000308,ACC00317,2025-05-26,closed,integration_error
TKT000309,ACC00317,2025-03-31,closed,feature_request
TKT000310,ACC00318,2025-01-21,closed,feature_request
TKT000311,ACC00319,2025-05-20,open,performance
TKT000312,ACC00321,2025-01-17,open,performance
TKT000313,ACC00321,2025-02-21,open,integration_error
TKT000314,ACC00324,2025-04-11,closed,billing
TKT000315,ACC00324,2025-03-09,closed,performance
TKT000316,ACC00326,2025-06-17,closed,integration_error
TKT000317,ACC00327,2025-03-18,closed,technical_issue
TKT000318,ACC00327,2025-04-18,open,feature_request
TKT000319,ACC00330,2025-05-12,closed,integration_error
TKT000320,ACC00330,2025-01-11,closed,feature_request
TKT000321,ACC00330,2025-06-15,open,billing
TKT000322,ACC00331,2025-04-05,pending,data_loss
TKT000323,ACC00331,2025-03-27,open,performance
TKT000324,ACC00331,2025-04-26,open,integration_error
TKT000325,ACC00331,2025-02-22,open,billing
TKT000326,ACC00332,2025-01-29,open,integration_error
TKT000327,ACC00333,2025-03-07,closed,feature_request
TKT000328,ACC00335,2025-05-02,closed,data_loss
TKT000329,ACC00336,2025-04-09,closed,access_management
TKT000330,ACC00337,2025-01-26,open,access_management
TKT000331,ACC00339,2025-01-12,closed,data_loss
TKT000332,ACC00340,2025-06-10,closed,billing
TKT000333,ACC00341,2025-01-17,open,billing
TKT000334,ACC00341,2025-04-07,pending,feature_request
TKT000335,ACC00346,2025-02-24,closed,technical_issue
TKT000336,ACC00347,2025-03-01,open,billing
TKT000337,ACC00348,2025-01-05,closed,performance
TKT000338,ACC00349,2025-04-15,closed,performance
TKT000339,ACC00349,2025-03-02,closed,feature_request
TKT000340,ACC00352,2025-06-29,closed,performance
TKT000341,ACC00354,2025-06-03,closed,access_management
TKT000342,ACC00354,2025-02-11,closed,billing
TKT000343,ACC00355,2025-04-22,closed,feature_request
TKT000344,ACC00355,2025-05-16,closed,performance
TKT000345,ACC00355,2025-05-03,closed,access_management
TKT000346,ACC00356,2025-06-18,pending,integration_error
TKT000347,ACC00356,2025-04-06,closed,data_loss
TKT000348,ACC00357,2025-05-26,open,access_management
TKT000349,ACC00358,2025-01-19,open,technical_issue
TKT000350,ACC00359,2025-04-23,closed,performance
TKT000351,ACC00361,2025-05-04,open,performance
TKT000352,ACC00361,2025-02-05,pending,billing
TKT000353,ACC00362,2025-04-02,pending,access_management
TKT000354,ACC00364,2025-06-28,closed,feature_request
TKT000355,ACC00366,2025-05-20,pending,performance
TKT000356,ACC00366,2025-06-09,closed,billing
TKT000357,ACC00366,2025-06-29,open,access_management
TKT000358,ACC00367,2025-03-10,closed,technical_issue
TKT000359,ACC00368,2025-04-24,open,integration_error
TKT000360,ACC00371,2025-06-14,open,technical_issue
TKT000361,ACC00371,2025-05-07,closed,data_loss
TKT000362,ACC00371,2025-01-12,closed,technical_issue
TKT000363,ACC00372,2025-01-27,open,performance
TKT000364,ACC00373,2025-02-15,open,feature_request
TKT000365,ACC00374,2025-03-05,open,performance
TKT000366,ACC00377,2025-01-26,closed,data_loss
TKT000367,ACC00379,2025-02-26,pending,access_management
TKT000368,ACC00380,2025-01-25,closed,technical_issue
TKT000369,ACC00380,2025-06-18,closed,performance
TKT000370,ACC00380,2025-02-20,pending,integration_error
TKT000371,ACC00381,2025-06-27,open,data_loss
TKT000372,ACC00381,2025-04-11,open,data_loss
TKT000373,ACC00383,2025-05-29,open,performance
TKT000374,ACC00386,2025-05-13,closed,data_loss
TKT000375,ACC00387,2025-04-10,closed,performance
TKT000376,ACC00388,2025-01-16,pending,access_management
TKT000377,ACC00388,2025-02-18,closed,integration_error
TKT000378,ACC00391,2025-04-30,closed,access_management
TKT000379,ACC00394,2025-04-06,open,feature_request
TKT000380,ACC00396,2025-03-02,open,integration_error
TKT000381,ACC00397,2025-05-21,closed,integration_error
TKT000382,ACC00397,2025-02-05,closed,access_management
TKT000383,ACC00397,2025-03-23,pending,technical_issue
TKT000384,ACC00398,2025-03-11,closed,integration_error
TKT000385,ACC00399,2025-06-14,open,performance
TKT000386,ACC00401,2025-06-18,closed,integration_error
TKT000387,ACC00402,2025-05-23,closed,billing
TKT000388,ACC00405,2025-02-15,pending,billing
TKT000389,ACC00406,2025-04-16,pending,performance
TKT000390,ACC00407,2025-03-04,open,access_management
TKT000391,ACC00407,2025-01-05,closed,billing
TKT000392,ACC00408,2025-01-26,closed,access_management
TKT000393,ACC00409,2025-03-13,closed,feature_request
TKT000394,ACC00411,2025-01-30,closed,performance
TKT000395,ACC00412,2025-01-07,open,access_management
TKT000396,ACC00412,2025-05-10,closed,performance
TKT000397,ACC00412,2025-02-16,open,technical_issue
TKT000398,ACC00412,2025-06-01,closed,feature_request
TKT000399,ACC00412,2025-06-18,closed,feature_request
TKT000400,ACC00413,2025-03-15,pending,data_loss
TKT000401,ACC00414,2025-05-09,open,feature_request
TKT000402,ACC00416,2025-01-17,closed,technical_issue
TKT000403,ACC00417,2025-02-16,closed,integration_error
TKT000404,ACC00419,2025-04-23,closed,integration_error
TKT000405,ACC00419,2025-05-19,open,integration_error
TKT000406,ACC00420,2025-02-09,closed,access_management
TKT000407,ACC00420,2025-05-13,open,billing
TKT000408,ACC00420,2025-01-03,closed,integration_error
TKT000409,ACC00422,2025-01-29,open,access_management
TKT000410,ACC00422,2025-03-28,pending,performance
TKT000411,ACC00423,2025-04-05,closed,billing
TKT000412,ACC00424,2025-04-05,closed,billing
TKT000413,ACC00424,2025-02-05,closed,feature_request
TKT000414,ACC00425,2025-04-02,closed,data_loss
TKT000415,ACC00425,2025-04-13,open,integration_error
TKT000416,ACC00427,2025-02-06,open,data_loss
TKT000417,ACC00428,2025-06-24,open,performance
TKT000418,ACC00428,2025-03-31,open,technical_issue
TKT000419,ACC00428,2025-01-20,closed,integration_error
TKT000420,ACC00428,2025-05-23,closed,access_management
TKT000421,ACC00429,2025-03-28,open,feature_request
TKT000422,ACC00430,2025-02-01,open,data_loss
TKT000423,ACC00430,2025-03-04,closed,data_loss
TKT000424,ACC00430,2025-01-31,open,technical_issue
TKT000425,ACC00432,2025-05-18,closed,performance
TKT000426,ACC00434,2025-06-25,closed,data_loss
TKT000427,ACC00438,2025-04-06,closed,data_loss
TKT000428,ACC00440,2025-01-01,closed,billing
TKT000429,ACC00445,2025-03-09,open,integration_error
TKT000430,ACC00447,2025-03-06,closed,technical_issue
TKT000431,ACC00448,2025-05-09,open,performance
TKT000432,ACC00452,2025-05-19,closed,data_loss
TKT000433,ACC00452,2025-04-01,closed,performance
TKT000434,ACC00452,2025-02-25,closed,access_management
TKT000435,ACC00453,2025-01-26,closed,technical_issue
TKT000436,ACC00454,2025-04-15,closed,integration_error
TKT000437,ACC00454,2025-03-08,closed,technical_issue
TKT000438,ACC00455,2025-02-27,open,feature_request
TKT000439,ACC00457,2025-03-02,closed,data_loss
TKT000440,ACC00457,2025-03-09,closed,integration_error
TKT000441,ACC00459,2025-04-16,closed,technical_issue
TKT000442,ACC00460,2025-03-20,closed,performance
TKT000443,ACC00460,2025-04-19,open,data_loss
TKT000444,ACC00460,2025-01-08,closed,technical_issue
TKT000445,ACC00461,2025-03-18,closed,access_management
TKT000446,ACC00462,2025-02-13,pending,technical_issue
TKT000447,ACC00462,2025-04-24,closed,access_management
TKT000448,ACC00462,2025-03-20,open,integration_error
TKT000449,ACC00465,2025-02-21,closed,billing
TKT000450,ACC00465,2025-03-08,closed,data_loss
TKT000451,ACC00468,2025-03-08,open,data_loss
TKT000452,ACC00468,2025-03-18,closed,feature_request
TKT000453,ACC00472,2025-05-12,closed,access_management
TKT000454,ACC00475,2025-04-03,open,performance
TKT000455,ACC00476,2025-02-19,closed,billing
TKT000456,ACC00478,2025-03-15,closed,performance
TKT000457,ACC00478,2025-04-05,closed,performance
TKT000458,ACC00478,2025-05-08,closed,data_loss
TKT000459,ACC00478,2025-06-06,closed,data_loss
TKT000460,ACC00479,2025-02-05,closed,performance
TKT000461,ACC00479,2025-06-14,closed,data_loss
TKT000462,ACC00480,2025-03-21,open,integration_error
TKT000463,ACC00481,2025-05-31,closed,performance
TKT000464,ACC00481,2025-01-16,open,technical_issue
TKT000465,ACC00481,2025-01-31,pending,billing
TKT000466,ACC00482,2025-03-31,closed,integration_error
TKT000467,ACC00483,2025-04-27,closed,integration_error
TKT000468,ACC00483,2025-01-01,closed,data_loss
TKT000469,ACC00486,2025-04-13,open,feature_request
TKT000470,ACC00488,2025-02-11,open,technical_issue
TKT000471,ACC00489,2025-06-06,open,billing
TKT000472,ACC00489,2025-03-04,open,feature_request
TKT000473,ACC00489,2025-04-10,pending,data_loss
TKT000474,ACC00491,2025-03-24,closed,billing
TKT000475,ACC00492,2025-06-11,pending,billing
TKT000476,ACC00492,2025-06-24,open,data_loss
TKT000477,ACC00494,2025-06-16,closed,billing
TKT000478,ACC00494,2025-04-10,open,integration_error
TKT000479,ACC00494,2025-06-15,closed,access_management
TKT000480,ACC00495,2025-02-14,open,data_loss
TKT000481,ACC00495,2025-06-02,closed,feature_request
TKT000482,ACC00496,2025-03-13,open,performance
TKT000483,ACC00496,2025-01-25,closed,feature_request
TKT000484,ACC00496,2025-04-08,pending,access_management
TKT000485,ACC00498,2025-02-01,open,feature_request
TKT000486,ACC00498,2025-02-21,closed,integration_error
TKT000487,ACC00499,2025-02-22,open,feature_request
TKT000488,ACC00499,2025-03-11,open,technical_issue
TKT000489,ACC00500,2025-02-24,closed,access_management
TKT000490,ACC00501,2025-01-27,closed,feature_request
TKT000491,ACC00501,2025-05-20,closed,billing
TKT000492,ACC00502,2025-03-24,pending,integration_error
TKT000493,ACC00502,2025-01-18,pending,performance
TKT000494,ACC00503,2025-06-04,open,technical_issue
TKT000495,ACC00503,2025-02-17,closed,access_management
TKT000496,ACC00504,2025-05-19,pending,performance
TKT000497,ACC00504,2025-01-29,open,billing
TKT000498,ACC00505,2025-03-03,closed,data_loss
TKT000499,ACC00508,2025-03-02,open,billing
TKT000500,ACC00513,2025-05-03,closed,access_management
TKT000501,ACC00514,2025-02-22,open,integration_error
TKT000502,ACC00514,2025-05-30,closed,integration_error
TKT000503,ACC00515,2025-02-02,open,billing
TKT000504,ACC00517,2025-06-01,open,technical_issue
TKT000505,ACC00518,2025-05-05,open,integration_error
TKT000506,ACC00519,2025-04-08,open,data_loss
TKT000507,ACC00520,2025-06-25,closed,performance
TKT000508,ACC00521,2025-04-02,closed,access_management
TKT000509,ACC00521,2025-01-25,closed,billing
TKT000510,ACC00522,2025-06-16,closed,integration_error
TKT000511,ACC00522,2025-01-20,closed,performance
TKT000512,ACC00522,2025-01-19,open,access_management
TKT000513,ACC00522,2025-06-26,closed,access_management
TKT000514,ACC00522,2025-04-03,open,access_management
TKT000515,ACC00525,2025-04-01,open,data_loss
TKT000516,ACC00526,2025-06-13,closed,access_management
TKT000517,ACC00526,2025-01-23,open,integration_error
TKT000518,ACC00527,2025-06-23,closed,data_loss
TKT000519,ACC00531,2025-04-11,closed,billing
TKT000520,ACC00532,2025-03-03,open,access_management
TKT000521,ACC00533,2025-03-27,open,billing
TKT000522,ACC00533,2025-02-09,pending,performance
TKT000523,ACC00537,2025-02-05,open,billing
TKT000524,ACC00539,2025-04-07,pending,feature_request
TKT000525,ACC00539,2025-04-21,closed,performance
TKT000526,ACC00542,2025-01-07,closed,data_loss
TKT000527,ACC00542,2025-06-28,open,feature_request
TKT000528,ACC00543,2025-04-19,open,data_loss
TKT000529,ACC00543,2025-02-26,closed,integration_error
TKT000530,ACC00543,2025-05-22,open,performance
TKT000531,ACC00543,2025-06-10,open,billing
TKT000532,ACC00543,2025-02-04,pending,feature_request
TKT000533,ACC00544,2025-01-03,closed,technical_issue
TKT000534,ACC00545,2025-04-25,closed,billing
TKT000535,ACC00545,2025-05-02,closed,access_management
