response_id,invitation_id,response_date,score,primary_theme
RESP0000051,INV0000146,2025-01-08,2,customer_support_speed
RESP0000052,INV0000148,2025-01-07,1,pricing_transparency
RESP0000053,INV0000154,2025-01-12,9,
RESP0000054,INV0000160,2025-01-06,2,pricing_transparency
RESP0000055,INV0000161,2025-01-06,8,
RESP0000056,INV0000162,2025-01-04,10,
RESP0000057,INV0000166,2025-01-06,1,data_export_reliability
RESP0000058,INV0000167,2025-01-08,8,
RESP0000059,INV0000168,2025-01-06,9,
RESP0000060,INV0000169,2025-01-11,9,
RESP0000061,INV0000179,2025-01-06,4,mobile_app_performance
RESP0000062,INV0000180,2025-01-03,1,customer_support_speed
RESP0000063,INV0000189,2025-01-10,10,
RESP0000064,INV0000190,2025-01-07,9,
RESP0000065,INV0000192,2025-01-09,8,
RESP0000066,INV0000202,2025-01-08,8,
RESP0000067,INV0000203,2025-01-03,10,
RESP0000068,INV0000204,2025-01-09,9,
RESP0000069,INV0000207,2025-01-08,2,customer_support_speed
RESP0000070,INV0000208,2025-01-05,7,
RESP0000071,INV0000212,2025-01-08,0,reporting_accuracy
RESP0000072,INV0000214,2025-01-08,8,
RESP0000073,INV0000218,2025-01-09,10,
RESP0000074,INV0000223,2025-01-09,9,
RESP0000075,INV0000224,2025-01-09,5,customer_support_speed
RESP0000076,INV0000226,2025-01-10,8,
RESP0000077,INV0000232,2025-01-04,9,
RESP0000078,INV0000233,2025-01-08,10,
RESP0000079,INV0000239,2025-01-09,10,
RESP0000080,INV0000240,2025-01-11,6,customer_support_speed
RESP0000081,INV0000241,2025-01-02,8,
RESP0000082,INV0000242,2025-01-07,6,data_export_reliability
RESP0000083,INV0000245,2025-01-08,7,
RESP0000084,INV0000248,2025-01-05,9,
RESP0000085,INV0000250,2025-01-06,9,
RESP0000086,INV0000253,2025-01-08,1,reporting_accuracy
RESP0000087,INV0000256,2025-01-06,3,feature_discoverability
RESP0000088,INV0000258,2025-01-08,1,reporting_accuracy
RESP0000089,INV0000262,2025-01-07,3,onboarding_experience
RESP0000090,INV0000266,2025-01-06,7,
RESP0000091,INV0000268,2025-01-06,1,onboarding_experience
RESP0000092,INV0000269,2025-01-06,9,
RESP0000093,INV0000272,2025-01-05,9,
RESP0000094,INV0000273,2025-01-10,0,mobile_app_performance
RESP0000095,INV0000277,2025-01-04,10,
RESP0000096,INV0000278,2025-01-04,2,mobile_app_performance
RESP0000097,INV0000282,2025-01-05,8,
RESP0000098,INV0000284,2025-01-10,9,
RESP0000099,INV0000286,2025-01-11,10,
RESP0000100,INV0000291,2025-01-07,9,
RESP0000101,INV0000307,2025-01-06,10,
RESP0000102,INV0000309,2025-01-06,10,
RESP0000103,INV0000310,2025-01-08,9,
RESP0000104,INV0000311,2025-01-09,0,onboarding_experience
RESP0000105,INV0000312,2025-01-09,10,
RESP0000106,INV0000315,2025-01-06,7,
RESP0000107,INV0000316,2025-01-07,2,pricing_transparency
RESP0000108,INV0000323,2025-01-07,9,
RESP0000109,INV0000324,2025-01-03,7,
RESP0000110,INV0000328,2025-01-06,1,mobile_app_performance
RESP0000111,INV0000329,2025-01-05,9,
RESP0000112,INV0000333,2025-01-11,2,
RESP0000113,INV0000335,2025-01-05,9,
RESP0000114,INV0000340,2025-01-07,9,
RESP0000115,INV0000348,2025-01-09,8,
RESP0000116,INV0000349,2025-01-08,4,mobile_app_performance
RESP0000117,INV0000350,2025-01-08,9,
RESP0000118,INV0000355,2025-01-09,9,
RESP0000119,INV0000358,2025-01-06,8,
RESP0000120,INV0000360,2025-01-07,8,
RESP0000121,INV0000362,2025-01-08,8,
RESP0000122,INV0000363,2025-01-09,7,
RESP0000123,INV0000364,2025-01-05,10,
RESP0000124,INV0000365,2025-01-10,4,pricing_transparency
RESP0000125,INV0000370,2025-01-07,7,
RESP0000126,INV0000377,2025-01-07,3,mobile_app_performance
RESP0000127,INV0000379,2025-01-09,8,
RESP0000128,INV0000381,2025-01-10,10,
RESP0000129,INV0000382,2025-01-04,7,
RESP0000130,INV0000385,2025-01-06,0,mobile_app_performance
RESP0000131,INV0000387,2025-01-03,10,
RESP0000132,INV0000388,2025-01-07,7,
RESP0000133,INV0000391,2025-01-10,8,
RESP0000134,INV0000393,2025-01-05,10,
RESP0000135,INV0000395,2025-01-09,1,feature_discoverability
RESP0000136,INV0000398,2025-01-07,0,mobile_app_performance
RESP0000137,INV0000402,2025-01-10,8,
RESP0000138,INV0000408,2025-01-09,10,
RESP0000139,INV0000410,2025-01-10,1,reporting_accuracy
RESP0000140,INV0000411,2025-01-03,5,data_export_reliability
RESP0000141,INV0000413,2025-01-03,10,
RESP0000142,INV0000416,2025-01-10,9,
RESP0000143,INV0000418,2025-01-07,9,
RESP0000144,INV0000420,2025-01-03,10,
RESP0000145,INV0000421,2025-01-10,2,customer_support_speed
RESP0000146,INV0000423,2025-01-05,0,mobile_app_performance
RESP0000147,INV0000425,2025-01-09,7,
RESP0000148,INV0000426,2025-01-05,3,pricing_transparency
RESP0000149,INV0000427,2025-01-04,9,
RESP0000150,INV0000428,2025-01-07,8,
RESP0000151,INV0000430,2025-01-05,9,
RESP0000152,INV0000431,2025-01-08,8,
RESP0000153,INV0000432,2025-01-06,3,customer_support_speed
RESP0000154,INV0000433,2025-01-06,10,
RESP0000155,INV0000448,2025-01-07,5,mobile_app_performance
RESP0000156,INV0000449,2025-01-06,10,
RESP0000157,INV0000456,2025-01-03,8,
RESP0000158,INV0000457,2025-01-06,9,
RESP0000159,INV0000464,2025-01-04,5,api_stability
RESP0000160,INV0000467,2025-01-06,7,
RESP0000161,INV0000469,2025-01-06,10,
RESP0000162,INV0000471,2025-01-06,7,
RESP0000163,INV0000473,2025-01-07,9,
RESP0000164,INV0000474,2025-01-08,8,
RESP0000165,INV0000477,2025-01-06,10,
RESP0000166,INV0000480,2025-01-06,9,
RESP0000167,INV0000484,2025-01-04,9,
RESP0000168,INV0000485,2025-01-09,0,mobile_app_performance
RESP0000169,INV0000488,2025-01-06,10,
RESP0000170,INV0000492,2025-01-10,7,
RESP0000171,INV0000503,2025-01-07,7,
RESP0000172,INV0000505,2025-01-07,1,mobile_app_performance
RESP0000173,INV0000509,2025-01-12,10,
RESP0000174,INV0000511,2025-01-07,7,
RESP0000175,INV0000512,2025-01-07,2,
RESP0000176,INV0000515,2025-01-08,10,
RESP0000177,INV0000516,2025-01-05,10,
RESP0000178,INV0000519,2025-01-10,6,customer_support_speed
RESP0000179,INV0000524,2025-01-09,9,
RESP0000180,INV0000527,2025-01-04,3,onboarding_experience
RESP0000181,INV0000528,2025-01-06,9,
RESP0000182,INV0000533,2025-01-08,8,
RESP0000183,INV0000538,2025-01-11,7,
RESP0000184,INV0000539,2025-01-10,7,
RESP0000185,INV0000543,2025-01-09,1,customer_support_speed
RESP0000186,INV0000544,2025-01-07,1,customer_support_speed
RESP0000187,INV0000549,2025-01-12,3,mobile_app_performance
RESP0000188,INV0000554,2025-01-09,10,
RESP0000189,INV0000555,2025-01-06,10,
RESP0000190,INV0000557,2025-01-09,6,feature_discoverability
RESP0000191,INV0000559,2025-01-07,10,
RESP0000192,INV0000563,2025-01-10,5,customer_support_speed
RESP0000193,INV0000566,2025-01-09,9,
RESP0000194,INV0000568,2025-01-05,6,mobile_app_performance
RESP0000195,INV0000569,2025-01-08,7,
RESP0000196,INV0000576,2025-01-09,9,
RESP0000197,INV0000577,2025-01-08,9,
RESP0000198,INV0000580,2025-01-06,8,
RESP0000199,INV0000582,2025-01-05,8,
RESP0000200,INV0000584,2025-01-09,9,
RESP0000201,INV0000591,2025-01-05,9,
RESP0000202,INV0000592,2025-01-06,7,
RESP0000203,INV0000593,2025-01-06,10,
RESP0000204,INV0000595,2025-01-07,0,mobile_app_performance
RESP0000205,INV0000597,2025-01-06,6,pricing_transparency
RESP0000206,INV0000599,2025-01-07,9,
RESP0000207,INV0000602,2025-01-07,9,
RESP0000208,INV0000603,2025-01-08,5,mobile_app_performance
RESP0000209,INV0000604,2025-01-09,1,pricing_transparency
RESP0000210,INV0000607,2025-01-08,2,pricing_transparency
RESP0000211,INV0000609,2025-01-02,0,pricing_transparency
RESP0000212,INV0000614,2025-01-04,7,
RESP0000213,INV0000615,2025-01-09,8,
RESP0000214,INV0000619,2025-01-06,9,
RESP0000215,INV0000621,2025-01-05,8,
RESP0000216,INV0000623,2025-01-07,9,
RESP0000217,INV0000624,2025-01-05,3,mobile_app_performance
RESP0000218,INV0000625,2025-01-08,9,
RESP0000219,INV0000630,2025-01-06,10,
RESP0000220,INV0000632,2025-01-06,9,
RESP0000221,INV0000633,2025-01-03,7,
RESP0000222,INV0000636,2025-01-07,9,
RESP0000223,INV0000637,2025-01-08,8,
RESP0000224,INV0000639,2025-01-02,1,pricing_transparency
RESP0000225,INV0000640,2025-01-04,10,
RESP0000226,INV0000642,2025-01-02,2,onboarding_experience
RESP0000227,INV0000643,2025-01-04,1,pricing_transparency
RESP0000228,INV0000651,2025-01-03,3,
RESP0000229,INV0000652,2025-01-09,7,
RESP0000230,INV0000655,2025-01-09,8,
RESP0000231,INV0000661,2025-01-03,10,
RESP0000232,INV0000668,2025-01-08,3,data_export_reliability
RESP0000233,INV0000669,2025-01-10,6,customer_support_speed
RESP0000234,INV0000675,2025-01-10,3,customer_support_speed
RESP0000235,INV0000676,2025-01-06,9,
RESP0000236,INV0000677,2025-01-07,4,
RESP0000237,INV0000678,2025-01-06,9,
RESP0000238,INV0000686,2025-01-06,6,pricing_transparency
RESP0000239,INV0000690,2025-01-03,10,
RESP0000240,INV0000696,2025-01-07,10,
RESP0000241,INV0000700,2025-01-04,9,
RESP0000242,INV0000701,2025-01-10,0,mobile_app_performance
RESP0000243,INV0000702,2025-01-10,7,
RESP0000244,INV0000704,2025-01-06,1,customer_support_speed
RESP0000245,INV0000707,2025-01-09,0,mobile_app_performance
RESP0000246,INV0000712,2025-01-08,10,
RESP0000247,INV0000717,2025-01-05,0,pricing_transparency
RESP0000248,INV0000722,2025-01-07,9,
RESP0000249,INV0000723,2025-01-07,9,
RESP0000250,INV0000725,2025-01-11,9,
RESP0000251,INV0000728,2025-01-08,10,
RESP0000252,INV0000736,2025-01-10,3,customer_support_speed
RESP0000253,INV0000739,2025-01-05,2,mobile_app_performance
RESP0000254,INV0000740,2025-01-09,3,mobile_app_performance
RESP0000255,INV0000741,2025-01-06,10,
RESP0000256,INV0000748,2025-01-06,10,
RESP0000257,INV0000753,2025-01-08,9,
RESP0000258,INV0000754,2025-01-12,9,
RESP0000259,INV0000755,2025-01-10,10,
RESP0000260,INV0000756,2025-01-12,10,
RESP0000261,INV0000759,2025-01-03,10,
RESP0000262,INV0000762,2025-01-06,3,mobile_app_performance
RESP0000263,INV0000763,2025-01-08,10,
RESP0000264,INV0000766,2025-01-03,8,
RESP0000265,INV0000768,2025-01-06,8,
RESP0000266,INV0000769,2025-01-11,3,customer_support_speed
RESP0000267,INV0000770,2025-01-11,9,
RESP0000268,INV0000773,2025-01-10,0,pricing_transparency
RESP0000269,INV0000774,2025-01-08,8,
RESP0000270,INV0000775,2025-01-08,2,
RESP0000271,INV0000779,2025-01-05,3,onboarding_experience
RESP0000272,INV0000780,2025-01-10,7,
RESP0000273,INV0000782,2025-01-08,7,
RESP0000274,INV0000783,2025-01-04,10,
RESP0000275,INV0000787,2025-01-10,8,
RESP0000276,INV0000790,2025-01-08,8,
RESP0000277,INV0000791,2025-01-03,8,
RESP0000278,INV0000792,2025-01-03,9,
RESP0000279,INV0000793,2025-01-09,10,
RESP0000280,INV0000794,2025-01-07,9,
RESP0000281,INV0000795,2025-01-02,8,
RESP0000282,INV0000803,2025-01-06,0,customer_support_speed
RESP0000283,INV0000811,2025-01-09,10,
RESP0000284,INV0000813,2025-01-05,8,
RESP0000285,INV0000814,2025-01-03,10,
RESP0000286,INV0000818,2025-01-06,9,
RESP0000287,INV0000820,2025-01-04,8,
RESP0000288,INV0000822,2025-01-10,6,mobile_app_performance
RESP0000289,INV0000823,2025-01-11,10,
RESP0000290,INV0000826,2025-01-03,9,
RESP0000291,INV0000827,2025-01-09,5,data_export_reliability
RESP0000292,INV0000830,2025-01-09,6,mobile_app_performance
RESP0000293,INV0000831,2025-01-10,1,pricing_transparency
RESP0000294,INV0000841,2025-01-06,9,
RESP0000295,INV0000842,2025-01-06,8,
RESP0000296,INV0000843,2025-01-08,3,pricing_transparency
RESP0000297,INV0000845,2025-01-05,0,mobile_app_performance
RESP0000298,INV0000849,2025-01-06,4,data_export_reliability
RESP0000299,INV0000850,2025-01-11,6,pricing_transparency
RESP0000300,INV0000854,2025-01-03,8,
RESP0000301,INV0000855,2025-01-02,9,
RESP0000302,INV0000863,2025-01-06,0,customer_support_speed
RESP0000303,INV0000865,2025-01-07,7,
RESP0000304,INV0000866,2025-01-05,2,data_export_reliability
RESP0000305,INV0000867,2025-01-06,0,mobile_app_performance
RESP0000306,INV0000870,2025-01-10,10,
RESP0000307,INV0000874,2025-01-06,9,
RESP0000308,INV0000875,2025-01-09,4,mobile_app_performance
RESP0000309,INV0000876,2025-01-09,0,mobile_app_performance
RESP0000310,INV0000877,2025-01-08,8,
RESP0000311,INV0000882,2025-01-09,1,
RESP0000312,INV0000883,2025-01-05,2,data_export_reliability
RESP0000313,INV0000887,2025-01-04,3,pricing_transparency
RESP0000314,INV0000891,2025-01-05,5,data_export_reliability
RESP0000315,INV0000893,2025-01-03,0,customer_support_speed
RESP0000316,INV0000894,2025-01-03,8,
RESP0000317,INV0000895,2025-01-03,8,
RESP0000318,INV0000896,2025-01-09,2,data_export_reliability
RESP0000319,INV0000901,2025-01-07,7,
RESP0000320,INV0000903,2025-01-07,10,
RESP0000321,INV0000910,2025-01-09,3,pricing_transparency
RESP0000322,INV0000911,2025-01-07,0,mobile_app_performance
RESP0000323,INV0000917,2025-01-04,10,
RESP0000324,INV0000918,2025-01-10,7,
RESP0000325,INV0000919,2025-01-08,0,pricing_transparency
RESP0000326,INV0000929,2025-01-09,10,
RESP0000327,INV0000933,2025-01-05,7,
RESP0000328,INV0000935,2025-01-08,9,
RESP0000329,INV0000937,2025-01-10,5,pricing_transparency
RESP0000330,INV0000946,2025-01-05,9,
RESP0000331,INV0000952,2025-01-07,3,mobile_app_performance
RESP0000332,INV0000953,2025-01-03,7,
RESP0000333,INV0000955,2025-01-08,7,
RESP0000334,INV0000959,2025-01-10,7,
RESP0000335,INV0000960,2025-01-09,10,
RESP0000336,INV0000963,2025-01-06,9,
RESP0000337,INV0000964,2025-01-04,0,mobile_app_performance
RESP0000338,INV0000969,2025-01-05,9,
RESP0000339,INV0000971,2025-01-08,0,customer_support_speed
RESP0000340,INV0000974,2025-01-03,7,
RESP0000341,INV0000975,2025-01-09,0,pricing_transparency
RESP0000342,INV0000979,2025-01-07,8,
RESP0000343,INV0000982,2025-01-06,9,
RESP0000344,INV0000984,2025-01-07,7,
RESP0000345,INV0000985,2025-01-06,9,
RESP0000346,INV0000987,2025-01-10,2,data_export_reliability
RESP0000347,INV0000993,2025-01-06,9,
RESP0000348,INV0000994,2025-01-06,9,
RESP0000349,INV0000996,2025-01-10,6,mobile_app_performance
RESP0000350,INV0001000,2025-01-09,2,data_export_reliability
RESP0000351,INV0001002,2025-01-09,10,
RESP0000352,INV0001005,2025-01-10,7,
RESP0000353,INV0001006,2025-01-05,8,
RESP0000354,INV0001008,2025-01-07,4,pricing_transparency
RESP0000355,INV0001015,2025-01-05,10,
RESP0000356,INV0001018,2025-01-07,4,pricing_transparency
RESP0000357,INV0001021,2025-01-07,9,
RESP0000358,INV0001023,2025-01-06,9,
RESP0000359,INV0001026,2025-01-08,0,pricing_transparency
RESP0000360,INV0001027,2025-01-06,2,mobile_app_performance
RESP0000361,INV0001031,2025-01-07,7,
RESP0000362,INV0001035,2025-01-03,8,
RESP0000363,INV0001041,2025-01-07,10,
RESP0000364,INV0001044,2025-01-07,2,mobile_app_performance
RESP0000365,INV0001047,2025-01-08,8,
RESP0000366,INV0001050,2025-01-06,10,
RESP0000367,INV0001054,2025-01-06,8,
RESP0000368,INV0001063,2025-01-12,5,pricing_transparency
RESP0000369,INV0001064,2025-01-07,9,
RESP0000370,INV0001066,2025-01-06,1,mobile_app_performance
RESP0000371,INV0001068,2025-01-08,9,
RESP0000372,INV0001074,2025-01-09,8,
RESP0000373,INV0001077,2025-01-07,6,mobile_app_performance
RESP0000374,INV0001081,2025-01-06,9,
RESP0000375,INV0001083,2025-01-10,10,
RESP0000376,INV0001085,2025-01-10,10,
RESP0000377,INV0001089,2025-01-08,9,
RESP0000378,INV0001094,2025-01-08,5,mobile_app_performance
RESP0000379,INV0001095,2025-01-07,6,pricing_transparency
RESP0000380,INV0001096,2025-01-06,8,
RESP0000381,INV0001097,2025-01-05,9,
RESP0000382,INV0001099,2025-01-10,3,pricing_transparency
RESP0000383,INV0001108,2025-01-07,6,mobile_app_performance
RESP0000384,INV0001110,2025-01-10,10,
RESP0000385,INV0001114,2025-01-08,7,
RESP0000386,INV0001115,2025-01-05,10,
RESP0000387,INV0001119,2025-01-09,8,
RESP0000388,INV0001121,2025-01-10,0,onboarding_experience
RESP0000389,INV0001122,2025-01-07,6,mobile_app_performance
RESP0000390,INV0001125,2025-01-07,3,pricing_transparency
RESP0000391,INV0001126,2025-01-08,2,mobile_app_performance
RESP0000392,INV0001127,2025-01-06,9,
RESP0000393,INV0001128,2025-01-03,10,
RESP0000394,INV0001130,2025-01-05,0,onboarding_experience
RESP0000395,INV0001132,2025-01-05,2,mobile_app_performance
RESP0000396,INV0001134,2025-01-09,9,
RESP0000397,INV0001138,2025-01-07,1,onboarding_experience
RESP0000398,INV0001147,2025-01-07,9,
RESP0000399,INV0001148,2025-01-08,10,
RESP0000400,INV0001149,2025-01-10,7,
RESP0000401,INV0001150,2025-01-07,10,
RESP0000402,INV0001153,2025-01-02,8,
RESP0000403,INV0001154,2025-01-06,4,mobile_app_performance
RESP0000404,INV0001156,2025-01-07,10,
RESP0000405,INV0001159,2025-01-08,4,onboarding_experience
RESP0000406,INV0001160,2025-01-06,10,
RESP0000407,INV0001164,2025-01-07,7,
RESP0000408,INV0001167,2025-01-04,10,
RESP0000409,INV0001168,2025-01-06,8,
RESP0000410,INV0001169,2025-01-07,2,customer_support_speed
RESP0000411,INV0001170,2025-01-06,3,mobile_app_performance
RESP0000412,INV0001171,2025-01-10,9,
RESP0000413,INV0001173,2025-01-03,10,
RESP0000414,INV0001174,2025-01-06,9,
RESP0000415,INV0001175,2025-01-04,8,
RESP0000416,INV0001176,2025-01-05,0,pricing_transparency
RESP0000417,INV0001177,2025-01-07,7,
RESP0000418,INV0001186,2025-01-07,4,pricing_transparency
RESP0000419,INV0001187,2025-01-08,4,mobile_app_performance
RESP0000420,INV0001189,2025-01-08,7,
RESP0000421,INV0001191,2025-01-07,7,
RESP0000422,INV0001198,2025-01-03,4,mobile_app_performance
RESP0000423,INV0001200,2025-01-07,4,data_export_reliability
RESP0000424,INV0001201,2025-01-08,8,
RESP0000425,INV0001202,2025-01-05,10,
RESP0000426,INV0001205,2025-01-08,7,
RESP0000427,INV0001207,2025-01-04,1,mobile_app_performance
RESP0000428,INV0001208,2025-01-09,10,
RESP0000429,INV0001210,2025-01-08,7,
RESP0000430,INV0001212,2025-01-10,10,
RESP0000431,INV0001218,2025-01-04,8,
RESP0000432,INV0001224,2025-01-11,10,
RESP0000433,INV0001226,2025-01-07,1,feature_discoverability
RESP0000434,INV0001227,2025-01-06,7,
RESP0000435,INV0001229,2025-01-11,7,
RESP0000436,INV0001230,2025-01-04,9,
RESP0000437,INV0001232,2025-01-05,7,
RESP0000438,INV0001234,2025-01-06,8,
RESP0000439,INV0001235,2025-01-10,5,mobile_app_performance
RESP0000440,INV0001236,2025-01-10,7,
RESP0000441,INV0001237,2025-01-09,10,
RESP0000442,INV0001238,2025-01-05,10,
RESP0000443,INV0001239,2025-01-06,10,
RESP0000444,INV0001240,2025-01-10,10,
RESP0000445,INV0001244,2025-01-09,9,
RESP0000446,INV0001245,2025-01-12,9,
RESP0000447,INV0001247,2025-01-08,9,
RESP0000448,INV0001256,2025-01-02,9,
RESP0000449,INV0001259,2025-01-09,9,
RESP0000450,INV0001264,2025-01-05,7,
RESP0000451,INV0001265,2025-01-05,2,pricing_transparency
RESP0000452,INV0001266,2025-01-05,7,
RESP0000453,INV0001270,2025-01-06,9,
RESP0000454,INV0001276,2025-01-08,0,onboarding_experience
RESP0000455,INV0001277,2025-01-08,0,customer_support_speed
RESP0000456,INV0001279,2025-01-03,10,
RESP0000457,INV0001282,2025-01-09,9,
RESP0000458,INV0001284,2025-01-09,7,
RESP0000459,INV0001289,2025-01-08,7,
RESP0000460,INV0001290,2025-01-06,10,
RESP0000461,INV0001291,2025-01-11,10,
RESP0000462,INV0001295,2025-01-03,9,
RESP0000463,INV0001297,2025-01-07,7,
RESP0000464,INV0001298,2025-01-07,4,
RESP0000465,INV0001300,2025-01-06,4,customer_support_speed
RESP0000466,INV0001307,2025-01-08,1,customer_support_speed
RESP0000467,INV0001309,2025-01-04,8,
RESP0000468,INV0001310,2025-01-07,5,customer_support_speed
RESP0000469,INV0001311,2025-01-02,0,customer_support_speed
RESP0000470,INV0001312,2025-01-05,2,reporting_accuracy
RESP0000471,INV0001314,2025-01-09,7,
RESP0000472,INV0001317,2025-01-05,10,
RESP0000473,INV0001318,2025-01-07,6,pricing_transparency
RESP0000474,INV0001321,2025-01-08,1,onboarding_experience
RESP0000475,INV0001324,2025-01-08,8,
RESP0000476,INV0001326,2025-01-06,8,
RESP0000477,INV0001329,2025-01-02,9,
RESP0000478,INV0001339,2025-01-10,8,
RESP0000479,INV0001341,2025-01-11,9,
RESP0000480,INV0001345,2025-01-07,2,mobile_app_performance
RESP0000481,INV0001349,2025-01-07,10,
RESP0000482,INV0001351,2025-01-04,7,
RESP0000483,INV0001357,2025-01-07,10,
RESP0000484,INV0001358,2025-01-08,10,
RESP0000485,INV0001361,2025-01-08,8,
RESP0000486,INV0001363,2025-01-07,9,
RESP0000487,INV0001364,2025-01-11,5,data_export_reliability
RESP0000488,INV0001369,2025-01-06,9,
RESP0000489,INV0001371,2025-01-04,9,
RESP0000490,INV0001376,2025-01-02,5,mobile_app_performance
RESP0000491,INV0001377,2025-01-07,4,onboarding_experience
RESP0000492,INV0001379,2025-01-07,9,
RESP0000493,INV0001383,2025-01-04,6,api_stability
RESP0000494,INV0001384,2025-01-12,9,
RESP0000495,INV0001386,2025-01-09,4,
RESP0000496,INV0001392,2025-01-10,6,customer_support_speed
RESP0000497,INV0001395,2025-01-07,10,
RESP0000498,INV0001397,2025-01-03,3,pricing_transparency
RESP0000499,INV0001401,2025-01-12,10,
RESP0000500,INV0001402,2025-01-09,7,
RESP0000501,INV0001412,2025-01-02,3,pricing_transparency
RESP0000502,INV0001421,2025-01-09,10,
RESP0000503,INV0001425,2025-01-03,7,
RESP0000504,INV0001430,2025-01-02,3,customer_support_speed
RESP0000505,INV0001432,2025-01-09,2,mobile_app_performance
RESP0000506,INV0001434,2025-01-02,9,
RESP0000507,INV0001437,2025-01-10,10,
RESP0000508,INV0001438,2025-01-04,9,
RESP0000509,INV0001439,2025-01-04,9,
RESP0000510,INV0001440,2025-01-10,10,
RESP0000511,INV0001448,2025-01-10,10,
RESP0000512,INV0001449,2025-01-08,1,api_stability
RESP0000513,INV0001450,2025-01-04,5,
RESP0000514,INV0001452,2025-01-07,8,
RESP0000515,INV0001453,2025-01-11,4,mobile_app_performance
RESP0000516,INV0001455,2025-01-09,9,
RESP0000517,INV0001456,2025-01-05,2,mobile_app_performance
RESP0000518,INV0001457,2025-01-09,10,
RESP0000519,INV0001458,2025-01-02,10,
RESP0000520,INV0001461,2025-01-06,9,
RESP0000521,INV0001462,2025-01-05,1,pricing_transparency
RESP0000522,INV0001466,2025-01-10,6,onboarding_experience
RESP0000523,INV0001469,2025-01-06,6,data_export_reliability
RESP0000524,INV0001470,2025-01-04,8,
RESP0000525,INV0001471,2025-01-05,10,
RESP0000526,INV0001479,2025-01-09,9,
RESP0000527,INV0001484,2025-01-05,9,
RESP0000528,INV0001487,2025-01-06,8,
RESP0000529,INV0001493,2025-01-10,9,
RESP0000530,INV0001500,2025-01-04,2,pricing_transparency
RESP0000531,INV0001504,2025-01-05,9,
RESP0000532,INV0001511,2025-01-08,7,
RESP0000533,INV0001513,2025-01-03,9,
RESP0000534,INV0001514,2025-01-10,10,
RESP0000535,INV0001515,2025-01-06,4,customer_support_speed
RESP0000536,INV0001518,2025-01-08,2,mobile_app_performance
RESP0000537,INV0001519,2025-01-06,6,data_export_reliability
RESP0000538,INV0001522,2025-01-02,8,
RESP0000539,INV0001525,2025-01-02,10,
RESP0000540,INV0001526,2025-01-04,7,
RESP0000541,INV0001528,2025-01-07,10,
RESP0000542,INV0001529,2025-01-06,4,mobile_app_performance
RESP0000543,INV0001531,2025-01-08,6,onboarding_experience
RESP0000544,INV0001536,2025-01-03,8,
RESP0000545,INV0001540,2025-01-06,7,
RESP0000546,INV0001542,2025-01-10,6,customer_support_speed
RESP0000547,INV0001547,2025-01-05,6,customer_support_speed
RESP0000548,INV0001549,2025-01-04,9,
RESP0000549,INV0001550,2025-01-02,2,mobile_app_performance
