pageview_id,segment_start_ms,segment_end_ms,avg_scroll_speed
TR00036,1276,1317,5.4
TR00036,1317,2164,22.2
TR00036,2164,3443,18.8
TR00036,3443,8436,18.4
TR00036,8436,9423,211.6
TR00036,9423,13204,424.0
TR00036,13204,14594,43.0
TR00037,0,1845,1.6
TR00037,1845,3380,64.1
TR00037,3380,5155,221.3
TR00037,5155,6618,270.9
TR00037,6618,7063,41.6
TR00037,7063,7283,241.4
TR00037,7283,7351,403.0
TR00037,7351,7437,4.2
TR00037,7437,8701,395.1
TR00038,0,1996,472.8
TR00038,1996,3062,51.3
TR00038,3062,3406,11.8
TR00038,3406,3605,353.1
TR00038,3605,4150,212.1
TR00038,4150,4353,276.7
TR00038,4353,4642,49.4
TR00038,4642,5786,150.3
TR00038,5786,5858,18.9
TR00038,5858,6897,485.2
TR00039,0,527,10.0
TR00039,527,7516,3.5
TR00039,7516,8598,61.0
TR00039,8598,9261,58.5
TR00039,9261,9723,469.1
TR00039,9723,11059,150.9
TR00039,11059,11721,94.1
TR00039,11721,14316,46.3
TR00040,0,867,24.8
TR00040,867,2267,383.5
TR00040,2267,5479,5.4
TR00040,5479,6116,20.7
TR00040,6116,6783,262.3
TR00040,6783,7621,21.9
TR00040,7621,8606,280.8
TR00040,8606,8793,45.9
TR00040,8793,9254,117.5
TR00041,0,161,58.6
TR00041,161,179,399.6
TR00041,179,2468,107.4
TR00041,2468,3061,2.0
TR00041,3061,4358,98.7
TR00041,4358,8150,49.1
TR00041,8150,9571,310.4
TR00042,0,668,459.7
TR00042,668,1267,19.7
TR00042,1267,1301,11.4
TR00042,1301,1325,444.1
TR00042,1325,3817,437.2
TR00042,3817,5390,9.5
TR00042,5390,5574,7.7
TR00043,0,3746,26.4
TR00043,3746,4878,59.1
TR00043,4878,5021,3.9
TR00043,5021,6100,21.7
TR00043,6100,6471,371.4
TR00043,6471,6875,53.8
TR00043,6875,7543,86.9
TR00043,7543,8737,376.6
TR00043,8737,11150,23.1
TR00043,11150,11215,343.1
TR00044,0,2026,60.0
TR00044,2026,2434,14.1
TR00044,2434,4851,1.4
TR00044,4851,5866,11.3
TR00044,5866,8791,110.8
TR00044,8791,8958,370.3
TR00044,8958,10957,346.3
TR00044,10957,12567,146.2
TR00044,12567,15223,64.7
TR00045,0,270,21.4
TR00045,270,1091,45.4
TR00045,1091,3697,20.3
TR00045,3697,4000,63.6
TR00045,4000,4091,267.1
TR00045,4091,4268,301.1
TR00045,4268,5508,338.8
TR00045,5508,6495,60.3
TR00045,6495,7656,55.7
TR00045,7656,8846,19.3
TR00045,8846,8886,495.5
TR00045,8886,9448,64.5
TR00046,0,1541,437.4
TR00046,1541,1565,0.4
TR00046,1565,3334,242.5
TR00046,3334,5742,36.1
TR00046,5742,5771,155.9
TR00046,5771,6377,0.6
TR00046,6377,6798,411.1
TR00046,6798,7801,5.7
TR00046,7801,12765,427.5
TR00046,12765,16422,485.6
TR00047,0,1164,41.0
TR00047,1164,1333,64.0
TR00047,1333,7619,484.4
TR00047,7619,8583,200.8
TR00047,8583,9279,143.9
TR00047,9279,10306,30.8
TR00048,0,1263,223.3
TR00048,1263,6170,40.5
TR00048,6170,7197,171.5
TR00048,7197,7270,30.1
TR00048,7270,8300,472.2
TR00048,8300,9810,421.7
TR00048,9810,9872,0.2
TR00048,9872,13296,29.1
TR00048,13296,13456,452.7
TR00048,13456,14067,460.9
TR00049,0,330,55.9
TR00049,330,1086,284.8
TR00049,1086,1164,112.8
TR00049,1164,2894,216.0
TR00049,2894,7739,29.9
TR00049,7739,8994,35.1
TR00049,8994,9515,20.3
TR00050,0,157,64.2
TR00050,157,2094,473.2
TR00050,2094,2359,162.5
TR00050,2359,11469,297.7
TR00050,11469,11772,60.5
TR00050,11772,19385,64.6
TR00051,0,1751,13.1
TR00051,1751,1811,43.1
TR00051,1811,2893,434.2
TR00051,2893,3501,369.8
TR00051,3501,3936,289.2
TR00051,3936,4912,30.0
TR00051,4912,4997,33.4
TR00051,4997,6117,109.5
TR00051,6117,6631,53.8
TR00051,6631,6812,409.3
TR00051,6812,10708,287.5
TR00052,0,2073,218.9
TR00052,2073,4784,490.1
TR00052,4784,5942,460.7
TR00052,5942,6403,26.8
TR00052,6403,7293,369.7
TR00052,7293,9457,41.6
TR00052,9457,9689,112.2
TR00052,9689,9781,284.9
TR00052,9781,13475,482.7
TR00052,13475,16876,68.9
TR00053,0,239,136.3
TR00053,239,1208,429.8
TR00053,1208,3709,496.7
TR00053,3709,4214,393.8
TR00053,4214,4893,14.9
TR00053,4893,5709,10.0
TR00053,5709,5831,53.1
TR00053,5831,6044,215.2
TR00054,0,518,2.1
TR00054,518,993,60.1
TR00054,993,1581,61.2
TR00054,1581,2037,68.7
TR00054,2037,2340,62.7
TR00054,2340,2636,56.0
TR00054,2636,4251,46.4
TR00054,4251,4598,17.1
TR00054,4598,5883,35.0
TR00054,5883,7831,117.8
TR00055,0,847,142.0
TR00055,847,3306,496.6
TR00055,3306,5749,452.9
TR00055,5749,10493,20.4
TR00055,10493,10524,34.0
TR00055,10524,12366,34.1
TR00055,12366,12524,160.5
TR00055,12524,12727,399.9
TR00055,12727,13921,387.0
TR00056,0,151,13.3
TR00056,151,1404,0.9
TR00056,1404,2820,3.7
TR00056,2820,4988,56.6
TR00056,4988,6130,61.8
TR00056,6130,6937,324.0
TR00056,6937,10344,420.0
TR00056,10344,10974,87.7
TR00056,10974,11878,114.2
TR00056,11878,13052,15.1
TR00056,13052,13697,62.2
TR00057,0,1850,48.4
TR00057,1850,2039,405.9
TR00057,2039,4368,63.5
TR00057,4368,7054,30.2
TR00057,7054,8505,4.4
TR00057,8505,12520,273.1
TR00057,12520,13520,36.3
TR00057,13520,13864,250.1
TR00057,13864,14512,47.2
TR00057,14512,15284,12.9
TR00057,15284,16524,349.7
TR00057,16524,17743,53.4
TR00058,0,2025,88.9
TR00058,2025,4233,336.0
TR00058,4233,4997,50.8
TR00058,4997,5567,376.7
TR00058,5567,7501,35.5
TR00058,7501,12790,60.3
TR00058,12790,15007,4.8
TR00058,15007,15980,106.0
TR00058,15980,17339,37.2
TR00059,0,5678,26.7
TR00059,5678,6780,32.0
TR00059,6780,8825,60.4
TR00059,8825,8855,7.8
TR00059,8855,9082,267.6
TR00059,9082,9266,60.0
TR00059,9266,14946,8.4
TR00059,14946,16271,251.7
TR00059,16271,16325,62.7
TR00059,16325,17387,419.4
TR00060,0,3164,52.5
TR00060,3164,4284,134.5
TR00060,4284,4313,32.4
TR00060,4313,6111,53.3
TR00060,6111,6848,390.5
TR00060,6848,10132,180.7
TR00060,10132,10505,32.1
TR00060,10505,13340,21.9
TR00060,13340,14580,307.6
TR00060,14580,18393,6.8
TR00060,18393,18506,19.4
TR00061,0,629,284.8
TR00061,629,1116,22.9
TR00061,1116,2077,11.1
TR00061,2077,3050,11.2
TR00061,3050,3287,17.9
TR00061,3287,5696,42.2
TR00061,5696,7452,90.8
TR00061,7452,7498,301.9
TR00061,7498,9416,400.0
TR00061,9416,11424,66.9
TR00061,11424,12854,256.5
TR00062,0,1309,16.0
TR00062,1309,1933,10.3
TR00062,1933,3422,20.7
TR00062,3422,4672,152.4
TR00062,4672,4999,46.0
TR00062,4999,6807,174.0
TR00062,6807,7400,265.4
TR00062,7400,11145,45.5
TR00062,11145,11662,136.3
TR00062,11662,12490,1.6
TR00062,12490,13779,343.2
TR00063,0,2665,1.1
TR00063,2665,6423,14.8
TR00063,6423,7673,42.5
TR00063,7673,9175,357.3
TR00063,9175,9853,40.1
TR00063,9853,10372,23.2
TR00063,10372,10954,83.1
TR00063,10954,11056,62.6
TR00063,11056,12183,352.3
TR00063,12183,12643,477.5
TR00063,12643,13573,44.0
TR00064,0,71,340.0
TR00064,71,2509,33.4
TR00064,2509,3535,280.4
TR00064,3535,3899,197.0
TR00064,3899,5705,233.3
TR00064,5705,6203,89.1
TR00065,0,3899,48.8
TR00065,3899,3973,27.0
TR00065,3973,6518,459.8
TR00065,6518,6808,45.8
TR00065,6808,9778,67.8
TR00065,9778,11355,484.9
TR00065,11355,12136,43.2
TR00066,0,624,59.5
TR00066,624,1590,282.4
TR00066,1590,2861,32.8
TR00066,2861,3810,334.1
TR00066,3810,6835,27.2
TR00066,6835,7419,242.1
TR00066,7419,7697,301.8
TR00066,7697,7714,310.2
TR00066,7714,9423,21.7
TR00067,0,566,69.3
TR00067,566,1231,49.6
TR00067,1231,1246,14.7
TR00067,1246,4829,120.8
TR00067,4829,5694,0.2
TR00067,5694,6402,57.8
TR00067,6402,11543,38.7
TR00067,11543,11922,207.8
TR00067,11922,12314,159.2
TR00067,12314,12736,464.3
TR00067,12736,13339,59.9
TR00068,0,5230,43.1
TR00068,5230,6592,17.1
TR00068,6592,6977,105.7
TR00068,6977,8244,85.4
TR00068,8244,11739,40.1
TR00068,11739,13959,37.7
TR00068,13959,15460,258.2
TR00069,0,1213,316.9
TR00069,1213,3047,163.1
TR00069,3047,5703,38.9
TR00069,5703,6558,50.5
TR00069,6558,7954,483.7
TR00069,7954,8567,60.6
TR00069,8567,9981,31.7
TR00069,9981,14639,217.5
TR00069,14639,14862,333.6
TR00070,0,2958,34.9
TR00070,2958,3387,162.9
TR00070,3387,3806,29.6
TR00070,3806,4310,479.0
TR00070,4310,5393,64.1
TR00070,5393,6315,7.7
TR00070,6315,6456,385.9
TR00070,6456,7253,24.2
TR00070,7253,10996,32.8
TR00070,10996,13711,462.8
TR00070,13711,16754,32.3
TR00071,0,326,0.6
TR00071,326,1561,45.5
TR00071,1561,1746,36.7
TR00071,1746,4987,0.2
TR00071,4987,5507,315.8
TR00071,5507,7395,107.6
TR00071,7395,10866,52.4
TR00071,10866,11386,419.3
TR00071,11386,12165,19.6
TR00071,12165,12324,82.0
TR00072,0,911,477.2
TR00072,911,1622,143.6
TR00072,1622,3090,222.6
TR00072,3090,4159,63.1
TR00072,4159,4574,51.7
TR00072,4574,5312,203.3
TR00072,5312,5594,374.8
TR00072,5594,5637,70.0
TR00072,5637,5941,24.1
TR00072,5941,7635,43.9
TR00073,0,2832,11.7
TR00073,2832,3549,290.6
TR00073,3549,3946,381.1
TR00073,3946,4628,21.9
TR00073,4628,6526,285.6
TR00073,6526,7551,60.6
TR00073,7551,8043,2.6
TR00073,8043,11047,39.7
TR00073,11047,11892,265.5
TR00073,11892,13090,448.2
TR00074,0,461,56.2
TR00074,461,1001,21.4
TR00074,1001,1232,224.6
TR00074,1232,1624,80.4
TR00074,1624,2064,13.6
TR00074,2064,2231,264.9
TR00074,2231,2365,210.6
TR00074,2365,4099,31.6
TR00074,4099,4339,11.8
TR00074,4339,4440,394.8
TR00074,4440,4646,370.1
TR00074,4646,5068,45.1
TR00075,0,914,109.3
TR00075,914,1164,0.4
TR00075,1164,4304,279.4
TR00075,4304,5536,3.4
TR00075,5536,7670,270.0
TR00075,7670,7760,27.4
TR00076,0,1946,129.8
TR00076,1946,2496,378.0
TR00076,2496,2617,17.1
TR00076,2617,4493,3.4
TR00076,4493,6356,482.4
TR00076,6356,7432,32.0
TR00077,0,373,197.0
TR00077,373,1862,46.7
TR00077,1862,6752,46.3
TR00077,6752,7406,63.1
TR00077,7406,8297,52.6
TR00077,8297,11042,1.9
TR00077,11042,14052,3.1
TR00078,0,836,12.5
TR00078,836,1379,393.5
TR00078,1379,3407,301.0
TR00078,3407,4059,7.1
TR00078,4059,4446,262.6
TR00078,4446,4655,496.2
TR00078,4655,4925,39.9
TR00078,4925,5144,23.2
TR00078,5144,5153,328.4
TR00079,0,631,51.7
TR00079,631,5788,20.0
TR00079,5788,6832,459.6
TR00079,6832,9160,239.2
TR00079,9160,11121,451.5
TR00079,11121,11788,54.0
TR00079,11788,12143,53.4
TR00079,12143,12353,0.3
TR00079,12353,12746,299.0
TR00080,0,480,57.5
TR00080,480,498,225.6
TR00080,498,2000,341.6
TR00080,2000,4036,47.2
TR00080,4036,4747,28.9
TR00080,4747,5412,32.0
TR00080,5412,5435,2.7
TR00080,5435,6117,333.8
TR00080,6117,6776,9.0
TR00081,0,557,242.7
TR00081,557,3289,58.9
TR00081,3289,4536,159.2
TR00081,4536,5288,6.9
TR00081,5288,7804,46.5
TR00081,7804,11480,32.7
TR00081,11480,13413,38.7
TR00082,0,20,347.0
TR00082,20,71,344.7
TR00082,71,1687,63.3
TR00082,1687,3552,16.9
TR00082,3552,3613,49.1
TR00082,3613,3803,56.9
TR00082,3803,3885,152.0
TR00082,3885,4699,212.6
TR00082,4699,5154,64.6
TR00082,5154,5332,62.5
TR00082,5332,5654,360.6
TR00082,5654,5816,50.5
TR00083,0,198,196.5
TR00083,198,292,166.7
TR00083,292,657,40.0
TR00083,657,1687,249.1
TR00083,1687,2047,40.6
TR00083,2047,2366,188.4
TR00083,2366,3582,221.8
TR00083,3582,6414,301.6
TR00084,0,1092,400.2
TR00084,1092,8681,395.0
TR00084,8681,8848,43.1
TR00084,8848,13974,202.4
TR00084,13974,18732,59.9
TR00084,18732,18966,45.7
TR00085,0,1578,16.5
TR00085,1578,6478,229.6
TR00085,6478,6923,131.8
TR00085,6923,7477,455.5
TR00085,7477,8864,23.0
TR00085,8864,10731,45.6
TR00085,10731,14966,35.4
TR00085,14966,17091,10.1
TR00085,17091,18053,75.2
TR00085,18053,18596,27.4
TR00086,0,99,19.2
TR00086,99,1498,113.7
TR00086,1498,13423,14.1
TR00086,13423,14257,48.2
TR00086,14257,16319,326.1
TR00086,16319,16490,485.7
TR00087,0,243,73.7
TR00087,243,828,421.9
TR00087,828,1497,359.1
TR00087,1497,1619,74.5
TR00087,1619,3361,35.0
TR00087,3361,4945,96.2
TR00087,4945,5023,29.0
TR00087,5023,5636,347.8
TR00087,5636,10122,366.1
TR00087,10122,10723,137.0
TR00087,10723,10816,50.9
TR00087,10816,12640,262.8
TR00088,0,327,357.9
TR00088,327,2919,46.1
TR00088,2919,11567,36.9
TR00088,11567,12904,379.0
TR00088,12904,13099,382.7
TR00088,13099,13183,58.2
TR00088,13183,18224,50.4
TR00089,0,353,53.7
TR00089,353,2073,13.7
TR00089,2073,2231,77.1
TR00089,2231,5818,325.9
TR00089,5818,5953,398.9
TR00089,5953,6286,9.3
TR00089,6286,6702,31.3
TR00089,6702,6707,222.3
TR00089,6707,7956,445.4
TR00089,7956,9195,13.6
TR00089,9195,11863,403.1
TR00089,11863,12710,116.0
TR00090,0,1686,16.0
TR00090,1686,4436,427.6
TR00090,4436,5567,61.3
TR00090,5567,6885,169.5
TR00090,6885,7030,50.8
TR00090,7030,7043,440.6
TR00090,7043,8434,423.9
TR00091,0,1108,130.1
TR00091,1108,2456,392.4
TR00091,2456,2833,248.6
TR00091,2833,4284,2.4
TR00091,4284,5587,453.8
TR00091,5587,6868,436.8
TR00091,6868,8105,22.8
TR00091,8105,8245,377.6
TR00091,8245,8931,65.2
TR00092,0,388,174.4
TR00092,388,1412,3.7
TR00092,1412,2233,17.5
TR00092,2233,2339,270.5
TR00092,2339,3100,23.0
TR00092,3100,5328,346.0
TR00092,5328,6967,7.6
TR00092,6967,7926,48.0
TR00092,7926,13301,496.3
TR00092,13301,13624,86.3
TR00093,0,3315,3.2
TR00093,3315,5190,168.7
TR00093,5190,10357,175.8
TR00093,10357,12104,382.2
TR00093,12104,13379,41.2
TR00093,13379,15829,3.8
TR00093,15829,18251,469.5
TR00094,0,1255,295.1
TR00094,1255,2188,111.2
TR00094,2188,2963,414.8
TR00094,2963,4652,400.0
TR00094,4652,10015,12.9
TR00094,10015,11457,213.8
TR00095,0,1955,124.9
TR00095,1955,3094,40.5
TR00095,3094,6700,10.6
TR00095,6700,7224,11.4
TR00095,7224,9789,4.3
TR00095,9789,10150,56.1
TR00096,0,766,61.5
TR00096,766,2517,97.2
TR00096,2517,3358,84.1
TR00096,3358,3760,0.7
TR00096,3760,4147,18.3
TR00096,4147,5765,188.2
TR00097,0,448,236.6
TR00097,448,2830,484.4
TR00097,2830,7823,191.8
TR00097,7823,8969,467.8
TR00097,8969,12064,3.7
TR00097,12064,13006,39.4
TR00097,13006,13160,23.1
TR00097,13160,13193,5.2
TR00097,13193,14708,443.2
TR00098,0,962,400.3
TR00098,962,2085,30.5
TR00098,2085,3328,470.6
TR00098,3328,3420,252.5
TR00098,3420,6402,41.3
TR00098,6402,7178,53.0
TR00098,7178,7486,41.2
TR00098,7486,9272,478.4
TR00098,9272,11013,81.0
TR00098,11013,11720,15.3
TR00098,11720,13840,271.6
TR00098,13840,17645,343.2
TR00099,0,1101,54.7
TR00099,1101,3062,24.8
TR00099,3062,5615,57.5
TR00099,5615,7324,391.2
TR00099,7324,7745,43.8
TR00099,7745,7842,56.2
TR00099,7842,7894,40.0
TR00100,0,1332,414.3
TR00100,1332,4027,488.9
TR00100,4027,7487,13.0
TR00100,7487,8062,143.8
TR00100,8062,12558,406.8
TR00100,12558,15317,5.4
TR00100,15317,16378,47.7
TR00100,16378,16771,2.5
TR00101,0,4239,302.2
TR00101,4239,7861,464.4
TR00101,7861,10319,246.3
TR00101,10319,13789,17.4
TR00101,13789,14637,95.8
TR00101,14637,15904,72.6
TR00101,15904,18598,64.6
TR00101,18598,18624,56.3
TR00101,18624,19247,25.5
TR00102,0,511,60.1
TR00102,511,671,15.5
TR00102,671,1123,351.7
TR00102,1123,2970,247.9
TR00102,2970,3733,387.1
TR00102,3733,4074,16.5
TR00102,4074,4463,251.5
TR00102,4463,4909,258.3
TR00102,4909,5936,446.6
TR00103,0,4768,158.4
TR00103,4768,5463,148.1
TR00103,5463,6383,43.1
TR00103,6383,7159,16.0
TR00103,7159,9966,50.8
TR00103,9966,11146,44.5
TR00104,0,1066,410.9
TR00104,1066,4969,189.9
TR00104,4969,7951,44.2
TR00104,7951,10239,479.6
TR00104,10239,10804,26.9
TR00104,10804,15108,67.1
TR00104,15108,17680,24.3
TR00104,17680,18376,63.1
TR00104,18376,19826,462.8
TR00105,0,1432,40.2
TR00105,1432,2009,284.6
TR00105,2009,3119,51.0
TR00105,3119,3221,189.8
TR00105,3221,3973,34.2
TR00105,3973,4032,5.8
TR00105,4032,5119,25.5
TR00105,5119,5428,54.4
TR00105,5428,7373,48.2
TR00105,7373,7415,74.4
TR00105,7415,8352,32.3
TR00105,8352,8469,3.6
TR00106,0,2504,39.7
TR00106,2504,6043,50.8
TR00106,6043,13277,250.9
TR00106,13277,14805,94.7
TR00106,14805,14922,470.6
TR00106,14922,17380,34.2
TR00106,17380,18443,57.5
