pageview_id,creative_id,interval_start_ms,interval_end_ms,avg_viewport_pct
TR00045,C012,930,4151,75.8
TR00045,C012,6612,6960,54.5
TR00045,C021,3988,5764,76.2
TR00045,C024,2242,4008,21.5
TR00045,C024,5668,8652,30.3
TR00045,C025,0,3898,56.9
TR00045,C041,1612,4245,34.5
TR00045,C049,756,1059,35.7
TR00045,C012,1091,3697,68.8
TR00046,C001,1133,16321,73.0
TR00046,C016,592,3037,43.8
TR00046,C016,4579,5888,46.5
TR00046,C016,8813,9086,34.9
TR00046,C016,13377,15837,33.5
TR00046,C032,7543,9481,64.9
TR00046,C039,3056,5621,88.0
TR00046,C039,10367,11264,68.9
TR00047,C001,83,3796,83.5
TR00047,C017,1321,4451,52.2
TR00047,C035,0,748,32.9
TR00047,C039,590,3656,44.7
TR00047,C039,7187,8534,48.6
TR00047,C042,310,1981,75.3
TR00047,C042,3393,4345,89.6
TR00047,C042,5934,7297,55.3
TR00047,C042,8433,9247,90.7
TR00047,C047,2694,6305,46.9
TR00047,C049,1278,1778,66.8
TR00047,C049,5912,9881,38.3
TR00048,C004,29,2378,20.4
TR00048,C017,443,3927,68.5
TR00048,C017,7204,8212,42.6
TR00048,C027,913,1847,91.6
TR00048,C027,4241,5532,76.5
TR00048,C027,8195,9126,94.8
TR00048,C027,10686,12087,92.6
TR00048,C028,2283,4119,92.6
TR00048,C028,9781,13219,76.8
TR00048,C029,3226,5949,77.5
TR00048,C029,7825,8726,32.5
TR00048,C032,883,4850,20.1
TR00048,C039,242,4080,24.7
TR00048,C039,9453,11728,87.2
TR00049,C019,735,1588,91.3
TR00049,C022,260,642,51.3
TR00049,C022,3615,5207,86.0
TR00049,C022,6727,7962,82.3
TR00049,C024,1529,8805,68.4
TR00049,C026,806,2396,93.6
TR00049,C026,5177,8207,54.4
TR00049,C049,2952,6020,57.2
TR00050,C006,1985,19167,92.0
TR00050,C011,4510,6619,41.0
TR00050,C011,12277,15531,67.5
TR00050,C024,2702,17959,62.4
TR00050,C025,1877,2340,89.5
TR00050,C025,10691,11268,43.7
TR00050,C043,3205,4339,65.9
TR00050,C043,9914,12277,75.3
TR00050,C044,4341,4730,70.7
TR00050,C048,675,4293,21.4
TR00050,C048,11474,12091,49.3
TR00051,C013,825,3492,67.0
TR00051,C020,1225,3211,67.5
TR00051,C021,1800,10439,62.3
TR00051,C031,2263,2648,55.2
TR00051,C031,5757,9467,65.0
TR00051,C032,22,2084,39.4
TR00051,C032,3055,4762,31.1
TR00051,C032,5826,6048,79.7
TR00051,C032,8566,9762,30.0
TR00051,C034,0,2561,45.1
TR00051,C039,1394,3072,60.5
TR00051,C039,5471,5776,37.8
TR00052,C008,3429,6660,92.3
TR00052,C008,8745,10728,78.5
TR00052,C012,3964,6585,81.0
TR00052,C012,11139,11445,47.4
TR00052,C019,1490,1748,37.0
TR00052,C019,11127,12996,75.5
TR00052,C027,3125,6004,49.7
TR00052,C039,2712,4121,38.1
TR00052,C039,11017,12978,38.9
TR00053,C008,436,1074,71.1
TR00053,C008,1966,2745,52.9
TR00053,C008,3329,4064,95.2
TR00053,C008,4751,5794,60.9
TR00053,C018,1015,4921,52.2
TR00053,C027,1455,3452,24.9
TR00053,C037,1113,1686,27.1
TR00053,C037,3730,4355,20.8
TR00054,C002,94,2132,82.3
TR00054,C002,4628,5439,31.6
TR00054,C027,1393,2618,25.2
TR00054,C027,5227,7381,41.3
TR00054,C034,3233,6857,92.8
TR00054,C043,929,3133,78.6
TR00054,C043,3950,4342,79.8
TR00054,C049,3508,4390,23.7
TR00055,C004,2288,2790,58.8
TR00055,C004,8417,11677,83.9
TR00055,C005,449,2766,52.8
TR00055,C012,0,1551,75.5
TR00055,C037,2376,5979,39.3
TR00055,C037,7054,8108,23.3
TR00055,C039,681,3170,67.5
TR00056,C001,2170,2580,40.3
TR00056,C001,7522,9479,67.5
TR00056,C011,777,3805,77.8
TR00056,C012,2320,11129,82.5
TR00056,C014,3209,5083,52.0
TR00056,C014,7062,7553,30.2
TR00056,C023,1022,2667,56.4
TR00056,C023,4097,5559,32.6
TR00056,C023,7367,9858,45.3
TR00056,C023,10327,10735,79.3
TR00056,C027,1576,10653,99.6
TR00056,C030,6337,9388,52.9
TR00056,C047,0,4952,32.8
TR00057,C001,139,15296,95.3
TR00057,C005,4408,5049,56.4
TR00057,C006,4376,7929,79.3
TR00057,C006,11140,13112,70.7
TR00057,C022,1135,4572,98.2
TR00057,C024,2360,15644,65.9
TR00057,C050,1607,3809,74.5
TR00057,C050,10297,11042,32.9
TR00058,C008,441,1640,48.6
TR00058,C008,10391,11228,45.0
TR00058,C014,1107,4567,85.7
TR00058,C022,411,1447,69.7
TR00058,C022,4896,6210,44.8
TR00058,C022,9877,10789,71.2
TR00058,C022,14334,14664,66.8
TR00058,C025,3028,16912,66.9
TR00058,C049,8136,9341,55.4
TR00059,C007,3867,7512,26.5
TR00059,C007,10214,13285,89.7
TR00059,C017,0,4211,41.1
TR00059,C021,3851,4162,96.8
TR00059,C021,12906,15031,86.5
TR00059,C028,2443,5469,32.6
TR00059,C028,12773,13152,97.5
TR00059,C045,2946,4725,60.1
TR00059,C045,12758,15561,73.7
TR00060,C001,0,8784,61.5
TR00060,C018,1007,2747,73.9
TR00060,C018,6449,8092,59.9
TR00060,C018,12870,14383,62.9
TR00060,C026,989,3975,23.1
TR00060,C026,11185,12222,35.7
TR00060,C030,456,2233,88.1
TR00060,C030,5420,7391,56.4
TR00060,C030,9781,10193,78.0
TR00060,C030,14971,15582,75.1
TR00060,C032,1116,1389,77.6
TR00060,C032,5754,7696,67.7
TR00060,C032,10581,12878,38.7
TR00060,C032,14057,15362,95.4
TR00060,C038,508,1082,60.9
TR00060,C038,5716,7466,80.6
TR00060,C038,10504,12804,49.2
TR00060,C038,14391,16725,51.2
TR00060,C041,0,4806,81.9
TR00060,C044,3927,6826,24.9
TR00060,C026,14580,18393,86.4
TR00061,C011,437,3370,94.5
TR00061,C011,6756,7415,84.3
TR00061,C013,2079,5074,52.2
TR00061,C028,850,4377,52.9
TR00061,C028,6515,9380,49.5
TR00061,C033,2591,4049,89.4
TR00061,C045,509,2987,33.8
TR00061,C045,7653,9721,61.6
TR00062,C013,53,752,32.5
TR00062,C013,8235,8869,51.5
TR00062,C029,278,2774,89.1
TR00062,C030,4223,6292,97.8
TR00062,C034,4148,6491,95.2
TR00062,C041,4619,8449,54.2
TR00062,C043,2187,3154,41.5
TR00062,C043,7827,10725,74.9
TR00062,C046,31,2646,26.2
TR00062,C046,8670,9853,58.6
TR00063,C005,839,1633,87.3
TR00063,C005,3637,4166,62.8
TR00063,C005,7497,8557,48.2
TR00063,C005,11019,11962,46.4
TR00063,C021,617,11535,70.4
TR00063,C022,142,13033,82.0
TR00063,C027,479,3420,48.3
TR00063,C031,2684,6157,49.7
TR00063,C031,7067,7975,99.4
TR00063,C044,404,1875,50.4
TR00063,C044,7556,8152,50.2
TR00064,C009,234,4672,98.3
TR00064,C010,717,5476,76.3
TR00064,C022,1482,1989,80.6
TR00064,C022,3610,4457,91.2
TR00064,C025,287,1781,43.9
TR00064,C025,4501,5045,57.1
TR00064,C034,2578,5429,35.7
TR00065,C004,0,5614,77.6
TR00065,C011,925,11724,96.6
TR00065,C020,178,1188,90.0
TR00065,C020,4105,5268,82.0
TR00065,C020,8527,9870,84.5
TR00065,C023,13,11502,66.4
TR00065,C031,1409,2586,49.7
TR00065,C031,8071,10018,26.9
TR00065,C045,509,4288,90.4
TR00065,C045,7702,10255,32.2
TR00065,C046,1848,11078,92.1
TR00065,C048,2785,5398,21.7
TR00065,C048,8672,11951,35.1
TR00066,C013,466,3035,54.0
TR00066,C025,703,2684,39.7
TR00066,C033,0,4369,33.6
TR00066,C042,182,3831,67.7
TR00066,C050,336,2182,55.4
TR00066,C050,2746,3440,38.6
TR00066,C050,4863,5369,38.9
TR00066,C050,7140,7542,42.5
TR00067,C009,2549,10278,86.3
TR00067,C013,3173,6254,98.4
TR00067,C013,7284,10220,60.1
TR00067,C015,5468,8479,75.1
TR00067,C022,311,3583,42.5
TR00067,C022,8038,9261,65.3
TR00067,C030,1040,2073,88.2
TR00067,C030,9964,12439,42.9
TR00067,C043,1855,4608,61.2
TR00067,C047,3238,4902,89.3
TR00067,C047,7202,8066,35.2
TR00067,C048,804,1603,82.3
TR00068,C017,6503,7421,64.2
TR00068,C030,2159,11898,95.1
TR00068,C031,1260,3221,90.4
TR00068,C036,33,13103,61.3
TR00068,C045,356,992,39.5
TR00069,C002,1559,13683,96.4
TR00069,C007,6262,7868,59.8
TR00069,C014,420,1211,42.7
TR00069,C014,4551,5643,51.9
TR00069,C014,8575,10809,56.9
TR00069,C014,12135,14078,51.1
TR00069,C031,3690,7104,43.5
TR00069,C031,9580,11161,60.2
TR00069,C036,7404,10784,40.9
TR00069,C048,5106,8486,45.5
TR00070,C011,1811,3784,98.2
TR00070,C011,12033,14131,57.3
TR00070,C014,2136,14386,91.0
TR00070,C020,489,723,55.3
TR00070,C020,4730,6851,81.4
TR00070,C020,8436,10484,45.0
TR00070,C020,13589,15670,86.7
TR00070,C023,1247,1580,81.9
TR00070,C023,7375,9574,59.8
TR00070,C023,11573,11868,90.7
TR00070,C032,4951,6634,66.8
TR00070,C037,109,1790,38.8
TR00070,C037,4540,6155,86.4
TR00070,C037,8462,9586,52.6
TR00070,C037,12751,14567,69.9
TR00070,C041,4945,6558,25.9
TR00070,C050,3858,5924,44.2
TR00071,C022,942,2137,45.0
TR00071,C022,4472,6042,34.0
TR00071,C022,8587,10950,92.1
TR00071,C026,268,9422,79.2
TR00071,C027,2586,5822,75.3
TR00071,C035,2374,9361,82.3
TR00071,C041,339,2712,22.1
TR00071,C041,7143,10692,24.2
TR00072,C011,404,890,64.8
TR00072,C011,2700,4213,91.5
TR00072,C011,5374,7167,92.9
TR00072,C014,1952,3746,43.1
TR00072,C024,1990,4495,29.4
TR00072,C041,66,672,35.4
TR00072,C041,2260,3170,77.8
TR00072,C041,3827,5078,100.0
TR00072,C041,5907,7235,96.6
TR00072,C043,1289,3616,76.8
TR00072,C045,2774,4630,82.9
TR00073,C008,783,10298,78.2
TR00073,C018,2411,11597,84.2
TR00073,C020,2652,3837,37.5
TR00073,C020,7333,9399,49.1
TR00073,C034,2967,3524,95.4
TR00073,C034,7612,10032,69.4
TR00074,C006,1751,2762,74.8
TR00074,C015,1986,3938,51.0
TR00074,C024,893,1776,79.5
TR00074,C024,3540,3742,58.5
TR00074,C043,1048,1303,48.9
TR00074,C045,222,778,87.2
TR00075,C002,433,1058,32.5
TR00075,C002,4754,6159,80.9
TR00075,C019,814,1973,36.9
TR00075,C019,4262,6827,39.0
TR00075,C024,1861,3730,90.1
TR00075,C024,4204,6190,98.8
TR00075,C036,2627,2978,91.8
TR00075,C037,1858,2931,50.9
TR00075,C037,4319,7743,55.9
TR00075,C038,511,2152,93.5
TR00075,C038,4362,5656,78.0
TR00076,C004,84,7288,96.4
TR00076,C010,533,1060,26.7
TR00076,C010,3946,6615,46.7
TR00076,C016,122,2917,76.6
TR00076,C016,3739,6102,36.6
TR00076,C020,417,1658,97.7
TR00076,C020,4656,5913,46.3
TR00076,C022,1459,1778,61.9
TR00076,C030,254,6441,85.4
TR00076,C032,899,7287,79.9
TR00076,C041,197,437,87.0
TR00076,C041,2256,2658,83.0
TR00076,C041,3731,4677,75.2
TR00076,C041,5723,6609,72.2
TR00077,C014,1942,3473,93.1
TR00077,C014,9944,10326,38.7
TR00077,C030,4262,6780,87.5
TR00077,C038,5480,7078,59.5
TR00077,C050,3354,4280,24.0
TR00077,C050,7439,9582,37.2
TR00078,C012,865,2605,50.9
TR00078,C014,378,1396,94.0
TR00078,C014,2157,3250,31.5
TR00078,C014,3738,4982,54.2
TR00078,C020,101,349,93.4
TR00078,C020,2727,3093,56.2
