pageview_id,creative_id,position_in_feed,loaded_ts_ms,first_render_ts_ms,total_visible_ms,max_viewport_pct,avg_viewport_pct,uninterrupted_visible_ms,refresh_count,is_sticky,is_preload,click_occurred,click_ts_ms,time_to_click_ms,credited_click
TR00008,C029,4,47,2800,2449,29.6,29.6,2449,0,0,0,0,-1,-1,0
TR00008,C037,5,506,2968,2220,31.1,31.1,2220,0,0,0,0,-1,-1,0
TR00009,C033,1,2305,62,7925,72.7,67.4,4136,0,0,0,1,11261,118,1
TR00009,C034,2,502,4245,4213,77.2,74.8,2254,0,0,0,1,11261,116,0
TR00009,C042,3,5168,3162,2467,77.3,57.2,1599,0,0,0,1,11261,73,0
TR00009,C048,4,2367,595,3486,38.8,38.8,3486,0,0,0,1,11261,7180,0
TR00010,C001,1,1533,1456,5753,51.0,50.5,2998,0,0,0,0,-1,-1,0
TR00010,C009,2,2646,92,3211,41.8,36.3,1871,1,0,0,0,-1,-1,0
TR00010,C013,3,2279,2788,6452,87.6,65.0,3512,0,0,0,0,-1,-1,0
TR00010,C029,4,1480,3668,2141,35.2,35.2,2141,0,0,0,0,-1,-1,0
TR00011,C001,1,1140,215,3151,86.5,48.1,1457,3,0,0,1,13209,1121,0
TR00011,C003,2,4515,6765,1151,65.1,65.1,1151,0,0,0,1,13209,5293,0
TR00011,C028,3,4893,486,15213,77.0,77.0,15213,0,1,0,1,13209,2490,1
TR00011,C033,4,5393,414,3396,53.9,37.3,1347,2,0,0,1,13209,135,0
TR00011,C036,5,1298,1629,3486,90.5,90.5,3486,0,0,0,1,13209,8094,0
TR00011,C048,6,3397,2251,4030,73.2,59.3,2942,0,0,0,1,13209,131,0
TR00012,C010,1,563,2137,4156,98.0,62.4,2329,0,0,0,1,7128,1418,1
TR00012,C015,2,949,2713,2500,56.4,56.4,2500,0,0,0,1,7128,1915,0
TR00012,C017,3,61,2111,3051,29.1,29.1,3051,0,0,0,1,7128,1966,0
TR00012,C026,4,906,1048,1938,63.8,58.4,1508,0,0,0,1,7128,1396,0
TR00012,C032,5,3091,1778,2563,83.2,83.2,2563,0,0,0,1,7128,2787,0
TR00012,C039,6,257,267,3115,95.6,95.6,3115,0,0,0,1,7128,3746,0
TR00012,C045,7,587,875,3811,89.3,63.5,2058,1,0,0,1,7128,956,0
TR00012,C049,8,1058,2124,2286,83.1,62.2,1492,0,0,0,1,7128,299,0
TR00013,C002,1,1407,333,2963,92.4,60.1,1190,3,0,0,0,-1,-1,0
TR00013,C026,2,371,2403,9559,96.8,96.8,9559,0,1,0,0,-1,-1,0
TR00013,C049,3,383,509,3459,61.8,41.5,1825,0,0,0,0,-1,-1,0
TR00013,C050,4,750,1620,4352,72.7,60.0,2223,0,0,0,0,-1,-1,0
TR00014,C004,1,4856,183,13486,98.6,98.6,13486,0,1,0,0,-1,-1,0
TR00014,C007,2,1634,1478,4119,98.2,76.3,2332,2,0,0,0,-1,-1,0
TR00014,C020,3,3675,385,1612,77.1,77.1,1612,0,0,0,0,-1,-1,0
TR00014,C036,4,1689,2904,3406,72.4,71.6,2091,0,0,0,0,-1,-1,0
TR00014,C037,5,2909,928,1581,29.7,29.7,1581,0,0,0,0,-1,-1,0
TR00014,C039,6,4850,5312,1232,47.2,47.2,1232,0,0,0,0,-1,-1,0
TR00014,C050,7,1957,560,1462,73.5,73.5,1462,0,0,0,0,-1,-1,0
TR00015,C003,1,354,9128,2457,69.0,69.0,2457,0,0,0,0,-1,-1,0
TR00015,C005,2,3862,2821,4703,92.0,89.9,3145,0,0,0,0,-1,-1,0
TR00015,C012,3,4521,1596,3838,62.2,35.0,3138,0,0,0,0,-1,-1,0
TR00015,C022,4,2462,2133,12731,96.3,96.3,12731,0,1,0,0,-1,-1,0
TR00015,C039,5,160,3698,3383,39.2,28.3,2228,0,0,0,0,-1,-1,0
TR00016,C001,1,5732,1628,5987,71.9,49.8,3905,0,0,0,0,-1,-1,0
TR00016,C018,2,723,3912,2497,30.1,23.9,1678,0,0,0,0,-1,-1,0
TR00016,C021,3,3081,639,16292,62.4,62.4,16292,0,1,0,0,-1,-1,0
TR00016,C024,4,3788,2592,1873,89.8,89.8,1873,0,0,0,0,-1,-1,0
TR00016,C025,5,3202,350,1097,54.0,51.2,745,0,0,0,0,-1,-1,0
TR00016,C030,6,224,8059,1952,20.5,20.5,1952,0,0,0,0,-1,-1,0
TR00016,C046,7,4098,443,3268,37.1,37.1,3268,0,0,0,0,-1,-1,0
TR00016,C048,8,2444,3992,3510,99.6,86.9,2626,0,0,0,0,-1,-1,0
TR00017,C001,1,5215,842,1516,56.0,56.0,1516,0,0,0,1,15925,13567,0
TR00017,C008,2,416,1772,4114,56.8,51.2,2247,1,0,0,1,15925,1284,0
TR00017,C011,3,2736,1618,16716,96.9,96.9,16716,1,1,0,1,15925,2409,0
TR00017,C021,4,6019,8348,924,76.1,76.1,924,0,0,0,1,15925,6653,0
TR00017,C023,5,360,5716,1492,20.6,20.6,1492,0,0,0,1,15925,8717,0
TR00017,C025,6,3239,1102,3217,88.2,71.8,2076,0,0,0,1,15925,842,0
TR00017,C032,7,6357,3046,3075,53.3,53.3,3075,0,0,0,1,15925,9804,0
TR00017,C050,8,1669,1301,5173,69.7,51.4,3856,0,0,0,1,15925,1051,1
TR00018,C004,1,1187,1359,389,31.7,31.7,389,0,0,0,0,-1,-1,0
TR00018,C009,2,2332,592,4085,89.3,83.6,2498,0,0,0,0,-1,-1,0
TR00018,C015,3,1945,0,3961,67.2,67.2,3961,0,0,1,0,-1,-1,0
TR00018,C050,4,232,3716,2721,29.0,29.0,2721,0,0,0,0,-1,-1,0
TR00019,C014,1,1164,690,2878,77.1,70.8,2418,1,0,0,0,-1,-1,0
TR00019,C015,2,2312,2048,4890,77.5,74.1,2720,0,0,0,0,-1,-1,0
TR00019,C023,3,1051,5302,224,84.9,84.9,224,0,0,0,0,-1,-1,0
TR00019,C028,4,3678,0,6030,58.2,58.2,6030,0,0,1,0,-1,-1,0
TR00019,C036,5,201,673,1741,85.7,66.9,1327,0,0,0,0,-1,-1,0
TR00019,C041,6,25,885,6730,50.2,42.7,2385,3,0,0,0,-1,-1,0
TR00019,C049,7,3726,2295,5610,44.3,37.2,3682,0,0,0,0,-1,-1,0
TR00020,C003,1,119,712,3100,40.0,31.9,1836,0,0,0,0,-1,-1,0
TR00020,C019,2,405,2813,1936,88.5,61.6,1135,0,0,0,0,-1,-1,0
TR00020,C027,3,225,1530,5382,80.8,55.3,3665,0,0,0,0,-1,-1,0
TR00020,C035,4,1675,6020,2381,75.2,75.2,2381,0,0,0,0,-1,-1,0
TR00020,C048,5,3008,972,3028,77.4,60.2,1858,1,0,0,0,-1,-1,0
TR00020,C049,6,2482,1023,2468,65.4,63.0,1989,1,0,0,0,-1,-1,0
TR00021,C005,1,1806,1814,3167,87.8,56.8,1908,0,0,0,1,5750,2636,0
TR00021,C014,2,2905,372,4810,83.9,59.9,1771,3,0,0,1,5750,3344,0
TR00021,C036,3,3369,1607,2624,60.5,57.7,1560,0,0,0,1,5750,2961,0
TR00021,C040,4,1437,2678,884,75.1,75.1,884,0,0,0,1,5750,2188,0
TR00021,C044,5,3082,928,3538,23.9,23.1,2720,0,0,0,1,5750,1159,0
TR00021,C048,6,404,2462,4023,95.8,83.6,3131,0,0,0,1,5750,3574,1
TR00022,C004,1,2019,1024,2783,38.8,37.2,1954,1,0,0,1,5277,459,0
TR00022,C012,2,811,807,5163,89.1,89.1,5163,0,1,0,1,5277,693,1
TR00022,C014,3,877,3185,934,79.8,79.8,934,0,0,0,1,5277,1158,0
TR00022,C022,4,1688,88,2907,94.0,85.9,2379,1,0,0,1,5277,972,0
TR00022,C026,5,1970,3515,3022,72.9,72.9,3022,0,0,0,1,5277,1260,0
TR00022,C032,6,1656,794,6017,96.4,96.4,6017,0,1,1,1,5277,1534,0
TR00022,C033,7,82,535,4885,73.9,64.0,2510,0,0,0,1,5277,1589,0
TR00022,C045,8,2263,1173,1084,47.4,47.4,1084,0,0,0,1,5277,3020,0
TR00023,C008,1,3349,885,1032,24.6,24.6,1032,0,0,0,1,6681,4764,0
TR00023,C022,2,2269,325,5865,50.5,36.4,3629,0,0,0,1,6681,3567,1
TR00023,C027,3,906,1098,3313,90.0,30.5,3051,0,0,0,1,6681,24,0
TR00023,C039,4,2914,2960,600,26.4,26.4,600,0,0,0,1,6681,3121,0
TR00024,C001,1,1306,1111,5021,84.1,65.5,2919,0,0,0,1,6800,2979,1
TR00024,C007,2,175,1993,1201,67.8,67.8,1201,0,0,0,1,6800,3606,0
TR00024,C016,3,1047,3551,1105,93.3,93.3,1105,0,0,0,1,6800,2144,0
TR00024,C028,4,2739,3975,2548,57.2,57.2,2548,0,0,0,1,6800,277,0
TR00024,C032,5,498,173,8104,87.4,87.4,8104,0,1,0,1,6800,1477,0
TR00024,C039,6,1055,1657,3354,40.3,38.7,2370,0,0,0,1,6800,23,0
TR00024,C040,7,625,69,3091,84.2,48.7,2285,0,0,0,1,6800,2950,0
TR00025,C003,1,2076,5224,2443,51.5,51.5,2443,0,0,0,1,6969,698,0
TR00025,C007,2,66,381,6370,59.8,57.5,3759,0,0,0,1,6969,3072,0
TR00025,C023,3,3287,0,3474,23.1,23.1,3474,0,0,1,1,6969,3495,0
TR00025,C028,4,75,1197,1127,98.7,98.7,1127,0,0,0,1,6969,4645,0
TR00025,C029,5,1983,37,4730,74.9,63.5,1956,3,0,0,1,6969,2214,0
TR00025,C030,6,2056,377,6561,93.5,58.2,1829,3,0,0,1,6969,3505,0
TR00025,C031,7,289,1951,6392,79.9,79.9,6392,0,1,0,1,6969,1374,1
TR00025,C032,8,2210,1405,855,33.7,33.7,855,0,0,0,1,6969,4709,0
TR00026,C002,1,74,2049,381,67.1,67.1,381,0,0,0,0,-1,-1,0
TR00026,C006,2,3914,565,3785,76.1,46.2,2350,0,0,0,0,-1,-1,0
TR00026,C021,3,2520,301,5402,82.3,76.5,3322,0,0,0,0,-1,-1,0
TR00026,C032,4,334,765,7234,78.6,53.2,3858,0,0,0,0,-1,-1,0
TR00026,C033,5,1943,2501,3071,25.6,25.6,3071,0,0,0,0,-1,-1,0
TR00026,C035,6,3904,450,11384,84.2,84.2,11384,0,1,0,0,-1,-1,0
TR00026,C037,7,3874,2957,4789,59.9,59.5,2398,0,0,0,0,-1,-1,0
TR00027,C005,1,1366,585,1648,24.4,24.4,1648,0,0,0,0,-1,-1,0
TR00027,C014,2,1880,1814,1945,99.0,99.0,1945,0,0,0,0,-1,-1,0
TR00027,C017,3,497,2668,1527,72.0,53.8,941,0,0,0,0,-1,-1,0
TR00027,C025,4,713,648,10700,82.9,82.9,10700,0,1,0,0,-1,-1,0
TR00027,C042,5,2834,4699,3346,23.6,23.6,3346,0,0,0,0,-1,-1,0
TR00027,C045,6,1546,492,6175,68.8,60.1,3477,0,0,0,0,-1,-1,0
TR00027,C048,7,3055,2478,1704,99.1,99.1,1704,0,0,0,0,-1,-1,0
TR00028,C001,1,257,781,6081,98.5,98.5,6081,0,1,0,1,4286,2576,1
TR00028,C007,2,1402,795,2472,21.5,21.5,2472,0,0,0,1,4286,1019,0
TR00028,C030,3,1099,318,2153,63.6,55.4,1518,0,0,0,1,4286,1474,0
TR00028,C031,4,767,0,3135,43.7,43.7,3135,0,0,1,1,4286,1151,0
TR00028,C050,5,1677,1004,5785,74.2,74.2,5785,0,1,0,1,4286,2503,0
TR00029,C004,1,4248,516,3533,77.2,77.2,3533,0,0,0,1,7572,3523,0
TR00029,C017,2,2259,505,294,30.4,30.4,294,0,0,0,1,7572,6773,0
TR00029,C019,3,1407,583,5678,91.2,54.4,3711,0,0,0,1,7572,6189,0
TR00029,C022,4,3670,2436,10255,81.2,81.2,10255,0,1,0,1,7572,5119,0
TR00029,C026,5,4239,717,4488,86.5,66.4,1975,3,0,0,1,7572,5349,0
TR00029,C029,6,1561,1129,3570,86.8,39.9,2582,0,0,0,1,7572,988,0
TR00029,C037,7,2756,2644,9430,93.7,93.7,9430,0,1,0,1,7572,4502,1
TR00029,C044,8,1224,240,4687,99.6,87.9,2440,3,0,0,1,7572,4705,0
TR00030,C011,1,3431,4537,2751,99.6,95.8,2361,0,0,0,1,15864,3184,0
TR00030,C019,2,1340,3631,13298,75.2,75.2,13298,0,1,0,1,15864,1065,0
TR00030,C021,3,4981,2436,14432,84.3,84.3,14432,0,1,0,1,15864,1004,1
TR00030,C033,4,4998,382,5519,71.5,63.0,2457,2,0,0,1,15864,1000,0
TR00030,C040,5,5859,3848,2173,69.9,69.9,2173,0,0,0,1,15864,9843,0
TR00031,C008,1,2023,346,3818,58.9,57.8,1931,0,0,0,1,4902,3006,0
TR00031,C014,2,1300,633,6127,99.8,99.8,6127,0,1,0,1,4902,1858,0
TR00031,C023,3,1457,1261,3659,47.4,38.8,2366,0,0,0,1,4902,2498,0
TR00031,C028,4,2418,1543,1893,58.0,48.5,1039,0,0,0,1,4902,2480,0
TR00031,C036,5,2037,2688,2059,20.3,20.3,2059,0,0,0,1,4902,155,0
TR00031,C044,6,865,195,3115,20.1,20.1,3115,0,0,0,1,4902,1592,0
TR00031,C047,7,2086,390,3994,88.2,79.7,2269,0,0,0,1,4902,3131,1
TR00032,C010,1,1652,1134,2503,78.8,78.8,2503,0,0,0,1,6505,2868,1
TR00032,C011,2,2562,4249,3596,30.4,30.4,3596,0,0,0,1,6505,1340,0
TR00032,C012,3,2393,0,2458,51.8,51.8,2458,0,0,1,1,6505,4047,0
TR00032,C017,4,2791,3343,3240,77.4,77.4,3240,0,0,0,1,6505,78,0
TR00032,C020,5,1373,5332,1277,23.5,23.5,1277,0,0,0,1,6505,104,0
TR00032,C029,6,935,2140,7680,75.6,75.6,7680,0,1,1,1,6505,3315,0
TR00032,C030,7,714,3743,2901,23.7,23.7,2901,0,0,0,1,6505,139,0
TR00032,C050,8,1084,2798,291,54.2,54.2,291,0,0,0,1,6505,3416,0
TR00033,C007,1,13,1468,14613,98.0,98.0,14613,0,1,0,1,16705,624,1
TR00033,C013,2,2502,1442,11549,98.1,98.1,11549,0,1,0,1,16705,3714,0
TR00033,C016,3,572,2219,5003,79.9,50.4,3494,0,0,0,1,16705,4784,0
TR00033,C017,4,217,3108,1315,29.7,29.7,1315,0,0,0,1,16705,12282,0
TR00033,C029,5,4115,6721,2221,33.6,33.6,2221,0,0,0,1,16705,7763,0
TR00033,C035,6,1614,0,1741,56.1,56.1,1741,0,0,1,1,16705,14964,0
TR00034,C001,1,546,170,6401,87.6,56.0,3280,0,0,0,0,-1,-1,0
TR00034,C014,2,2672,2479,955,24.6,24.6,955,0,0,0,0,-1,-1,0
TR00034,C017,3,1139,443,8654,93.0,93.0,8654,0,1,0,0,-1,-1,0
TR00034,C033,4,729,1649,1872,56.2,44.3,1005,0,0,0,0,-1,-1,0
TR00034,C037,5,1094,82,3000,99.9,48.7,2350,0,0,0,0,-1,-1,0
TR00035,C009,1,3790,742,13837,67.1,67.1,13837,0,1,0,1,12718,1861,1
TR00035,C038,2,2398,59,6829,81.8,53.9,2277,3,0,0,1,12718,4942,0
TR00035,C044,3,2422,1802,3750,24.8,24.8,3750,0,0,0,1,12718,7166,0
TR00035,C046,4,398,6502,3570,60.2,60.2,3570,0,0,0,1,12718,2646,0
TR00035,C048,5,126,6707,218,37.5,37.5,218,0,0,0,1,12718,5793,0
TR00036,C002,1,3360,242,5782,92.3,66.9,2295,2,0,0,1,8677,3805,0
TR00036,C004,2,3108,1231,4716,86.7,75.1,2296,2,0,0,1,8677,3312,0
TR00036,C012,3,4269,809,2146,71.0,69.4,1318,1,0,0,1,8677,94,0
TR00036,C036,4,3139,0,6477,81.6,81.6,6477,0,0,1,1,8677,2200,0
TR00036,C040,5,2104,221,8112,66.6,53.1,4993,0,0,0,1,8677,2716,1
TR00037,C006,1,2208,0,3727,25.7,25.7,3727,0,0,1,1,8386,4659,0
TR00037,C023,2,2211,1205,2694,98.0,97.5,2257,0,0,0,1,8386,154,1
TR00037,C030,3,633,0,2834,85.5,85.5,2834,0,0,1,1,8386,5552,0
TR00037,C032,4,382,4111,3941,71.5,71.5,3941,0,0,0,1,8386,334,0
TR00038,C003,1,1978,1242,1439,56.1,53.6,850,0,0,0,1,6156,1298,0
TR00038,C004,2,1138,867,4804,86.7,86.7,4804,0,1,0,1,6156,485,0
TR00038,C012,3,811,132,2784,37.8,37.8,1793,0,0,0,1,6156,650,0
TR00038,C019,4,673,1331,3000,45.2,40.8,2053,0,0,0,1,6156,377,0
TR00038,C026,5,189,2888,3997,92.3,92.3,3997,0,0,0,1,6156,729,1
TR00038,C043,6,234,2432,3514,37.6,37.6,3514,0,0,0,1,6156,210,0
TR00039,C003,1,3094,3086,4156,98.0,90.8,3517,0,0,0,1,14137,2560,0
TR00039,C021,2,3742,593,5525,96.1,86.6,2493,2,0,0,1,14137,1872,0
TR00039,C030,3,797,665,12307,89.5,89.5,12307,0,1,0,1,14137,1165,1
TR00039,C039,4,4571,895,4287,74.2,71.4,3226,0,0,0,1,14137,2569,0
TR00039,C041,5,1193,5905,3676,27.7,27.7,3676,0,0,0,1,14137,4556,0
TR00039,C044,6,4144,6,1417,98.2,61.3,895,0,0,0,1,14137,3128,0
TR00040,C004,1,681,747,2160,60.7,53.1,1263,0,0,0,1,6314,1462,0
TR00040,C005,2,1614,3875,2867,43.6,43.6,2867,0,0,0,1,6314,428,0
TR00040,C008,3,2823,1143,1763,68.0,68.0,1763,0,0,0,1,6314,3408,0
TR00040,C009,4,2999,1597,6558,95.2,95.2,6558,2,1,0,1,6314,1841,0
TR00040,C018,5,1205,949,2853,72.8,59.7,1786,0,0,0,1,6314,457,0
TR00040,C031,6,1558,1214,3476,91.6,63.2,1823,0,0,0,1,6314,746,1
TR00040,C032,7,751,9,2605,21.6,21.6,2605,0,0,0,1,6314,3700,0
TR00041,C004,1,2979,1445,2093,87.4,55.7,1676,0,0,0,1,6727,257,0
TR00041,C018,2,1224,495,3816,79.0,79.0,3816,0,0,0,1,6727,2416,0
TR00041,C019,3,1964,1352,4119,77.4,35.8,3593,0,0,0,1,6727,2671,0
TR00041,C022,4,141,1152,2876,83.3,71.4,1809,0,0,0,1,6727,85,0
TR00041,C026,5,391,1797,3006,88.1,67.6,1506,0,0,0,1,6727,71,0
TR00041,C029,6,2014,821,2260,27.9,27.9,2260,0,0,0,1,6727,3646,0
TR00041,C036,7,1862,1935,2786,37.5,37.5,2786,0,0,0,1,6727,2006,0
TR00041,C044,8,3136,702,8865,65.0,65.0,8865,0,1,0,1,6727,2840,1
TR00042,C007,1,1243,87,1858,56.3,48.7,1074,0,0,0,1,5487,1152,0
TR00042,C019,2,802,1378,3057,78.3,78.3,3057,0,0,0,1,5487,1052,0
TR00042,C024,3,1526,1077,2051,68.4,50.8,1227,0,0,0,1,5487,466,0
TR00042,C039,4,598,383,2632,60.0,49.4,952,3,0,0,1,5487,80,0
TR00042,C045,5,43,971,1368,86.3,82.8,751,0,0,0,1,5487,1017,1
TR00042,C048,6,841,563,2292,55.2,42.5,920,2,0,0,1,5487,356,0
TR00043,C003,1,2682,1676,5669,58.9,56.9,3641,0,0,0,0,-1,-1,0
TR00043,C010,2,116,121,10674,80.6,80.6,10674,0,1,0,0,-1,-1,0
TR00043,C011,3,3720,561,3282,71.6,69.5,2726,0,0,0,0,-1,-1,0
TR00043,C019,4,2172,2752,3572,64.1,58.4,2344,0,0,0,0,-1,-1,0
TR00043,C021,5,2071,4594,2203,94.0,94.0,2203,0,0,0,0,-1,-1,0
TR00043,C031,6,2954,1099,1243,28.1,28.1,1243,0,0,0,0,-1,-1,0
TR00043,C034,7,1934,775,4859,97.4,72.5,1687,3,0,0,0,-1,-1,0
TR00043,C048,8,2652,1093,3832,82.6,77.9,1630,2,0,0,0,-1,-1,0
TR00044,C005,1,898,4675,2459,24.6,24.6,2459,0,0,0,1,10950,3816,0
TR00044,C007,2,3307,2039,4057,65.9,57.9,2674,0,0,0,1,10950,1526,0
TR00044,C010,3,690,3593,3590,81.7,71.6,2822,0,0,0,1,10950,2528,0
TR00044,C013,4,2765,2001,4789,86.2,75.9,3842,0,0,0,1,10950,633,1
TR00044,C019,5,3825,762,12224,97.5,97.5,12224,0,1,1,1,10950,2036,0
TR00044,C041,6,750,1534,6350,77.9,50.3,2230,2,0,0,1,10950,2294,0
TR00044,C046,7,753,781,13601,68.3,68.3,13601,0,1,0,1,10950,3432,0
TR00045,C012,1,2846,930,6175,75.8,71.6,3221,0,0,0,1,6832,128,1
TR00045,C021,2,999,3988,1776,76.2,76.2,1776,0,0,0,1,6832,1068,0
TR00045,C024,3,1325,2242,4750,30.3,27.0,2984,0,0,0,1,6832,1820,0
TR00045,C025,4,2564,0,3898,56.9,56.9,3898,0,0,1,1,6832,2934,0
TR00045,C041,5,1087,1612,2633,34.5,34.5,2633,0,0,0,1,6832,2587,0
TR00045,C049,6,457,756,303,35.7,35.7,303,0,0,0,1,6832,5773,0
TR00046,C001,1,916,1133,15188,73.0,73.0,15188,0,1,0,0,-1,-1,0
TR00046,C016,2,1867,592,6487,46.5,40.1,2460,3,0,0,0,-1,-1,0
TR00046,C032,3,3386,7543,1938,64.9,64.9,1938,0,0,0,0,-1,-1,0
TR00046,C039,4,4989,3056,3462,88.0,83.1,2565,0,0,0,0,-1,-1,0
TR00047,C001,1,2422,83,3713,83.5,83.5,3713,0,0,0,0,-1,-1,0
TR00047,C017,2,2535,1321,3130,52.2,52.2,3130,0,0,0,0,-1,-1,0
TR00047,C035,3,1533,0,748,32.9,32.9,748,0,0,1,0,-1,-1,0
TR00047,C039,4,2292,590,4413,48.6,45.9,3066,0,0,0,0,-1,-1,0
TR00047,C042,5,1410,310,4800,90.7,75.1,1671,3,0,0,0,-1,-1,0
TR00047,C047,6,1465,2694,3611,46.9,46.9,3611,0,0,0,0,-1,-1,0
TR00047,C049,7,1628,1278,4469,66.8,41.5,3969,0,0,0,0,-1,-1,0
TR00048,C004,1,3174,29,2349,20.4,20.4,2349,0,0,0,1,7401,5023,0
TR00048,C017,2,4413,443,4492,68.5,62.7,3484,0,0,0,1,7401,811,0
TR00048,C027,3,1733,913,4557,94.8,88.3,1401,3,0,0,1,7401,4686,0
TR00048,C028,4,4231,2283,5274,92.6,82.3,3438,0,0,0,1,7401,5818,1
TR00048,C029,5,4050,3226,3624,77.5,66.3,2723,0,0,0,1,7401,1325,0
TR00048,C032,6,4631,883,3967,20.1,20.1,3967,0,0,0,1,7401,2551,0
TR00048,C039,7,2773,242,6113,87.2,48.0,3838,0,0,0,1,7401,4327,0
TR00049,C019,1,1488,735,853,91.3,91.3,853,0,0,0,1,5083,3495,0
TR00049,C022,2,2080,260,3209,86.0,80.4,1592,2,0,0,1,5083,2879,0
TR00049,C024,3,610,1529,7276,68.4,68.4,7276,0,1,0,1,5083,3722,1
TR00049,C026,4,527,806,4620,93.6,67.9,3030,0,0,0,1,5083,3124,0
TR00049,C049,5,2967,2952,3068,57.2,57.2,3068,0,0,0,1,5083,937,0
TR00050,C006,1,4246,1985,17182,92.0,92.0,17182,2,1,0,0,-1,-1,0
