shipment_id,product_id,warehouse_id,ship_date,quantity,order_id
SHP01206,SKU069,WH02,2024-01-24,48,
SHP01213,SKU070,WH01,2024-01-24,12,
SHP01980,SKU104,WH03,2024-01-24,53,
SHP03268,SKU170,WH02,2024-01-24,145,
SHP05121,SKU270,WH02,2024-01-24,115,
SHP05202,SKU274,WH02,2024-01-24,28,
SHP05905,SKU310,WH01,2024-01-24,116,
SHP07386,SKU391,WH01,2024-01-24,33,
SHP00074,SKU005,WH04,2024-01-25,156,
SHP00204,SKU012,WH05,2024-01-25,96,
SHP00528,SKU033,WH02,2024-01-25,116,
SHP00543,SKU034,WH02,2024-01-25,177,
SHP01364,SKU077,WH01,2024-01-25,64,
SHP01439,SKU081,WH02,2024-01-25,36,
SHP02065,SKU109,WH01,2024-01-25,10,
SHP03960,SKU204,WH05,2024-01-25,82,
SHP04015,SKU208,WH05,2024-01-25,27,
SHP04779,SKU251,WH03,2024-01-25,24,
SHP04876,SKU257,WH01,2024-01-25,265,
SHP06198,SKU326,WH04,2024-01-25,76,
SHP06575,SKU344,WH01,2024-01-25,77,
SHP06748,SKU354,WH01,2024-01-25,34,
SHP06775,SKU355,WH05,2024-01-25,79,
SHP06949,SKU364,WH04,2024-01-25,24,
SHP07342,SKU388,WH03,2024-01-25,30,
SHP00229,SKU014,WH05,2024-01-26,45,
SHP00480,SKU030,WH01,2024-01-26,114,
SHP00544,SKU034,WH02,2024-01-26,39,
SHP00788,SKU047,WH01,2024-01-26,70,
SHP01397,SKU079,WH01,2024-01-26,23,
SHP01887,SKU100,WH04,2024-01-26,21,
SHP01989,SKU104,WH05,2024-01-26,6,
SHP02137,SKU111,WH04,2024-01-26,242,
SHP02321,SKU122,WH04,2024-01-26,217,
SHP02889,SKU152,WH03,2024-01-26,291,
SHP03002,SKU157,WH05,2024-01-26,15,
SHP03768,SKU195,WH03,2024-01-26,40,
SHP04025,SKU209,WH01,2024-01-26,68,
SHP04065,SKU211,WH01,2024-01-26,54,
SHP04568,SKU239,WH03,2024-01-26,219,
SHP05376,SKU281,WH02,2024-01-26,15,
SHP05624,SKU293,WH04,2024-01-26,14,
SHP05942,SKU311,WH03,2024-01-26,229,
SHP07122,SKU375,WH02,2024-01-26,41,
SHP07246,SKU383,WH01,2024-01-26,34,
SHP07343,SKU388,WH03,2024-01-26,106,
SHP00562,SKU035,WH02,2024-01-27,95,
SHP01016,SKU059,WH03,2024-01-27,7,
SHP01237,SKU071,WH01,2024-01-27,51,
SHP01639,SKU089,WH03,2024-01-27,34,
SHP01640,SKU089,WH03,2024-01-27,107,
SHP01868,SKU099,WH03,2024-01-27,167,
SHP01933,SKU102,WH02,2024-01-27,55,
SHP03073,SKU160,WH05,2024-01-27,52,
SHP03347,SKU173,WH04,2024-01-27,142,
SHP04056,SKU210,WH03,2024-01-27,30,
SHP04355,SKU226,WH03,2024-01-27,139,
SHP05526,SKU288,WH04,2024-01-27,28,
SHP05625,SKU293,WH04,2024-01-27,32,
SHP05924,SKU310,WH05,2024-01-27,31,
SHP05978,SKU313,WH02,2024-01-27,66,
SHP07006,SKU368,WH02,2024-01-27,27,
SHP07109,SKU373,WH05,2024-01-27,137,
SHP07287,SKU385,WH01,2024-01-27,129,
SHP00655,SKU040,WH02,2024-01-28,24,
SHP00739,SKU044,WH05,2024-01-28,13,
SHP00956,SKU056,WH05,2024-01-28,155,
SHP01314,SKU074,WH05,2024-01-28,14,
SHP02207,SKU117,WH01,2024-01-28,40,
SHP02353,SKU124,WH02,2024-01-28,67,
SHP02476,SKU130,WH03,2024-01-28,9,
SHP02868,SKU150,WH04,2024-01-28,14,
SHP03003,SKU157,WH05,2024-01-28,125,
SHP03036,SKU159,WH02,2024-01-28,5,
SHP03644,SKU187,WH03,2024-01-28,142,
SHP05419,SKU283,WH02,2024-01-28,16,
SHP05724,SKU299,WH05,2024-01-28,110,
SHP05839,SKU306,WH02,2024-01-28,25,
SHP06016,SKU315,WH02,2024-01-28,52,
SHP06958,SKU365,WH02,2024-01-28,93,
SHP07046,SKU370,WH05,2024-01-28,30,
SHP07312,SKU386,WH04,2024-01-28,31,
SHP07556,SKU399,WH05,2024-01-28,23,
SHP00221,SKU014,WH01,2024-01-29,28,
SHP01207,SKU069,WH02,2024-01-29,19,
SHP01630,SKU089,WH01,2024-01-29,241,
SHP01836,SKU098,WH01,2024-01-29,25,
SHP02566,SKU136,WH01,2024-01-29,48,
SHP02616,SKU138,WH03,2024-01-29,25,
SHP03395,SKU175,WH05,2024-01-29,163,
SHP03550,SKU183,WH04,2024-01-29,56,
SHP04197,SKU218,WH01,2024-01-29,5,
SHP04310,SKU223,WH01,2024-01-29,41,
SHP04444,SKU232,WH02,2024-01-29,21,
SHP05093,SKU268,WH04,2024-01-29,103,
SHP06394,SKU335,WH03,2024-01-29,29,
SHP06576,SKU344,WH01,2024-01-29,19,
SHP07013,SKU368,WH04,2024-01-29,145,
SHP07257,SKU383,WH05,2024-01-29,16,
SHP01584,SKU087,WH01,2024-01-30,23,
SHP02008,SKU105,WH04,2024-01-30,110,
SHP02208,SKU117,WH01,2024-01-30,7,
SHP02840,SKU148,WH05,2024-01-30,68,
SHP03052,SKU160,WH01,2024-01-30,18,
SHP03228,SKU168,WH05,2024-01-30,31,
SHP03688,SKU189,WH04,2024-01-30,70,
SHP03905,SKU201,WH04,2024-01-30,69,
SHP04010,SKU208,WH01,2024-01-30,5,
SHP04414,SKU230,WH02,2024-01-30,14,
SHP05580,SKU290,WH05,2024-01-30,57,
SHP05626,SKU293,WH04,2024-01-30,15,
SHP05840,SKU306,WH02,2024-01-30,172,
SHP05896,SKU309,WH04,2024-01-30,44,
SHP06645,SKU347,WH05,2024-01-30,42,
SHP07230,SKU382,WH03,2024-01-30,31,
SHP07367,SKU390,WH02,2024-01-30,161,
SHP07419,SKU392,WH05,2024-01-30,56,
SHP00016,SKU002,WH03,2024-01-31,24,
SHP00114,SKU007,WH05,2024-01-31,12,
SHP00121,SKU008,WH01,2024-01-31,294,
SHP01320,SKU075,WH01,2024-01-31,17,
SHP02009,SKU105,WH04,2024-01-31,8,
SHP02268,SKU120,WH03,2024-01-31,42,
SHP02450,SKU129,WH01,2024-01-31,153,
SHP02542,SKU135,WH01,2024-01-31,46,
SHP02559,SKU135,WH05,2024-01-31,38,
SHP02670,SKU141,WH03,2024-01-31,66,
SHP02778,SKU145,WH05,2024-01-31,6,
SHP03142,SKU164,WH05,2024-01-31,23,
SHP03656,SKU188,WH02,2024-01-31,5,
SHP04341,SKU225,WH03,2024-01-31,130,
SHP05151,SKU271,WH05,2024-01-31,9,
SHP05535,SKU288,WH05,2024-01-31,103,
SHP05597,SKU292,WH01,2024-01-31,69,
SHP06528,SKU342,WH01,2024-01-31,18,
SHP06671,SKU349,WH03,2024-01-31,50,
SHP06916,SKU362,WH03,2024-01-31,105,
SHP07040,SKU370,WH03,2024-01-31,142,
SHP07127,SKU375,WH04,2024-01-31,160,
SHP07265,SKU384,WH02,2024-01-31,44,
SHP07298,SKU385,WH05,2024-01-31,153,
SHP00046,SKU003,WH05,2024-02-01,264,
SHP01365,SKU077,WH01,2024-02-01,11,
SHP01591,SKU087,WH02,2024-02-01,180,
SHP01672,SKU090,WH05,2024-02-01,53,
SHP02010,SKU105,WH04,2024-02-01,113,
SHP02677,SKU141,WH04,2024-02-01,5,
SHP04016,SKU208,WH05,2024-02-01,27,
SHP04320,SKU224,WH01,2024-02-01,273,
SHP04370,SKU226,WH05,2024-02-01,51,
SHP06219,SKU327,WH04,2024-02-01,21,
SHP06355,SKU333,WH04,2024-02-01,251,
SHP06646,SKU347,WH05,2024-02-01,51,
SHP06678,SKU349,WH04,2024-02-01,47,
SHP06965,SKU365,WH03,2024-02-01,147,
SHP00026,SKU002,WH04,2024-02-02,67,
SHP00793,SKU047,WH02,2024-02-02,42,
SHP00866,SKU051,WH03,2024-02-02,304,
SHP00985,SKU057,WH05,2024-02-02,37,
SHP01049,SKU060,WH04,2024-02-02,149,
SHP01106,SKU063,WH05,2024-02-02,5,
SHP01440,SKU081,WH02,2024-02-02,94,
SHP02114,SKU110,WH05,2024-02-02,41,
SHP02660,SKU140,WH05,2024-02-02,244,
SHP02878,SKU151,WH02,2024-02-02,147,
SHP02941,SKU154,WH05,2024-02-02,130,
SHP03461,SKU178,WH05,2024-02-02,21,
SHP03707,SKU190,WH04,2024-02-02,184,
SHP03728,SKU192,WH04,2024-02-02,136,
SHP04006,SKU207,WH04,2024-02-02,30,
SHP04311,SKU223,WH01,2024-02-02,95,
SHP04513,SKU236,WH03,2024-02-02,151,
SHP05122,SKU270,WH02,2024-02-02,105,
SHP05303,SKU278,WH01,2024-02-02,5,
SHP05473,SKU285,WH05,2024-02-02,15,
SHP05647,SKU295,WH04,2024-02-02,17,
SHP05682,SKU297,WH03,2024-02-02,60,
SHP05979,SKU313,WH02,2024-02-02,86,
SHP05993,SKU314,WH02,2024-02-02,116,
SHP06763,SKU354,WH05,2024-02-02,182,
SHP07007,SKU368,WH02,2024-02-02,64,
SHP07064,SKU371,WH03,2024-02-02,72,
SHP07387,SKU391,WH01,2024-02-02,10,
SHP07474,SKU396,WH02,2024-02-02,285,
SHP00040,SKU003,WH04,2024-02-03,121,
SHP00175,SKU011,WH01,2024-02-03,70,
SHP00178,SKU011,WH03,2024-02-03,12,
SHP01017,SKU059,WH03,2024-02-03,112,
SHP01359,SKU076,WH05,2024-02-03,247,
SHP01673,SKU090,WH05,2024-02-03,112,
SHP01711,SKU092,WH03,2024-02-03,13,
SHP01793,SKU096,WH02,2024-02-03,57,
SHP02043,SKU107,WH04,2024-02-03,146,
SHP02115,SKU110,WH05,2024-02-03,6,
SHP02216,SKU117,WH05,2024-02-03,6,
SHP02823,SKU148,WH03,2024-02-03,135,
SHP03825,SKU198,WH03,2024-02-03,40,
SHP03920,SKU202,WH04,2024-02-03,189,
SHP03968,SKU205,WH01,2024-02-03,48,
SHP04156,SKU216,WH02,2024-02-03,41,
SHP04445,SKU232,WH02,2024-02-03,43,
SHP04453,SKU232,WH03,2024-02-03,9,
SHP04631,SKU243,WH01,2024-02-03,107,
SHP04644,SKU243,WH04,2024-02-03,62,
SHP04949,SKU260,WH05,2024-02-03,151,
SHP05185,SKU273,WH03,2024-02-03,129,
SHP05411,SKU282,WH05,2024-02-03,64,
SHP05698,SKU298,WH02,2024-02-03,18,
SHP05763,SKU301,WH04,2024-02-03,27,
SHP06086,SKU319,WH04,2024-02-03,21,
SHP06697,SKU350,WH05,2024-02-03,28,
SHP07299,SKU385,WH05,2024-02-03,36,
SHP07420,SKU392,WH05,2024-02-03,25,
SHP00017,SKU002,WH03,2024-02-04,137,
SHP00498,SKU031,WH01,2024-02-04,100,
SHP00802,SKU048,WH02,2024-02-04,24,
SHP01198,SKU069,WH01,2024-02-04,27,
SHP01381,SKU078,WH01,2024-02-04,69,
SHP01785,SKU095,WH04,2024-02-04,24,
SHP02036,SKU107,WH02,2024-02-04,55,
SHP02149,SKU112,WH04,2024-02-04,54,
SHP02150,SKU112,WH04,2024-02-04,6,
SHP02761,SKU145,WH03,2024-02-04,55,
SHP03645,SKU187,WH03,2024-02-04,30,
SHP04287,SKU221,WH04,2024-02-04,72,
SHP04898,SKU258,WH01,2024-02-04,23,
SHP05177,SKU273,WH02,2024-02-04,14,
SHP05178,SKU273,WH02,2024-02-04,58,
SHP05296,SKU277,WH05,2024-02-04,42,
SHP05612,SKU293,WH01,2024-02-04,64,
SHP05648,SKU295,WH04,2024-02-04,92,
SHP06220,SKU327,WH04,2024-02-04,56,
SHP06764,SKU354,WH05,2024-02-04,39,
SHP06776,SKU355,WH05,2024-02-04,30,
SHP07054,SKU371,WH01,2024-02-04,305,
SHP00095,SKU006,WH04,2024-02-05,198,
SHP00230,SKU014,WH05,2024-02-05,101,
SHP01107,SKU063,WH05,2024-02-05,55,
SHP01372,SKU077,WH05,2024-02-05,145,
SHP02258,SKU119,WH05,2024-02-05,184,
SHP02751,SKU144,WH05,2024-02-05,224,
SHP03094,SKU162,WH01,2024-02-05,98,
SHP03593,SKU185,WH04,2024-02-05,63,
SHP03612,SKU186,WH02,2024-02-05,94,
SHP03839,SKU198,WH05,2024-02-05,89,
SHP03990,SKU206,WH04,2024-02-05,162,
SHP03996,SKU207,WH03,2024-02-05,11,
SHP04076,SKU211,WH03,2024-02-05,51,
SHP04461,SKU233,WH03,2024-02-05,41,
SHP04529,SKU237,WH02,2024-02-05,110,
SHP04933,SKU260,WH02,2024-02-05,36,
SHP04934,SKU260,WH02,2024-02-05,25,
SHP05038,SKU266,WH03,2024-02-05,81,
SHP05241,SKU275,WH05,2024-02-05,14,
SHP05297,SKU277,WH05,2024-02-05,13,
SHP05725,SKU299,WH05,2024-02-05,23,
SHP05872,SKU308,WH02,2024-02-05,31,
SHP05943,SKU311,WH03,2024-02-05,118,
SHP06052,SKU317,WH04,2024-02-05,10,
SHP06471,SKU338,WH04,2024-02-05,13,
SHP06749,SKU354,WH01,2024-02-05,31,
SHP06959,SKU365,WH02,2024-02-05,111,
SHP07266,SKU384,WH02,2024-02-05,115,
SHP00499,SKU031,WH01,2024-02-06,10,
SHP00887,SKU052,WH02,2024-02-06,239,
SHP01214,SKU070,WH01,2024-02-06,6,
SHP01516,SKU084,WH04,2024-02-06,16,
SHP01592,SKU087,WH02,2024-02-06,5,
SHP01745,SKU093,WH05,2024-02-06,26,
SHP01990,SKU104,WH05,2024-02-06,11,
SHP02217,SKU117,WH05,2024-02-06,321,
SHP02464,SKU129,WH05,2024-02-06,188,
SHP02523,SKU133,WH04,2024-02-06,182,
SHP02586,SKU136,WH05,2024-02-06,11,
SHP02684,SKU142,WH01,2024-02-06,75,
SHP02746,SKU144,WH03,2024-02-06,113,
SHP03556,SKU184,WH01,2024-02-06,25,
SHP03584,SKU185,WH03,2024-02-06,50,
SHP04569,SKU239,WH03,2024-02-06,18,
SHP05601,SKU292,WH02,2024-02-06,135,
SHP05974,SKU313,WH01,2024-02-06,228,
SHP07178,SKU379,WH01,2024-02-06,92,
SHP00057,SKU004,WH03,2024-02-07,37,
SHP00599,SKU037,WH04,2024-02-07,76,
SHP00680,SKU041,WH03,2024-02-07,49,
SHP00993,SKU058,WH03,2024-02-07,33,
SHP01070,SKU061,WH05,2024-02-07,37,
SHP01295,SKU073,WH04,2024-02-07,18,
SHP01526,SKU084,WH05,2024-02-07,247,
SHP01762,SKU094,WH04,2024-02-07,223,
SHP01817,SKU097,WH03,2024-02-07,166,
SHP01830,SKU097,WH05,2024-02-07,91,
SHP01837,SKU098,WH01,2024-02-07,172,
SHP02511,SKU133,WH01,2024-02-07,112,
SHP03095,SKU162,WH01,2024-02-07,22,
SHP03282,SKU170,WH05,2024-02-07,34,
SHP03551,SKU183,WH04,2024-02-07,34,
SHP03637,SKU187,WH02,2024-02-07,37,
SHP03719,SKU192,WH01,2024-02-07,253,
SHP03997,SKU207,WH03,2024-02-07,21,
SHP04514,SKU236,WH03,2024-02-07,31,
SHP04530,SKU237,WH02,2024-02-07,43,
SHP04835,SKU254,WH05,2024-02-07,187,
SHP04850,SKU255,WH03,2024-02-07,38,
SHP05332,SKU279,WH02,2024-02-07,32,
SHP05420,SKU283,WH02,2024-02-07,16,
SHP05453,SKU284,WH04,2024-02-07,39,
SHP05764,SKU301,WH04,2024-02-07,7,
SHP06242,SKU328,WH02,2024-02-07,11,
SHP06541,SKU342,WH04,2024-02-07,63,
SHP06686,SKU350,WH02,2024-02-07,23,
SHP06813,SKU357,WH03,2024-02-07,299,
SHP07270,SKU384,WH04,2024-02-07,39,
SHP00308,SKU019,WH04,2024-02-08,69,
SHP00686,SKU041,WH04,2024-02-08,5,
SHP01247,SKU071,WH03,2024-02-08,8,
SHP02390,SKU126,WH04,2024-02-08,46,
SHP02695,SKU142,WH03,2024-02-08,305,
SHP03594,SKU185,WH04,2024-02-08,50,
SHP03620,SKU186,WH03,2024-02-08,66,
SHP04077,SKU211,WH03,2024-02-08,20,
SHP04356,SKU226,WH03,2024-02-08,171,
SHP04415,SKU230,WH02,2024-02-08,32,
SHP04637,SKU243,WH03,2024-02-08,75,
SHP04801,SKU252,WH04,2024-02-08,141,
SHP05527,SKU288,WH04,2024-02-08,66,
SHP05574,SKU290,WH03,2024-02-08,80,
SHP05773,SKU302,WH02,2024-02-08,118,
SHP05925,SKU310,WH05,2024-02-08,147,
SHP05930,SKU311,WH01,2024-02-08,171,
SHP06339,SKU333,WH01,2024-02-08,138,
SHP06547,SKU342,WH05,2024-02-08,205,
SHP06966,SKU365,WH03,2024-02-08,107,
SHP00156,SKU010,WH02,2024-02-09,24,
SHP00248,SKU016,WH01,2024-02-09,51,
SHP00607,SKU037,WH05,2024-02-09,14,
SHP00644,SKU039,WH05,2024-02-09,63,
SHP01050,SKU060,WH04,2024-02-09,180,
SHP01352,SKU076,WH03,2024-02-09,23,
SHP02011,SKU105,WH04,2024-02-09,5,
SHP02049,SKU107,WH05,2024-02-09,83,
SHP02168,SKU114,WH03,2024-02-09,19,
SHP02188,SKU115,WH04,2024-02-09,118,
SHP03004,SKU157,WH05,2024-02-09,36,
SHP03380,SKU175,WH01,2024-02-09,36,
SHP03399,SKU176,WH01,2024-02-09,31,
SHP03557,SKU184,WH01,2024-02-09,43,
SHP03773,SKU195,WH05,2024-02-09,23,
SHP03835,SKU198,WH04,2024-02-09,16,
SHP04224,SKU219,WH03,2024-02-09,93,
SHP04315,SKU223,WH02,2024-02-09,145,
SHP04626,SKU242,WH05,2024-02-09,309,
SHP04975,SKU262,WH03,2024-02-09,124,
SHP05123,SKU270,WH02,2024-02-09,84,
SHP05328,SKU279,WH01,2024-02-09,174,
SHP05664,SKU296,WH01,2024-02-09,27,
SHP05688,SKU297,WH05,2024-02-09,148,
SHP05847,SKU306,WH04,2024-02-09,27,
SHP05994,SKU314,WH02,2024-02-09,51,
SHP06321,SKU332,WH01,2024-02-09,35,
SHP06765,SKU354,WH05,2024-02-09,153,
SHP06876,SKU360,WH03,2024-02-09,122,
SHP06960,SKU365,WH02,2024-02-09,109,
SHP07163,SKU378,WH03,2024-02-09,17,
SHP00041,SKU003,WH04,2024-02-10,17,
SHP00067,SKU004,WH04,2024-02-10,20,
SHP00469,SKU029,WH04,2024-02-10,25,
SHP00524,SKU032,WH05,2024-02-10,10,
SHP01144,SKU066,WH01,2024-02-10,29,
SHP01193,SKU068,WH04,2024-02-10,16,
SHP01888,SKU100,WH04,2024-02-10,118,
SHP01967,SKU103,WH03,2024-02-10,53,
SHP02443,SKU128,WH04,2024-02-10,90,
SHP02470,SKU130,WH01,2024-02-10,35,
SHP02514,SKU133,WH03,2024-02-10,49,
SHP02635,SKU139,WH03,2024-02-10,293,
SHP02696,SKU142,WH03,2024-02-10,133,
SHP03167,SKU166,WH02,2024-02-10,209,
SHP03269,SKU170,WH02,2024-02-10,116,
SHP03678,SKU189,WH02,2024-02-10,31,
SHP04066,SKU211,WH01,2024-02-10,64,
SHP04480,SKU234,WH03,2024-02-10,136,
SHP04570,SKU239,WH03,2024-02-10,71,
SHP05072,SKU267,WH05,2024-02-10,12,
SHP05173,SKU273,WH01,2024-02-10,250,
SHP05887,SKU309,WH03,2024-02-10,14,
SHP06031,SKU316,WH01,2024-02-10,50,
SHP06076,SKU319,WH02,2024-02-10,36,
SHP06654,SKU348,WH02,2024-02-10,139,
SHP06792,SKU356,WH02,2024-02-10,268,
SHP00141,SKU009,WH03,2024-02-11,69,
SHP00243,SKU015,WH05,2024-02-11,126,
SHP00470,SKU029,WH04,2024-02-11,30,
SHP00494,SKU030,WH03,2024-02-11,68,
SHP01108,SKU063,WH05,2024-02-11,60,
SHP01145,SKU066,WH01,2024-02-11,55,
SHP01157,SKU066,WH05,2024-02-11,25,
SHP01794,SKU096,WH02,2024-02-11,107,
SHP02183,SKU115,WH02,2024-02-11,9,
SHP02471,SKU130,WH01,2024-02-11,11,
SHP03807,SKU197,WH04,2024-02-11,104,
SHP04157,SKU216,WH02,2024-02-11,32,
SHP04288,SKU221,WH04,2024-02-11,61,
SHP04289,SKU221,WH04,2024-02-11,100,
SHP04638,SKU243,WH03,2024-02-11,51,
SHP04813,SKU253,WH01,2024-02-11,11,
SHP04841,SKU255,WH01,2024-02-11,130,
SHP04842,SKU255,WH01,2024-02-11,31,
SHP05152,SKU271,WH05,2024-02-11,5,
SHP06379,SKU335,WH01,2024-02-11,41,
SHP00176,SKU011,WH01,2024-02-12,60,
SHP00608,SKU037,WH05,2024-02-12,38,
SHP01208,SKU069,WH02,2024-02-12,39,
SHP01441,SKU081,WH02,2024-02-12,200,
SHP01593,SKU087,WH02,2024-02-12,8,
SHP01700,SKU091,WH05,2024-02-12,22,
SHP01845,SKU098,WH03,2024-02-12,124,
SHP01908,SKU101,WH03,2024-02-12,28,
SHP01968,SKU103,WH03,2024-02-12,35,
SHP02661,SKU140,WH05,2024-02-12,89,
SHP02770,SKU145,WH04,2024-02-12,143,
SHP03229,SKU168,WH05,2024-02-12,27,
SHP03604,SKU186,WH01,2024-02-12,60,
SHP03836,SKU198,WH04,2024-02-12,31,
SHP04391,SKU227,WH03,2024-02-12,174,
SHP04462,SKU233,WH03,2024-02-12,46,
SHP04843,SKU255,WH01,2024-02-12,116,
SHP04954,SKU261,WH02,2024-02-12,53,
SHP05273,SKU277,WH01,2024-02-12,28,
SHP05421,SKU283,WH02,2024-02-12,17,
SHP05765,SKU301,WH04,2024-02-12,54,
SHP05884,SKU309,WH02,2024-02-12,6,
SHP06448,SKU338,WH01,2024-02-12,201,
SHP07167,SKU378,WH04,2024-02-12,30,
SHP00249,SKU016,WH01,2024-02-13,23,
SHP00343,SKU021,WH02,2024-02-13,197,
SHP00681,SKU041,WH03,2024-02-13,8,
SHP00735,SKU044,WH04,2024-02-13,43,
SHP00736,SKU044,WH04,2024-02-13,285,
SHP01100,SKU063,WH04,2024-02-13,121,
SHP01767,SKU095,WH02,2024-02-13,35,
SHP01914,SKU101,WH05,2024-02-13,70,
SHP02227,SKU118,WH05,2024-02-13,131,
SHP02451,SKU129,WH01,2024-02-13,111,
SHP02587,SKU136,WH05,2024-02-13,6,
SHP02671,SKU141,WH03,2024-02-13,65,
SHP03149,SKU165,WH01,2024-02-13,163,
SHP03173,SKU166,WH03,2024-02-13,56,
SHP03354,SKU174,WH01,2024-02-13,82,
SHP03633,SKU187,WH01,2024-02-13,44,
SHP03774,SKU195,WH05,2024-02-13,91,
SHP03837,SKU198,WH04,2024-02-13,19,
SHP04145,SKU215,WH03,2024-02-13,189,
SHP04225,SKU219,WH03,2024-02-13,25,
SHP04344,SKU225,WH04,2024-02-13,84,
SHP04531,SKU237,WH02,2024-02-13,33,
SHP04619,SKU242,WH04,2024-02-13,23,
SHP04869,SKU256,WH03,2024-02-13,58,
SHP04915,SKU258,WH05,2024-02-13,284,
SHP05766,SKU301,WH04,2024-02-13,8,
SHP05866,SKU307,WH03,2024-02-13,70,
SHP05936,SKU311,WH02,2024-02-13,17,
SHP06344,SKU333,WH02,2024-02-13,9,
SHP06830,SKU358,WH02,2024-02-13,36,
SHP06893,SKU361,WH03,2024-02-13,69,
SHP06984,SKU366,WH05,2024-02-13,93,
SHP07189,SKU379,WH04,2024-02-13,103,
SHP07560,SKU400,WH01,2024-02-13,48,
SHP00294,SKU018,WH04,2024-02-14,97,
SHP00481,SKU030,WH01,2024-02-14,135,
SHP00482,SKU030,WH01,2024-02-14,80,
SHP00500,SKU031,WH01,2024-02-14,16,
SHP00600,SKU037,WH04,2024-02-14,65,
SHP00740,SKU044,WH05,2024-02-14,18,
SHP00986,SKU057,WH05,2024-02-14,24,
SHP01021,SKU059,WH04,2024-02-14,47,
SHP01248,SKU071,WH03,2024-02-14,80,
SHP01746,SKU093,WH05,2024-02-14,26,
SHP02002,SKU105,WH02,2024-02-14,7,
SHP02489,SKU131,WH05,2024-02-14,35,
SHP02515,SKU133,WH03,2024-02-14,131,
SHP02617,SKU138,WH03,2024-02-14,79,
SHP03037,SKU159,WH02,2024-02-14,33,
SHP03045,SKU159,WH04,2024-02-14,73,
SHP03431,SKU177,WH03,2024-02-14,73,
SHP04047,SKU210,WH01,2024-02-14,31,
SHP04371,SKU226,WH05,2024-02-14,15,
SHP04421,SKU230,WH05,2024-02-14,66,
SHP04470,SKU233,WH04,2024-02-14,46,
SHP04919,SKU259,WH02,2024-02-14,94,
SHP05298,SKU277,WH05,2024-02-14,171,
SHP05619,SKU293,WH02,2024-02-14,52,
SHP06365,SKU334,WH04,2024-02-14,18,
SHP06427,SKU337,WH02,2024-02-14,104,
SHP06582,SKU344,WH03,2024-02-14,55,
SHP06650,SKU348,WH01,2024-02-14,81,
SHP06662,SKU348,WH05,2024-02-14,275,
SHP06816,SKU357,WH04,2024-02-14,55,
SHP06894,SKU361,WH03,2024-02-14,114,
