receipt_id,product_id,warehouse_id,receipt_date,quantity,unit_cost,hold_status,source,original_shipment_id,po_batch_id
RCT02735,SKU160,WH05,2024-01-02,203,26.84,released,purchase_order,,
RCT02844,SKU168,WH01,2024-01-02,107,10.42,released,purchase_order,,
RCT02996,SKU175,WH05,2024-01-02,82,42.42,released,purchase_order,,
RCT03625,SKU212,WH02,2024-01-02,82,21.73,released,purchase_order,,
RCT03737,SKU218,WH05,2024-01-02,205,20.75,released,purchase_order,,
RCT03809,SKU222,WH02,2024-01-02,220,17.68,released,purchase_order,,
RCT03980,SKU233,WH03,2024-01-02,63,37.33,released,purchase_order,,
RCT04142,SKU243,WH04,2024-01-02,72,14.14,released,purchase_order,,
RCT04847,SKU285,WH05,2024-01-02,292,9.51,released,purchase_order,,
RCT04937,SKU292,WH01,2024-01-02,208,16.96,released,purchase_order,,
RCT05270,SKU313,WH01,2024-01-02,102,46.8,released,purchase_order,,
RCT05295,SKU314,WH02,2024-01-02,267,37.25,released,purchase_order,,
RCT05335,SKU316,WH01,2024-01-02,73,17.12,released,purchase_order,,
RCT05470,SKU326,WH04,2024-01-02,156,25.49,released,purchase_order,,
RCT05574,SKU331,WH04,2024-01-02,168,31.09,released,purchase_order,,
RCT05795,SKU344,WH01,2024-01-02,226,51.08,released,purchase_order,,
RCT05958,SKU353,WH03,2024-01-02,142,44.58,released,purchase_order,,
RCT06178,SKU366,WH05,2024-01-02,133,20.57,released,purchase_order,,
RCT06441,SKU383,WH04,2024-01-02,283,14.31,released,purchase_order,,
RCT06493,SKU386,WH04,2024-01-02,166,15.76,released,purchase_order,,
RCT00159,SKU011,WH03,2024-01-03,220,56.98,released,purchase_order,,
RCT00397,SKU026,WH05,2024-01-03,297,20.9,released,purchase_order,,
RCT00541,SKU036,WH02,2024-01-03,94,51.89,released,purchase_order,,
RCT00692,SKU044,WH05,2024-01-03,88,20.8,released,purchase_order,,
RCT00839,SKU052,WH02,2024-01-03,118,30.84,released,purchase_order,,
RCT01025,SKU063,WH04,2024-01-03,82,19.93,released,purchase_order,,
RCT01334,SKU082,WH01,2024-01-03,65,29.45,released,purchase_order,,
RCT01678,SKU100,WH03,2024-01-03,53,24.82,released,purchase_order,,
RCT01778,SKU105,WH02,2024-01-03,254,36.13,released,purchase_order,,
RCT01807,SKU107,WH02,2024-01-03,294,25.3,released,purchase_order,,
RCT01984,SKU117,WH05,2024-01-03,52,28.64,released,purchase_order,,
RCT02002,SKU119,WH02,2024-01-03,174,42.42,released,purchase_order,,
RCT02298,SKU135,WH05,2024-01-03,137,44.44,released,purchase_order,,
RCT02887,SKU170,WH02,2024-01-03,222,20.97,released,purchase_order,,
RCT03290,SKU190,WH04,2024-01-03,299,25.97,released,purchase_order,,
RCT03534,SKU206,WH01,2024-01-03,246,16.27,released,purchase_order,,
RCT03641,SKU213,WH03,2024-01-03,258,60.12,released,purchase_order,,
RCT03829,SKU223,WH02,2024-01-03,61,10.91,released,purchase_order,,
RCT03915,SKU227,WH03,2024-01-03,252,26.19,released,purchase_order,,
RCT04187,SKU247,WH01,2024-01-03,67,36.2,released,purchase_order,,
RCT04323,SKU255,WH05,2024-01-03,83,13.9,released,purchase_order,,
RCT04813,SKU283,WH04,2024-01-03,159,30.32,released,purchase_order,,
RCT05426,SKU323,WH02,2024-01-03,100,19.43,released,purchase_order,,
RCT05814,SKU345,WH04,2024-01-03,131,43.94,released,purchase_order,,
RCT05959,SKU353,WH03,2024-01-03,52,47.83,released,purchase_order,,
RCT05998,SKU355,WH05,2024-01-03,196,45.37,released,purchase_order,,
RCT06078,SKU360,WH03,2024-01-03,238,15.57,released,purchase_order,,
RCT06302,SKU373,WH04,2024-01-03,212,39.73,released,purchase_order,,
RCT06460,SKU384,WH04,2024-01-03,201,20.29,released,purchase_order,,
RCT06514,SKU388,WH03,2024-01-03,259,35.75,released,purchase_order,,
RCT06688,SKU398,WH02,2024-01-03,206,17.26,released,purchase_order,,
RCT06716,SKU399,WH05,2024-01-03,92,14.31,released,purchase_order,,
RCT00064,SKU005,WH04,2024-01-04,229,11.9,released,purchase_order,,
RCT00155,SKU011,WH01,2024-01-04,113,24.24,released,purchase_order,,
RCT00236,SKU016,WH03,2024-01-04,180,58.92,released,purchase_order,,
RCT00696,SKU045,WH01,2024-01-04,250,25.38,released,purchase_order,,
RCT00715,SKU046,WH01,2024-01-04,280,14.39,released,purchase_order,,
RCT00735,SKU046,WH05,2024-01-04,168,42.1,released,purchase_order,,
RCT00746,SKU047,WH02,2024-01-04,108,43.76,released,purchase_order,,
RCT01004,SKU062,WH01,2024-01-04,175,53.34,released,purchase_order,,
RCT01263,SKU077,WH04,2024-01-04,57,15.03,released,purchase_order,,
RCT01308,SKU080,WH04,2024-01-04,268,36.49,released,purchase_order,,
RCT01374,SKU084,WH04,2024-01-04,227,48.17,released,purchase_order,,
RCT01420,SKU086,WH05,2024-01-04,72,63.69,released,purchase_order,,
RCT01507,SKU090,WH05,2024-01-04,96,40.67,released,purchase_order,,
RCT01536,SKU092,WH03,2024-01-04,186,53.97,released,purchase_order,,
RCT01583,SKU094,WH04,2024-01-04,298,39.08,released,purchase_order,,
RCT01650,SKU098,WH03,2024-01-04,135,17.99,released,purchase_order,,
RCT01883,SKU111,WH01,2024-01-04,180,45.27,released,purchase_order,,
RCT01995,SKU118,WH05,2024-01-04,283,13.98,released,purchase_order,,
RCT02080,SKU122,WH04,2024-01-04,254,48.03,released,purchase_order,,
RCT02115,SKU124,WH02,2024-01-04,170,55.8,released,purchase_order,,
RCT02158,SKU127,WH03,2024-01-04,119,36.03,released,purchase_order,,
RCT02214,SKU130,WH01,2024-01-04,187,58.38,released,purchase_order,,
RCT02267,SKU133,WH04,2024-01-04,204,51.79,released,purchase_order,,
RCT02462,SKU144,WH03,2024-01-04,189,61.03,released,purchase_order,,
RCT02805,SKU165,WH03,2024-01-04,128,19.14,released,purchase_order,,
RCT03222,SKU187,WH02,2024-01-04,249,59.22,released,purchase_order,,
RCT03296,SKU191,WH02,2024-01-04,63,19.21,released,purchase_order,,
RCT03436,SKU200,WH03,2024-01-04,155,47.18,released,purchase_order,,
RCT03476,SKU202,WH04,2024-01-04,83,37.75,released,purchase_order,,
RCT03577,SKU209,WH01,2024-01-04,92,59.71,released,purchase_order,,
RCT03626,SKU212,WH02,2024-01-04,116,22.11,released,purchase_order,,
RCT03684,SKU216,WH02,2024-01-04,111,8.94,released,purchase_order,,
RCT03743,SKU219,WH03,2024-01-04,230,12.11,released,purchase_order,,
RCT03830,SKU223,WH02,2024-01-04,89,11.58,released,purchase_order,,
RCT03856,SKU225,WH03,2024-01-04,292,25.45,released,purchase_order,,
RCT04013,SKU235,WH05,2024-01-04,172,13.49,released,purchase_order,,
RCT04241,SKU250,WH02,2024-01-04,128,52.93,released,purchase_order,,
RCT04458,SKU264,WH05,2024-01-04,261,20.43,released,purchase_order,,
RCT04552,SKU270,WH02,2024-01-04,194,13.35,released,purchase_order,,
RCT04685,SKU277,WH02,2024-01-04,262,12.24,released,purchase_order,,
RCT04975,SKU294,WH03,2024-01-04,139,28.51,released,purchase_order,,
RCT05136,SKU306,WH02,2024-01-04,212,55.51,released,purchase_order,,
RCT05149,SKU306,WH04,2024-01-04,288,50.84,released,purchase_order,,
RCT05227,SKU311,WH01,2024-01-04,144,42.12,released,purchase_order,,
RCT05960,SKU353,WH03,2024-01-04,293,51.86,released,purchase_order,,
RCT06220,SKU368,WH05,2024-01-04,206,38.55,released,purchase_order,,
RCT06310,SKU373,WH05,2024-01-04,231,17.54,released,purchase_order,,
RCT06384,SKU379,WH02,2024-01-04,280,11.85,released,purchase_order,,
RCT06428,SKU382,WH03,2024-01-04,139,40.54,released,purchase_order,,
RCT06435,SKU383,WH01,2024-01-04,278,20.06,released,purchase_order,,
RCT06453,SKU384,WH02,2024-01-04,164,27.72,released,purchase_order,,
RCT00004,SKU001,WH05,2024-01-05,76,13.09,released,purchase_order,,
RCT00033,SKU003,WH04,2024-01-05,165,43.43,released,purchase_order,,
RCT00080,SKU006,WH04,2024-01-05,203,58.56,released,purchase_order,,
RCT00490,SKU032,WH05,2024-01-05,173,27.52,released,purchase_order,,
RCT00962,SKU059,WH04,2024-01-05,255,16.95,released,purchase_order,,
RCT01161,SKU071,WH04,2024-01-05,231,19.85,released,purchase_order,,
RCT01195,SKU073,WH04,2024-01-05,281,29.28,released,purchase_order,,
RCT01242,SKU076,WH03,2024-01-05,134,39.94,released,purchase_order,,
RCT01255,SKU077,WH01,2024-01-05,80,47.21,released,purchase_order,,
RCT01295,SKU079,WH01,2024-01-05,108,24.95,released,purchase_order,,
RCT01537,SKU092,WH03,2024-01-05,127,56.15,released,purchase_order,,
RCT01644,SKU098,WH01,2024-01-05,107,50.44,released,purchase_order,,
RCT01779,SKU105,WH02,2024-01-05,58,37.91,released,purchase_order,,
RCT01837,SKU109,WH01,2024-01-05,92,48.19,released,purchase_order,,
RCT01903,SKU111,WH04,2024-01-05,247,52.22,released,purchase_order,,
RCT01953,SKU115,WH02,2024-01-05,253,59.06,released,purchase_order,,
RCT01971,SKU116,WH03,2024-01-05,195,25.93,released,purchase_order,,
RCT02374,SKU140,WH02,2024-01-05,92,24.06,released,purchase_order,,
RCT02400,SKU141,WH04,2024-01-05,61,36.96,released,purchase_order,,
RCT02642,SKU156,WH03,2024-01-05,122,55.56,released,purchase_order,,
RCT02701,SKU159,WH02,2024-01-05,69,50.44,released,purchase_order,,
RCT02747,SKU162,WH01,2024-01-05,135,53.58,released,purchase_order,,
RCT02911,SKU171,WH03,2024-01-05,264,51.09,released,purchase_order,,
RCT03127,SKU183,WH01,2024-01-05,165,20.9,released,purchase_order,,
RCT03204,SKU186,WH03,2024-01-05,296,51.58,released,purchase_order,,
RCT03350,SKU194,WH05,2024-01-05,240,59.66,released,purchase_order,,
RCT04279,SKU253,WH01,2024-01-05,279,48.05,released,purchase_order,,
RCT04373,SKU258,WH05,2024-01-05,236,14.08,released,purchase_order,,
RCT04380,SKU259,WH02,2024-01-05,208,18.78,released,purchase_order,,
RCT04624,SKU274,WH02,2024-01-05,170,57.85,released,purchase_order,,
RCT04799,SKU282,WH05,2024-01-05,58,25.32,released,purchase_order,,
RCT05308,SKU314,WH04,2024-01-05,92,58.69,released,purchase_order,,
RCT05382,SKU320,WH01,2024-01-05,50,38.24,released,purchase_order,,
RCT05434,SKU323,WH05,2024-01-05,94,45.35,released,purchase_order,,
RCT06173,SKU366,WH01,2024-01-05,140,40.95,released,purchase_order,,
RCT06323,SKU375,WH02,2024-01-05,297,60.95,released,purchase_order,,
RCT06446,SKU383,WH05,2024-01-05,276,35.79,released,purchase_order,,
RCT06591,SKU392,WH05,2024-01-05,218,55.21,released,purchase_order,,
RCT00016,SKU002,WH03,2024-01-06,159,27.16,released,purchase_order,,
RCT00196,SKU014,WH01,2024-01-06,100,43.0,released,purchase_order,,
RCT00606,SKU040,WH01,2024-01-06,114,26.94,released,purchase_order,,
RCT00671,SKU044,WH01,2024-01-06,222,31.23,released,purchase_order,,
RCT00742,SKU047,WH01,2024-01-06,75,58.73,released,purchase_order,,
RCT00816,SKU051,WH03,2024-01-06,141,35.77,released,purchase_order,,
RCT00985,SKU060,WH05,2024-01-06,270,15.75,released,purchase_order,,
RCT01043,SKU064,WH04,2024-01-06,246,57.46,released,purchase_order,,
RCT01147,SKU071,WH01,2024-01-06,58,47.74,released,purchase_order,,
RCT01225,SKU075,WH05,2024-01-06,107,40.4,released,purchase_order,,
RCT01311,SKU080,WH05,2024-01-06,141,55.98,released,purchase_order,,
RCT01469,SKU089,WH01,2024-01-06,156,34.21,released,purchase_order,,
RCT01764,SKU104,WH03,2024-01-06,272,25.61,released,purchase_order,,
RCT02395,SKU141,WH03,2024-01-06,191,44.94,released,purchase_order,,
RCT02558,SKU151,WH02,2024-01-06,70,37.17,released,purchase_order,,
RCT03008,SKU176,WH02,2024-01-06,224,24.5,released,purchase_order,,
RCT03304,SKU191,WH05,2024-01-06,241,15.91,released,purchase_order,,
RCT03357,SKU195,WH03,2024-01-06,190,22.04,released,purchase_order,,
RCT03365,SKU195,WH05,2024-01-06,185,24.32,released,purchase_order,,
RCT03371,SKU196,WH01,2024-01-06,82,52.98,released,purchase_order,,
RCT03386,SKU197,WH02,2024-01-06,210,15.81,released,purchase_order,,
RCT03561,SKU207,WH04,2024-01-06,94,21.45,released,purchase_order,,
RCT03601,SKU210,WH03,2024-01-06,68,37.98,released,purchase_order,,
RCT03718,SKU218,WH01,2024-01-06,166,17.81,released,purchase_order,,
RCT03723,SKU218,WH03,2024-01-06,207,37.25,released,purchase_order,,
RCT03981,SKU233,WH03,2024-01-06,287,38.09,released,purchase_order,,
RCT04299,SKU254,WH05,2024-01-06,192,22.45,released,purchase_order,,
RCT04571,SKU271,WH03,2024-01-06,270,22.43,released,purchase_order,,
RCT04587,SKU272,WH03,2024-01-06,214,30.51,released,purchase_order,,
RCT04855,SKU286,WH03,2024-01-06,233,10.95,released,purchase_order,,
RCT05320,SKU315,WH03,2024-01-06,128,20.86,released,purchase_order,,
RCT05328,SKU315,WH05,2024-01-06,137,50.99,released,purchase_order,,
RCT06159,SKU365,WH02,2024-01-06,217,43.49,released,purchase_order,,
RCT06213,SKU368,WH04,2024-01-06,115,27.64,released,purchase_order,,
RCT06221,SKU368,WH05,2024-01-06,76,39.13,released,purchase_order,,
RCT06643,SKU396,WH02,2024-01-06,232,13.66,released,purchase_order,,
RCT00038,SKU003,WH05,2024-01-07,183,64.74,released,purchase_order,,
RCT00285,SKU019,WH05,2024-01-07,62,15.33,released,purchase_order,,
RCT00496,SKU033,WH02,2024-01-07,121,57.33,released,purchase_order,,
RCT00798,SKU050,WH05,2024-01-07,284,57.94,released,purchase_order,,
RCT01117,SKU069,WH02,2024-01-07,193,12.1,released,purchase_order,,
RCT01162,SKU071,WH04,2024-01-07,155,21.04,released,purchase_order,,
RCT01683,SKU100,WH04,2024-01-07,281,22.25,released,purchase_order,,
RCT01703,SKU101,WH03,2024-01-07,216,8.86,released,purchase_order,,
RCT01844,SKU109,WH02,2024-01-07,110,57.79,released,purchase_order,,
RCT01930,SKU114,WH03,2024-01-07,283,46.54,released,purchase_order,,
RCT02620,SKU155,WH02,2024-01-07,116,19.02,released,purchase_order,,
RCT03139,SKU183,WH04,2024-01-07,282,63.16,released,purchase_order,,
RCT03174,SKU185,WH03,2024-01-07,275,17.5,released,purchase_order,,
RCT03205,SKU186,WH03,2024-01-07,282,55.01,released,purchase_order,,
RCT03216,SKU187,WH01,2024-01-07,73,50.14,released,purchase_order,,
RCT03323,SKU192,WH04,2024-01-07,285,41.04,released,purchase_order,,
RCT03339,SKU194,WH03,2024-01-07,71,21.38,released,purchase_order,,
RCT03366,SKU195,WH05,2024-01-07,70,24.77,released,purchase_order,,
RCT03836,SKU224,WH01,2024-01-07,193,49.14,released,purchase_order,,
RCT03976,SKU232,WH03,2024-01-07,192,58.38,released,purchase_order,,
RCT04269,SKU252,WH04,2024-01-07,146,47.08,released,purchase_order,,
RCT04338,SKU257,WH01,2024-01-07,278,54.0,released,purchase_order,,
RCT04490,SKU266,WH04,2024-01-07,172,30.66,released,purchase_order,,
RCT04595,SKU273,WH01,2024-01-07,280,29.73,released,purchase_order,,
RCT04965,SKU293,WH04,2024-01-07,148,9.17,released,purchase_order,,
RCT05185,SKU309,WH02,2024-01-07,78,22.35,released,purchase_order,,
RCT05372,SKU319,WH03,2024-01-07,102,54.94,released,purchase_order,,
RCT05458,SKU325,WH05,2024-01-07,236,64.55,released,purchase_order,,
RCT05704,SKU338,WH04,2024-01-07,159,17.04,released,purchase_order,,
RCT05871,SKU348,WH05,2024-01-07,102,15.95,released,purchase_order,,
RCT05887,SKU349,WH03,2024-01-07,295,48.07,released,purchase_order,,
RCT06214,SKU368,WH04,2024-01-07,188,27.03,released,purchase_order,,
RCT06270,SKU371,WH03,2024-01-07,111,60.7,released,purchase_order,,
RCT06277,SKU371,WH05,2024-01-07,224,45.43,released,purchase_order,,
RCT00165,SKU011,WH04,2024-01-08,105,32.28,released,purchase_order,,
RCT00205,SKU014,WH05,2024-01-08,256,20.55,released,purchase_order,,
RCT00230,SKU016,WH02,2024-01-08,134,41.3,released,purchase_order,,
RCT00450,SKU030,WH01,2024-01-08,206,8.48,released,purchase_order,,
RCT00491,SKU032,WH05,2024-01-08,191,28.28,released,purchase_order,,
RCT00508,SKU034,WH02,2024-01-08,87,28.98,released,purchase_order,,
RCT00612,SKU040,WH02,2024-01-08,296,56.42,released,purchase_order,,
RCT00641,SKU042,WH04,2024-01-08,218,46.53,released,purchase_order,,
RCT00907,SKU056,WH05,2024-01-08,245,30.72,released,purchase_order,,
RCT00954,SKU059,WH03,2024-01-08,124,12.27,released,purchase_order,,
RCT00996,SKU061,WH05,2024-01-08,83,42.36,released,purchase_order,,
RCT01071,SKU066,WH01,2024-01-08,161,39.44,released,purchase_order,,
RCT01126,SKU070,WH01,2024-01-08,169,39.05,released,purchase_order,,
RCT01134,SKU070,WH03,2024-01-08,50,59.41,released,purchase_order,,
RCT01470,SKU089,WH01,2024-01-08,193,35.08,released,purchase_order,,
RCT01996,SKU118,WH05,2024-01-08,171,14.89,released,purchase_order,,
RCT02220,SKU130,WH03,2024-01-08,137,49.4,released,purchase_order,,
RCT02418,SKU142,WH03,2024-01-08,204,42.51,released,purchase_order,,
RCT02463,SKU144,WH03,2024-01-08,95,66.45,released,purchase_order,,
RCT02715,SKU160,WH01,2024-01-08,234,32.91,released,purchase_order,,
RCT02740,SKU161,WH02,2024-01-08,74,10.95,released,purchase_order,,
RCT03147,SKU184,WH01,2024-01-08,164,52.95,released,purchase_order,,
RCT03206,SKU186,WH03,2024-01-08,75,54.8,released,purchase_order,,
RCT03305,SKU191,WH05,2024-01-08,287,16.76,released,purchase_order,,
RCT03408,SKU198,WH03,2024-01-08,135,22.88,released,purchase_order,,
RCT03617,SKU211,WH02,2024-01-08,231,57.88,released,purchase_order,,
RCT03724,SKU218,WH03,2024-01-08,196,38.03,released,purchase_order,,
RCT03857,SKU225,WH03,2024-01-08,218,27.39,released,purchase_order,,
RCT04249,SKU250,WH04,2024-01-08,136,24.6,released,purchase_order,,
RCT04402,SKU260,WH05,2024-01-08,156,56.76,released,purchase_order,,
RCT04418,SKU261,WH04,2024-01-08,69,17.28,released,purchase_order,,
RCT04442,SKU263,WH03,2024-01-08,291,37.86,released,purchase_order,,
RCT04513,SKU267,WH05,2024-01-08,98,28.5,released,purchase_order,,
RCT04529,SKU268,WH04,2024-01-08,133,56.73,released,purchase_order,,
RCT04605,SKU273,WH03,2024-01-08,105,15.45,released,purchase_order,,
RCT04723,SKU279,WH01,2024-01-08,119,18.17,released,purchase_order,,
RCT04912,SKU290,WH02,2024-01-08,245,61.53,released,purchase_order,,
RCT05238,SKU311,WH03,2024-01-08,295,34.15,released,purchase_order,,
RCT05263,SKU312,WH05,2024-01-08,264,44.94,released,purchase_order,,
RCT05396,SKU321,WH02,2024-01-08,119,51.26,released,purchase_order,,
RCT05585,SKU332,WH01,2024-01-08,98,20.05,released,purchase_order,,
RCT05895,SKU349,WH04,2024-01-08,160,28.9,released,purchase_order,,
RCT06249,SKU370,WH05,2024-01-08,255,15.99,released,purchase_order,,
RCT06291,SKU373,WH01,2024-01-08,62,26.46,released,purchase_order,,
RCT06557,SKU391,WH01,2024-01-08,289,35.17,released,purchase_order,,
RCT06631,SKU395,WH05,2024-01-08,116,18.37,released,purchase_order,,
RCT00180,SKU012,WH05,2024-01-09,102,22.6,released,purchase_order,,
RCT00280,SKU019,WH04,2024-01-09,151,39.86,released,purchase_order,,
RCT00509,SKU034,WH02,2024-01-09,134,30.47,released,purchase_order,,
RCT01206,SKU074,WH03,2024-01-09,111,50.71,released,purchase_order,,
RCT01216,SKU075,WH01,2024-01-09,85,19.63,released,purchase_order,,
RCT01426,SKU087,WH01,2024-01-09,185,8.82,released,purchase_order,,
RCT01558,SKU093,WH03,2024-01-09,258,51.58,released,purchase_order,,
RCT01569,SKU093,WH05,2024-01-09,242,24.92,released,purchase_order,,
RCT01770,SKU104,WH05,2024-01-09,84,28.13,released,purchase_order,,
RCT01796,SKU106,WH03,2024-01-09,266,45.0,released,purchase_order,,
RCT02300,SKU136,WH01,2024-01-09,256,19.15,released,purchase_order,,
RCT02409,SKU142,WH01,2024-01-09,270,44.36,released,purchase_order,,
RCT02723,SKU160,WH03,2024-01-09,140,16.54,released,purchase_order,,
RCT03077,SKU179,WH05,2024-01-09,218,32.85,released,purchase_order,,
RCT03227,SKU187,WH03,2024-01-09,177,24.79,released,purchase_order,,
RCT03387,SKU197,WH02,2024-01-09,249,17.14,released,purchase_order,,
RCT03477,SKU202,WH04,2024-01-09,198,41.06,released,purchase_order,,
RCT03516,SKU204,WH05,2024-01-09,214,28.98,released,purchase_order,,
RCT03569,SKU208,WH05,2024-01-09,137,51.23,released,purchase_order,,
RCT03667,SKU215,WH02,2024-01-09,50,43.6,released,purchase_order,,
RCT03824,SKU223,WH01,2024-01-09,140,38.16,released,purchase_order,,
RCT03880,SKU226,WH03,2024-01-09,281,46.23,released,purchase_order,,
RCT04063,SKU239,WH03,2024-01-09,192,58.65,released,purchase_order,,
RCT04549,SKU270,WH01,2024-01-09,177,59.46,released,purchase_order,,
RCT04724,SKU279,WH01,2024-01-09,139,17.68,released,purchase_order,,
RCT05175,SKU308,WH02,2024-01-09,210,58.15,released,purchase_order,,
RCT05203,SKU310,WH01,2024-01-09,278,33.11,released,purchase_order,,
RCT05228,SKU311,WH01,2024-01-09,240,44.03,released,purchase_order,,
RCT05252,SKU312,WH02,2024-01-09,175,16.14,released,purchase_order,,
RCT05603,SKU333,WH02,2024-01-09,197,35.53,released,purchase_order,,
RCT05848,SKU347,WH05,2024-01-09,178,55.31,released,purchase_order,,
RCT05973,SKU354,WH01,2024-01-09,61,40.04,released,purchase_order,,
RCT06040,SKU357,WH05,2024-01-09,93,31.73,released,purchase_order,,
RCT06145,SKU364,WH04,2024-01-09,63,53.86,released,purchase_order,,
RCT06367,SKU378,WH04,2024-01-09,50,23.49,released,purchase_order,,
RCT06539,SKU390,WH02,2024-01-09,280,62.68,released,purchase_order,,
RCT06702,SKU398,WH04,2024-01-09,298,61.99,released,purchase_order,,
RCT00009,SKU002,WH01,2024-01-10,75,55.49,released,purchase_order,,
RCT00103,SKU008,WH01,2024-01-10,266,24.96,released,purchase_order,,
RCT00216,SKU015,WH05,2024-01-10,170,38.15,released,purchase_order,,
RCT00435,SKU029,WH03,2024-01-10,64,49.79,released,purchase_order,,
RCT00997,SKU061,WH05,2024-01-10,163,42.56,released,purchase_order,,
RCT01274,SKU078,WH01,2024-01-10,100,29.56,released,purchase_order,,
RCT01434,SKU087,WH02,2024-01-10,51,56.71,released,purchase_order,,
RCT01651,SKU098,WH03,2024-01-10,119,18.68,released,purchase_order,,
RCT02096,SKU123,WH04,2024-01-10,279,37.93,released,purchase_order,,
RCT02109,SKU124,WH01,2024-01-10,92,42.59,released,purchase_order,,
RCT02283,SKU135,WH01,2024-01-10,51,20.17,released,purchase_order,,
RCT02343,SKU138,WH03,2024-01-10,210,17.61,released,purchase_order,,
RCT02796,SKU165,WH01,2024-01-10,76,29.89,released,purchase_order,,
RCT03093,SKU181,WH02,2024-01-10,130,46.43,released,purchase_order,,
RCT03192,SKU186,WH01,2024-01-10,285,26.47,released,purchase_order,,
RCT03217,SKU187,WH01,2024-01-10,202,50.76,released,purchase_order,,
RCT03464,SKU201,WH04,2024-01-10,189,43.5,released,purchase_order,,
