transfer_id,handling_fee
TRF00204,132.41
TRF00206,152.89
TRF00208,48.87
TRF00210,168.22
TRF00211,280.24
TRF00213,162.13
TRF00214,340.59
TRF00215,459.09
TRF00216,610.55
TRF00219,121.68
TRF00220,136.57
TRF00224,151.68
TRF00225,333.25
TRF00226,161.75
TRF00228,340.81
TRF00230,258.78
TRF00231,84.52
TRF00232,428.25
TRF00233,287.15
TRF00235,108.55
TRF00237,195.37
TRF00238,68.41
TRF00240,113.25
TRF00241,343.74
TRF00243,95.82
TRF00245,199.38
TRF00246,183.09
TRF00247,199.62
TRF00248,177.09
TRF00251,630.4
TRF00252,245.28
TRF00253,141.93
TRF00254,171.16
TRF00255,244.65
TRF00256,446.36
TRF00257,137.59
TRF00258,94.95
TRF00259,127.0
TRF00260,339.2
TRF00262,253.38
TRF00263,137.73
TRF00264,418.78
TRF00265,95.91
TRF00266,41.76
TRF00267,213.46
TRF00269,282.34
TRF00271,327.45
TRF00272,384.6
TRF00273,379.29
TRF00274,176.53
TRF00275,138.91
TRF00277,34.66
TRF00279,456.42
TRF00280,502.47
TRF00281,137.02
TRF00282,135.24
TRF00283,393.76
TRF00284,158.62
TRF00285,269.21
TRF00286,436.75
TRF00287,70.21
TRF00288,348.64
TRF00290,617.04
TRF00293,93.75
TRF00295,287.37
TRF00296,169.91
TRF00297,305.6
TRF00298,147.03
TRF00299,418.85
TRF00301,413.62
TRF00302,262.8
TRF00303,573.87
TRF00304,631.35
TRF00306,285.69
TRF00307,276.63
TRF00308,349.83
TRF00309,407.71
TRF00310,154.47
TRF00311,225.71
TRF00314,191.0
TRF00315,61.63
TRF00316,47.6
TRF00319,42.4
TRF00320,373.36
TRF00321,242.79
TRF00322,173.3
TRF00323,83.4
TRF00324,519.91
TRF00325,178.61
TRF00326,418.1
TRF00327,445.83
TRF00328,69.09
TRF00329,216.99
TRF00330,434.01
TRF00331,87.31
TRF00332,150.38
TRF00334,72.5
TRF00338,55.15
TRF00340,136.88
TRF00341,393.6
TRF00343,30.38
TRF00344,477.22
TRF00346,153.16
TRF00347,512.58
TRF00348,342.24
TRF00349,524.36
TRF00351,183.33
TRF00352,580.89
TRF00353,391.44
TRF00354,207.01
TRF00355,331.65
TRF00356,388.62
TRF00357,389.31
TRF00358,221.0
TRF00359,126.56
TRF00360,466.35
TRF00361,252.0
TRF00362,126.65
TRF00363,67.08
TRF00364,290.28
TRF00366,368.47
TRF00369,299.89
TRF00370,494.57
TRF00371,323.54
TRF00372,215.25
TRF00373,146.83
TRF00374,52.05
TRF00377,128.92
TRF00381,165.42
TRF00383,211.12
TRF00385,140.14
TRF00387,251.14
TRF00388,251.06
TRF00389,42.86
TRF00390,389.03
TRF00391,376.88
TRF00392,383.51
TRF00393,94.62
TRF00394,286.64
TRF00395,156.63
TRF00396,490.12
TRF00397,114.61
TRF00398,537.05
TRF00401,121.01
TRF00402,113.44
TRF00404,381.01
TRF00405,81.9
TRF00406,356.33
TRF00407,241.56
TRF00408,181.95
TRF00412,225.9
TRF00413,117.77
TRF00415,490.51
TRF00416,65.8
TRF00419,164.21
TRF00420,230.17
TRF00422,200.88
TRF00423,695.06
TRF00424,167.94
TRF00425,250.76
TRF00427,109.54
TRF00431,71.56
TRF00432,346.13
TRF00433,107.14
TRF00435,360.54
TRF00437,275.55
TRF00440,236.05
TRF00441,94.02
TRF00442,154.57
TRF00443,140.66
TRF00445,366.12
TRF00447,356.87
TRF00452,159.6
TRF00453,694.43
TRF00454,224.84
TRF00455,376.98
TRF00456,123.44
TRF00458,187.55
TRF00460,196.1
TRF00463,289.14
TRF00464,511.4
TRF00465,169.6
TRF00466,192.06
TRF00467,243.52
TRF00469,211.43
TRF00471,191.89
TRF00472,204.18
TRF00474,148.85
TRF00477,283.12
TRF00479,302.61
TRF00481,218.78
TRF00483,163.36
TRF00484,431.82
TRF00485,300.72
TRF00486,48.92
TRF00487,280.99
TRF00489,255.38
TRF00490,247.78
TRF00491,132.8
TRF00492,206.34
TRF00493,576.02
TRF00496,140.72
TRF00497,100.35
TRF00499,472.28
TRF00500,198.42
TRF00501,420.42
TRF00502,81.76
TRF00503,52.9
TRF00504,185.28
TRF00505,114.15
TRF00509,291.22
TRF00510,260.58
TRF00512,279.04
TRF00514,212.41
TRF00516,257.49
TRF00517,239.18
TRF00519,379.28
TRF00520,252.3
TRF00521,68.47
TRF00522,20.2
TRF00523,156.56
TRF00524,171.93
TRF00526,140.52
TRF00527,275.61
TRF00531,67.43
TRF00532,142.25
TRF00533,69.62
TRF00535,208.75
TRF00537,261.87
TRF00538,50.84
TRF00539,61.39
TRF00540,159.82
TRF00541,617.59
TRF00542,333.0
TRF00543,49.63
TRF00544,119.99
TRF00549,90.19
TRF00550,377.89
TRF00551,427.84
TRF00553,496.67
TRF00555,138.73
TRF00556,84.06
TRF00559,77.93
TRF00561,536.83
TRF00562,53.12
TRF00563,151.2
TRF00564,171.29
TRF00565,265.02
TRF00566,149.45
TRF00567,378.41
TRF00568,153.76
TRF00569,292.08
TRF00571,339.68
TRF00573,118.73
TRF00576,366.75
TRF00578,477.46
TRF00579,380.75
TRF00582,228.21
TRF00583,74.99
TRF00584,87.13
TRF00585,332.82
TRF00588,54.3
TRF00590,258.27
TRF00591,320.29
TRF00592,418.41
TRF00598,138.9
TRF00599,312.85
TRF00600,310.91
TRF00601,399.63
TRF00602,532.38
TRF00603,321.29
TRF00604,178.08
TRF00606,254.52
TRF00607,440.62
TRF00610,490.89
TRF00611,345.87
TRF00612,581.63
TRF00613,150.67
TRF00614,389.35
TRF00617,152.64
TRF00619,404.32
TRF00620,302.93
TRF00621,175.93
TRF00622,412.99
TRF00623,124.26
TRF00626,443.3
TRF00627,391.44
TRF00628,187.64
TRF00629,403.93
TRF00631,367.76
TRF00632,91.73
TRF00636,201.16
TRF00637,467.13
TRF00638,120.3
TRF00639,501.96
TRF00641,231.7
TRF00643,364.52
TRF00644,353.12
TRF00645,186.51
TRF00646,317.36
TRF00647,269.79
TRF00648,627.88
TRF00649,125.13
TRF00650,471.65
TRF00651,209.85
TRF00653,129.45
TRF00654,263.8
TRF00655,68.7
TRF00658,166.15
TRF00659,424.39
TRF00660,148.03
TRF00663,445.81
TRF00664,339.16
TRF00665,245.93
TRF00666,130.09
TRF00667,435.16
TRF00668,157.97
TRF00669,383.85
TRF00670,375.09
TRF00671,60.47
TRF00674,284.97
TRF00675,329.97
TRF00676,121.6
TRF00677,82.29
TRF00679,398.24
TRF00680,472.42
TRF00681,55.36
TRF00682,234.35
TRF00683,157.28
TRF00684,182.78
TRF00686,95.49
TRF00687,646.9
TRF00689,383.8
TRF00690,150.02
TRF00691,208.65
TRF00692,421.38
TRF00693,194.85
TRF00694,140.39
TRF00696,439.46
TRF00697,433.72
TRF00698,176.88
TRF00699,303.44
TRF00701,158.03
TRF00702,155.27
TRF00703,319.39
TRF00704,425.33
TRF00706,234.24
TRF00709,100.21
TRF00710,295.49
TRF00711,241.28
TRF00712,500.17
TRF00713,198.63
TRF00716,268.12
TRF00717,85.07
TRF00718,434.91
TRF00720,639.65
TRF00722,234.24
TRF00725,198.42
TRF00726,50.73
TRF00728,187.68
TRF00729,269.92
TRF00731,163.24
TRF00732,207.37
TRF00733,97.49
TRF00734,301.62
TRF00736,413.82
TRF00738,433.57
TRF00739,168.99
TRF00742,140.47
TRF00743,299.21
TRF00745,199.84
TRF00747,199.93
TRF00748,143.54
TRF00749,159.66
TRF00750,283.75
TRF00752,679.21
TRF00755,181.41
TRF00758,98.29
TRF00759,77.55
TRF00760,433.07
TRF00761,116.93
TRF00762,478.64
TRF00763,264.81
TRF00765,176.34
TRF00766,256.35
TRF00767,182.73
TRF00768,74.82
TRF00769,352.6
TRF00771,160.06
TRF00772,226.67
TRF00773,109.13
TRF00777,547.6
TRF00778,465.98
TRF00779,570.8
TRF00780,168.11
TRF00781,274.35
TRF00783,226.89
TRF00785,163.27
TRF00787,75.91
TRF00788,438.88
TRF00790,148.18
TRF00791,107.92
TRF00792,192.03
TRF00793,171.8
TRF00794,151.1
TRF00795,609.19
TRF00796,65.21
TRF00798,89.5
TRF00799,60.44
TRF00800,313.17
TRF00801,202.64
TRF00805,255.49
TRF00809,529.4
TRF00811,314.83
TRF00812,125.23
TRF00813,184.98
TRF00814,357.03
TRF00815,494.54
TRF00816,228.51
TRF00817,141.18
TRF00818,317.73
TRF00823,486.38
TRF00824,110.7
TRF00825,82.01
TRF00827,83.62
TRF00828,364.99
TRF00830,227.79
TRF00832,317.26
TRF00835,121.5
TRF00836,290.28
TRF00837,356.28
TRF00838,528.56
TRF00841,72.48
TRF00842,242.17
TRF00843,592.1
TRF00844,187.58
TRF00845,239.49
TRF00846,155.3
TRF00847,241.13
TRF00848,421.89
TRF00850,253.28
TRF00854,519.9
TRF00856,107.08
TRF00859,407.52
TRF00860,493.57
TRF00861,174.89
TRF00862,223.65
TRF00865,96.36
TRF00866,77.6
TRF00867,400.26
TRF00868,583.69
TRF00870,453.38
TRF00871,226.09
TRF00872,97.74
TRF00873,268.07
TRF00875,524.29
TRF00878,247.82
TRF00881,618.95
TRF00882,220.42
TRF00885,222.99
TRF00886,371.58
TRF00887,263.3
TRF00888,198.64
TRF00889,112.25
TRF00890,67.16
TRF00891,382.63
TRF00892,345.59
TRF00894,173.68
TRF00895,315.17
TRF00897,179.83
TRF00901,442.71
TRF00902,387.31
TRF00907,517.06
TRF00910,171.34
TRF00911,184.33
TRF00912,194.0
TRF00913,380.43
TRF00914,239.04
TRF00915,249.5
TRF00916,391.36
TRF00917,178.94
TRF00918,292.72
TRF00919,72.38
TRF00921,193.34
TRF00924,438.57
TRF00925,172.02
TRF00928,47.44
TRF00929,292.65
TRF00930,642.01
TRF00931,183.79
TRF00933,326.78
TRF00934,122.88
TRF00935,230.1
TRF00936,256.68
TRF00937,60.54
TRF00938,405.72
TRF00940,414.87
TRF00941,359.36
TRF00942,117.36
TRF00944,468.64
TRF00946,137.26
TRF00947,96.65
TRF00948,122.7
TRF00949,413.61
TRF00950,180.71
TRF00951,553.77
TRF00952,75.51
TRF00954,307.65
TRF00955,222.49
TRF00957,236.87
TRF00958,129.56
TRF00959,133.12
TRF00960,169.2
TRF00961,344.31
TRF00962,121.78
TRF00964,485.88
TRF00966,488.54
TRF00967,206.06
TRF00968,212.32
TRF00969,102.15
TRF00970,116.37
TRF00971,198.76
TRF00973,123.91
TRF00977,213.92
TRF00980,275.59
TRF00981,328.76
TRF00982,169.01
TRF00983,256.63
TRF00984,230.18
TRF00985,316.53
TRF00986,143.46
TRF00987,147.26
TRF00989,418.57
TRF00990,127.13
TRF00991,326.15
TRF00993,495.94
TRF00995,157.22
TRF00996,434.54
TRF00997,364.53
TRF00998,148.4
TRF00999,82.14
TRF01000,177.1
TRF01002,272.83
TRF01003,70.9
TRF01004,141.81
TRF01005,130.81
TRF01007,236.15
TRF01008,227.86
TRF01010,351.28
TRF01015,219.8
TRF01016,342.79
TRF01018,390.84
TRF01020,271.79
TRF01022,147.94
TRF01023,93.26
TRF01024,428.08
TRF01025,158.91
TRF01026,405.32
TRF01027,103.01
TRF01028,357.52
TRF01029,463.43
TRF01030,358.28
TRF01031,142.96
TRF01032,95.26
TRF01034,460.97
TRF01035,426.9
TRF01037,318.72
TRF01038,372.03
TRF01040,143.66
TRF01042,416.46
TRF01045,376.8
TRF01046,59.52
TRF01049,226.22
TRF01051,148.3
TRF01053,300.3
TRF01054,589.88
TRF01056,585.65
TRF01057,183.52
TRF01058,104.39
TRF01059,131.41
TRF01060,73.14
TRF01061,241.47
TRF01062,82.48
TRF01065,80.02
TRF01066,405.06
TRF01067,197.24
TRF01068,98.87
TRF01069,127.59
TRF01070,406.71
TRF01071,467.61
TRF01072,332.53
TRF01073,332.39
TRF01075,338.54
TRF01076,111.88
TRF01077,187.43
TRF01079,215.85
TRF01082,354.84
TRF01083,103.21
TRF01085,169.38
TRF01087,340.83
TRF01088,161.21
TRF01090,425.37
TRF01091,262.83
TRF01092,357.08
TRF01094,170.42
TRF01097,693.38
TRF01100,172.31
TRF01102,131.5
TRF01103,615.14
TRF01104,368.38
TRF01105,146.55
TRF01106,232.91
TRF01107,137.76
TRF01108,164.26
TRF01110,674.58
TRF01111,544.36
TRF01114,81.19
TRF01116,363.83
TRF01117,275.18
TRF01120,694.72
TRF01122,78.83
TRF01123,71.2
TRF01124,116.47
TRF01125,468.42
TRF01126,519.41
TRF01127,150.44
TRF01129,152.34
TRF01131,517.35
TRF01133,478.45
TRF01134,326.71
TRF01135,314.18
TRF01136,152.24
TRF01139,109.45
TRF01141,116.74
TRF01142,605.49
TRF01144,200.74
TRF01145,250.12
TRF01147,396.57
TRF01148,42.84
TRF01149,459.51
TRF01150,288.19
TRF01151,480.08
TRF01152,664.36
TRF01153,313.69
TRF01154,221.71
TRF01155,439.92
TRF01156,415.02
TRF01157,275.36
TRF01159,190.06
TRF01162,535.55
TRF01164,205.22
TRF01166,90.89
TRF01169,127.14
TRF01170,258.15
TRF01171,514.22
TRF01176,328.56
TRF01177,277.58
TRF01179,417.8
TRF01180,51.4
TRF01182,94.98
TRF01184,190.84
TRF01186,155.97
TRF01187,213.67
TRF01188,127.81
TRF01189,317.37
TRF01190,437.5
TRF01192,389.17
TRF01194,606.12
TRF01195,346.16
TRF01196,228.73
TRF01197,169.51
TRF01198,260.08
TRF01200,86.44
TRF01204,340.3
