po_id,warehouse_id,supplier_id,product_category,order_date,promised_delivery_date,amendment_date,ordered_quantity,unit_price_usd,order_value_usd,incoterms,priority,po_status,quantity_uom
PO-00056,AMER,SUP038,Electronics,2024-03-17,2024-03-27,2024-03-17,630.0,85.26,53713.8,CIF,Standard,Closed,EA
PO-00057,AMER,SUP017,Raw Materials,2024-03-10,2024-03-28,2024-03-10,771.0,147.6,113799.6,EXW,Standard,Closed,EA
PO-00058,AMER,SUP022,Assemblies,2024-01-04,2024-01-27,2024-01-04,544.0,64.15,34897.6,FOB,Urgent,Closed,EA
PO-00059,AMER,SUP029,Packaging,2024-01-15,2024-02-04,2024-01-15,192.0,144.42,27728.64,FOB,Standard,Closed,EA
PO-00060,AMER,SUP015,Assemblies,2024-03-30,2024-04-24,2024-03-30,251.0,73.12,18353.12,DDP,Urgent,Closed,EA
PO-00061,AMER,SUP006,Electronics,2024-02-07,2024-02-23,2024-02-07,755.0,111.01,83812.55,DDP,Standard,Closed,EA
PO-00062,AMER,SUP042,Electronics,2024-03-11,2024-04-05,2024-03-11,873.0,120.72,105388.56,FOB,Standard,Closed,EA
PO-00063,AMER,SUP013,Chemicals,2024-02-11,2024-02-16,2024-02-11,0.981,59690.0,58555.89,DDP,Urgent,Closed,MT
PO-00064,AMER,SUP021,MRO,2024-02-27,2024-03-10,2024-02-27,628.0,89.24,56042.72,EXW,Standard,Closed,EA
PO-00065,AMER,SUP005,MRO,2024-02-15,2024-03-01,2024-02-15,237.0,59.69,14146.53,CIF,Standard,Closed,EA
PO-00066,AMER,SUP003,Chemicals,2024-01-29,2024-02-18,2024-01-29,0.372,143460.0,53367.12,CIF,Standard,Closed,MT
PO-00067,AMER,SUP021,Assemblies,2024-02-23,2024-03-19,2024-02-23,314.0,34.3,10770.2,FOB,Standard,Closed,EA
PO-00068,AMER,SUP008,Raw Materials,2024-02-11,2024-02-21,2024-02-11,92.0,74.82,6883.44,DAP,Standard,Closed,EA
PO-00069,AMER,SUP015,Packaging,2024-03-21,2024-03-28,2024-03-21,290.0,47.74,13844.6,DDP,Urgent,Closed,EA
PO-00070,AMER,SUP037,Electronics,2024-01-10,2024-02-06,2024-01-10,984.0,143.18,140889.12,FOB,Standard,Closed,EA
PO-00071,AMER,SUP026,Chemicals,2024-01-21,2024-02-07,2024-01-21,0.142,127640.0,18124.88,DDP,Standard,Closed,MT
PO-00072,AMER,SUP028,MRO,2024-01-08,2024-01-18,2024-01-08,202.0,128.53,25963.06,EXW,Urgent,Closed,EA
PO-00073,AMER,SUP051,Raw Materials,2024-03-18,2024-03-31,2024-03-18,435.0,115.2,50112.0,DDP,Standard,Closed,EA
PO-00074,AMER,SUP014,MRO,2024-02-07,2024-02-14,2024-02-07,902.0,19.56,17643.12,CIF,Urgent,Closed,EA
PO-00075,AMER,SUP004,Assemblies,2024-02-29,2024-03-14,2024-02-29,477.0,40.56,19347.12,DDP,Urgent,Closed,EA
PO-00076,AMER,SUP033,Packaging,2024-03-08,2024-03-20,2024-03-08,554.0,41.02,22725.08,CIF,Standard,Closed,EA
PO-00077,AMER,SUP001,Packaging,2024-01-07,2024-02-01,2024-01-07,789.0,80.06,63167.34,EXW,Standard,Closed,EA
PO-00078,AMER,SUP022,Packaging,2024-03-16,2024-03-30,2024-03-16,175.0,23.22,4063.5,DAP,Standard,Open,EA
PO-00079,AMER,SUP023,Raw Materials,2024-01-14,2024-01-22,2024-01-14,577.0,35.12,20264.24,CIF,Standard,Closed,EA
PO-00080,AMER,SUP001,Raw Materials,2024-01-15,2024-02-10,2024-01-15,355.0,93.18,33078.9,EXW,Standard,Closed,EA
PO-00081,AMER,SUP051,Chemicals,2024-03-01,2024-03-10,2024-03-01,0.99,123650.0,122413.5,DDP,Standard,Closed,MT
PO-00082,AMER,SUP041,Assemblies,2024-03-16,2024-04-11,2024-03-16,374.0,12.27,4588.98,CIF,Urgent,Closed,EA
PO-00083,AMER,SUP039,Packaging,2024-01-05,2024-01-27,2024-01-05,804.0,35.73,28726.92,DAP,Standard,Closed,EA
PO-00084,AMER,SUP034,Assemblies,2024-03-09,2024-03-14,2024-03-09,994.0,45.73,45455.62,FOB,Standard,Closed,EA
PO-00085,AMER,SUP048,Raw Materials,2024-02-09,2024-02-17,2024-02-09,651.0,61.97,40342.47,DAP,Standard,Closed,EA
PO-00086,AMER,SUP019,Raw Materials,2024-03-06,2024-03-21,2024-03-06,677.0,91.96,62256.92,EXW,Critical,Closed,EA
PO-00087,AMER,SUP006,Electronics,2024-02-20,2024-02-29,2024-02-20,694.0,127.67,88602.98,FOB,Standard,Closed,EA
PO-00088,AMER,SUP017,Chemicals,2024-03-08,2024-03-30,2024-03-08,0.993,82060.0,81485.58,DDP,Standard,Closed,MT
PO-00089,AMER,SUP045,Assemblies,2024-03-06,2024-03-19,2024-03-06,752.0,63.46,47721.92,EXW,Urgent,Closed,EA
PO-00090,AMER,SUP020,MRO,2024-03-06,2024-03-31,2024-03-06,448.0,98.83,44275.84,CIF,Standard,Closed,EA
PO-00091,AMER,SUP050,Raw Materials,2024-01-24,2024-01-31,2024-01-24,137.0,101.79,13945.23,DDP,Standard,Closed,EA
PO-00092,AMER,SUP049,Assemblies,2024-03-21,2024-04-02,2024-03-21,238.0,117.83,28043.54,DAP,Standard,Closed,EA
PO-00093,AMER,SUP053,Packaging,2024-01-16,2024-01-23,2024-01-16,311.0,25.1,7806.1,CIF,Standard,Closed,EA
PO-00094,AMER,SUP058,Chemicals,2024-03-08,2024-03-17,2024-03-08,0.565,106700.0,60285.5,DAP,Standard,Closed,MT
PO-00095,AMER,SUP004,Electronics,2024-01-29,2024-02-17,2024-01-29,354.0,146.54,51875.16,CIF,Standard,Closed,EA
PO-00096,AMER,SUP043,MRO,2024-02-19,2024-03-04,2024-02-19,882.0,93.48,82449.36,EXW,Critical,Closed,EA
PO-00097,AMER,SUP052,MRO,2024-01-30,2024-02-11,2024-01-30,567.0,76.02,43103.34,DDP,Standard,Closed,EA
PO-00098,AMER,SUP058,Assemblies,2024-02-06,2024-03-02,2024-02-06,928.0,127.28,118115.84,DAP,Urgent,Closed,EA
PO-00099,AMER,SUP007,Chemicals,2024-01-22,2024-02-13,2024-01-22,0.507,71190.0,36093.33,CIF,Standard,Closed,MT
PO-00100,AMER,SUP028,Packaging,2024-01-28,2024-02-07,2024-01-28,607.0,64.45,39121.15,CIF,Urgent,Closed,EA
PO-00101,AMER,SUP022,MRO,2024-02-21,2024-02-29,2024-02-21,57.0,53.74,3063.18,DDP,Urgent,Closed,EA
PO-00102,AMER,SUP037,MRO,2024-03-04,2024-03-26,2024-03-04,160.0,61.56,9849.6,DAP,Standard,Closed,EA
PO-00103,AMER,SUP025,Packaging,2024-01-03,2024-01-17,2024-01-03,639.0,140.27,89632.53,DAP,Standard,Closed,EA
PO-00104,AMER,SUP015,Packaging,2024-02-23,2024-03-17,2024-02-23,307.0,133.3,40923.1,DDP,Standard,Closed,EA
PO-00105,AMER,SUP010,Packaging,2024-02-22,2024-03-02,2024-02-22,452.0,85.07,38451.64,EXW,Standard,Closed,EA
PO-00106,AMER,SUP002,Raw Materials,2024-01-01,2024-01-28,2024-01-01,1000.0,79.89,79890.0,FOB,Urgent,Open,EA
PO-00107,AMER,SUP018,Packaging,2024-01-30,2024-02-11,2024-01-30,488.0,66.59,32495.92,FOB,Standard,Closed,EA
PO-00108,AMER,SUP041,Assemblies,2024-01-30,2024-02-22,2024-01-30,841.0,124.08,104351.28,EXW,Standard,Closed,EA
PO-00109,AMER,SUP011,Packaging,2024-03-06,2024-03-29,2024-03-06,517.0,134.49,69531.33,FOB,Urgent,Closed,EA
PO-00110,AMER,SUP019,Electronics,2024-01-30,2024-02-07,2024-01-30,557.0,14.79,8238.03,FOB,Standard,Closed,EA
PO-00111,AMER,SUP006,Chemicals,2024-03-18,2024-04-09,2024-03-18,0.083,99580.0,8265.14,DAP,Standard,Closed,MT
PO-00112,AMER,SUP017,MRO,2024-01-06,2024-01-30,2024-01-06,832.0,83.15,69180.8,DAP,Standard,Closed,EA
PO-00113,AMER,SUP036,Packaging,2024-02-19,2024-03-11,2024-02-19,294.0,114.09,33542.46,EXW,Urgent,Closed,EA
PO-00114,AMER,SUP025,Electronics,2024-01-29,2024-02-11,2024-01-29,258.0,35.22,9086.76,DDP,Standard,Closed,EA
PO-00115,AMER,SUP010,Raw Materials,2024-01-31,2024-02-09,2024-01-31,216.0,124.35,26859.6,CIF,Critical,Closed,EA
PO-00116,AMER,SUP011,Packaging,2024-03-30,2024-04-19,2024-03-30,476.0,61.97,29497.72,DAP,Critical,Closed,EA
PO-00117,AMER,SUP038,Assemblies,2024-02-11,2024-02-20,2024-02-11,259.0,100.13,25933.67,CIF,Urgent,Closed,EA
PO-00118,AMER,SUP024,MRO,2024-03-08,2024-03-25,2024-03-08,837.0,108.03,90421.11,FOB,Standard,Closed,EA
PO-00119,AMER,SUP038,Packaging,2024-02-03,2024-02-19,2024-02-03,297.0,65.71,19515.87,DDP,Urgent,Closed,EA
PO-00120,AMER,SUP046,Raw Materials,2024-01-15,2024-01-28,2024-01-15,307.0,80.68,24768.76,CIF,Standard,Closed,EA
PO-00121,AMER,SUP022,Electronics,2024-03-17,2024-03-23,2024-03-17,51.0,35.78,1824.78,DAP,Standard,Closed,EA
PO-00122,AMER,SUP006,Assemblies,2024-03-17,2024-04-11,2024-03-17,496.0,74.03,36718.88,DAP,Standard,Closed,EA
PO-00123,AMER,SUP028,Raw Materials,2024-02-13,2024-03-02,2024-02-13,235.0,103.53,24329.55,CIF,Standard,Closed,EA
PO-00124,AMER,SUP032,Electronics,2024-01-10,2024-01-24,2024-01-10,217.0,24.53,5323.01,DAP,Standard,Closed,EA
PO-00125,AMER,SUP032,Assemblies,2024-01-23,2024-01-29,2024-01-23,389.0,43.4,16882.6,DDP,Standard,Closed,EA
PO-00126,AMER,SUP042,Raw Materials,2024-01-03,2024-01-29,2024-01-03,144.0,20.57,2962.08,FOB,Standard,Closed,EA
PO-00127,AMER,SUP058,Chemicals,2024-01-19,2024-02-12,2024-01-19,0.767,123870.0,95008.29,EXW,Critical,Closed,MT
PO-00128,AMER,SUP004,Raw Materials,2024-01-20,2024-02-03,2024-01-20,358.0,142.55,51032.9,EXW,Urgent,Closed,EA
PO-00129,AMER,SUP020,Packaging,2024-03-13,2024-04-09,2024-03-13,524.0,76.58,40127.92,DAP,Standard,Closed,EA
PO-00130,AMER,SUP029,Packaging,2024-03-13,2024-03-31,2024-03-13,171.0,51.56,8816.76,FOB,Standard,Closed,EA
PO-00131,AMER,SUP035,MRO,2024-01-03,2024-01-21,2024-01-03,391.0,64.26,25125.66,EXW,Standard,Closed,EA
PO-00132,AMER,SUP044,Packaging,2024-03-13,2024-04-08,2024-03-13,422.0,52.74,22256.28,EXW,Standard,Closed,EA
PO-00133,AMER,SUP022,Assemblies,2024-01-27,2024-02-16,2024-01-27,577.0,51.5,29715.5,CIF,Standard,Closed,EA
PO-00134,AMER,SUP031,Assemblies,2024-01-28,2024-02-05,2024-01-28,737.0,61.42,45266.54,CIF,Standard,Closed,EA
PO-00135,AMER,SUP032,Packaging,2024-02-18,2024-02-28,2024-02-18,836.0,139.49,116613.64,EXW,Standard,Closed,EA
PO-00136,AMER,SUP051,Assemblies,2024-02-29,2024-03-26,2024-02-29,423.0,138.97,58784.31,EXW,Standard,Closed,EA
PO-00137,AMER,SUP055,MRO,2024-03-26,2024-04-15,2024-03-26,585.0,8.85,5177.25,DDP,Urgent,Closed,EA
PO-00138,AMER,SUP028,Assemblies,2024-01-19,2024-02-03,2024-01-19,55.0,119.06,6548.3,CIF,Urgent,Closed,EA
PO-00139,AMER,SUP004,MRO,2024-03-18,2024-04-04,2024-03-18,307.0,28.29,8685.03,DDP,Standard,Closed,EA
PO-00140,AMER,SUP005,Assemblies,2024-01-22,2024-02-18,2024-01-22,966.0,129.07,124681.62,FOB,Standard,Closed,EA
PO-00141,AMER,SUP008,Electronics,2024-02-22,2024-03-06,2024-02-22,146.0,122.59,17898.14,EXW,Standard,Open,EA
PO-00142,AMER,SUP055,Raw Materials,2024-03-07,2024-03-25,2024-03-07,454.0,58.65,26627.1,EXW,Standard,Closed,EA
PO-00143,AMER,SUP005,Chemicals,2024-01-21,2024-02-14,2024-01-21,0.32,49050.0,15696.0,DAP,Standard,Closed,MT
PO-00144,AMER,SUP027,Electronics,2024-02-16,2024-03-02,2024-02-16,706.0,28.69,20255.14,DDP,Standard,Closed,EA
PO-00145,AMER,SUP035,Assemblies,2024-01-13,2024-01-18,2024-01-13,489.0,80.73,39476.97,CIF,Standard,Closed,EA
PO-00146,AMER,SUP012,Packaging,2024-02-14,2024-02-26,2024-02-14,142.0,142.36,20215.12,EXW,Urgent,Open,EA
PO-00147,AMER,SUP035,Assemblies,2024-01-23,2024-01-29,2024-01-23,669.0,131.35,87873.15,DDP,Standard,Closed,EA
PO-00148,AMER,SUP013,MRO,2024-02-03,2024-02-08,2024-02-03,558.0,149.06,83175.48,DAP,Standard,Closed,EA
PO-00149,AMER,SUP032,Packaging,2024-02-19,2024-03-01,2024-02-19,908.0,11.54,10478.32,DAP,Urgent,Closed,EA
PO-00150,AMER,SUP001,Chemicals,2024-01-26,2024-02-01,2024-01-26,0.843,27580.0,23249.94,EXW,Critical,Closed,MT
PO-00151,AMER,SUP048,Packaging,2024-03-05,2024-03-19,2024-03-05,473.0,14.15,6692.95,DAP,Standard,Closed,EA
PO-00152,AMER,SUP012,Chemicals,2024-02-16,2024-02-27,2024-02-16,0.967,18670.0,18053.89,DAP,Urgent,Closed,MT
PO-00153,AMER,SUP038,Electronics,2024-01-12,2024-02-08,2024-01-12,850.0,141.79,120521.5,FOB,Urgent,Closed,EA
PO-00154,AMER,SUP058,MRO,2024-02-05,2024-02-22,2024-02-05,904.0,145.91,131902.64,DDP,Standard,Closed,EA
PO-00155,AMER,SUP017,Raw Materials,2024-03-19,2024-04-01,2024-03-19,393.0,61.77,24275.61,FOB,Standard,Closed,EA
PO-00156,AMER,SUP012,Raw Materials,2024-03-06,2024-03-21,2024-03-06,935.0,93.77,87674.95,FOB,Standard,Closed,EA
PO-00157,AMER,SUP050,Electronics,2024-01-26,2024-02-22,2024-01-26,257.0,79.78,20503.46,DAP,Critical,Closed,EA
PO-00158,AMER,SUP022,Raw Materials,2024-02-21,2024-02-27,2024-02-21,196.0,14.18,2779.28,FOB,Standard,Closed,EA
PO-00159,AMER,SUP040,Electronics,2024-01-24,2024-02-10,2024-01-24,645.0,34.27,22104.15,DAP,Standard,Closed,EA
PO-00160,AMER,SUP008,MRO,2024-02-26,2024-03-23,2024-02-26,380.0,18.13,6889.4,CIF,Standard,Closed,EA
PO-00161,AMER,SUP020,MRO,2024-03-18,2024-03-31,2024-03-18,783.0,83.37,65278.71,FOB,Standard,Closed,EA
PO-00162,AMER,SUP010,Chemicals,2024-01-16,2024-02-05,2024-01-16,0.463,38150.0,17663.45,DDP,Standard,Closed,MT
PO-00163,AMER,SUP050,Electronics,2024-03-10,2024-03-19,2024-03-10,152.0,77.16,11728.32,EXW,Standard,Closed,EA
PO-00164,AMER,SUP006,Assemblies,2024-01-26,2024-02-22,2024-01-26,512.0,74.3,38041.6,EXW,Standard,Closed,EA
PO-00165,AMER,SUP044,Electronics,2024-01-22,2024-02-01,2024-01-22,656.0,12.37,8114.72,DAP,Standard,Closed,EA
PO-00166,AMER,SUP044,Chemicals,2024-01-26,2024-02-10,2024-01-26,0.107,124220.0,13291.54,DDP,Urgent,Closed,MT
PO-00167,AMER,SUP012,Packaging,2024-02-11,2024-03-01,2024-02-11,864.0,96.5,83376.0,CIF,Standard,Closed,EA
PO-00168,AMER,SUP043,Electronics,2024-03-25,2024-04-21,2024-03-25,402.0,66.64,26789.28,DAP,Standard,Closed,EA
PO-00169,AMER,SUP032,MRO,2024-02-14,2024-02-29,2024-02-14,254.0,113.05,28714.7,FOB,Standard,Closed,EA
PO-00170,AMER,SUP014,Electronics,2024-01-11,2024-02-02,2024-01-11,900.0,44.53,40077.0,FOB,Critical,Closed,EA
PO-00171,AMER,SUP024,Packaging,2024-01-26,2024-02-04,2024-01-26,327.0,81.76,26735.52,DAP,Urgent,Closed,EA
PO-00172,AMER,SUP046,Chemicals,2024-03-17,2024-03-26,2024-03-17,0.39,74370.0,29004.3,FOB,Standard,Closed,MT
PO-00173,AMER,SUP043,Raw Materials,2024-02-04,2024-02-11,2024-02-04,573.0,107.23,61442.79,FOB,Standard,Closed,EA
PO-00174,AMER,SUP007,MRO,2024-02-22,2024-03-15,2024-02-22,825.0,69.99,57741.75,DAP,Standard,Closed,EA
PO-00175,AMER,SUP014,Chemicals,2024-01-17,2024-01-26,2024-01-17,0.494,61850.0,30553.9,CIF,Urgent,Closed,MT
PO-00176,AMER,SUP022,Chemicals,2024-01-17,2024-01-28,2024-01-17,0.174,68630.0,11941.62,CIF,Standard,Closed,MT
PO-00177,AMER,SUP004,Electronics,2024-02-19,2024-03-12,2024-02-19,934.0,77.2,72104.8,DDP,Urgent,Open,EA
PO-00178,AMER,SUP027,Electronics,2024-02-12,2024-03-02,2024-02-12,896.0,136.75,122528.0,DDP,Standard,Closed,EA
PO-00179,AMER,SUP035,MRO,2024-03-05,2024-03-10,2024-03-05,503.0,76.68,38570.04,EXW,Standard,Closed,EA
PO-00180,AMER,SUP060,Packaging,2024-02-28,2024-03-23,2024-02-28,153.0,37.65,5760.45,DDP,Urgent,Open,EA
PO-00181,AMER,SUP008,Raw Materials,2024-03-01,2024-03-26,2024-03-01,896.0,50.58,45319.68,EXW,Standard,Closed,EA
PO-00182,AMER,SUP026,Electronics,2024-02-27,2024-03-24,2024-02-27,377.0,85.77,32335.29,CIF,Standard,Closed,EA
PO-00183,AMER,SUP038,Raw Materials,2024-03-08,2024-03-14,2024-03-08,952.0,63.42,60375.84,DAP,Standard,Closed,EA
PO-00184,AMER,SUP014,Assemblies,2024-03-08,2024-03-17,2024-03-08,822.0,43.38,35658.36,DAP,Standard,Closed,EA
PO-00185,AMER,SUP026,MRO,2024-03-31,2024-04-23,2024-03-31,273.0,45.05,12298.65,DAP,Standard,Closed,EA
PO-00186,AMER,SUP042,Electronics,2024-03-30,2024-04-13,2024-03-30,290.0,117.49,34072.1,DDP,Standard,Closed,EA
PO-00187,AMER,SUP041,MRO,2024-03-17,2024-03-26,2024-03-17,54.0,87.82,4742.28,DAP,Standard,Closed,EA
PO-00188,AMER,SUP044,Raw Materials,2024-03-22,2024-04-07,2024-03-22,820.0,17.91,14686.2,CIF,Urgent,Closed,EA
PO-00189,AMER,SUP011,MRO,2024-01-22,2024-01-31,2024-01-22,235.0,64.46,15148.1,EXW,Urgent,Closed,EA
PO-00190,AMER,SUP009,Electronics,2024-03-08,2024-03-28,2024-03-08,984.0,64.72,63684.48,EXW,Critical,Closed,EA
PO-00191,AMER,SUP006,MRO,2024-03-31,2024-04-21,2024-03-31,767.0,19.18,14711.06,EXW,Standard,Closed,EA
PO-00192,AMER,SUP015,Packaging,2024-02-06,2024-02-21,2024-02-06,325.0,120.43,39139.75,DAP,Urgent,Closed,EA
PO-00193,AMER,SUP008,Raw Materials,2024-02-24,2024-03-06,2024-02-24,292.0,24.58,7177.36,DAP,Standard,Closed,EA
PO-00194,AMER,SUP038,Raw Materials,2024-02-06,2024-03-01,2024-02-06,429.0,10.09,4328.61,FOB,Standard,Closed,EA
PO-00195,AMER,SUP024,Packaging,2024-01-15,2024-01-24,2024-01-15,922.0,128.39,118375.58,DAP,Standard,Closed,EA
PO-00196,AMER,SUP033,Electronics,2024-03-19,2024-04-12,2024-03-19,340.0,94.74,32211.6,DDP,Standard,Closed,EA
PO-00197,AMER,SUP007,Raw Materials,2024-01-15,2024-02-10,2024-01-15,742.0,68.98,51183.16,DAP,Standard,Closed,EA
PO-00198,AMER,SUP010,MRO,2024-01-05,2024-01-28,2024-01-05,762.0,46.74,35615.88,FOB,Standard,Closed,EA
