inspection_id,delivery_id,po_id,warehouse_id,inspector_id,inspection_date,defect_count,sample_size,inspection_result,defect_category,corrective_action_required
QI000072,DLV000108,PO-00108,AMER,INS002,2024-02-29,0,44,Pass,None,False
QI000073,DLV000109,PO-00109,AMER,INS011,2024-03-18,7,43,Fail,None,True
QI000074,DLV000110,PO-00110,AMER,INS004,2024-03-16,4,28,Fail,Cosmetic,False
QI000075,DLV000111,PO-00111,AMER,INS018,2024-04-07,1,32,Pass,Cosmetic,False
QI000076,DLV000112,PO-00112,AMER,INS007,2024-04-07,2,31,Pass,Cosmetic,False
QI000077,DLV000114,PO-00114,AMER,INS010,2024-01-19,6,35,Fail,None,True
QI000078,DLV000116,PO-00116,AMER,INS020,2024-03-23,6,21,Fail,None,True
QI000079,DLV000117,PO-00117,AMER,INS007,2024-03-17,3,38,Fail,None,False
QI000080,DLV000118,PO-00118,AMER,INS004,2024-03-26,7,48,Fail,None,True
QI000081,DLV000120,PO-00120,AMER,INS013,2024-04-02,4,22,Fail,None,False
QI000082,DLV000122,PO-00122,AMER,INS001,2024-01-28,5,35,Fail,Cosmetic,True
QI000083,DLV000124,PO-00124,AMER,INS017,2024-03-27,6,43,Fail,None,True
QI000084,DLV000128,PO-00128,AMER,INS008,2024-03-20,6,32,Fail,None,True
QI000085,DLV000129,PO-00129,AMER,INS008,2024-01-23,5,11,Fail,Cosmetic,True
QI000086,DLV000130,PO-00130,AMER,INS012,2024-04-05,0,20,Pass,None,False
QI000087,DLV000132,PO-00132,AMER,INS002,2024-03-16,6,39,Fail,None,True
QI000088,DLV000133,PO-00133,AMER,INS003,2024-01-22,5,50,Fail,None,True
QI000089,DLV000134,PO-00134,AMER,INS003,2024-01-26,4,42,Fail,Cosmetic,False
QI000090,DLV000135,PO-00135,AMER,INS007,2024-02-16,6,11,Fail,None,True
QI000091,DLV000138,PO-00138,AMER,INS009,2024-04-10,1,18,Pass,None,False
QI000092,DLV000142,PO-00142,AMER,INS012,2024-03-30,5,32,Fail,None,True
QI000093,DLV000147,PO-00147,AMER,INS014,2024-02-06,3,13,Fail,None,False
QI000094,DLV000148,PO-00148,AMER,INS017,2024-04-03,1,21,Pass,None,False
QI000095,DLV000149,PO-00149,AMER,INS003,2024-03-29,2,50,Pass,Critical,False
QI000096,DLV000150,PO-00150,AMER,INS001,2024-02-26,5,41,Fail,None,True
QI000097,DLV000153,PO-00153,AMER,INS009,2024-01-19,1,28,Pass,None,False
QI000098,DLV000154,PO-00154,AMER,INS019,2024-01-20,3,24,Fail,None,False
QI000099,DLV000156,PO-00156,AMER,INS018,2024-01-28,7,19,Fail,None,True
QI000100,DLV000157,PO-00157,AMER,INS001,2024-04-06,3,44,Fail,Cosmetic,False
QI000101,DLV000159,PO-00159,AMER,INS014,2024-01-25,4,47,Fail,Functional,False
QI000102,DLV000163,PO-00163,AMER,INS012,2024-03-26,3,28,Fail,None,False
QI000103,DLV000164,PO-00164,AMER,INS003,2024-04-12,6,48,Fail,Critical,True
QI000104,DLV000165,PO-00165,AMER,INS002,2024-02-25,5,29,Fail,None,True
QI000105,DLV000166,PO-00166,AMER,INS017,2024-01-18,1,15,Pass,None,False
QI000106,DLV000167,PO-00167,AMER,INS012,2024-02-10,3,20,Fail,None,False
QI000107,DLV000169,PO-00169,AMER,INS008,2024-03-10,3,42,Fail,None,False
QI000108,DLV000172,PO-00172,AMER,INS011,2024-02-09,3,34,Fail,None,False
QI000109,DLV000173,PO-00173,AMER,INS017,2024-02-09,6,36,Fail,None,True
QI000110,DLV000174,PO-00174,AMER,INS015,2024-03-08,0,25,Pass,None,False
QI000111,DLV000176,PO-00176,AMER,INS016,2024-03-04,4,32,Fail,Cosmetic,False
QI000112,DLV000177,PO-00177,AMER,INS019,2024-03-26,7,25,Fail,None,True
QI000113,DLV000179,PO-00179,AMER,INS001,2024-03-05,7,41,Fail,None,True
QI000114,DLV000180,PO-00180,AMER,INS004,2024-01-31,1,48,Pass,None,False
QI000115,DLV000181,PO-00181,AMER,INS004,2024-04-14,2,13,Pass,Cosmetic,False
QI000116,DLV000182,PO-00182,AMER,INS004,2024-04-02,0,19,Pass,None,False
QI000117,DLV000185,PO-00185,AMER,INS014,2024-02-09,5,49,Fail,None,True
QI000118,DLV000187,PO-00187,AMER,INS017,2024-02-19,7,49,Fail,None,True
QI000119,DLV000188,PO-00188,AMER,INS017,2024-04-04,6,13,Fail,None,True
QI000120,DLV000190,PO-00190,AMER,INS010,2024-03-30,1,18,Pass,None,False
QI000121,DLV000192,PO-00192,AMER,INS004,2024-02-14,6,50,Fail,None,True
QI000122,DLV000193,PO-00193,AMER,INS019,2024-02-06,2,19,Pass,None,False
QI000123,DLV000194,PO-00194,AMER,INS001,2024-03-17,0,21,Pass,Functional,False
QI000124,DLV000196,PO-00196,AMER,INS018,2024-02-21,7,29,Fail,None,True
QI000125,DLV000198,PO-00198,AMER,INS007,2024-02-04,7,48,Fail,None,True
QI000126,DLV000199,PO-00199,AMER,INS009,2024-03-18,7,27,Fail,None,True
QI000127,DLV000201,PO-00201,AMER,INS005,2024-04-04,0,32,Pass,None,False
QI000128,DLV000202,PO-00202,AMER,INS007,2024-01-27,5,38,Fail,None,True
QI000129,DLV000203,PO-00203,AMER,INS011,2024-03-28,2,29,Pass,Critical,False
QI000130,DLV000204,PO-00204,AMER,INS012,2024-03-09,2,18,Pass,None,False
QI000131,DLV000207,PO-00207,AMER,INS019,2024-01-23,2,40,Pass,Cosmetic,False
QI000132,DLV000209,PO-00209,AMER,INS020,2024-02-12,5,24,Fail,None,True
QI000133,DLV000218,PO-00218,AMER,INS016,2024-03-27,1,41,Pass,Functional,False
QI000134,DLV000223,PO-00223,AMER,INS019,2024-03-20,4,16,Fail,Cosmetic,False
QI000135,DLV000224,PO-00224,AMER,INS017,2024-03-13,6,29,Fail,None,True
QI000136,DLV000225,PO-00225,AMER,INS013,2024-04-07,5,19,Fail,None,True
QI000137,DLV000226,PO-00226,AMER,INS015,2024-03-28,6,49,Fail,None,True
QI000138,DLV000228,PO-00228,AMER,INS006,2024-03-24,4,16,Fail,None,False
QI000139,DLV000229,PO-00229,AMER,INS004,2024-03-10,0,45,Pass,None,False
QI000140,DLV000230,PO-00230,AMER,INS014,2024-03-11,6,46,Fail,None,True
QI000141,DLV000232,PO-00232,AMER,INS013,2024-03-08,5,38,Fail,Cosmetic,True
QI000142,DLV000233,PO-00233,AMER,INS007,2024-03-03,3,12,Fail,Cosmetic,False
QI000143,DLV000234,PO-00234,AMER,INS006,2024-01-24,0,36,Pass,None,False
QI000144,DLV000235,PO-00235,AMER,INS013,2024-03-21,2,21,Pass,Cosmetic,False
QI000145,DLV000238,PO-00238,AMER,INS007,2024-01-28,6,21,Fail,Critical,True
QI000146,DLV000241,PO-00241,AMER,INS017,2024-02-22,1,48,Pass,None,False
QI000147,DLV000242,PO-00242,AMER,INS006,2024-03-30,6,24,Fail,None,True
QI000148,DLV000243,PO-00243,AMER,INS008,2024-03-08,5,14,Fail,None,True
QI000149,DLV000244,PO-00244,AMER,INS020,2024-02-06,0,31,Pass,None,False
QI000150,DLV000245,PO-00245,AMER,INS010,2024-01-30,6,47,Fail,None,True
QI000151,DLV000247,PO-00247,AMER,INS006,2024-03-17,7,27,Fail,Cosmetic,True
QI000152,DLV000249,PO-00249,AMER,INS015,2024-01-31,0,46,Pass,None,False
QI000153,DLV000250,PO-00250,AMER,INS004,2024-03-07,1,46,Pass,None,False
QI000154,DLV000254,PO-00254,AMER,INS005,2024-04-08,3,28,Fail,None,False
QI000155,DLV000255,PO-00255,AMER,INS010,2024-03-11,3,46,Fail,Cosmetic,False
QI000156,DLV000256,PO-00256,AMER,INS001,2024-04-08,2,35,Pass,None,False
QI000157,DLV000257,PO-00257,AMER,INS010,2024-02-27,1,23,Pass,Functional,False
QI000158,DLV000258,PO-00258,AMER,INS020,2024-01-30,6,45,Fail,None,True
QI000159,DLV000260,PO-00260,AMER,INS008,2024-03-17,7,14,Fail,None,True
QI000160,DLV000263,PO-00263,AMER,INS008,2024-03-21,5,23,Fail,Functional,True
QI000161,DLV000264,PO-00264,AMER,INS010,2024-03-06,3,32,Fail,None,False
QI000162,DLV000266,PO-00266,AMER,INS013,2024-02-13,0,30,Pass,None,False
QI000163,DLV000267,PO-00267,AMER,INS011,2024-03-05,1,15,Pass,None,False
QI000164,DLV000268,PO-00268,AMER,INS011,2024-03-25,5,21,Fail,None,True
QI000165,DLV000269,PO-00269,AMER,INS001,2024-01-24,0,33,Pass,None,False
QI000166,DLV000270,PO-00270,AMER,INS019,2024-01-20,1,11,Pass,Functional,False
QI000167,DLV000271,PO-00271,AMER,INS013,2024-03-08,2,39,Pass,None,False
QI000168,DLV000272,PO-00272,AMER,INS008,2024-01-31,7,16,Fail,Functional,True
QI000169,DLV000275,PO-00275,AMER,INS010,2024-02-12,5,45,Fail,None,True
QI000170,DLV000276,PO-00276,AMER,INS020,2024-02-20,4,27,Fail,None,False
QI000171,DLV000277,PO-00277,AMER,INS014,2024-02-11,1,35,Pass,None,False
QI000172,DLV000278,PO-00278,AMER,INS009,2024-02-12,0,17,Pass,Cosmetic,False
QI000173,DLV000279,PO-00279,AMER,INS014,2024-03-30,5,24,Fail,None,True
QI000174,DLV000281,PO-00281,AMER,INS019,2024-01-18,1,19,Pass,None,False
QI000175,DLV000283,PO-00283,AMER,INS019,2024-01-24,2,25,Pass,None,False
QI000176,DLV000284,PO-00284,AMER,INS009,2024-02-23,6,20,Fail,Functional,True
QI000177,DLV000287,PO-00287,AMER,INS012,2024-03-26,5,32,Fail,None,True
QI000178,DLV000288,PO-00288,AMER,INS003,2024-02-02,1,13,Pass,Cosmetic,False
QI000179,DLV000289,PO-00289,AMER,INS009,2024-02-17,3,46,Fail,None,False
QI000180,DLV000291,PO-00291,AMER,INS019,2024-03-20,3,20,Fail,Cosmetic,False
QI000181,DLV000292,PO-00292,AMER,INS018,2024-01-24,2,29,Pass,None,False
QI000182,DLV000293,PO-00293,AMER,INS014,2024-04-12,7,41,Fail,Cosmetic,True
QI000183,DLV000295,PO-00295,AMER,INS019,2024-04-08,1,42,Pass,None,False
QI000184,DLV000296,PO-00296,AMER,INS001,2024-03-13,6,20,Fail,None,True
QI000185,DLV000300,PO-00300,AMER,INS017,2024-03-28,7,17,Fail,Cosmetic,True
QI000186,DLV000301,PO-00301,AMER,INS019,2024-02-21,0,39,Pass,None,False
QI000187,DLV000304,PO-00304,AMER,INS003,2024-03-03,6,22,Fail,Cosmetic,True
QI000188,DLV000305,PO-00305,AMER,INS011,2024-04-17,7,47,Fail,Critical,True
QI000189,DLV000307,PO-00307,AMER,INS001,2024-03-27,7,27,Fail,Functional,True
QI000190,DLV000309,PO-00309,AMER,INS017,2024-01-16,4,36,Fail,Critical,False
QI000191,DLV000311,PO-00311,AMER,INS001,2024-02-06,0,33,Pass,None,False
QI000192,DLV000312,PO-00312,AMER,INS012,2024-03-16,5,24,Fail,None,True
QI000193,DLV000315,PO-00315,AMER,INS007,2024-01-22,2,33,Pass,None,False
QI000194,DLV000316,PO-00316,AMER,INS013,2024-02-23,5,34,Fail,Cosmetic,True
QI000195,DLV000317,PO-00317,AMER,INS014,2024-01-27,1,39,Pass,None,False
QI000196,DLV000319,PO-00319,AMER,INS001,2024-01-15,2,38,Pass,Cosmetic,False
QI000197,DLV000320,PO-00320,AMER,INS005,2024-04-13,5,29,Fail,Cosmetic,True
QI000198,DLV000321,PO-00321,AMER,INS014,2024-03-06,6,45,Fail,None,True
QI000199,DLV000323,PO-00323,AMER,INS010,2024-03-11,2,37,Pass,None,False
QI000200,DLV000327,PO-00327,AMER,INS009,2024-01-30,0,35,Pass,Cosmetic,False
QI000201,DLV000328,PO-00328,AMER,INS018,2024-03-15,1,31,Pass,None,False
QI000202,DLV000330,PO-00330,AMER,INS005,2024-05-05,3,10,Fail,None,False
QI000203,DLV000332,PO-00332,AMER,INS007,2024-01-19,7,35,Fail,Cosmetic,True
QI000204,DLV000337,PO-00337,AMER,INS003,2024-03-18,7,34,Fail,None,True
QI000205,DLV000338,PO-00338,AMER,INS008,2024-03-03,2,16,Pass,Cosmetic,False
QI000206,DLV000339,PO-00339,AMER,INS001,2024-04-10,7,30,Fail,None,True
QI000207,DLV000341,PO-00341,AMER,INS005,2024-02-01,1,26,Pass,None,False
QI000208,DLV000342,PO-00342,AMER,INS010,2024-03-10,0,28,Pass,None,False
QI000209,DLV000343,PO-00343,AMER,INS011,2024-03-07,0,41,Pass,None,False
QI000210,DLV000347,PO-00347,AMER,INS001,2024-01-20,4,36,Fail,Cosmetic,False
QI000211,DLV000349,PO-00349,AMER,INS020,2024-02-12,4,46,Fail,None,False
QI000212,DLV000352,PO-00352,AMER,INS017,2024-02-06,5,23,Fail,None,True
QI000213,DLV000353,PO-00353,AMER,INS018,2024-02-03,0,46,Pass,None,False
QI000214,DLV000354,PO-00354,AMER,INS010,2024-03-16,2,24,Pass,Cosmetic,False
QI000215,DLV000355,PO-00355,AMER,INS016,2024-03-23,6,29,Fail,None,True
QI000216,DLV000356,PO-00356,AMER,INS001,2024-01-26,2,37,Pass,None,False
QI000217,DLV000357,PO-00357,AMER,INS002,2024-03-29,2,16,Pass,None,False
QI000218,DLV000358,PO-00358,AMER,INS005,2024-04-10,7,30,Fail,None,True
QI000219,DLV000359,PO-00359,AMER,INS019,2024-02-27,5,40,Fail,None,True
QI000220,DLV000360,PO-00360,AMER,INS002,2024-04-14,1,44,Pass,Cosmetic,False
QI000221,DLV000363,PO-00363,AMER,INS010,2024-02-22,0,43,Pass,None,False
QI000222,DLV000366,PO-00366,AMER,INS019,2024-03-07,7,26,Fail,Functional,True
QI000223,DLV000370,PO-00370,AMER,INS013,2024-02-14,1,23,Pass,None,False
QI000224,DLV000371,PO-00371,AMER,INS003,2024-03-05,2,12,Pass,Cosmetic,False
QI000225,DLV000372,PO-00372,AMER,INS011,2024-02-04,7,32,Fail,None,True
QI000226,DLV000375,PO-00375,AMER,INS005,2024-04-10,1,35,Pass,None,False
QI000227,DLV000376,PO-00376,AMER,INS011,2024-03-13,7,38,Fail,None,True
QI000228,DLV000377,PO-00377,AMER,INS004,2024-04-26,6,41,Fail,None,True
QI000229,DLV000379,PO-00379,AMER,INS014,2024-03-08,1,22,Pass,Functional,False
QI000230,DLV000380,PO-00380,AMER,INS015,2024-02-11,1,48,Pass,Cosmetic,False
QI000231,DLV000381,PO-00381,AMER,INS020,2024-04-24,3,41,Fail,None,False
QI000232,DLV000382,PO-00382,AMER,INS014,2024-03-03,3,48,Fail,Cosmetic,False
QI000233,DLV000384,PO-00384,AMER,INS005,2024-02-25,3,14,Fail,None,False
QI000234,DLV000385,PO-00385,AMER,INS012,2024-04-18,3,18,Fail,None,False
QI000235,DLV000387,PO-00387,AMER,INS004,2024-02-17,7,49,Fail,None,True
QI000236,DLV000388,PO-00388,AMER,INS007,2024-03-14,7,40,Fail,Functional,True
QI000237,DLV000391,PO-00391,AMER,INS009,2024-03-15,3,11,Fail,None,False
QI000238,DLV000393,PO-00393,AMER,INS002,2024-02-19,3,40,Fail,None,False
QI000239,DLV000396,PO-00396,AMER,INS002,2024-03-12,1,14,Pass,Functional,False
QI000240,DLV000398,PO-00398,AMER,INS013,2024-04-15,3,47,Fail,None,False
QI000241,DLV000399,PO-00399,AMER,INS009,2024-04-01,2,16,Pass,None,False
QI000242,DLV000400,PO-00400,AMER,INS007,2024-03-05,2,15,Pass,None,False
QI000243,DLV000402,PO-00402,AMER,INS018,2024-02-20,7,19,Fail,None,True
QI000244,DLV000404,PO-00404,AMER,INS009,2024-04-07,7,22,Fail,None,True
QI000245,DLV000405,PO-00405,AMER,INS003,2024-03-07,5,43,Fail,Functional,True
QI000246,DLV000407,PO-00407,AMER,INS012,2024-01-29,0,48,Pass,None,False
QI000247,DLV000411,PO-00411,AMER,INS010,2024-01-30,2,35,Pass,None,False
QI000248,DLV000412,PO-00412,AMER,INS002,2024-04-13,1,36,Pass,None,False
QI000249,DLV000413,PO-00413,AMER,INS016,2024-03-22,2,11,Pass,Cosmetic,False
QI000250,DLV000415,PO-00415,AMER,INS016,2024-01-19,5,39,Fail,None,True
QI000251,DLV000421,PO-00421,AMER,INS016,2024-01-10,0,29,Pass,None,False
QI000252,DLV000423,PO-00423,AMER,INS006,2024-02-09,3,15,Fail,None,False
QI000253,DLV000425,PO-00425,AMER,INS016,2024-02-13,3,39,Fail,None,False
QI000254,DLV000427,PO-00427,AMER,INS007,2024-03-17,7,43,Fail,Functional,True
QI000255,DLV000429,PO-00429,AMER,INS012,2024-03-26,5,14,Fail,None,True
QI000256,DLV000431,PO-00431,AMER,INS001,2024-01-26,1,24,Pass,None,False
QI000257,DLV000432,PO-00432,AMER,INS001,2024-03-09,4,36,Fail,Cosmetic,False
QI000258,DLV000435,PO-00435,AMER,INS020,2024-04-10,2,12,Pass,None,False
QI000259,DLV000436,PO-00436,AMER,INS018,2024-03-08,6,10,Fail,None,True
QI000260,DLV000438,PO-00438,AMER,INS016,2024-02-02,7,16,Fail,None,True
QI000261,DLV000439,PO-00439,AMER,INS011,2024-02-19,2,45,Pass,Functional,False
QI000262,DLV000441,PO-00441,AMER,INS012,2024-03-06,5,35,Fail,Functional,True
QI000263,DLV000443,PO-00443,AMER,INS017,2024-04-17,2,12,Pass,Functional,False
QI000264,DLV000445,PO-00445,AMER,INS011,2024-02-05,7,42,Fail,None,True
QI000265,DLV000446,PO-00446,AMER,INS012,2024-03-08,6,11,Fail,None,True
QI000266,DLV000451,PO-00451,AMER,INS007,2024-01-23,6,50,Fail,None,True
QI000267,DLV000453,PO-00453,AMER,INS019,2024-01-28,2,10,Pass,None,False
QI000268,DLV000454,PO-00454,AMER,INS013,2024-02-28,3,29,Fail,None,False
QI000269,DLV000455,PO-00455,AMER,INS014,2024-04-12,5,26,Fail,Critical,True
QI000270,DLV000456,PO-00456,AMER,INS010,2024-01-30,2,19,Pass,None,False
QI000271,DLV000457,PO-00457,AMER,INS017,2024-04-04,7,22,Fail,None,True
QI000272,DLV000458,PO-00458,AMER,INS005,2024-03-21,7,13,Fail,None,True
QI000273,DLV000461,PO-00461,AMER,INS006,2024-01-27,4,12,Fail,None,False
QI000274,DLV000462,PO-00462,AMER,INS004,2024-03-19,0,48,Pass,Functional,False
QI000275,DLV000463,PO-00463,AMER,INS020,2024-02-08,3,41,Fail,None,False
QI000276,DLV000465,PO-00465,AMER,INS007,2024-03-26,3,16,Fail,None,False
QI000277,DLV000467,PO-00467,AMER,INS008,2024-02-07,1,48,Pass,None,False
QI000278,DLV000470,PO-00470,AMER,INS008,2024-03-14,3,45,Fail,None,False
QI000279,DLV000472,PO-00472,AMER,INS008,2024-03-01,0,31,Pass,Critical,False
QI000280,DLV000473,PO-00473,AMER,INS014,2024-01-20,7,31,Fail,None,True
QI000281,DLV000474,PO-00474,AMER,INS003,2024-03-23,2,46,Pass,None,False
QI000282,DLV000475,PO-00475,AMER,INS012,2024-01-16,5,15,Fail,None,True
QI000283,DLV000477,PO-00477,AMER,INS019,2024-03-02,7,42,Fail,None,True
QI000284,DLV000481,PO-00481,AMER,INS005,2024-01-27,7,31,Fail,None,True
QI000285,DLV000482,PO-00482,AMER,INS012,2024-04-09,1,21,Pass,None,False
QI000286,DLV000484,PO-00484,AMER,INS008,2024-02-26,7,45,Fail,Functional,True
QI000287,DLV000486,PO-00486,AMER,INS003,2024-03-21,5,24,Fail,Cosmetic,True
QI000288,DLV000487,PO-00487,AMER,INS002,2024-02-20,7,44,Fail,None,True
QI000289,DLV000490,PO-00490,AMER,INS014,2024-01-20,3,30,Fail,Functional,False
QI000290,DLV000492,PO-00492,AMER,INS015,2024-03-27,0,26,Pass,None,False
QI000291,DLV000493,PO-00493,AMER,INS007,2024-02-11,4,32,Fail,Cosmetic,False
QI000292,DLV000494,PO-00494,AMER,INS011,2024-03-29,3,43,Fail,None,False
QI000293,DLV000498,PO-00498,AMER,INS003,2024-04-02,1,38,Pass,Cosmetic,False
QI000294,DLV000500,PO-00500,AMER,INS001,2024-03-12,5,33,Fail,Critical,True
QI000295,DLV000501,PO-00501,AMER,INS008,2024-02-13,6,17,Fail,None,True
QI000296,DLV000503,PO-00503,AMER,INS006,2024-04-07,5,26,Fail,None,True
QI000297,DLV000504,PO-00504,AMER,INS014,2024-03-15,2,20,Pass,None,False
QI000298,DLV000507,PO-00507,AMER,INS009,2024-03-05,3,23,Fail,None,False
QI000299,DLV000510,PO-00510,AMER,INS011,2024-01-16,6,12,Fail,None,True
QI000300,DLV000512,PO-00512,AMER,INS011,2024-03-20,3,28,Fail,None,False
QI000301,DLV000513,PO-00513,AMER,INS004,2024-02-15,4,38,Fail,None,False
QI000302,DLV000514,PO-00514,AMER,INS018,2024-03-15,5,10,Fail,None,True
QI000303,DLV000515,PO-00515,AMER,INS005,2024-04-11,1,11,Pass,None,False
QI000304,DLV000517,PO-00517,AMER,INS009,2024-02-06,7,28,Fail,Functional,True
QI000305,DLV000518,PO-00518,AMER,INS011,2024-02-18,3,20,Fail,None,False
QI000306,DLV000519,PO-00519,AMER,INS010,2024-03-04,3,18,Fail,None,False
QI000307,DLV000521,PO-00521,AMER,INS019,2024-04-10,0,47,Pass,None,False
