delivery_id,po_id,warehouse_id,supplier_id,received_date,ship_date,quantity_received,delivery_type,return_basis,receipt_status,carrier,receiving_dock,inspector_id,condition_on_arrival,delivery_notes
DLV000027,PO-00026,AMER,SUP046,2024-03-04,2024-03-04,671,Primary,,accepted,FastFreight,DOCK-B,INS006,Good,
DLV000028,PO-00027,AMER,SUP047,2024-02-29,2024-02-25,888,Primary,,accepted,DirectHaul,DOCK-B,INS008,Good,
DLV000029,PO-00028,AMER,SUP052,2024-03-22,2024-03-22,349,Primary,,accepted,FastFreight,DOCK-C,INS004,Good,
DLV000030,PO-00029,AMER,SUP039,2024-03-15,2024-03-09,344,Primary,,accepted,PrimeLogistics,DOCK-C,INS001,Good,
DLV000031,PO-00030,AMER,SUP045,2024-04-08,2024-04-08,640,Primary,,accepted,FreightCo,DOCK-B,INS004,Good,
DLV000032,PO-00031,AMER,SUP005,2024-01-23,2024-01-20,175,Primary,,accepted,GlobalShip,DOCK-B,INS002,Good,
DLV000033,PO-00032,AMER,SUP027,2024-03-29,2024-03-29,451,Primary,,accepted,FastFreight,DOCK-B,INS018,Good,
DLV000034,PO-00033,AMER,SUP024,2024-02-23,2024-02-23,282,Primary,,accepted,OceanLink,DOCK-D,INS002,Good,
DLV000035,PO-00034,AMER,SUP038,2024-02-03,2024-02-03,679,Primary,,accepted,PrimeLogistics,DOCK-A,INS009,Good,
DLV000036,PO-00035,AMER,SUP001,2024-02-25,2024-02-25,321,Primary,,accepted,DirectHaul,DOCK-C,INS003,Good,
DLV000037,PO-00036,AMER,SUP057,2024-04-21,2024-04-21,1030,Primary,,provisional_receipt,GlobalShip,DOCK-C,INS012,Good,
DLV000038,PO-00037,AMER,SUP011,2024-02-27,2024-02-27,486,Primary,,accepted,FreightCo,DOCK-B,INS017,Good,
DLV000039,PO-00038,AMER,SUP009,2024-04-16,2024-04-04,88,Primary,,accepted,DirectHaul,DOCK-B,INS019,Good,
DLV000040,PO-00039,AMER,SUP060,2024-02-26,2024-02-26,429,Primary,,provisional_receipt,PrimeLogistics,DOCK-D,INS015,Good,Partial pallet
DLV000041,PO-00040,AMER,SUP047,2024-03-18,2024-03-18,112,Primary,,accepted,FastFreight,DOCK-C,INS017,Good,
DLV000042,PO-00041,AMER,SUP010,2024-02-03,2024-02-03,45,Primary,,accepted,OceanLink,DOCK-C,INS013,Good,
DLV000043,PO-00042,AMER,SUP002,2024-02-07,2024-02-07,312,Primary,,accepted,FreightCo,DOCK-B,INS011,Good,Correct paperwork
DLV000044,PO-00043,AMER,SUP036,2024-02-19,2024-02-19,235,Primary,,accepted,OceanLink,DOCK-B,INS009,Good,
DLV000045,PO-00044,AMER,SUP029,2024-02-16,2024-02-16,96,Primary,,accepted,DirectHaul,DOCK-D,INS020,Good,
DLV000046,PO-00045,AMER,SUP002,2024-02-06,2024-02-03,924,Primary,,accepted,PrimeLogistics,DOCK-A,INS007,Good,
DLV000047,PO-00046,AMER,SUP029,2024-03-22,2024-03-22,167,Primary,,accepted,DirectHaul,DOCK-C,INS016,Good,Partial shipment 1 of 2
DLV000048,PO-00046,AMER,SUP029,2024-03-29,2024-03-29,126,Primary,,accepted,DirectHaul,DOCK-B,INS004,Good,Partial shipment 2 of 2
DLV000049,PO-00047,AMER,SUP032,2024-02-15,2024-02-15,664,Primary,,accepted,FastFreight,DOCK-D,INS015,Good,
DLV000050,PO-00048,AMER,SUP034,2024-02-17,2024-02-17,490,Primary,,accepted,FastFreight,DOCK-A,INS014,Good,
DLV000051,PO-00049,AMER,SUP033,2024-02-15,2024-02-15,818,Primary,,accepted,,DOCK-B,INS007,Good,
DLV000052,PO-00050,AMER,SUP052,2024-03-18,2024-03-11,81,Primary,,accepted,FreightCo,DOCK-B,INS019,Good,Minor packaging damage
DLV000053,PO-00051,AMER,SUP019,2024-04-03,2024-04-03,687,Primary,,accepted,FreightCo,DOCK-D,INS005,Good,
DLV000054,PO-00052,AMER,SUP041,2024-03-18,2024-03-14,701,Primary,,accepted,FreightCo,DOCK-C,INS003,Good,Partial pallet
DLV000055,PO-00053,AMER,SUP034,2024-03-26,2024-03-19,1012,Primary,,accepted,,DOCK-B,INS008,Good,
DLV000056,PO-00054,AMER,SUP010,2024-02-23,2024-02-17,663,Primary,,accepted,FastFreight,DOCK-A,INS012,Good,
DLV000057,PO-00055,AMER,SUP059,2024-02-21,2024-02-18,792,Primary,,accepted,FreightCo,DOCK-D,INS008,Good,
DLV000058,PO-00056,AMER,SUP038,2024-03-24,2024-03-24,661,Primary,,provisional_receipt,OceanLink,DOCK-D,INS005,Good,
DLV000059,PO-00057,AMER,SUP017,2024-03-28,2024-03-22,806,Primary,,accepted,OceanLink,DOCK-B,INS019,Good,
DLV000060,PO-00058,AMER,SUP022,2024-01-23,2024-01-17,563,Primary,,provisional_receipt,FastFreight,DOCK-D,INS004,Good,
DLV000061,PO-00059,AMER,SUP029,2024-02-02,2024-01-27,199,Primary,,accepted,DirectHaul,DOCK-B,INS012,Good,
DLV000062,PO-00060,AMER,SUP015,2024-04-29,2024-04-29,378,Primary,,accepted,OceanLink,DOCK-C,INS003,Good,
DLV000063,PO-00061,AMER,SUP006,2024-02-27,2024-02-27,793,Primary,,accepted,FreightCo,DOCK-A,INS005,Good,
DLV000064,PO-00062,AMER,SUP042,2024-04-01,2024-03-27,876,Primary,,accepted,FastFreight,DOCK-C,INS018,Good,
DLV000065,PO-00063,AMER,SUP013,2024-02-12,2024-02-12,1001,Primary,,provisional_receipt,DirectHaul,DOCK-A,INS001,Good,
DLV000066,PO-00064,AMER,SUP021,2024-03-09,2024-03-03,655,Primary,,provisional_receipt,FastFreight,DOCK-B,INS003,Good,
DLV000067,PO-00065,AMER,SUP005,2024-03-03,2024-03-03,377,Primary,,provisional_receipt,GlobalShip,DOCK-C,INS015,Good,
DLV000068,PO-00066,AMER,SUP003,2024-02-23,2024-02-23,615,Primary,,provisional_receipt,FreightCo,DOCK-A,INS013,Good,
DLV000069,PO-00067,AMER,SUP021,2024-03-19,2024-03-13,260,Primary,,accepted,PrimeLogistics,DOCK-A,INS004,Good,
DLV000070,PO-00068,AMER,SUP008,2024-02-18,2024-02-18,74,Primary,,accepted,OceanLink,DOCK-C,INS020,Good,Partial pallet
DLV000071,PO-00069,AMER,SUP015,2024-03-24,2024-03-24,290,Primary,,accepted,FastFreight,DOCK-A,INS013,Good,
DLV000072,PO-00070,AMER,SUP037,2024-02-11,2024-02-06,1479,Primary,,provisional_receipt,FastFreight,DOCK-D,INS010,Good,Partial pallet
DLV000073,PO-00071,AMER,SUP026,2024-02-09,2024-02-09,212,Primary,,accepted,FreightCo,DOCK-B,INS015,Good,
DLV000074,PO-00072,AMER,SUP028,2024-01-14,2024-01-07,212,Primary,,accepted,GlobalShip,DOCK-B,INS009,Good,
DLV000075,PO-00073,AMER,SUP051,2024-03-28,2024-03-28,439,Primary,,accepted,FreightCo,DOCK-B,INS004,Good,
DLV000076,PO-00074,AMER,SUP014,2024-02-14,2024-02-14,946,Primary,,accepted,GlobalShip,DOCK-C,INS019,Good,
DLV000077,PO-00075,AMER,SUP004,2024-03-13,2024-03-13,477,Primary,,accepted,OceanLink,DOCK-C,INS019,Good,
DLV000078,PO-00076,AMER,SUP033,2024-03-17,2024-03-17,564,Primary,,accepted,FreightCo,DOCK-D,INS009,Good,
DLV000079,PO-00077,AMER,SUP001,2024-01-30,2024-01-23,819,Primary,,accepted,OceanLink,DOCK-A,INS005,Good,
DLV000080,PO-00078,AMER,SUP022,2024-03-28,2024-03-28,182,Primary,,accepted,GlobalShip,DOCK-B,INS016,Good,
DLV000081,PO-00079,AMER,SUP023,2024-01-21,2024-01-21,591,Primary,,accepted,GlobalShip,DOCK-C,INS001,Good,
DLV000082,PO-00080,AMER,SUP001,2024-02-10,2024-02-04,364,Primary,,accepted,FreightCo,DOCK-D,INS019,Good,
DLV000083,PO-00081,AMER,SUP051,2024-03-24,2024-03-24,1031,Primary,,accepted,FreightCo,DOCK-D,INS002,Good,
DLV000084,PO-00082,AMER,SUP041,2024-04-15,2024-04-15,549,Primary,,accepted,DirectHaul,DOCK-B,INS011,Good,
DLV000085,PO-00083,AMER,SUP039,2024-01-25,2024-01-25,831,Primary,,accepted,,DOCK-C,INS002,Good,
DLV000086,PO-00084,AMER,SUP034,2024-03-28,2024-03-09,1034,Primary,,accepted,DirectHaul,DOCK-B,INS008,Good,
DLV000087,PO-00085,AMER,SUP048,2024-02-23,2024-02-23,853,Primary,,accepted,FreightCo,DOCK-D,INS010,Good,
DLV000088,PO-00086,AMER,SUP019,2024-03-19,2024-03-19,406,Primary,,accepted,FreightCo,DOCK-B,INS016,Good,Partial shipment 1 of 2
DLV000089,PO-00086,AMER,SUP019,2024-03-26,2024-03-26,305,Primary,,accepted,FreightCo,DOCK-C,INS015,Good,Partial shipment 2 of 2
DLV000090,PO-00087,AMER,SUP006,2024-02-28,2024-02-22,718,Primary,,accepted,FreightCo,DOCK-B,INS008,Good,
DLV000091,PO-00088,AMER,SUP017,2024-03-28,2024-03-28,596,Primary,,accepted,PrimeLogistics,DOCK-A,INS003,Good,Partial shipment 1 of 2
DLV000092,PO-00088,AMER,SUP017,2024-04-04,2024-04-04,447,Primary,,accepted,PrimeLogistics,DOCK-A,INS019,Good,Partial shipment 2 of 2
DLV000093,PO-00089,AMER,SUP045,2024-03-31,2024-03-14,788,Primary,,accepted,PrimeLogistics,DOCK-C,INS005,Good,Minor packaging damage
DLV000094,PO-00090,AMER,SUP020,2024-03-31,2024-03-31,423,Primary,,accepted,FastFreight,DOCK-A,INS017,Good,
DLV000095,PO-00091,AMER,SUP050,2024-02-20,2024-02-20,142,Primary,,accepted,FastFreight,DOCK-A,INS018,Good,
DLV000096,PO-00092,AMER,SUP049,2024-03-31,2024-03-31,243,Primary,,accepted,FreightCo,DOCK-D,INS015,Good,
DLV000097,PO-00093,AMER,SUP053,2024-01-23,2024-01-23,318,Primary,,accepted,,DOCK-C,INS018,Good,
DLV000098,PO-00094,AMER,SUP058,2024-03-15,2024-03-15,586,Primary,,accepted,FreightCo,DOCK-A,INS002,Good,
DLV000099,PO-00095,AMER,SUP004,2024-02-14,2024-02-14,370,Primary,,accepted,GlobalShip,DOCK-B,INS004,Good,
DLV000100,PO-00096,AMER,SUP043,2024-03-02,2024-02-26,923,Primary,,accepted,DirectHaul,DOCK-A,INS003,Good,
DLV000101,PO-00097,AMER,SUP052,2024-02-07,2024-02-07,589,Primary,,accepted,FreightCo,DOCK-D,INS013,Good,
DLV000102,PO-00098,AMER,SUP058,2024-02-28,2024-02-28,964,Primary,,accepted,FreightCo,DOCK-A,INS007,Good,
DLV000103,PO-00099,AMER,SUP007,2024-02-09,2024-02-09,525,Primary,,accepted,FreightCo,DOCK-A,INS007,Good,
DLV000104,PO-00100,AMER,SUP028,2024-02-06,2024-02-06,619,Primary,,accepted,OceanLink,DOCK-B,INS013,Good,
DLV000105,PO-00101,AMER,SUP022,2024-02-25,2024-02-25,60,Primary,,accepted,,DOCK-B,INS002,Good,
DLV000106,PO-00102,AMER,SUP037,2024-03-22,2024-03-22,150,Primary,,accepted,PrimeLogistics,DOCK-A,INS005,Good,Minor packaging damage
DLV000107,PO-00103,AMER,SUP025,2024-01-17,2024-01-17,654,Primary,,accepted,FastFreight,DOCK-A,INS011,Good,
DLV000108,PO-00104,AMER,SUP015,2024-03-17,2024-03-17,309,Primary,,accepted,GlobalShip,DOCK-C,INS018,Good,
DLV000109,PO-00105,AMER,SUP010,2024-03-09,2024-02-26,466,Primary,,accepted,DirectHaul,DOCK-B,INS017,Good,
DLV000110,PO-00106,AMER,SUP002,2024-01-25,2024-01-21,1031,Primary,,accepted,PrimeLogistics,DOCK-D,INS004,Good,
DLV000111,PO-00107,AMER,SUP018,2024-02-11,2024-02-05,413,Primary,,accepted,OceanLink,DOCK-C,INS018,Good,Partial pallet
DLV000112,PO-00108,AMER,SUP041,2024-02-24,2024-02-24,744,Primary,,accepted,GlobalShip,DOCK-A,INS003,Good,Partial shipment 1 of 2
DLV000113,PO-00108,AMER,SUP041,2024-03-02,2024-03-02,558,Primary,,accepted,GlobalShip,DOCK-A,INS008,Good,Partial shipment 2 of 2
DLV000114,PO-00109,AMER,SUP011,2024-03-29,2024-03-26,518,Primary,,accepted,FreightCo,DOCK-A,INS019,Damaged,
DLV000115,PO-00110,AMER,SUP019,2024-02-05,2024-02-05,334,Primary,,accepted,GlobalShip,DOCK-C,INS017,Good,Partial shipment 1 of 2
DLV000116,PO-00110,AMER,SUP019,2024-02-12,2024-02-12,251,Primary,,accepted,GlobalShip,DOCK-D,INS001,Good,Partial shipment 2 of 2
DLV000117,PO-00111,AMER,SUP006,2024-04-07,2024-04-07,84,Primary,,accepted,OceanLink,DOCK-D,INS007,Good,Correct paperwork
DLV000118,PO-00112,AMER,SUP017,2024-01-26,2024-01-26,837,Primary,,accepted,GlobalShip,DOCK-A,INS010,Good,
DLV000119,PO-00113,AMER,SUP036,2024-03-12,2024-03-07,301,Primary,,accepted,PrimeLogistics,DOCK-C,INS015,Good,
DLV000120,PO-00114,AMER,SUP025,2024-02-10,2024-02-10,208,Primary,,accepted,FastFreight,DOCK-D,INS006,Good,
DLV000121,PO-00115,AMER,SUP010,2024-02-11,2024-02-11,199,Primary,,accepted,PrimeLogistics,DOCK-B,INS003,Good,Partial shipment 1 of 2
DLV000122,PO-00115,AMER,SUP010,2024-02-18,2024-02-18,149,Primary,,accepted,PrimeLogistics,DOCK-C,INS013,Good,Partial shipment 2 of 2
DLV000123,PO-00116,AMER,SUP011,2024-05-02,2024-05-02,499,Primary,,accepted,FreightCo,DOCK-D,INS002,Good,
DLV000124,PO-00117,AMER,SUP038,2024-02-18,2024-02-18,263,Primary,,accepted,OceanLink,DOCK-C,INS012,Good,
DLV000125,PO-00118,AMER,SUP024,2024-03-25,2024-03-22,856,Primary,,accepted,OceanLink,DOCK-C,INS005,Good,
DLV000126,PO-00119,AMER,SUP038,2024-02-27,2024-02-27,272,Primary,,accepted,PrimeLogistics,DOCK-B,INS006,Good,
DLV000127,PO-00120,AMER,SUP046,2024-01-27,2024-01-27,320,Primary,,accepted,PrimeLogistics,DOCK-C,INS001,Good,
DLV000128,PO-00121,AMER,SUP022,2024-03-19,2024-03-19,52,Primary,,provisional_receipt,OceanLink,DOCK-D,INS002,Good,
DLV000129,PO-00122,AMER,SUP006,2024-04-27,2024-04-27,507,Primary,,accepted,PrimeLogistics,DOCK-D,INS005,Good,
DLV000130,PO-00123,AMER,SUP028,2024-03-02,2024-03-02,320,Primary,,accepted,FastFreight,DOCK-D,INS016,Good,
DLV000131,PO-00124,AMER,SUP032,2024-01-20,2024-01-20,205,Primary,,accepted,DirectHaul,DOCK-C,INS018,Good,
DLV000132,PO-00125,AMER,SUP032,2024-01-31,2024-01-31,622,Primary,,accepted,DirectHaul,DOCK-B,INS006,Good,
DLV000133,PO-00126,AMER,SUP042,2024-01-26,2024-01-21,124,Primary,,accepted,OceanLink,DOCK-D,INS020,Good,
DLV000134,PO-00127,AMER,SUP058,2024-02-11,2024-02-05,783,Primary,,accepted,FreightCo,DOCK-B,INS018,Good,Minor packaging damage
DLV000135,PO-00128,AMER,SUP004,2024-02-11,2024-01-31,368,Primary,,accepted,GlobalShip,DOCK-C,INS007,Good,Minor packaging damage
DLV000136,PO-00129,AMER,SUP020,2024-04-14,2024-04-14,700,Primary,,accepted,DirectHaul,DOCK-C,INS005,Good,Correct paperwork
DLV000137,PO-00130,AMER,SUP029,2024-03-31,2024-03-28,241,Primary,,accepted,DirectHaul,DOCK-C,INS004,Good,
DLV000138,PO-00131,AMER,SUP035,2024-01-19,2024-01-16,403,Primary,,accepted,GlobalShip,DOCK-D,INS018,Good,
DLV000139,PO-00132,AMER,SUP044,2024-04-20,2024-04-04,442,Primary,,provisional_receipt,GlobalShip,DOCK-C,INS010,Good,
DLV000140,PO-00133,AMER,SUP022,2024-02-13,2024-02-13,588,Primary,,accepted,,DOCK-D,INS001,Good,
DLV000141,PO-00134,AMER,SUP031,2024-02-03,2024-02-03,753,Primary,,accepted,PrimeLogistics,DOCK-C,INS010,Good,
DLV000142,PO-00135,AMER,SUP032,2024-02-24,2024-02-20,794,Primary,,accepted,FreightCo,DOCK-D,INS010,Good,
DLV000143,PO-00136,AMER,SUP051,2024-03-24,2024-03-17,434,Primary,,accepted,PrimeLogistics,DOCK-A,INS012,Good,
DLV000144,PO-00137,AMER,SUP055,2024-04-22,2024-04-22,790,Primary,,accepted,,DOCK-C,INS005,Good,Partial pallet
DLV000145,PO-00138,AMER,SUP028,2024-02-03,2024-02-03,57,Primary,,accepted,PrimeLogistics,DOCK-C,INS014,Good,
DLV000146,PO-00139,AMER,SUP004,2024-04-06,2024-04-06,499,Primary,,provisional_receipt,FreightCo,DOCK-B,INS017,Good,
DLV000147,PO-00140,AMER,SUP005,2024-02-15,2024-02-12,989,Primary,,accepted,FreightCo,DOCK-A,INS011,Good,
DLV000148,PO-00141,AMER,SUP008,2024-03-05,2024-03-02,146,Primary,,accepted,FastFreight,DOCK-B,INS002,Partial,
DLV000149,PO-00142,AMER,SUP055,2024-03-23,2024-03-18,405,Primary,,accepted,PrimeLogistics,DOCK-D,INS004,Good,
DLV000150,PO-00143,AMER,SUP005,2024-02-27,2024-02-27,330,Primary,,provisional_receipt,FastFreight,DOCK-D,INS006,Good,Minor packaging damage
DLV000151,PO-00144,AMER,SUP027,2024-02-29,2024-02-29,716,Primary,,accepted,FastFreight,DOCK-D,INS009,Good,Minor packaging damage
DLV000152,PO-00145,AMER,SUP035,2024-01-23,2024-01-23,498,Primary,,accepted,PrimeLogistics,DOCK-A,INS013,Good,
DLV000153,PO-00146,AMER,SUP012,2024-02-26,2024-02-23,134,Primary,,accepted,OceanLink,DOCK-C,INS007,Good,
DLV000154,PO-00147,AMER,SUP035,2024-02-12,2024-02-12,675,Primary,,accepted,FreightCo,DOCK-B,INS017,Good,
DLV000155,PO-00148,AMER,SUP013,2024-02-12,2024-02-12,573,Primary,,accepted,DirectHaul,DOCK-B,INS002,Good,
DLV000156,PO-00149,AMER,SUP032,2024-03-04,2024-03-04,925,Primary,,accepted,OceanLink,DOCK-A,INS016,Good,
DLV000157,PO-00150,AMER,SUP001,2024-01-31,2024-01-24,847,Primary,,accepted,FastFreight,DOCK-C,INS013,Good,
DLV000158,PO-00151,AMER,SUP048,2024-03-26,2024-03-26,467,Primary,,accepted,,DOCK-C,INS007,Good,
DLV000159,PO-00152,AMER,SUP012,2024-02-26,2024-02-26,993,Primary,,accepted,DirectHaul,DOCK-D,INS009,Good,
DLV000160,PO-00153,AMER,SUP038,2024-02-08,2024-02-04,882,Primary,,accepted,DirectHaul,DOCK-C,INS014,Good,Correct paperwork
DLV000161,PO-00154,AMER,SUP058,2024-02-18,2024-02-18,927,Primary,,accepted,OceanLink,DOCK-D,INS004,Good,
DLV000162,PO-00155,AMER,SUP017,2024-03-28,2024-03-23,401,Primary,,accepted,OceanLink,DOCK-C,INS014,Good,Correct paperwork
DLV000163,PO-00156,AMER,SUP012,2024-03-21,2024-03-15,974,Primary,,provisional_receipt,DirectHaul,DOCK-D,INS003,Good,
DLV000164,PO-00157,AMER,SUP050,2024-02-26,2024-02-26,266,Primary,,accepted,DirectHaul,DOCK-B,INS010,Good,
DLV000165,PO-00158,AMER,SUP022,2024-02-29,2024-02-22,199,Primary,,accepted,GlobalShip,DOCK-B,INS007,Good,
DLV000166,PO-00159,AMER,SUP040,2024-02-06,2024-02-06,677,Primary,,accepted,FastFreight,DOCK-C,INS016,Good,
DLV000167,PO-00160,AMER,SUP008,2024-03-22,2024-03-22,393,Primary,,accepted,FastFreight,DOCK-B,INS008,Good,
DLV000168,PO-00161,AMER,SUP020,2024-03-29,2024-03-29,470,Primary,,accepted,DirectHaul,DOCK-C,INS020,Good,Partial shipment 1 of 2
DLV000169,PO-00161,AMER,SUP020,2024-04-05,2024-04-05,352,Primary,,accepted,DirectHaul,DOCK-B,INS004,Good,Partial shipment 2 of 2
DLV000170,PO-00162,AMER,SUP010,2024-02-10,2024-02-10,511,Primary,,accepted,GlobalShip,DOCK-A,INS001,Good,
DLV000171,PO-00163,AMER,SUP050,2024-04-02,2024-03-15,157,Primary,,accepted,FastFreight,DOCK-C,INS014,Good,
DLV000172,PO-00164,AMER,SUP006,2024-02-22,2024-02-19,535,Primary,,accepted,OceanLink,DOCK-B,INS020,Partial,
DLV000173,PO-00165,AMER,SUP044,2024-01-28,2024-01-28,682,Primary,,accepted,FreightCo,DOCK-A,INS006,Good,
DLV000174,PO-00166,AMER,SUP044,2024-02-09,2024-02-09,141,Primary,,accepted,FastFreight,DOCK-D,INS014,Good,
DLV000175,PO-00167,AMER,SUP012,2024-03-17,2024-03-17,891,Primary,,accepted,PrimeLogistics,DOCK-C,INS006,Good,Correct paperwork
DLV000176,PO-00168,AMER,SUP043,2024-04-18,2024-04-18,420,Primary,,accepted,DirectHaul,DOCK-C,INS003,Good,
DLV000177,PO-00169,AMER,SUP032,2024-02-25,2024-02-21,258,Primary,,accepted,,DOCK-A,INS020,Good,
DLV000178,PO-00170,AMER,SUP014,2024-02-21,2024-01-31,943,Primary,,accepted,GlobalShip,DOCK-A,INS007,Good,
DLV000179,PO-00171,AMER,SUP024,2024-02-03,2024-02-03,343,Primary,,accepted,DirectHaul,DOCK-C,INS019,Good,
DLV000180,PO-00172,AMER,SUP046,2024-03-24,2024-03-21,402,Primary,,accepted,PrimeLogistics,DOCK-D,INS006,Good,
DLV000181,PO-00173,AMER,SUP043,2024-02-10,2024-02-03,576,Primary,,accepted,GlobalShip,DOCK-D,INS010,Good,
DLV000182,PO-00174,AMER,SUP007,2024-03-13,2024-03-13,495,Primary,,accepted,DirectHaul,DOCK-D,INS003,Good,Partial shipment 1 of 2
DLV000183,PO-00174,AMER,SUP007,2024-03-20,2024-03-20,371,Primary,,accepted,DirectHaul,DOCK-C,INS010,Good,Partial shipment 2 of 2
DLV000184,PO-00175,AMER,SUP014,2024-02-13,2024-02-13,496,Primary,,provisional_receipt,GlobalShip,DOCK-A,INS014,Good,
DLV000185,PO-00176,AMER,SUP022,2024-01-27,2024-01-27,176,Primary,,accepted,FastFreight,DOCK-C,INS020,Good,
DLV000186,PO-00177,AMER,SUP004,2024-03-12,2024-03-12,936,Primary,,accepted,GlobalShip,DOCK-C,INS003,Good,
DLV000187,PO-00178,AMER,SUP027,2024-02-28,2024-02-28,902,Primary,,accepted,GlobalShip,DOCK-A,INS019,Good,
DLV000188,PO-00179,AMER,SUP035,2024-03-15,2024-03-08,508,Primary,,accepted,GlobalShip,DOCK-B,INS001,Good,
DLV000189,PO-00180,AMER,SUP060,2024-04-04,2024-04-04,155,Primary,,accepted,FastFreight,DOCK-D,INS007,Good,
DLV000190,PO-00181,AMER,SUP008,2024-03-24,2024-03-20,910,Primary,,accepted,FastFreight,DOCK-B,INS014,Good,
DLV000191,PO-00182,AMER,SUP026,2024-03-24,2024-03-24,389,Primary,,accepted,PrimeLogistics,DOCK-D,INS020,Good,
DLV000192,PO-00183,AMER,SUP038,2024-03-13,2024-03-13,957,Primary,,provisional_receipt,DirectHaul,DOCK-C,INS005,Good,
DLV000193,PO-00184,AMER,SUP014,2024-03-31,2024-03-31,822,Primary,,accepted,DirectHaul,DOCK-A,INS002,Good,
DLV000194,PO-00185,AMER,SUP026,2024-04-21,2024-04-21,164,Primary,,accepted,FastFreight,DOCK-A,INS008,Good,Partial shipment 1 of 2
DLV000195,PO-00185,AMER,SUP026,2024-04-28,2024-04-28,123,Primary,,accepted,FastFreight,DOCK-C,INS017,Good,Partial shipment 2 of 2
DLV000196,PO-00186,AMER,SUP042,2024-04-11,2024-04-11,299,Primary,,accepted,FreightCo,DOCK-A,INS020,Good,
DLV000197,PO-00187,AMER,SUP041,2024-04-07,2024-04-07,55,Primary,,accepted,FastFreight,DOCK-C,INS003,Good,
