zone_assignment_id,worker_id,zone_id,start_datetime,end_datetime,reason
ZA00028,W032,Z06,2024-01-04 08:17:12,2024-01-04 09:13:22,equipment_failure
ZA00029,W085,Z12,2024-01-04 09:14:51,2024-01-04 10:13:35,training
ZA00030,W055,Z08,2024-01-04 07:05:56,2024-01-04 07:51:00,overflow
ZA00031,W119,Z03,2024-01-05 07:41:56,2024-01-05 09:10:40,equipment_failure
ZA00032,W082,Z12,2024-01-05 15:22:33,2024-01-05 17:33:40,overflow
ZA00033,W012,Z02,2024-01-05 09:14:16,2024-01-05 10:30:12,absence_cover
ZA00034,W071,Z11,2024-01-05 08:13:09,2024-01-05 10:37:03,equipment_failure
ZA00035,W008,Z02,2024-01-05 07:03:51,2024-01-05 08:11:49,equipment_failure
ZA00036,W019,Z01,2024-01-05 23:42:28,2024-01-06 00:52:52,absence_cover
ZA00037,W052,Z10,2024-01-05 22:25:16,2024-01-06 00:44:37,training
ZA00038,W044,Z12,2024-01-06 22:32:20,2024-01-06 23:55:40,absence_cover
ZA00039,W088,Z02,2024-01-06 22:31:07,2024-01-06 23:52:39,equipment_failure
ZA00040,W017,Z12,2024-01-06 06:34:40,2024-01-06 07:31:21,absence_cover
ZA00041,W076,Z01,2024-01-07 00:21:21,2024-01-07 01:52:52,training
ZA00042,W005,Z08,2024-01-06 23:16:24,2024-01-07 01:41:40,coverage
ZA00043,W052,Z08,2024-01-07 01:34:05,2024-01-07 03:23:25,absence_cover
ZA00044,W027,Z12,2024-01-06 15:04:44,2024-01-06 17:27:28,training
ZA00045,W039,Z03,2024-01-06 07:30:30,2024-01-06 09:06:20,training
ZA00046,W134,Z03,2024-01-07 08:52:04,2024-01-07 10:54:56,equipment_failure
ZA00047,W034,Z12,2024-01-07 23:55:17,2024-01-08 01:36:50,absence_cover
ZA00048,W043,Z11,2024-01-07 17:31:44,2024-01-07 19:08:45,equipment_failure
ZA00049,W070,Z09,2024-01-07 08:33:03,2024-01-07 09:40:21,training
ZA00050,W069,Z08,2024-01-07 08:18:26,2024-01-07 09:22:08,equipment_failure
ZA00051,W062,Z05,2024-01-07 23:38:51,2024-01-08 01:10:57,absence_cover
ZA00052,W055,Z04,2024-01-07 08:39:15,2024-01-07 09:32:48,coverage
ZA00053,W098,Z06,2024-01-07 06:34:02,2024-01-07 07:24:30,training
ZA00054,W144,Z04,2024-01-07 07:37:38,2024-01-07 08:43:47,training
ZA00055,W004,Z11,2024-01-09 00:54:55,2024-01-09 03:06:34,equipment_failure
ZA00056,W127,Z12,2024-01-08 07:06:26,2024-01-08 08:56:01,training
ZA00057,W007,Z07,2024-01-08 07:49:28,2024-01-08 08:55:31,coverage
ZA00058,W079,Z09,2024-01-09 00:20:23,2024-01-09 02:22:47,absence_cover
ZA00059,W072,Z04,2024-01-09 01:05:04,2024-01-09 02:21:47,training
ZA00060,W073,Z05,2024-01-08 06:57:51,2024-01-08 09:20:41,absence_cover
ZA00061,W034,Z05,2024-01-09 01:32:12,2024-01-09 02:47:13,absence_cover
ZA00062,W086,Z05,2024-01-08 22:42:47,2024-01-09 00:42:12,equipment_failure
ZA00063,W011,Z05,2024-01-09 07:26:06,2024-01-09 09:30:45,equipment_failure
ZA00064,W038,Z01,2024-01-09 22:32:11,2024-01-10 00:05:23,equipment_failure
ZA00065,W085,Z04,2024-01-09 07:33:10,2024-01-09 09:25:38,coverage
ZA00066,W142,Z05,2024-01-09 08:41:11,2024-01-09 11:05:48,training
ZA00067,W084,Z09,2024-01-09 15:36:08,2024-01-09 16:34:41,equipment_failure
ZA00068,W095,Z04,2024-01-09 17:35:07,2024-01-09 19:19:59,training
ZA00069,W106,Z12,2024-01-10 01:32:40,2024-01-10 03:44:53,training
ZA00070,W051,Z09,2024-01-09 15:55:57,2024-01-09 16:50:15,coverage
ZA00071,W007,Z02,2024-01-10 07:31:05,2024-01-10 09:29:30,absence_cover
ZA00072,W071,Z04,2024-01-10 08:49:23,2024-01-10 10:00:47,training
ZA00073,W034,Z04,2024-01-11 00:29:49,2024-01-11 01:25:37,absence_cover
ZA00074,W079,Z12,2024-01-10 23:08:24,2024-01-11 00:06:16,equipment_failure
ZA00075,W008,Z06,2024-01-10 07:10:58,2024-01-10 08:13:21,training
ZA00076,W148,Z10,2024-01-10 16:49:15,2024-01-10 19:10:22,equipment_failure
ZA00077,W023,Z06,2024-01-11 01:25:57,2024-01-11 02:52:02,training
ZA00078,W010,Z10,2024-01-10 17:14:55,2024-01-10 18:09:31,absence_cover
ZA00079,W078,Z06,2024-01-11 08:14:23,2024-01-11 10:02:57,training
ZA00080,W030,Z05,2024-01-11 07:48:10,2024-01-11 08:35:32,absence_cover
ZA00081,W049,Z05,2024-01-11 07:21:41,2024-01-11 08:07:12,overflow
ZA00082,W065,Z03,2024-01-12 01:03:46,2024-01-12 03:33:39,overflow
ZA00083,W033,Z06,2024-01-11 07:13:40,2024-01-11 09:19:41,coverage
ZA00084,W020,Z09,2024-01-12 01:19:18,2024-01-12 02:34:35,overflow
ZA00085,W073,Z05,2024-01-11 08:34:52,2024-01-11 09:46:02,overflow
ZA00086,W015,Z08,2024-01-11 06:40:48,2024-01-11 08:26:25,absence_cover
ZA00087,W104,Z11,2024-01-12 15:25:08,2024-01-12 17:40:41,equipment_failure
ZA00088,W070,Z11,2024-01-12 09:23:42,2024-01-12 10:27:19,absence_cover
ZA00089,W087,Z02,2024-01-12 22:42:06,2024-01-12 23:48:08,overflow
ZA00090,W133,Z06,2024-01-12 07:46:10,2024-01-12 09:04:35,overflow
ZA00091,W135,Z06,2024-01-12 16:22:43,2024-01-12 17:56:31,overflow
ZA00092,W033,Z05,2024-01-12 06:24:19,2024-01-12 08:27:59,coverage
ZA00093,W132,Z10,2024-01-12 15:30:25,2024-01-12 17:25:07,overflow
ZA00094,W041,Z06,2024-01-12 17:09:18,2024-01-12 18:05:43,coverage
ZA00095,W075,Z01,2024-01-14 00:21:04,2024-01-14 02:43:57,equipment_failure
ZA00096,W027,Z06,2024-01-13 14:38:07,2024-01-13 16:26:46,overflow
ZA00097,W028,Z12,2024-01-13 06:56:21,2024-01-13 08:26:11,training
ZA00098,W061,Z02,2024-01-13 16:50:03,2024-01-13 19:03:25,coverage
ZA00099,W036,Z11,2024-01-13 17:28:15,2024-01-13 19:37:38,absence_cover
ZA00100,W096,Z08,2024-01-13 17:16:08,2024-01-13 18:10:39,training
ZA00101,W069,Z09,2024-01-14 00:46:21,2024-01-14 02:44:30,absence_cover
ZA00102,W078,Z03,2024-01-13 06:31:15,2024-01-13 07:51:33,coverage
ZA00103,W146,Z05,2024-01-14 23:35:29,2024-01-15 01:28:26,training
ZA00104,W117,Z02,2024-01-14 16:03:17,2024-01-14 18:26:42,coverage
ZA00105,W110,Z07,2024-01-14 06:39:39,2024-01-14 08:26:54,training
ZA00106,W005,Z02,2024-01-14 22:37:36,2024-01-15 00:52:49,equipment_failure
ZA00107,W012,Z12,2024-01-14 07:40:57,2024-01-14 08:55:19,coverage
ZA00108,W042,Z03,2024-01-14 15:24:40,2024-01-14 16:22:07,overflow
ZA00109,W092,Z11,2024-01-14 06:55:41,2024-01-14 08:21:02,absence_cover
ZA00110,W009,Z02,2024-01-14 06:29:43,2024-01-14 08:07:52,overflow
ZA00111,W052,Z03,2024-01-15 23:06:31,2024-01-16 00:49:18,equipment_failure
ZA00112,W090,Z07,2024-01-15 22:44:59,2024-01-15 23:57:00,equipment_failure
ZA00113,W132,Z11,2024-01-15 17:03:43,2024-01-15 19:33:08,equipment_failure
ZA00114,W067,Z04,2024-01-15 15:25:15,2024-01-15 16:59:53,equipment_failure
ZA00115,W110,Z07,2024-01-15 07:55:45,2024-01-15 09:18:22,training
ZA00116,W014,Z08,2024-01-15 07:10:01,2024-01-15 09:02:31,absence_cover
ZA00117,W093,Z11,2024-01-15 15:18:53,2024-01-15 16:51:04,training
ZA00118,W138,Z05,2024-01-15 23:42:53,2024-01-16 01:46:18,equipment_failure
ZA00119,W142,Z11,2024-01-16 09:06:08,2024-01-16 09:53:26,coverage
ZA00120,W047,Z11,2024-01-16 08:07:09,2024-01-16 09:04:10,coverage
ZA00121,W065,Z05,2024-01-16 22:44:25,2024-01-17 00:05:02,overflow
ZA00122,W069,Z06,2024-01-16 06:30:06,2024-01-16 08:52:41,coverage
ZA00123,W045,Z03,2024-01-16 16:35:54,2024-01-16 18:28:40,overflow
ZA00124,W062,Z03,2024-01-16 22:54:08,2024-01-17 01:08:28,equipment_failure
ZA00125,W030,Z02,2024-01-16 07:02:34,2024-01-16 08:15:14,overflow
ZA00126,W131,Z01,2024-01-16 09:15:25,2024-01-16 11:06:03,training
ZA00127,W045,Z09,2024-01-17 16:37:14,2024-01-17 19:04:21,equipment_failure
ZA00128,W054,Z09,2024-01-17 15:41:59,2024-01-17 16:55:46,absence_cover
ZA00129,W143,Z01,2024-01-17 07:15:04,2024-01-17 08:20:57,overflow
ZA00130,W027,Z06,2024-01-17 17:12:23,2024-01-17 18:27:39,absence_cover
ZA00131,W001,Z09,2024-01-17 06:39:07,2024-01-17 08:45:29,coverage
ZA00132,W132,Z12,2024-01-17 17:37:46,2024-01-17 19:43:15,overflow
ZA00133,W102,Z05,2024-01-17 15:27:12,2024-01-17 16:30:20,equipment_failure
ZA00134,W115,Z12,2024-01-18 16:57:03,2024-01-18 18:51:41,overflow
ZA00135,W071,Z07,2024-01-18 07:12:30,2024-01-18 09:36:59,coverage
ZA00136,W034,Z10,2024-01-19 00:10:50,2024-01-19 01:57:58,overflow
ZA00137,W120,Z11,2024-01-18 15:41:22,2024-01-18 16:47:55,overflow
ZA00138,W056,Z05,2024-01-18 16:07:41,2024-01-18 17:36:50,overflow
ZA00139,W068,Z02,2024-01-18 07:05:13,2024-01-18 07:52:15,coverage
ZA00140,W038,Z03,2024-01-19 01:22:10,2024-01-19 03:45:01,absence_cover
ZA00141,W052,Z11,2024-01-18 22:36:00,2024-01-18 23:51:49,equipment_failure
ZA00142,W036,Z06,2024-01-19 16:38:17,2024-01-19 18:31:08,training
ZA00143,W002,Z02,2024-01-19 07:44:57,2024-01-19 09:03:52,training
ZA00144,W061,Z05,2024-01-19 17:39:05,2024-01-19 18:35:43,training
ZA00145,W047,Z06,2024-01-19 09:07:39,2024-01-19 10:33:05,equipment_failure
ZA00146,W057,Z10,2024-01-19 14:23:30,2024-01-19 16:32:22,training
ZA00147,W026,Z08,2024-01-20 01:37:18,2024-01-20 03:49:26,coverage
ZA00148,W010,Z11,2024-01-19 16:25:27,2024-01-19 18:28:41,coverage
ZA00149,W109,Z08,2024-01-19 23:08:06,2024-01-20 00:22:17,absence_cover
ZA00150,W005,Z11,2024-01-21 01:11:09,2024-01-21 02:58:09,absence_cover
ZA00151,W142,Z01,2024-01-20 23:43:20,2024-01-21 01:34:37,coverage
ZA00152,W102,Z04,2024-01-20 15:35:14,2024-01-20 17:54:49,equipment_failure
ZA00153,W060,Z11,2024-01-20 07:27:05,2024-01-20 08:28:55,coverage
ZA00154,W031,Z12,2024-01-20 06:57:24,2024-01-20 09:19:27,absence_cover
ZA00155,W002,Z11,2024-01-20 07:18:07,2024-01-20 09:45:43,coverage
ZA00156,W064,Z04,2024-01-20 06:27:59,2024-01-20 07:18:10,training
ZA00157,W007,Z10,2024-01-20 08:59:48,2024-01-20 10:27:16,training
ZA00158,W009,Z05,2024-01-21 08:36:40,2024-01-21 10:23:54,overflow
ZA00159,W149,Z11,2024-01-22 00:43:43,2024-01-22 02:23:53,training
ZA00160,W013,Z12,2024-01-21 16:41:21,2024-01-21 18:26:11,training
ZA00161,W059,Z02,2024-01-21 15:39:28,2024-01-21 17:37:45,training
ZA00162,W091,Z07,2024-01-21 14:53:24,2024-01-21 16:06:32,training
ZA00163,W105,Z07,2024-01-21 14:52:23,2024-01-21 17:05:36,absence_cover
ZA00164,W102,Z12,2024-01-21 16:32:00,2024-01-21 17:17:10,coverage
ZA00165,W067,Z03,2024-01-21 17:00:45,2024-01-21 18:14:39,absence_cover
ZA00166,W017,Z08,2024-01-22 06:31:06,2024-01-22 07:24:33,training
ZA00167,W022,Z05,2024-01-22 08:12:13,2024-01-22 09:16:21,training
ZA00168,W027,Z10,2024-01-22 16:34:01,2024-01-22 18:48:51,coverage
ZA00169,W069,Z09,2024-01-22 07:43:03,2024-01-22 09:59:32,coverage
ZA00170,W014,Z06,2024-01-22 06:55:49,2024-01-22 08:48:07,absence_cover
ZA00171,W043,Z07,2024-01-22 17:20:41,2024-01-22 19:03:26,coverage
ZA00172,W143,Z08,2024-01-22 08:59:35,2024-01-22 10:48:06,equipment_failure
ZA00173,W070,Z01,2024-01-22 06:42:17,2024-01-22 09:03:48,equipment_failure
ZA00174,W037,Z09,2024-01-22 14:51:16,2024-01-22 16:58:42,training
ZA00175,W134,Z01,2024-01-23 06:46:02,2024-01-23 08:22:25,overflow
ZA00176,W028,Z10,2024-01-23 08:16:59,2024-01-23 10:12:53,absence_cover
ZA00177,W141,Z11,2024-01-23 16:43:07,2024-01-23 17:33:54,training
ZA00178,W083,Z11,2024-01-23 23:27:03,2024-01-24 01:22:12,training
ZA00179,W143,Z01,2024-01-23 07:45:29,2024-01-23 09:17:22,overflow
ZA00180,W010,Z06,2024-01-23 14:49:50,2024-01-23 16:37:53,equipment_failure
ZA00181,W058,Z03,2024-01-23 07:24:34,2024-01-23 08:21:29,absence_cover
ZA00182,W027,Z09,2024-01-23 15:58:41,2024-01-23 17:25:54,training
ZA00183,W001,Z02,2024-01-24 08:24:54,2024-01-24 09:33:56,coverage
ZA00184,W084,Z12,2024-01-24 14:47:07,2024-01-24 16:08:04,equipment_failure
ZA00185,W142,Z05,2024-01-24 09:24:05,2024-01-24 10:31:33,overflow
ZA00186,W070,Z06,2024-01-24 07:29:34,2024-01-24 09:36:56,equipment_failure
ZA00187,W045,Z01,2024-01-24 16:53:42,2024-01-24 18:20:10,equipment_failure
ZA00188,W122,Z08,2024-01-25 01:06:57,2024-01-25 03:10:27,coverage
ZA00189,W044,Z05,2024-01-24 23:21:20,2024-01-25 01:11:30,coverage
ZA00190,W008,Z09,2024-01-24 07:15:01,2024-01-24 08:54:45,coverage
ZA00191,W057,Z12,2024-01-25 15:45:48,2024-01-25 17:20:50,overflow
ZA00192,W068,Z08,2024-01-25 09:26:21,2024-01-25 11:34:34,absence_cover
ZA00193,W054,Z10,2024-01-25 16:14:41,2024-01-25 17:05:06,absence_cover
ZA00194,W052,Z08,2024-01-25 22:39:31,2024-01-26 00:31:41,training
ZA00195,W149,Z09,2024-01-26 01:29:15,2024-01-26 02:19:21,overflow
ZA00196,W147,Z09,2024-01-26 01:38:24,2024-01-26 03:12:50,equipment_failure
ZA00197,W042,Z03,2024-01-25 15:47:33,2024-01-25 17:44:10,training
ZA00198,W013,Z04,2024-01-25 09:30:35,2024-01-25 10:37:01,equipment_failure
ZA00199,W017,Z10,2024-01-26 09:33:10,2024-01-26 10:31:12,overflow
ZA00200,W057,Z03,2024-01-26 16:59:06,2024-01-26 18:57:58,absence_cover
ZA00201,W011,Z07,2024-01-26 07:53:45,2024-01-26 09:36:11,absence_cover
ZA00202,W058,Z09,2024-01-26 09:30:51,2024-01-26 11:36:14,absence_cover
ZA00203,W014,Z01,2024-01-26 09:33:56,2024-01-26 10:30:51,absence_cover
ZA00204,W056,Z05,2024-01-26 15:39:02,2024-01-26 16:50:09,equipment_failure
ZA00205,W087,Z11,2024-01-26 23:25:08,2024-01-27 01:51:40,training
ZA00206,W067,Z03,2024-01-26 16:20:26,2024-01-26 18:32:59,training
ZA00207,W038,Z10,2024-01-27 22:19:50,2024-01-27 23:59:39,training
ZA00208,W093,Z07,2024-01-27 17:29:38,2024-01-27 18:50:30,absence_cover
ZA00209,W145,Z10,2024-01-27 16:01:15,2024-01-27 17:17:44,equipment_failure
ZA00210,W087,Z08,2024-01-28 00:37:29,2024-01-28 01:23:25,training
ZA00211,W089,Z07,2024-01-28 00:10:13,2024-01-28 01:06:56,overflow
ZA00212,W012,Z05,2024-01-27 07:47:39,2024-01-27 09:25:36,equipment_failure
ZA00213,W051,Z08,2024-01-27 15:36:17,2024-01-27 16:26:36,overflow
ZA00214,W129,Z08,2024-01-29 00:12:11,2024-01-29 01:23:30,coverage
ZA00215,W147,Z07,2024-01-28 23:58:57,2024-01-29 00:53:28,training
ZA00216,W005,Z07,2024-01-28 23:02:20,2024-01-29 00:51:59,training
ZA00217,W012,Z12,2024-01-28 09:31:25,2024-01-28 11:59:25,overflow
ZA00218,W045,Z09,2024-01-28 14:41:41,2024-01-28 16:27:34,coverage
ZA00219,W081,Z03,2024-01-28 17:21:41,2024-01-28 18:48:36,equipment_failure
ZA00220,W070,Z11,2024-01-28 09:04:52,2024-01-28 10:04:49,absence_cover
ZA00221,W143,Z02,2024-01-29 09:34:18,2024-01-29 11:26:50,training
ZA00222,W020,Z02,2024-01-30 00:31:06,2024-01-30 02:17:06,equipment_failure
ZA00223,W145,Z08,2024-01-29 17:15:32,2024-01-29 18:32:57,coverage
ZA00224,W064,Z04,2024-01-29 07:06:40,2024-01-29 08:47:46,training
ZA00225,W049,Z12,2024-01-29 09:31:51,2024-01-29 12:00:03,overflow
ZA00226,W044,Z02,2024-01-29 14:38:03,2024-01-29 15:28:05,training
ZA00227,W086,Z05,2024-01-30 01:08:12,2024-01-30 03:00:43,absence_cover
ZA00228,W095,Z11,2024-01-29 16:21:03,2024-01-29 18:19:28,training
ZA00229,W013,Z12,2024-01-30 14:23:12,2024-01-30 15:51:18,coverage
ZA00230,W069,Z07,2024-01-30 08:05:28,2024-01-30 09:59:39,equipment_failure
ZA00231,W050,Z08,2024-01-30 16:19:33,2024-01-30 18:23:53,absence_cover
ZA00232,W120,Z11,2024-01-30 16:13:01,2024-01-30 18:04:25,training
ZA00233,W003,Z09,2024-01-30 14:30:58,2024-01-30 16:22:50,coverage
ZA00234,W020,Z10,2024-01-31 00:06:12,2024-01-31 01:34:36,coverage
ZA00235,W072,Z05,2024-01-31 00:42:08,2024-01-31 01:27:21,absence_cover
ZA00236,W068,Z04,2024-01-30 08:52:54,2024-01-30 11:11:00,coverage
ZA00237,W104,Z08,2024-01-31 14:44:10,2024-01-31 16:06:23,coverage
ZA00238,W101,Z12,2024-01-31 09:07:33,2024-01-31 09:59:04,coverage
ZA00239,W061,Z08,2024-01-31 15:03:53,2024-01-31 17:13:29,overflow
ZA00240,W003,Z05,2024-01-31 15:30:23,2024-01-31 16:50:59,coverage
ZA00241,W146,Z01,2024-01-31 23:36:04,2024-02-01 02:02:36,absence_cover
ZA00242,W145,Z01,2024-01-31 14:46:00,2024-01-31 16:09:33,absence_cover
ZA00243,W082,Z07,2024-01-31 23:43:01,2024-02-01 02:10:49,absence_cover
ZA00244,W128,Z08,2024-01-31 15:20:13,2024-01-31 17:44:20,overflow
ZA00245,W117,Z04,2024-02-01 15:35:24,2024-02-01 17:08:20,equipment_failure
ZA00246,W121,Z08,2024-02-01 08:43:50,2024-02-01 10:19:15,equipment_failure
ZA00247,W064,Z12,2024-02-01 06:56:25,2024-02-01 09:09:34,overflow
ZA00248,W091,Z04,2024-02-01 15:11:14,2024-02-01 17:26:15,overflow
ZA00249,W112,Z02,2024-02-01 09:30:15,2024-02-01 11:11:17,equipment_failure
ZA00250,W076,Z07,2024-02-01 22:55:17,2024-02-01 23:57:22,equipment_failure
ZA00251,W039,Z12,2024-02-01 09:07:53,2024-02-01 10:22:40,overflow
ZA00252,W029,Z09,2024-02-01 08:05:09,2024-02-01 10:12:29,equipment_failure
ZA00253,W023,Z03,2024-02-02 14:43:37,2024-02-02 16:14:07,overflow
ZA00254,W060,Z09,2024-02-02 08:41:16,2024-02-02 10:26:37,absence_cover
ZA00255,W059,Z09,2024-02-02 15:51:35,2024-02-02 17:13:37,absence_cover
ZA00256,W100,Z12,2024-02-02 22:28:55,2024-02-03 00:17:29,coverage
ZA00257,W007,Z09,2024-02-02 06:30:28,2024-02-02 08:10:12,absence_cover
ZA00258,W041,Z12,2024-02-02 22:51:04,2024-02-02 23:40:16,equipment_failure
ZA00259,W052,Z04,2024-02-02 23:56:48,2024-02-03 01:13:55,coverage
ZA00260,W123,Z09,2024-02-03 16:06:24,2024-02-03 17:08:36,absence_cover
ZA00261,W051,Z11,2024-02-03 17:29:22,2024-02-03 18:15:50,absence_cover
ZA00262,W037,Z12,2024-02-03 14:48:37,2024-02-03 16:48:17,training
ZA00263,W080,Z05,2024-02-03 17:32:03,2024-02-03 18:21:51,training
ZA00264,W116,Z06,2024-02-03 14:15:29,2024-02-03 15:59:07,overflow
ZA00265,W097,Z08,2024-02-03 23:38:51,2024-02-04 00:45:20,training
ZA00266,W130,Z02,2024-02-03 06:53:36,2024-02-03 09:08:10,overflow
ZA00267,W014,Z07,2024-02-03 06:41:36,2024-02-03 08:39:36,equipment_failure
ZA00268,W144,Z06,2024-02-04 09:03:00,2024-02-04 09:50:20,equipment_failure
ZA00269,W055,Z05,2024-02-04 08:48:44,2024-02-04 10:45:29,absence_cover
ZA00270,W143,Z01,2024-02-04 08:18:22,2024-02-04 09:11:42,training
ZA00271,W089,Z05,2024-02-05 01:16:34,2024-02-05 03:36:57,coverage
ZA00272,W013,Z11,2024-02-04 15:28:08,2024-02-04 16:48:27,coverage
ZA00273,W085,Z11,2024-02-04 08:04:05,2024-02-04 10:21:01,training
ZA00274,W073,Z06,2024-02-04 09:20:50,2024-02-04 10:32:01,overflow
ZA00275,W107,Z11,2024-02-04 16:03:39,2024-02-04 17:26:55,absence_cover
ZA00276,W040,Z04,2024-02-05 07:05:41,2024-02-05 07:50:59,overflow
ZA00277,W039,Z11,2024-02-05 07:20:26,2024-02-05 08:39:53,absence_cover
ZA00278,W078,Z11,2024-02-05 08:26:11,2024-02-05 10:18:48,overflow
ZA00279,W089,Z12,2024-02-06 01:30:03,2024-02-06 03:24:41,coverage
ZA00280,W019,Z11,2024-02-05 22:55:45,2024-02-06 00:42:40,coverage
ZA00281,W092,Z05,2024-02-05 06:44:17,2024-02-05 07:45:27,training
ZA00282,W064,Z01,2024-02-05 09:28:00,2024-02-05 10:31:45,equipment_failure
ZA00283,W050,Z07,2024-02-05 16:01:06,2024-02-05 18:21:22,overflow
ZA00284,W116,Z03,2024-02-05 16:18:09,2024-02-05 17:51:24,absence_cover
ZA00285,W143,Z07,2024-02-06 07:20:05,2024-02-06 08:18:18,training
ZA00286,W067,Z03,2024-02-06 17:11:43,2024-02-06 19:21:01,overflow
ZA00287,W099,Z04,2024-02-06 09:15:08,2024-02-06 11:21:28,equipment_failure
ZA00288,W073,Z07,2024-02-06 07:52:41,2024-02-06 08:58:02,equipment_failure
ZA00289,W145,Z10,2024-02-06 17:22:06,2024-02-06 18:28:33,absence_cover
ZA00290,W025,Z04,2024-02-06 07:52:17,2024-02-06 09:46:27,absence_cover
ZA00291,W136,Z08,2024-02-06 17:06:38,2024-02-06 19:20:14,absence_cover
ZA00292,W039,Z07,2024-02-06 07:33:31,2024-02-06 08:31:19,coverage
ZA00293,W119,Z09,2024-02-07 08:05:06,2024-02-07 10:21:46,coverage
ZA00294,W042,Z03,2024-02-07 15:09:11,2024-02-07 16:50:41,overflow
ZA00295,W012,Z12,2024-02-07 06:43:40,2024-02-07 08:46:42,training
ZA00296,W094,Z10,2024-02-07 08:12:21,2024-02-07 10:15:01,absence_cover
ZA00297,W056,Z02,2024-02-07 15:14:32,2024-02-07 17:10:34,training
ZA00298,W011,Z01,2024-02-07 07:02:54,2024-02-07 08:31:55,absence_cover
ZA00299,W033,Z10,2024-02-07 09:03:56,2024-02-07 10:42:38,coverage
ZA00300,W095,Z08,2024-02-08 17:16:39,2024-02-08 19:27:26,absence_cover
ZA00301,W069,Z12,2024-02-08 08:13:52,2024-02-08 09:34:35,absence_cover
ZA00302,W049,Z11,2024-02-08 08:50:39,2024-02-08 10:54:27,training
ZA00303,W121,Z12,2024-02-08 08:02:20,2024-02-08 09:01:45,absence_cover
ZA00304,W015,Z02,2024-02-08 07:14:30,2024-02-08 08:49:47,overflow
ZA00305,W133,Z09,2024-02-08 09:31:13,2024-02-08 11:37:28,coverage
ZA00306,W003,Z10,2024-02-08 16:51:54,2024-02-08 17:58:21,equipment_failure
ZA00307,W029,Z06,2024-02-08 06:41:14,2024-02-08 09:08:18,equipment_failure
ZA00308,W066,Z04,2024-02-09 07:22:45,2024-02-09 09:16:33,coverage
ZA00309,W013,Z12,2024-02-09 16:47:48,2024-02-09 18:27:41,training
ZA00310,W146,Z05,2024-02-09 22:47:14,2024-02-10 00:07:29,training
ZA00311,W052,Z03,2024-02-10 01:22:26,2024-02-10 03:06:01,overflow
ZA00312,W107,Z01,2024-02-09 17:22:16,2024-02-09 18:24:14,coverage
ZA00313,W002,Z06,2024-02-09 06:30:30,2024-02-09 08:24:45,training
ZA00314,W070,Z02,2024-02-09 07:12:13,2024-02-09 08:57:15,coverage
ZA00315,W112,Z04,2024-02-09 07:38:53,2024-02-09 08:50:03,equipment_failure
ZA00316,W149,Z04,2024-02-10 22:44:07,2024-02-11 00:27:06,training
ZA00317,W107,Z08,2024-02-10 14:32:35,2024-02-10 16:33:00,absence_cover
ZA00318,W059,Z12,2024-02-10 23:09:11,2024-02-11 00:09:03,equipment_failure
ZA00319,W118,Z07,2024-02-10 09:08:39,2024-02-10 11:28:20,equipment_failure
ZA00320,W082,Z04,2024-02-10 14:43:04,2024-02-10 17:07:58,training
