sku_id,sku_name,category,weight_kg,uom
SKU0488,Product 0488,Toys,15.17,each
SKU0489,Product 0489,Automotive,19.77,each
SKU0490,Product 0490,Toys,20.89,pallet
SKU0491,Product 0491,Health & Beauty,0.18,case
SKU0492,Product 0492,Automotive,5.69,each
SKU0493,Product 0493,Automotive,43.15,each
SKU0494,Product 0494,Toys,0.16,case
SKU0495,Product 0495,Home & Garden,25.46,case
SKU0496,Product 0496,Sporting Goods,24.53,each
SKU0497,Product 0497,Electronics,16.72,case
SKU0498,Product 0498,Home & Garden,21.62,pallet
SKU0499,Product 0499,Health & Beauty,39.05,each
SKU0500,Product 0500,Sporting Goods,42.08,each
