SKU,Product_Name,Category,Condition,Launch_Date,Inventory_Qty,Unit_Volume,Unit_Margin,Requires_Base_SKU,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12
AUD144,Eartip Pack 4,Audio,New,2024-07-16,545,1.33,17.8,AUD129,9,13,9,6,13,15,11,4,13,5,12,8
AUD145,Eartip Pack 5,Audio,Damaged,2024-07-27,1119,0.95,14.87,AUD130,0,0,4,3,2,2,1,3,2,0,2,2
AUD146,Eartip Pack 6,Audio,New,2024-07-17,476,0.96,15.01,AUD131,8,2,3,6,10,6,7,9,11,5,7,10
AUD147,Eartip Pack 7,Audio,New,2024-07-19,675,1.24,19.66,AUD132,0,15,2,3,4,3,3,3,2,3,4,5
AUD148,Eartip Pack 8,Audio,New,2024-07-04,1261,0.47,3.17,AUD133,0,0,0,13,15,17,22,14,8,7,11,10
AUD149,Eartip Pack 9,Audio,New,2024-07-13,2577,0.29,14.39,AUD136,1,1,2,2,1,2,0,2,2,1,3,1
AUD150,Eartip Pack 10,Audio,New,2024-07-26,1921,0.83,11.61,AUD137,0,0,0,1,2,0,2,0,2,3,11,0
CBL066,USB-C Cable 1,Cables,New,2024-08-06,1854,0.1,14.42,,0,0,0,20,2,1,2,1,1,2,3,5
CBL067,USB-C Cable 2,Cables,New,2024-08-09,1423,0.46,28.51,,0,0,0,0,2,1,1,3,2,2,2,3
CBL068,USB-C Cable 3,Cables,New,2024-08-07,1477,1.48,6.95,,0,0,0,29,31,30,27,27,27,17,28,16
CBL069,USB-C Cable 4,Cables,New,2024-08-13,609,2.26,19.23,,0,0,0,0,29,29,37,26,31,22,32,29
CBL070,USB-C Cable 5,Cables,New,2024-07-12,1618,1.85,29.52,,0,0,0,0,2,0,2,1,0,0,0,2
CBL071,USB-C Cable 6,Cables,New,2024-07-24,885,2.12,7.69,,0,3,5,5,4,5,4,3,4,4,4,5
CBL072,USB-C Cable 7,Cables,New,2024-07-06,1104,0.87,26.78,,0,0,0,0,15,30,27,17,17,13,10,18
CBL073,USB-C Cable 8,Cables,New,2024-07-18,990,1.61,15.95,,0,10,6,11,8,11,9,6,9,10,11,9
CBL074,USB-C Cable 9,Cables,New,2024-07-25,1107,0.67,22.16,,0,0,5,10,5,5,6,8,7,6,6,6
CBL075,USB-C Cable 10,Cables,New,2024-07-21,234,1.74,10.37,,0,23,10,19,16,12,20,38,28,38,527,34
CBL076,USB-C Cable 11,Cables,New,2024-07-17,1094,1.65,28.99,,5,4,6,7,5,6,7,7,9,8,5,9
CBL077,USB-C Cable 12,Cables,New,2024-07-04,970,2.6,32.92,,0,0,0,8,16,18,11,14,11,11,16,13
CBL078,USB-C Cable 13,Cables,New,2024-07-13,2134,0.66,21.44,,24,19,28,28,28,34,33,22,27,21,25,21
CBL079,USB-C Cable 14,Cables,New,2024-07-11,1402,2.1,30.42,,0,0,0,0,1,1,0,1,3,2,1,1
CBL080,USB-C Cable 15,Cables,New,2024-07-31,1731,2.71,33.87,,0,0,20,21,28,13,32,33,26,10,21,36
CBL081,USB-C Cable 16,Cables,New,2024-07-24,2568,2.36,12.82,,0,3,1,1,0,2,0,0,1,0,1,2
CBL082,USB-C Cable 17,Cables,New,2024-07-27,1295,1.02,7.0,,0,0,3,3,4,3,3,5,2,2,3,3
CBL083,USB-C Cable 18,Cables,New,2024-07-25,1494,2.0,13.35,,0,0,27,33,20,32,43,32,26,25,26,27
CBL084,USB-C Cable 19,Cables,Damaged,2024-07-27,2040,2.72,13.63,,0,0,0,1,3,30,3,0,2,2,0,2
CBL085,USB-C Cable 20,Cables,New,2024-07-04,1775,2.53,34.13,,0,0,0,0,6,21,22,13,23,30,17,25
CBL086,USB-C Cable 21,Cables,New,2024-07-25,300,0.51,10.38,,0,0,36,30,36,20,40,29,30,27,27,37
CBL087,Cable Splitter 1,Cables,New,2024-07-25,1453,1.29,15.59,CBL070,0,0,0,0,22,22,12,26,20,20,16,15
CBL088,Cable Splitter 2,Cables,New,2024-07-29,415,1.09,11.56,CBL071,0,0,6,6,4,3,4,2,5,5,4,1
CBL089,Cable Splitter 3,Cables,New,2024-07-25,1754,0.96,7.02,CBL072,0,0,13,20,17,11,10,11,14,11,10,17
CBL090,Cable Splitter 4,Cables,New,2024-07-04,612,1.07,16.78,CBL073,0,0,0,13,20,22,18,11,10,10,8,18
CBL091,Cable Splitter 5,Cables,New,2024-07-17,481,0.46,4.44,CBL074,15,26,20,20,18,19,21,13,22,10,19,18
CBL092,Cable Splitter 6,Cables,New,2024-07-22,1509,0.14,12.58,CBL075,0,9,17,9,12,12,20,16,13,16,5,14
CBL093,Cable Splitter 7,Cables,New,2024-07-23,1765,0.51,10.12,CBL076,0,1,0,2,0,0,0,0,0,0,0,2
CBL094,Cable Splitter 8,Cables,New,2024-07-26,126,0.67,14.5,CBL077,0,0,0,7,17,7,13,5,7,15,9,13
CBL095,Cable Splitter 9,Cables,New,2024-07-11,555,0.57,14.25,CBL078,0,0,0,7,3,5,5,5,3,5,5,7
CBL096,Cable Splitter 10,Cables,New,2024-07-12,1724,1.09,19.92,CBL079,0,0,0,0,0,1,1,0,1,1,1,1
CBL097,Cable Splitter 11,Cables,New,2024-07-26,2056,1.59,2.85,CBL080,0,0,0,0,0,9,0,0,0,0,2,0
CBL098,Cable Splitter 12,Cables,New,2024-07-26,915,1.11,23.63,CBL081,0,0,9,8,12,5,8,11,11,5,7,11
CBL099,Cable Splitter 13,Cables,New,2024-07-15,1453,0.45,8.03,CBL082,5,4,6,10,2,6,4,6,5,6,7,5
CBL100,Cable Splitter 14,Cables,New,2024-07-22,1017,1.39,8.73,CBL083,0,2,2,3,0,3,2,2,0,2,0,2
CHG031,Fast Charger 1,Chargers,New,2024-07-27,1477,1.57,17.37,,0,0,34,22,28,21,23,20,20,16,23,16
CHG032,Fast Charger 2,Chargers,New,2024-07-25,2668,0.23,12.7,,0,0,1,2,0,1,0,0,2,2,0,0
CHG033,Fast Charger 3,Chargers,New,2024-07-23,1055,0.93,25.32,,0,21,23,22,27,25,27,19,28,32,17,18
CHG034,Fast Charger 4,Chargers,New,2024-07-12,2179,1.15,6.48,,0,0,0,0,26,34,22,19,22,27,15,28
CHG035,Fast Charger 5,Chargers,New,2024-07-25,148,0.74,30.15,,0,0,20,209,20,22,16,24,24,23,24,22
CHG036,Fast Charger 6,Chargers,New,2024-07-18,1892,1.68,30.36,,0,0,0,9,11,13,12,9,14,14,11,10
CHG037,Fast Charger 7,Chargers,New,2024-07-25,1298,0.84,25.79,,0,0,13,28,27,19,23,8,15,19,15,24
CHG038,Fast Charger 8,Chargers,New,2024-07-25,1643,1.86,34.06,,0,0,33,46,19,21,28,27,38,33,18,36
CHG039,Fast Charger 9,Chargers,Damaged,2024-07-05,1522,2.26,32.67,,0,0,0,5,2,5,3,4,3,5,3,3
CHG040,Fast Charger 10,Chargers,Damaged,2024-07-06,815,1.77,30.6,,0,0,0,0,1,0,1,0,0,32,0,0
CHG041,Fast Charger 11,Chargers,New,2024-07-22,1596,1.16,12.52,,0,21,33,32,18,33,43,30,26,27,33,16
CHG042,Fast Charger 12,Chargers,New,2024-07-14,936,0.45,15.33,,4,3,2,3,4,3,1,3,2,3,33,1
CHG043,Fast Charger 13,Chargers,New,2024-07-23,2166,1.69,24.26,,0,7,12,11,16,11,11,10,12,12,13,9
CHG044,Fast Charger 14,Chargers,New,2024-07-19,1814,0.58,21.43,,0,4,4,4,4,5,2,3,3,2,3,3
CHG045,Fast Charger 15,Chargers,New,2024-07-25,1134,1.13,5.88,,0,0,1,2,2,2,2,2,1,2,2,1
CHG046,Fast Charger 16,Chargers,New,2024-07-23,1091,0.79,14.0,,0,5,7,12,9,10,6,6,9,9,10,8
CHG047,Fast Charger 17,Chargers,Damaged,2024-07-11,637,0.59,4.97,,4,4,2,1,3,4,5,4,3,2,3,3
CHG048,Fast Charger 18,Chargers,New,2024-07-29,1065,1.06,29.21,,0,0,13,12,14,13,13,13,12,6,11,9
CHG049,Fast Charger 19,Chargers,New,2024-07-20,1837,2.5,22.41,,0,0,0,5,4,5,5,3,5,5,7,6
CHG050,Fast Charger 20,Chargers,New,2024-07-19,383,1.54,23.28,,0,8,7,11,10,5,9,12,12,12,10,7
CHG051,Fast Charger 21,Chargers,New,2024-07-30,1227,1.62,27.51,,0,0,29,33,30,27,33,28,27,34,28,33
CHG052,Charge Dock 1,Chargers,New,2024-07-17,1238,1.38,22.08,CHG031,0,0,1,1,0,2,0,1,2,0,0,0
CHG053,Charge Dock 2,Chargers,New,2024-07-25,269,0.07,23.54,CHG032,0,0,11,7,8,8,14,9,6,9,6,6
CHG054,Charge Dock 3,Chargers,New,2024-07-20,902,0.29,17.06,CHG033,0,1,1,2,2,2,3,1,2,2,2,3
CHG055,Charge Dock 4,Chargers,New,2024-07-28,1244,0.2,7.55,CHG034,0,0,6,6,6,8,4,4,4,6,8,5
CHG056,Charge Dock 5,Chargers,New,2024-07-14,784,0.29,7.57,CHG035,5,3,3,4,2,4,4,3,5,3,6,3
CHG057,Charge Dock 6,Chargers,New,2024-07-12,1150,0.68,11.9,CHG036,7,7,7,6,7,2,5,4,5,4,5,8
CHG058,Charge Dock 7,Chargers,New,2024-07-25,714,0.23,22.95,CHG037,0,0,14,10,11,6,9,12,11,10,12,10
CHG059,Charge Dock 8,Chargers,New,2024-07-26,1222,1.58,20.0,CHG038,0,0,7,15,15,9,11,19,12,23,14,15
CHG060,Charge Dock 9,Chargers,New,2024-07-22,588,0.03,23.85,CHG039,0,4,7,6,5,5,6,7,4,4,7,5
CHG061,Charge Dock 10,Chargers,New,2024-07-27,993,0.31,16.92,CHG040,0,0,18,9,17,14,13,19,22,24,21,15
CHG062,Charge Dock 11,Chargers,New,2024-07-31,1332,0.69,16.24,CHG041,0,0,6,8,7,7,8,6,8,7,4,10
CHG063,Charge Dock 12,Chargers,New,2024-07-11,1652,0.23,8.05,CHG042,0,0,0,4,4,4,4,4,1,3,1,3
CHG064,Charge Dock 13,Chargers,New,2024-07-04,983,1.11,2.51,CHG043,0,0,0,8,10,6,10,9,5,10,9,8
CHG065,Charge Dock 14,Chargers,New,2024-07-24,1722,1.35,23.52,CHG044,0,13,14,24,8,20,14,15,14,15,13,20
CSE101,Protective Case 1,Cases,New,2024-07-26,615,1.66,16.25,,0,0,0,0,22,33,29,23,24,15,28,14
CSE102,Protective Case 2,Cases,New,2024-07-25,935,1.82,18.69,,0,0,0,26,33,32,34,26,31,19,33,35
CSE103,Protective Case 3,Cases,New,2024-07-20,1722,1.87,29.72,,0,0,1,1,3,1,2,1,2,2,3,1
CSE104,Protective Case 4,Cases,New,2024-07-20,584,2.49,10.69,,0,0,0,15,28,10,18,208,15,18,7,19
CSE105,Protective Case 5,Cases,New,2024-07-11,1110,0.63,31.53,,11,30,25,20,27,22,23,30,17,33,17,22
CSE106,Protective Case 6,Cases,Damaged,2024-07-25,591,2.33,21.99,,0,0,0,0,4,4,4,4,2,3,5,3
CSE107,Protective Case 7,Cases,New,2024-07-11,997,0.75,30.1,,13,9,10,12,10,14,9,9,9,10,14,13
CSE108,Protective Case 8,Cases,New,2024-07-21,1413,0.45,25.5,,0,18,16,16,21,15,27,170,37,19,22,15
CSE109,Protective Case 9,Cases,New,2024-07-28,2053,1.52,22.66,,0,0,29,24,9,18,28,31,30,14,26,30
CSE110,Protective Case 10,Cases,Damaged,2024-07-16,1485,1.25,27.85,,0,0,0,0,0,1,0,0,1,0,1,0
CSE111,Protective Case 11,Cases,New,2024-07-17,1692,0.69,12.89,,9,8,10,11,10,8,4,10,11,10,7,10
CSE112,Protective Case 12,Cases,New,2024-07-31,2032,2.25,12.34,,0,0,12,13,11,12,10,15,8,9,11,13
CSE113,Protective Case 13,Cases,New,2024-07-28,1889,2.15,21.17,,0,0,2,1,2,1,2,2,1,1,3,2
CSE114,Protective Case 14,Cases,New,2024-07-27,915,2.26,31.68,,0,0,0,14,2,1,2,2,1,1,0,0
CSE115,Protective Case 15,Cases,New,2024-07-11,1147,1.06,10.96,,0,0,0,0,4,2,3,0,3,1,3,1
CSE116,Case Sleeve 1,Cases,New,2024-07-16,274,0.42,2.94,CSE101,2,5,4,3,4,6,5,4,6,3,5,5
CSE117,Case Sleeve 2,Cases,New,2024-07-11,1640,0.15,20.7,CSE102,1,9,15,10,6,8,15,5,15,11,7,9
CSE118,Case Sleeve 3,Cases,New,2024-07-16,1946,0.76,22.74,CSE103,2,1,0,0,0,0,1,0,0,0,0,0
CSE119,Case Sleeve 4,Cases,Damaged,2024-07-19,1271,1.21,8.27,CSE104,0,1,2,0,2,0,1,1,2,1,1,1
CSE120,Case Sleeve 5,Cases,New,2024-07-14,1991,0.72,11.12,CSE105,1,2,0,2,0,1,2,1,1,0,1,0
CSE121,Case Sleeve 6,Cases,Damaged,2024-07-30,1357,0.57,11.27,CSE106,0,0,1,1,1,2,1,1,1,0,0,3
CSE122,Case Sleeve 7,Cases,New,2024-07-18,1218,0.56,23.73,CSE107,0,2,2,0,3,2,1,3,1,1,0,2
CSE123,Case Sleeve 8,Cases,New,2024-07-04,1755,0.82,20.91,CSE108,0,0,0,0,10,2,9,7,12,7,10,7
CSE124,Case Sleeve 9,Cases,New,2024-07-19,885,1.09,7.8,CSE109,0,8,11,5,4,5,8,8,7,5,8,4
CSE125,Case Sleeve 10,Cases,New,2024-07-11,684,1.3,22.61,CSE110,9,8,6,17,12,13,10,11,14,11,13,11
HA001,Smart Hub 1,Home Automation,New,2024-07-17,1729,2.42,25.62,,10,15,13,15,12,18,17,15,19,16,11,16
HA002,Smart Hub 2,Home Automation,New,2024-07-15,695,2.14,14.99,,38,35,36,44,43,43,43,60,35,34,31,45
HA003,Smart Hub 3,Home Automation,New,2024-08-06,514,1.37,11.03,,0,0,0,36,35,26,33,32,32,37,32,36
HA004,Smart Hub 4,Home Automation,New,2024-07-15,1743,2.0,28.2,,21,23,34,19,31,14,23,26,28,29,30,23
HA005,Smart Hub 5,Home Automation,New,2024-07-18,1028,1.19,30.46,,0,14,21,19,22,17,19,21,17,21,15,17
HA006,Smart Hub 6,Home Automation,New,2024-07-14,1569,0.52,19.53,,18,19,16,15,16,9,10,11,12,18,13,15
HA007,Smart Hub 7,Home Automation,New,2024-08-04,2135,2.03,17.93,,0,0,0,15,18,24,11,22,21,17,13,20
HA008,Smart Hub 8,Home Automation,New,2024-08-05,762,1.67,24.15,,0,0,0,15,15,19,17,16,20,10,12,11
HA009,Smart Hub 9,Home Automation,New,2024-08-13,1328,1.69,4.71,,0,0,0,0,29,42,47,58,67,43,29,18
HA010,Smart Hub 10,Home Automation,New,2024-07-21,1253,1.27,4.67,,0,37,34,26,20,31,35,51,36,44,31,25
HA011,Smart Hub 11,Home Automation,New,2024-07-18,197,1.09,29.72,,0,27,43,38,33,34,29,38,31,24,24,36
HA012,Smart Hub 12,Home Automation,New,2024-08-07,584,1.49,13.79,,0,0,0,30,43,37,47,35,23,22,47,48
HA013,Smart Hub 13,Home Automation,New,2024-08-08,438,1.71,31.11,,0,0,0,0,14,20,16,17,17,19,24,18
HA014,Smart Hub 14,Home Automation,New,2024-08-04,736,1.97,22.01,,0,0,0,16,22,12,18,15,16,22,20,23
HA015,Smart Hub 15,Home Automation,New,2024-07-29,715,0.15,21.21,,0,0,22,30,31,48,44,23,28,19,25,32
HA016,Smart Hub 16,Home Automation,New,2024-07-16,641,0.71,20.45,,25,23,28,16,18,44,20,21,42,50,20,26
HA017,Smart Hub 17,Home Automation,New,2024-07-23,424,0.92,8.46,,0,42,34,37,25,36,35,40,33,42,47,39
HA018,Smart Hub 18,Home Automation,New,2024-07-24,1650,2.4,5.35,,0,29,26,24,19,14,12,22,18,19,10,21
HA019,Automation Add-on 1,Home Automation,New,2024-08-13,645,1.25,16.13,HA015,0,0,0,0,21,20,23,32,5,20,23,24
HA020,Automation Add-on 2,Home Automation,New,2024-07-13,380,0.4,10.09,HA002,13,14,10,13,20,17,22,20,17,22,17,18
HA021,Automation Add-on 3,Home Automation,New,2024-07-27,223,1.18,6.45,HA010,0,0,19,28,25,32,25,11,20,13,17,30
HA022,Automation Add-on 4,Home Automation,New,2024-08-07,1683,0.43,14.98,HA009,0,0,0,11,13,11,3,11,10,11,14,4
HA023,Automation Add-on 5,Home Automation,New,2024-08-08,1436,0.17,16.47,HA003,0,0,0,0,13,19,21,17,17,17,12,15
HA024,Automation Add-on 6,Home Automation,New,2024-07-17,246,0.72,10.43,HA006,16,16,22,26,21,30,27,26,25,36,20,8
HA025,Automation Add-on 7,Home Automation,New,2024-07-25,1025,0.74,20.16,HA009,0,0,7,10,15,15,14,8,4,14,11,15
HA026,Automation Add-on 8,Home Automation,New,2024-07-15,140,1.05,3.99,HA001,28,19,23,26,30,21,28,22,23,30,10,15
HA027,Automation Add-on 9,Home Automation,New,2024-07-18,516,1.29,22.41,HA018,0,29,31,21,31,23,16,18,12,16,20,27
HA028,Automation Add-on 10,Home Automation,New,2024-08-08,965,1.0,2.93,HA010,0,0,0,0,11,31,20,20,16,19,27,23
HA029,Automation Add-on 11,Home Automation,New,2024-07-31,522,0.5,14.72,HA016,0,0,19,27,23,20,23,33,33,21,22,27
HA030,Automation Add-on 12,Home Automation,New,2024-07-29,781,0.68,10.99,HA012,0,0,5,8,10,11,19,16,8,13,10,11
