return_id,order_id,return_date,refund_amount
RET-50068,ORD-13671,2026-01-15,43.81
RET-50069,ORD-12800,2026-01-14,400.45
RET-50070,ORD-15096,2025-11-23,425.12
RET-50071,ORD-16527,2025-12-28,420.92
RET-50072,ORD-10801,2025-12-22,93.22
RET-50073,ORD-14800,2025-12-25,79.45
RET-50074,ORD-11084,2025-12-12,473.47
RET-50075,ORD-11481,2025-11-22,77.7
RET-50076,ORD-13240,2025-12-15,219.57
RET-50077,ORD-13656,2026-01-02,183.4
RET-50078,ORD-10622,2025-12-26,197.83
RET-50079,ORD-15758,2025-12-16,230.13
RET-50080,ORD-11876,2025-12-22,303.37
RET-50081,ORD-10818,2026-01-16,46.29
RET-50082,ORD-13945,2025-12-12,27.96
RET-50083,ORD-13050,2025-12-31,118.56
RET-50084,ORD-11901,2025-11-29,22.51
RET-50085,ORD-15919,2026-01-02,301.19
RET-50086,ORD-13283,2025-12-19,443.63
RET-50087,ORD-11049,2025-12-08,30.21
RET-50088,ORD-17734,2026-01-12,62.04
RET-50089,ORD-13469,2025-12-24,101.47
RET-50090,ORD-17003,2025-12-04,388.05
RET-50091,ORD-17788,2025-12-29,31.71
RET-50092,ORD-12245,2025-11-16,270.29
RET-50093,ORD-13878,2025-12-24,287.38
RET-50094,ORD-12609,2025-11-28,50.09
RET-50095,ORD-11238,2025-11-23,484.73
RET-50096,ORD-15470,2025-11-07,349.87
RET-50097,ORD-16988,2025-12-17,95.54
RET-50098,ORD-14167,2026-01-10,65.58
RET-50099,ORD-15157,2025-11-09,383.1
RET-50100,ORD-17518,2025-12-21,397.75
RET-50101,ORD-13265,2025-12-07,53.14
RET-50102,ORD-12063,2025-12-31,240.44
RET-50103,ORD-13138,2025-12-20,270.3
RET-50104,ORD-10842,2025-12-26,105.46
RET-50105,ORD-17350,2025-12-26,178.07
RET-50106,ORD-17419,2025-12-16,362.78
RET-50107,ORD-11162,2025-12-08,180.86
RET-50108,ORD-15744,2025-11-07,98.54
RET-50109,ORD-10208,2025-12-22,22.43
RET-50110,ORD-17293,2025-11-28,256.54
RET-50111,ORD-15085,2025-12-11,262.36
RET-50112,ORD-13487,2025-12-30,44.95
RET-50113,ORD-10986,2026-01-05,350.43
RET-50114,ORD-13674,2025-11-14,311.99
RET-50115,ORD-16624,2026-01-19,412.81
RET-50116,ORD-16278,2025-12-12,424.97
RET-50117,ORD-11872,2025-11-28,262.81
RET-50118,ORD-10216,2025-11-18,176.19
RET-50119,ORD-10036,2026-01-16,166.21
RET-50120,ORD-14678,2025-11-24,346.0
RET-50121,ORD-14858,2025-11-24,460.47
RET-50122,ORD-11297,2025-11-25,70.19
RET-50123,ORD-15405,2025-12-25,449.87
RET-50124,ORD-16077,2025-12-31,281.17
RET-50125,ORD-17203,2025-12-08,74.05
RET-50126,ORD-14366,2025-12-10,58.45
RET-50127,ORD-17392,2025-12-11,408.92
RET-50128,ORD-12200,2025-12-23,488.86
RET-50129,ORD-12583,2026-01-08,235.69
RET-50130,ORD-11125,2025-12-20,284.41
RET-50131,ORD-12215,2025-12-14,166.28
RET-50132,ORD-10500,2025-11-29,355.12
RET-50133,ORD-11565,2025-12-16,223.39
RET-50134,ORD-11361,2025-12-28,121.12
RET-50135,ORD-15776,2025-12-17,320.84
RET-50136,ORD-10867,2025-12-07,107.33
RET-50137,ORD-10514,2025-12-26,41.7
RET-50138,ORD-12898,2025-11-29,224.11
RET-50139,ORD-15661,2025-12-25,70.71
RET-50140,ORD-11886,2025-11-20,24.48
RET-50141,ORD-17045,2025-12-10,203.87
RET-50142,ORD-12718,2025-11-16,426.59
RET-50143,ORD-12905,2025-11-11,46.22
RET-50144,ORD-10081,2025-12-27,319.18
RET-50145,ORD-12603,2025-12-29,172.44
RET-50146,ORD-10770,2026-01-06,73.1
RET-50147,ORD-12219,2025-12-13,74.04
RET-50148,ORD-11719,2025-12-07,134.81
RET-50149,ORD-15896,2026-01-02,459.12
RET-50150,ORD-16323,2025-12-15,192.52
RET-50151,ORD-11143,2025-12-11,291.55
RET-50152,ORD-10822,2025-12-27,180.08
RET-50153,ORD-14766,2025-12-16,431.61
RET-50154,ORD-15241,2025-12-05,221.95
RET-50155,ORD-10860,2025-11-30,392.25
RET-50156,ORD-12453,2025-12-29,186.69
RET-50157,ORD-11947,2026-01-07,90.78
RET-50158,ORD-15457,2025-11-30,207.64
RET-50159,ORD-16892,2026-01-03,466.4
RET-50160,ORD-10404,2026-01-12,173.62
RET-50161,ORD-14238,2025-11-19,357.01
RET-50162,ORD-16974,2026-01-08,282.38
RET-50163,ORD-13617,2025-12-03,425.66
RET-50164,ORD-13974,2025-12-19,150.32
RET-50165,ORD-17514,2025-12-29,312.54
RET-50166,ORD-14843,2025-12-12,40.69
RET-50167,ORD-13776,2026-01-09,414.07
RET-50168,ORD-15224,2025-12-19,211.99
RET-50169,ORD-11144,2025-12-31,148.17
RET-50170,ORD-12137,2026-01-08,371.12
RET-50171,ORD-13818,2026-01-05,413.93
RET-50172,ORD-14959,2025-11-25,379.7
RET-50173,ORD-17977,2025-12-08,383.59
RET-50174,ORD-11039,2025-11-14,171.34
RET-50175,ORD-13066,2026-01-12,27.25
RET-50176,ORD-15672,2025-12-28,327.41
RET-50177,ORD-16072,2025-12-02,101.05
RET-50178,ORD-12058,2025-12-13,332.47
RET-50179,ORD-17044,2025-12-03,467.67
RET-50180,ORD-11075,2025-12-19,225.33
RET-50181,ORD-11256,2025-11-21,116.25
RET-50182,ORD-17952,2025-11-26,309.45
RET-50183,ORD-10765,2025-12-02,293.55
RET-50184,ORD-14110,2025-12-05,290.68
RET-50185,ORD-14466,2026-01-14,83.84
RET-50186,ORD-11935,2025-11-16,406.39
RET-50187,ORD-15801,2026-01-12,68.07
RET-50188,ORD-16706,2026-01-15,466.36
RET-50189,ORD-12083,2025-11-22,456.43
RET-50190,ORD-15146,2025-12-20,331.37
RET-50191,ORD-16536,2025-11-14,341.27
RET-50192,ORD-15532,2026-01-03,351.99
RET-50193,ORD-12632,2025-11-19,22.09
RET-50194,ORD-15737,2025-11-19,147.73
RET-50195,ORD-17633,2025-11-22,492.13
RET-50196,ORD-14421,2025-12-03,479.23
RET-50197,ORD-16481,2025-11-23,251.6
RET-50198,ORD-10896,2025-11-22,160.71
RET-50199,ORD-14839,2026-01-15,151.51
RET-50200,ORD-11477,2026-01-08,385.9
RET-50201,ORD-16028,2025-11-28,365.6
RET-50202,ORD-17599,2025-11-29,154.92
RET-50203,ORD-17939,2025-12-30,248.17
RET-50204,ORD-10060,2025-11-24,206.57
RET-50205,ORD-12478,2025-12-28,79.91
RET-50206,ORD-16321,2025-11-19,264.56
RET-50207,ORD-14446,2025-12-02,106.83
RET-50208,ORD-13957,2025-11-20,221.42
RET-50209,ORD-14035,2025-12-10,494.44
RET-50210,ORD-10339,2025-12-09,66.96
RET-50211,ORD-13534,2025-12-23,131.6
RET-50212,ORD-14036,2025-12-25,489.09
RET-50213,ORD-15194,2025-12-03,118.31
RET-50214,ORD-13131,2025-11-16,415.03
RET-50215,ORD-16795,2025-11-18,157.08
RET-50216,ORD-14706,2025-12-10,396.83
RET-50217,ORD-11624,2025-12-24,104.15
RET-50218,ORD-17877,2026-01-14,205.78
RET-50219,ORD-11711,2025-12-01,49.45
RET-50220,ORD-17214,2025-12-17,90.78
RET-50221,ORD-11920,2026-01-18,353.9
RET-50222,ORD-16205,2025-12-31,474.97
RET-50223,ORD-11393,2025-12-11,269.49
RET-50224,ORD-14824,2025-12-09,281.39
RET-50225,ORD-14829,2025-12-28,261.61
RET-50226,ORD-14572,2026-01-01,134.75
RET-50227,ORD-13522,2026-01-09,148.91
RET-50228,ORD-12902,2025-12-02,20.01
RET-50229,ORD-10780,2025-12-15,353.1
RET-50230,ORD-12932,2026-01-17,57.66
RET-50231,ORD-17148,2025-12-10,232.66
RET-50232,ORD-15058,2025-12-14,287.92
RET-50233,ORD-17723,2025-11-30,379.15
RET-50234,ORD-10468,2025-12-04,127.33
RET-50235,ORD-11359,2025-11-18,304.33
RET-50236,ORD-12787,2025-12-13,114.52
RET-50237,ORD-13827,2025-12-27,251.42
RET-50238,ORD-15868,2026-01-14,410.31
RET-50239,ORD-14447,2025-12-09,403.6
RET-50240,ORD-15451,2026-01-06,134.6
RET-50241,ORD-12374,2025-12-17,343.02
RET-50242,ORD-17864,2025-12-29,171.86
RET-50243,ORD-13549,2026-01-06,290.44
RET-50244,ORD-12252,2026-01-02,341.22
RET-50245,ORD-10469,2025-11-21,482.35
RET-50246,ORD-17236,2025-11-27,314.32
RET-50247,ORD-14257,2025-12-13,236.83
RET-50248,ORD-12732,2025-12-10,47.77
RET-50249,ORD-15214,2025-11-26,209.0
RET-50250,ORD-14124,2025-12-26,400.25
RET-50251,ORD-16435,2025-12-07,289.83
RET-50252,ORD-16425,2025-12-01,95.31
RET-50253,ORD-12943,2025-11-23,362.92
RET-50254,ORD-16023,2025-11-15,67.63
RET-50255,ORD-14319,2026-01-06,267.82
RET-50256,ORD-14345,2026-01-08,189.49
RET-50257,ORD-11573,2025-12-30,434.14
RET-50258,ORD-16052,2026-01-16,277.13
RET-50259,ORD-14435,2025-11-24,154.69
RET-50260,ORD-11407,2025-12-22,406.72
RET-50261,ORD-17968,2025-12-11,221.76
RET-50262,ORD-12626,2025-12-17,62.86
RET-50263,ORD-15730,2025-12-19,414.31
RET-50264,ORD-13581,2025-12-18,422.35
RET-50265,ORD-15821,2025-12-11,234.03
RET-50266,ORD-16502,2025-11-16,247.74
RET-50267,ORD-13914,2026-01-13,483.56
RET-50268,ORD-11105,2025-12-20,103.47
RET-50269,ORD-13313,2025-12-03,24.01
RET-50270,ORD-16459,2025-12-06,186.7
RET-50271,ORD-11408,2026-01-02,300.97
RET-50272,ORD-10147,2026-01-17,261.29
RET-50273,ORD-16059,2026-01-02,419.33
RET-50274,ORD-14160,2025-12-15,266.94
RET-50275,ORD-12180,2025-11-30,166.55
RET-50276,ORD-13259,2026-01-17,449.92
RET-50277,ORD-13950,2025-12-07,31.38
RET-50278,ORD-11026,2025-12-10,433.78
RET-50279,ORD-15394,2025-11-24,364.65
RET-50280,ORD-14788,2026-01-05,256.62
RET-50281,ORD-16380,2026-01-11,308.26
RET-50282,ORD-11378,2025-12-17,192.43
RET-50283,ORD-12968,2025-11-14,474.6
RET-50284,ORD-12499,2025-12-03,215.64
RET-50285,ORD-17569,2025-12-22,38.09
RET-50286,ORD-11775,2025-11-29,171.4
RET-50287,ORD-17063,2025-12-07,393.69
RET-50288,ORD-15223,2025-12-29,190.3
RET-50289,ORD-17167,2025-12-12,239.96
RET-50290,ORD-12612,2025-11-30,138.48
RET-50291,ORD-16038,2026-01-05,80.86
RET-50292,ORD-13057,2025-12-25,56.95
RET-50293,ORD-10656,2025-12-11,156.21
RET-50294,ORD-16436,2025-12-26,285.3
RET-50295,ORD-14797,2025-11-30,395.92
RET-50296,ORD-13209,2025-12-09,313.06
RET-50297,ORD-11382,2025-11-26,485.32
RET-50298,ORD-14550,2025-12-02,467.72
RET-50299,ORD-11302,2025-11-13,44.95
RET-50300,ORD-11414,2025-12-06,274.96
RET-50301,ORD-11503,2026-01-02,183.8
RET-50302,ORD-17123,2025-12-30,442.14
RET-50303,ORD-12870,2025-12-19,449.17
RET-50304,ORD-10070,2025-12-29,390.68
RET-50305,ORD-16184,2025-11-26,30.55
RET-50306,ORD-10870,2025-11-25,199.19
RET-50307,ORD-14368,2025-12-03,98.42
RET-50308,ORD-11502,2025-12-11,32.31
RET-50309,ORD-12889,2026-01-06,421.2
RET-50310,ORD-15974,2026-01-23,158.79
RET-50311,ORD-16519,2025-11-22,94.73
RET-50312,ORD-15436,2025-11-29,121.27
RET-50313,ORD-17649,2026-01-09,304.07
RET-50314,ORD-15207,2025-12-15,228.57
RET-50315,ORD-13323,2025-12-10,300.18
RET-50316,ORD-11376,2026-01-01,233.75
RET-50317,ORD-16200,2026-01-10,357.57
RET-50318,ORD-17232,2025-11-13,42.11
RET-50319,ORD-12456,2026-01-01,233.14
RET-50320,ORD-13663,2025-12-17,36.76
RET-50321,ORD-11409,2026-01-15,436.77
RET-50322,ORD-14525,2025-11-20,226.24
RET-50323,ORD-13368,2026-01-11,111.64
RET-50324,ORD-11545,2025-12-07,252.1
RET-50325,ORD-16229,2025-11-17,207.31
RET-50326,ORD-17215,2025-12-26,313.59
RET-50327,ORD-11476,2025-11-27,407.77
RET-50328,ORD-15293,2026-01-03,30.49
RET-50329,ORD-10104,2026-01-06,455.63
RET-50330,ORD-10742,2026-01-07,378.85
RET-50331,ORD-16972,2026-01-13,49.13
RET-50332,ORD-17747,2025-11-16,375.99
RET-50333,ORD-11388,2026-01-25,485.51
RET-50334,ORD-16495,2026-01-04,82.7
RET-50335,ORD-11331,2025-12-31,365.22
RET-50336,ORD-12012,2026-01-03,455.09
RET-50337,ORD-17553,2025-12-02,243.13
RET-50338,ORD-12240,2025-11-24,401.4
RET-50339,ORD-10714,2026-01-24,187.46
RET-50340,ORD-12354,2025-12-13,367.51
RET-50341,ORD-14667,2025-12-23,422.65
RET-50342,ORD-14697,2025-12-03,263.72
RET-50343,ORD-11433,2025-12-15,340.09
RET-50344,ORD-14866,2025-12-29,190.86
RET-50345,ORD-10093,2025-12-25,289.41
RET-50346,ORD-16455,2025-12-13,111.8
RET-50347,ORD-10110,2025-12-14,159.08
RET-50348,ORD-14960,2025-12-02,281.93
RET-50349,ORD-15752,2025-11-16,71.37
RET-50350,ORD-15366,2025-12-11,313.44
RET-50351,ORD-13420,2025-12-03,386.89
RET-50352,ORD-13231,2025-11-28,311.72
RET-50353,ORD-11394,2025-12-16,181.76
RET-50354,ORD-16811,2025-12-21,44.99
RET-50355,ORD-15682,2026-01-05,459.12
RET-50356,ORD-13632,2026-01-08,240.0
RET-50357,ORD-10325,2026-01-11,374.19
RET-50358,ORD-11100,2026-01-13,47.76
RET-50359,ORD-13357,2026-01-03,203.74
RET-50360,ORD-13264,2025-12-12,400.52
RET-50361,ORD-10002,2025-11-25,371.36
RET-50362,ORD-12148,2026-01-13,257.22
RET-50363,ORD-17524,2026-01-01,190.33
RET-50364,ORD-16807,2026-01-07,224.63
RET-50365,ORD-17306,2025-12-26,419.84
RET-50366,ORD-12807,2025-11-20,97.6
RET-50367,ORD-16783,2026-01-07,171.65
RET-50368,ORD-16874,2025-12-28,430.84
RET-50369,ORD-10431,2026-01-20,385.53
RET-50370,ORD-17887,2026-01-12,209.16
RET-50371,ORD-14757,2025-12-08,393.46
RET-50372,ORD-12959,2025-12-12,407.39
RET-50373,ORD-13525,2025-12-10,90.69
RET-50374,ORD-11590,2025-12-26,352.37
RET-50375,ORD-11516,2026-01-02,330.79
RET-50376,ORD-10546,2025-11-29,74.51
RET-50377,ORD-13909,2026-01-03,176.1
RET-50378,ORD-16848,2026-01-10,307.53
RET-50379,ORD-12335,2025-11-27,204.24
RET-50380,ORD-15300,2026-01-08,396.08
RET-50381,ORD-10322,2025-12-10,336.89
RET-50382,ORD-10153,2025-11-16,254.94
RET-50383,ORD-15875,2025-11-28,143.98
RET-50384,ORD-11897,2025-12-04,110.25
RET-50385,ORD-15034,2025-12-01,99.8
RET-50386,ORD-10613,2026-01-16,59.24
RET-50387,ORD-10408,2025-12-20,454.58
RET-50388,ORD-16040,2026-01-12,304.92
RET-50389,ORD-16228,2025-12-25,394.73
RET-50390,ORD-10691,2025-12-13,224.21
RET-50391,ORD-14709,2025-12-28,331.4
RET-50392,ORD-11799,2025-12-26,25.81
RET-50393,ORD-13037,2025-12-04,490.58
RET-50394,ORD-16250,2025-12-15,242.63
RET-50395,ORD-11644,2025-12-04,62.78
RET-50396,ORD-14413,2026-01-13,328.07
RET-50397,ORD-15072,2026-01-06,252.81
RET-50398,ORD-11455,2025-12-28,466.86
RET-50399,ORD-11101,2025-12-30,485.17
RET-50400,ORD-11313,2026-01-03,412.3
RET-50401,ORD-12440,2025-12-25,285.78
RET-50402,ORD-16851,2025-12-31,467.12
RET-50403,ORD-13798,2025-12-21,102.81
RET-50404,ORD-10767,2025-12-13,440.85
RET-50405,ORD-10711,2025-12-08,305.91
RET-50406,ORD-17779,2025-11-23,268.74
RET-50407,ORD-14848,2026-01-11,386.49
RET-50408,ORD-11820,2025-12-04,118.73
RET-50409,ORD-16981,2025-12-28,277.57
RET-50410,ORD-10047,2025-11-29,269.63
RET-50411,ORD-15692,2025-12-11,348.05
RET-50412,ORD-10383,2025-11-13,441.19
RET-50413,ORD-13439,2025-12-12,465.99
RET-50414,ORD-17906,2026-01-04,82.57
RET-50415,ORD-10174,2025-12-02,329.68
RET-50416,ORD-14332,2025-12-11,231.13
RET-50417,ORD-11176,2025-12-23,394.33
RET-50418,ORD-13779,2025-11-24,451.23
RET-50419,ORD-13980,2025-11-22,419.53
RET-50420,ORD-15399,2025-12-29,436.19
RET-50421,ORD-10305,2025-11-25,488.41
RET-50422,ORD-12624,2025-12-16,201.11
RET-50423,ORD-13276,2026-01-10,424.8
RET-50424,ORD-12301,2025-12-01,294.58
RET-50425,ORD-13278,2026-01-11,180.14
RET-50426,ORD-10908,2025-12-05,144.52
RET-50427,ORD-17565,2025-11-13,449.17
RET-50428,ORD-15612,2025-12-22,414.2
RET-50429,ORD-16130,2025-12-03,200.47
RET-50430,ORD-13424,2025-12-14,421.82
RET-50431,ORD-16885,2026-01-12,467.23
RET-50432,ORD-10449,2026-01-14,60.08
RET-50433,ORD-13883,2025-12-02,125.81
RET-50434,ORD-17992,2025-12-11,151.53
RET-50435,ORD-13571,2025-12-22,278.25
RET-50436,ORD-17129,2025-12-04,473.66
RET-50437,ORD-11063,2025-12-31,220.53
RET-50438,ORD-13202,2025-12-04,113.05
RET-50439,ORD-12305,2025-12-16,210.57
RET-50440,ORD-11789,2025-12-11,268.84
RET-50441,ORD-15805,2026-01-21,62.43
RET-50442,ORD-14306,2025-12-03,248.88
RET-50443,ORD-15842,2025-12-08,64.91
RET-50444,ORD-17695,2026-01-02,345.5
RET-50445,ORD-12899,2025-12-17,38.03
RET-50446,ORD-10084,2025-12-09,169.27
RET-50447,ORD-10120,2025-12-17,407.57
RET-50448,ORD-14689,2025-12-10,488.37
RET-50449,ORD-12667,2025-12-28,332.79
RET-50450,ORD-11869,2025-11-22,368.47
RET-50451,ORD-13793,2025-11-30,374.66
RET-50452,ORD-11421,2025-12-06,263.47
RET-50453,ORD-11637,2025-11-17,93.16
RET-50454,ORD-12223,2025-11-17,136.11
RET-50455,ORD-13470,2026-01-01,29.19
RET-50456,ORD-10738,2025-12-26,230.78
RET-50457,ORD-13642,2025-12-24,244.67
RET-50458,ORD-16767,2026-01-08,131.5
RET-50459,ORD-13486,2025-12-18,190.36
RET-50460,ORD-15398,2026-01-22,209.35
RET-50461,ORD-11201,2025-11-18,31.8
RET-50462,ORD-17023,2025-12-23,400.48
RET-50463,ORD-11826,2025-12-14,40.14
RET-50464,ORD-15515,2025-11-22,392.42
RET-50465,ORD-10911,2025-12-13,148.67
RET-50466,ORD-11684,2026-01-01,83.61
RET-50467,ORD-17105,2025-11-25,52.16
RET-50468,ORD-17258,2026-01-12,365.78
RET-50469,ORD-11623,2026-01-04,479.66
RET-50470,ORD-16443,2025-11-19,35.59
RET-50471,ORD-13361,2025-12-16,150.53
RET-50472,ORD-10939,2025-12-09,296.73
RET-50473,ORD-10101,2025-11-23,325.48
RET-50474,ORD-15266,2025-12-08,159.62
RET-50475,ORD-17674,2025-12-07,268.46
RET-50476,ORD-16492,2025-11-23,217.19
RET-50477,ORD-15056,2025-12-29,230.1
RET-50478,ORD-12121,2025-12-09,262.5
RET-50479,ORD-12319,2025-12-24,217.29
RET-50480,ORD-15837,2026-01-11,217.25
RET-50481,ORD-10763,2025-12-24,377.09
RET-50482,ORD-17905,2025-12-20,496.2
RET-50483,ORD-13565,2025-12-12,368.0
RET-50484,ORD-12454,2026-01-14,298.62
RET-50485,ORD-11124,2025-12-20,334.52
RET-50486,ORD-17689,2025-12-24,422.16
RET-50487,ORD-11638,2025-12-31,496.39
RET-50488,ORD-15860,2025-11-16,238.59
RET-50489,ORD-10812,2025-12-02,79.84
RET-50490,ORD-13187,2026-01-19,189.82
RET-50491,ORD-12858,2025-12-12,37.29
RET-50492,ORD-12261,2025-12-05,308.92
RET-50493,ORD-17372,2025-11-15,67.76
RET-50494,ORD-16693,2025-12-12,405.54
RET-50495,ORD-12356,2025-12-28,453.18
RET-50496,ORD-10952,2025-11-22,104.18
RET-50497,ORD-17498,2026-01-09,122.17
RET-50498,ORD-16134,2025-12-20,28.65
RET-50499,ORD-11610,2026-01-18,442.44
RET-50500,ORD-11463,2025-12-13,335.77
RET-50501,ORD-13800,2025-12-29,162.25
RET-50502,ORD-13849,2026-01-10,52.86
RET-50503,ORD-17329,2026-01-02,295.28
RET-50504,ORD-13181,2025-12-10,158.81
RET-50505,ORD-14287,2025-12-17,296.95
RET-50506,ORD-12965,2025-12-02,356.56
RET-50507,ORD-13904,2026-01-20,425.22
RET-50508,ORD-17790,2025-11-11,283.49
RET-50509,ORD-13442,2025-12-28,121.59
RET-50510,ORD-17326,2025-11-30,122.99
RET-50511,ORD-17525,2025-12-20,314.09
RET-50512,ORD-16160,2025-12-04,94.3
RET-50513,ORD-10259,2026-01-05,66.64
RET-50514,ORD-13456,2025-12-07,260.17
RET-50515,ORD-17034,2026-01-02,233.95
RET-50516,ORD-15673,2025-12-27,170.8
RET-50517,ORD-11707,2025-11-25,123.7
RET-50518,ORD-16472,2025-12-17,330.81
RET-50519,ORD-12056,2025-11-22,241.9
RET-50520,ORD-14951,2025-12-25,44.61
RET-50521,ORD-12394,2026-01-03,447.25
RET-50522,ORD-11475,2026-01-16,340.44
RET-50523,ORD-15109,2025-11-29,483.81
RET-50524,ORD-17984,2025-12-27,230.56
RET-50525,ORD-10368,2025-11-21,113.98
RET-50526,ORD-16707,2025-12-09,281.64
RET-50527,ORD-12272,2025-12-30,254.08
RET-50528,ORD-17208,2025-12-06,203.92
RET-50529,ORD-13510,2026-01-19,180.93
RET-50530,ORD-16626,2025-12-16,407.76
RET-50531,ORD-10569,2026-01-05,187.16
RET-50532,ORD-13877,2025-12-19,442.08
RET-50533,ORD-12685,2026-01-08,29.28
RET-50534,ORD-17031,2025-12-07,156.46
RET-50535,ORD-12786,2025-11-21,481.1
RET-50536,ORD-10819,2026-01-11,180.89
RET-50537,ORD-14191,2025-12-24,438.97
RET-50538,ORD-14509,2025-12-03,471.91
RET-50539,ORD-13615,2025-12-25,61.77
RET-50540,ORD-10161,2025-12-22,323.51
RET-50541,ORD-10708,2026-01-09,142.23
RET-50542,ORD-16847,2025-11-29,235.45
RET-50543,ORD-16932,2025-12-24,225.01
RET-50544,ORD-14050,2025-11-09,468.53
RET-50545,ORD-15076,2025-12-08,314.81
RET-50546,ORD-15042,2025-12-01,112.17
RET-50547,ORD-14625,2026-01-03,347.62
RET-50548,ORD-11546,2025-12-15,406.88
RET-50549,ORD-11412,2025-12-18,149.48
RET-50550,ORD-12455,2025-12-26,86.81
RET-50551,ORD-15712,2025-12-24,237.38
RET-50552,ORD-11497,2025-12-22,242.48
RET-50553,ORD-10337,2025-11-19,357.76
RET-50554,ORD-17227,2026-01-16,72.81
RET-50555,ORD-11381,2025-11-22,207.72
RET-50556,ORD-12351,2026-01-03,458.38
RET-50557,ORD-14590,2025-12-25,296.03
RET-50558,ORD-11795,2026-01-17,60.7
RET-50559,ORD-13647,2025-12-17,226.39
RET-50560,ORD-12520,2026-01-12,352.42
RET-50561,ORD-12184,2025-11-26,333.52
RET-50562,ORD-16320,2026-01-08,316.69
RET-50563,ORD-12189,2025-11-28,339.19
RET-50564,ORD-10637,2026-01-17,136.39
RET-50565,ORD-16296,2025-12-21,188.09
RET-50566,ORD-14064,2025-11-19,435.47
RET-50567,ORD-11794,2026-01-09,40.0
RET-50568,ORD-12829,2025-11-21,34.0
RET-50569,ORD-13509,2025-12-12,49.95
RET-50570,ORD-16397,2026-01-10,178.17
RET-50571,ORD-12746,2025-12-20,297.58
RET-50572,ORD-16521,2025-11-26,121.66
RET-50573,ORD-11608,2025-12-29,132.18
RET-50574,ORD-14104,2025-11-20,162.05
RET-50575,ORD-16749,2025-11-25,215.79
RET-50576,ORD-13184,2025-12-01,267.2
RET-50577,ORD-14690,2025-11-28,197.19
RET-50578,ORD-12093,2025-12-19,271.2
RET-50579,ORD-13675,2025-12-08,154.9
RET-50580,ORD-14671,2026-01-07,442.05
