order_id,order_date,region,category,revenue,cogs
ORD-10060,2025-11-03,EU,Toys,206.57,114.17
ORD-10061,2025-12-17,LATAM,Toys,150.25,60.53
ORD-10062,2025-11-30,NA,Apparel,417.79,283.87
ORD-10063,2025-12-05,NA,Apparel,191.24,70.36
ORD-10064,2025-11-08,NA,Apparel,154.85,106.27
ORD-10065,2025-12-30,APAC,Electronics,280.49,85.81
ORD-10066,2025-11-25,LATAM,Home,87.64,43.16
ORD-10067,2025-11-06,NA,Toys,405.05,175.53
ORD-10068,2025-12-06,EU,Apparel,55.78,26.75
ORD-10069,2025-11-19,EU,Home,493.71,260.81
ORD-10070,2025-12-24,NA,Toys,390.68,185.27
ORD-10071,2025-12-11,APAC,Toys,115.38,53.76
ORD-10072,2025-12-10,NA,Toys,22.65,13.43
ORD-10073,2025-12-27,EU,Toys,411.42,236.3
ORD-10074,2025-12-26,EU,Home,359.29,227.54
ORD-10075,2025-11-24,APAC,Apparel,369.92,147.96
ORD-10076,2025-12-07,APAC,Apparel,390.21,212.2
ORD-10077,2025-11-13,NA,Electronics,55.54,29.66
ORD-10078,2025-12-16,NA,Home,192.06,86.02
ORD-10079,2025-11-05,EU,Apparel,75.62,37.39
ORD-10080,2025-11-03,NA,Apparel,434.29,184.8
ORD-10081,2025-12-13,NA,Electronics,319.18,113.86
ORD-10082,2025-11-15,APAC,Toys,178.83,68.94
ORD-10083,2025-12-20,NA,Electronics,50.51,17.28
ORD-10084,2025-11-19,EU,Apparel,169.27,97.03
ORD-10085,2025-11-06,EU,Apparel,176.09,99.37
ORD-10086,2025-12-25,APAC,Toys,370.21,251.83
ORD-10087,2025-11-15,NA,Toys,326.03,192.97
ORD-10088,2025-12-26,NA,Toys,445.86,143.04
ORD-10089,2025-11-07,NA,Toys,246.66,161.24
ORD-10090,2025-11-25,NA,Home,77.41,49.93
ORD-10091,2025-11-18,NA,Toys,362.36,172.96
ORD-10092,2025-11-30,NA,Electronics,385.18,205.82
ORD-10093,2025-12-11,EU,Home,289.41,199.82
ORD-10094,2025-12-24,NA,Home,390.06,200.07
ORD-10095,2025-11-24,EU,Apparel,257.02,170.18
ORD-10096,2025-11-11,APAC,Home,270.91,90.27
ORD-10097,2025-11-24,NA,Home,225.22,84.78
ORD-10098,2025-11-23,EU,Home,32.2,15.34
ORD-10099,2025-11-14,LATAM,Apparel,71.79,38.33
ORD-10100,2025-12-13,EU,Home,35.09,21.98
ORD-10101,2025-11-18,NA,Electronics,325.48,226.31
ORD-10102,2025-12-15,NA,Apparel,170.89,77.85
ORD-10103,2025-12-30,APAC,Apparel,264.11,84.24
ORD-10104,2025-12-14,EU,Electronics,455.63,282.7
ORD-10105,2025-12-12,LATAM,Toys,139.66,75.66
ORD-10106,2025-11-05,APAC,Apparel,216.98,82.33
ORD-10107,2025-12-09,NA,Apparel,382.66,190.54
ORD-10108,2025-12-11,NA,Electronics,129.82,77.49
ORD-10109,2025-11-11,NA,Electronics,56.95,34.63
ORD-10110,2025-12-05,NA,Electronics,159.08,79.52
ORD-10111,2025-12-17,APAC,Home,97.39,41.11
ORD-10112,2025-11-16,EU,Home,466.25,321.48
ORD-10113,2025-11-11,NA,Apparel,407.9,230.6
ORD-10114,2025-11-30,NA,Toys,324.03,150.12
ORD-10115,2025-11-25,APAC,Toys,438.3,180.66
ORD-10116,2025-11-18,NA,Toys,405.76,240.39
ORD-10117,2025-12-30,NA,Home,109.55,43.48
ORD-10118,2025-12-11,NA,Home,448.43,165.33
ORD-10119,2025-12-15,EU,Electronics,278.88,142.77
ORD-10120,2025-12-06,APAC,Toys,407.57,169.55
ORD-10121,2025-11-15,NA,Apparel,450.12,248.27
ORD-10122,2025-12-14,NA,Home,172.64,59.94
ORD-10123,2025-11-21,NA,Toys,72.82,40.92
ORD-10124,2025-12-24,EU,Home,129.41,53.49
ORD-10125,2025-12-20,NA,Home,225.01,67.52
ORD-10126,2025-12-20,APAC,Home,412.65,144.75
ORD-10127,2025-11-04,NA,Home,433.15,291.7
ORD-10128,2025-11-15,EU,Electronics,23.34,15.1
ORD-10129,2025-12-23,APAC,Apparel,265.16,104.33
ORD-10130,2025-11-03,NA,Electronics,220.36,134.72
ORD-10131,2025-12-22,EU,Toys,126.61,68.8
ORD-10132,2025-11-21,LATAM,Electronics,77.54,53.38
ORD-10133,2025-11-26,EU,Toys,182.06,81.83
ORD-10134,2025-11-18,NA,Toys,472.6,270.6
ORD-10135,2025-11-05,EU,Home,175.14,56.99
ORD-10136,2025-11-14,LATAM,Home,269.02,123.35
ORD-10137,2025-12-29,EU,Electronics,357.45,245.04
ORD-10138,2025-12-31,NA,Apparel,194.54,100.3
ORD-10139,2025-12-07,EU,Home,486.46,201.95
ORD-10140,2025-12-27,EU,Toys,481.97,167.78
ORD-10141,2025-12-16,EU,Electronics,140.86,81.9
ORD-10142,2025-11-21,EU,Toys,258.68,144.33
ORD-10143,2025-11-14,EU,Toys,164.42,73.92
ORD-10144,2025-12-12,EU,Home,156.72,106.63
ORD-10145,2025-12-02,NA,Electronics,37.71,11.65
ORD-10146,2025-11-26,NA,Electronics,312.59,131.75
ORD-10147,2025-12-27,EU,Electronics,261.29,174.65
ORD-10148,2025-12-29,APAC,Home,44.71,19.15
ORD-10149,2025-12-12,EU,Electronics,153.75,61.64
ORD-10150,2025-11-30,NA,Toys,455.97,234.23
ORD-10151,2025-11-10,NA,Electronics,134.99,84.98
ORD-10152,2025-11-17,NA,Home,89.55,30.56
ORD-10153,2025-11-09,NA,Toys,254.94,172.65
ORD-10154,2025-11-16,APAC,Electronics,493.11,304.76
ORD-10155,2025-12-18,APAC,Electronics,136.19,50.73
ORD-10156,2025-12-06,NA,Toys,342.63,200.37
ORD-10157,2025-12-05,EU,Toys,385.58,175.05
ORD-10158,2025-11-17,NA,Toys,134.07,61.8
ORD-10159,2025-12-18,LATAM,Toys,369.54,226.64
ORD-10160,2025-12-08,LATAM,Toys,196.54,134.65
ORD-10161,2025-11-28,EU,Apparel,323.51,113.44
ORD-10162,2025-12-28,NA,Toys,324.09,151.76
ORD-10163,2025-12-08,EU,Electronics,277.17,136.47
ORD-10164,2025-11-26,NA,Electronics,63.34,28.54
ORD-10165,2025-11-24,NA,Electronics,420.95,187.44
ORD-10166,2025-11-15,NA,Home,173.97,55.83
ORD-10167,2025-11-09,NA,Toys,109.53,62.89
ORD-10168,2025-12-03,EU,Apparel,39.57,18.78
ORD-10169,2025-12-02,EU,Home,303.63,114.75
ORD-10170,2025-11-06,NA,Toys,345.23,216.26
ORD-10171,2025-12-19,NA,Home,27.96,17.36
ORD-10172,2025-11-04,APAC,Electronics,265.8,131.45
ORD-10173,2025-12-26,NA,Toys,128.72,53.98
ORD-10174,2025-11-08,NA,Home,329.68,183.05
ORD-10175,2025-11-10,NA,Apparel,103.7,43.06
ORD-10176,2025-12-11,EU,Home,351.65,138.69
ORD-10177,2025-11-11,NA,Apparel,205.63,121.78
ORD-10178,2025-12-21,APAC,Apparel,469.63,148.46
ORD-10179,2025-12-14,LATAM,Apparel,86.01,29.06
ORD-10180,2025-11-28,APAC,Toys,183.71,55.61
ORD-10181,2025-12-09,EU,Toys,74.47,26.9
ORD-10182,2025-11-05,NA,Apparel,463.85,151.96
ORD-10183,2025-11-25,APAC,Home,441.12,308.04
ORD-10184,2025-11-25,APAC,Home,143.81,59.76
ORD-10185,2025-12-09,EU,Apparel,336.79,121.15
ORD-10186,2025-11-30,APAC,Home,412.27,163.42
ORD-10187,2025-12-04,NA,Apparel,286.5,193.23
ORD-10188,2025-11-17,NA,Home,274.23,139.33
ORD-10189,2025-12-06,EU,Electronics,136.09,60.69
ORD-10190,2025-12-26,EU,Home,64.69,42.01
ORD-10191,2025-12-31,NA,Electronics,450.66,206.4
ORD-10192,2025-11-01,EU,Toys,452.2,196.26
ORD-10193,2025-12-14,NA,Apparel,323.89,124.02
ORD-10194,2025-12-17,NA,Electronics,182.73,82.43
ORD-10195,2025-11-08,NA,Apparel,187.62,80.05
ORD-10196,2025-12-14,EU,Toys,368.46,210.36
ORD-10197,2025-12-27,NA,Apparel,450.61,187.38
ORD-10198,2025-12-05,NA,Home,445.8,236.67
ORD-10199,2025-12-19,NA,Toys,394.34,128.7
ORD-10200,2025-11-18,APAC,Apparel,328.18,123.56
ORD-10201,2025-12-20,APAC,Home,60.39,27.96
ORD-10202,2025-12-12,NA,Apparel,97.58,65.85
ORD-10203,2025-11-22,NA,Home,451.31,203.5
ORD-10204,2025-11-08,EU,Electronics,311.09,175.96
ORD-10205,2025-11-19,NA,Electronics,24.41,9.81
ORD-10206,2025-11-28,NA,Toys,68.71,24.1
ORD-10207,2025-11-11,APAC,Toys,338.48,109.47
ORD-10208,2025-11-30,LATAM,Toys,22.43,9.47
ORD-10209,2025-11-01,EU,Home,97.19,35.29
ORD-10210,2025-12-17,APAC,Apparel,283.39,104.74
ORD-10211,2025-12-27,NA,Electronics,352.11,212.78
ORD-10212,2025-12-17,APAC,Toys,332.94,101.99
ORD-10213,2025-11-17,LATAM,Apparel,127.65,66.78
ORD-10214,2025-12-03,NA,Electronics,361.85,163.48
ORD-10215,2025-12-19,APAC,Electronics,133.88,67.29
ORD-10216,2025-11-12,NA,Toys,176.19,92.52
ORD-10217,2025-12-03,EU,Electronics,378.32,160.92
ORD-10218,2025-12-29,NA,Toys,331.82,138.72
ORD-10219,2025-11-07,APAC,Toys,427.63,253.74
ORD-10220,2025-12-26,APAC,Electronics,335.65,217.67
ORD-10221,2025-12-11,APAC,Home,292.79,110.39
ORD-10222,2025-11-20,NA,Apparel,64.96,22.02
ORD-10223,2025-12-24,APAC,Electronics,196.5,129.52
ORD-10224,2025-12-11,NA,Home,147.3,64.81
ORD-10225,2025-12-03,APAC,Electronics,137.12,71.37
ORD-10226,2025-12-09,EU,Toys,487.05,216.16
ORD-10227,2025-11-13,APAC,Toys,208.69,73.11
ORD-10228,2025-11-10,NA,Electronics,448.18,240.1
ORD-10229,2025-11-24,EU,Electronics,322.95,164.72
ORD-10230,2025-12-19,APAC,Apparel,401.51,153.05
ORD-10231,2025-11-11,EU,Home,261.27,125.6
ORD-10232,2025-12-05,LATAM,Toys,296.91,183.72
ORD-10233,2025-12-20,EU,Apparel,256.41,137.48
ORD-10234,2025-12-30,EU,Toys,113.72,38.52
ORD-10235,2025-12-04,NA,Toys,366.78,190.44
ORD-10236,2025-12-29,NA,Apparel,154.77,89.94
ORD-10237,2025-11-01,EU,Electronics,31.67,19.54
ORD-10238,2025-12-09,NA,Home,329.83,181.95
ORD-10239,2025-11-21,LATAM,Apparel,105.01,37.92
ORD-10240,2025-12-02,EU,Electronics,471.42,275.34
ORD-10241,2025-11-02,NA,Apparel,477.89,272.84
ORD-10242,2025-11-08,EU,Electronics,459.13,142.23
ORD-10243,2025-12-30,NA,Electronics,197.68,91.86
ORD-10244,2025-11-24,APAC,Electronics,27.42,11.88
ORD-10245,2025-12-27,APAC,Home,465.59,264.35
ORD-10246,2025-12-24,NA,Apparel,225.53,87.16
ORD-10247,2025-12-22,NA,Toys,483.99,259.59
ORD-10248,2025-11-20,EU,Electronics,482.54,321.03
ORD-10249,2025-11-16,NA,Electronics,429.44,265.88
ORD-10250,2025-11-04,NA,Home,161.34,107.87
ORD-10251,2025-11-16,NA,Home,204.85,141.63
ORD-10252,2025-12-27,NA,Electronics,428.55,130.39
ORD-10253,2025-12-07,APAC,Toys,172.12,94.51
ORD-10254,2025-12-31,NA,Electronics,101.36,47.15
ORD-10255,2025-11-06,NA,Home,287.26,184.98
ORD-10256,2025-11-06,APAC,Apparel,469.35,188.08
ORD-10257,2025-12-17,EU,Home,354.09,245.18
ORD-10258,2025-12-02,EU,Home,293.63,160.17
ORD-10259,2025-12-23,NA,Electronics,66.64,41.14
ORD-10260,2025-11-05,NA,Toys,315.2,105.35
ORD-10261,2025-12-19,NA,Apparel,495.23,184.91
ORD-10262,2025-12-05,NA,Electronics,87.24,52.64
ORD-10263,2025-12-20,EU,Electronics,268.8,83.0
ORD-10264,2025-11-09,LATAM,Electronics,441.14,276.49
ORD-10265,2025-11-09,LATAM,Apparel,375.57,114.77
ORD-10266,2025-12-13,EU,Home,354.57,199.57
ORD-10267,2025-12-01,NA,Toys,357.19,159.32
ORD-10268,2025-12-31,EU,Toys,192.56,104.87
ORD-10269,2025-12-06,APAC,Electronics,160.92,93.08
ORD-10270,2025-11-11,APAC,Electronics,408.49,178.51
ORD-10271,2025-11-17,NA,Home,408.85,140.31
ORD-10272,2025-12-04,NA,Home,436.19,143.01
ORD-10273,2025-12-26,LATAM,Electronics,458.36,245.49
ORD-10274,2025-12-09,APAC,Home,265.44,134.91
ORD-10275,2025-11-28,APAC,Toys,260.73,155.62
ORD-10276,2025-11-14,APAC,Toys,403.18,203.16
ORD-10277,2025-12-30,EU,Home,331.98,155.69
ORD-10278,2025-12-05,NA,Apparel,356.94,163.92
ORD-10279,2025-12-19,EU,Home,401.98,124.85
ORD-10280,2025-12-17,NA,Apparel,447.2,194.18
ORD-10281,2025-12-15,NA,Home,182.24,125.82
ORD-10282,2025-11-13,APAC,Home,200.28,130.07
ORD-10283,2025-12-16,EU,Home,65.11,28.11
ORD-10284,2025-11-20,EU,Apparel,297.57,159.24
ORD-10285,2025-11-26,NA,Toys,37.25,23.8
ORD-10286,2025-12-13,EU,Apparel,243.49,116.03
ORD-10287,2025-12-12,NA,Toys,280.47,86.16
ORD-10288,2025-11-24,NA,Electronics,157.54,51.96
ORD-10289,2025-11-29,NA,Home,303.6,153.06
ORD-10290,2025-12-28,APAC,Apparel,34.64,23.82
ORD-10291,2025-12-04,NA,Electronics,37.93,21.9
ORD-10292,2025-11-29,APAC,Home,414.85,136.22
ORD-10293,2025-11-08,LATAM,Electronics,192.89,72.48
ORD-10294,2025-11-16,EU,Toys,80.99,49.28
ORD-10295,2025-11-15,NA,Toys,270.68,172.31
ORD-10296,2025-11-05,NA,Toys,389.6,213.14
ORD-10297,2025-11-22,NA,Apparel,123.59,68.93
ORD-10298,2025-11-02,NA,Electronics,318.99,99.31
ORD-10299,2025-12-08,NA,Toys,60.97,38.5
ORD-10300,2025-12-06,NA,Electronics,44.81,27.57
ORD-10301,2025-11-15,EU,Apparel,275.05,111.01
ORD-10302,2025-12-08,NA,Home,279.5,163.08
ORD-10303,2025-11-15,NA,Home,325.97,125.81
ORD-10304,2025-11-01,NA,Electronics,368.52,116.5
ORD-10305,2025-11-05,APAC,Apparel,488.41,185.82
ORD-10306,2025-12-16,APAC,Toys,267.82,99.48
ORD-10307,2025-12-11,NA,Apparel,175.02,76.15
ORD-10308,2025-11-04,APAC,Toys,401.69,187.74
ORD-10309,2025-11-15,EU,Apparel,150.0,75.51
ORD-10310,2025-11-05,EU,Apparel,230.71,113.21
ORD-10311,2025-12-28,NA,Home,57.66,23.54
ORD-10312,2025-11-03,EU,Apparel,32.17,10.03
ORD-10313,2025-12-26,EU,Apparel,482.07,261.3
ORD-10314,2025-11-22,EU,Apparel,421.27,193.07
ORD-10315,2025-11-05,EU,Apparel,354.07,148.52
ORD-10316,2025-12-03,NA,Apparel,216.3,139.9
ORD-10317,2025-11-16,EU,Home,103.18,61.77
ORD-10318,2025-11-18,NA,Electronics,95.09,61.15
ORD-10319,2025-12-13,EU,Electronics,140.12,69.78
ORD-10320,2025-12-02,NA,Electronics,283.63,99.94
ORD-10321,2025-11-14,APAC,Electronics,363.01,210.0
ORD-10322,2025-12-05,NA,Toys,336.89,128.84
ORD-10323,2025-11-09,APAC,Home,154.37,73.56
ORD-10324,2025-12-17,NA,Home,478.34,155.94
ORD-10325,2025-12-30,EU,Toys,374.19,235.79
ORD-10326,2025-12-27,NA,Home,286.09,100.24
ORD-10327,2025-12-07,EU,Toys,313.63,207.38
ORD-10328,2025-12-07,APAC,Apparel,221.41,142.96
ORD-10329,2025-12-01,EU,Home,138.91,67.49
ORD-10330,2025-11-16,EU,Electronics,190.87,114.09
ORD-10331,2025-12-21,APAC,Electronics,383.77,210.22
ORD-10332,2025-12-01,NA,Electronics,26.91,16.72
ORD-10333,2025-12-22,NA,Home,75.71,35.79
ORD-10334,2025-11-27,EU,Apparel,42.08,25.85
ORD-10335,2025-11-13,NA,Toys,39.55,19.18
ORD-10336,2025-11-07,LATAM,Toys,430.62,291.27
ORD-10337,2025-11-07,NA,Home,357.76,176.93
ORD-10338,2025-12-13,EU,Electronics,247.6,120.1
ORD-10339,2025-11-28,APAC,Electronics,66.96,41.12
ORD-10340,2025-11-23,NA,Home,255.98,160.92
ORD-10341,2025-11-28,APAC,Electronics,247.27,129.02
ORD-10342,2025-11-27,NA,Apparel,103.14,38.36
ORD-10343,2025-11-30,EU,Home,228.25,111.18
ORD-10344,2025-12-26,LATAM,Electronics,211.28,145.2
ORD-10345,2025-12-17,EU,Apparel,315.61,189.74
ORD-10346,2025-11-04,NA,Home,324.84,202.85
ORD-10347,2025-12-14,APAC,Apparel,41.75,13.07
ORD-10348,2025-12-12,APAC,Home,199.81,97.34
ORD-10349,2025-12-12,NA,Apparel,320.41,179.0
ORD-10350,2025-11-07,NA,Home,261.51,165.28
ORD-10351,2025-11-04,NA,Home,431.12,137.83
ORD-10352,2025-11-26,NA,Electronics,336.17,215.48
ORD-10353,2025-12-17,LATAM,Apparel,98.21,51.01
ORD-10354,2025-11-22,LATAM,Toys,53.87,20.41
ORD-10355,2025-12-22,NA,Electronics,328.36,140.18
ORD-10356,2025-12-26,APAC,Apparel,32.73,13.51
ORD-10357,2025-11-07,EU,Apparel,301.17,154.3
ORD-10358,2025-11-16,NA,Toys,471.31,151.14
ORD-10359,2025-11-13,EU,Electronics,296.23,107.65
ORD-10360,2025-11-13,NA,Toys,206.32,128.97
ORD-10361,2025-12-05,EU,Apparel,328.78,116.07
ORD-10362,2025-11-29,NA,Toys,239.96,94.39
ORD-10363,2025-11-09,APAC,Home,281.9,135.69
ORD-10364,2025-11-28,EU,Home,471.9,239.18
ORD-10365,2025-11-12,NA,Toys,205.33,124.32
ORD-10366,2025-11-18,EU,Home,481.37,230.54
ORD-10367,2025-11-30,NA,Toys,454.57,279.99
ORD-10368,2025-11-16,EU,Electronics,113.98,62.39
ORD-10369,2025-12-26,EU,Electronics,53.29,18.4
ORD-10370,2025-12-30,APAC,Toys,68.37,24.79
ORD-10371,2025-11-05,NA,Electronics,28.75,13.65
ORD-10372,2025-11-29,NA,Toys,65.33,29.97
ORD-10373,2025-12-22,EU,Apparel,347.84,207.81
ORD-10374,2025-12-26,NA,Toys,54.17,28.83
ORD-10375,2025-12-25,NA,Electronics,173.11,78.81
ORD-10376,2025-12-06,LATAM,Electronics,425.54,156.73
ORD-10377,2025-11-07,EU,Electronics,31.17,12.18
ORD-10378,2025-11-04,NA,Toys,410.94,217.88
ORD-10379,2025-12-12,NA,Apparel,155.29,72.89
ORD-10380,2025-12-05,LATAM,Toys,76.72,38.82
ORD-10381,2025-12-24,NA,Home,354.43,130.53
ORD-10382,2025-11-01,NA,Toys,321.89,181.92
ORD-10383,2025-11-06,APAC,Apparel,441.19,282.81
ORD-10384,2025-12-30,EU,Home,372.83,150.32
ORD-10385,2025-12-19,APAC,Apparel,405.67,201.46
ORD-10386,2025-12-25,EU,Electronics,155.38,107.24
ORD-10387,2025-11-16,EU,Home,105.17,45.57
ORD-10388,2025-11-11,NA,Toys,380.3,204.61
ORD-10389,2025-11-27,APAC,Electronics,407.28,136.88
ORD-10390,2025-12-02,LATAM,Apparel,495.44,268.73
ORD-10391,2025-12-01,NA,Home,218.06,73.24
ORD-10392,2025-11-14,LATAM,Home,198.57,135.76
ORD-10393,2025-12-26,EU,Electronics,392.68,230.21
ORD-10394,2025-11-26,NA,Home,183.59,112.96
ORD-10395,2025-12-28,APAC,Apparel,466.76,271.49
ORD-10396,2025-11-04,LATAM,Toys,432.04,231.53
ORD-10397,2025-11-11,EU,Home,225.92,108.43
ORD-10398,2025-11-25,EU,Toys,380.42,244.74
ORD-10399,2025-11-01,LATAM,Toys,382.18,260.93
ORD-10400,2025-11-25,NA,Home,69.5,34.72
ORD-10401,2025-11-17,NA,Electronics,453.23,304.85
ORD-10402,2025-12-30,NA,Apparel,262.52,140.01
ORD-10403,2025-12-21,APAC,Toys,416.7,214.75
ORD-10404,2025-12-21,NA,Electronics,173.62,83.65
ORD-10405,2025-11-30,APAC,Apparel,449.85,172.61
ORD-10406,2025-11-19,EU,Apparel,206.82,62.35
ORD-10407,2025-11-28,NA,Electronics,25.2,9.99
ORD-10408,2025-12-15,EU,Electronics,454.58,229.06
ORD-10409,2025-12-17,EU,Home,63.82,28.85
ORD-10410,2025-12-21,LATAM,Toys,173.27,83.06
ORD-10411,2025-12-06,NA,Toys,476.03,329.54
ORD-10412,2025-12-13,NA,Home,476.29,209.62
ORD-10413,2025-12-16,NA,Electronics,295.25,141.98
ORD-10414,2025-12-02,NA,Toys,323.28,114.25
ORD-10415,2025-11-10,NA,Toys,235.25,75.09
ORD-10416,2025-11-13,EU,Toys,160.74,98.08
ORD-10417,2025-11-19,NA,Home,177.76,93.91
ORD-10418,2025-11-14,APAC,Toys,342.81,207.15
ORD-10419,2025-11-04,NA,Toys,381.14,137.19
ORD-10420,2025-12-08,NA,Toys,399.96,211.47
ORD-10421,2025-12-18,LATAM,Electronics,399.02,160.19
ORD-10422,2025-12-05,APAC,Electronics,63.78,24.95
ORD-10423,2025-11-04,APAC,Apparel,257.32,78.38
ORD-10424,2025-12-18,APAC,Apparel,47.63,16.77
ORD-10425,2025-11-21,NA,Electronics,283.77,120.24
ORD-10426,2025-11-04,APAC,Toys,231.93,80.42
ORD-10427,2025-11-04,EU,Toys,446.1,309.75
ORD-10428,2025-12-08,EU,Home,188.44,79.8
ORD-10429,2025-12-01,LATAM,Toys,76.19,26.83
ORD-10430,2025-12-03,EU,Apparel,88.64,33.65
ORD-10431,2025-12-29,NA,Home,385.53,206.29
ORD-10432,2025-12-25,APAC,Toys,316.74,103.14
ORD-10433,2025-12-04,EU,Electronics,68.54,44.21
ORD-10434,2025-11-11,NA,Home,60.37,41.33
ORD-10435,2025-11-04,NA,Toys,356.47,142.12
ORD-10436,2025-12-03,APAC,Electronics,54.93,26.37
ORD-10437,2025-11-06,NA,Toys,414.49,128.02
ORD-10438,2025-12-25,APAC,Apparel,359.0,199.71
ORD-10439,2025-11-12,EU,Electronics,59.05,27.49
ORD-10440,2025-11-05,APAC,Toys,60.72,24.78
ORD-10441,2025-12-09,APAC,Electronics,493.59,188.91
ORD-10442,2025-11-05,NA,Apparel,199.65,112.13
ORD-10443,2025-12-14,EU,Home,197.91,92.32
ORD-10444,2025-12-26,EU,Toys,410.14,152.52
ORD-10445,2025-11-16,NA,Apparel,474.68,273.25
ORD-10446,2025-11-26,APAC,Toys,493.28,259.48
ORD-10447,2025-11-08,NA,Electronics,381.62,245.56
ORD-10448,2025-12-31,NA,Electronics,200.6,69.61
ORD-10449,2025-12-27,NA,Apparel,60.08,36.91
ORD-10450,2025-12-07,EU,Apparel,393.03,223.79
ORD-10451,2025-11-16,NA,Apparel,288.03,99.66
ORD-10452,2025-12-08,EU,Electronics,223.63,129.24
ORD-10453,2025-12-09,NA,Home,455.05,216.89
ORD-10454,2025-11-03,NA,Toys,73.37,49.74
ORD-10455,2025-12-10,APAC,Apparel,256.46,91.47
ORD-10456,2025-11-06,NA,Electronics,25.45,14.18
ORD-10457,2025-11-27,EU,Home,244.96,110.92
ORD-10458,2025-12-13,EU,Electronics,47.03,32.11
ORD-10459,2025-12-08,EU,Toys,77.03,33.28
ORD-10460,2025-12-07,NA,Home,76.41,52.33
ORD-10461,2025-12-04,NA,Home,331.62,219.07
ORD-10462,2025-11-21,NA,Electronics,378.1,154.32
ORD-10463,2025-12-30,NA,Apparel,300.02,186.44
ORD-10464,2025-11-17,NA,Toys,481.84,336.44
ORD-10465,2025-11-14,EU,Apparel,199.94,80.19
ORD-10466,2025-12-13,NA,Electronics,157.14,74.6
ORD-10467,2025-12-16,NA,Home,436.93,221.99
ORD-10468,2025-11-21,NA,Home,127.33,53.22
ORD-10469,2025-11-16,EU,Apparel,482.35,147.65
ORD-10470,2025-11-17,APAC,Toys,25.83,10.02
ORD-10471,2025-11-26,NA,Toys,485.54,200.42
