credit_id,account_id,contract_id,amendment_id,credit_date,credit_type,amount,currency,applied_to_invoice_id,application_date,remaining_balance,status,expiry_date,created_by,approval_required,approved_by,calculation_basis,is_system_generated,void_reason
CRM00020,ACC0043,CTR00076,AMD0032,2025-06-26,prorated,0.0,USD,INV000456,2025-06-27,0.0,applied,2025-09-24,billing_system,False,,monthly_prorate,True,
CRM00021,ACC0061,CTR00116,AMD0033,2025-06-13,prorated,0.0,USD,INV000696,2025-06-14,0.0,applied,2025-09-11,billing_system,False,,monthly_prorate,True,
CRM00022,ACC0071,CTR00132,AMD0034,2025-06-17,prorated,0.0,USD,INV000792,2025-06-18,0.0,applied,2025-09-15,billing_system,False,,monthly_prorate,True,
CRM00023,ACC0222,CTR00352,AMD0035,2025-06-21,prorated,0.0,USD,INV002112,2025-06-22,0.0,applied,2025-09-19,billing_system,False,,monthly_prorate,True,
CRM00024,ACC0277,CTR00439,AMD0036,2025-02-13,prorated,0.0,USD,INV002630,2025-02-14,0.0,applied,2025-05-11,billing_system,False,,monthly_prorate,True,
CRM00025,ACC0244,CTR00386,AMD0037,2025-01-11,prorated,3534.05,USD,INV002311,2025-01-12,0.0,applied,2025-04-09,billing_system,False,,monthly_prorate,True,
CRM00026,ACC0224,CTR00354,AMD0038,2025-05-14,prorated,0.0,USD,INV002123,2025-05-15,0.0,applied,2025-08-12,billing_system,False,,monthly_prorate,True,
CRM00027,ACC0230,CTR00363,AMD0039,2025-05-11,prorated,764.89,USD,INV002177,2025-05-12,0.0,applied,2025-08-09,billing_system,False,,monthly_prorate,True,
CRM00028,ACC0239,CTR00377,AMD0040,2025-03-20,prorated,0.0,USD,INV002259,2025-03-21,0.0,applied,2025-06-18,billing_system,False,,monthly_prorate,True,
CRM00029,ACC0123,CTR00217,AMD0041,2025-06-14,prorated,0.0,USD,INV001302,2025-06-15,0.0,applied,2025-09-12,billing_system,False,,monthly_prorate,True,
CRM00030,ACC0260,CTR00413,AMD0042,2025-01-25,prorated,3399.5,USD,INV002473,2025-01-26,0.0,applied,2025-04-23,billing_system,False,,monthly_prorate,True,
CRM00031,ACC0289,CTR00456,AMD0044,2025-02-07,prorated,0.0,USD,INV002732,2025-02-08,0.0,applied,2025-05-05,billing_system,False,,monthly_prorate,True,
CRM00032,ACC0162,CTR00271,AMD0045,2025-05-10,prorated,0.0,USD,INV001625,2025-05-11,0.0,applied,2025-08-08,billing_system,False,,monthly_prorate,True,
CRM00033,ACC0135,CTR00236,AMD0046,2025-01-24,prorated,2730.95,USD,INV001411,2025-01-25,0.0,applied,2025-04-22,billing_system,False,,monthly_prorate,True,
CRM00034,ACC0176,CTR00293,AMD0048,2025-03-21,prorated,1788.48,USD,INV001755,2025-03-22,0.0,applied,2025-06-19,billing_system,False,,monthly_prorate,True,
CRM00035,ACC0255,CTR00403,AMD0049,2025-01-18,prorated,0.0,USD,INV002413,2025-01-19,0.0,applied,2025-04-16,billing_system,False,,monthly_prorate,True,
CRM00036,ACC0229,CTR00361,AMD0050,2025-03-16,prorated,0.0,USD,INV002163,2025-03-17,0.0,applied,2025-06-14,billing_system,False,,monthly_prorate,True,
CRM00037,ACC0172,CTR00286,AMD0053,2025-01-13,prorated,4245.05,USD,INV001711,2025-01-14,0.0,applied,2025-04-11,billing_system,False,,monthly_prorate,True,
CRM00038,ACC0128,CTR00224,AMD0054,2025-06-23,prorated,0.0,USD,INV001344,2025-06-24,0.0,applied,2025-09-21,billing_system,False,,monthly_prorate,True,
CRM00039,ACC0228,CTR00360,AMD0055,2025-06-26,prorated,0.0,USD,INV002160,2025-06-27,0.0,applied,2025-09-24,billing_system,False,,monthly_prorate,True,
CRM00040,ACC0247,CTR00391,AMD0056,2025-02-19,prorated,0.0,USD,INV002342,2025-02-20,0.0,applied,2025-05-17,billing_system,False,,monthly_prorate,True,
CRM00041,ACC0171,CTR00285,AMD0057,2025-01-15,prorated,1282.55,USD,INV001705,2025-01-16,0.0,applied,2025-04-13,billing_system,False,,monthly_prorate,True,
CRM00042,ACC0147,CTR00253,AMD0058,2025-05-27,prorated,0.0,USD,INV001517,2025-05-28,0.0,applied,2025-08-25,billing_system,False,,monthly_prorate,True,
CRM00043,ACC0127,CTR00221,AMD0060,2025-06-18,prorated,0.0,USD,INV001326,2025-06-19,0.0,applied,2025-09-16,billing_system,False,,monthly_prorate,True,
CRM00044,ACC0133,CTR00232,AMD0061,2025-02-13,prorated,1298.6,USD,INV001388,2025-02-14,0.0,applied,2025-05-11,billing_system,False,,monthly_prorate,True,
CRM00045,ACC0242,CTR00382,AMD0062,2025-06-13,prorated,0.0,USD,INV002292,2025-06-14,0.0,applied,2025-09-11,billing_system,False,,monthly_prorate,True,
