line_item_id,invoice_id,contract_id,product_sku,description,quantity,unit_price,list_price,discount_pct,discount_reason,line_total,billing_period_start,billing_period_end,is_prorated,proration_days,proration_method,recognition_start,recognition_end,revenue_category,tax_code,override_flag,override_reason
LIT0000012,INV000006,CTR00001,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000013,INV000007,CTR00002,PRD-PLAT-ENT,Platform Subscription — January 2025,1,8250.0,9075.0,0.05,contract,8250.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000014,INV000007,CTR00002,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000015,INV000008,CTR00002,PRD-PLAT-ENT,Platform Subscription — February 2025,1,"8.250,00",9075.0,0.05,contract,8250.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,True,manual_price_adjustment
LIT0000016,INV000008,CTR00002,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000017,INV000009,CTR00002,PRD-PLAT-ENT,Platform Subscription — March 2025,1,8250.0,9075.0,0.05,contract,8250.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000018,INV000009,CTR00002,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000019,INV000010,CTR00002,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6220.49,6842.54,0.05,contract,6220.49,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000020,INV000010,CTR00002,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000021,INV000011,CTR00002,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6220.49,6842.54,0.05,contract,6220.49,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000022,INV000011,CTR00002,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000023,INV000012,CTR00002,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6220.49,6842.54,0.05,contract,6220.49,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000024,INV000012,CTR00002,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000025,INV000013,CTR00003,PRD-PLAT-ENT,Platform Subscription — January 2025,1,7050.0,7755.0,0.0,,7050.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000026,INV000013,CTR00003,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000027,INV000014,CTR00003,PRD-PLAT-ENT,Platform Subscription — February 2025,1,7050.0,7755.0,0.0,,7050.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000028,INV000014,CTR00003,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000029,INV000015,CTR00003,PRD-PLAT-ENT,Platform Subscription — March 2025,1,7050.0,7755.0,0.0,,7050.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000030,INV000015,CTR00003,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000031,INV000016,CTR00003,PRD-PLAT-ENT,Platform Subscription — April 2025,1,7050.0,7755.0,0.0,,7050.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000032,INV000016,CTR00003,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000033,INV000017,CTR00003,PRD-PLAT-ENT,Platform Subscription — May 2025,1,7050.0,7755.0,0.0,,7050.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000034,INV000017,CTR00003,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000035,INV000018,CTR00003,PRD-PLAT-ENT,Platform Subscription — June 2025,1,7050.0,7755.0,0.0,,7050.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000036,INV000018,CTR00003,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000037,INV000019,CTR00004,PRD-PLAT-ENT,Platform Subscription — January 2025,1,9500.0,10450.0,0.0,,9500.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000038,INV000019,CTR00004,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000039,INV000020,CTR00004,PRD-PLAT-ENT,Platform Subscription — February 2025,1,9500.0,10450.0,0.0,,9500.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000040,INV000020,CTR00004,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000041,INV000021,CTR00004,PRD-PLAT-ENT,Platform Subscription — March 2025,1,9500.0,10450.0,0.0,,9500.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000042,INV000021,CTR00004,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000043,INV000022,CTR00004,PRD-PLAT-ENT,Platform Subscription — April 2025,1,9500.0,10450.0,0.0,,9500.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000044,INV000022,CTR00004,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000045,INV000023,CTR00004,PRD-PLAT-ENT,Platform Subscription — May 2025,1,9500.0,10450.0,0.0,,9500.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000046,INV000023,CTR00004,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000047,INV000024,CTR00004,PRD-PLAT-ENT,Platform Subscription — June 2025,1,9500.0,10450.0,0.0,,9500.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000048,INV000024,CTR00004,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000049,INV000025,CTR00005,PRD-PLAT-ENT,Platform Subscription — January 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000050,INV000025,CTR00005,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000051,INV000026,CTR00005,PRD-PLAT-ENT,Platform Subscription — February 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000052,INV000026,CTR00005,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000053,INV000027,CTR00005,PRD-PLAT-ENT,Platform Subscription — March 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000054,INV000027,CTR00005,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000055,INV000028,CTR00005,PRD-PLAT-ENT,Platform Subscription — April 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000056,INV000028,CTR00005,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000057,INV000029,CTR00005,PRD-PLAT-ENT,Platform Subscription — May 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000058,INV000029,CTR00005,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000059,INV000030,CTR00005,PRD-PLAT-ENT,Platform Subscription — June 2025,1,9250.0,10175.0,0.05,contract,9250.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000060,INV000030,CTR00005,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000061,INV000031,CTR00006,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000062,INV000031,CTR00006,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000063,INV000032,CTR00006,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000064,INV000032,CTR00006,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000065,INV000033,CTR00006,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000066,INV000033,CTR00006,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000067,INV000034,CTR00006,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000068,INV000034,CTR00006,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000069,INV000035,CTR00006,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000070,INV000035,CTR00006,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000071,INV000036,CTR00006,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000072,INV000036,CTR00006,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000073,INV000037,CTR00007,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000074,INV000037,CTR00007,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000075,INV000038,CTR00007,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000076,INV000038,CTR00007,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000077,INV000039,CTR00007,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000078,INV000039,CTR00007,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000079,INV000040,CTR00007,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000080,INV000040,CTR00007,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000081,INV000041,CTR00007,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000082,INV000041,CTR00007,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000083,INV000042,CTR00007,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6800.0,7480.0,0.1,contract,6800.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000084,INV000042,CTR00007,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000085,INV000043,CTR00008,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000086,INV000043,CTR00008,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000087,INV000044,CTR00008,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000088,INV000044,CTR00008,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000089,INV000045,CTR00008,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000090,INV000045,CTR00008,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000091,INV000046,CTR00008,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000092,INV000046,CTR00008,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000093,INV000047,CTR00008,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000094,INV000047,CTR00008,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000095,INV000048,CTR00008,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6250.0,6875.0,0.15,contract,6250.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000096,INV000048,CTR00008,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000097,INV000049,CTR00009,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000098,INV000049,CTR00009,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000099,INV000050,CTR00009,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000100,INV000050,CTR00009,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000101,INV000051,CTR00009,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000102,INV000051,CTR00009,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000103,INV000052,CTR00009,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000104,INV000052,CTR00009,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000105,INV000053,CTR00009,PRD-PLAT-ENT,Platform Subscription — May 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000106,INV000053,CTR00009,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000107,INV000054,CTR00009,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000108,INV000054,CTR00009,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000109,INV000055,CTR00010,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6500.0,7150.0,0.1,contract,6500.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000110,INV000055,CTR00010,PRD-SUP-ENT,Support — January 2025,1,2000.0,2000.0,0.0,,2000.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
LIT0000111,INV000056,CTR00010,PRD-PLAT-ENT,Platform Subscription — February 2025,1,6500.0,7150.0,0.1,contract,6500.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000112,INV000056,CTR00010,PRD-SUP-ENT,Support — February 2025,1,2000.0,2000.0,0.0,,2000.0,2025-02-01,2025-02-28,False,0,,2025-02-01,2025-02-28,subscription,SRV-SAAS,False,
LIT0000113,INV000057,CTR00010,PRD-PLAT-ENT,Platform Subscription — March 2025,1,6500.0,7150.0,0.1,contract,6500.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000114,INV000057,CTR00010,PRD-SUP-ENT,Support — March 2025,1,2000.0,2000.0,0.0,,2000.0,2025-03-01,2025-03-31,False,0,,2025-03-01,2025-03-31,subscription,SRV-SAAS,False,
LIT0000115,INV000058,CTR00010,PRD-PLAT-ENT,Platform Subscription — April 2025,1,6500.0,7150.0,0.1,contract,6500.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000116,INV000058,CTR00010,PRD-SUP-ENT,Support — April 2025,1,2000.0,2000.0,0.0,,2000.0,2025-04-01,2025-04-30,False,0,,2025-04-01,2025-04-30,subscription,SRV-SAAS,False,
LIT0000117,INV000059,CTR00010,PRD-PLAT-ENT,Platform Subscription — May 2025,1,"$6,500.00",7150.0,0.1,contract,6500.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,True,manual_price_adjustment
LIT0000118,INV000059,CTR00010,PRD-SUP-ENT,Support — May 2025,1,2000.0,2000.0,0.0,,2000.0,2025-05-01,2025-05-31,False,0,,2025-05-01,2025-05-31,subscription,SRV-SAAS,False,
LIT0000119,INV000060,CTR00010,PRD-PLAT-ENT,Platform Subscription — June 2025,1,6500.0,7150.0,0.1,contract,6500.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000120,INV000060,CTR00010,PRD-SUP-ENT,Support — June 2025,1,2000.0,2000.0,0.0,,2000.0,2025-06-01,2025-06-30,False,0,,2025-06-01,2025-06-30,subscription,SRV-SAAS,False,
LIT0000121,INV000061,CTR00011,PRD-PLAT-ENT,Platform Subscription — January 2025,1,6750.0,7425.0,0.05,contract,6750.0,2025-01-01,2025-01-31,False,0,,2025-01-01,2025-01-31,subscription,SRV-SAAS,False,
