payment_id,invoice_id,account_id,payment_date,amount_received,currency,applied_fx_rate,usd_amount_applied,payment_method,transaction_ref,is_partial,partial_payment_sequence,prior_outstanding_balance,remaining_balance_after,bank_fee_deducted,is_reconciled,reconciliation_date,reconciliation_source,chargeback_flag,chargeback_date,reversal_of_payment_id,notes
PAY000015,INV000015,ACC0003,2025-04-09,7050.0,USD,1.0,7050.0,wire,TXN184279,False,0,7050.0,0.0,0.0,True,2025-04-11,bank_feed,False,,,
PAY000016,INV000016,ACC0003,2025-04-29,7050.0,USD,1.0,7050.0,ACH,TXN396568,False,0,7050.0,0.0,0.0,True,2025-05-02,bank_feed,False,,,
PAY000017,INV000017,ACC0003,2025-06-07,7050.0,USD,1.0,7050.0,ACH,TXN687797,False,0,7050.0,0.0,0.0,True,2025-06-08,bank_feed,False,,,
PAY000018,INV000018,ACC0003,2025-07-10,7050.0,USD,1.0,7050.0,credit_card,TXN725228,False,0,7050.0,0.0,0.0,True,2025-07-12,bank_feed,False,,,
PAY000019,INV000019,ACC0004,2025-02-13,9500.0,USD,1.0,9500.0,ACH,TXN632994,False,0,9500.0,0.0,0.0,True,2025-02-14,bank_feed,False,,,
PAY000020,INV000021,ACC0004,2025-04-24,9500.0,USD,1.0,9500.0,wire,TXN493809,False,0,9500.0,0.0,0.0,True,2025-04-26,bank_feed,False,,,
PAY000021,INV000023,ACC0004,2025-06-12,9500.0,USD,1.0,9500.0,ACH,TXN271246,False,0,9500.0,0.0,50.0,True,2025-06-14,bank_feed,False,,,
PAY000022,INV000025,ACC0005,2025-02-20,9250.0,USD,1.0,9250.0,ACH,TXN822567,False,0,9250.0,0.0,50.0,True,2025-02-23,bank_feed,False,,,
PAY000023,INV000026,ACC0005,2025-03-25,9250.0,USD,1.0,9250.0,ACH,TXN333706,False,0,9250.0,0.0,25.0,True,2025-03-26,bank_feed,False,,,
PAY000024,INV000027,ACC0005,2025-04-23,9250.0,USD,1.0,9250.0,ACH,TXN485742,False,0,9250.0,0.0,0.0,True,2025-04-25,bank_feed,False,,,
PAY000025,INV000028,ACC0005,2025-05-27,9250.0,USD,1.0,9250.0,credit_card,TXN618977,False,0,9250.0,0.0,25.0,True,2025-05-30,bank_feed,False,,,
PAY000026,INV000029,ACC0005,2025-06-18,9250.0,USD,1.0,9250.0,ACH,TXN493575,False,0,9250.0,0.0,0.0,True,2025-06-20,bank_feed,False,,,
PAY000027,INV000030,ACC0005,2025-07-22,9250.0,USD,1.0,9250.0,wire,TXN489939,False,0,9250.0,0.0,50.0,True,2025-07-25,bank_feed,False,,,
PAY000028,INV000031,ACC0005,2025-02-17,6750.0,USD,1.0,6750.0,ACH,TXN357961,False,0,6750.0,0.0,25.0,True,2025-02-18,bank_feed,False,,,
PAY000029,INV000032,ACC0005,2025-03-19,6750.0,USD,1.0,6750.0,ACH,TXN486479,False,0,6750.0,0.0,0.0,True,2025-03-22,bank_feed,False,,,
PAY000030,INV000034,ACC0005,2025-05-14,6750.0,USD,1.0,6750.0,ACH,TXN465399,False,0,6750.0,0.0,25.0,True,2025-05-15,bank_feed,False,,,
PAY000031,INV000035,ACC0005,2025-06-22,6750.0,USD,1.0,6750.0,wire,TXN193043,False,0,6750.0,0.0,50.0,True,2025-06-23,bank_feed,False,,,
PAY000032,INV000036,ACC0005,2025-07-23,6750.0,USD,1.0,6750.0,wire,TXN568712,False,0,6750.0,0.0,0.0,True,2025-07-26,bank_feed,False,,,
PAY000033,INV000037,ACC0006,2025-01-28,6800.0,USD,1.0,6800.0,ACH,TXN198441,False,0,6800.0,0.0,0.0,True,2025-01-31,bank_feed,False,,,
PAY000034,INV000039,ACC0006,2025-03-30,6800.0,USD,1.0,6800.0,ACH,TXN106259,False,0,6800.0,0.0,25.0,True,2025-04-01,bank_feed,False,,,
PAY000035,INV000042,ACC0006,2025-07-11,6800.0,USD,1.0,6800.0,wire,TXN555605,False,0,6800.0,0.0,25.0,True,2025-07-14,bank_feed,False,,,
PAY000036,INV000043,ACC0007,2025-01-29,7500.0,EUR,1.04,7800.0,check,TXN774216,False,0,7500.0,0.0,0.0,True,2025-02-01,bank_feed,False,,,
PAY000037,INV000045,ACC0007,2025-04-05,7500.0,EUR,1.0358,7768.5,ACH,TXN145468,False,0,7500.0,0.0,0.0,True,2025-04-08,bank_feed,False,,,
PAY000038,INV000046,ACC0007,2025-05-06,7500.0,EUR,1.0369,7776.75,wire,TXN941342,False,0,7500.0,0.0,0.0,True,2025-05-07,bank_feed,False,,,
PAY000039,INV000047,ACC0007,2025-06-07,7500.0,EUR,1.0321,7740.75,check,TXN185806,False,0,7500.0,0.0,0.0,True,2025-06-08,bank_feed,False,,,
PAY000040,INV000048,ACC0007,2025-07-11,7500.0,EUR,1.0346,7759.5,ACH,TXN910717,False,0,7500.0,0.0,0.0,True,2025-07-14,bank_feed,False,,,
PAY000041,INV000049,ACC0007,2025-02-05,8100.0,EUR,1.0391,8416.71,check,TXN277994,False,0,8100.0,0.0,0.0,True,2025-02-07,bank_feed,False,,,
PAY000042,INV000050,ACC0007,2025-03-08,8100.0,EUR,1.0393,8418.33,ACH,TXN790885,False,0,8100.0,0.0,25.0,True,2025-03-09,bank_feed,False,,,
PAY000043,INV000051,ACC0007,2025-04-04,8100.0,EUR,1.0358,8389.98,wire,TXN309862,False,0,8100.0,0.0,25.0,True,2025-04-05,bank_feed,False,,,
PAY000044,INV000052,ACC0007,2025-05-04,8100.0,EUR,1.0358,8389.98,ACH,TXN720797,False,0,8100.0,0.0,0.0,True,2025-05-06,bank_feed,False,,,
PAY000045,INV000053,ACC0007,2025-06-07,8100.0,EUR,1.0321,8360.01,credit_card,TXN371926,False,0,8100.0,0.0,50.0,True,2025-06-08,bank_feed,False,,,
PAY000046,INV000054,ACC0007,2025-07-08,8100.0,EUR,1.0279,8325.99,wire,TXN919616,False,0,8100.0,0.0,25.0,True,2025-07-09,bank_feed,False,,,
PAY000047,INV000055,ACC0008,2025-02-16,6500.0,USD,1.0,6500.0,ACH,TXN865952,False,0,6500.0,0.0,50.0,True,2025-02-18,bank_feed,False,,,
PAY000048,INV000056,ACC0008,2025-03-24,6500.0,USD,1.0,6500.0,wire,TXN589741,False,0,6500.0,0.0,0.0,True,2025-03-25,bank_feed,False,,,
PAY000049,INV000057,ACC0008,2025-04-18,6500.0,USD,1.0,6500.0,credit_card,TXN212864,False,0,6500.0,0.0,25.0,True,2025-04-19,bank_feed,False,,,
PAY000050,INV000058,ACC0008,2025-05-14,6500.0,USD,1.0,6500.0,credit_card,TXN659720,False,0,6500.0,0.0,0.0,True,2025-05-15,bank_feed,False,,,
PAY000051,INV000059,ACC0008,2025-06-25,6500.0,USD,1.0,6500.0,ACH,TXN362778,False,0,6500.0,0.0,50.0,True,2025-06-28,bank_feed,False,,,
PAY000052,INV000060,ACC0008,2025-07-14,6500.0,USD,1.0,6500.0,credit_card,TXN946545,False,0,6500.0,0.0,0.0,True,2025-07-16,bank_feed,False,,,
PAY000053,INV000061,ACC0009,2025-02-04,8100.0,GBP,1.2427,10065.87,credit_card,TXN531630,False,0,8100.0,0.0,50.0,True,2025-02-07,bank_feed,False,,,
PAY000054,INV000062,ACC0009,2025-03-04,8100.0,GBP,1.2413,10054.53,ACH,TXN110308,False,0,8100.0,0.0,25.0,True,2025-03-06,bank_feed,False,,,
PAY000055,INV000063,ACC0009,2025-04-02,8100.0,GBP,1.2403,10046.43,ACH,TXN775598,False,0,8100.0,0.0,0.0,True,2025-04-03,bank_feed,False,,,
PAY000056,INV000064,ACC0009,2025-05-02,8100.0,GBP,1.2427,10065.87,ACH,TXN845765,False,0,8100.0,0.0,50.0,True,2025-05-03,bank_feed,False,,,
PAY000057,INV000065,ACC0009,2025-06-10,8100.0,GBP,1.2432,10069.92,credit_card,TXN670203,False,0,8100.0,0.0,0.0,True,2025-06-12,bank_feed,False,,,
PAY000058,INV000066,ACC0009,2025-07-06,8100.0,GBP,1.2341,9996.21,credit_card,TXN996727,False,0,8100.0,0.0,0.0,True,2025-07-07,bank_feed,False,,,
PAY000059,INV000068,ACC0009,2025-02-28,7200.0,GBP,1.243,8949.6,ACH,TXN396332,False,0,7200.0,0.0,0.0,True,2025-03-02,bank_feed,False,,,
PAY000060,INV000070,ACC0009,2025-04-28,7200.0,GBP,1.2442,8958.24,wire,TXN686827,False,0,7200.0,0.0,0.0,True,2025-04-30,bank_feed,False,,,
PAY000061,INV000071,ACC0009,2025-06-01,7200.0,GBP,1.2404,8930.88,ACH,TXN210258,False,0,7200.0,0.0,25.0,True,2025-06-03,bank_feed,False,,,
PAY000062,INV000072,ACC0009,2025-06-29,7200.0,GBP,1.2396,8925.12,ACH,TXN342427,False,0,7200.0,0.0,50.0,True,2025-07-02,bank_feed,False,,,
PAY000063,INV000075,ACC0010,2025-03-28,8400.0,GBP,1.2401,10416.84,wire,TXN569193,False,0,8400.0,0.0,0.0,True,2025-03-29,bank_feed,False,,,
PAY000064,INV000077,ACC0010,2025-05-29,8400.0,GBP,1.2309,10339.56,credit_card,TXN919496,False,0,8400.0,0.0,50.0,True,2025-05-31,bank_feed,False,,,
PAY000065,INV000078,ACC0010,2025-07-08,8400.0,GBP,1.2321,10349.64,wire,TXN278402,False,0,8400.0,0.0,0.0,True,2025-07-10,bank_feed,False,,,
PAY000066,INV000079,ACC0010,2025-02-18,8400.0,GBP,1.2433,10443.72,wire,TXN848398,False,0,8400.0,0.0,0.0,True,2025-02-21,bank_feed,False,,,
PAY000067,INV000080,ACC0010,2025-03-16,8400.0,GBP,1.25,10500.0,ACH,TXN744551,False,0,8400.0,0.0,0.0,True,2025-03-19,bank_feed,False,,,
PAY000068,INV000081,ACC0010,2025-04-17,8400.0,GBP,1.2414,10427.76,ACH,TXN389438,False,0,8400.0,0.0,50.0,True,2025-04-19,bank_feed,False,,,
PAY000069,INV000083,ACC0010,2025-06-26,8400.0,GBP,1.2342,10367.28,wire,TXN476509,False,0,8400.0,0.0,50.0,True,2025-06-27,bank_feed,False,,,
PAY000070,INV000084,ACC0010,2025-07-27,8400.0,GBP,1.2331,10358.04,wire,TXN390890,False,0,8400.0,0.0,0.0,True,2025-07-28,bank_feed,False,,,
PAY000071,INV000085,ACC0011,2025-01-30,7550.0,USD,1.0,7550.0,wire,TXN219660,False,0,7550.0,0.0,25.0,True,2025-02-01,bank_feed,False,,,
PAY000072,INV000087,ACC0011,2025-04-10,7550.0,USD,1.0,7550.0,wire,TXN951676,False,0,7550.0,0.0,0.0,True,2025-04-12,bank_feed,False,,,
PAY000073,INV000088,ACC0011,2025-05-04,7550.0,USD,1.0,7550.0,ACH,TXN339976,False,0,7550.0,0.0,0.0,True,2025-05-06,bank_feed,False,,,
PAY000074,INV000089,ACC0011,2025-05-29,7550.0,USD,1.0,7550.0,ACH,TXN514636,False,0,7550.0,0.0,50.0,True,2025-05-31,bank_feed,False,,,
PAY000075,INV000090,ACC0011,2025-07-07,7550.0,USD,1.0,7550.0,ACH,TXN290952,False,0,7550.0,0.0,0.0,True,2025-07-08,bank_feed,False,,,
PAY000076,INV000091,ACC0012,2025-02-09,6750.0,USD,1.0,6750.0,wire,TXN604459,False,0,6750.0,0.0,0.0,True,2025-02-12,bank_feed,False,,,
PAY000077,INV000094,ACC0012,2025-04-30,6750.0,USD,1.0,6750.0,wire,TXN742407,False,0,6750.0,0.0,0.0,True,2025-05-03,bank_feed,False,,,
PAY000078,INV000095,ACC0012,2025-06-04,6750.0,USD,1.0,6750.0,credit_card,TXN219759,False,0,6750.0,0.0,0.0,True,2025-06-06,bank_feed,False,,,
PAY000079,INV000096,ACC0012,2025-06-28,6750.0,USD,1.0,6750.0,ACH,TXN700044,False,0,6750.0,0.0,25.0,True,2025-06-29,bank_feed,False,,,
PAY000080,INV000097,ACC0012,2025-02-15,6500.0,USD,1.0,6500.0,ACH,TXN937733,False,0,6500.0,0.0,0.0,True,2025-02-17,bank_feed,False,,,
PAY000081,INV000098,ACC0012,2025-03-17,6500.0,USD,1.0,6500.0,ACH,TXN185073,False,0,6500.0,0.0,0.0,True,2025-03-20,bank_feed,False,,,
PAY000082,INV000099,ACC0012,2025-04-17,6500.0,USD,1.0,6500.0,wire,TXN674726,False,0,6500.0,0.0,0.0,True,2025-04-18,bank_feed,False,,,
PAY000083,INV000100,ACC0012,2025-05-21,6500.0,USD,1.0,6500.0,wire,TXN236888,False,0,6500.0,0.0,50.0,True,2025-05-22,bank_feed,False,,,
PAY000084,INV000101,ACC0012,2025-06-13,6500.0,USD,1.0,6500.0,ACH,TXN343946,False,0,6500.0,0.0,0.0,True,2025-06-14,bank_feed,False,,,
PAY000085,INV000102,ACC0012,2025-07-25,6500.0,USD,1.0,6500.0,wire,TXN945521,False,0,6500.0,0.0,50.0,True,2025-07-26,bank_feed,False,,,
PAY000086,INV000103,ACC0012,2025-01-30,6250.0,USD,1.0,6250.0,wire,TXN534305,False,0,6250.0,0.0,25.0,True,2025-02-01,bank_feed,False,,,
PAY000087,INV000104,ACC0012,2025-03-13,6250.0,USD,1.0,6250.0,wire,TXN886595,False,0,6250.0,0.0,0.0,True,2025-03-14,bank_feed,False,,,
PAY000088,INV000105,ACC0012,2025-04-11,6250.0,USD,1.0,6250.0,wire,TXN587071,False,0,6250.0,0.0,0.0,True,2025-04-12,bank_feed,False,,,
PAY000089,INV000106,ACC0012,2025-05-03,6250.0,USD,1.0,6250.0,ACH,TXN885308,False,0,6250.0,0.0,0.0,True,2025-05-04,bank_feed,False,,,
PAY000090,INV000107,ACC0012,2025-06-04,6250.0,USD,1.0,6250.0,ACH,TXN934833,False,0,6250.0,0.0,0.0,True,2025-06-05,bank_feed,False,,,
PAY000091,INV000108,ACC0012,2025-07-01,6250.0,USD,1.0,6250.0,wire,TXN140526,False,0,6250.0,0.0,0.0,True,2025-07-03,bank_feed,False,,,
PAY000092,INV000109,ACC0013,2025-02-13,6800.0,USD,1.0,6800.0,wire,TXN788242,False,0,6800.0,0.0,0.0,True,2025-02-16,bank_feed,False,,,
PAY000093,INV000110,ACC0013,2025-03-27,6800.0,USD,1.0,6800.0,credit_card,TXN925640,False,0,6800.0,0.0,0.0,True,2025-03-28,bank_feed,False,,,
PAY000094,INV000111,ACC0013,2025-04-25,6800.0,USD,1.0,6800.0,ACH,TXN916321,False,0,6800.0,0.0,0.0,True,2025-04-28,bank_feed,False,,,
PAY000095,INV000112,ACC0013,2025-05-16,6800.0,USD,1.0,6800.0,ACH,TXN569171,False,0,6800.0,0.0,0.0,True,2025-05-19,bank_feed,False,,,
PAY000096,INV000113,ACC0013,2025-06-15,6800.0,USD,1.0,6800.0,credit_card,TXN702094,False,0,6800.0,0.0,50.0,True,2025-06-17,bank_feed,False,,,
PAY000097,INV000114,ACC0013,2025-07-23,6800.0,USD,1.0,6800.0,wire,TXN760823,False,0,6800.0,0.0,50.0,True,2025-07-25,bank_feed,False,,,
PAY000098,INV000115,ACC0013,2025-02-09,6500.0,USD,1.0,6500.0,ACH,TXN408738,False,0,6500.0,0.0,0.0,True,2025-02-12,bank_feed,False,,,
PAY000099,INV000116,ACC0013,2025-03-10,6500.0,USD,1.0,6500.0,wire,TXN671082,False,0,6500.0,0.0,25.0,True,2025-03-13,bank_feed,False,,,
PAY000100,INV000117,ACC0013,2025-03-31,6500.0,USD,1.0,6500.0,wire,TXN720710,False,0,6500.0,0.0,50.0,True,2025-04-03,bank_feed,False,,,
PAY000101,INV000119,ACC0013,2025-06-03,6500.0,USD,1.0,6500.0,wire,TXN486137,False,0,6500.0,0.0,25.0,True,2025-06-06,bank_feed,False,,,
PAY000102,INV000120,ACC0013,2025-06-29,6500.0,USD,1.0,6500.0,ACH,TXN603735,False,0,6500.0,0.0,25.0,True,2025-06-30,bank_feed,False,,,
PAY000103,INV000121,ACC0014,2025-01-28,8820.0,EUR,1.0405,9177.21,wire,TXN293755,False,0,8820.0,0.0,0.0,True,2025-01-31,bank_feed,False,,,
PAY000104,INV000122,ACC0014,2025-03-14,8820.0,EUR,1.0339,9119.0,wire,TXN806051,False,0,8820.0,0.0,0.0,True,2025-03-17,bank_feed,False,,,
PAY000105,INV000123,ACC0014,2025-04-02,8820.0,EUR,1.0397,9170.15,ACH,TXN500340,False,0,8820.0,0.0,0.0,True,2025-04-04,bank_feed,False,,,
PAY000106,INV000124,ACC0014,2025-05-12,8820.0,EUR,1.035,9128.7,ACH,TXN918302,False,0,8820.0,0.0,25.0,True,2025-05-15,bank_feed,False,,,
PAY000107,INV000125,ACC0014,2025-05-30,8820.0,EUR,1.0333,9113.71,ACH,TXN888024,False,0,8820.0,0.0,0.0,True,2025-06-01,bank_feed,False,,,
PAY000108,INV000126,ACC0014,2025-07-09,8820.0,EUR,1.0292,9077.54,ACH,TXN508395,False,0,8820.0,0.0,0.0,True,2025-07-10,bank_feed,False,,,
PAY000109,INV000127,ACC0014,2025-03-11,7800.0,EUR,1.0387,8101.86,wire,TXN540077,False,0,7800.0,0.0,25.0,True,2025-03-14,bank_feed,False,,,
PAY000110,INV000129,ACC0014,2025-04-29,7800.0,EUR,1.0324,8052.72,wire,TXN936940,False,0,7800.0,0.0,0.0,True,2025-05-02,bank_feed,False,,,
PAY000111,INV000130,ACC0014,2025-06-07,7800.0,EUR,1.0321,8050.38,ACH,TXN360544,False,0,7800.0,0.0,0.0,True,2025-06-09,bank_feed,False,,,
PAY000112,INV000131,ACC0014,2025-07-08,7800.0,EUR,1.0279,8017.62,ACH,TXN800926,False,0,7800.0,0.0,0.0,True,2025-07-11,bank_feed,False,,,
PAY000113,INV000134,ACC0015,2025-02-28,8250.0,USD,1.0,8250.0,ACH,TXN658320,False,0,8250.0,0.0,0.0,True,2025-03-02,bank_feed,False,,,
PAY000114,INV000135,ACC0015,2025-04-05,8250.0,USD,1.0,8250.0,wire,TXN714467,False,0,8250.0,0.0,0.0,True,2025-04-06,bank_feed,False,,,
PAY000115,INV000136,ACC0015,2025-05-03,8250.0,USD,1.0,8250.0,ACH,TXN597138,False,0,8250.0,0.0,0.0,True,2025-05-05,bank_feed,False,,,
PAY000116,INV000138,ACC0015,2025-07-11,8250.0,USD,1.0,8250.0,ACH,TXN934838,False,0,8250.0,0.0,25.0,True,2025-07-13,bank_feed,False,,,
PAY000117,INV000139,ACC0016,2025-02-05,10200.0,GBP,1.2445,12693.9,ACH,TXN797267,False,0,10200.0,0.0,50.0,True,2025-02-07,bank_feed,False,,,
PAY000118,INV000140,ACC0016,2025-03-09,10200.0,GBP,1.2361,12608.22,credit_card,TXN619735,False,0,10200.0,0.0,0.0,True,2025-03-12,bank_feed,False,,,
PAY000119,INV000141,ACC0016,2025-04-05,10200.0,GBP,1.242,12668.4,check,TXN343536,False,0,10200.0,0.0,25.0,True,2025-04-06,bank_feed,False,,,
PAY000120,INV000142,ACC0016,2025-05-05,10200.0,GBP,1.2407,12655.14,wire,TXN290826,False,0,10200.0,0.0,0.0,True,2025-05-08,bank_feed,False,,,
PAY000121,INV000143,ACC0016,2025-06-10,10200.0,GBP,1.2432,12680.64,ACH,TXN266904,False,0,10200.0,0.0,0.0,True,2025-06-11,bank_feed,False,,,
PAY000122,INV000144,ACC0016,2025-07-09,10200.0,GBP,1.2401,12649.02,wire,TXN514029,False,0,10200.0,0.0,0.0,True,2025-07-11,bank_feed,False,,,
PAY000123,INV000145,ACC0017,2025-01-30,7000.0,USD,1.0,7000.0,ACH,TXN268571,False,0,7000.0,0.0,0.0,True,2025-02-02,bank_feed,False,,,
PAY000124,INV000146,ACC0017,2025-03-06,7000.0,USD,1.0,7000.0,ACH,TXN198821,False,0,7000.0,0.0,0.0,True,2025-03-08,bank_feed,False,,,
PAY000125,INV000148,ACC0017,2025-05-07,7000.0,USD,1.0,7000.0,credit_card,TXN621353,False,0,7000.0,0.0,0.0,True,2025-05-08,bank_feed,False,,,
PAY000126,INV000149,ACC0017,2025-05-28,7000.0,USD,1.0,7000.0,credit_card,TXN400773,False,0,7000.0,0.0,25.0,True,2025-05-31,bank_feed,False,,,
PAY000127,INV000150,ACC0017,2025-07-08,7000.0,USD,1.0,7000.0,ACH,TXN669752,False,0,7000.0,0.0,0.0,True,2025-07-10,bank_feed,False,,,
PAY000128,INV000153,ACC0017,2025-04-15,6500.0,USD,1.0,6500.0,wire,TXN980322,False,0,6500.0,0.0,0.0,True,2025-04-18,bank_feed,False,,,
PAY000129,INV000154,ACC0017,2025-05-19,6500.0,USD,1.0,6500.0,ACH,TXN562189,False,0,6500.0,0.0,0.0,True,2025-05-20,bank_feed,False,,,
PAY000130,INV000155,ACC0017,2025-06-14,6500.0,USD,1.0,6500.0,wire,TXN817019,False,0,6500.0,0.0,0.0,True,2025-06-15,bank_feed,False,,,
PAY000131,INV000157,ACC0018,2025-03-12,11100.0,GBP,1.2377,13738.47,check,TXN690100,False,0,11100.0,0.0,0.0,True,2025-03-14,bank_feed,False,,,
PAY000132,INV000158,ACC0018,2025-04-06,11100.0,GBP,1.242,13786.2,wire,TXN247639,False,0,11100.0,0.0,0.0,True,2025-04-08,bank_feed,False,,,
PAY000133,INV000162,ACC0018,2025-08-07,12933.2,GBP,1.2353,15976.38,check,TXN630740,False,0,12933.2,0.0,0.0,True,2025-08-09,bank_feed,False,,,
PAY000134,INV000164,ACC0019,2025-04-08,9250.0,USD,1.0,9250.0,check,TXN372534,False,0,9250.0,0.0,0.0,True,2025-04-11,bank_feed,False,,,
PAY000135,INV000165,ACC0019,2025-05-08,9250.0,USD,1.0,9250.0,ACH,TXN374969,False,0,9250.0,0.0,0.0,True,2025-05-10,bank_feed,False,,,
PAY000136,INV000168,ACC0019,2025-08-08,9250.0,USD,1.0,9250.0,wire,TXN426834,False,0,9250.0,0.0,0.0,True,2025-08-09,bank_feed,False,,,
PAY000137,INV000170,ACC0019,2025-03-16,6250.0,USD,1.0,6250.0,ACH,TXN271654,False,0,6250.0,0.0,50.0,True,2025-03-19,bank_feed,False,,,
PAY000138,INV000171,ACC0019,2025-04-17,6250.0,USD,1.0,6250.0,wire,TXN182141,False,0,6250.0,0.0,0.0,True,2025-04-20,bank_feed,False,,,
PAY000139,INV000172,ACC0019,2025-05-18,6250.0,USD,1.0,6250.0,credit_card,TXN259236,False,0,6250.0,0.0,0.0,True,2025-05-21,bank_feed,False,,,
PAY000140,INV000173,ACC0019,2025-06-20,6250.0,USD,1.0,6250.0,check,TXN306981,False,0,6250.0,0.0,50.0,True,2025-06-23,bank_feed,False,,,
PAY000141,INV000174,ACC0019,2025-07-20,6250.0,USD,1.0,6250.0,credit_card,TXN151198,False,0,6250.0,0.0,50.0,True,2025-07-22,bank_feed,False,,,
PAY000142,INV000176,ACC0020,2025-03-30,9000.0,USD,1.0,9000.0,wire,TXN900739,False,0,9000.0,0.0,0.0,True,2025-04-02,bank_feed,False,,,
PAY000143,INV000177,ACC0020,2025-05-01,9000.0,USD,1.0,9000.0,wire,TXN849435,False,0,9000.0,0.0,25.0,True,2025-05-02,bank_feed,False,,,
PAY000144,INV000178,ACC0020,2025-05-28,9000.0,USD,1.0,9000.0,credit_card,TXN698980,False,0,9000.0,0.0,25.0,True,2025-05-31,bank_feed,False,,,
PAY000145,INV000179,ACC0020,2025-06-29,9000.0,USD,1.0,9000.0,ACH,TXN790375,False,0,9000.0,0.0,0.0,True,2025-07-02,bank_feed,False,,,
PAY000146,INV000180,ACC0020,2025-08-05,9000.0,USD,1.0,9000.0,wire,TXN123010,False,0,9000.0,0.0,25.0,True,2025-08-07,bank_feed,False,,,
PAY000147,INV000181,ACC0020,2025-02-08,6000.0,USD,1.0,6000.0,wire,TXN891984,False,0,6000.0,0.0,50.0,True,2025-02-10,bank_feed,False,,,
PAY000148,INV000182,ACC0020,2025-03-14,6000.0,USD,1.0,6000.0,ACH,TXN860142,False,0,6000.0,0.0,0.0,True,2025-03-16,bank_feed,False,,,
PAY000149,INV000183,ACC0020,2025-04-07,6000.0,USD,1.0,6000.0,ACH,TXN859306,False,0,6000.0,0.0,50.0,True,2025-04-09,bank_feed,False,,,
PAY000150,INV000184,ACC0020,2025-05-03,6000.0,USD,1.0,6000.0,credit_card,TXN849504,False,0,6000.0,0.0,50.0,True,2025-05-04,bank_feed,False,,,
PAY000151,INV000186,ACC0020,2025-06-30,6000.0,USD,1.0,6000.0,ACH,TXN500131,False,0,6000.0,0.0,0.0,True,2025-07-03,bank_feed,False,,,
PAY000152,INV000188,ACC0020,2025-03-29,6250.0,USD,1.0,6250.0,ACH,TXN607858,False,0,6250.0,0.0,50.0,True,2025-04-01,bank_feed,False,,,
PAY000153,INV000189,ACC0020,2025-04-15,6250.0,USD,1.0,6250.0,wire,TXN737442,False,0,6250.0,0.0,0.0,True,2025-04-17,bank_feed,False,,,
PAY000154,INV000190,ACC0020,2025-05-22,6250.0,USD,1.0,6250.0,ACH,TXN475294,False,0,6250.0,0.0,50.0,True,2025-05-24,bank_feed,False,,,
