amendment_id,contract_id,account_id,amendment_date,effective_date,amendment_type,old_mrr,new_mrr,old_term_end,new_term_end,credit_method,credited_periods,credited_amount,delta_acv,amendment_reason,requires_new_contract,parent_amendment_id,replacement_contract_id,approved_by,approval_date,is_co_term,billing_adjustment_applied,created_at
AMD0019,CTR00038,ACC0022,2025-01-09,2025-01-12,reduction,6750.0,5733.71,2027-07-17,2027-07-17,daily_prorate,5,5081.45,-12195.48,product_change,False,,,MGR03,2025-01-11,False,False,2025-01-11T10:00:00Z
AMD0020,CTR00107,ACC0056,2025-02-22,2025-02-23,reduction,6750.0,5850.85,2026-11-16,2026-11-16,daily_prorate,4,3596.6,-10789.8,pricing_adjustment,False,,,MGR02,2025-02-22,False,False,2025-02-21T10:00:00Z
AMD0021,CTR00033,ACC0021,2025-01-16,2025-01-18,expansion,6750.0,7528.3,2026-05-06,2026-05-06,monthly_prorate,5,0.0,9339.6,downsell,False,,,MGR03,2025-01-17,True,False,2025-01-15T10:00:00Z
AMD0022,CTR00115,ACC0060,2025-04-20,2025-04-21,reduction,8250.0,7272.59,2025-12-08,2025-12-08,daily_prorate,2,1954.82,-11728.92,pricing_adjustment,False,,,MGR09,2025-04-20,True,False,2025-04-18T10:00:00Z
AMD0023,CTR00055,ACC0031,2025-02-19,2025-02-22,extension,8300.0,8300.0,2025-11-30,2025-11-30,daily_prorate,4,0.0,0.0,upsell,False,,,MGR06,2025-02-21,True,False,2025-02-21T10:00:00Z
AMD0024,CTR00049,ACC0028,2025-04-22,2025-04-24,reduction,8000.0,6987.21,2026-08-23,2026-08-23,daily_prorate,2,2025.58,-12153.48,upsell,False,,,MGR03,2025-04-23,False,False,2025-04-21T10:00:00Z
AMD0025,CTR00004,ACC0004,2025-05-03,2025-05-07,extension,9500.0,9500.0,2025-09-17,2025-09-17,daily_prorate,1,0.0,0.0,product_change,False,,,MGR07,2025-05-06,True,False,2025-05-06T10:00:00Z
AMD0026,CTR00162,ACC0087,2025-06-18,2025-06-21,reduction,8000.0,6157.65,2025-12-08,2025-12-08,monthly_prorate,0,0.0,-22108.2,downsell,False,,,MGR08,2025-06-20,False,False,2025-06-18T10:00:00Z
AMD0027,CTR00073,ACC0042,2025-04-10,2025-04-12,extension,7250.0,7250.0,2026-08-07,2026-08-07,daily_prorate,2,0.0,0.0,pricing_adjustment,False,,,MGR05,2025-04-11,False,False,2025-04-09T10:00:00Z
AMD0028,CTR00071,ACC0041,2025-04-20,2025-04-23,reduction,8000.0,5099.15,2025-11-12,2025-11-12,monthly_prorate,2,5801.7,-34810.2,product_change,False,,,MGR04,2025-04-22,True,False,2025-04-20T10:00:00Z
AMD0029,CTR00109,ACC0057,2025-04-20,2025-04-23,reduction,6500.0,4113.37,2026-06-18,2026-06-18,daily_prorate,2,4773.26,-28639.56,contract_renewal,False,,,MGR03,2025-04-22,False,False,2025-04-19T10:00:00Z
AMD0030,CTR00167,ACC0090,2025-06-11,2025-06-13,expansion,7300.0,8797.1,2026-07-15,2026-07-15,daily_prorate,0,0.0,17965.2,downsell,False,,,MGR05,2025-06-12,False,False,2025-06-11T10:00:00Z
AMD0031,CTR00182,ACC0099,2025-02-08,2025-02-11,reduction,7050.0,4944.65,2025-09-30,2025-09-30,daily_prorate,4,8421.4,-25264.2,pricing_adjustment,False,,,MGR04,2025-02-10,False,False,2025-02-07T10:00:00Z
AMD0032,CTR00076,ACC0043,2025-06-22,2025-06-24,reduction,6500.0,4830.46,2026-11-16,2026-11-16,monthly_prorate,0,0.0,-20034.48,product_change,False,,,MGR04,2025-06-23,False,False,2025-06-21T10:00:00Z
AMD0033,CTR00116,ACC0061,2025-06-10,2025-06-11,reduction,8000.0,6240.22,2025-11-16,2025-11-16,monthly_prorate,0,0.0,-21117.36,contract_renewal,False,,,MGR07,2025-06-10,True,False,2025-06-09T10:00:00Z
AMD0034,CTR00132,ACC0071,2025-06-12,2025-06-15,reduction,8300.0,6882.04,2027-02-28,2027-02-28,daily_prorate,0,0.0,-17015.52,downsell,False,,,MGR06,2025-06-14,False,False,2025-06-12T10:00:00Z
AMD0035,CTR00352,ACC0222,2025-06-17,2025-06-19,reduction,2500.0,2063.37,2025-11-08,2025-11-08,daily_prorate,0,0.0,-5239.56,downsell,False,,,MGR01,2025-06-18,False,False,2025-06-16T10:00:00Z
AMD0036,CTR00439,ACC0277,2025-02-08,2025-02-11,reduction,2100.0,1403.93,2027-09-09,2027-09-09,daily_prorate,4,2784.28,-8352.84,upsell,False,,,MGR06,2025-02-10,False,False,2025-02-09T10:00:00Z
AMD0037,CTR00386,ACC0244,2025-01-08,2025-01-09,reduction,2500.0,1793.19,2026-07-10,2026-07-10,monthly_prorate,5,3534.05,-8481.72,contract_renewal,False,,,MGR01,2025-01-08,False,False,2025-01-05T10:00:00Z
AMD0038,CTR00354,ACC0224,2025-05-09,2025-05-12,reduction,3500.0,2134.83,2025-10-06,2025-10-06,daily_prorate,1,1365.17,-16382.04,contract_renewal,False,,,MGR08,2025-05-11,False,False,2025-05-11T10:00:00Z
AMD0039,CTR00363,ACC0230,2025-05-05,2025-05-09,reduction,4000.0,3235.11,2025-10-21,2025-10-21,monthly_prorate,1,764.89,-9178.68,upsell,False,,,MGR01,2025-05-08,False,False,2025-05-08T10:00:00Z
AMD0040,CTR00377,ACC0239,2025-03-15,2025-03-18,reduction,2200.0,1974.04,2025-08-13,2025-08-13,daily_prorate,3,677.88,-2711.52,pricing_adjustment,False,,,MGR01,2025-03-17,False,False,2025-03-14T10:00:00Z
AMD0041,CTR00217,ACC0123,2025-06-09,2025-06-12,reduction,2500.0,1644.6,2025-10-08,2025-10-08,daily_prorate,0,0.0,-10264.8,upsell,False,,,MGR05,2025-06-11,False,False,2025-06-08T10:00:00Z
AMD0042,CTR00413,ACC0260,2025-01-20,2025-01-23,reduction,2400.0,1720.1,2026-12-12,2026-12-12,monthly_prorate,5,3399.5,-8158.8,downsell,False,,,MGR02,2025-01-22,False,False,2025-01-19T10:00:00Z
AMD0043,CTR00238,ACC0137,2025-02-08,2025-02-12,expansion,3200.0,3913.59,2027-08-17,2027-08-17,daily_prorate,4,0.0,8563.08,product_change,False,,,MGR03,2025-02-11,False,False,2025-02-09T10:00:00Z
AMD0044,CTR00456,ACC0289,2025-02-02,2025-02-05,reduction,2500.0,2012.54,2025-09-30,2025-09-30,daily_prorate,4,1949.84,-5849.52,downsell,False,,,MGR08,2025-02-04,False,False,2025-02-04T10:00:00Z
AMD0045,CTR00271,ACC0162,2025-05-06,2025-05-08,reduction,2400.0,2046.79,2027-08-11,2027-08-11,daily_prorate,1,353.21,-4238.52,downsell,False,,,MGR06,2025-05-07,False,False,2025-05-05T10:00:00Z
AMD0046,CTR00236,ACC0135,2025-01-18,2025-01-22,reduction,2400.0,1853.81,2027-06-08,2027-06-08,monthly_prorate,5,2730.95,-6554.28,product_change,False,,,MGR09,2025-01-21,False,False,2025-01-21T10:00:00Z
AMD0047,CTR00246,ACC0143,2025-02-16,2025-02-17,expansion,2300.0,2978.86,2025-11-24,2025-11-24,daily_prorate,4,0.0,8146.32,upsell,False,,,MGR07,2025-02-16,True,False,2025-02-15T10:00:00Z
AMD0048,CTR00293,ACC0176,2025-03-17,2025-03-19,reduction,2200.0,1603.84,2025-08-14,2025-08-14,monthly_prorate,3,1788.48,-7153.92,contract_renewal,False,,,MGR09,2025-03-18,False,False,2025-03-15T10:00:00Z
AMD0049,CTR00403,ACC0255,2025-01-12,2025-01-16,reduction,2400.0,1521.57,2027-11-30,2027-11-30,daily_prorate,5,4392.15,-10541.16,downsell,False,,,MGR02,2025-01-15,False,False,2025-01-14T10:00:00Z
AMD0050,CTR00361,ACC0229,2025-03-12,2025-03-14,reduction,2500.0,1830.7,2025-09-18,2025-09-18,daily_prorate,3,2007.9,-8031.6,upsell,False,,,MGR07,2025-03-13,False,False,2025-03-11T10:00:00Z
AMD0051,CTR00378,ACC0240,2025-04-23,2025-04-24,extension,3000.0,3000.0,2025-08-23,2025-08-23,daily_prorate,2,0.0,0.0,contract_renewal,False,,,MGR05,2025-04-23,False,False,2025-04-20T10:00:00Z
AMD0052,CTR00448,ACC0284,2025-03-10,2025-03-13,expansion,3800.0,5009.83,2026-05-31,2026-05-31,daily_prorate,3,0.0,14517.96,pricing_adjustment,False,,,MGR09,2025-03-12,False,False,2025-03-09T10:00:00Z
AMD0053,CTR00286,ACC0172,2025-01-08,2025-01-11,reduction,2200.0,1350.99,2025-09-23,2025-09-23,monthly_prorate,5,4245.05,-10188.12,contract_renewal,False,,,MGR05,2025-01-10,False,False,2025-01-08T10:00:00Z
AMD0054,CTR00224,ACC0128,2025-06-18,2025-06-21,reduction,2400.0,1873.48,2026-09-24,2026-09-24,daily_prorate,0,0.0,-6318.24,upsell,False,,,MGR07,2025-06-20,False,False,2025-06-18T10:00:00Z
AMD0055,CTR00360,ACC0228,2025-06-21,2025-06-24,reduction,2550.0,1929.82,2026-04-19,2026-04-19,monthly_prorate,0,0.0,-7442.16,contract_renewal,False,,,MGR04,2025-06-23,False,False,2025-06-22T10:00:00Z
AMD0056,CTR00391,ACC0247,2025-02-14,2025-02-17,reduction,2300.0,1539.34,2027-02-28,2027-02-28,daily_prorate,4,3042.64,-9127.92,contract_renewal,False,,,MGR07,2025-02-16,False,False,2025-02-16T10:00:00Z
AMD0057,CTR00285,ACC0171,2025-01-09,2025-01-13,reduction,2400.0,2143.49,2025-11-30,2025-11-30,monthly_prorate,5,1282.55,-3078.12,pricing_adjustment,False,,,MGR05,2025-01-12,False,False,2025-01-12T10:00:00Z
AMD0058,CTR00253,ACC0147,2025-05-21,2025-05-25,reduction,3900.0,2370.43,2027-11-30,2027-11-30,daily_prorate,1,1529.57,-18354.84,pricing_adjustment,False,,,MGR03,2025-05-24,False,False,2025-05-23T10:00:00Z
AMD0059,CTR00310,ACC0190,2025-05-23,2025-05-24,extension,2400.0,2400.0,2025-08-04,2025-08-04,daily_prorate,1,0.0,0.0,product_change,False,,,MGR08,2025-05-23,False,False,2025-05-21T10:00:00Z
AMD0060,CTR00221,ACC0127,2025-06-12,2025-06-16,reduction,3000.0,2073.06,2027-03-17,2027-03-17,daily_prorate,0,0.0,-11123.28,downsell,False,,,MGR08,2025-06-15,False,False,2025-06-15T10:00:00Z
AMD0061,CTR00232,ACC0133,2025-02-10,2025-02-11,reduction,2150.0,1825.35,2025-10-12,2025-10-12,monthly_prorate,4,1298.6,-3895.8,upsell,False,,,MGR03,2025-02-10,False,False,2025-02-07T10:00:00Z
AMD0062,CTR00382,ACC0242,2025-06-07,2025-06-11,reduction,2450.0,2008.44,2027-11-10,2027-11-10,monthly_prorate,0,0.0,-5298.72,downsell,False,,,MGR07,2025-06-10,False,False,2025-06-07T10:00:00Z
AMD0063,CTR00308,ACC0188,2025-03-14,2025-03-15,extension,2300.0,2300.0,2027-08-11,2027-08-11,monthly_prorate,3,0.0,0.0,product_change,False,,,MGR02,2025-03-14,False,False,2025-03-13T10:00:00Z
