account_id,account_name,billing_entity_name,billing_country,billing_currency,billing_address,industry,segment,employee_count,parent_account_id,is_subsidiary,csm_id,ae_id,arr,mrr,contract_count,active_users,health_score,renewal_date,days_to_renewal,nps_score,support_tier,data_processing_region,is_reseller,reseller_margin_pct,created_date,status,is_test_account
ACC0012,Kestrel Technologies,,US,USD,"4492 Main St, Suite 104",Logistics,enterprise,37254,,False,CSM11,AE04,428328.0,35694.0,3,12617,67,2025-09-02,64,-37,enterprise,ap-southeast-1,False,,2022-05-23,active,False
ACC0013,Mast Services,,US,USD,"3059 Main St, Suite 503",Retail,enterprise,33909,,False,CSM03,AE05,330468.0,27539.0,2,9321,92,2025-12-15,168,64,enterprise,us-east-1,False,,2021-03-12,active,False
ACC0014,Falcon Solutions,,FR,EUR,"1454 Main St, Suite 267",Logistics,enterprise,36165,,False,CSM18,AE11,268740.0,22395.0,2,13286,72,2025-12-18,171,-33,enterprise,us-west-2,False,,2021-10-15,at_risk,False
ACC0015,Meridian Corp,,US,USD,"9634 Main St, Suite 670",Logistics,enterprise,17859,,False,CSM07,AE07,286812.0,23901.0,1,3755,93,2025-07-02,2,76,enterprise,ap-southeast-1,False,,2020-02-11,active,False
ACC0016,Gale Systems,,GB,GBP,"5341 Main St, Suite 293",Manufacturing,enterprise,14942,,False,CSM13,AE10,472512.0,39376.0,1,188,51,2025-08-16,47,63,enterprise,us-east-1,False,,2021-11-11,active,False
ACC0017,Unity Enterprises,,US,USD,"8622 Main St, Suite 528",Logistics,enterprise,18004,,False,CSM20,AE09,155688.0,12974.0,2,6074,48,2025-07-16,16,58,enterprise,eu-west-1,True,0.36,2023-01-08,active,False
ACC0018,Clarity Services,Comet Services,GB,GBP,"9600 Main St, Suite 764",Technology,enterprise,28546,,False,CSM06,AE01,161736.0,13478.0,1,733,47,2025-10-09,101,29,enterprise,us-east-1,False,,2021-02-12,active,False
ACC0019,Pearl Corp,,US,USD,"4547 Main St, Suite 286",Logistics,enterprise,39718,,False,CSM07,AE08,294168.0,24514.0,2,7828,46,2025-12-04,157,10,enterprise,us-east-1,False,,2021-01-02,active,False
ACC0020,Envoy Group,,US,USD,"4369 Main St, Suite 520",Education,enterprise,43276,,False,CSM11,AE04,255264.0,21272.0,3,4957,52,2025-10-08,100,32,enterprise,us-east-1,False,,2020-01-04,active,False
ACC0021,Amber Partners,,GB,GBP,"7143 Main St, Suite 642",Technology,enterprise,17334,ACC0010,True,CSM07,AE03,358368.0,29864.0,3,180,95,2025-08-27,58,-30,enterprise,us-east-1,False,,2020-09-10,active,False
ACC0022,Sienna Solutions,,GB,GBP,"4989 Main St, Suite 104",Healthcare,enterprise,8524,,False,CSM18,AE08,108012.0,9001.0,3,2640,62,2025-09-07,69,-21,enterprise,ap-southeast-1,False,,2020-09-18,active,False
ACC0023,Atlas Corp,,GB,GBP,"3678 Main St, Suite 233",Healthcare,enterprise,13459,,False,CSM11,AE12,207792.0,17316.0,3,762,72,2025-09-28,90,-5,enterprise,us-east-1,False,,2020-12-16,active,False
ACC0024,Ursa Technologies,,FR,EUR,"7278 Main St, Suite 371",Media,enterprise,4827,,False,CSM17,AE05,412128.0,34344.0,1,301,93,2025-09-11,73,-23,enterprise,eu-west-1,False,,2023-01-21,active,False
ACC0025,Quantum Corp,Jolt Services,GB,GBP,"5819 Main St, Suite 625",Retail,enterprise,33841,,False,CSM03,AE09,151176.0,12598.0,2,15184,36,2025-11-15,138,66,enterprise,us-west-2,False,,2022-01-05,active,False
ACC0026,Lumina Partners,Keystone Solutions,DE,EUR,"1646 Main St, Suite 307",Education,enterprise,36359,,False,CSM18,AE13,200892.0,16741.0,3,4613,73,2025-07-09,9,33,enterprise,us-east-1,False,,2020-06-17,active,False
ACC0027,Lumen Group,,ES,EUR,"9431 Main St, Suite 111",Technology,enterprise,27100,,False,CSM16,AE06,356196.0,29683.0,1,7051,60,2025-08-22,53,9,enterprise,ap-southeast-1,False,,2022-10-16,active,False
ACC0028,Astro Technologies,,US,USD,"2075 Main St, Suite 984",Logistics,enterprise,20355,,False,CSM05,AE04,348444.0,29037.0,3,3489,63,2025-07-11,11,66,enterprise,eu-west-1,False,,2020-09-14,active,False
ACC0029,Pearl Group,,FR,EUR,"1135 Main St, Suite 728",Education,enterprise,26334,,False,CSM18,AE12,254592.0,21216.0,1,6623,37,2025-11-15,138,-40,enterprise,us-east-1,False,,2020-09-19,active,False
ACC0030,Topaz Systems,,US,USD,"3545 Main St, Suite 647",Manufacturing,enterprise,11307,,False,CSM12,AE06,104880.0,8740.0,2,2314,30,2025-11-21,144,32,enterprise,eu-west-1,False,,2023-12-11,active,False
ACC0031,Granite Systems,,GB,GBP,"6876 Main St, Suite 121",Logistics,enterprise,10640,,False,CSM15,AE04,121980.0,10165.0,1,1056,37,2025-09-22,84,17,enterprise,ap-southeast-1,False,,2021-05-11,active,False
ACC0032,Ridge Ltd,Ferrous Group,US,USD,"989 Main St, Suite 962",Financial Services,enterprise,24425,,False,CSM14,AE11,202788.0,16899.0,2,6053,92,2025-09-15,77,-27,enterprise,us-east-1,False,,2020-12-06,active,False
ACC0033,Zeal Systems,Clarity Group,US,USD,"1464 Main St, Suite 946",Healthcare,enterprise,38476,,False,CSM05,AE09,216060.0,18005.0,2,8181,36,2025-12-03,156,58,enterprise,ap-southeast-1,False,,2021-11-22,active,False
ACC0034,Helios Solutions,,US,USD,"7423 Main St, Suite 366",Education,enterprise,26529,,False,CSM08,AE13,304260.0,25355.0,1,5371,37,2025-09-05,67,51,enterprise,us-east-1,False,,2020-01-08,active,False
ACC0035,Kestrel Inc,,GB,GBP,"8479 Main St, Suite 684",Retail,enterprise,47136,,False,CSM02,AE07,327684.0,27307.0,2,4367,47,2025-12-21,174,66,enterprise,eu-west-1,False,,2021-02-07,active,False
ACC0036,Cipher Corp,,IT,EUR,"9405 Main St, Suite 102",Education,enterprise,17627,,False,CSM07,AE08,382872.0,31906.0,1,2489,64,2025-08-10,41,14,enterprise,eu-west-1,False,,2022-07-21,active,False
ACC0037,Zephyr Services,,GB,GBP,"3788 Main St, Suite 598",Logistics,enterprise,18707,,False,CSM05,AE03,262872.0,21906.0,2,2370,92,2025-08-27,58,-37,enterprise,us-west-2,False,,2020-05-04,at_risk,False
ACC0038,Beacon Technologies,,US,USD,"1953 Main St, Suite 228",Education,enterprise,16755,,False,CSM17,AE12,96636.0,8053.0,2,3108,63,2025-09-28,90,61,enterprise,us-east-1,False,,2023-08-03,at_risk,False
ACC0039,Topaz Technologies,,FR,EUR,"7956 Main St, Suite 289",Logistics,enterprise,3455,,False,CSM11,AE07,310704.0,25892.0,1,497,75,2025-11-19,142,51,enterprise,us-east-1,False,,2023-05-02,churned,False
ACC0040,Flare Technologies,,US,USD,"1616 Main St, Suite 928",Media,enterprise,44029,,False,CSM07,AE07,203856.0,16988.0,2,15988,81,2025-11-04,127,15,enterprise,us-west-2,False,,2020-05-13,active,False
ACC0041,Zeal Partners,Zeal Group,DE,EUR,"2967 Main St, Suite 902",Media,enterprise,31082,,False,CSM15,AE05,277548.0,23129.0,2,15415,62,2025-10-05,97,24,enterprise,ap-southeast-1,False,,2023-07-10,active,False
ACC0042,Lumen Enterprises,,FR,EUR,"7277 Main St, Suite 915",Healthcare,enterprise,36011,,False,CSM09,AE03,459852.0,38321.0,2,11652,58,2025-09-12,74,1,enterprise,eu-west-1,True,0.29,2021-09-21,active,False
ACC0043,Zenith Systems,,US,USD,"1707 Main St, Suite 799",Logistics,enterprise,5494,ACC0028,True,CSM18,AE12,413652.0,34471.0,3,679,94,2025-10-21,113,40,enterprise,us-east-1,False,,2021-09-04,active,False
ACC0044,Onyx Services,,US,USD,"5466 Main St, Suite 791",Logistics,enterprise,7794,,False,CSM12,AE10,390096.0,32508.0,3,2907,48,2025-11-26,149,-3,enterprise,eu-west-1,False,,2021-04-08,active,False
ACC0045,Beacon Services,,IT,EUR,"6140 Main St, Suite 258",Logistics,enterprise,20584,,False,CSM17,AE13,295476.0,24623.0,2,3379,52,2025-07-16,16,63,enterprise,eu-west-1,True,0.3,2021-09-16,active,False
ACC0046,Razor Services,,GB,GBP,"9966 Main St, Suite 787",Financial Services,enterprise,40648,,False,CSM16,AE02,224292.0,18691.0,2,9769,74,2025-12-26,179,15,enterprise,eu-west-1,False,,2020-05-26,active,False
ACC0047,Walden Technologies,,US,USD,"8178 Main St, Suite 613",Financial Services,enterprise,15176,,False,CSM08,AE01,339372.0,28281.0,1,299,53,2025-10-11,103,14,enterprise,ap-southeast-1,False,,2021-04-13,active,False
ACC0048,Xeon Inc,,US,USD,"361 Main St, Suite 480",Retail,enterprise,35295,,False,CSM13,AE14,149112.0,12426.0,3,16464,50,2025-07-11,11,78,enterprise,eu-west-1,False,,2023-08-04,active,False
ACC0049,Nexus Partners,,US,USD,"1641 Main St, Suite 480",Manufacturing,enterprise,39746,ACC0032,True,CSM12,AE04,322020.0,26835.0,3,9953,50,2025-12-07,160,43,enterprise,ap-southeast-1,False,,2020-04-14,churned,False
ACC0050,Falcon Group,,DE,EUR,"2178 Main St, Suite 146",Healthcare,enterprise,2556,,False,CSM14,AE12,479772.0,39981.0,3,453,52,2025-11-21,144,55,enterprise,eu-west-1,False,,2022-02-03,active,False
ACC0051,Ember Ltd,,GB,GBP,"8940 Main St, Suite 612",Logistics,enterprise,21417,,False,CSM19,AE02,455604.0,37967.0,2,3491,40,2025-11-21,144,-3,enterprise,eu-west-1,False,,2021-04-07,active,False
ACC0052,Fusion Enterprises,,DE,EUR,"8248 Main St, Suite 123",Financial Services,enterprise,1025,,False,CSM02,AE13,183048.0,15254.0,2,139,88,2025-11-03,126,26,enterprise,eu-west-1,False,,2020-06-24,active,False
ACC0053,Visor Solutions,,US,USD,"7171 Main St, Suite 517",Healthcare,enterprise,21746,,False,CSM08,AE07,131616.0,10968.0,2,2385,74,2025-10-08,100,-15,enterprise,eu-west-1,False,,2021-07-21,active,False
ACC0054,Noble Technologies,,GB,GBP,"9903 Main St, Suite 987",Media,enterprise,5213,,False,CSM04,AE07,387732.0,32311.0,2,2394,57,2025-08-02,33,-18,enterprise,ap-southeast-1,False,,2021-03-05,churned,False
ACC0055,Cipher Enterprises,,GB,GBP,"7483 Main St, Suite 595",Retail,enterprise,23270,,False,CSM17,AE06,431172.0,35931.0,3,8269,62,2025-09-19,81,-37,enterprise,eu-west-1,False,,2020-08-07,active,False
ACC0056,Epoch Systems,,US,USD,"5655 Main St, Suite 778",Healthcare,enterprise,24823,,False,CSM03,AE08,238860.0,19905.0,2,2018,52,2025-09-08,70,14,enterprise,eu-west-1,False,,2022-04-09,active,False
ACC0057,Pearl Inc,,GB,GBP,"1040 Main St, Suite 522",Education,enterprise,18754,,False,CSM10,AE13,121368.0,10114.0,2,8774,63,2025-10-26,118,-33,enterprise,us-west-2,False,,2020-01-06,active,False
ACC0058,Raven Solutions,,US,USD,"1843 Main St, Suite 685",Education,enterprise,10579,,False,CSM04,AE05,274128.0,22844.0,3,1820,55,2025-08-25,56,-11,enterprise,us-east-1,False,,2021-09-01,active,False
ACC0059,Valor Corp,,US,USD,"603 Main St, Suite 203",Retail,enterprise,46538,,False,CSM13,AE07,197676.0,16473.0,2,2840,44,2025-11-25,148,63,enterprise,ap-southeast-1,False,,2022-06-06,active,False
ACC0060,Beacon Group,,GB,GBP,"9490 Main St, Suite 923",Education,enterprise,26777,,False,CSM19,AE03,361716.0,30143.0,1,10730,99,2025-07-06,6,-1,enterprise,us-west-2,True,0.3,2020-12-13,churned,False
ACC0061,Orbit Inc,,GB,GBP,"8004 Main St, Suite 878",Technology,enterprise,40460,,False,CSM12,AE09,242196.0,20183.0,1,7257,77,2025-09-04,66,9,enterprise,us-west-2,False,,2021-10-17,active,False
ACC0062,Gale Services,,US,USD,"5721 Main St, Suite 361",Media,enterprise,46412,,False,CSM08,AE09,241548.0,20129.0,1,8584,52,2025-09-22,84,77,enterprise,us-west-2,False,,2023-12-21,active,False
ACC0063,Orbit Enterprises,,DE,EUR,"7579 Main St, Suite 573",Education,enterprise,9137,,False,CSM20,AE14,213372.0,17781.0,1,830,72,2025-09-25,87,-28,enterprise,eu-west-1,False,,2022-09-28,active,False
ACC0064,Razor Technologies,,IT,EUR,"924 Main St, Suite 123",Healthcare,enterprise,20232,ACC0001,True,CSM15,AE03,421308.0,35109.0,1,8622,47,2025-10-28,120,20,enterprise,us-east-1,False,,2020-12-26,active,False
ACC0065,Helios Corp,,US,USD,"2776 Main St, Suite 490",Education,enterprise,39546,,False,CSM03,AE08,314028.0,26169.0,3,4250,68,2025-12-28,181,-11,enterprise,ap-southeast-1,False,,2023-04-25,at_risk,False
ACC0066,Zinc Inc,,GB,GBP,"5102 Main St, Suite 533",Financial Services,enterprise,42724,,False,CSM12,AE10,424560.0,35380.0,1,20982,81,2025-12-25,178,33,enterprise,ap-southeast-1,False,,2020-12-17,active,False
ACC0067,Vector Enterprises,,US,USD,"3107 Main St, Suite 159",Technology,enterprise,21463,,False,CSM19,AE08,145056.0,12088.0,3,5436,62,2025-11-07,130,12,enterprise,eu-west-1,False,,2020-02-25,active,False
ACC0068,Amber Services,,ES,EUR,"2221 Main St, Suite 616",Financial Services,enterprise,19460,,False,CSM10,AE06,139620.0,11635.0,1,1809,36,2025-07-17,17,21,enterprise,ap-southeast-1,False,,2023-08-04,active,False
ACC0069,Zenith Technologies,,US,USD,"1423 Main St, Suite 487",Healthcare,enterprise,21330,,False,CSM01,AE04,406644.0,33887.0,2,5703,56,2025-10-19,111,80,enterprise,us-west-2,False,,2023-03-03,active,False
ACC0070,Glyph Enterprises,,GB,GBP,"8390 Main St, Suite 354",Technology,enterprise,35584,,False,CSM01,AE13,174120.0,14510.0,2,16672,41,2025-12-11,164,47,enterprise,eu-west-1,True,0.38,2022-04-15,active,False
ACC0071,Wren Solutions,,FR,EUR,"2931 Main St, Suite 279",Technology,enterprise,22806,,False,CSM14,AE14,400440.0,33370.0,3,1455,80,2025-12-09,162,25,enterprise,ap-southeast-1,False,,2023-01-05,churned,False
ACC0072,Kraft Ltd,,IT,EUR,"9719 Main St, Suite 787",Retail,enterprise,47226,,False,CSM10,AE07,234984.0,19582.0,1,20369,57,2025-11-09,132,-7,enterprise,us-west-2,False,,2022-02-26,active,False
ACC0073,Vector Technologies,Wilder Inc,US,USD,"8616 Main St, Suite 285",Healthcare,enterprise,36469,,False,CSM20,AE13,130464.0,10872.0,2,3989,57,2025-11-13,136,22,enterprise,eu-west-1,False,,2020-07-22,churned,False
ACC0074,Cobalt Inc,,GB,GBP,"5728 Main St, Suite 334",Manufacturing,enterprise,12581,,False,CSM14,AE10,111600.0,9300.0,3,5011,44,2025-07-27,27,21,enterprise,ap-southeast-1,False,,2022-01-10,active,False
ACC0075,Sienna Technologies,,IT,EUR,"9461 Main St, Suite 392",Education,enterprise,47494,,False,CSM03,AE09,335940.0,27995.0,1,10047,42,2025-07-14,14,34,enterprise,us-west-2,False,,2020-05-04,active,False
ACC0076,Nexus Services,,US,USD,"8238 Main St, Suite 196",Manufacturing,enterprise,8942,,False,CSM10,AE08,354372.0,29531.0,1,2324,32,2025-11-21,144,21,enterprise,ap-southeast-1,False,,2021-10-07,churned,False
ACC0077,Cobalt Ltd,,US,USD,"2356 Main St, Suite 649",Technology,enterprise,24828,,False,CSM12,AE15,134004.0,11167.0,1,217,63,2025-09-28,90,19,enterprise,ap-southeast-1,False,,2022-06-26,active,False
ACC0078,Comet Inc,,DE,EUR,"8575 Main St, Suite 371",Healthcare,enterprise,41289,,False,CSM09,AE10,403608.0,33634.0,2,16063,77,2025-11-26,149,72,enterprise,ap-southeast-1,False,,2022-08-21,active,False
ACC0079,Amber Solutions,,NL,EUR,"7476 Main St, Suite 447",Financial Services,enterprise,40794,,False,CSM08,AE10,337572.0,28131.0,3,2314,83,2025-11-14,137,-13,enterprise,ap-southeast-1,False,,2021-07-02,active,False
ACC0080,Falcon Inc,,DE,EUR,"8839 Main St, Suite 252",Media,enterprise,47847,,False,CSM17,AE03,134292.0,11191.0,1,17974,55,2025-08-12,43,55,enterprise,us-west-2,False,,2023-02-08,active,False
ACC0081,Lumen Corp,,US,USD,"2478 Main St, Suite 803",Manufacturing,enterprise,13170,,False,CSM15,AE02,200988.0,16749.0,3,5369,44,2025-11-16,139,14,enterprise,us-west-2,False,,2021-05-04,active,False
ACC0082,York Services,,GB,GBP,"7541 Main St, Suite 265",Healthcare,enterprise,18680,,False,CSM08,AE02,226416.0,18868.0,2,136,61,2025-09-10,72,44,enterprise,us-west-2,False,,2020-03-07,active,False
ACC0083,Iridium Partners,,GB,GBP,"4767 Main St, Suite 651",Retail,enterprise,27427,,False,CSM18,AE13,186612.0,15551.0,2,12461,65,2025-09-14,76,55,enterprise,us-west-2,False,,2023-01-27,active,False
ACC0084,Beacon Enterprises,,US,USD,"5565 Main St, Suite 989",Technology,enterprise,1774,,False,CSM15,AE04,368820.0,30735.0,1,176,86,2025-09-14,76,-32,enterprise,ap-southeast-1,False,,2022-06-14,churned,False
ACC0085,Quantum Technologies,,IT,EUR,"9393 Main St, Suite 994",Manufacturing,enterprise,44605,,False,CSM13,AE05,141516.0,11793.0,2,4806,42,2025-09-21,83,-13,enterprise,us-east-1,False,,2020-04-04,active,False
ACC0086,Nadir Ltd,,IT,EUR,"8137 Main St, Suite 928",Logistics,enterprise,20741,,False,CSM16,AE03,389964.0,32497.0,2,3106,78,2025-11-19,142,80,enterprise,ap-southeast-1,False,,2020-11-01,active,False
ACC0087,Valor Ltd,,GB,GBP,"6121 Main St, Suite 793",Manufacturing,enterprise,17769,,False,CSM08,AE12,202056.0,16838.0,2,7421,89,2025-07-13,13,-15,enterprise,eu-west-1,False,,2023-07-08,active,False
ACC0088,Blaze Enterprises,,US,USD,"981 Main St, Suite 404",Media,enterprise,49710,,False,CSM04,AE06,235572.0,19631.0,1,5882,43,2025-08-26,57,-20,enterprise,us-east-1,False,,2023-01-06,active,False
ACC0089,Indigo Group,,US,USD,"2506 Main St, Suite 930",Technology,enterprise,37312,,False,CSM05,AE15,280092.0,23341.0,2,13617,36,2025-11-20,143,51,enterprise,ap-southeast-1,False,,2023-07-18,active,False
ACC0090,Xeon Ltd,,US,USD,"9084 Main St, Suite 672",Healthcare,enterprise,10827,,False,CSM13,AE05,146304.0,12192.0,1,643,48,2025-09-07,69,-7,enterprise,us-east-1,False,,2020-03-12,at_risk,False
ACC0091,Opal Group,,NL,EUR,"7849 Main St, Suite 453",Logistics,enterprise,12010,,False,CSM13,AE13,453096.0,37758.0,3,1492,90,2025-09-08,70,-32,enterprise,us-east-1,False,,2021-11-18,active,False
ACC0092,Zinc Enterprises,,GB,GBP,"1148 Main St, Suite 754",Logistics,enterprise,27532,,False,CSM09,AE01,429084.0,35757.0,2,12070,43,2025-10-22,114,23,enterprise,ap-southeast-1,False,,2021-02-18,active,False
ACC0093,Yoke Solutions,,DE,EUR,"8590 Main St, Suite 455",Education,enterprise,31427,,False,CSM16,AE15,383748.0,31979.0,1,14350,86,2025-12-07,160,-11,enterprise,ap-southeast-1,False,,2021-06-04,active,False
ACC0094,Echo Services,,FR,EUR,"3983 Main St, Suite 416",Healthcare,enterprise,40041,,False,CSM13,AE10,296856.0,24738.0,2,9490,35,2025-09-27,89,79,enterprise,us-east-1,False,,2020-05-23,active,False
ACC0095,Maple Group,,US,USD,"8846 Main St, Suite 324",Education,enterprise,43902,,False,CSM05,AE06,332376.0,27698.0,1,5169,73,2025-11-17,140,-5,enterprise,eu-west-1,False,,2020-04-15,active,False
ACC0096,Thorpe Corp,,GB,GBP,"8199 Main St, Suite 877",Education,enterprise,23317,,False,CSM01,AE13,105384.0,8782.0,2,4623,59,2025-08-16,47,74,enterprise,ap-southeast-1,False,,2020-12-20,active,False
ACC0097,Zenith Solutions,,US,USD,"5359 Main St, Suite 818",Financial Services,enterprise,13623,,False,CSM16,AE04,302916.0,25243.0,1,2778,31,2025-11-21,144,1,enterprise,ap-southeast-1,False,,2022-11-07,active,False
ACC0098,Cobalt Technologies,,US,USD,"271 Main St, Suite 898",Education,enterprise,19207,,False,CSM17,AE01,340044.0,28337.0,2,3358,98,2025-07-14,14,30,enterprise,us-east-1,False,,2022-12-15,churned,False
ACC0099,Talon Inc,,US,USD,"990 Main St, Suite 442",Technology,enterprise,45242,,False,CSM02,AE15,161124.0,13427.0,2,1985,35,2025-08-24,55,-37,enterprise,us-east-1,False,,2022-12-24,active,False
ACC0100,Opal Services,,NL,EUR,"7155 Main St, Suite 733",Healthcare,enterprise,38947,,False,CSM04,AE08,128640.0,10720.0,1,1330,42,2025-12-09,162,10,enterprise,ap-southeast-1,True,0.25,2020-08-12,active,False
ACC0101,Drake Partners,,FR,EUR,"869 Main St, Suite 285",Healthcare,mid_market,857,,False,CSM16,AE04,80352.0,6696.0,1,195,78,2025-11-19,142,38,professional,ap-southeast-1,False,,2022-04-27,active,False
ACC0102,Atlas Inc,,NL,EUR,"6272 Main St, Suite 394",Media,mid_market,360,,False,CSM13,AE11,37392.0,3116.0,1,102,78,2025-10-13,105,33,professional,us-east-1,False,,2021-07-08,active,False
ACC0103,Zephyr Enterprises,,US,USD,"8468 Main St, Suite 845",Retail,mid_market,491,,False,CSM11,AE01,49896.0,4158.0,2,188,98,2025-08-13,44,17,professional,eu-west-1,False,,2020-12-07,active,False
ACC0104,Atlas Services,Global Group,US,USD,"5204 Main St, Suite 701",Retail,mid_market,935,,False,CSM11,AE14,74268.0,6189.0,1,158,65,2025-10-18,110,27,professional,us-west-2,False,,2023-06-27,at_risk,False
ACC0105,Unity Corp,,US,USD,"3727 Main St, Suite 791",Manufacturing,mid_market,630,,False,CSM15,AE11,53136.0,4428.0,1,12,45,2025-07-03,3,28,professional,ap-southeast-1,False,,2020-06-07,at_risk,False
ACC0106,Quartz Systems,,US,USD,"4180 Main St, Suite 237",Financial Services,mid_market,250,,False,CSM05,AE14,93408.0,7784.0,1,120,65,2025-08-12,43,-22,professional,ap-southeast-1,False,,2021-08-06,active,False
ACC0107,Crimson Ltd,,US,USD,"7532 Main St, Suite 993",Technology,mid_market,826,,False,CSM20,AE02,95904.0,7992.0,2,219,54,2025-09-08,70,37,professional,eu-west-1,True,0.39,2020-09-09,active,False
ACC0108,Lancer Services,,FR,EUR,"9200 Main St, Suite 914",Manufacturing,mid_market,701,,False,CSM16,AE15,59220.0,4935.0,1,96,32,2025-12-13,166,-2,professional,eu-west-1,False,,2023-03-09,active,False
ACC0109,Apex Partners,,US,USD,"3401 Main St, Suite 574",Financial Services,mid_market,554,,False,CSM09,AE03,31596.0,2633.0,1,149,90,2025-09-20,82,79,professional,us-west-2,False,,2022-08-12,active,False
ACC0110,Delta Inc,,US,USD,"8927 Main St, Suite 347",Media,mid_market,986,,False,CSM02,AE01,77220.0,6435.0,1,29,95,2025-12-09,162,30,professional,ap-southeast-1,False,,2022-03-01,active,False
ACC0111,Insight Systems,,US,USD,"810 Main St, Suite 663",Logistics,mid_market,239,,False,CSM03,AE01,25992.0,2166.0,2,67,42,2025-09-19,81,31,professional,ap-southeast-1,False,,2022-08-07,active,False
ACC0112,Vapor Group,,US,USD,"9216 Main St, Suite 529",Education,mid_market,907,,False,CSM08,AE12,29700.0,2475.0,1,103,82,2025-07-21,21,-35,professional,us-east-1,False,,2020-10-19,active,False
ACC0113,Atlas Technologies,,US,USD,"7788 Main St, Suite 299",Media,mid_market,116,,False,CSM01,AE02,45996.0,3833.0,1,52,63,2025-10-07,99,35,professional,eu-west-1,False,,2021-06-16,active,False
ACC0114,Umbra Inc,,US,USD,"5716 Main St, Suite 932",Retail,mid_market,878,,False,CSM05,AE10,21312.0,1776.0,2,410,67,2025-07-12,12,-38,professional,us-west-2,False,,2020-07-13,at_risk,False
ACC0115,Sienna Services,,NL,EUR,"7913 Main St, Suite 170",Technology,mid_market,885,,False,CSM17,AE01,18936.0,1578.0,2,273,96,2025-08-26,57,34,professional,us-west-2,False,,2023-09-28,active,False
ACC0116,Global Inc,,US,USD,"8504 Main St, Suite 749",Manufacturing,mid_market,238,,False,CSM11,AE05,57132.0,4761.0,2,112,98,2025-07-20,20,-25,professional,eu-west-1,False,,2022-09-20,active,False
ACC0117,Global Corp,,DE,EUR,"2230 Main St, Suite 690",Retail,mid_market,297,,False,CSM04,AE13,47400.0,3950.0,2,118,47,2025-12-15,168,31,professional,eu-west-1,False,,2022-06-17,at_risk,False
ACC0118,Ridge Corp,,US,USD,"8589 Main St, Suite 405",Healthcare,mid_market,185,,False,CSM02,AE07,38112.0,3176.0,1,45,83,2025-10-05,97,51,professional,us-east-1,False,,2022-08-28,active,False
ACC0119,Insight Partners,,US,USD,"9533 Main St, Suite 270",Technology,mid_market,861,,False,CSM08,AE14,19992.0,1666.0,2,298,64,2025-12-01,154,-6,professional,us-east-1,False,,2022-07-09,active,False
