usage_id,account_id,contract_id,record_date,unit_type,units_consumed,units_included_monthly,units_rollover_from_prior,cumulative_units_ytd,overage_units,is_overage_billed,billing_period_id,usage_source,data_center_region,product_line,sku,is_test_usage,usage_quality_score,override_applied,created_at
USG00000029,ACC0001,CTR00001,2025-01-29,api_calls,4294.19,100000,0,112130.99,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.995,False,2025-01-29T23:59:00Z
USG00000030,ACC0001,CTR00001,2025-01-30,api_calls,3181.89,100000,0,115312.87,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.94,False,2025-01-30T23:59:00Z
USG00000031,ACC0001,CTR00001,2025-01-31,api_calls,4828.23,100000,0,120141.11,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.952,False,2025-01-31T23:59:00Z
USG00000032,ACC0001,CTR00001,2025-02-01,api_calls,3649.58,100000,0,123790.69,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.912,False,2025-02-01T23:59:00Z
USG00000033,ACC0001,CTR00001,2025-02-02,api_calls,5379.58,100000,0,129170.27,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.915,False,2025-02-02T23:59:00Z
USG00000034,ACC0001,CTR00001,2025-02-03,api_calls,4658.9,100000,0,133829.17,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.975,False,2025-02-03T23:59:00Z
USG00000035,ACC0001,CTR00001,2025-02-04,api_calls,3748.28,100000,0,137577.45,0.0,False,BP-2025-01-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.944,False,2025-02-04T23:59:00Z
USG00000036,ACC0001,CTR00001,2025-02-05,api_calls,1696.7,100000,0,139274.15,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.996,False,2025-02-05T23:59:00Z
USG00000037,ACC0001,CTR00001,2025-02-06,api_calls,3741.67,100000,0,143015.81,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.965,False,2025-02-06T23:59:00Z
USG00000038,ACC0001,CTR00001,2025-02-07,api_calls,2524.03,100000,0,145539.84,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.972,False,2025-02-07T23:59:00Z
USG00000039,ACC0001,CTR00001,2025-02-08,api_calls,4644.72,100000,0,150184.56,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.95,False,2025-02-08T23:59:00Z
USG00000040,ACC0001,CTR00001,2025-02-09,api_calls,3100.02,100000,0,153284.58,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.946,False,2025-02-09T23:59:00Z
USG00000041,ACC0001,CTR00001,2025-02-10,api_calls,3844.4,100000,0,157128.98,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.927,False,2025-02-10T23:59:00Z
USG00000042,ACC0001,CTR00001,2025-02-11,api_calls,5369.24,100000,0,162498.22,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.943,False,2025-02-11T23:59:00Z
USG00000043,ACC0001,CTR00001,2025-02-12,api_calls,4808.42,100000,0,167306.64,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.95,False,2025-02-12T23:59:00Z
USG00000044,ACC0001,CTR00001,2025-02-13,api_calls,2825.44,100000,0,170132.07,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.934,False,2025-02-13T23:59:00Z
USG00000045,ACC0001,CTR00001,2025-02-14,api_calls,3654.55,100000,0,173786.62,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.971,False,2025-02-14T23:59:00Z
USG00000046,ACC0001,CTR00001,2025-02-15,api_calls,3936.25,100000,0,177722.87,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.901,False,2025-02-15T23:59:00Z
USG00000047,ACC0001,CTR00001,2025-02-16,api_calls,4935.7,100000,0,182658.57,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.95,False,2025-02-16T23:59:00Z
USG00000048,ACC0001,CTR00001,2025-02-17,api_calls,4772.86,100000,0,187431.43,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.949,False,2025-02-17T23:59:00Z
USG00000049,ACC0001,CTR00001,2025-02-18,api_calls,4165.69,100000,0,191597.13,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.993,False,2025-02-18T23:59:00Z
USG00000050,ACC0001,CTR00001,2025-02-19,api_calls,4073.91,100000,0,195671.04,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.903,False,2025-02-19T23:59:00Z
USG00000051,ACC0001,CTR00001,2025-02-20,api_calls,3638.06,100000,0,199309.1,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.979,False,2025-02-20T23:59:00Z
USG00000052,ACC0001,CTR00001,2025-02-21,api_calls,3909.11,100000,0,203218.21,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.992,False,2025-02-21T23:59:00Z
USG00000053,ACC0001,CTR00001,2025-02-22,api_calls,3424.19,100000,0,206642.4,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.909,False,2025-02-22T23:59:00Z
USG00000054,ACC0001,CTR00001,2025-02-23,api_calls,4384.74,100000,0,211027.14,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.991,False,2025-02-23T23:59:00Z
USG00000055,ACC0001,CTR00001,2025-02-24,api_calls,4123.03,100000,0,215150.17,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.986,False,2025-02-24T23:59:00Z
USG00000056,ACC0001,CTR00001,2025-02-25,api_calls,4607.46,100000,0,219757.62,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.977,False,2025-02-25T23:59:00Z
USG00000057,ACC0001,CTR00001,2025-02-26,api_calls,4578.67,100000,0,224336.29,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.938,False,2025-02-26T23:59:00Z
USG00000058,ACC0001,CTR00001,2025-02-27,api_calls,5428.85,100000,0,229765.14,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.997,False,2025-02-27T23:59:00Z
USG00000059,ACC0001,CTR00001,2025-02-28,api_calls,3096.04,100000,0,232861.19,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.95,False,2025-02-28T23:59:00Z
USG00000060,ACC0001,CTR00001,2025-03-01,api_calls,1741.4,100000,0,234602.59,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.94,False,2025-03-01T23:59:00Z
USG00000061,ACC0001,CTR00001,2025-03-02,api_calls,3031.23,100000,0,237633.82,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.986,False,2025-03-02T23:59:00Z
USG00000062,ACC0001,CTR00001,2025-03-03,api_calls,3902.0,100000,0,241535.82,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.968,False,2025-03-03T23:59:00Z
USG00000063,ACC0001,CTR00001,2025-03-04,api_calls,3425.53,100000,0,244961.35,0.0,False,BP-2025-02-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.948,False,2025-03-04T23:59:00Z
USG00000064,ACC0001,CTR00001,2025-03-05,api_calls,3389.49,100000,0,248350.85,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.94,False,2025-03-05T23:59:00Z
USG00000065,ACC0001,CTR00001,2025-03-06,api_calls,2980.85,100000,0,251331.7,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.964,False,2025-03-06T23:59:00Z
USG00000066,ACC0001,CTR00001,2025-03-07,api_calls,4029.0,100000,0,255360.7,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.933,False,2025-03-07T23:59:00Z
USG00000067,ACC0001,CTR00001,2025-03-08,api_calls,2148.57,100000,0,257509.26,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.99,False,2025-03-08T23:59:00Z
USG00000068,ACC0001,CTR00001,2025-03-09,api_calls,4158.09,100000,0,261667.35,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.987,False,2025-03-09T23:59:00Z
USG00000069,ACC0001,CTR00001,2025-03-10,api_calls,4175.76,100000,0,265843.11,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.985,False,2025-03-10T23:59:00Z
USG00000070,ACC0001,CTR00001,2025-03-11,api_calls,4584.87,100000,0,270427.98,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.972,False,2025-03-11T23:59:00Z
USG00000071,ACC0001,CTR00001,2025-03-12,api_calls,6514.93,100000,0,276942.91,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.96,False,2025-03-12T23:59:00Z
USG00000072,ACC0001,CTR00001,2025-03-13,api_calls,1654.15,100000,0,278597.05,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.925,False,2025-03-13T23:59:00Z
USG00000073,ACC0001,CTR00001,2025-03-14,api_calls,4132.69,100000,0,282729.74,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.951,False,2025-03-14T23:59:00Z
USG00000074,ACC0001,CTR00001,2025-03-15,api_calls,4315.59,100000,0,287045.33,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.964,False,2025-03-15T23:59:00Z
USG00000075,ACC0001,CTR00001,2025-03-16,api_calls,3033.34,100000,0,290078.67,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.957,False,2025-03-16T23:59:00Z
USG00000076,ACC0001,CTR00001,2025-03-17,api_calls,3486.39,100000,0,293565.06,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.937,False,2025-03-17T23:59:00Z
USG00000077,ACC0001,CTR00001,2025-03-18,api_calls,3223.46,100000,0,296788.51,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.965,False,2025-03-18T23:59:00Z
USG00000078,ACC0001,CTR00001,2025-03-19,api_calls,4193.23,100000,0,300981.74,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.927,False,2025-03-19T23:59:00Z
USG00000079,ACC0001,CTR00001,2025-03-20,api_calls,4694.64,100000,0,305676.38,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.991,False,2025-03-20T23:59:00Z
USG00000080,ACC0001,CTR00001,2025-03-21,api_calls,2627.42,100000,0,308303.8,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.94,False,2025-03-21T23:59:00Z
USG00000081,ACC0001,CTR00001,2025-03-22,api_calls,4040.99,100000,0,312344.79,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.974,False,2025-03-22T23:59:00Z
USG00000082,ACC0001,CTR00001,2025-03-23,api_calls,4902.81,100000,0,317247.6,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.974,False,2025-03-23T23:59:00Z
USG00000083,ACC0001,CTR00001,2025-03-24,api_calls,3093.98,100000,0,320341.58,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.95,False,2025-03-24T23:59:00Z
USG00000084,ACC0001,CTR00001,2025-03-25,api_calls,1484.41,100000,0,321826.0,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.97,False,2025-03-25T23:59:00Z
USG00000085,ACC0001,CTR00001,2025-03-26,api_calls,2883.04,100000,0,324709.04,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.937,False,2025-03-26T23:59:00Z
USG00000086,ACC0001,CTR00001,2025-03-27,api_calls,2788.06,100000,0,327497.1,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.975,False,2025-03-27T23:59:00Z
USG00000087,ACC0001,CTR00001,2025-03-28,api_calls,2926.76,100000,0,330423.86,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.978,False,2025-03-28T23:59:00Z
USG00000088,ACC0001,CTR00001,2025-03-29,api_calls,5349.02,100000,0,335772.88,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.927,False,2025-03-29T23:59:00Z
USG00000089,ACC0001,CTR00001,2025-03-30,api_calls,5606.27,100000,0,341379.15,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.956,False,2025-03-30T23:59:00Z
USG00000090,ACC0001,CTR00001,2025-03-31,api_calls,5038.76,100000,0,346417.91,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.949,False,2025-03-31T23:59:00Z
USG00000091,ACC0001,CTR00001,2025-04-01,api_calls,3407.17,100000,0,349825.08,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.982,False,2025-04-01T23:59:00Z
USG00000092,ACC0001,CTR00001,2025-04-02,api_calls,5080.91,100000,0,354905.99,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.908,False,2025-04-02T23:59:00Z
USG00000093,ACC0001,CTR00001,2025-04-03,api_calls,1754.21,100000,0,356660.2,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.984,False,2025-04-03T23:59:00Z
USG00000094,ACC0001,CTR00001,2025-04-04,api_calls,2740.92,100000,0,359401.12,0.0,False,BP-2025-03-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.932,False,2025-04-04T23:59:00Z
USG00000095,ACC0001,CTR00001,2025-04-05,api_calls,4408.65,100000,0,363809.77,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.916,False,2025-04-05T23:59:00Z
USG00000096,ACC0001,CTR00001,2025-04-06,api_calls,3166.78,100000,0,366976.55,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.944,False,2025-04-06T23:59:00Z
USG00000097,ACC0001,CTR00001,2025-04-07,api_calls,2633.7,100000,0,369610.25,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.979,False,2025-04-07T23:59:00Z
USG00000098,ACC0001,CTR00001,2025-04-08,api_calls,4011.84,100000,0,373622.08,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.989,False,2025-04-08T23:59:00Z
USG00000099,ACC0001,CTR00001,2025-04-09,api_calls,4034.92,100000,0,377657.01,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.978,False,2025-04-09T23:59:00Z
USG00000100,ACC0001,CTR00001,2025-04-10,api_calls,4126.44,100000,0,381783.44,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.931,False,2025-04-10T23:59:00Z
USG00000101,ACC0001,CTR00001,2025-04-11,api_calls,4233.86,100000,0,386017.3,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.96,False,2025-04-11T23:59:00Z
USG00000102,ACC0001,CTR00001,2025-04-12,api_calls,3964.52,100000,0,389981.82,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.992,False,2025-04-12T23:59:00Z
USG00000103,ACC0001,CTR00001,2025-04-13,api_calls,3569.19,100000,0,393551.02,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.911,False,2025-04-13T23:59:00Z
USG00000104,ACC0001,CTR00001,2025-04-14,api_calls,3729.91,100000,0,397280.93,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.997,False,2025-04-14T23:59:00Z
USG00000105,ACC0001,CTR00001,2025-04-15,api_calls,4422.6,100000,0,401703.54,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.922,False,2025-04-15T23:59:00Z
USG00000106,ACC0001,CTR00001,2025-04-16,api_calls,3929.5,100000,0,405633.04,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.952,False,2025-04-16T23:59:00Z
USG00000107,ACC0001,CTR00001,2025-04-17,api_calls,3258.89,100000,0,408891.92,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.927,False,2025-04-17T23:59:00Z
USG00000108,ACC0001,CTR00001,2025-04-18,api_calls,3019.27,100000,0,411911.19,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.932,False,2025-04-18T23:59:00Z
USG00000109,ACC0001,CTR00001,2025-04-19,api_calls,3722.16,100000,0,415633.35,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.966,False,2025-04-19T23:59:00Z
USG00000110,ACC0001,CTR00001,2025-04-20,api_calls,4897.84,100000,0,420531.19,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.901,False,2025-04-20T23:59:00Z
USG00000111,ACC0001,CTR00001,2025-04-21,api_calls,4248.81,100000,0,424780.0,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.932,False,2025-04-21T23:59:00Z
USG00000112,ACC0001,CTR00001,2025-04-22,api_calls,4954.73,100000,0,429734.73,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.995,False,2025-04-22T23:59:00Z
USG00000113,ACC0001,CTR00001,2025-04-23,api_calls,3392.35,100000,0,433127.09,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.997,False,2025-04-23T23:59:00Z
USG00000114,ACC0001,CTR00001,2025-04-24,api_calls,3859.69,100000,0,436986.77,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.933,False,2025-04-24T23:59:00Z
USG00000115,ACC0001,CTR00001,2025-04-25,api_calls,3995.13,100000,0,440981.91,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.936,False,2025-04-25T23:59:00Z
USG00000116,ACC0001,CTR00001,2025-04-26,api_calls,4468.34,100000,0,445450.25,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.922,False,2025-04-26T23:59:00Z
USG00000117,ACC0001,CTR00001,2025-04-27,api_calls,3393.67,100000,0,448843.92,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.92,False,2025-04-27T23:59:00Z
USG00000118,ACC0001,CTR00001,2025-04-28,api_calls,4246.21,100000,0,453090.13,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.945,False,2025-04-28T23:59:00Z
USG00000119,ACC0001,CTR00001,2025-04-29,api_calls,4836.48,100000,0,457926.61,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.959,False,2025-04-29T23:59:00Z
USG00000120,ACC0001,CTR00001,2025-04-30,api_calls,3617.52,100000,0,461544.14,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.901,False,2025-04-30T23:59:00Z
USG00000121,ACC0001,CTR00001,2025-05-01,api_calls,2912.7,100000,0,464456.83,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.907,False,2025-05-01T23:59:00Z
USG00000122,ACC0001,CTR00001,2025-05-02,api_calls,4872.33,100000,0,469329.16,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.924,False,2025-05-02T23:59:00Z
USG00000123,ACC0001,CTR00001,2025-05-03,api_calls,4334.02,100000,0,473663.18,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.961,False,2025-05-03T23:59:00Z
USG00000124,ACC0001,CTR00001,2025-05-04,api_calls,2444.3,100000,0,476107.47,0.0,False,BP-2025-04-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.941,False,2025-05-04T23:59:00Z
USG00000125,ACC0001,CTR00001,2025-05-05,api_calls,3638.64,100000,0,479746.11,0.0,False,BP-2025-05-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.945,False,2025-05-05T23:59:00Z
USG00000126,ACC0001,CTR00001,2025-05-06,api_calls,5418.2,100000,0,485164.31,0.0,False,BP-2025-05-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.902,False,2025-05-06T23:59:00Z
USG00000127,ACC0001,CTR00001,2025-05-07,api_calls,4167.72,100000,0,489332.03,0.0,False,BP-2025-05-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.995,False,2025-05-07T23:59:00Z
USG00000128,ACC0001,CTR00001,2025-05-08,api_calls,3720.47,100000,0,493052.5,0.0,False,BP-2025-05-05,api,us-west-2,Add-ons,PRD-API-GW,False,0.946,False,2025-05-08T23:59:00Z
