sla_id,account_id,contract_id,period_start,period_end,sla_metric,contractual_target,actual_value,is_breach,breach_severity,credit_eligible,credit_calculated,credit_applied,credit_invoice_id,measured_at,data_source,is_disputed,dispute_resolution
SLA000015,ACC0006,CTR00007,2025-03-01,2025-03-31,api_response_p99,500.0,741.2,True,minor,True,340.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000016,ACC0007,CTR00008,2025-02-01,2025-02-28,data_sync_lag,60.0,118.0,True,major,True,625.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000017,ACC0007,CTR00009,2025-03-01,2025-03-31,ticket_response,4.0,20.7,True,minor,True,337.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000018,ACC0009,CTR00011,2025-04-01,2025-04-30,ticket_response,4.0,22.3,True,minor,True,337.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000019,ACC0009,CTR00011,2025-06-01,2025-06-30,ticket_response,4.0,23.6,True,major,True,675.0,False,,2025-06-30T23:59:00Z,monitoring_platform,True,
SLA000020,ACC0009,CTR00011,2025-06-01,2025-06-30,api_response_p99,500.0,1417.8,True,critical,True,1350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000021,ACC0010,CTR00013,2025-02-01,2025-02-28,ticket_response,4.0,8.3,True,minor,True,350.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000022,ACC0010,CTR00013,2025-02-01,2025-02-28,data_sync_lag,60.0,87.5,True,major,True,700.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000023,ACC0010,CTR00013,2025-02-01,2025-02-28,api_response_p99,500.0,1017.9,True,minor,True,350.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000024,ACC0010,CTR00013,2025-02-01,2025-02-28,uptime,99.9,99.174,True,major,True,700.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000025,ACC0010,CTR00014,2025-05-01,2025-05-31,uptime,99.9,98.062,True,minor,True,350.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000026,ACC0012,CTR00017,2025-01-01,2025-01-31,ticket_response,4.0,22.0,True,minor,True,325.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000027,ACC0012,CTR00017,2025-01-01,2025-01-31,api_response_p99,500.0,607.3,True,minor,True,325.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000028,ACC0012,CTR00017,2025-01-01,2025-01-31,uptime,99.9,97.517,True,major,True,650.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000029,ACC0012,CTR00017,2025-01-01,2025-01-31,data_sync_lag,60.0,267.7,True,major,True,650.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000030,ACC0012,CTR00018,2025-04-01,2025-04-30,uptime,99.9,97.556,True,minor,True,312.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000031,ACC0013,CTR00019,2025-01-01,2025-01-31,uptime,99.9,97.838,True,minor,True,340.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000032,ACC0013,CTR00019,2025-06-01,2025-06-30,ticket_response,4.0,15.8,True,major,True,680.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000033,ACC0014,CTR00021,2025-02-01,2025-02-28,uptime,99.9,98.77,True,minor,True,367.5,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000034,ACC0014,CTR00021,2025-03-01,2025-03-31,uptime,99.9,98.657,True,major,True,735.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000035,ACC0014,CTR00021,2025-03-01,2025-03-31,data_sync_lag,60.0,71.5,True,minor,True,367.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000036,ACC0014,CTR00021,2025-03-01,2025-03-31,api_response_p99,500.0,1083.9,True,major,True,735.0,False,,2025-03-31T23:59:00Z,monitoring_platform,True,
SLA000037,ACC0014,CTR00021,2025-03-01,2025-03-31,ticket_response,4.0,23.0,True,minor,True,367.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000038,ACC0016,CTR00024,2025-03-01,2025-03-31,api_response_p99,500.0,1112.3,True,major,True,850.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000039,ACC0017,CTR00025,2025-02-01,2025-02-28,data_sync_lag,60.0,212.7,True,major,True,700.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000040,ACC0017,CTR00025,2025-05-01,2025-05-31,api_response_p99,500.0,1145.7,True,major,True,700.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000041,ACC0017,CTR00026,2025-05-01,2025-05-31,uptime,99.9,98.662,True,major,True,650.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000042,ACC0017,CTR00026,2025-06-01,2025-06-30,api_response_p99,500.0,1388.9,True,major,True,650.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000043,ACC0018,CTR00027,2025-02-01,2025-02-28,data_sync_lag,60.0,101.0,True,minor,True,462.5,False,,2025-02-28T23:59:00Z,monitoring_platform,True,
SLA000044,ACC0019,CTR00028,2025-05-01,2025-05-31,ticket_response,4.0,23.8,True,major,True,925.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000045,ACC0019,CTR00028,2025-05-01,2025-05-31,api_response_p99,500.0,1233.5,True,critical,True,1850.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000046,ACC0019,CTR00029,2025-02-01,2025-02-28,uptime,99.9,99.174,True,minor,True,312.5,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000047,ACC0019,CTR00029,2025-06-01,2025-06-30,api_response_p99,500.0,566.2,True,minor,True,312.5,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000048,ACC0019,CTR00029,2025-06-01,2025-06-30,data_sync_lag,60.0,176.2,True,minor,True,312.5,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000049,ACC0019,CTR00029,2025-06-01,2025-06-30,uptime,99.9,98.258,True,minor,True,312.5,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000050,ACC0020,CTR00031,2025-01-01,2025-01-31,data_sync_lag,60.0,197.8,True,critical,True,1200.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000051,ACC0020,CTR00031,2025-01-01,2025-01-31,ticket_response,4.0,16.1,True,minor,True,300.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000052,ACC0020,CTR00031,2025-03-01,2025-03-31,api_response_p99,500.0,1256.6,True,major,True,600.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000053,ACC0020,CTR00032,2025-04-01,2025-04-30,api_response_p99,500.0,632.6,True,major,True,625.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000054,ACC0020,CTR00032,2025-04-01,2025-04-30,uptime,99.9,98.919,True,minor,True,312.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000055,ACC0020,CTR00032,2025-04-01,2025-04-30,data_sync_lag,60.0,191.9,True,minor,True,312.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000056,ACC0020,CTR00032,2025-04-01,2025-04-30,ticket_response,4.0,14.6,True,major,True,625.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000057,ACC0020,CTR00032,2025-05-01,2025-05-31,data_sync_lag,60.0,136.5,True,minor,True,312.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000058,ACC0020,CTR00032,2025-05-01,2025-05-31,api_response_p99,500.0,938.4,True,minor,True,312.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000059,ACC0020,CTR00032,2025-05-01,2025-05-31,uptime,99.9,97.509,True,major,True,625.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000060,ACC0021,CTR00033,2025-01-01,2025-01-31,data_sync_lag,60.0,147.1,True,critical,True,1350.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000061,ACC0021,CTR00033,2025-04-01,2025-04-30,api_response_p99,500.0,721.9,True,major,True,675.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000062,ACC0021,CTR00033,2025-04-01,2025-04-30,ticket_response,4.0,18.9,True,minor,True,337.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000063,ACC0021,CTR00033,2025-05-01,2025-05-31,data_sync_lag,60.0,137.5,True,critical,True,1350.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000064,ACC0021,CTR00033,2025-05-01,2025-05-31,api_response_p99,500.0,667.3,True,major,True,675.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000065,ACC0021,CTR00033,2025-05-01,2025-05-31,uptime,99.9,99.696,True,minor,True,337.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000066,ACC0021,CTR00034,2025-04-01,2025-04-30,uptime,99.9,99.358,True,minor,True,325.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000067,ACC0021,CTR00035,2025-03-01,2025-03-31,ticket_response,4.0,22.5,True,critical,True,1300.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000068,ACC0022,CTR00036,2025-03-01,2025-03-31,ticket_response,4.0,17.8,True,major,True,975.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000069,ACC0022,CTR00036,2025-04-01,2025-04-30,ticket_response,4.0,22.7,True,minor,True,487.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000070,ACC0022,CTR00037,2025-01-01,2025-01-31,uptime,99.9,98.736,True,minor,True,325.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000071,ACC0023,CTR00039,2025-04-01,2025-04-30,api_response_p99,500.0,660.1,True,major,True,650.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000072,ACC0023,CTR00039,2025-04-01,2025-04-30,ticket_response,4.0,11.0,True,major,True,650.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000073,ACC0023,CTR00039,2025-04-01,2025-04-30,data_sync_lag,60.0,254.3,True,minor,True,325.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000074,ACC0023,CTR00040,2025-02-01,2025-02-28,api_response_p99,500.0,898.9,True,minor,True,325.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000075,ACC0023,CTR00041,2025-02-01,2025-02-28,uptime,99.9,97.548,True,major,True,650.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000076,ACC0023,CTR00041,2025-02-01,2025-02-28,ticket_response,4.0,18.8,True,minor,True,325.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000077,ACC0023,CTR00041,2025-02-01,2025-02-28,api_response_p99,500.0,676.8,True,minor,True,325.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000078,ACC0023,CTR00041,2025-02-01,2025-02-28,data_sync_lag,60.0,82.3,True,major,True,650.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000079,ACC0024,CTR00042,2025-03-01,2025-03-31,uptime,99.9,99.802,True,major,True,600.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000080,ACC0024,CTR00042,2025-03-01,2025-03-31,api_response_p99,500.0,852.0,True,critical,True,1200.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000081,ACC0025,CTR00044,2025-01-01,2025-01-31,ticket_response,4.0,17.3,True,minor,True,337.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000082,ACC0026,CTR00045,2025-01-01,2025-01-31,ticket_response,4.0,16.7,True,minor,True,352.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000083,ACC0026,CTR00047,2025-03-01,2025-03-31,api_response_p99,500.0,1431.1,True,minor,True,337.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000084,ACC0026,CTR00047,2025-06-01,2025-06-30,uptime,99.9,99.043,True,minor,True,337.5,False,,2025-06-30T23:59:00Z,monitoring_platform,True,
SLA000085,ACC0028,CTR00049,2025-02-01,2025-02-28,ticket_response,4.0,8.5,True,minor,True,400.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000086,ACC0028,CTR00049,2025-02-01,2025-02-28,api_response_p99,500.0,1481.7,True,minor,True,400.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000087,ACC0028,CTR00049,2025-02-01,2025-02-28,data_sync_lag,60.0,251.4,True,major,True,800.0,False,,2025-02-28T23:59:00Z,monitoring_platform,True,
SLA000088,ACC0028,CTR00050,2025-06-01,2025-06-30,uptime,99.9,97.696,True,critical,True,1250.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000089,ACC0029,CTR00052,2025-04-01,2025-04-30,api_response_p99,500.0,1145.0,True,major,True,725.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000090,ACC0029,CTR00052,2025-04-01,2025-04-30,ticket_response,4.0,13.8,True,minor,True,362.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000091,ACC0029,CTR00052,2025-05-01,2025-05-31,data_sync_lag,60.0,274.1,True,major,True,725.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000092,ACC0030,CTR00053,2025-02-01,2025-02-28,ticket_response,4.0,7.4,True,major,True,850.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000093,ACC0030,CTR00054,2025-01-01,2025-01-31,api_response_p99,500.0,601.9,True,major,True,675.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000094,ACC0030,CTR00054,2025-01-01,2025-01-31,uptime,99.9,98.048,True,minor,True,337.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000095,ACC0030,CTR00054,2025-01-01,2025-01-31,data_sync_lag,60.0,178.4,True,minor,True,337.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000096,ACC0030,CTR00054,2025-05-01,2025-05-31,ticket_response,4.0,9.7,True,major,True,675.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000097,ACC0032,CTR00057,2025-02-01,2025-02-28,api_response_p99,500.0,1274.5,True,minor,True,325.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000098,ACC0032,CTR00057,2025-04-01,2025-04-30,ticket_response,4.0,20.4,True,major,True,650.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000099,ACC0032,CTR00057,2025-05-01,2025-05-31,api_response_p99,500.0,1268.6,True,critical,True,1300.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000100,ACC0033,CTR00058,2025-01-01,2025-01-31,data_sync_lag,60.0,245.2,True,critical,True,1510.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000101,ACC0033,CTR00058,2025-06-01,2025-06-30,api_response_p99,500.0,732.7,True,critical,True,1510.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000102,ACC0033,CTR00059,2025-03-01,2025-03-31,data_sync_lag,60.0,244.7,True,minor,True,350.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000103,ACC0033,CTR00059,2025-05-01,2025-05-31,uptime,99.9,98.633,True,minor,True,350.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000104,ACC0035,CTR00061,2025-03-01,2025-03-31,data_sync_lag,60.0,232.7,True,major,True,710.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000105,ACC0035,CTR00061,2025-04-01,2025-04-30,data_sync_lag,60.0,113.1,True,major,True,710.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000106,ACC0035,CTR00062,2025-02-01,2025-02-28,ticket_response,4.0,9.6,True,major,True,625.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000107,ACC0035,CTR00062,2025-02-01,2025-02-28,data_sync_lag,60.0,177.2,True,critical,True,1250.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000108,ACC0035,CTR00062,2025-02-01,2025-02-28,uptime,99.9,99.73,True,major,True,625.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000109,ACC0035,CTR00062,2025-03-01,2025-03-31,uptime,99.9,97.928,True,minor,True,312.5,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000110,ACC0036,CTR00063,2025-01-01,2025-01-31,ticket_response,4.0,12.5,True,minor,True,340.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000111,ACC0036,CTR00063,2025-01-01,2025-01-31,uptime,99.9,98.146,True,minor,True,340.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000112,ACC0036,CTR00063,2025-01-01,2025-01-31,api_response_p99,500.0,1385.8,True,major,True,680.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000113,ACC0036,CTR00063,2025-02-01,2025-02-28,ticket_response,4.0,13.3,True,minor,True,340.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000114,ACC0036,CTR00063,2025-05-01,2025-05-31,uptime,99.9,97.945,True,critical,True,1360.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000115,ACC0037,CTR00064,2025-02-01,2025-02-28,ticket_response,4.0,15.0,True,critical,True,1800.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000116,ACC0037,CTR00065,2025-01-01,2025-01-31,uptime,99.9,99.414,True,critical,True,1300.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000117,ACC0038,CTR00066,2025-01-01,2025-01-31,data_sync_lag,60.0,177.5,True,minor,True,387.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000118,ACC0038,CTR00066,2025-02-01,2025-02-28,uptime,99.9,99.306,True,critical,True,1550.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000119,ACC0038,CTR00066,2025-02-01,2025-02-28,ticket_response,4.0,13.4,True,major,True,775.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000120,ACC0038,CTR00066,2025-02-01,2025-02-28,api_response_p99,500.0,862.9,True,major,True,775.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000121,ACC0038,CTR00067,2025-06-01,2025-06-30,api_response_p99,500.0,523.3,True,major,True,625.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000122,ACC0040,CTR00069,2025-02-01,2025-02-28,ticket_response,4.0,7.0,True,critical,True,1310.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000123,ACC0040,CTR00070,2025-01-01,2025-01-31,ticket_response,4.0,20.6,True,major,True,700.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000124,ACC0040,CTR00070,2025-06-01,2025-06-30,ticket_response,4.0,23.2,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000125,ACC0040,CTR00070,2025-06-01,2025-06-30,uptime,99.9,98.492,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000126,ACC0040,CTR00070,2025-06-01,2025-06-30,api_response_p99,500.0,908.6,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000127,ACC0040,CTR00070,2025-06-01,2025-06-30,data_sync_lag,60.0,171.7,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000128,ACC0041,CTR00071,2025-01-01,2025-01-31,uptime,99.9,98.733,True,minor,True,400.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000129,ACC0041,CTR00071,2025-05-01,2025-05-31,api_response_p99,500.0,1480.6,True,critical,True,1600.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000130,ACC0041,CTR00072,2025-01-01,2025-01-31,data_sync_lag,60.0,118.3,True,minor,True,300.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000131,ACC0041,CTR00072,2025-01-01,2025-01-31,api_response_p99,500.0,758.6,True,critical,True,1200.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000132,ACC0041,CTR00072,2025-01-01,2025-01-31,uptime,99.9,99.385,True,major,True,600.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000133,ACC0042,CTR00073,2025-06-01,2025-06-30,ticket_response,4.0,5.6,True,major,True,725.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000134,ACC0042,CTR00073,2025-06-01,2025-06-30,uptime,99.9,99.119,True,minor,True,362.5,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000135,ACC0042,CTR00074,2025-03-01,2025-03-31,api_response_p99,500.0,1485.5,True,critical,True,1400.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000136,ACC0042,CTR00074,2025-03-01,2025-03-31,uptime,99.9,98.103,True,minor,True,350.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000137,ACC0042,CTR00074,2025-06-01,2025-06-30,data_sync_lag,60.0,242.6,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000138,ACC0042,CTR00074,2025-06-01,2025-06-30,uptime,99.9,98.178,True,critical,True,1400.0,False,,2025-06-30T23:59:00Z,monitoring_platform,True,
SLA000139,ACC0042,CTR00074,2025-06-01,2025-06-30,api_response_p99,500.0,729.0,True,major,True,700.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000140,ACC0042,CTR00074,2025-06-01,2025-06-30,ticket_response,4.0,15.9,True,minor,True,350.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000141,ACC0043,CTR00076,2025-01-01,2025-01-31,uptime,99.9,98.493,True,major,True,650.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000142,ACC0043,CTR00076,2025-04-01,2025-04-30,api_response_p99,500.0,930.3,True,minor,True,325.0,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000143,ACC0043,CTR00076,2025-05-01,2025-05-31,uptime,99.9,97.937,True,critical,True,1300.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000144,ACC0043,CTR00077,2025-01-01,2025-01-31,uptime,99.9,99.33,True,minor,True,350.0,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000145,ACC0043,CTR00077,2025-02-01,2025-02-28,ticket_response,4.0,15.2,True,minor,True,350.0,False,,2025-02-28T23:59:00Z,monitoring_platform,True,
SLA000146,ACC0043,CTR00077,2025-06-01,2025-06-30,data_sync_lag,60.0,203.8,True,critical,True,1400.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000147,ACC0043,CTR00077,2025-06-01,2025-06-30,ticket_response,4.0,7.9,True,major,True,700.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000148,ACC0043,CTR00077,2025-06-01,2025-06-30,uptime,99.9,97.867,True,critical,True,1400.0,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000149,ACC0044,CTR00079,2025-04-01,2025-04-30,data_sync_lag,60.0,124.2,True,minor,True,312.5,False,,2025-04-30T23:59:00Z,monitoring_platform,False,
SLA000150,ACC0044,CTR00080,2025-02-01,2025-02-28,data_sync_lag,60.0,187.3,True,minor,True,350.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000151,ACC0044,CTR00080,2025-05-01,2025-05-31,uptime,99.9,99.664,True,minor,True,350.0,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000152,ACC0045,CTR00081,2025-01-01,2025-01-31,ticket_response,4.0,11.0,True,minor,True,412.5,False,,2025-01-31T23:59:00Z,monitoring_platform,False,
SLA000153,ACC0045,CTR00081,2025-05-01,2025-05-31,uptime,99.9,99.005,True,minor,True,412.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000154,ACC0045,CTR00081,2025-05-01,2025-05-31,data_sync_lag,60.0,253.8,True,minor,True,412.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000155,ACC0045,CTR00081,2025-05-01,2025-05-31,ticket_response,4.0,18.1,True,minor,True,412.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000156,ACC0045,CTR00081,2025-05-01,2025-05-31,api_response_p99,500.0,1064.5,True,minor,True,412.5,False,,2025-05-31T23:59:00Z,monitoring_platform,False,
SLA000157,ACC0045,CTR00081,2025-06-01,2025-06-30,ticket_response,4.0,8.3,True,minor,True,412.5,False,,2025-06-30T23:59:00Z,monitoring_platform,False,
SLA000158,ACC0045,CTR00082,2025-02-01,2025-02-28,uptime,99.9,99.639,True,critical,True,1400.0,False,,2025-02-28T23:59:00Z,monitoring_platform,False,
SLA000159,ACC0045,CTR00082,2025-03-01,2025-03-31,uptime,99.9,98.629,True,critical,True,1400.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
SLA000160,ACC0045,CTR00082,2025-03-01,2025-03-31,data_sync_lag,60.0,121.8,True,critical,True,1400.0,False,,2025-03-31T23:59:00Z,monitoring_platform,False,
