subscription_id,signup_id,customer_id,plan_id,start_date,end_date,mrr_amount,billing_cycle,cancellation_reason,renewal_count,discount_pct,payment_method,auto_renew
SUB-000024,SGN-005022,CUST-00024,Professional,2022-12-21,,753.6,Annual,,1,0.15,Invoice,False
SUB-000025,SGN-003599,CUST-00025,Starter,2022-07-24,,10240.94,Monthly,,2,0.0,Wire Transfer,True
SUB-000026,SGN-004122,CUST-00026,Growth,2023-05-22,,3249.65,Monthly,,5,0.0,ACH,True
SUB-000027,SGN-000452,CUST-00027,Growth,2023-08-07,,8983.95,Monthly,,4,0.05,ACH,True
SUB-000028,SGN-003883,CUST-00028,Starter,2022-10-12,2024-06-02,6819.42,Monthly,Switched to competitor,8,0.0,Invoice,True
SUB-000029,SGN-006096,CUST-00029,Starter,2024-05-15,,4620.04,Monthly,,2,0.0,Credit Card,True
SUB-000030,SGN-005152,CUST-00030,Starter,2023-04-29,2023-09-08,10630.49,Annual,Support dissatisfaction,4,0.1,Invoice,True
SUB-000031,SGN-000051,CUST-00031,Growth,2023-07-30,,4144.16,Monthly,,4,0.05,ACH,True
SUB-000032,SGN-000095,CUST-00032,Growth,2023-07-01,,9927.28,Monthly,,9,0.05,Credit Card,True
SUB-000033,SGN-006151,CUST-00033,Starter,2024-01-11,,5360.02,Monthly,,4,0.0,Invoice,True
SUB-000034,SGN-005004,CUST-00034,Starter,2022-02-09,,8854.49,Annual,,5,0.05,ACH,True
SUB-000035,SGN-001159,CUST-00035,Enterprise,2023-09-29,,5289.6,Monthly,,2,0.05,Invoice,True
SUB-000036,SGN-003461,CUST-00036,Professional,2022-06-14,,6944.14,Annual,,9,0.0,Invoice,True
SUB-000037,SGN-002621,CUST-00037,Starter,2022-12-19,2023-07-26,4709.39,Monthly,Price increase,1,0.1,Credit Card,True
SUB-000038,SGN-002622,CUST-00037,Starter,2023-10-24,,1593.14,Monthly,,7,0.05,Credit Card,False
SUB-000039,SGN-004169,CUST-00038,Starter,2023-01-16,,9840.91,Annual,,8,0.0,ACH,True
SUB-000040,SGN-005869,CUST-00039,Enterprise,2024-04-12,,8941.99,Annual,,9,0.05,Wire Transfer,False
SUB-000041,SGN-004707,CUST-00040,Starter,2022-04-23,,3581.41,Annual,,8,0.0,Wire Transfer,False
SUB-000042,SGN-000126,CUST-00041,Professional,2023-07-19,,1035.39,Monthly,,7,0.1,ACH,True
SUB-000043,SGN-004997,CUST-00042,Professional,2023-01-04,2023-12-08,2275.5,Monthly,Missing features,1,0.0,Invoice,True
SUB-000044,SGN-006339,CUST-00043,Professional,2024-03-16,,5418.49,Monthly,,0,0.15,ACH,True
SUB-000045,SGN-005875,CUST-00044,Starter,2024-03-18,2024-06-30,5717.48,Annual,Price increase,8,0.15,Credit Card,True
SUB-000046,SGN-003819,CUST-00045,Enterprise,2023-04-07,,933.28,Monthly,,2,0.1,ACH,True
SUB-000047,SGN-005292,CUST-00046,Professional,2022-05-22,2023-08-21,1688.9,Monthly,Budget cuts,1,0.15,ACH,True
SUB-000048,SGN-002944,CUST-00047,Growth,2022-03-15,,436.46,Monthly,,6,0.0,Wire Transfer,True
SUB-000049,SGN-003991,CUST-00048,Starter,2022-12-05,,3539.26,Annual,,4,0.0,Credit Card,True
SUB-000050,SGN-002720,CUST-00049,Enterprise,2022-11-14,,1412.76,Monthly,,3,0.0,Wire Transfer,True
SUB-000051,SGN-000278,CUST-00050,Growth,2023-07-16,,495.91,Monthly,,8,0.0,Invoice,True
SUB-000052,SGN-001496,CUST-00051,Starter,2023-10-29,,1484.94,Monthly,,2,0.0,ACH,True
SUB-000053,SGN-004262,CUST-00052,Enterprise,2022-06-04,,11569.31,Monthly,,5,0.0,Invoice,True
SUB-000054,SGN-001708,CUST-00053,Professional,2023-11-13,,2280.23,Monthly,,1,0.1,Invoice,True
SUB-000055,SGN-001425,CUST-00054,Enterprise,2023-10-12,,7928.93,Monthly,,2,0.1,ACH,True
SUB-000056,SGN-000713,CUST-00055,Growth,2023-08-18,2024-05-18,2954.7,Annual,Price increase,0,0.0,Invoice,False
SUB-000057,SGN-003263,CUST-00056,Enterprise,2022-06-02,,7541.8,Annual,,8,0.0,Credit Card,True
SUB-000058,SGN-001181,CUST-00057,Growth,2023-09-10,,8293.93,Monthly,,3,0.0,Credit Card,True
SUB-000059,SGN-003970,CUST-00058,Starter,2022-01-27,2023-04-19,6727.04,Annual,Missing features,0,0.0,Invoice,True
SUB-000060,SGN-003417,CUST-00059,Enterprise Plus,2023-05-22,,11599.95,Monthly,,7,0.0,ACH,True
SUB-000061,SGN-001841,CUST-00060,Growth,2023-11-17,,9914.57,Monthly,,2,0.0,ACH,True
SUB-000062,SGN-002120,CUST-00061,Professional,2023-12-24,,1788.85,Annual,,8,0.0,Credit Card,True
SUB-000063,SGN-003769,CUST-00062,Starter,2022-08-05,,2017.62,Monthly,,4,0.1,Wire Transfer,True
SUB-000064,SGN-000502,CUST-00063,Starter,2023-08-04,,2305.63,Monthly,,1,0.0,Invoice,True
SUB-000065,SGN-002802,CUST-00064,Starter,2022-10-25,,3878.85,Monthly,,6,0.1,Invoice,False
SUB-000066,SGN-004675,CUST-00065,Starter,2023-01-07,2023-08-03,7455.16,Annual,Missing features,8,0.0,Invoice,True
SUB-000067,SGN-004676,CUST-00065,Starter,2023-09-22,,10982.71,Monthly,,9,0.05,Credit Card,True
SUB-000068,SGN-001085,CUST-00066,Enterprise Plus,2023-09-06,,2706.04,Annual,,6,0.0,Credit Card,True
SUB-000069,SGN-001831,CUST-00067,Professional,2023-11-16,,2840.0,Annual,,2,0.0,ACH,True
SUB-000070,SGN-003919,CUST-00068,Starter,2022-11-29,,5552.69,Monthly,,9,0.0,ACH,True
SUB-000071,SGN-004117,CUST-00069,Enterprise Plus,2023-04-17,,1573.82,Monthly,,2,0.0,Credit Card,True
SUB-000072,SGN-004481,CUST-00070,Growth,2023-01-14,,11996.73,Annual,,3,0.1,Wire Transfer,True
SUB-000073,SGN-004962,CUST-00071,Professional,2023-06-10,,8042.68,Monthly,,9,0.0,Invoice,True
SUB-000074,SGN-000382,CUST-00072,Starter,2023-07-11,,1736.56,Annual,,0,0.0,Invoice,True
SUB-000075,SGN-003811,CUST-00073,Enterprise,2023-06-18,,9426.36,Monthly,,6,0.05,Invoice,True
SUB-000076,SGN-005980,CUST-00074,Enterprise,2024-03-29,,6689.64,Annual,,3,0.0,Invoice,True
SUB-000077,SGN-000565,CUST-00075,Starter,2023-08-17,2024-06-30,11718.93,Monthly,Switched to competitor,3,0.15,Invoice,True
SUB-000078,SGN-000274,CUST-00076,Enterprise,2023-07-13,,11201.84,Monthly,,7,0.05,Invoice,False
SUB-000079,SGN-000099,CUST-00077,Professional,2023-07-09,,1519.54,Monthly,,6,0.0,Wire Transfer,True
SUB-000080,SGN-004600,CUST-00078,Growth,2023-05-15,,6834.13,Monthly,,7,0.05,Wire Transfer,True
SUB-000081,SGN-000568,CUST-00079,Growth,2023-08-19,,4781.04,Monthly,,3,0.1,Invoice,False
SUB-000082,SGN-000839,CUST-00080,Growth,2023-09-29,,7007.61,Annual,,2,0.0,Credit Card,True
SUB-000083,SGN-006032,CUST-00081,Growth,2024-01-04,,10417.45,Monthly,,9,0.0,Credit Card,True
SUB-000084,SGN-001868,CUST-00082,Starter,2023-11-21,,8581.63,Monthly,,1,0.0,Credit Card,True
SUB-000085,SGN-003908,CUST-00083,Enterprise,2022-12-16,,11101.4,Monthly,,6,0.0,Invoice,True
SUB-000086,SGN-005618,CUST-00084,Growth,2022-03-29,,3670.04,Monthly,,4,0.0,Wire Transfer,False
SUB-000087,SGN-002562,CUST-00085,Growth,2023-04-20,,4089.68,Monthly,,7,0.05,Wire Transfer,True
SUB-000088,SGN-003335,CUST-00086,Starter,2022-05-17,,11774.78,Monthly,,1,0.0,Credit Card,True
SUB-000089,SGN-001469,CUST-00087,Starter,2023-10-30,2024-06-30,996.38,Monthly,Low product usage,8,0.0,Invoice,False
SUB-000090,SGN-005064,CUST-00088,Enterprise Plus,2023-02-10,2023-06-29,11828.12,Monthly,Company acquired/merged,6,0.0,Wire Transfer,True
SUB-000091,SGN-005065,CUST-00088,Starter,2023-08-18,2024-06-30,8518.04,Annual,Price increase,2,0.0,Invoice,True
SUB-000092,SGN-002331,CUST-00089,Growth,2023-12-31,,11276.24,Monthly,,1,0.05,ACH,True
SUB-000093,SGN-002194,CUST-00090,Growth,2023-12-28,,9082.21,Monthly,,0,0.1,Credit Card,True
SUB-000094,SGN-003831,CUST-00091,Growth,2022-07-10,,6500.4,Monthly,,5,0.0,ACH,False
SUB-000095,SGN-000194,CUST-00092,Growth,2023-07-24,,4585.59,Annual,,0,0.0,ACH,True
SUB-000096,SGN-005123,CUST-00093,Growth,2023-04-14,,2586.43,Annual,,7,0.0,Invoice,True
SUB-000097,SGN-001407,CUST-00094,Growth,2023-10-06,,8729.6,Monthly,,5,0.1,ACH,True
SUB-000098,SGN-000725,CUST-00095,Growth,2023-08-31,,1666.59,Monthly,,4,0.0,Credit Card,False
SUB-000099,SGN-001728,CUST-00096,Starter,2023-11-13,,7498.92,Annual,,9,0.0,ACH,True
SUB-000100,SGN-004847,CUST-00097,Growth,2022-04-26,2022-12-08,900.7,Monthly,Missing features,0,0.05,Invoice,True
SUB-000101,SGN-004848,CUST-00097,Professional,2023-07-04,,11951.93,Monthly,,2,0.0,Credit Card,True
SUB-000102,SGN-005314,CUST-00098,Starter,2022-09-18,,5738.56,Monthly,,2,0.0,Wire Transfer,True
SUB-000103,SGN-003011,CUST-00099,Growth,2022-04-07,,3600.95,Monthly,,8,0.0,Credit Card,True
SUB-000104,SGN-001551,CUST-00100,Starter,2023-10-28,,9431.76,Monthly,,7,0.05,Invoice,True
SUB-000105,SGN-004393,CUST-00101,Starter,2023-01-09,,2795.52,Annual,,6,0.0,ACH,True
SUB-000106,SGN-003234,CUST-00102,Professional,2022-05-12,,2844.36,Monthly,,3,0.0,Invoice,False
SUB-000107,SGN-004867,CUST-00103,Starter,2022-02-07,,1525.75,Monthly,,7,0.0,Credit Card,True
SUB-000108,SGN-005404,CUST-00104,Growth,2022-05-21,,8240.74,Annual,,7,0.0,ACH,True
SUB-000109,SGN-004268,CUST-00105,Growth,2022-04-19,2023-05-25,11117.81,Monthly,Price increase,1,0.15,Wire Transfer,True
SUB-000110,SGN-004269,CUST-00105,Enterprise,2023-07-06,2023-12-07,1123.71,Monthly,Low product usage,4,0.1,Wire Transfer,True
SUB-000111,SGN-005403,CUST-00106,Professional,2023-06-12,,3288.63,Annual,,7,0.15,ACH,True
SUB-000112,SGN-004948,CUST-00107,Starter,2022-06-16,,9909.12,Annual,,6,0.05,Invoice,True
SUB-000113,SGN-005642,CUST-00108,Starter,2022-10-09,,1676.18,Monthly,,5,0.05,Invoice,False
SUB-000114,SGN-001217,CUST-00109,Growth,2023-10-01,,1382.75,Monthly,,5,0.05,ACH,True
SUB-000115,SGN-002013,CUST-00110,Starter,2023-12-08,,9740.09,Monthly,,9,0.0,ACH,True
SUB-000116,SGN-002538,CUST-00111,Starter,2023-06-15,,7525.47,Monthly,,3,0.0,Invoice,True
SUB-000117,SGN-003818,CUST-00112,Growth,2023-01-17,,6432.35,Monthly,,6,0.15,ACH,False
SUB-000118,SGN-000959,CUST-00113,Starter,2023-09-28,,3449.37,Monthly,,4,0.0,Credit Card,True
SUB-000119,SGN-003536,CUST-00114,Enterprise,2022-04-14,,10232.31,Annual,,4,0.05,ACH,False
SUB-000120,SGN-002793,CUST-00115,Growth,2022-04-23,,3065.64,Monthly,,6,0.0,ACH,True
SUB-000121,SGN-002976,CUST-00116,Enterprise,2023-06-04,,8519.08,Monthly,,5,0.0,Credit Card,False
SUB-000122,SGN-000284,CUST-00117,Starter,2023-07-02,,5232.03,Annual,,2,0.05,Credit Card,True
SUB-000123,SGN-002672,CUST-00118,Growth,2022-06-24,2023-11-10,5103.8,Annual,Price increase,9,0.0,ACH,True
SUB-000124,SGN-000830,CUST-00119,Professional,2023-09-12,,7419.15,Monthly,,5,0.05,ACH,True
SUB-000125,SGN-001640,CUST-00120,Starter,2023-11-17,,636.08,Annual,,5,0.0,Credit Card,True
SUB-000126,SGN-003350,CUST-00121,Enterprise,2022-12-31,,4284.74,Monthly,,5,0.1,ACH,True
SUB-000127,SGN-003295,CUST-00122,Growth,2022-01-25,,4712.3,Annual,,9,0.15,Invoice,True
SUB-000128,SGN-000884,CUST-00123,Professional,2023-09-09,2024-06-30,7193.54,Monthly,Budget cuts,0,0.1,Invoice,True
SUB-000129,SGN-003291,CUST-00124,Professional,2022-04-09,2022-12-15,9881.36,Monthly,Company acquired/merged,9,0.0,Credit Card,True
SUB-000130,SGN-000915,CUST-00125,Professional,2023-09-19,,7202.65,Monthly,,8,0.0,Credit Card,True
SUB-000131,SGN-004759,CUST-00126,Starter,2022-07-14,2023-02-26,11834.3,Monthly,Price increase,0,0.0,Wire Transfer,True
SUB-000132,SGN-004760,CUST-00126,Professional,2023-07-17,,1655.5,Monthly,,0,0.0,Invoice,True
SUB-000133,SGN-003964,CUST-00127,Starter,2023-06-05,,10491.16,Monthly,,5,0.0,ACH,False
SUB-000134,SGN-000225,CUST-00128,Starter,2023-07-17,,6881.66,Annual,,0,0.0,Invoice,True
SUB-000135,SGN-003740,CUST-00129,Starter,2022-11-06,,2540.86,Monthly,,5,0.1,ACH,True
SUB-000136,SGN-003050,CUST-00130,Professional,2022-08-18,,4096.76,Monthly,,8,0.05,Wire Transfer,True
SUB-000137,SGN-005731,CUST-00131,Growth,2023-06-12,,10693.6,Monthly,,4,0.05,Credit Card,True
SUB-000138,SGN-000746,CUST-00132,Professional,2023-08-05,,8296.27,Monthly,,9,0.0,ACH,True
SUB-000139,SGN-002377,CUST-00133,Starter,2023-12-19,,4473.54,Monthly,,6,0.05,Invoice,True
SUB-000140,SGN-003053,CUST-00134,Professional,2022-08-03,2023-05-28,7452.86,Monthly,Price increase,9,0.0,Wire Transfer,False
SUB-000141,SGN-000605,CUST-00135,Starter,2023-08-31,,4470.09,Annual,,8,0.0,ACH,False
SUB-000142,SGN-004762,CUST-00136,Starter,2023-02-20,,5219.85,Monthly,,4,0.05,Invoice,True
SUB-000143,SGN-000797,CUST-00137,Starter,2023-08-11,,8770.31,Monthly,,1,0.0,Invoice,False
SUB-000144,SGN-003285,CUST-00138,Enterprise,2022-04-03,,304.68,Annual,,0,0.0,Credit Card,False
SUB-000145,SGN-001316,CUST-00139,Growth,2023-10-04,,5880.26,Monthly,,7,0.0,Credit Card,True
SUB-000146,SGN-003885,CUST-00140,Professional,2023-02-08,,2853.23,Monthly,,4,0.0,Wire Transfer,False
SUB-000147,SGN-004608,CUST-00141,Professional,2022-09-14,2024-04-08,5778.72,Annual,Missing features,5,0.0,Invoice,False
SUB-000148,SGN-003034,CUST-00142,Growth,2022-01-16,,6732.13,Annual,,2,0.1,Credit Card,False
SUB-000149,SGN-001624,CUST-00143,Starter,2023-11-06,,1582.51,Monthly,,3,0.0,ACH,True
SUB-000150,SGN-003255,CUST-00144,Growth,2022-09-18,2023-10-28,10924.64,Monthly,Missing features,6,0.0,Credit Card,True
SUB-000151,SGN-003809,CUST-00145,Starter,2022-06-14,,11049.86,Annual,,6,0.05,Wire Transfer,True
SUB-000152,SGN-003441,CUST-00146,Professional,2022-01-08,,4612.07,Monthly,,3,0.0,Credit Card,False
SUB-000153,SGN-005931,CUST-00147,Growth,2024-04-14,,7164.54,Annual,,8,0.05,Wire Transfer,True
SUB-000154,SGN-002493,CUST-00148,Growth,2022-09-16,,4916.06,Monthly,,0,0.0,Credit Card,True
SUB-000155,SGN-003411,CUST-00149,Enterprise Plus,2022-03-24,,5443.61,Monthly,,0,0.15,Credit Card,True
SUB-000156,SGN-002391,CUST-00150,Professional,2023-12-25,,10831.69,Monthly,,3,0.15,Credit Card,True
SUB-000157,SGN-002576,CUST-00151,Enterprise,2023-05-14,,6586.4,Monthly,,4,0.0,Wire Transfer,True
SUB-000158,SGN-001262,CUST-00152,Professional,2023-10-20,,2769.42,Monthly,,2,0.0,Wire Transfer,True
SUB-000159,SGN-004027,CUST-00153,Growth,2022-05-13,,8096.42,Monthly,,8,0.1,Invoice,True
SUB-000160,SGN-004042,CUST-00154,Growth,2023-04-16,,6207.76,Monthly,,3,0.0,Wire Transfer,True
SUB-000161,SGN-005402,CUST-00155,Growth,2022-01-23,,3714.18,Annual,,4,0.0,ACH,True
SUB-000162,SGN-000757,CUST-00156,Growth,2023-08-12,,11715.14,Monthly,,1,0.1,Wire Transfer,False
SUB-000163,SGN-005685,CUST-00157,Professional,2023-04-13,,4747.54,Monthly,,8,0.1,Wire Transfer,True
SUB-000164,SGN-003163,CUST-00158,Starter,2023-03-19,,1672.7,Monthly,,4,0.15,Invoice,True
SUB-000165,SGN-002925,CUST-00159,Growth,2022-08-15,,6048.74,Monthly,,8,0.0,Wire Transfer,True
SUB-000166,SGN-001018,CUST-00160,Professional,2023-09-10,2023-12-03,6373.37,Annual,Support dissatisfaction,4,0.0,ACH,False
SUB-000167,SGN-003624,CUST-00161,Professional,2023-06-05,,2033.21,Monthly,,7,0.0,Wire Transfer,True
SUB-000168,SGN-003008,CUST-00162,Professional,2023-04-07,2023-05-24,1030.75,Monthly,Company acquired/merged,2,0.0,Invoice,True
SUB-000169,SGN-003009,CUST-00162,Starter,2023-10-14,,1835.58,Monthly,,7,0.05,Invoice,False
SUB-000170,SGN-003550,CUST-00163,Enterprise,2022-01-04,2022-07-29,10254.05,Monthly,Switched to competitor,9,0.0,Credit Card,True
SUB-000171,SGN-001584,CUST-00164,Professional,2023-10-13,,5299.17,Monthly,,1,0.0,ACH,True
SUB-000172,SGN-003086,CUST-00165,Growth,2023-05-23,2023-05-21,4319.03,Monthly,Company acquired/merged,1,0.0,ACH,True
SUB-000173,SGN-003087,CUST-00165,Growth,2023-12-11,,4632.69,Monthly,,0,0.1,Invoice,True
SUB-000174,SGN-002247,CUST-00166,Enterprise,2023-12-19,,4881.87,Annual,,5,0.0,ACH,False
SUB-000175,SGN-002407,CUST-00167,Enterprise,2023-06-17,,1069.77,Monthly,,7,0.1,Credit Card,True
SUB-000176,SGN-001650,CUST-00168,Professional,2023-11-03,,8353.03,Annual,,8,0.05,ACH,True
SUB-000177,SGN-001595,CUST-00169,Professional,2023-10-21,,3323.64,Annual,,2,0.0,ACH,True
SUB-000178,SGN-003031,CUST-00170,Growth,2023-02-10,,2155.74,Monthly,,6,0.05,Wire Transfer,True
SUB-000179,SGN-002290,CUST-00171,Starter,2023-12-24,,951.54,Monthly,,0,0.0,ACH,False
SUB-000180,SGN-004910,CUST-00172,Professional,2023-05-11,2023-02-06,7518.19,Monthly,Switched to competitor,6,0.15,Wire Transfer,True
SUB-000181,SGN-004911,CUST-00172,Starter,2023-08-28,,4267.94,Monthly,,5,0.1,Wire Transfer,True
SUB-000182,SGN-001344,CUST-00173,Starter,2023-10-15,,4162.51,Monthly,,9,0.05,Credit Card,False
SUB-000183,SGN-003294,CUST-00174,Starter,2022-06-14,,6664.44,Monthly,,1,0.0,Credit Card,True
SUB-000184,SGN-001875,CUST-00175,Professional,2023-11-10,,5387.05,Annual,,7,0.15,Invoice,True
SUB-000185,SGN-003113,CUST-00176,Growth,2023-04-12,2023-11-02,5329.59,Monthly,Low product usage,1,0.05,Credit Card,True
SUB-000186,SGN-003319,CUST-00177,Starter,2022-09-07,2022-12-12,2995.13,Monthly,Company acquired/merged,3,0.0,ACH,True
SUB-000187,SGN-003320,CUST-00177,Growth,2023-07-13,,3347.08,Monthly,,0,0.05,Credit Card,True
SUB-000188,SGN-002985,CUST-00178,Growth,2022-11-19,2023-03-28,4878.64,Annual,Company acquired/merged,2,0.0,Invoice,True
SUB-000189,SGN-003290,CUST-00179,Starter,2022-04-19,,7457.76,Monthly,,5,0.0,Wire Transfer,True
SUB-000190,SGN-004228,CUST-00180,Starter,2023-05-30,,9875.46,Annual,,6,0.0,Wire Transfer,True
SUB-000191,SGN-001403,CUST-00181,Starter,2023-10-22,,9681.01,Monthly,,2,0.0,Invoice,True
SUB-000192,SGN-000775,CUST-00182,Growth,2023-08-19,,10975.04,Annual,,6,0.1,Wire Transfer,True
SUB-000193,SGN-002991,CUST-00183,Growth,2022-01-06,2023-07-09,3712.64,Monthly,Company acquired/merged,9,0.05,ACH,True
SUB-000194,SGN-002992,CUST-00183,Professional,2023-08-20,,3757.99,Annual,,3,0.1,Invoice,True
SUB-000195,SGN-001498,CUST-00184,Growth,2023-10-24,,9523.14,Monthly,,0,0.0,Invoice,True
SUB-000196,SGN-003576,CUST-00185,Growth,2022-06-18,,7957.43,Annual,,5,0.05,ACH,True
SUB-000197,SGN-001246,CUST-00186,Enterprise,2023-10-31,,3128.63,Annual,,9,0.1,Invoice,True
SUB-000198,SGN-005933,CUST-00187,Professional,2024-03-23,,11944.64,Monthly,,6,0.15,Credit Card,True
SUB-000199,SGN-005593,CUST-00188,Enterprise,2022-01-29,,3422.8,Annual,,4,0.05,Invoice,False
SUB-000200,SGN-006269,CUST-00189,Growth,2024-05-21,,11425.63,Monthly,,9,0.0,Credit Card,True
SUB-000201,SGN-001846,CUST-00190,Professional,2023-11-30,,9066.3,Monthly,,2,0.1,ACH,True
SUB-000202,SGN-003323,CUST-00191,Enterprise Plus,2022-04-09,,6208.96,Monthly,,0,0.0,Credit Card,True
SUB-000203,SGN-005891,CUST-00192,Growth,2024-05-23,,2309.48,Monthly,,5,0.0,Invoice,True
SUB-000204,SGN-001696,CUST-00193,Professional,2023-11-28,,1271.43,Monthly,,4,0.1,ACH,True
SUB-000205,SGN-001987,CUST-00194,Starter,2023-11-07,,11263.51,Monthly,,7,0.1,Credit Card,True
SUB-000206,SGN-003527,CUST-00195,Growth,2022-01-16,,11326.41,Monthly,,7,0.05,Credit Card,True
SUB-000207,SGN-006289,CUST-00196,Growth,2024-01-15,,6297.06,Annual,,2,0.1,Credit Card,True
SUB-000208,SGN-000659,CUST-00197,Growth,2023-08-31,,6345.18,Monthly,,4,0.0,ACH,False
SUB-000209,SGN-000107,CUST-00198,Growth,2023-07-17,,6212.25,Monthly,,2,0.0,ACH,True
SUB-000210,SGN-004378,CUST-00199,Growth,2022-01-08,,6782.62,Annual,,2,0.0,Invoice,True
SUB-000211,SGN-003937,CUST-00200,Starter,2022-05-06,,10725.89,Monthly,,3,0.0,ACH,True
SUB-000212,SGN-001193,CUST-00201,Enterprise,2023-09-30,,5469.37,Annual,,4,0.0,Credit Card,True
SUB-000213,SGN-003952,CUST-00202,Professional,2023-06-03,,9338.39,Monthly,,5,0.0,Wire Transfer,True
SUB-000214,SGN-001910,CUST-00203,Enterprise,2023-11-06,2024-01-27,274.42,Monthly,Low product usage,6,0.05,Credit Card,True
SUB-000215,SGN-003186,CUST-00204,Growth,2022-12-20,,1257.42,Annual,,2,0.0,ACH,True
SUB-000216,SGN-005514,CUST-00205,Growth,2023-06-29,,9853.2,Monthly,,6,0.1,ACH,True
SUB-000217,SGN-003988,CUST-00206,Professional,2022-06-22,,1603.48,Monthly,,3,0.05,Invoice,True
SUB-000218,SGN-005821,CUST-00207,Starter,2024-04-19,,7507.41,Annual,,2,0.0,Wire Transfer,True
SUB-000219,SGN-000155,CUST-00208,Starter,2023-07-10,,11828.69,Monthly,,9,0.1,ACH,True
SUB-000220,SGN-001072,CUST-00209,Enterprise Plus,2023-09-30,,3917.36,Monthly,,8,0.0,Credit Card,True
SUB-000221,SGN-005170,CUST-00210,Growth,2023-02-18,,2741.25,Monthly,,7,0.05,Wire Transfer,True
SUB-000222,SGN-003812,CUST-00211,Professional,2022-10-04,2023-08-25,2060.2,Monthly,Company acquired/merged,2,0.0,ACH,True
SUB-000223,SGN-003813,CUST-00211,Professional,2023-12-09,,200.3,Annual,,4,0.1,Invoice,True
SUB-000224,SGN-000841,CUST-00212,Growth,2023-09-13,,11649.54,Annual,,7,0.0,Invoice,True
SUB-000225,SGN-003455,CUST-00213,Professional,2022-03-07,2023-03-04,7091.17,Annual,Support dissatisfaction,5,0.0,Invoice,True
SUB-000226,SGN-002811,CUST-00214,Growth,2022-01-13,,10529.45,Monthly,,9,0.15,Wire Transfer,True
SUB-000227,SGN-005944,CUST-00215,Starter,2024-06-23,,1717.57,Annual,,4,0.0,ACH,True
SUB-000228,SGN-005598,CUST-00216,Starter,2022-12-10,,7021.64,Annual,,8,0.0,Wire Transfer,False
SUB-000229,SGN-003403,CUST-00217,Enterprise,2023-01-11,,8649.5,Monthly,,8,0.0,ACH,True
SUB-000230,SGN-005729,CUST-00218,Enterprise,2022-05-17,2023-11-25,6217.76,Monthly,Low product usage,5,0.0,ACH,True
SUB-000231,SGN-003275,CUST-00219,Growth,2023-06-11,,1381.03,Annual,,7,0.0,Credit Card,True
SUB-000232,SGN-003845,CUST-00220,Growth,2022-03-21,2022-08-17,4265.68,Monthly,Switched to competitor,2,0.15,Wire Transfer,True
