log_id,customer_id,event_date,event_time,created_at,event_type,event_category,feature_area,device_type,browser,session_duration_seconds,ip_country,event_source
LOG-0000040,CUST-04887,2023-12-30,12:07:28,2023-12-31,file_upload,user_action,Admin Settings,Tablet,Edge,1043,Singapore,web
LOG-0000041,CUST-04887,2023-08-01,06:23:05,2023-08-04,feature_use,user_action,Collaboration,Mobile,Chrome,1236,United States,mobile_app
LOG-0000042,CUST-04676,2023-10-15,04:10:58,2023-11-04,login,user_action,Data Import,Mobile,Chrome,1885,United States,mobile_app
LOG-0000043,CUST-04676,2024-04-08,08:25:30,2024-04-11,report_export,user_action,Reporting,Mobile,Edge,922,United Kingdom,web
LOG-0000044,CUST-04676,2023-12-13,02:03:47,2023-12-16,report_export,user_action,Dashboard,Desktop,Edge,984,United Kingdom,mobile_app
LOG-0000045,CUST-04676,2024-06-07,20:39:12,2024-06-07,integration_health_check,system_generated,Billing,Server,,0,Germany,web
LOG-0000046,CUST-04676,2023-12-14,10:57:49,2023-12-16,account_provisioning_sync,system_generated,Billing,Server,,0,Germany,web
LOG-0000047,CUST-04676,2024-03-31,19:58:17,2024-04-01,dashboard_view,user_action,Dashboard,Desktop,Edge,568,Singapore,web
LOG-0000048,CUST-04676,2023-07-27,09:20:18,2023-07-28,feature_use,user_action,Admin Settings,Desktop,Chrome,3322,United States,api
LOG-0000049,CUST-04676,2023-09-24,10:46:30,2023-09-25,account_provisioning_sync,system_generated,Billing,Server,,0,Australia,web
LOG-0000050,CUST-04676,2023-07-18,16:46:36,2023-07-20,report_export,user_action,Reporting,Desktop,Safari,2741,United States,web
LOG-0000051,CUST-04676,2024-02-24,02:19:42,2024-02-24,integration_health_check,system_generated,Platform,Server,,0,United Kingdom,mobile_app
LOG-0000052,CUST-04676,2023-09-28,19:02:32,2023-10-01,api_call,user_action,Dashboard,Mobile,Edge,2504,Brazil,mobile_app
LOG-0000053,CUST-04676,2023-09-06,20:50:26,2023-09-07,report_export,user_action,Admin Settings,Desktop,Safari,3530,Canada,web
LOG-0000054,CUST-04676,2024-05-14,08:18:36,2024-05-14,scheduled_report_sync,system_generated,Platform,Server,,0,United Kingdom,partner_integration
LOG-0000055,CUST-04676,2024-04-07,01:00:04,2024-04-10,feature_use,user_action,Integrations,Mobile,Chrome,2725,United Kingdom,web
LOG-0000056,CUST-04676,2023-08-01,08:36:31,2023-08-03,account_provisioning_sync,system_generated,Billing,Server,,0,Australia,web
LOG-0000057,CUST-01251,2023-10-28,04:28:48,2023-10-28,report_export,user_action,Admin Settings,Desktop,Chrome,608,Canada,web
LOG-0000058,CUST-01251,2023-10-04,19:37:22,2023-10-07,login,user_action,Billing,Desktop,Safari,1516,India,mobile_app
LOG-0000059,CUST-01251,2023-12-03,19:19:37,2023-12-04,account_provisioning_sync,system_generated,Billing,Server,,0,Canada,web
LOG-0000060,CUST-01251,2024-01-07,19:27:05,2024-01-09,feature_use,user_action,Billing,Mobile,Chrome,1228,Australia,web
LOG-0000061,CUST-01251,2024-06-07,10:33:28,2024-06-08,dashboard_view,user_action,Data Import,Desktop,Chrome,803,India,web
LOG-0000062,CUST-01251,2024-06-25,15:51:47,2024-06-27,login,user_action,API,Desktop,Firefox,959,United States,web
LOG-0000063,CUST-01251,2023-08-30,21:29:27,2023-09-02,integration_health_check,system_generated,Integrations,Server,,0,United States,web
LOG-0000064,CUST-01251,2023-08-13,14:21:07,2023-08-14,login,user_action,Billing,Mobile,Edge,3598,India,mobile_app
LOG-0000065,CUST-01251,2024-06-09,14:37:00,2024-06-09,file_upload,user_action,Data Import,Desktop,Chrome,217,Brazil,mobile_app
LOG-0000066,CUST-01251,2024-01-11,05:32:52,2024-01-11,report_export,user_action,Collaboration,Mobile,Edge,3055,United States,web
LOG-0000067,CUST-01251,2024-02-29,14:38:35,2024-03-01,admin_action,user_action,Reporting,Mobile,Edge,2105,United Kingdom,web
LOG-0000068,CUST-01251,2023-11-13,08:30:06,2023-11-16,account_provisioning_sync,system_generated,Integrations,Server,,0,Singapore,web
LOG-0000069,CUST-01251,2024-06-15,06:27:28,2024-06-18,account_provisioning_sync,system_generated,Billing,Server,,0,United States,mobile_app
LOG-0000070,CUST-01251,2024-02-28,23:49:46,2024-02-29,scheduled_report_sync,system_generated,Integrations,Server,,0,Canada,web
LOG-0000071,CUST-01251,2023-11-01,09:31:08,2023-11-01,admin_action,user_action,Billing,Mobile,Safari,241,Canada,web
LOG-0000072,CUST-01251,2023-12-08,05:14:44,2023-12-08,file_upload,user_action,Admin Settings,Desktop,Edge,1183,Germany,mobile_app
LOG-0000073,CUST-01251,2024-01-09,02:01:49,2024-01-09,login,user_action,Billing,Desktop,Chrome,321,Canada,web
LOG-0000074,CUST-01251,2023-09-29,19:29:12,2023-10-02,feature_use,user_action,Integrations,Desktop,Safari,1611,Germany,web
LOG-0000075,CUST-01251,2023-09-18,10:57:36,2023-09-18,api_call,user_action,API,Tablet,Chrome,3278,Germany,mobile_app
LOG-0000076,CUST-01251,2023-08-23,17:50:27,2023-08-24,dashboard_view,user_action,API,Desktop,Edge,3341,United Kingdom,web
LOG-0000077,CUST-04607,2023-10-18,18:22:55,2023-11-07,api_call,user_action,Dashboard,Mobile,Safari,1043,India,mobile_app
LOG-0000078,CUST-04607,2023-11-26,06:51:44,2023-11-27,login,user_action,Admin Settings,Mobile,Chrome,822,Canada,api
LOG-0000079,CUST-04607,2023-07-28,22:34:05,2023-07-28,login,user_action,Data Import,Mobile,Firefox,625,Brazil,web
LOG-0000080,CUST-04607,2023-08-08,13:09:24,2023-08-11,admin_action,user_action,Data Import,Mobile,Edge,20,Germany,mobile_app
LOG-0000081,CUST-04607,2024-03-25,20:35:25,2024-03-27,scheduled_report_sync,system_generated,Billing,Server,,0,Brazil,web
LOG-0000082,CUST-04607,2024-01-16,14:50:38,2024-01-16,integration_health_check,system_generated,Integrations,Server,,0,India,api
LOG-0000083,CUST-04607,2024-04-06,20:35:16,2024-04-09,admin_action,user_action,Dashboard,Desktop,Edge,2027,Australia,mobile_app
LOG-0000084,CUST-04607,2024-02-29,07:54:42,2024-02-29,api_call,user_action,Reporting,Desktop,Chrome,3564,Brazil,web
LOG-0000085,CUST-04607,2024-05-21,01:45:08,2024-05-21,feature_use,user_action,Billing,Desktop,Chrome,476,Singapore,web
LOG-0000086,CUST-04607,2023-12-28,11:59:03,2023-12-28,report_export,user_action,Collaboration,Desktop,Edge,75,United Kingdom,mobile_app
LOG-0000087,CUST-04607,2024-06-14,15:05:44,2024-06-14,webhook_delivery,system_generated,Billing,Server,,0,Singapore,web
LOG-0000088,CUST-04607,2023-09-30,05:57:12,2023-10-02,login,user_action,Integrations,Desktop,Safari,2654,United Kingdom,mobile_app
LOG-0000089,CUST-04607,2024-05-01,00:19:55,2024-05-02,integration_health_check,system_generated,Integrations,Server,,0,Brazil,mobile_app
LOG-0000090,CUST-04607,2023-11-03,11:03:00,2023-11-05,account_provisioning_sync,system_generated,Platform,Server,,0,Singapore,mobile_app
LOG-0000091,CUST-04607,2024-04-08,14:59:47,2024-04-10,login,user_action,Collaboration,Mobile,Edge,3500,United States,mobile_app
LOG-0000092,CUST-05652,2023-10-26,16:35:57,2023-10-27,scheduled_report_sync,system_generated,Platform,Server,,0,United States,mobile_app
LOG-0000093,CUST-05652,2023-09-28,19:38:49,2023-09-30,file_upload,user_action,Reporting,Desktop,Edge,3397,United States,web
LOG-0000094,CUST-05652,2024-02-04,21:12:14,2024-02-04,account_provisioning_sync,system_generated,Platform,Server,,0,Australia,web
LOG-0000095,CUST-05652,2024-05-19,01:37:47,2024-05-22,api_call,user_action,Dashboard,Mobile,Edge,1530,Brazil,web
LOG-0000096,CUST-05652,2023-08-21,18:46:33,2023-08-24,admin_action,user_action,Billing,Mobile,Edge,987,Brazil,mobile_app
LOG-0000097,CUST-05652,2023-08-17,02:27:33,2023-08-18,scheduled_report_sync,system_generated,Integrations,Server,,0,Australia,web
LOG-0000098,CUST-05652,2024-03-08,01:59:10,2024-03-11,admin_action,user_action,Admin Settings,Mobile,Edge,2807,Singapore,web
LOG-0000099,CUST-05652,2024-05-27,05:05:20,2024-05-29,login,user_action,API,Desktop,Chrome,2325,Brazil,web
LOG-0000100,CUST-05652,2024-04-06,17:38:36,2024-04-08,account_provisioning_sync,system_generated,Integrations,Server,,0,Brazil,mobile_app
LOG-0000101,CUST-05652,2024-03-04,19:06:20,2024-03-06,file_upload,user_action,Admin Settings,Desktop,Chrome,1799,Canada,mobile_app
LOG-0000102,CUST-05652,2023-12-11,20:36:44,2023-12-14,integration_health_check,system_generated,Platform,Server,,0,Brazil,api
LOG-0000103,CUST-05652,2023-08-04,20:09:51,2023-08-07,webhook_delivery,system_generated,Integrations,Server,,0,Canada,mobile_app
LOG-0000104,CUST-05652,2024-04-21,17:51:01,2024-04-24,dashboard_view,user_action,Reporting,Mobile,Chrome,760,Singapore,api
LOG-0000105,CUST-05652,2024-02-27,05:50:38,2024-02-29,scheduled_report_sync,system_generated,Billing,Server,,0,Germany,web
LOG-0000106,CUST-05652,2023-11-09,10:56:01,2023-11-09,report_export,user_action,Billing,Mobile,Chrome,915,Singapore,web
LOG-0000107,CUST-05652,2024-06-24,07:16:19,2024-06-24,integration_health_check,system_generated,Platform,Server,,0,Australia,web
LOG-0000108,CUST-05652,2024-03-05,02:25:00,2024-03-05,webhook_delivery,system_generated,Platform,Server,,0,Brazil,mobile_app
LOG-0000109,CUST-05652,2023-11-22,10:13:23,2023-11-22,auto_data_backup,system_generated,Integrations,Server,,0,Brazil,api
LOG-0000110,CUST-05652,2024-06-06,11:43:42,2024-06-08,admin_action,user_action,Dashboard,Desktop,Chrome,204,Germany,web
LOG-0000111,CUST-05652,2024-06-07,12:28:13,2024-06-08,report_export,user_action,Integrations,Mobile,Safari,3146,Canada,web
LOG-0000112,CUST-05652,2023-09-15,18:14:29,2023-09-16,report_export,user_action,Collaboration,Tablet,Firefox,3342,United Kingdom,mobile_app
LOG-0000113,CUST-05652,2024-06-03,20:52:41,2024-06-06,report_export,user_action,Collaboration,Desktop,Safari,1467,Canada,mobile_app
LOG-0000114,CUST-00758,2023-10-07,20:12:17,2023-10-07,report_export,user_action,Admin Settings,Mobile,Firefox,2808,United States,mobile_app
LOG-0000115,CUST-00758,2023-10-13,11:38:33,2023-10-14,feature_use,user_action,Data Import,Mobile,Chrome,2553,United States,mobile_app
LOG-0000116,CUST-00758,2024-06-19,08:52:30,2024-06-22,integration_health_check,system_generated,Billing,Server,,0,Singapore,web
LOG-0000117,CUST-00758,2024-03-26,18:05:32,2024-03-28,dashboard_view,user_action,Collaboration,Desktop,Safari,2941,United Kingdom,web
LOG-0000118,CUST-00758,2024-01-30,16:16:31,2024-01-30,api_call,user_action,Reporting,Mobile,Chrome,286,United Kingdom,api
LOG-0000119,CUST-00758,2024-03-24,13:33:10,2024-03-26,admin_action,user_action,Admin Settings,Desktop,Edge,1958,Australia,web
LOG-0000120,CUST-00758,2024-01-17,03:04:28,2024-01-17,report_export,user_action,API,Mobile,Chrome,964,Canada,web
LOG-0000121,CUST-00758,2024-06-24,05:04:06,2024-06-24,feature_use,user_action,Dashboard,Desktop,Firefox,1154,India,web
LOG-0000122,CUST-00758,2024-03-28,13:53:07,2024-03-29,dashboard_view,user_action,Billing,Mobile,Chrome,1478,United Kingdom,web
LOG-0000123,CUST-00758,2024-01-27,03:55:27,2024-01-29,scheduled_report_sync,system_generated,Billing,Server,,0,Canada,mobile_app
LOG-0000124,CUST-00758,2024-04-04,02:47:36,2024-04-07,integration_health_check,system_generated,Platform,Server,,0,Germany,web
LOG-0000125,CUST-00758,2023-07-16,20:25:09,2023-07-16,file_upload,user_action,API,Tablet,Safari,3327,India,web
LOG-0000126,CUST-00758,2024-02-15,20:07:18,2024-02-15,dashboard_view,user_action,Billing,Mobile,Safari,2031,United Kingdom,mobile_app
LOG-0000127,CUST-00758,2024-04-26,10:59:24,2024-04-28,feature_use,user_action,Data Import,Tablet,Chrome,1636,United Kingdom,web
LOG-0000128,CUST-00758,2023-08-19,22:56:08,2023-08-20,feature_use,user_action,Dashboard,Desktop,Firefox,58,Germany,api
LOG-0000129,CUST-00758,2024-01-01,19:44:49,2024-01-03,api_call,user_action,Billing,Desktop,Firefox,2614,Germany,web
LOG-0000130,CUST-00758,2023-09-24,00:07:49,2023-09-25,feature_use,user_action,Dashboard,Desktop,Firefox,1847,India,partner_integration
LOG-0000131,CUST-00752,2024-06-27,18:25:42,2024-06-28,api_call,user_action,Dashboard,Mobile,Safari,2456,United States,mobile_app
LOG-0000132,CUST-00752,2024-03-08,07:17:32,2024-03-11,login,user_action,Admin Settings,Mobile,Edge,1835,Brazil,web
LOG-0000133,CUST-00752,2023-12-25,12:25:10,2023-12-25,admin_action,user_action,Reporting,Mobile,Firefox,1722,India,web
LOG-0000134,CUST-00752,2023-11-02,17:19:58,2023-11-04,dashboard_view,user_action,Admin Settings,Desktop,Chrome,2808,Germany,mobile_app
LOG-0000135,CUST-00752,2023-07-30,12:36:45,2023-08-01,login,user_action,Dashboard,Mobile,Edge,2626,United States,partner_integration
LOG-0000136,CUST-00752,2024-04-26,11:31:04,2024-04-27,api_call,user_action,Collaboration,Desktop,Safari,2643,Canada,web
LOG-0000137,CUST-00752,2024-01-25,15:09:03,2024-01-26,integration_health_check,system_generated,Platform,Server,,0,United Kingdom,web
LOG-0000138,CUST-00752,2024-01-16,22:43:59,2024-01-17,admin_action,user_action,API,Mobile,Edge,1029,Germany,mobile_app
LOG-0000139,CUST-00752,2023-09-08,01:05:29,2023-09-10,scheduled_report_sync,system_generated,Platform,Server,,0,United Kingdom,web
LOG-0000140,CUST-00752,2024-01-20,19:35:30,2024-01-22,admin_action,user_action,Billing,Desktop,Safari,2099,Singapore,web
LOG-0000141,CUST-00752,2023-08-17,11:05:37,2023-08-18,account_provisioning_sync,system_generated,Platform,Server,,0,Australia,mobile_app
LOG-0000142,CUST-00752,2024-01-09,02:12:33,2024-01-11,login,user_action,Integrations,Desktop,Chrome,996,Australia,mobile_app
LOG-0000143,CUST-01519,2023-10-04,10:26:47,2023-10-05,report_export,user_action,Collaboration,Desktop,Edge,2626,Canada,web
LOG-0000144,CUST-01519,2023-10-27,18:49:12,2023-10-29,login,user_action,Billing,Mobile,Safari,2452,Australia,mobile_app
LOG-0000145,CUST-01519,2023-10-22,03:15:00,2023-10-25,admin_action,user_action,Admin Settings,Mobile,Safari,2313,United Kingdom,web
LOG-0000146,CUST-01519,2023-10-08,14:51:56,2023-10-09,feature_use,user_action,Reporting,Desktop,Chrome,1657,India,web
LOG-0000147,CUST-01519,2024-04-26,12:23:49,2024-04-29,admin_action,user_action,Data Import,Mobile,Firefox,1819,India,mobile_app
LOG-0000148,CUST-01519,2023-08-30,14:07:16,2023-09-01,admin_action,user_action,Collaboration,Desktop,Edge,2702,Brazil,web
LOG-0000149,CUST-01519,2024-03-28,04:28:45,2024-03-28,dashboard_view,user_action,Data Import,Tablet,Chrome,646,Singapore,web
LOG-0000150,CUST-01519,2023-11-21,01:11:16,2023-11-24,api_call,user_action,Dashboard,Mobile,Edge,3142,Singapore,mobile_app
LOG-0000151,CUST-01519,2024-03-27,14:08:06,2024-03-30,webhook_delivery,system_generated,Billing,Server,,0,Australia,web
LOG-0000152,CUST-01519,2023-09-02,16:57:30,2023-09-05,file_upload,user_action,Dashboard,Desktop,Edge,1260,Canada,partner_integration
LOG-0000153,CUST-01519,2023-11-25,11:48:30,2023-11-25,integration_health_check,system_generated,Billing,Server,,0,United Kingdom,web
LOG-0000154,CUST-01519,2024-01-29,08:31:08,2024-01-29,report_export,user_action,Collaboration,Desktop,Safari,374,United Kingdom,mobile_app
LOG-0000155,CUST-01519,2024-05-10,23:16:06,2024-05-12,feature_use,user_action,Admin Settings,Mobile,Firefox,493,India,web
LOG-0000156,CUST-01519,2024-05-18,18:57:33,2024-05-21,account_provisioning_sync,system_generated,Billing,Server,,0,United Kingdom,web
LOG-0000157,CUST-01519,2024-05-03,22:17:14,2024-05-03,webhook_delivery,system_generated,Platform,Server,,0,Canada,web
LOG-0000158,CUST-01519,2023-09-10,03:39:38,2023-09-10,auto_data_backup,system_generated,Integrations,Server,,0,Australia,api
LOG-0000159,CUST-01519,2024-01-27,10:39:31,2024-01-29,report_export,user_action,Collaboration,Mobile,Edge,426,Germany,partner_integration
LOG-0000160,CUST-01519,2024-02-09,07:08:52,2024-02-10,file_upload,user_action,Data Import,Desktop,Firefox,3016,Germany,web
LOG-0000161,CUST-01519,2024-02-19,10:42:15,2024-02-22,dashboard_view,user_action,Integrations,Mobile,Safari,3031,United Kingdom,mobile_app
LOG-0000162,CUST-01519,2023-08-16,13:16:23,2023-08-16,webhook_delivery,system_generated,Integrations,Server,,0,Australia,mobile_app
LOG-0000163,CUST-01519,2023-11-13,22:31:07,2023-11-16,feature_use,user_action,Data Import,Desktop,Chrome,2670,India,mobile_app
LOG-0000164,CUST-03313,2023-10-01,10:35:45,2023-10-03,report_export,user_action,API,Desktop,Safari,3596,United Kingdom,web
LOG-0000165,CUST-03313,2023-10-26,17:54:48,2023-10-26,report_export,user_action,Billing,Desktop,Chrome,627,United Kingdom,mobile_app
LOG-0000166,CUST-03313,2023-10-31,04:34:11,2023-11-01,api_call,user_action,Dashboard,Mobile,Firefox,1072,Canada,web
LOG-0000167,CUST-03313,2023-10-15,12:32:15,2023-10-16,api_call,user_action,Dashboard,Desktop,Firefox,244,United States,mobile_app
LOG-0000168,CUST-03313,2023-10-28,07:15:04,2023-10-30,api_call,user_action,Data Import,Mobile,Chrome,2074,United States,mobile_app
LOG-0000169,CUST-03313,2023-11-03,03:22:25,2023-11-04,login,user_action,Admin Settings,Mobile,Safari,3229,Singapore,mobile_app
LOG-0000170,CUST-03313,2023-07-27,09:09:29,2023-07-27,api_call,user_action,Data Import,Mobile,Safari,1761,India,web
LOG-0000171,CUST-03313,2024-06-21,13:21:20,2024-06-22,admin_action,user_action,API,Desktop,Firefox,1335,Brazil,api
LOG-0000172,CUST-03313,2023-08-26,05:24:02,2023-08-27,dashboard_view,user_action,Collaboration,Tablet,Firefox,1685,Brazil,api
LOG-0000173,CUST-03313,2024-03-22,19:44:32,2024-03-24,report_export,user_action,Collaboration,Desktop,Safari,2593,Canada,mobile_app
LOG-0000174,CUST-03313,2023-09-30,09:02:26,2023-09-30,file_upload,user_action,API,Desktop,Firefox,678,Singapore,web
LOG-0000175,CUST-03313,2023-09-16,08:20:03,2023-09-18,file_upload,user_action,Dashboard,Desktop,Firefox,1693,United States,api
LOG-0000176,CUST-03313,2024-05-15,11:41:01,2024-05-15,file_upload,user_action,Reporting,Desktop,Edge,1169,Germany,web
LOG-0000177,CUST-03313,2023-07-12,18:19:42,2023-07-14,login,user_action,Reporting,Mobile,Firefox,766,Canada,partner_integration
LOG-0000178,CUST-03313,2023-08-11,05:52:08,2023-08-14,scheduled_report_sync,system_generated,Integrations,Server,,0,Brazil,mobile_app
LOG-0000179,CUST-03313,2023-11-10,12:29:55,2023-11-13,integration_health_check,system_generated,Billing,Server,,0,Singapore,mobile_app
LOG-0000180,CUST-03313,2024-03-16,09:04:08,2024-03-19,admin_action,user_action,API,Desktop,Chrome,356,United States,mobile_app
LOG-0000181,CUST-03313,2023-08-12,23:06:41,2023-08-13,scheduled_report_sync,system_generated,Integrations,Server,,0,India,mobile_app
LOG-0000182,CUST-03313,2024-03-15,14:37:22,2024-03-16,admin_action,user_action,API,Desktop,Chrome,3196,Germany,mobile_app
LOG-0000183,CUST-03313,2024-04-29,12:40:59,2024-05-01,api_call,user_action,Admin Settings,Desktop,Edge,2998,India,partner_integration
LOG-0000184,CUST-03313,2024-05-04,09:23:30,2024-05-06,admin_action,user_action,Collaboration,Desktop,Safari,2931,Germany,api
LOG-0000185,CUST-03313,2024-04-25,05:20:26,2024-04-25,login,user_action,Reporting,Tablet,Chrome,2270,Canada,web
LOG-0000186,CUST-03313,2024-04-08,12:48:54,2024-04-10,dashboard_view,user_action,Integrations,Mobile,Chrome,1098,Singapore,web
LOG-0000187,CUST-03075,2023-10-08,22:31:14,2023-10-08,webhook_delivery,system_generated,Integrations,Server,,0,United Kingdom,web
LOG-0000188,CUST-03075,2023-10-17,04:57:08,2023-10-17,integration_health_check,system_generated,Billing,Server,,0,United Kingdom,web
LOG-0000189,CUST-03075,2023-10-01,23:10:43,2023-10-04,webhook_delivery,system_generated,Integrations,Server,,0,Australia,web
LOG-0000190,CUST-03075,2024-01-14,00:23:36,2024-01-14,account_provisioning_sync,system_generated,Integrations,Server,,0,Australia,mobile_app
LOG-0000191,CUST-03075,2023-08-05,07:03:51,2023-08-08,feature_use,user_action,Admin Settings,Mobile,Firefox,2304,Brazil,web
LOG-0000192,CUST-03075,2023-07-29,18:34:37,2023-08-01,dashboard_view,user_action,Data Import,Desktop,Firefox,1093,Brazil,web
LOG-0000193,CUST-03075,2024-06-06,03:23:59,2024-06-09,scheduled_report_sync,system_generated,Billing,Server,,0,United Kingdom,web
LOG-0000194,CUST-03075,2023-08-05,15:12:56,2023-08-05,file_upload,user_action,Reporting,Desktop,Safari,1396,Canada,web
LOG-0000195,CUST-03075,2023-09-26,00:25:36,2023-09-26,account_provisioning_sync,system_generated,Platform,Server,,0,Australia,web
LOG-0000196,CUST-03075,2024-02-19,18:42:34,2024-02-21,scheduled_report_sync,system_generated,Platform,Server,,0,Germany,web
LOG-0000197,CUST-03075,2023-09-02,23:34:00,2023-09-03,webhook_delivery,system_generated,Platform,Server,,0,Australia,web
LOG-0000198,CUST-03075,2024-01-17,03:48:49,2024-01-20,dashboard_view,user_action,Dashboard,Mobile,Firefox,458,Canada,web
LOG-0000199,CUST-03075,2023-12-24,17:58:51,2023-12-25,account_provisioning_sync,system_generated,Platform,Server,,0,Canada,mobile_app
LOG-0000200,CUST-03075,2024-05-29,23:23:50,2024-05-29,file_upload,user_action,Data Import,Desktop,Safari,284,Australia,web
LOG-0000201,CUST-03075,2023-09-23,03:21:17,2023-09-25,auto_data_backup,system_generated,Platform,Server,,0,India,mobile_app
LOG-0000202,CUST-03075,2023-09-30,05:04:11,2023-10-02,integration_health_check,system_generated,Integrations,Server,,0,India,mobile_app
LOG-0000203,CUST-03075,2024-01-10,19:45:34,2024-01-10,feature_use,user_action,Reporting,Desktop,Edge,999,Germany,mobile_app
LOG-0000204,CUST-03075,2023-08-27,15:04:05,2023-08-28,account_provisioning_sync,system_generated,Platform,Server,,0,Brazil,api
