signup_id,customer_id,signup_date,signup_status,channel,plan_id,initial_seats,promo_code,sales_rep,campaign_code,is_self_serve,trial_length_days,signup_source_system,created_at
SGN-000027,CUST-00631,2023-07-09,Confirmed,Partner Referral,Starter,242,,,,False,14,CRM-Salesforce,2023-07-09
SGN-000028,CUST-01056,2023-07-11,Confirmed,Self-Serve Trial,Starter,241,,,CMP-0332,False,0,Manual-Import,2023-07-11
SGN-000029,CUST-02917,2023-07-28,Confirmed,Direct Sales,Starter,193,,,,False,30,CRM-Salesforce,2023-07-29
SGN-000030,CUST-01050,2023-07-29,Confirmed,Organic Web,Enterprise,9,PARTNER20,REP-026,,True,14,Manual-Import,2023-07-30
SGN-000031,CUST-01803,2023-07-12,Confirmed,Event/Conference,Starter,185,,REP-043,,True,14,Manual-Import,2023-07-12
SGN-000032,CUST-02508,2023-07-13,Confirmed,Organic Web,Starter,105,,REP-024,CMP-0311,True,14,CRM-Salesforce,2023-07-14
SGN-000033,CUST-00380,2023-07-31,Confirmed,Self-Serve Trial,Enterprise,8,PARTNER20,,,True,0,CRM-Salesforce,2023-08-01
SGN-000034,CUST-05165,2023-07-11,Confirmed,Paid Ads,Enterprise,187,WELCOME10,REP-008,CMP-0382,True,0,Manual-Import,2023-07-12
SGN-000035,CUST-04190,2023-07-18,Confirmed,Direct Sales,Growth,37,PARTNER20,,,False,0,CRM-Salesforce,2023-07-18
SGN-000036,CUST-00958,2023-06-30,Superseded,Direct Sales,Professional,147,,REP-041,,False,14,CRM-Salesforce,2023-07-01
SGN-000036,CUST-00958,2023-07-05,Confirmed,Event/Conference,Starter,147,,REP-041,,False,14,CRM-Salesforce,2023-07-05
SGN-000037,CUST-02059,2023-07-28,Confirmed,Organic Web,Enterprise,184,,,,True,30,Manual-Import,2023-07-28
SGN-000038,CUST-01746,2023-07-06,Confirmed,Direct Sales,Enterprise,57,,,,False,14,CRM-Salesforce,2023-07-06
SGN-000039,CUST-02290,2023-07-10,Confirmed,Self-Serve Trial,Starter,218,,,,True,14,CRM-HubSpot,2023-07-10
SGN-000040,CUST-00022,2023-07-21,Confirmed,Paid Ads,Growth,111,,REP-043,,True,30,CRM-HubSpot,2023-07-22
SGN-000041,CUST-05095,2023-07-27,Confirmed,Direct Sales,Growth,148,,,,True,0,Manual-Import,2023-07-27
SGN-000042,CUST-04056,2023-07-18,Confirmed,Event/Conference,Starter,200,,,,True,14,CRM-Salesforce,2023-07-18
SGN-000043,CUST-05052,2023-07-27,Confirmed,Partner Referral,Starter,147,,REP-004,CMP-0369,False,14,CRM-Salesforce,2023-07-27
SGN-000044,CUST-03337,2023-07-18,Confirmed,Paid Ads,Starter,1,,REP-018,,True,0,CRM-HubSpot,2023-07-19
SGN-000045,CUST-03088,2023-07-15,Confirmed,Paid Ads,Starter,237,,,,True,0,Manual-Import,2023-07-16
SGN-000046,CUST-01828,2023-07-05,Confirmed,Event/Conference,Starter,191,PARTNER20,,,False,0,Manual-Import,2023-07-05
SGN-000047,CUST-02493,2023-07-12,Confirmed,Event/Conference,Professional,151,,,CMP-0167,False,30,CRM-HubSpot,2023-07-13
SGN-000048,CUST-04038,2023-07-04,Confirmed,Event/Conference,Enterprise,209,,,,True,0,CRM-HubSpot,2023-07-05
SGN-000049,CUST-00017,2023-07-09,Confirmed,Direct Sales,Growth,205,,REP-051,,False,14,CRM-Salesforce,2023-07-10
SGN-000050,CUST-01717,2023-07-14,Confirmed,Partner Referral,Growth,26,PARTNER20,REP-058,,False,30,CRM-HubSpot,2023-07-14
SGN-000051,CUST-00031,2023-07-30,Confirmed,Paid Ads,Growth,238,,,,True,30,CRM-HubSpot,2023-07-30
SGN-000052,CUST-01001,2023-07-30,Confirmed,Self-Serve Trial,Starter,156,,REP-050,CMP-0162,False,30,CRM-Salesforce,2023-07-30
SGN-000053,CUST-05960,2023-07-18,Confirmed,Self-Serve Trial,Starter,188,,REP-059,,False,0,CRM-Salesforce,2023-07-18
SGN-000054,CUST-04724,2023-07-14,Confirmed,Direct Sales,Professional,25,,REP-053,CMP-0174,True,14,CRM-Salesforce,2023-07-14
SGN-000055,CUST-04622,2023-07-11,Confirmed,Organic Web,Growth,206,,REP-046,,False,30,Manual-Import,2023-07-11
SGN-000056,CUST-01175,2023-07-29,Confirmed,Partner Referral,Enterprise,199,,,CMP-0241,False,30,CRM-Salesforce,2023-07-29
SGN-000057,CUST-02374,2023-07-12,Confirmed,Paid Ads,Starter,97,WELCOME10,REP-039,,True,14,CRM-Salesforce,2023-07-13
SGN-000058,CUST-00644,2023-07-30,Confirmed,Self-Serve Trial,Growth,242,,,,False,14,CRM-HubSpot,2023-07-31
SGN-000059,CUST-03252,2023-07-15,Confirmed,Partner Referral,Growth,202,,REP-036,CMP-0234,True,30,CRM-HubSpot,2023-07-15
SGN-000060,CUST-05332,2023-07-04,Confirmed,Partner Referral,Growth,69,,,,True,14,CRM-HubSpot,2023-07-05
SGN-000061,CUST-05778,2023-07-13,Confirmed,Paid Ads,Starter,246,WELCOME10,,,False,14,CRM-Salesforce,2023-07-13
SGN-000062,CUST-05267,2023-07-29,Confirmed,Event/Conference,Starter,28,WELCOME10,,CMP-0120,True,14,CRM-Salesforce,2023-07-30
SGN-000063,CUST-05192,2023-07-13,Confirmed,Event/Conference,Enterprise Plus,140,,REP-025,,True,30,CRM-HubSpot,2023-07-13
SGN-000064,CUST-03732,2023-07-23,Confirmed,Organic Web,Starter,16,,REP-037,CMP-0086,True,14,CRM-Salesforce,2023-07-23
SGN-000065,CUST-04872,2023-07-31,Confirmed,Partner Referral,Professional,56,,REP-018,CMP-0147,True,0,CRM-Salesforce,2023-08-01
SGN-000066,CUST-05872,2023-07-03,Confirmed,Self-Serve Trial,Growth,153,,REP-027,,False,0,CRM-Salesforce,2023-07-03
SGN-000067,CUST-04533,2023-07-28,Confirmed,Direct Sales,Growth,245,,,,True,0,CRM-Salesforce,2023-07-29
SGN-000068,CUST-03648,2023-07-23,Confirmed,Partner Referral,Enterprise,220,,REP-011,,False,30,CRM-Salesforce,2023-07-24
SGN-000069,CUST-04202,2023-07-21,Confirmed,Organic Web,Starter,167,,REP-047,CMP-0345,False,14,CRM-Salesforce,2023-07-22
SGN-000070,CUST-02778,2023-07-16,Confirmed,Paid Ads,Professional,119,,REP-052,CMP-0014,True,14,CRM-Salesforce,2023-07-17
SGN-000071,CUST-00921,2023-07-22,Confirmed,Event/Conference,Starter,68,,REP-025,,False,30,CRM-Salesforce,2023-07-22
SGN-000072,CUST-03353,2023-07-05,Confirmed,Organic Web,Enterprise,217,WELCOME10,,,False,14,CRM-Salesforce,2023-07-06
SGN-000073,CUST-05129,2023-07-29,Confirmed,Direct Sales,Professional,81,,,,True,30,CRM-HubSpot,2023-07-29
SGN-000074,CUST-05695,2023-07-08,Confirmed,Partner Referral,Starter,206,,REP-019,CMP-0314,False,30,CRM-HubSpot,2023-07-08
SGN-000075,CUST-01730,2023-07-05,Confirmed,Paid Ads,Professional,167,,REP-053,CMP-0338,False,0,CRM-HubSpot,2023-07-05
SGN-000076,CUST-00967,2023-07-22,Confirmed,Partner Referral,Growth,117,,REP-057,,True,0,CRM-HubSpot,2023-07-23
SGN-000077,CUST-02588,2023-07-03,Confirmed,Organic Web,Growth,21,,REP-015,,True,0,Manual-Import,2023-07-04
SGN-000078,CUST-04000,2023-07-10,Confirmed,Organic Web,Growth,212,,REP-022,,False,14,CRM-HubSpot,2023-07-10
SGN-000079,CUST-05995,2023-07-08,Confirmed,Event/Conference,Growth,237,,,CMP-0208,True,30,CRM-Salesforce,2023-07-09
SGN-000080,CUST-00296,2023-07-30,Confirmed,Self-Serve Trial,Starter,179,,,CMP-0202,False,0,Manual-Import,2023-07-31
SGN-000081,CUST-05450,2023-07-08,Confirmed,Paid Ads,Starter,220,,REP-015,CMP-0089,False,0,CRM-HubSpot,2023-07-09
SGN-000082,CUST-02323,2023-07-31,Superseded,Paid Ads,Professional,75,,REP-054,,True,0,CRM-Salesforce,2023-07-19
SGN-000082,CUST-02323,2023-07-26,Confirmed,Partner Referral,Enterprise,75,,REP-054,,True,0,CRM-Salesforce,2023-07-27
SGN-000083,CUST-03196,2023-08-06,Superseded,Partner Referral,Professional,71,,,,False,14,CRM-HubSpot,2023-07-09
SGN-000083,CUST-03196,2023-07-19,Confirmed,Event/Conference,Growth,71,,,,False,14,CRM-HubSpot,2023-07-19
SGN-000084,CUST-02708,2023-07-18,Confirmed,Event/Conference,Growth,102,,REP-030,,True,0,CRM-Salesforce,2023-07-18
SGN-000085,CUST-01341,2023-07-22,Confirmed,Organic Web,Enterprise,158,,REP-049,CMP-0358,True,0,CRM-Salesforce,2023-07-22
SGN-000086,CUST-03077,2023-07-20,Confirmed,Direct Sales,Starter,105,,REP-019,,True,0,CRM-HubSpot,2023-07-21
SGN-000087,CUST-01115,2023-07-09,Confirmed,Organic Web,Professional,196,,,CMP-0203,True,0,CRM-HubSpot,2023-07-10
SGN-000088,CUST-03849,2023-07-29,Confirmed,Direct Sales,Starter,122,,REP-042,CMP-0369,False,0,CRM-Salesforce,2023-07-30
SGN-000089,CUST-02623,2023-07-02,Confirmed,Direct Sales,Growth,106,,REP-041,CMP-0135,True,0,CRM-Salesforce,2023-07-02
SGN-000090,CUST-00705,2023-07-10,Confirmed,Self-Serve Trial,Professional,23,,,CMP-0262,True,14,CRM-HubSpot,2023-07-10
SGN-000091,CUST-01558,2023-07-10,Confirmed,Partner Referral,Professional,205,WELCOME10,REP-006,,True,0,Manual-Import,2023-07-11
SGN-000092,CUST-02146,2023-07-26,Confirmed,Direct Sales,Professional,239,,REP-050,,True,0,CRM-Salesforce,2023-07-26
SGN-000093,CUST-04245,2023-07-16,Confirmed,Direct Sales,Growth,168,,REP-033,CMP-0220,True,30,CRM-HubSpot,2023-07-17
SGN-000094,CUST-05496,2023-07-14,Confirmed,Paid Ads,Growth,10,,,,False,30,CRM-Salesforce,2023-07-14
SGN-000095,CUST-00032,2023-07-01,Confirmed,Direct Sales,Growth,106,,,,False,30,CRM-HubSpot,2023-07-02
SGN-000096,CUST-02970,2023-07-28,Confirmed,Self-Serve Trial,Growth,200,,REP-034,,True,0,CRM-HubSpot,2023-07-29
SGN-000097,CUST-01235,2023-07-13,Confirmed,Direct Sales,Starter,144,,REP-036,CMP-0218,False,0,CRM-Salesforce,2023-07-13
SGN-000098,CUST-01479,2023-07-03,Confirmed,Direct Sales,Professional,214,,,CMP-0357,False,14,CRM-Salesforce,2023-07-04
SGN-000099,CUST-00077,2023-07-09,Confirmed,Paid Ads,Professional,1,,REP-038,CMP-0306,True,0,CRM-Salesforce,2023-07-09
SGN-000100,CUST-00748,2023-07-23,Confirmed,Direct Sales,Enterprise Plus,232,,REP-005,,True,0,CRM-Salesforce,2023-07-24
SGN-000101,CUST-05330,2023-07-01,Confirmed,Event/Conference,Enterprise Plus,66,,REP-053,CMP-0119,True,0,CRM-Salesforce,2023-07-01
SGN-000102,CUST-03090,2023-07-26,Confirmed,Organic Web,Growth,21,,,CMP-0199,False,14,Manual-Import,2023-07-27
SGN-000103,CUST-02309,2023-07-15,Confirmed,Event/Conference,Starter,218,,REP-057,CMP-0128,False,0,Manual-Import,2023-07-16
SGN-000104,CUST-01867,2023-07-20,Confirmed,Organic Web,Professional,54,,REP-010,CMP-0357,False,14,CRM-Salesforce,2023-07-21
SGN-000105,CUST-05510,2023-07-24,Confirmed,Event/Conference,Growth,102,,,,True,0,CRM-Salesforce,2023-07-25
SGN-000106,CUST-04098,2023-07-10,Confirmed,Partner Referral,Starter,65,,REP-033,,True,0,CRM-Salesforce,2023-07-10
SGN-000107,CUST-00198,2023-07-17,Confirmed,Direct Sales,Growth,135,,REP-004,CMP-0377,False,0,CRM-Salesforce,2023-07-18
SGN-000108,CUST-03203,2023-07-05,Confirmed,Direct Sales,Growth,95,,REP-052,,False,14,Manual-Import,2023-07-06
SGN-000109,CUST-03323,2023-07-06,Superseded,Organic Web,Enterprise,121,,REP-058,,False,30,CRM-HubSpot,2023-07-12
SGN-000109,CUST-03323,2023-07-16,Confirmed,Event/Conference,Professional,121,,REP-058,,False,30,CRM-HubSpot,2023-07-17
SGN-000110,CUST-03967,2023-07-23,Confirmed,Partner Referral,Starter,48,,REP-038,,False,14,CRM-Salesforce,2023-07-24
SGN-000111,CUST-03330,2023-07-05,Confirmed,Organic Web,Growth,12,,,,True,0,CRM-Salesforce,2023-07-06
SGN-000112,CUST-02352,2023-07-04,Confirmed,Organic Web,Starter,244,,REP-056,,False,14,CRM-Salesforce,2023-07-05
SGN-000113,CUST-03997,2023-07-04,Confirmed,Self-Serve Trial,Enterprise Plus,208,,REP-056,,False,14,CRM-HubSpot,2023-07-05
SGN-000114,CUST-04900,2023-07-27,Confirmed,Self-Serve Trial,Professional,132,,,,True,0,CRM-Salesforce,2023-07-27
SGN-000115,CUST-04817,2023-07-28,Confirmed,Self-Serve Trial,Professional,9,,REP-011,,True,14,CRM-Salesforce,2023-07-28
SGN-000116,CUST-01990,2023-07-16,Confirmed,Self-Serve Trial,Starter,158,,,CMP-0369,False,0,CRM-Salesforce,2023-07-17
SGN-000117,CUST-01264,2023-07-18,Confirmed,Direct Sales,Starter,239,,,CMP-0204,False,30,CRM-Salesforce,2023-07-18
SGN-000118,CUST-02401,2023-07-12,Confirmed,Self-Serve Trial,Professional,35,,REP-021,CMP-0212,False,0,CRM-Salesforce,2023-07-12
SGN-000119,CUST-03694,2023-07-16,Confirmed,Event/Conference,Starter,225,,REP-048,,False,30,CRM-Salesforce,2023-07-17
SGN-000120,CUST-03687,2023-07-08,Confirmed,Direct Sales,Professional,163,,,,True,30,CRM-Salesforce,2023-07-08
SGN-000121,CUST-05635,2023-07-15,Confirmed,Paid Ads,Growth,13,WELCOME10,REP-026,,False,0,CRM-HubSpot,2023-07-15
SGN-000122,CUST-05418,2023-07-01,Confirmed,Event/Conference,Starter,147,,REP-021,CMP-0324,True,0,CRM-Salesforce,2023-07-01
SGN-000123,CUST-04911,2023-07-17,Confirmed,Organic Web,Professional,133,WELCOME10,REP-016,CMP-0261,False,30,CRM-HubSpot,2023-07-17
SGN-000124,CUST-04930,2023-07-29,Confirmed,Direct Sales,Professional,245,,REP-004,,False,0,CRM-HubSpot,2023-07-30
SGN-000125,CUST-01280,2023-07-22,Confirmed,Direct Sales,Professional,145,,REP-018,,True,30,CRM-HubSpot,2023-07-23
SGN-000126,CUST-00041,2023-07-19,Confirmed,Paid Ads,Professional,147,WELCOME10,,CMP-0223,True,14,CRM-Salesforce,2023-07-19
SGN-000127,CUST-03398,2023-07-08,Confirmed,Partner Referral,Professional,235,,REP-051,CMP-0146,False,30,Manual-Import,2023-07-08
SGN-000128,CUST-02337,2023-07-22,Confirmed,Partner Referral,Growth,235,WELCOME10,REP-027,,False,30,CRM-Salesforce,2023-07-22
SGN-000129,CUST-04443,2023-07-29,Confirmed,Self-Serve Trial,Growth,220,,REP-023,,False,30,CRM-HubSpot,2023-07-30
SGN-000130,CUST-01609,2023-07-31,Confirmed,Organic Web,Starter,74,,REP-029,,True,0,CRM-Salesforce,2023-07-31
SGN-000131,CUST-02909,2023-07-30,Confirmed,Paid Ads,Enterprise,144,,,CMP-0335,True,14,CRM-Salesforce,2023-07-31
SGN-000132,CUST-03800,2023-07-07,Confirmed,Event/Conference,Professional,3,,,,True,0,CRM-Salesforce,2023-07-07
SGN-000133,CUST-04276,2023-07-07,Confirmed,Direct Sales,Starter,140,WELCOME10,,,False,0,CRM-Salesforce,2023-07-08
SGN-000134,CUST-04503,2023-07-02,Confirmed,Paid Ads,Enterprise,192,,,CMP-0354,True,30,CRM-Salesforce,2023-07-02
SGN-000135,CUST-04450,2023-07-29,Confirmed,Partner Referral,Enterprise,58,,REP-059,,False,30,CRM-Salesforce,2023-07-30
SGN-000136,CUST-04876,2023-08-01,Superseded,Paid Ads,Enterprise,88,,REP-047,,True,14,CRM-Salesforce,2023-07-14
SGN-000136,CUST-04876,2023-07-16,Confirmed,Direct Sales,Growth,88,,REP-047,,True,14,CRM-Salesforce,2023-07-17
SGN-000137,CUST-00490,2023-07-18,Confirmed,Organic Web,Enterprise,68,,REP-050,,True,30,CRM-Salesforce,2023-07-19
SGN-000138,CUST-04579,2023-07-14,Confirmed,Event/Conference,Enterprise,150,,REP-008,,False,14,CRM-HubSpot,2023-07-14
SGN-000139,CUST-00842,2023-07-21,Confirmed,Direct Sales,Professional,42,,REP-047,,True,14,CRM-Salesforce,2023-07-22
SGN-000140,CUST-00929,2023-07-02,Confirmed,Paid Ads,Growth,98,,REP-001,CMP-0206,False,30,CRM-HubSpot,2023-07-02
SGN-000141,CUST-02792,2023-07-11,Confirmed,Self-Serve Trial,Professional,104,WELCOME10,,,True,0,CRM-Salesforce,2023-07-12
SGN-000142,CUST-00709,2023-07-15,Confirmed,Self-Serve Trial,Growth,146,,REP-002,,True,14,CRM-HubSpot,2023-07-16
SGN-000143,CUST-01316,2023-07-05,Confirmed,Paid Ads,Growth,112,,REP-001,CMP-0167,True,14,CRM-Salesforce,2023-07-05
SGN-000144,CUST-00616,2023-07-17,Confirmed,Paid Ads,Professional,152,,REP-007,,True,30,CRM-Salesforce,2023-07-18
SGN-000145,CUST-00014,2023-07-19,Superseded,Direct Sales,Enterprise,176,,,,True,30,CRM-Salesforce,2023-07-13
SGN-000145,CUST-00014,2023-07-22,Confirmed,Direct Sales,Growth,176,,,,True,30,CRM-Salesforce,2023-07-23
SGN-000146,CUST-05469,2023-07-04,Confirmed,Self-Serve Trial,Growth,235,,,CMP-0103,True,30,Manual-Import,2023-07-05
SGN-000147,CUST-02947,2023-07-26,Confirmed,Direct Sales,Professional,161,,REP-008,,True,30,CRM-HubSpot,2023-07-27
SGN-000148,CUST-04933,2023-07-22,Confirmed,Direct Sales,Starter,221,,REP-041,,False,14,CRM-Salesforce,2023-07-22
SGN-000149,CUST-04388,2023-07-03,Confirmed,Organic Web,Enterprise,234,WELCOME10,,,False,0,CRM-Salesforce,2023-07-04
SGN-000150,CUST-02175,2023-07-11,Confirmed,Partner Referral,Starter,154,,,,True,30,CRM-HubSpot,2023-07-12
SGN-000151,CUST-00598,2023-07-24,Confirmed,Partner Referral,Enterprise Plus,161,,REP-042,CMP-0288,False,0,CRM-Salesforce,2023-07-24
SGN-000152,CUST-04956,2023-07-18,Confirmed,Self-Serve Trial,Starter,208,WELCOME10,REP-058,CMP-0011,False,0,CRM-Salesforce,2023-07-18
SGN-000153,CUST-02389,2023-07-01,Confirmed,Paid Ads,Growth,208,PARTNER20,REP-007,,False,0,CRM-HubSpot,2023-07-01
SGN-000154,CUST-03613,2023-07-20,Confirmed,Direct Sales,Enterprise,43,,,,False,0,CRM-HubSpot,2023-07-20
SGN-000155,CUST-00208,2023-07-10,Confirmed,Event/Conference,Starter,189,,REP-038,,False,14,CRM-Salesforce,2023-07-10
SGN-000156,CUST-03195,2023-07-07,Superseded,Direct Sales,Professional,129,PARTNER20,,,True,0,CRM-HubSpot,2023-07-02
SGN-000156,CUST-03195,2023-07-12,Confirmed,Organic Web,Enterprise,129,PARTNER20,,,True,0,CRM-HubSpot,2023-07-13
SGN-000157,CUST-01870,2023-07-02,Confirmed,Organic Web,Enterprise,124,PARTNER20,,CMP-0336,True,0,CRM-Salesforce,2023-07-03
SGN-000158,CUST-03917,2023-07-23,Confirmed,Organic Web,Growth,8,,REP-029,,True,30,CRM-HubSpot,2023-07-23
SGN-000159,CUST-04664,2023-07-09,Confirmed,Self-Serve Trial,Starter,197,,,,False,0,CRM-HubSpot,2023-07-09
SGN-000160,CUST-02162,2023-07-02,Superseded,Partner Referral,Enterprise Plus,85,,,,True,0,CRM-HubSpot,2023-07-11
SGN-000160,CUST-02162,2023-07-21,Confirmed,Direct Sales,Growth,85,,,,True,0,CRM-HubSpot,2023-07-22
SGN-000161,CUST-03335,2023-07-14,Confirmed,Partner Referral,Growth,242,,,CMP-0240,False,0,CRM-HubSpot,2023-07-15
SGN-000162,CUST-00563,2023-07-02,Confirmed,Event/Conference,Starter,220,,,CMP-0172,False,0,CRM-Salesforce,2023-07-03
SGN-000163,CUST-05503,2023-06-23,Superseded,Organic Web,Growth,13,,REP-019,,False,14,CRM-HubSpot,2023-07-01
SGN-000163,CUST-05503,2023-07-04,Confirmed,Partner Referral,Professional,13,,REP-019,,False,14,CRM-HubSpot,2023-07-04
SGN-000164,CUST-05964,2023-07-05,Confirmed,Organic Web,Enterprise,116,,REP-043,,False,14,Manual-Import,2023-07-06
SGN-000165,CUST-02707,2023-07-01,Confirmed,Paid Ads,Enterprise,98,,REP-036,,False,14,CRM-Salesforce,2023-07-01
SGN-000166,CUST-00803,2023-07-02,Confirmed,Paid Ads,Growth,54,WELCOME10,REP-053,CMP-0391,False,0,CRM-HubSpot,2023-07-03
SGN-000167,CUST-01060,2023-07-01,Confirmed,Direct Sales,Professional,30,,REP-025,,True,30,CRM-HubSpot,2023-07-02
SGN-000168,CUST-04490,2023-07-27,Confirmed,Self-Serve Trial,Professional,4,,REP-027,,False,0,CRM-Salesforce,2023-07-28
SGN-000169,CUST-04824,2023-07-29,Confirmed,Partner Referral,Professional,61,PARTNER20,,,False,0,CRM-Salesforce,2023-07-30
SGN-000170,CUST-01805,2023-07-11,Confirmed,Event/Conference,Starter,163,,,,False,30,Manual-Import,2023-07-12
SGN-000171,CUST-01349,2023-07-03,Confirmed,Event/Conference,Starter,105,,,,True,30,CRM-HubSpot,2023-07-03
SGN-000172,CUST-02192,2023-07-17,Confirmed,Paid Ads,Growth,61,,,CMP-0340,True,30,CRM-HubSpot,2023-07-18
SGN-000173,CUST-05846,2023-07-23,Confirmed,Direct Sales,Growth,193,,,,True,14,CRM-Salesforce,2023-07-24
SGN-000174,CUST-03262,2023-07-17,Confirmed,Self-Serve Trial,Enterprise,90,PARTNER20,,CMP-0294,True,0,CRM-Salesforce,2023-07-17
SGN-000175,CUST-03326,2023-07-13,Confirmed,Self-Serve Trial,Professional,144,,,,False,0,CRM-Salesforce,2023-07-14
SGN-000176,CUST-05424,2023-07-15,Confirmed,Event/Conference,Professional,27,,REP-003,,False,0,CRM-HubSpot,2023-07-16
SGN-000177,CUST-02285,2023-07-04,Confirmed,Organic Web,Enterprise Plus,13,,,,False,30,CRM-Salesforce,2023-07-04
SGN-000178,CUST-01160,2023-07-30,Superseded,Self-Serve Trial,Growth,178,,REP-053,,True,0,CRM-Salesforce,2023-07-09
SGN-000178,CUST-01160,2023-07-13,Confirmed,Event/Conference,Starter,178,,REP-053,,True,0,CRM-Salesforce,2023-07-14
SGN-000179,CUST-00955,2023-07-04,Confirmed,Organic Web,Starter,126,,REP-012,CMP-0123,False,30,CRM-Salesforce,2023-07-04
SGN-000180,CUST-02806,2023-07-11,Confirmed,Partner Referral,Enterprise,30,PARTNER20,REP-029,,False,30,CRM-Salesforce,2023-07-12
SGN-000181,CUST-01238,2023-07-04,Confirmed,Event/Conference,Enterprise,141,,,CMP-0008,False,14,CRM-HubSpot,2023-07-05
SGN-000182,CUST-00717,2023-07-09,Confirmed,Event/Conference,Professional,217,,REP-041,,True,14,CRM-HubSpot,2023-07-10
SGN-000183,CUST-02538,2023-07-07,Confirmed,Direct Sales,Starter,20,,REP-010,,False,0,CRM-Salesforce,2023-07-08
SGN-000184,CUST-02416,2023-07-08,Confirmed,Event/Conference,Professional,219,,REP-046,CMP-0054,False,30,CRM-Salesforce,2023-07-08
SGN-000185,CUST-02423,2023-07-05,Confirmed,Partner Referral,Growth,171,PARTNER20,,,True,0,CRM-Salesforce,2023-07-05
SGN-000186,CUST-05752,2023-07-21,Confirmed,Paid Ads,Professional,133,,,,False,14,CRM-HubSpot,2023-07-21
SGN-000187,CUST-00229,2023-07-09,Confirmed,Partner Referral,Starter,219,,REP-048,,False,0,CRM-HubSpot,2023-07-09
SGN-000188,CUST-05097,2023-07-22,Confirmed,Self-Serve Trial,Starter,57,PARTNER20,REP-053,CMP-0165,False,14,CRM-Salesforce,2023-07-22
