order_id,customer_id,order_date,requested_ship_date,promised_delivery_date,assigned_warehouse_id,sales_channel,payment_terms,currency,order_total_value,created_by,created_at,po_number,notes
ORD-000074,CUST-00195,2024-06-20,2024-06-22,2024-06-26,WH-12,Distributor,Net60,USD,16435.71,user063,2024-06-20,PO-769218,
ORD-000075,CUST-00672,2023-10-10,2023-10-13,2023-10-22,WH-10,Direct,Net45,EUR,4118.5,user006,2023-10-10,PO-285818,
ORD-000076,CUST-00354,2024-03-15,2024-03-18,2024-03-27,WH-01,Distributor,Net45,USD,14109.24,user054,2024-03-15,PO-774690,
ORD-000077,CUST-00870,2024-01-21,2024-01-24,2024-02-02,WH-06,Direct,Net60,USD,6655.2,user041,2024-01-21,PO-345642,
ORD-000078,CUST-00310,2024-06-09,2024-06-11,2024-06-19,WH-02,Direct,Net60,USD,24078.28,user004,2024-06-09,PO-198705,
ORD-000079,CUST-00410,2024-06-09,2024-06-12,2024-06-18,WH-15,Distributor,Net45,USD,19677.36,user020,2024-06-09,PO-761623,
ORD-000080,CUST-00522,2023-10-26,2023-10-30,2023-11-07,WH-04,Distributor,Net45,USD,15303.03,user056,2023-10-26,PO-340675,
ORD-000081,CUST-00010,2024-03-24,2024-03-27,2024-04-02,WH-06,Distributor,Net45,EUR,12556.64,user037,2024-03-24,PO-812522,
ORD-000082,CUST-00836,2024-03-19,2024-03-22,2024-03-27,WH-16,Direct,Net60,EUR,21941.91,user021,2024-03-19,PO-478978,
ORD-000083,CUST-00812,2023-12-08,2023-12-10,2023-12-17,WH-01,Direct,Net60,USD,3784.38,user020,2023-12-08,PO-236479,
ORD-000084,CUST-00818,2024-04-26,2024-04-28,2024-05-05,WH-04,Distributor,Net30,CAD,23683.66,user007,2024-04-26,PO-260670,
ORD-000085,CUST-00419,2024-05-14,2024-05-16,2024-05-23,WH-04,Direct,Net45,USD,19543.86,user016,2024-05-14,PO-575861,
ORD-000086,CUST-00469,2024-02-26,2024-02-27,2024-03-01,WH-07,Direct,Net60,USD,10094.95,user038,2024-02-26,PO-200899,
ORD-000087,CUST-01058,2024-04-03,2024-04-04,2024-04-11,WH-07,Direct,Net60,USD,2477.92,user051,2024-04-03,PO-716170,
ORD-000088,CUST-00640,2024-05-09,2024-05-10,2024-05-19,WH-12,Distributor,Net45,USD,6349.3,user005,2024-05-09,PO-549343,
ORD-000089,CUST-00807,2024-04-21,2024-04-22,2024-05-01,WH-17,Direct,Net45,USD,19913.9,user047,2024-04-21,PO-786458,
ORD-000090,CUST-00984,2024-03-10,2024-03-11,2024-03-17,WH-16,Direct,Net45,CAD,10330.85,user008,2024-03-10,PO-274209,
ORD-000091,CUST-00485,2023-10-02,2023-10-06,2023-10-14,WH-01,Direct,Net45,CAD,21422.88,user079,2023-10-02,PO-847840,
ORD-000092,CUST-00122,2023-10-20,2023-10-23,2023-10-29,WH-03,Distributor,Net30,USD,2893.17,user046,2023-10-20,PO-601334,
ORD-000093,CUST-00410,2024-04-23,2024-04-27,2024-04-30,WH-16,Online,Net30,USD,11955.04,user012,2024-04-23,PO-988831,
ORD-000094,CUST-00390,2024-02-27,2024-03-01,2024-03-04,WH-04,Direct,Net60,USD,12776.94,user005,2024-02-27,PO-857817,
ORD-000095,CUST-00841,2024-02-15,2024-02-16,2024-02-19,WH-12,Direct,Net45,USD,6412.41,user043,2024-02-15,PO-441189,
ORD-000096,CUST-00340,2024-03-14,2024-03-16,2024-03-20,WH-12,Online,Net45,USD,23505.04,user005,2024-03-14,PO-283877,
ORD-000097,CUST-00232,2023-11-09,2023-11-10,2023-11-17,WH-07,Distributor,Net60,USD,17789.21,user077,2023-11-09,PO-675505,
ORD-000098,CUST-00085,2024-01-22,2024-01-26,2024-02-04,WH-18,Distributor,Net60,USD,20670.28,user042,2024-01-22,PO-261140,
ORD-000099,CUST-01200,2024-01-28,2024-02-01,2024-02-04,WH-04,Direct,Net45,USD,23991.45,user012,2024-01-28,PO-148859,
ORD-000100,CUST-00339,2024-05-26,2024-05-29,2024-06-05,WH-18,Distributor,Net30,EUR,4196.08,user053,2024-05-26,PO-264528,
ORD-000101,CUST-00400,2024-01-30,2024-02-02,2024-02-11,WH-01,Distributor,Net45,USD,18062.97,user005,2024-01-30,PO-601488,
ORD-000102,CUST-00168,2023-10-25,2023-10-27,2023-11-04,WH-04,Distributor,Net60,USD,9732.71,user004,2023-10-25,PO-340782,
ORD-000103,CUST-00425,2023-11-28,2023-11-29,2023-12-06,WH-10,Direct,Net30,CAD,5431.0,user059,2023-11-28,PO-802135,
ORD-000104,CUST-01160,2023-12-01,2023-12-02,2023-12-06,WH-09,Distributor,Net45,CAD,14774.77,user035,2023-12-01,PO-533515,
ORD-000105,CUST-00319,2024-01-31,2024-02-02,2024-02-11,WH-15,Direct,Net60,USD,14716.14,user068,2024-01-31,PO-788364,
ORD-000106,CUST-00220,2024-03-22,2024-03-23,2024-03-29,WH-17,Direct,Net60,USD,22341.41,user052,2024-03-22,PO-644415,
ORD-000107,CUST-00315,2023-10-21,2023-10-23,2023-10-28,WH-11,Distributor,Net30,CAD,292.58,user023,2023-10-21,PO-410997,
ORD-000108,CUST-01027,2023-10-06,2023-10-07,2023-10-16,WH-11,Direct,Net45,EUR,8889.43,user010,2023-10-06,PO-815497,
ORD-000109,CUST-00573,2024-05-13,2024-05-16,2024-05-22,WH-01,Online,Net60,USD,585.11,user016,2024-05-13,PO-154237,
ORD-000110,CUST-00610,2024-05-13,2024-05-17,2024-05-22,WH-10,Direct,Net30,EUR,18071.98,user016,2024-05-13,PO-958029,
ORD-000111,CUST-01172,2024-05-30,2024-06-01,2024-06-04,WH-15,Distributor,Net45,USD,12320.82,user054,2024-05-30,PO-143348,
ORD-000112,CUST-01152,2024-03-03,2024-03-07,2024-03-10,WH-07,Distributor,Net30,USD,17555.27,user050,2024-03-03,PO-373397,
ORD-000113,CUST-00833,2023-10-30,2023-11-01,2023-11-07,WH-06,Online,Net30,CAD,11533.8,user079,2023-10-30,PO-511653,
ORD-000114,CUST-00039,2024-01-18,2024-01-20,2024-01-22,WH-15,Direct,Net45,EUR,24766.23,user013,2024-01-18,PO-210168,
ORD-000115,CUST-00560,2024-03-03,2024-03-06,2024-03-15,WH-04,Direct,Net45,USD,4290.33,user058,2024-03-03,PO-602992,
ORD-000116,CUST-00069,2024-05-30,2024-06-03,2024-06-08,WH-12,Online,Net45,CAD,13590.07,user026,2024-05-30,PO-462409,
ORD-000117,CUST-00411,2023-12-21,2023-12-23,2024-01-01,WH-09,Direct,Net60,USD,19488.86,user033,2023-12-21,PO-548994,
ORD-000118,CUST-01181,2024-01-08,2024-01-10,2024-01-19,WH-05,Direct,Net45,CAD,12780.1,user032,2024-01-08,PO-939751,
ORD-000119,CUST-00163,2024-03-14,2024-03-16,2024-03-22,WH-09,Direct,Net30,CAD,6971.34,user047,2024-03-14,PO-729702,
ORD-000120,CUST-00850,2024-02-28,2024-03-03,2024-03-12,WH-08,Distributor,Net60,USD,20062.98,user007,2024-02-28,PO-342703,
ORD-000121,CUST-00361,2023-12-04,2023-12-07,2023-12-10,WH-04,Direct,Net30,USD,22332.94,user017,2023-12-04,PO-824524,
ORD-000122,CUST-00818,2023-12-12,2023-12-13,2023-12-22,WH-09,Direct,Net45,USD,4708.26,user039,2023-12-12,PO-850314,
ORD-000123,CUST-01049,2023-11-23,2023-11-24,2023-12-02,WH-08,Direct,Net30,USD,17178.85,user012,2023-11-23,PO-680698,
ORD-000124,CUST-00319,2024-02-18,2024-02-19,2024-02-28,WH-07,Direct,Net30,CAD,14550.59,user046,2024-02-18,PO-844690,
ORD-000125,CUST-00886,2024-03-18,2024-03-20,2024-03-26,WH-07,Online,Net30,USD,20770.55,user014,2024-03-18,PO-205328,
ORD-000126,CUST-00881,2023-11-28,2023-12-01,2023-12-09,WH-16,Online,Net45,USD,10806.0,user048,2023-11-28,PO-850411,
ORD-000127,CUST-00746,2024-06-19,2024-06-22,2024-06-24,WH-05,Direct,Net30,CAD,16683.24,user030,2024-06-19,PO-903930,
ORD-000128,CUST-00557,2023-11-23,2023-11-26,2023-12-01,WH-16,Distributor,Net45,EUR,5928.31,user008,2023-11-23,PO-495912,
ORD-000129,CUST-00481,2023-10-03,2023-10-06,2023-10-09,WH-11,Direct,Net60,USD,3598.49,user042,2023-10-03,PO-161087,
ORD-000130,CUST-00679,2024-03-21,2024-03-25,2024-04-02,WH-01,Direct,Net45,USD,18048.32,user016,2024-03-21,PO-167247,
ORD-000131,CUST-00943,2023-10-15,2023-10-17,2023-10-23,WH-08,Distributor,Net45,CAD,23014.18,user029,2023-10-15,PO-598142,
ORD-000132,CUST-01178,2023-10-22,2023-10-24,2023-10-26,WH-10,Direct,Net30,CAD,5842.04,user057,2023-10-22,PO-303425,
ORD-000133,CUST-00351,2024-04-07,2024-04-10,2024-04-13,WH-03,Distributor,Net60,USD,17821.57,user007,2024-04-07,PO-335475,
ORD-000134,CUST-00214,2024-05-28,2024-05-31,2024-06-08,WH-01,Distributor,Net60,EUR,15028.33,user050,2024-05-28,PO-361293,
ORD-000135,CUST-00822,2023-10-01,2023-10-02,2023-10-04,WH-10,Online,Net60,CAD,8581.11,user072,2023-10-01,PO-663556,
ORD-000136,CUST-00781,2024-03-14,2024-03-15,2024-03-17,WH-02,Direct,Net45,EUR,3937.95,user041,2024-03-14,PO-534093,
ORD-000137,CUST-00390,2024-03-11,2024-03-13,2024-03-19,WH-17,Direct,Net45,CAD,12061.7,user031,2024-03-11,PO-536607,
ORD-000138,CUST-00777,2024-05-08,2024-05-11,2024-05-18,WH-16,Direct,Net60,USD,10116.25,user064,2024-05-08,PO-966752,
ORD-000139,CUST-00210,2023-10-30,2023-10-31,2023-11-08,WH-09,Online,Net60,USD,19270.9,user012,2023-10-30,PO-261124,
ORD-000140,CUST-01129,2024-01-26,2024-01-30,2024-02-04,WH-09,Online,Net45,USD,19360.63,user067,2024-01-26,PO-105106,
ORD-000141,CUST-00784,2023-10-30,2023-11-02,2023-11-09,WH-07,Online,Net60,USD,18343.78,user060,2023-10-30,PO-758487,
ORD-000142,CUST-00092,2023-12-09,2023-12-10,2023-12-19,WH-09,Direct,Net60,USD,9942.3,user008,2023-12-09,PO-634273,
ORD-000143,CUST-00288,2023-10-02,2023-10-04,2023-10-06,WH-02,Online,Net60,CAD,24059.36,user040,2023-10-02,PO-925767,
ORD-000144,CUST-00473,2024-01-22,2024-01-23,2024-01-28,WH-17,Distributor,Net60,CAD,10406.68,user028,2024-01-22,PO-466301,
ORD-000145,CUST-01161,2023-10-24,2023-10-25,2023-10-27,WH-08,Direct,Net30,USD,16226.8,user010,2023-10-24,PO-661090,
ORD-000146,CUST-01117,2024-01-16,2024-01-19,2024-01-27,WH-10,Direct,Net30,USD,5429.35,user018,2024-01-16,PO-751911,
ORD-000147,CUST-00410,2023-12-27,2023-12-31,2024-01-03,WH-01,Direct,Net45,CAD,24135.4,user070,2023-12-27,PO-781003,
ORD-000148,CUST-00279,2024-04-24,2024-04-28,2024-04-30,WH-08,Online,Net30,USD,16811.22,user076,2024-04-24,PO-944706,
ORD-000149,CUST-00731,2024-04-22,2024-04-26,2024-05-01,WH-04,Online,Net45,USD,22546.53,user032,2024-04-22,PO-939272,
ORD-000150,CUST-01016,2024-01-27,2024-01-31,2024-02-08,WH-17,Distributor,Net30,USD,1417.02,user017,2024-01-27,PO-828333,
ORD-000151,CUST-00316,2023-11-15,2023-11-18,2023-11-26,WH-09,Online,Net60,CAD,15097.72,user071,2023-11-15,PO-700510,
ORD-000152,CUST-00612,2024-06-24,2024-06-26,2024-07-04,WH-02,Online,Net45,USD,23012.89,user032,2024-06-24,PO-784306,
ORD-000153,CUST-00393,2024-03-21,2024-03-24,2024-03-31,WH-06,Direct,Net30,CAD,21598.41,user055,2024-03-21,PO-881084,
ORD-000154,CUST-00775,2023-10-01,2023-10-05,2023-10-08,WH-13,Direct,Net60,USD,2186.11,user014,2023-10-01,PO-674090,
ORD-000155,CUST-01031,2024-05-18,2024-05-21,2024-05-25,WH-07,Direct,Net30,USD,24706.42,user064,2024-05-18,PO-798140,
ORD-000156,CUST-00757,2024-01-07,2024-01-11,2024-01-19,WH-14,Online,Net30,USD,2667.34,user049,2024-01-07,PO-206520,
ORD-000157,CUST-01036,2023-12-01,2023-12-05,2023-12-08,WH-01,Direct,Net45,CAD,15025.22,user006,2023-12-01,PO-534292,
ORD-000158,CUST-00492,2024-06-08,2024-06-10,2024-06-15,WH-12,Distributor,Net30,EUR,20834.83,user035,2024-06-08,PO-279413,
ORD-000159,CUST-01018,2024-06-15,2024-06-18,2024-06-22,WH-01,Distributor,Net60,USD,14022.07,user014,2024-06-15,PO-214893,
ORD-000160,CUST-00828,2024-03-31,2024-04-03,2024-04-07,WH-18,Direct,Net60,EUR,10715.74,user066,2024-03-31,PO-100498,
ORD-000161,CUST-00754,2023-12-25,2023-12-28,2024-01-04,WH-07,Distributor,Net60,EUR,23181.32,user008,2023-12-25,PO-695642,
ORD-000162,CUST-00656,2024-03-03,2024-03-05,2024-03-09,WH-17,Direct,Net45,USD,13444.98,user017,2024-03-03,PO-662395,
ORD-000163,CUST-01115,2024-02-25,2024-02-28,2024-03-05,WH-16,Online,Net30,CAD,3095.57,user002,2024-02-25,PO-126840,
ORD-000164,CUST-01003,2023-11-20,2023-11-22,2023-11-24,WH-08,Online,Net60,EUR,18657.21,user079,2023-11-20,PO-106668,
ORD-000165,CUST-00476,2024-05-25,2024-05-29,2024-06-06,WH-04,Distributor,Net60,USD,12957.56,user015,2024-05-25,PO-866176,
ORD-000166,CUST-01076,2024-06-10,2024-06-12,2024-06-16,WH-13,Online,Net30,USD,9782.7,user036,2024-06-10,PO-507305,
ORD-000167,CUST-00528,2023-11-11,2023-11-15,2023-11-20,WH-16,Direct,Net45,EUR,22325.0,user079,2023-11-11,PO-766154,
ORD-000168,CUST-00727,2024-03-13,2024-03-17,2024-03-26,WH-13,Online,Net60,USD,5752.62,user026,2024-03-13,PO-896663,
ORD-000169,CUST-00446,2024-02-05,2024-02-07,2024-02-15,WH-16,Distributor,Net60,USD,10036.84,user028,2024-02-05,PO-205057,
ORD-000170,CUST-00892,2024-01-20,2024-01-23,2024-01-26,WH-05,Distributor,Net30,CAD,10563.35,user005,2024-01-20,PO-445017,
ORD-000171,CUST-00189,2024-06-12,2024-06-15,2024-06-21,WH-06,Direct,Net45,EUR,2942.25,user052,2024-06-12,PO-635499,
ORD-000172,CUST-00769,2024-01-31,2024-02-03,2024-02-09,WH-16,Distributor,Net45,EUR,17044.98,user079,2024-01-31,PO-414270,
ORD-000173,CUST-00068,2023-10-28,2023-10-29,2023-11-01,WH-10,Direct,Net30,USD,17609.07,user030,2023-10-28,PO-743259,
ORD-000174,CUST-00120,2024-04-07,2024-04-11,2024-04-15,WH-10,Direct,Net60,USD,12825.53,user043,2024-04-07,PO-371166,
ORD-000175,CUST-01176,2023-11-29,2023-12-01,2023-12-09,WH-02,Distributor,Net45,USD,4668.74,user001,2023-11-29,PO-147122,
ORD-000176,CUST-00789,2024-01-06,2024-01-09,2024-01-18,WH-04,Direct,Net30,EUR,12105.55,user035,2024-01-06,PO-386566,
ORD-000177,CUST-00596,2024-01-23,2024-01-26,2024-02-04,WH-04,Direct,Net60,USD,7085.3,user063,2024-01-23,PO-360319,
ORD-000178,CUST-00272,2024-05-09,2024-05-13,2024-05-21,WH-16,Online,Net60,CAD,3688.74,user052,2024-05-09,PO-146712,
ORD-000179,CUST-00595,2024-03-27,2024-03-29,2024-04-07,WH-14,Distributor,Net30,USD,24302.32,user058,2024-03-27,PO-417350,
ORD-000180,CUST-00151,2024-01-18,2024-01-21,2024-01-29,WH-14,Online,Net45,CAD,7196.83,user063,2024-01-18,PO-113745,
ORD-000181,CUST-00860,2024-03-08,2024-03-12,2024-03-21,WH-09,Distributor,Net60,USD,18824.14,user059,2024-03-08,PO-642960,
ORD-000182,CUST-00182,2024-06-11,2024-06-15,2024-06-24,WH-07,Direct,Net30,USD,11248.96,user060,2024-06-11,PO-851480,
ORD-000183,CUST-00486,2023-10-10,2023-10-14,2023-10-17,WH-18,Distributor,Net30,USD,15966.93,user066,2023-10-10,PO-512534,
ORD-000184,CUST-00119,2023-11-08,2023-11-11,2023-11-15,WH-10,Distributor,Net30,EUR,23314.47,user075,2023-11-08,PO-190416,
ORD-000185,CUST-00471,2024-02-17,2024-02-18,2024-02-20,WH-08,Direct,Net30,USD,1790.43,user004,2024-02-17,PO-969363,
ORD-000186,CUST-00558,2024-05-17,2024-05-21,2024-05-23,WH-15,Direct,Net60,USD,2653.56,user056,2024-05-17,PO-111937,
ORD-000187,CUST-01003,2024-06-07,2024-06-09,2024-06-11,WH-18,Direct,Net60,USD,4096.2,user003,2024-06-07,PO-606844,
ORD-000188,CUST-00723,2024-04-27,2024-04-30,2024-05-03,WH-05,Online,Net30,EUR,16806.69,user021,2024-04-27,PO-247612,
