product_id,product_name,category,subcategory,unit_of_measure,unit_weight_kg,unit_cost,list_price,supplier_id,hazmat_flag,created_at
PRD-00016,Tape Item 00016,Packaging,Tape,CS,13.3,68.21,120.64,SUP-0212,True,2021-10-20
PRD-00017,Seals Item 00017,Industrial Parts,Seals,CS,22.18,224.25,313.44,SUP-0035,False,2020-06-27
PRD-00018,Paper Goods Item 00018,Office Supplies,Paper Goods,CS,30.76,182.29,254.65,SUP-0154,False,2023-10-06
PRD-00019,Paper Goods Item 00019,Office Supplies,Paper Goods,CS,33.2,139.6,283.03,SUP-0093,False,2020-10-31
PRD-00020,Desks Item 00020,Furniture,Desks,EA,10.28,129.73,277.94,SUP-0045,True,2020-09-03
PRD-00021,Writing Item 00021,Office Supplies,Writing,EA,29.96,248.11,521.46,SUP-0223,False,2020-06-22
PRD-00022,Tape Item 00022,Packaging,Tape,EA,26.48,193.46,316.56,SUP-0221,False,2020-05-21
PRD-00023,Fasteners Item 00023,Industrial Parts,Fasteners,PLT,4.95,234.33,479.91,SUP-0061,False,2023-01-25
PRD-00024,Writing Item 00024,Office Supplies,Writing,CS,7.9,218.89,345.69,SUP-0249,False,2023-03-12
PRD-00025,Bearings Item 00025,Industrial Parts,Bearings,PLT,9.22,37.69,53.47,SUP-0004,False,2023-12-24
PRD-00026,Cables Item 00026,Electronics,Cables,CS,23.27,174.18,257.75,SUP-0216,False,2023-04-21
PRD-00027,Displays Item 00027,Electronics,Displays,CS,37.11,34.5,57.19,SUP-0031,False,2020-07-17
PRD-00028,Bearings Item 00028,Industrial Parts,Bearings,CS,11.49,238.99,509.6,SUP-0125,False,2020-02-07
PRD-00029,Adapters Item 00029,Electronics,Adapters,PLT,16.79,28.26,61.31,SUP-0035,False,2020-09-29
PRD-00030,Storage Units Item 00030,Furniture,Storage Units,PLT,31.4,117.91,155.18,SUP-0166,False,2020-06-12
PRD-00031,Storage Item 00031,Office Supplies,Storage,CS,24.26,59.69,124.21,SUP-0133,False,2021-03-10
PRD-00032,Fasteners Item 00032,Industrial Parts,Fasteners,CS,26.09,107.62,223.93,SUP-0069,False,2021-11-11
PRD-00033,Paper Goods Item 00033,Office Supplies,Paper Goods,PLT,4.26,187.01,254.32,SUP-0204,False,2021-06-20
PRD-00034,Cables Item 00034,Electronics,Cables,PLT,5.8,78.96,168.1,SUP-0150,False,2020-09-05
PRD-00035,Boxes Item 00035,Packaging,Boxes,CS,2.26,30.64,44.65,SUP-0006,False,2021-10-05
PRD-00036,Tape Item 00036,Packaging,Tape,PLT,12.75,99.62,174.74,SUP-0184,False,2023-08-05
PRD-00037,Boxes Item 00037,Packaging,Boxes,PLT,10.01,47.01,85.28,SUP-0059,False,2021-02-27
PRD-00038,Cables Item 00038,Electronics,Cables,CS,4.11,131.89,270.39,SUP-0027,False,2020-03-18
PRD-00039,Outerwear Item 00039,Apparel,Outerwear,PLT,39.18,211.21,427.03,SUP-0225,False,2022-07-30
PRD-00040,Tape Item 00040,Packaging,Tape,PLT,21.47,35.37,62.35,SUP-0241,False,2023-07-10
PRD-00041,Footwear Item 00041,Apparel,Footwear,EA,5.63,160.61,277.87,SUP-0067,False,2022-06-25
PRD-00042,Writing Item 00042,Office Supplies,Writing,CS,13.13,92.87,152.45,SUP-0046,False,2022-10-25
PRD-00043,Accessories Item 00043,Apparel,Accessories,PLT,13.17,229.25,408.5,SUP-0120,False,2022-01-03
PRD-00044,Boxes Item 00044,Packaging,Boxes,PLT,25.34,134.12,209.14,SUP-0045,False,2023-01-07
PRD-00045,Void Fill Item 00045,Packaging,Void Fill,PLT,24.59,215.46,298.54,SUP-0033,False,2022-05-21
PRD-00046,Adapters Item 00046,Electronics,Adapters,PLT,38.36,36.08,72.91,SUP-0102,False,2022-06-09
PRD-00047,Storage Units Item 00047,Furniture,Storage Units,EA,23.62,236.61,327.83,SUP-0064,False,2020-09-08
PRD-00048,Paper Goods Item 00048,Office Supplies,Paper Goods,CS,18.67,143.96,254.86,SUP-0182,False,2023-02-19
PRD-00049,Tape Item 00049,Packaging,Tape,EA,4.83,150.7,211.79,SUP-0232,False,2022-01-02
PRD-00050,Void Fill Item 00050,Packaging,Void Fill,CS,26.87,194.03,310.5,SUP-0184,False,2023-09-09
PRD-00051,Boxes Item 00051,Packaging,Boxes,CS,6.35,92.32,132.3,SUP-0079,False,2022-04-12
PRD-00052,Seals Item 00052,Industrial Parts,Seals,CS,22.14,182.96,392.0,SUP-0090,False,2023-03-16
PRD-00053,Adapters Item 00053,Electronics,Adapters,EA,38.05,246.68,346.99,SUP-0179,False,2023-08-09
PRD-00054,Boxes Item 00054,Packaging,Boxes,EA,27.46,147.89,193.89,SUP-0024,False,2021-11-12
PRD-00055,Fasteners Item 00055,Industrial Parts,Fasteners,EA,12.11,115.72,246.09,SUP-0111,False,2022-03-28
PRD-00056,Adapters Item 00056,Electronics,Adapters,PLT,11.39,220.04,451.79,SUP-0011,False,2020-06-08
PRD-00057,Adapters Item 00057,Electronics,Adapters,CS,35.89,163.23,216.46,SUP-0023,False,2021-11-10
PRD-00058,Displays Item 00058,Electronics,Displays,PLT,36.43,51.15,96.71,SUP-0227,True,2020-02-24
PRD-00059,Cables Item 00059,Electronics,Cables,PLT,9.58,152.27,314.36,SUP-0200,False,2022-09-30
PRD-00060,Accessories Item 00060,Apparel,Accessories,PLT,27.94,193.48,397.44,SUP-0112,False,2020-03-01
PRD-00061,Cables Item 00061,Electronics,Cables,CS,25.22,127.12,262.63,SUP-0186,False,2023-05-04
PRD-00062,Outerwear Item 00062,Apparel,Outerwear,EA,28.41,69.15,150.9,SUP-0187,False,2022-07-06
PRD-00063,Adapters Item 00063,Electronics,Adapters,EA,28.4,12.5,18.2,SUP-0221,False,2023-03-01
PRD-00064,Writing Item 00064,Office Supplies,Writing,PLT,31.37,115.72,216.72,SUP-0218,False,2022-05-08
PRD-00065,Storage Item 00065,Office Supplies,Storage,CS,28.01,76.73,144.58,SUP-0144,False,2020-08-24
PRD-00066,Adapters Item 00066,Electronics,Adapters,CS,18.99,102.2,143.83,SUP-0243,False,2020-07-20
PRD-00067,Cables Item 00067,Electronics,Cables,PLT,25.4,108.12,180.63,SUP-0153,False,2023-06-14
PRD-00068,Storage Item 00068,Office Supplies,Storage,CS,1.49,80.63,135.18,SUP-0119,False,2021-12-12
PRD-00069,Adapters Item 00069,Electronics,Adapters,CS,25.94,142.31,268.57,SUP-0175,False,2021-01-04
PRD-00070,Footwear Item 00070,Apparel,Footwear,CS,25.06,108.99,177.06,SUP-0240,False,2022-02-08
PRD-00071,Void Fill Item 00071,Packaging,Void Fill,PLT,20.83,230.42,465.42,SUP-0126,False,2022-02-17
PRD-00072,Desks Item 00072,Furniture,Desks,CS,2.93,30.73,63.24,SUP-0205,False,2020-03-24
PRD-00073,Tape Item 00073,Packaging,Tape,PLT,29.72,44.9,58.96,SUP-0079,False,2022-11-25
PRD-00074,Desks Item 00074,Furniture,Desks,CS,24.05,40.1,56.45,SUP-0127,False,2021-07-01
PRD-00075,Displays Item 00075,Electronics,Displays,CS,27.52,193.48,374.36,SUP-0078,False,2023-10-20
PRD-00076,Tape Item 00076,Packaging,Tape,EA,21.03,53.85,77.94,SUP-0178,False,2020-09-05
PRD-00077,Storage Units Item 00077,Furniture,Storage Units,EA,39.61,139.88,199.67,SUP-0209,False,2023-06-18
PRD-00078,Fasteners Item 00078,Industrial Parts,Fasteners,EA,17.38,189.32,326.08,SUP-0229,False,2020-08-14
PRD-00079,Storage Item 00079,Office Supplies,Storage,CS,11.72,13.07,22.76,SUP-0058,False,2022-12-20
PRD-00080,Fasteners Item 00080,Industrial Parts,Fasteners,EA,33.75,62.43,116.98,SUP-0139,False,2022-08-31
PRD-00081,Accessories Item 00081,Apparel,Accessories,PLT,21.6,16.41,26.33,SUP-0092,False,2021-05-11
PRD-00082,Bearings Item 00082,Industrial Parts,Bearings,PLT,20.22,213.3,451.9,SUP-0076,False,2022-05-30
PRD-00083,Bearings Item 00083,Industrial Parts,Bearings,PLT,4.24,125.71,208.51,SUP-0133,False,2022-08-01
PRD-00084,Tape Item 00084,Packaging,Tape,EA,7.7,86.04,113.77,SUP-0152,False,2023-10-23
PRD-00085,Fasteners Item 00085,Industrial Parts,Fasteners,CS,11.16,150.42,290.72,SUP-0002,False,2022-12-06
PRD-00086,Storage Units Item 00086,Furniture,Storage Units,CS,30.47,120.42,254.45,SUP-0129,False,2022-12-17
PRD-00087,Void Fill Item 00087,Packaging,Void Fill,EA,29.31,216.97,368.0,SUP-0029,False,2023-12-13
PRD-00088,Tape Item 00088,Packaging,Tape,PLT,11.56,246.18,482.61,SUP-0242,False,2023-01-29
PRD-00089,Cables Item 00089,Electronics,Cables,CS,19.61,12.15,26.57,SUP-0194,False,2021-05-02
PRD-00090,Seating Item 00090,Furniture,Seating,CS,3.44,198.83,357.88,SUP-0135,False,2023-04-18
PRD-00091,Seals Item 00091,Industrial Parts,Seals,EA,2.0,11.17,15.62,SUP-0093,False,2023-02-18
PRD-00092,Footwear Item 00092,Apparel,Footwear,PLT,29.59,216.63,437.76,SUP-0096,False,2020-03-14
PRD-00093,Adapters Item 00093,Electronics,Adapters,CS,20.61,214.82,410.21,SUP-0002,True,2023-02-13
PRD-00094,Seals Item 00094,Industrial Parts,Seals,PLT,9.54,168.56,348.5,SUP-0131,False,2021-06-06
PRD-00095,Seating Item 00095,Furniture,Seating,CS,11.03,148.4,311.33,SUP-0099,False,2022-10-15
PRD-00096,Displays Item 00096,Electronics,Displays,CS,32.31,179.97,395.73,SUP-0159,False,2021-03-20
PRD-00097,Boxes Item 00097,Packaging,Boxes,EA,28.05,144.57,265.39,SUP-0249,False,2022-01-13
PRD-00098,Seating Item 00098,Furniture,Seating,CS,14.65,35.32,48.05,SUP-0088,True,2020-10-29
PRD-00099,Writing Item 00099,Office Supplies,Writing,PLT,16.84,159.37,344.76,SUP-0086,False,2022-01-24
PRD-00100,Void Fill Item 00100,Packaging,Void Fill,EA,9.44,224.46,357.52,SUP-0222,False,2023-09-25
PRD-00101,Storage Units Item 00101,Furniture,Storage Units,CS,12.01,148.5,225.31,SUP-0163,False,2020-09-23
PRD-00102,Adapters Item 00102,Electronics,Adapters,PLT,22.48,72.25,145.42,SUP-0146,False,2023-03-21
PRD-00103,Desks Item 00103,Furniture,Desks,CS,32.59,248.69,525.31,SUP-0168,False,2021-12-06
PRD-00104,Paper Goods Item 00104,Office Supplies,Paper Goods,CS,26.13,27.27,58.9,SUP-0195,False,2022-02-08
PRD-00105,Cables Item 00105,Electronics,Cables,PLT,1.69,240.02,365.18,SUP-0026,False,2024-01-16
PRD-00106,Fasteners Item 00106,Industrial Parts,Fasteners,CS,2.09,79.52,111.36,SUP-0159,False,2021-07-30
PRD-00107,Storage Units Item 00107,Furniture,Storage Units,PLT,15.8,53.34,89.34,SUP-0076,True,2021-03-10
PRD-00108,Adapters Item 00108,Electronics,Adapters,PLT,20.35,2.31,4.02,SUP-0008,False,2021-05-14
PRD-00109,Void Fill Item 00109,Packaging,Void Fill,CS,12.93,210.62,319.77,SUP-0065,False,2023-07-18
PRD-00110,Footwear Item 00110,Apparel,Footwear,EA,37.22,84.02,112.9,SUP-0124,False,2021-11-22
PRD-00111,Paper Goods Item 00111,Office Supplies,Paper Goods,EA,36.76,13.75,17.99,SUP-0035,False,2023-05-09
PRD-00112,Cables Item 00112,Electronics,Cables,EA,9.7,155.8,282.35,SUP-0058,False,2022-06-04
PRD-00113,Fasteners Item 00113,Industrial Parts,Fasteners,CS,6.55,213.64,426.35,SUP-0155,False,2021-03-12
PRD-00114,Paper Goods Item 00114,Office Supplies,Paper Goods,PLT,24.16,114.71,250.78,SUP-0020,False,2021-06-26
PRD-00115,Cables Item 00115,Electronics,Cables,EA,8.69,200.2,334.86,SUP-0150,False,2023-05-19
PRD-00116,Displays Item 00116,Electronics,Displays,EA,0.81,87.93,127.41,SUP-0165,False,2022-12-23
PRD-00117,Storage Item 00117,Office Supplies,Storage,EA,23.77,80.65,113.99,SUP-0222,False,2022-10-02
PRD-00118,Outerwear Item 00118,Apparel,Outerwear,EA,39.67,127.81,166.61,SUP-0231,False,2020-01-25
PRD-00119,Tape Item 00119,Packaging,Tape,CS,35.22,33.47,59.66,SUP-0224,False,2020-09-30
PRD-00120,Storage Item 00120,Office Supplies,Storage,EA,11.83,149.45,283.55,SUP-0244,True,2023-06-08
PRD-00121,Adapters Item 00121,Electronics,Adapters,PLT,10.18,59.36,109.8,SUP-0218,False,2022-02-26
PRD-00122,Seals Item 00122,Industrial Parts,Seals,PLT,22.7,181.99,360.81,SUP-0179,False,2024-01-15
PRD-00123,Desks Item 00123,Furniture,Desks,EA,20.83,5.09,8.49,SUP-0199,False,2023-03-04
PRD-00124,Desks Item 00124,Furniture,Desks,CS,6.02,171.28,370.89,SUP-0067,False,2020-09-24
PRD-00125,Storage Units Item 00125,Furniture,Storage Units,EA,18.82,228.32,447.54,SUP-0053,False,2022-08-26
PRD-00126,Bearings Item 00126,Industrial Parts,Bearings,CS,29.26,185.95,372.77,SUP-0237,False,2022-05-04
PRD-00127,Accessories Item 00127,Apparel,Accessories,PLT,4.04,216.66,321.51,SUP-0199,False,2021-11-14
PRD-00128,Cables Item 00128,Electronics,Cables,PLT,28.79,95.53,200.5,SUP-0157,False,2021-08-14
PRD-00129,Bearings Item 00129,Industrial Parts,Bearings,CS,24.09,146.09,312.9,SUP-0102,False,2020-04-11
PRD-00130,Writing Item 00130,Office Supplies,Writing,CS,5.29,99.74,144.28,SUP-0077,False,2022-10-23
PRD-00131,Displays Item 00131,Electronics,Displays,EA,30.15,62.41,130.62,SUP-0025,False,2021-12-18
PRD-00132,Storage Item 00132,Office Supplies,Storage,EA,18.76,131.46,201.59,SUP-0032,False,2020-03-08
PRD-00133,Displays Item 00133,Electronics,Displays,PLT,4.47,163.82,250.18,SUP-0124,False,2021-04-14
PRD-00134,Outerwear Item 00134,Apparel,Outerwear,PLT,39.38,225.61,492.76,SUP-0089,False,2023-11-30
PRD-00135,Fasteners Item 00135,Industrial Parts,Fasteners,EA,3.92,77.51,159.76,SUP-0138,False,2021-08-26
PRD-00136,Tape Item 00136,Packaging,Tape,EA,6.45,64.81,133.95,SUP-0094,False,2022-05-26
PRD-00137,Outerwear Item 00137,Apparel,Outerwear,PLT,30.41,94.07,187.68,SUP-0101,False,2022-06-24
PRD-00138,Desks Item 00138,Furniture,Desks,EA,4.06,224.24,344.9,SUP-0045,False,2023-06-23
PRD-00139,Tape Item 00139,Packaging,Tape,EA,28.42,113.57,234.66,SUP-0062,False,2023-01-25
PRD-00140,Bearings Item 00140,Industrial Parts,Bearings,CS,9.83,63.6,91.91,SUP-0010,False,2023-11-11
PRD-00141,Displays Item 00141,Electronics,Displays,EA,21.21,130.38,232.46,SUP-0123,False,2021-06-26
PRD-00142,Adapters Item 00142,Electronics,Adapters,EA,19.31,238.16,513.92,SUP-0037,False,2020-09-02
PRD-00143,Seating Item 00143,Furniture,Seating,PLT,4.8,64.79,137.69,SUP-0008,False,2023-10-05
PRD-00144,Boxes Item 00144,Packaging,Boxes,CS,21.3,101.31,148.78,SUP-0210,False,2024-01-22
PRD-00145,Accessories Item 00145,Apparel,Accessories,PLT,36.83,118.25,190.06,SUP-0039,False,2023-10-29
PRD-00146,Fasteners Item 00146,Industrial Parts,Fasteners,PLT,30.05,156.43,315.09,SUP-0207,False,2020-11-13
PRD-00147,Tape Item 00147,Packaging,Tape,PLT,39.74,160.48,249.19,SUP-0001,False,2021-08-19
PRD-00148,Seals Item 00148,Industrial Parts,Seals,EA,25.31,39.78,65.78,SUP-0039,False,2023-10-14
PRD-00149,Seals Item 00149,Industrial Parts,Seals,EA,24.01,116.35,200.76,SUP-0165,False,2022-02-27
PRD-00150,Bearings Item 00150,Industrial Parts,Bearings,EA,33.85,170.17,227.39,SUP-0247,False,2021-11-05
PRD-00151,Accessories Item 00151,Apparel,Accessories,CS,26.42,247.97,389.87,SUP-0133,False,2022-12-07
PRD-00152,Seals Item 00152,Industrial Parts,Seals,PLT,22.49,101.98,198.64,SUP-0147,False,2022-02-02
PRD-00153,Writing Item 00153,Office Supplies,Writing,CS,16.36,162.47,275.56,SUP-0086,False,2023-05-25
PRD-00154,Cables Item 00154,Electronics,Cables,PLT,26.53,164.57,216.87,SUP-0221,False,2021-05-04
PRD-00155,Displays Item 00155,Electronics,Displays,PLT,26.73,215.44,305.15,SUP-0062,False,2023-02-22
PRD-00156,Cables Item 00156,Electronics,Cables,EA,36.42,169.33,250.99,SUP-0240,False,2022-03-24
PRD-00157,Accessories Item 00157,Apparel,Accessories,PLT,25.04,153.29,243.49,SUP-0064,False,2022-02-18
PRD-00158,Bearings Item 00158,Industrial Parts,Bearings,PLT,16.03,7.76,16.2,SUP-0240,False,2022-07-04
PRD-00159,Storage Item 00159,Office Supplies,Storage,EA,21.8,213.79,372.17,SUP-0081,False,2023-05-04
PRD-00160,Seals Item 00160,Industrial Parts,Seals,EA,36.96,228.34,470.15,SUP-0234,False,2024-01-07
PRD-00161,Storage Units Item 00161,Furniture,Storage Units,EA,18.29,191.12,289.78,SUP-0120,False,2022-08-08
PRD-00162,Paper Goods Item 00162,Office Supplies,Paper Goods,EA,16.43,147.32,220.53,SUP-0164,False,2023-05-09
PRD-00163,Boxes Item 00163,Packaging,Boxes,EA,31.91,3.86,7.93,SUP-0084,False,2022-11-15
PRD-00164,Footwear Item 00164,Apparel,Footwear,EA,39.94,98.74,145.48,SUP-0236,False,2020-08-18
PRD-00165,Bearings Item 00165,Industrial Parts,Bearings,EA,2.83,233.36,332.35,SUP-0245,False,2021-01-09
PRD-00166,Writing Item 00166,Office Supplies,Writing,PLT,4.52,166.54,341.29,SUP-0144,False,2020-09-21
PRD-00167,Tape Item 00167,Packaging,Tape,EA,26.12,126.19,276.71,SUP-0171,False,2020-02-17
PRD-00168,Boxes Item 00168,Packaging,Boxes,EA,39.07,182.51,289.55,SUP-0074,False,2021-11-22
PRD-00169,Paper Goods Item 00169,Office Supplies,Paper Goods,PLT,31.51,168.72,345.69,SUP-0088,False,2023-11-05
PRD-00170,Bearings Item 00170,Industrial Parts,Bearings,EA,32.07,187.71,327.02,SUP-0056,False,2023-09-01
PRD-00171,Void Fill Item 00171,Packaging,Void Fill,EA,21.38,25.83,35.15,SUP-0039,False,2020-12-06
PRD-00172,Cables Item 00172,Electronics,Cables,CS,1.44,194.11,366.29,SUP-0186,False,2023-05-19
PRD-00173,Cables Item 00173,Electronics,Cables,EA,21.58,215.48,438.99,SUP-0205,False,2021-09-27
PRD-00174,Bearings Item 00174,Industrial Parts,Bearings,PLT,30.11,65.85,115.49,SUP-0135,False,2023-01-30
PRD-00175,Writing Item 00175,Office Supplies,Writing,CS,30.07,56.36,79.3,SUP-0052,False,2021-05-20
PRD-00176,Paper Goods Item 00176,Office Supplies,Paper Goods,EA,15.97,206.13,451.7,SUP-0213,False,2020-07-24
PRD-00177,Writing Item 00177,Office Supplies,Writing,EA,39.03,99.44,207.39,SUP-0218,False,2022-07-14
PRD-00178,Writing Item 00178,Office Supplies,Writing,CS,29.4,73.69,133.36,SUP-0186,False,2022-04-06
PRD-00179,Seals Item 00179,Industrial Parts,Seals,CS,24.08,8.59,14.93,SUP-0013,False,2021-03-08
PRD-00180,Fasteners Item 00180,Industrial Parts,Fasteners,PLT,22.47,207.0,340.89,SUP-0188,False,2021-02-10
PRD-00181,Cables Item 00181,Electronics,Cables,CS,2.69,141.9,184.61,SUP-0169,False,2022-06-16
PRD-00182,Storage Units Item 00182,Furniture,Storage Units,CS,35.62,44.65,76.93,SUP-0207,False,2021-12-15
PRD-00183,Fasteners Item 00183,Industrial Parts,Fasteners,CS,7.86,55.36,105.82,SUP-0146,False,2023-08-31
PRD-00184,Adapters Item 00184,Electronics,Adapters,EA,7.09,106.84,151.84,SUP-0163,False,2023-07-14
PRD-00185,Bearings Item 00185,Industrial Parts,Bearings,CS,10.63,15.71,29.05,SUP-0089,False,2023-04-16
PRD-00186,Seating Item 00186,Furniture,Seating,PLT,4.34,26.76,37.57,SUP-0115,False,2022-07-18
PRD-00187,Storage Item 00187,Office Supplies,Storage,EA,21.07,189.06,415.37,SUP-0205,True,2020-11-10
PRD-00188,Fasteners Item 00188,Industrial Parts,Fasteners,EA,23.1,237.26,480.59,SUP-0231,False,2020-09-12
PRD-00189,Writing Item 00189,Office Supplies,Writing,EA,15.26,124.43,206.28,SUP-0242,False,2021-12-06
PRD-00190,Adapters Item 00190,Electronics,Adapters,EA,4.18,49.92,103.81,SUP-0008,False,2022-06-02
PRD-00191,Footwear Item 00191,Apparel,Footwear,PLT,37.07,109.02,233.25,SUP-0158,False,2023-03-05
PRD-00192,Paper Goods Item 00192,Office Supplies,Paper Goods,CS,18.5,142.85,270.4,SUP-0088,False,2022-04-11
PRD-00193,Desks Item 00193,Furniture,Desks,CS,6.68,95.89,187.06,SUP-0024,False,2023-07-18
PRD-00194,Storage Item 00194,Office Supplies,Storage,CS,10.33,189.37,387.09,SUP-0242,False,2023-10-23
PRD-00195,Displays Item 00195,Electronics,Displays,CS,15.73,15.04,32.06,SUP-0236,False,2024-01-08
PRD-00196,Adapters Item 00196,Electronics,Adapters,EA,22.53,170.74,226.04,SUP-0084,False,2023-01-20
PRD-00197,Writing Item 00197,Office Supplies,Writing,CS,31.48,117.51,187.74,SUP-0002,False,2024-01-22
PRD-00198,Seals Item 00198,Industrial Parts,Seals,CS,6.47,69.04,137.9,SUP-0038,False,2022-01-14
PRD-00199,Storage Item 00199,Office Supplies,Storage,PLT,7.54,240.97,442.14,SUP-0214,False,2022-05-19
PRD-00200,Fasteners Item 00200,Industrial Parts,Fasteners,EA,19.3,203.12,367.23,SUP-0159,False,2024-01-13
PRD-00201,Desks Item 00201,Furniture,Desks,EA,4.78,93.76,188.95,SUP-0104,False,2020-04-13
PRD-00202,Storage Item 00202,Office Supplies,Storage,EA,1.01,218.83,386.98,SUP-0127,False,2021-11-26
PRD-00203,Boxes Item 00203,Packaging,Boxes,EA,24.77,167.75,224.13,SUP-0094,False,2023-12-12
PRD-00204,Void Fill Item 00204,Packaging,Void Fill,EA,7.58,36.63,58.96,SUP-0047,False,2020-05-25
PRD-00205,Writing Item 00205,Office Supplies,Writing,CS,3.28,202.62,382.24,SUP-0243,False,2023-08-19
PRD-00206,Tape Item 00206,Packaging,Tape,CS,1.48,108.91,193.98,SUP-0092,False,2024-01-30
PRD-00207,Boxes Item 00207,Packaging,Boxes,CS,36.12,177.04,237.34,SUP-0076,False,2023-02-16
PRD-00208,Storage Units Item 00208,Furniture,Storage Units,EA,33.4,16.84,24.25,SUP-0180,False,2022-03-13
PRD-00209,Desks Item 00209,Furniture,Desks,PLT,2.57,100.51,218.3,SUP-0111,False,2023-04-01
PRD-00210,Writing Item 00210,Office Supplies,Writing,EA,3.82,241.16,501.75,SUP-0032,False,2022-11-27
PRD-00211,Displays Item 00211,Electronics,Displays,CS,5.12,210.85,425.12,SUP-0235,False,2021-08-05
PRD-00212,Void Fill Item 00212,Packaging,Void Fill,PLT,28.21,243.01,421.54,SUP-0114,False,2021-11-15
PRD-00213,Writing Item 00213,Office Supplies,Writing,EA,3.14,99.09,198.37,SUP-0023,False,2020-10-17
PRD-00214,Storage Units Item 00214,Furniture,Storage Units,CS,6.34,10.72,15.92,SUP-0071,False,2024-01-03
PRD-00215,Bearings Item 00215,Industrial Parts,Bearings,PLT,9.49,234.17,314.77,SUP-0244,False,2023-10-31
PRD-00216,Cables Item 00216,Electronics,Cables,EA,36.5,143.01,255.06,SUP-0165,False,2022-07-27
PRD-00217,Void Fill Item 00217,Packaging,Void Fill,CS,37.96,155.21,250.37,SUP-0216,False,2021-12-08
PRD-00218,Writing Item 00218,Office Supplies,Writing,CS,15.16,236.53,471.57,SUP-0031,False,2022-03-21
PRD-00219,Boxes Item 00219,Packaging,Boxes,EA,17.42,163.99,246.93,SUP-0168,False,2023-09-15
PRD-00220,Storage Item 00220,Office Supplies,Storage,PLT,4.34,48.6,84.95,SUP-0133,False,2022-02-18
PRD-00221,Desks Item 00221,Furniture,Desks,EA,19.14,248.71,417.73,SUP-0122,False,2023-01-05
PRD-00222,Boxes Item 00222,Packaging,Boxes,EA,2.08,160.13,349.6,SUP-0005,False,2021-12-04
PRD-00223,Writing Item 00223,Office Supplies,Writing,PLT,25.94,16.96,33.98,SUP-0205,False,2021-11-15
PRD-00224,Boxes Item 00224,Packaging,Boxes,PLT,13.94,158.5,300.56,SUP-0194,False,2022-10-04
PRD-00225,Footwear Item 00225,Apparel,Footwear,CS,20.26,107.42,210.86,SUP-0203,False,2022-03-09
PRD-00226,Writing Item 00226,Office Supplies,Writing,PLT,7.98,34.53,64.37,SUP-0029,False,2023-01-25
PRD-00227,Outerwear Item 00227,Apparel,Outerwear,EA,6.22,29.46,43.54,SUP-0239,False,2021-05-07
PRD-00228,Boxes Item 00228,Packaging,Boxes,PLT,28.34,190.62,277.86,SUP-0188,False,2021-06-20
PRD-00229,Outerwear Item 00229,Apparel,Outerwear,EA,5.13,69.81,125.32,SUP-0077,False,2020-08-11
PRD-00230,Adapters Item 00230,Electronics,Adapters,CS,29.93,195.99,398.56,SUP-0052,False,2021-11-03
PRD-00231,Paper Goods Item 00231,Office Supplies,Paper Goods,EA,18.73,91.48,151.2,SUP-0044,False,2023-09-26
PRD-00232,Outerwear Item 00232,Apparel,Outerwear,EA,5.28,69.66,118.07,SUP-0175,False,2021-03-30
PRD-00233,Seating Item 00233,Furniture,Seating,EA,19.94,191.26,359.32,SUP-0232,False,2022-07-24
PRD-00234,Desks Item 00234,Furniture,Desks,CS,36.35,222.67,448.08,SUP-0090,False,2021-11-22
PRD-00235,Outerwear Item 00235,Apparel,Outerwear,CS,16.32,120.35,218.0,SUP-0124,False,2022-08-21
