warehouse_id,shipment_id,carrier_id,transaction_type,event_date,tracking_number,freight_cost,carrier_service_level,created_at
WH-01,5,CAR-13,Shipment,2023-11-30,TRK000000062,187.98,Express,2023-11-30
WH-01,6,CAR-01,Return,2024-04-29,TRK000000063,3.17,Freight,2024-04-29
WH-01,7,CAR-05,Shipment,2023-11-17,TRK000000064,143.09,Express,2023-11-17
WH-01,8,CAR-07,Shipment,2023-11-15,TRK000000065,166.09,Express,2023-11-15
WH-01,9,CAR-17,Backorder,2023-11-19,,0.0,,2023-11-19
WH-05,5,CAR-08,Shipment,2024-04-17,TRK000000067,58.93,Ground,2024-04-17
WH-05,6,CAR-16,Shipment,2024-04-12,TRK000000068,73.78,Freight,2024-04-12
WH-15,6,CAR-03,Shipment,2024-02-20,TRK000000069,158.94,Express,2024-02-20
WH-15,7,CAR-07,Cancellation,2024-02-23,TRK000000070,12.77,Ground,2024-02-23
WH-14,1,CAR-18,Shipment,2024-06-01,TRK000000071,217.28,Freight,2024-06-01
WH-14,2,CAR-05,Cancellation,2024-05-12,TRK000000072,2.35,Freight,2024-05-12
WH-14,3,CAR-11,Backorder,2024-06-08,,0.0,,2024-06-08
WH-14,4,CAR-08,Shipment,2023-11-26,TRK000000074,178.19,Express,2023-11-26
WH-14,5,CAR-19,Backorder,2023-11-22,,0.0,,2023-11-20
WH-06,3,CAR-08,Shipment,2024-02-26,TRK000000076,215.92,Express,2024-02-26
WH-06,4,CAR-10,Shipment,2024-02-23,TRK000000077,120.55,Freight,2024-02-23
WH-06,5,CAR-11,Shipment,2024-03-02,TRK000000078,17.18,Ground,2024-03-02
WH-06,6,CAR-17,Cancellation,2024-03-06,TRK000000079,19.43,Express,2024-03-06
WH-01,10,CAR-05,Shipment,2024-06-17,TRK000000080,29.68,Ground,2024-06-17
WH-17,2,CAR-20,Shipment,2023-12-05,TRK000000081,179.61,Ground,2023-12-05
WH-17,3,CAR-08,Shipment,2023-12-20,TRK000000082,215.25,Ground,2023-12-20
WH-17,4,CAR-09,Shipment,2023-12-06,TRK000000083,77.41,Express,2023-12-06
WH-17,5,CAR-06,Shipment,2023-12-05,TRK000000084,149.95,Express,2023-12-05
WH-18,4,CAR-16,Shipment,2024-04-18,TRK000000085,65.96,Freight,2024-04-18
WH-18,5,CAR-15,Backorder,2024-04-27,,0.0,,2024-04-27
WH-18,6,CAR-12,Shipment,2024-04-18,TRK000000087,68.92,Freight,2024-04-18
WH-08,7,CAR-08,Shipment,2024-05-21,TRK000000088,27.43,Express,2024-05-21
WH-08,8,CAR-16,Shipment,2024-06-07,TRK000000089,109.96,Ground,2024-06-07
WH-08,9,CAR-03,Shipment,2024-05-21,TRK000000090,116.88,Express,2024-05-21
WH-08,10,CAR-13,Cancellation,2024-06-07,TRK000000091,10.23,Ground,2024-06-07
WH-08,11,CAR-02,Shipment,2023-10-26,TRK000000092,29.63,Ground,2023-10-26
WH-08,12,CAR-14,Shipment,2023-11-02,TRK000000093,96.28,Express,2023-11-02
WH-08,13,CAR-17,Backorder,2023-11-04,,0.0,,2023-11-04
WH-16,3,CAR-03,Shipment,2023-11-29,TRK000000095,93.16,Ground,2023-11-29
WH-16,4,CAR-12,Shipment,2023-12-14,TRK000000096,207.84,Freight,2023-12-14
WH-16,5,CAR-08,Backorder,2023-12-23,,0.0,,2023-12-23
WH-02,3,CAR-16,Shipment,2023-11-06,TRK000000098,190.66,Freight,2023-11-06
WH-06,7,CAR-13,Shipment,2024-04-01,TRK000000099,79.34,Express,2024-04-01
WH-01,11,CAR-12,Shipment,2024-04-21,TRK000000100,133.13,Freight,2024-04-21
WH-01,12,CAR-02,Shipment,2024-04-20,TRK000000101,126.42,Express,2024-04-20
WH-01,13,CAR-03,Shipment,2024-04-17,TRK000000102,76.49,Express,2024-04-17
WH-07,5,CAR-13,Shipment,2024-02-18,TRK000000103,156.59,Freight,2024-02-18
WH-07,6,CAR-18,Return,2024-02-23,TRK000000104,19.73,Freight,2024-02-23
WH-07,7,CAR-14,Shipment,2024-02-22,TRK000000105,41.74,Ground,2024-02-22
WH-15,8,CAR-15,Shipment,2023-11-23,TRK000000106,97.42,Ground,2023-11-23
WH-15,9,CAR-07,Shipment,2023-11-29,TRK000000107,96.93,Freight,2023-11-29
WH-09,7,CAR-05,Shipment,2024-04-24,TRK000000108,30.13,Express,2024-04-24
WH-17,6,CAR-07,Shipment,2024-03-16,TRK000000109,92.28,Ground,2024-03-16
WH-17,7,CAR-14,Return,2024-03-28,TRK000000110,27.72,Express,2024-03-28
WH-17,8,CAR-01,Shipment,2024-03-12,TRK000000111,15.26,Freight,2024-03-12
WH-17,9,CAR-09,Shipment,2024-03-15,TRK000000112,25.37,Freight,2024-03-15
WH-17,10,CAR-10,Shipment,2024-07-01,TRK000000113,84.7,Ground,2024-07-01
WH-17,11,CAR-18,Shipment,2024-06-29,TRK000000114,212.95,Freight,2024-06-29
WH-17,12,CAR-17,Cancellation,2024-07-16,TRK000000115,39.35,Express,2024-07-16
WH-13,3,CAR-18,Shipment,2023-11-13,TRK000000116,63.73,Freight,2023-11-13
WH-08,14,CAR-10,Shipment,2024-06-19,TRK000000117,128.61,Freight,2024-06-19
WH-08,15,CAR-18,Shipment,2024-06-28,TRK000000118,42.69,Freight,2024-06-28
WH-08,16,CAR-06,Shipment,2024-06-18,TRK000000119,179.79,Ground,2024-06-18
WH-02,4,CAR-20,Shipment,2023-10-19,TRK000000120,9.65,Ground,2023-10-19
WH-02,5,CAR-05,Backorder,2023-10-29,,0.0,,2023-10-29
WH-13,4,CAR-11,Shipment,2024-05-28,TRK000000122,205.11,Express,2024-05-28
WH-13,5,CAR-03,Shipment,2024-06-01,TRK000000123,116.88,Express,2024-06-01
WH-13,6,CAR-01,Backorder,2024-06-08,,0.0,,2024-06-08
WH-03,7,CAR-16,Shipment,2024-01-19,TRK000000125,106.88,Express,2024-01-19
WH-03,8,CAR-09,Shipment,2024-01-22,TRK000000126,58.24,Freight,2024-01-22
WH-03,9,CAR-11,Shipment,2024-01-16,TRK000000127,126.93,Ground,2024-01-16
WH-03,10,CAR-11,Cancellation,2024-01-21,TRK000000128,21.02,Freight,2024-01-21
WH-02,6,CAR-05,Shipment,2024-04-21,TRK000000129,107.92,Freight,2024-04-21
WH-06,8,CAR-09,Shipment,2024-05-19,TRK000000130,159.9,Freight,2024-05-19
WH-17,13,CAR-03,Shipment,2023-10-11,TRK000000131,152.39,Express,2023-10-11
WH-17,14,CAR-19,Shipment,2023-11-04,TRK000000132,65.82,Express,2023-11-04
WH-17,15,CAR-11,Shipment,2023-10-16,TRK000000133,21.1,Express,2023-10-16
WH-17,16,CAR-03,Shipment,2023-10-15,TRK000000134,110.93,Freight,2023-10-15
WH-17,17,CAR-08,Return,2023-10-21,TRK000000135,23.47,Ground,2023-10-21
WH-04,3,CAR-01,Shipment,2023-12-19,TRK000000136,54.46,Freight,2023-12-19
WH-04,4,CAR-19,Shipment,2023-12-15,TRK000000137,26.23,Ground,2023-12-15
WH-04,5,CAR-03,Shipment,2023-12-18,TRK000000138,122.19,Ground,2023-12-18
WH-04,6,CAR-19,Return,2024-01-01,TRK000000139,0.85,Ground,2024-01-01
WH-04,7,CAR-03,Backorder,2023-12-31,,0.0,,2023-12-31
WH-01,14,CAR-14,Shipment,2024-02-11,TRK000000141,167.42,Freight,2024-02-11
WH-01,15,CAR-15,Shipment,2024-02-20,TRK000000142,89.47,Freight,2024-02-20
WH-17,18,CAR-05,Shipment,2024-06-08,TRK000000143,187.53,Ground,2024-06-08
WH-04,8,CAR-19,Shipment,2024-06-22,TRK000000144,202.39,Ground,2024-06-22
WH-04,9,CAR-17,Shipment,2024-06-23,TRK000000145,176.76,Ground,2024-06-23
WH-13,7,CAR-11,Shipment,2023-10-12,TRK000000146,138.29,Freight,2023-10-12
WH-13,8,CAR-09,Shipment,2023-10-11,TRK000000147,76.51,Express,2023-10-11
WH-14,6,CAR-12,Shipment,2024-02-21,TRK000000148,150.96,Ground,2024-02-21
WH-14,7,CAR-03,Shipment,2024-03-14,TRK000000149,94.36,Freight,2024-03-14
WH-16,6,CAR-08,Shipment,2024-06-28,TRK000000150,79.35,Freight,2024-06-28
WH-16,7,CAR-06,Shipment,2024-06-28,TRK000000151,131.13,Ground,2024-06-28
WH-16,8,CAR-07,Shipment,2024-07-02,TRK000000152,142.37,Freight,2024-07-02
WH-11,5,CAR-15,Shipment,2024-04-25,TRK000000153,167.63,Express,2024-04-25
WH-11,6,CAR-04,Shipment,2024-04-25,TRK000000154,128.12,Express,2024-04-25
WH-11,7,CAR-08,Shipment,2024-05-25,TRK000000155,92.74,Ground,2024-05-25
WH-14,8,CAR-10,Shipment,2023-11-05,TRK000000156,113.36,Freight,2023-11-05
WH-12,7,CAR-18,Shipment,2023-11-30,TRK000000157,49.39,Freight,2023-11-30
WH-12,8,CAR-10,Shipment,2023-12-01,TRK000000158,201.33,Express,2023-12-01
WH-12,9,CAR-17,Shipment,2023-10-07,TRK000000159,190.56,Express,2023-10-07
WH-12,10,CAR-04,Shipment,2023-10-09,TRK000000160,29.6,Express,2023-10-09
WH-12,11,CAR-13,Shipment,2023-10-17,TRK000000161,200.64,Freight,2023-10-17
WH-12,12,CAR-15,Cancellation,2023-10-19,TRK000000162,5.87,Express,2023-10-19
WH-05,7,CAR-15,Shipment,2024-04-26,TRK000000163,121.51,Freight,2024-04-26
WH-05,8,CAR-01,Backorder,2024-04-27,,0.0,,2024-04-27
WH-01,16,CAR-20,Shipment,2024-06-14,TRK000000165,85.38,Freight,2024-06-14
WH-01,17,CAR-19,Cancellation,2024-06-24,TRK000000166,37.76,Express,2024-06-24
WH-18,7,CAR-02,Shipment,2024-05-28,TRK000000167,94.67,Freight,2024-05-28
WH-18,8,CAR-11,Shipment,2024-05-29,TRK000000168,161.23,Express,2024-05-29
WH-18,9,CAR-08,Backorder,2024-06-03,,0.0,,2024-06-03
WH-18,10,CAR-01,Shipment,2024-05-28,TRK000000170,48.7,Ground,2024-05-28
WH-18,11,CAR-16,Shipment,2024-06-13,TRK000000171,168.61,Freight,2024-06-13
WH-01,18,CAR-07,Shipment,2023-11-12,TRK000000172,108.7,Express,2023-11-12
WH-07,8,CAR-07,Shipment,2024-04-04,TRK000000173,88.93,Express,2024-04-04
WH-02,7,CAR-18,Shipment,2023-10-09,TRK000000174,160.22,Express,2023-10-09
WH-02,8,CAR-20,Backorder,2023-10-19,,0.0,,2023-10-19
WH-18,12,CAR-14,Shipment,2024-06-11,TRK000000176,54.56,Express,2024-06-11
WH-18,13,CAR-20,Shipment,2024-06-11,TRK000000177,183.19,Express,2024-06-11
WH-18,14,CAR-07,Cancellation,2024-06-17,TRK000000178,26.67,Ground,2024-06-17
WH-03,11,CAR-19,Shipment,2024-03-28,TRK000000179,82.29,Express,2024-03-28
WH-03,12,CAR-12,Cancellation,2024-03-30,TRK000000180,11.37,Freight,2024-03-30
WH-03,13,CAR-01,Backorder,2024-03-25,,0.0,,2024-03-28
WH-03,14,CAR-17,Shipment,2024-03-28,TRK000000182,109.29,Freight,2024-03-28
WH-03,15,CAR-01,Return,2024-04-22,TRK000000183,4.53,Express,2024-04-22
WH-11,8,CAR-04,Shipment,2024-02-22,TRK000000184,189.74,Ground,2024-02-22
WH-11,9,CAR-20,Shipment,2024-03-27,TRK000000185,52.02,Ground,2024-03-27
WH-05,9,CAR-14,Shipment,2024-03-29,TRK000000186,9.93,Ground,2024-03-29
WH-05,10,CAR-04,Shipment,2024-04-01,TRK000000187,89.72,Express,2024-04-01
WH-05,11,CAR-17,Shipment,2024-04-01,TRK000000188,121.59,Ground,2024-04-01
WH-15,10,CAR-12,Shipment,2024-04-25,TRK000000189,84.96,Ground,2024-04-25
WH-15,11,CAR-12,Shipment,2024-05-04,TRK000000190,199.49,Express,2024-05-04
WH-15,12,CAR-03,Shipment,2024-04-27,TRK000000191,161.62,Express,2024-04-27
WH-02,9,CAR-02,Shipment,2023-12-26,TRK000000192,197.81,Express,2023-12-26
WH-02,10,CAR-19,Backorder,2024-01-08,,0.0,,2024-01-08
WH-02,11,CAR-10,Shipment,2023-12-23,TRK000000194,16.58,Ground,2023-12-23
WH-02,12,CAR-03,Return,2024-01-07,TRK000000195,31.72,Freight,2024-01-07
WH-12,13,CAR-07,Shipment,2024-03-07,TRK000000196,186.18,Freight,2024-03-07
WH-12,14,CAR-08,Backorder,2024-03-10,,0.0,,2024-03-10
WH-08,17,CAR-08,Shipment,2024-06-08,TRK000000198,84.44,Freight,2024-06-08
WH-08,18,CAR-09,Shipment,2024-06-08,TRK000000199,72.75,Express,2024-06-08
WH-08,19,CAR-08,Shipment,2024-06-12,TRK000000200,191.16,Freight,2024-06-12
WH-07,9,CAR-06,Shipment,2024-03-11,TRK000000201,133.91,Freight,2024-03-11
WH-07,10,CAR-20,Shipment,2024-03-18,TRK000000202,52.94,Express,2024-03-18
WH-07,11,CAR-01,Backorder,2024-03-22,,0.0,,2024-03-22
WH-07,12,CAR-15,Shipment,2024-03-07,TRK000000204,176.19,Freight,2024-03-07
WH-07,13,CAR-12,Backorder,2024-03-13,,0.0,,2024-03-13
WH-13,9,CAR-17,Shipment,2024-03-21,TRK000000206,110.34,Freight,2024-03-21
WH-13,10,CAR-19,Shipment,2024-04-02,TRK000000207,45.92,Express,2024-04-02
WH-14,9,CAR-16,Shipment,2024-01-14,TRK000000208,20.2,Ground,2024-01-14
WH-11,10,CAR-08,Shipment,2023-12-22,TRK000000209,205.93,Freight,2023-12-22
WH-11,11,CAR-11,Shipment,2024-01-06,TRK000000210,47.41,Ground,2024-01-06
WH-12,15,CAR-02,Shipment,2023-12-28,TRK000000211,150.14,Ground,2023-12-28
WH-09,8,CAR-18,Shipment,2023-11-12,TRK000000212,55.05,Ground,2023-11-12
WH-16,9,CAR-07,Shipment,2023-10-22,TRK000000213,53.71,Express,2023-10-22
WH-16,10,CAR-16,Shipment,2023-10-29,TRK000000214,119.71,Express,2023-10-29
WH-16,11,CAR-03,Shipment,2023-10-25,TRK000000215,77.45,Express,2023-10-25
WH-16,12,CAR-05,Shipment,2023-10-22,TRK000000216,168.02,Express,2023-10-22
WH-16,13,CAR-05,Return,2023-10-25,TRK000000217,31.67,Ground,2023-10-25
WH-01,19,CAR-20,Shipment,2023-11-04,TRK000000218,215.87,Ground,2023-11-04
WH-09,9,CAR-01,Shipment,2023-11-12,TRK000000219,55.29,Express,2023-11-12
WH-09,10,CAR-13,Shipment,2023-11-09,TRK000000220,144.38,Freight,2023-11-09
WH-09,11,CAR-16,Shipment,2023-11-09,TRK000000221,182.47,Ground,2023-11-09
WH-09,12,CAR-14,Backorder,2023-11-22,,0.0,,2023-11-22
WH-16,14,CAR-18,Shipment,2023-10-13,TRK000000223,70.08,Freight,2023-10-13
WH-07,14,CAR-14,Shipment,2024-06-29,TRK000000224,104.39,Freight,2024-06-29
WH-07,15,CAR-08,Shipment,2024-07-23,TRK000000225,44.38,Ground,2024-07-23
WH-07,16,CAR-14,Shipment,2024-07-01,TRK000000226,20.92,Express,2024-07-01
WH-07,17,CAR-08,Shipment,2024-07-03,TRK000000227,17.86,Ground,2024-07-03
WH-07,18,CAR-05,Backorder,2024-07-16,,0.0,,2024-07-16
WH-11,12,CAR-09,Shipment,2024-03-08,TRK000000229,46.06,Freight,2024-03-08
WH-11,13,CAR-12,Cancellation,2024-03-12,TRK000000230,12.92,Express,2024-03-12
WH-11,14,CAR-08,Shipment,2024-03-05,TRK000000231,65.32,Express,2024-03-05
WH-01,20,CAR-02,Shipment,2024-06-12,TRK000000232,161.7,Express,2024-06-12
WH-01,21,CAR-19,Return,2024-06-30,TRK000000233,9.37,Freight,2024-06-30
WH-01,22,CAR-17,Shipment,2024-06-11,TRK000000234,207.96,Express,2024-06-11
WH-01,23,CAR-12,Return,2024-06-23,TRK000000235,14.45,Ground,2024-06-23
WH-01,24,CAR-19,Shipment,2024-06-12,TRK000000236,162.12,Ground,2024-06-12
WH-03,16,CAR-02,Shipment,2024-04-03,TRK000000237,94.51,Express,2024-04-03
WH-03,17,CAR-20,Shipment,2024-04-06,TRK000000238,135.98,Ground,2024-04-06
WH-03,18,CAR-04,Cancellation,2024-04-14,TRK000000239,23.89,Express,2024-04-14
WH-08,20,CAR-09,Shipment,2023-11-10,TRK000000240,81.37,Express,2023-11-10
WH-08,21,CAR-06,Shipment,2023-11-07,TRK000000241,39.03,Ground,2023-11-07
WH-08,22,CAR-12,Shipment,2023-11-18,TRK000000242,23.12,Express,2023-11-18
WH-08,23,CAR-03,Backorder,2023-11-20,,0.0,,2023-11-20
WH-01,25,CAR-11,Shipment,2023-12-24,TRK000000244,160.3,Express,2023-12-24
WH-01,26,CAR-12,Shipment,2023-12-23,TRK000000245,66.54,Ground,2023-12-23
WH-01,27,CAR-17,Return,2024-01-11,TRK000000246,2.54,Ground,2024-01-11
WH-01,28,CAR-11,Shipment,2023-12-29,TRK000000247,189.02,Express,2023-12-29
WH-15,13,CAR-17,Shipment,2023-10-26,TRK000000248,27.29,Ground,2023-10-26
WH-05,12,CAR-08,Shipment,2024-05-26,TRK000000249,114.12,Freight,2024-05-26
WH-05,13,CAR-08,Shipment,2024-06-07,TRK000000250,95.06,Ground,2024-06-07
WH-12,16,CAR-16,Shipment,2024-06-10,TRK000000251,130.29,Ground,2024-06-10
WH-12,17,CAR-04,Backorder,2024-06-20,,0.0,,2024-06-20
WH-05,14,CAR-03,Shipment,2024-04-08,TRK000000253,187.94,Ground,2024-04-08
WH-05,15,CAR-04,Shipment,2024-04-25,TRK000000254,160.61,Ground,2024-04-25
WH-08,24,CAR-07,Shipment,2024-02-21,TRK000000255,185.0,Ground,2024-02-21
WH-08,25,CAR-13,Shipment,2024-02-21,TRK000000256,8.4,Ground,2024-02-21
WH-09,13,CAR-15,Shipment,2023-12-22,TRK000000257,125.29,Freight,2023-12-22
WH-09,14,CAR-15,Shipment,2024-01-05,TRK000000258,49.96,Ground,2024-01-05
WH-09,15,CAR-09,Shipment,2023-12-24,TRK000000259,84.02,Ground,2023-12-24
WH-04,10,CAR-03,Shipment,2023-10-19,TRK000000260,30.28,Express,2023-10-19
WH-04,11,CAR-18,Shipment,2023-11-09,TRK000000261,143.76,Express,2023-11-09
WH-04,12,CAR-18,Shipment,2023-10-25,TRK000000262,176.69,Express,2023-10-25
WH-04,13,CAR-14,Return,2024-05-06,TRK000000263,16.41,Ground,2024-05-06
WH-04,14,CAR-15,Shipment,2023-10-19,TRK000000264,181.95,Freight,2023-10-19
WH-05,16,CAR-01,Shipment,2023-11-21,TRK000000265,133.48,Freight,2023-11-21
WH-05,17,CAR-01,Return,2023-11-23,TRK000000266,7.53,Freight,2023-11-23
WH-13,11,CAR-09,Shipment,2024-01-20,TRK000000267,109.18,Express,2024-01-20
WH-13,12,CAR-13,Shipment,2024-01-22,TRK000000268,201.04,Express,2024-01-22
WH-13,13,CAR-18,Backorder,2024-01-29,,0.0,,2024-01-29
WH-13,14,CAR-06,Backorder,2024-01-20,,0.0,,2024-01-19
WH-07,19,CAR-11,Shipment,2023-11-13,TRK000000271,216.57,Ground,2023-11-13
WH-05,18,CAR-07,Shipment,2024-02-07,TRK000000272,13.55,Ground,2024-02-07
WH-14,10,CAR-06,Shipment,2023-11-14,TRK000000273,22.68,Ground,2023-11-14
WH-14,11,CAR-15,Shipment,2024-04-19,TRK000000274,88.09,Express,2024-04-19
WH-03,19,CAR-04,Shipment,2024-06-25,TRK000000275,107.49,Express,2024-06-25
WH-10,3,CAR-06,Shipment,2024-02-13,TRK000000276,168.35,Express,2024-02-13
WH-10,4,CAR-04,Backorder,2024-02-14,,0.0,,2024-02-14
WH-13,15,CAR-11,Shipment,2024-05-26,TRK000000278,161.03,Express,2024-05-26
WH-04,15,CAR-15,Shipment,2023-12-20,TRK000000279,156.9,Freight,2023-12-20
WH-08,26,CAR-07,Shipment,2024-01-23,TRK000000280,114.29,Express,2024-01-23
WH-08,27,CAR-08,Shipment,2024-02-03,TRK000000281,54.93,Freight,2024-02-03
WH-08,28,CAR-07,Return,2024-02-06,TRK000000282,36.76,Express,2024-02-06
WH-08,29,CAR-20,Shipment,2024-01-19,TRK000000283,27.1,Ground,2024-01-19
WH-10,5,CAR-02,Shipment,2024-04-08,TRK000000284,97.31,Freight,2024-04-08
WH-10,6,CAR-16,Shipment,2024-04-26,TRK000000285,118.96,Express,2024-04-26
WH-10,7,CAR-07,Shipment,2024-04-10,TRK000000286,181.17,Express,2024-04-10
WH-10,8,CAR-09,Return,2024-04-27,TRK000000287,26.55,Express,2024-04-27
WH-10,9,CAR-06,Shipment,2024-05-17,TRK000000288,204.19,Express,2024-05-17
WH-10,10,CAR-03,Shipment,2024-06-02,TRK000000289,219.68,Freight,2024-06-02
WH-10,11,CAR-05,Shipment,2024-05-20,TRK000000290,85.28,Express,2024-05-20
WH-18,15,CAR-04,Shipment,2024-02-08,TRK000000291,67.53,Ground,2024-02-08
WH-01,29,CAR-14,Shipment,2024-02-17,TRK000000292,166.89,Express,2024-02-17
WH-01,30,CAR-16,Shipment,2024-03-01,TRK000000293,154.65,Ground,2024-03-01
WH-01,31,CAR-13,Backorder,2024-03-12,,0.0,,2024-03-12
WH-06,9,CAR-20,Shipment,2024-02-02,TRK000000295,59.46,Ground,2024-02-02
WH-06,10,CAR-08,Backorder,2024-02-10,,0.0,,2024-02-10
WH-10,12,CAR-18,Backorder,2024-06-04,,0.0,,2024-06-02
WH-02,13,CAR-04,Shipment,2024-03-16,TRK000000298,43.05,Express,2024-03-16
WH-02,14,CAR-15,Shipment,2024-03-14,TRK000000299,121.6,Express,2024-03-14
WH-02,15,CAR-05,Cancellation,2024-03-24,TRK000000300,6.45,Ground,2024-03-24
WH-13,16,CAR-06,Shipment,2023-11-19,TRK000000301,13.47,Ground,2023-11-19
WH-13,17,CAR-02,Shipment,2023-11-23,TRK000000302,177.9,Express,2023-11-23
WH-13,18,CAR-06,Shipment,2023-12-01,TRK000000303,206.05,Ground,2023-12-01
WH-13,19,CAR-11,Shipment,2023-11-20,TRK000000304,181.78,Ground,2023-11-20
