shipment_id,order_id,line_id,warehouse_id,carrier_id,transaction_type,quantity,event_date,tracking_number,freight_cost,carrier_service_level,created_at
SHP-0000174,ORD-000073,2,WH-18,CAR-05,Return,-153,2024-04-23,TRK000000174,38.28,Freight,2024-04-23
SHP-0000175,ORD-000074,1,WH-03,CAR-11,Shipment,63,2024-03-28,TRK000000175,39.12,Express,2024-03-28
SHP-0000176,ORD-000074,2,WH-03,CAR-17,Shipment,215,2024-03-28,TRK000000176,19.07,Express,2024-03-28
SHP-0000177,ORD-000074,3,WH-03,CAR-03,Shipment,106,2024-03-23,TRK000000177,121.89,Freight,2024-03-23
SHP-0000178,ORD-000075,1,WH-11,CAR-18,Shipment,150,2024-02-22,TRK000000178,78.25,Express,2024-02-22
SHP-0000179,ORD-000075,1,WH-11,CAR-19,Shipment,209,2024-03-11,TRK000000179,208.13,Express,2024-03-11
SHP-0000180,ORD-000076,1,WH-11,CAR-02,Shipment,211,2024-03-23,TRK000000180,94.67,Freight,2024-03-23
SHP-0000181,ORD-000077,1,WH-05,CAR-15,Shipment,30,2024-03-30,TRK000000181,119.24,Express,2024-03-30
SHP-0000182,ORD-000077,2,WH-05,CAR-07,Shipment,71,2024-03-31,TRK000000182,152.43,Express,2024-03-31
SHP-0000183,ORD-000077,2,WH-05,CAR-03,Shipment,55,2024-04-10,TRK000000183,62.6,Express,2024-04-10
SHP-0000184,ORD-000077,3,WH-05,CAR-19,Shipment,11,2024-03-26,TRK000000184,205.0,Ground,2024-03-26
SHP-0000185,ORD-000078,1,WH-15,CAR-08,Shipment,461,2024-04-24,TRK000000185,108.7,Ground,2024-04-24
SHP-0000186,ORD-000078,2,WH-15,CAR-20,Shipment,477,2024-04-24,TRK000000186,88.93,Express,2024-04-24
SHP-0000187,ORD-000079,1,WH-02,CAR-13,Shipment,11,2023-12-25,TRK000000187,125.69,Freight,2023-12-25
SHP-0000188,ORD-000079,2,WH-02,CAR-20,Shipment,117,2023-12-26,TRK000000188,56.66,Express,2023-12-26
SHP-0000189,ORD-000079,2,WH-02,CAR-11,Shipment,129,2024-01-12,TRK000000189,146.28,Express,2024-01-12
SHP-0000190,ORD-000080,1,WH-12,CAR-07,Shipment,450,2024-03-08,TRK000000190,51.25,Express,2024-03-08
SHP-0000191,ORD-000081,1,WH-08,CAR-06,Shipment,252,2024-06-11,TRK000000191,109.53,Freight,2024-06-11
SHP-0000192,ORD-000081,1,WH-08,CAR-06,Shipment,122,2024-07-02,TRK000000192,149.36,Ground,2024-07-02
SHP-0000193,ORD-000081,2,WH-08,CAR-12,Shipment,248,2024-06-14,TRK000000193,100.53,Freight,2024-06-14
SHP-0000194,ORD-000081,2,WH-08,CAR-01,Cancellation,-248,2024-06-22,TRK000000194,11.37,Express,2024-06-22
SHP-0000195,ORD-000081,3,WH-08,CAR-01,Shipment,284,2024-06-08,TRK000000195,181.53,Ground,2024-06-08
SHP-0000196,ORD-000082,1,WH-07,CAR-20,Shipment,411,2024-03-12,TRK000000196,23.61,Ground,2024-03-12
SHP-0000197,ORD-000082,2,WH-07,CAR-02,Shipment,468,2024-03-09,TRK000000197,123.94,Freight,2024-03-09
SHP-0000198,ORD-000083,1,WH-13,CAR-20,Shipment,20,2024-03-16,TRK000000198,189.74,Ground,2024-03-16
SHP-0000199,ORD-000084,1,WH-14,CAR-10,Shipment,204,2024-01-18,TRK000000199,214.87,Freight,2024-01-18
SHP-0000200,ORD-000085,1,WH-11,CAR-11,Shipment,9,2023-12-22,TRK000000200,68.57,Freight,2023-12-22
SHP-0000201,ORD-000087,1,WH-09,CAR-19,Shipment,11,2023-11-18,TRK000000201,150.26,Freight,2023-11-18
SHP-0000202,ORD-000088,1,WH-16,CAR-06,Shipment,293,2023-10-22,TRK000000202,76.01,Express,2023-10-22
SHP-0000203,ORD-000088,2,WH-16,CAR-10,Shipment,465,2023-10-21,TRK000000203,95.09,Express,2023-10-21
SHP-0000204,ORD-000088,3,WH-16,CAR-04,Shipment,406,2023-10-23,TRK000000204,84.96,Express,2023-10-23
SHP-0000205,ORD-000089,1,WH-01,CAR-20,Shipment,446,2023-10-31,TRK000000205,194.31,Freight,2023-10-31
SHP-0000206,ORD-000090,1,WH-09,CAR-12,Shipment,192,2023-11-09,TRK000000206,95.34,Express,2023-11-09
SHP-0000207,ORD-000090,2,WH-09,CAR-07,Shipment,296,2023-11-13,TRK000000207,9.82,Freight,2023-11-13
SHP-0000208,ORD-000090,2,WH-09,CAR-15,Shipment,146,2023-12-04,TRK000000208,67.15,Freight,2023-12-04
SHP-0000209,ORD-000090,3,WH-09,CAR-01,Shipment,128,2023-11-15,TRK000000209,18.31,Freight,2023-11-15
SHP-0000210,ORD-000092,1,WH-07,CAR-01,Shipment,88,2024-07-02,TRK000000210,58.85,Ground,2024-07-02
SHP-0000211,ORD-000092,1,WH-07,CAR-06,Shipment,49,2024-07-23,TRK000000211,93.87,Ground,2024-07-23
SHP-0000212,ORD-000092,2,WH-07,CAR-08,Shipment,16,2024-07-03,TRK000000212,205.72,Ground,2024-07-03
SHP-0000213,ORD-000092,2,WH-07,CAR-12,Shipment,8,2024-07-10,TRK000000213,83.7,Freight,2024-07-10
SHP-0000214,ORD-000092,2,WH-07,CAR-09,Return,-12,2024-07-18,TRK000000214,12.22,Express,2024-07-18
SHP-0000215,ORD-000092,3,WH-07,CAR-15,Shipment,279,2024-07-01,TRK000000215,143.1,Express,2024-07-01
SHP-0000216,ORD-000093,1,WH-11,CAR-13,Shipment,499,2024-03-05,TRK000000216,61.55,Express,2024-03-05
SHP-0000217,ORD-000093,1,WH-11,CAR-20,Return,-499,2024-03-20,TRK000000217,8.48,Express,2024-03-20
SHP-0000218,ORD-000093,2,WH-11,CAR-02,Shipment,85,2024-03-04,TRK000000218,93.56,Express,2024-03-04
