touchpoint_id,user_id,channel,timestamp,touchpoint_type
TP011465,U1188,organic_social,2024-01-03 05:51:59,impression
TP005975,U0623,organic_social,2024-01-03 06:09:36,click
TP010758,U1120,display,2024-01-03 06:50:11,click
TP010786,U1123,paid_search,2024-01-03 07:57:11,click
TP011455,U1188,organic_social,2024-01-03 08:10:11,click
TP004103,U0428,display,2024-01-03 09:01:38,impression
TP005418,U0562,paid_search,2024-01-03 11:56:32,click
TP005373,U0556,paid_search,2024-01-03 12:33:37,impression
TP011303,U1173,paid_search,2024-01-03 13:07:16,click
TP009434,U0977,display,2024-01-03 13:50:28,click
TP002302,U0233,organic_social,2024-01-03 14:34:08,click
TP010495,U1094,paid_search,2024-01-03 14:47:36,click
TP011464,U1188,paid_search,2024-01-03 15:06:02,impression
TP001524,U0154,paid_search,2024-01-03 15:26:43,impression
TP006388,U0664,display,2024-01-03 15:48:14,click
TP009435,U0977,direct,2024-01-03 16:37:05,click
TP002303,U0233,direct,2024-01-03 17:57:25,click
TP003913,U0407,paid_search,2024-01-03 18:10:48,impression
TP004267,U0446,organic_social,2024-01-03 18:22:46,click
TP010452,U1089,email,2024-01-03 20:00:27,click
TP000274,U0028,paid_search,2024-01-03 20:20:45,click
TP010912,U1134,email,2024-01-03 20:27:03,impression
TP000606,U0064,email,2024-01-03 20:34:03,impression
TP010370,U1080,paid_search,2024-01-03 21:00:46,impression
TP004118,U0430,direct,2024-01-03 21:02:33,click
TP006389,U0664,paid_search,2024-01-03 21:21:27,click
TP003907,U0407,display,2024-01-03 22:04:27,click
TP006048,U0629,paid_search,2024-01-03 22:28:15,click
TP004268,U0446,direct,2024-01-03 22:35:20,click
TP002310,U0233,paid_search,2024-01-03 22:35:44,impression
TP010937,U1137,paid_search,2024-01-04 00:15:22,click
TP008324,U0866,email,2024-01-04 00:50:53,impression
TP004187,U0438,display,2024-01-04 01:46:45,click
TP005976,U0623,display,2024-01-04 01:55:01,click
TP003908,U0407,direct,2024-01-04 02:28:09,click
TP004269,U0446,email,2024-01-04 02:38:42,click
TP002443,U0248,display,2024-01-04 02:59:14,impression
TP003194,U0331,email,2024-01-04 03:00:09,click
TP003777,U0394,paid_search,2024-01-04 03:28:50,click
TP010938,U1137,direct,2024-01-04 03:54:56,click
TP003968,U0414,organic_social,2024-01-04 04:59:35,click
TP002639,U0270,organic_social,2024-01-04 05:05:36,click
TP006393,U0664,paid_search,2024-01-04 06:14:31,impression
TP004529,U0469,paid_search,2024-01-04 06:54:39,impression
TP008586,U0896,display,2024-01-04 07:37:08,impression
TP010715,U1116,paid_search,2024-01-04 07:54:51,click
TP004181,U0436,email,2024-01-04 08:22:13,impression
TP011456,U1188,organic_social,2024-01-04 08:59:51,click
TP010904,U1134,organic_social,2024-01-04 09:26:52,click
TP004366,U0454,email,2024-01-04 13:17:39,click
TP010623,U1107,display,2024-01-04 14:29:48,click
TP004270,U0446,display,2024-01-04 14:44:40,click
TP011304,U1173,display,2024-01-04 14:52:41,click
TP011519,U1193,organic_social,2024-01-04 15:37:52,click
TP010372,U1080,email,2024-01-04 15:41:14,impression
TP000275,U0028,organic_social,2024-01-04 16:28:59,click
TP005422,U0562,organic_social,2024-01-04 17:20:20,impression
TP006745,U0704,paid_search,2024-01-04 18:01:13,impression
TP003411,U0354,paid_search,2024-01-04 18:18:33,click
TP002974,U0306,email,2024-01-04 19:48:26,click
TP005977,U0623,email,2024-01-04 20:25:58,click
TP000617,U0065,email,2024-01-05 00:04:49,click
TP002898,U0298,email,2024-01-05 00:34:48,click
TP009815,U1020,display,2024-01-05 00:52:10,click
TP004699,U0487,organic_social,2024-01-05 01:43:27,click
TP010496,U1094,display,2024-01-05 02:04:49,click
TP008166,U0850,organic_social,2024-01-05 02:07:07,click
TP008499,U0887,paid_search,2024-01-05 02:11:07,impression
TP008497,U0887,paid_search,2024-01-05 03:21:47,impression
TP010157,U1058,display,2024-01-05 03:29:01,click
TP001480,U0150,paid_search,2024-01-05 03:29:14,impression
TP004271,U0446,email,2024-01-05 03:29:41,click
TP004127,U0431,paid_search,2024-01-05 04:08:15,click
TP011457,U1188,organic_social,2024-01-05 04:38:43,click
TP001222,U0126,paid_search,2024-01-05 05:27:44,click
TP009887,U1027,paid_search,2024-01-05 05:33:39,impression
TP001866,U0190,paid_search,2024-01-05 05:42:03,click
TP004210,U0440,display,2024-01-05 05:54:17,click
TP005198,U0539,organic_social,2024-01-05 06:19:01,click
TP001198,U0123,paid_search,2024-01-05 06:30:28,click
TP004188,U0438,paid_search,2024-01-05 06:52:19,click
TP003412,U0354,paid_search,2024-01-05 07:44:31,click
TP009888,U1027,paid_search,2024-01-05 08:06:54,impression
TP005401,U0560,organic_social,2024-01-05 08:21:24,click
TP000596,U0064,paid_search,2024-01-05 08:22:03,click
TP004211,U0440,direct,2024-01-05 09:13:52,click
TP004367,U0454,display,2024-01-05 10:09:36,click
TP010363,U1080,paid_search,2024-01-05 10:21:07,click
TP005402,U0560,direct,2024-01-05 10:51:12,click
TP004272,U0446,email,2024-01-05 11:21:05,click
TP002623,U0269,organic_social,2024-01-05 11:22:56,click
TP006576,U0685,paid_search,2024-01-05 11:49:50,impression
TP010910,U1134,email,2024-01-05 13:53:27,impression
TP001773,U0180,paid_search,2024-01-05 13:54:14,impression
TP009134,U0950,organic_social,2024-01-05 14:28:58,click
TP004438,U0460,display,2024-01-05 15:41:56,click
TP003909,U0407,paid_search,2024-01-05 15:49:01,click
TP011466,U1188,email,2024-01-05 15:51:51,impression
TP011040,U1147,email,2024-01-05 16:20:14,click
TP003910,U0407,direct,2024-01-05 16:22:57,click
TP004439,U0460,paid_search,2024-01-05 16:42:06,click
TP005278,U0547,paid_search,2024-01-05 16:50:21,impression
TP010364,U1080,paid_search,2024-01-05 17:20:11,click
TP011041,U1147,direct,2024-01-05 18:41:10,click
TP004440,U0460,direct,2024-01-05 19:29:12,click
TP001472,U0150,email,2024-01-05 19:31:51,click
TP010716,U1116,email,2024-01-05 20:02:20,click
TP007432,U0773,display,2024-01-05 20:15:21,click
TP008413,U0877,paid_search,2024-01-05 20:57:38,click
TP010717,U1116,direct,2024-01-05 21:07:11,click
TP009823,U1020,display,2024-01-05 23:03:41,impression
TP009436,U0977,paid_search,2024-01-05 23:04:09,click
TP010497,U1094,paid_search,2024-01-05 23:22:45,click
TP000200,U0020,email,2024-01-06 00:49:36,click
TP004212,U0440,email,2024-01-06 00:53:36,click
TP006158,U0638,display,2024-01-06 01:15:11,impression
TP008840,U0922,email,2024-01-06 01:20:57,click
TP010905,U1134,email,2024-01-06 01:34:11,click
TP008167,U0850,paid_search,2024-01-06 01:52:23,click
TP004240,U0443,email,2024-01-06 02:13:35,click
TP011458,U1188,paid_search,2024-01-06 02:34:04,click
TP005369,U0556,email,2024-01-06 03:22:12,click
TP010274,U1071,email,2024-01-06 03:35:22,click
TP004189,U0438,organic_social,2024-01-06 03:36:46,click
TP004125,U0430,display,2024-01-06 03:59:59,impression
TP008460,U0881,email,2024-01-06 04:15:31,impression
TP010275,U1071,display,2024-01-06 04:28:24,click
TP004512,U0468,paid_search,2024-01-06 05:18:27,click
TP004273,U0446,email,2024-01-06 05:31:21,click
TP009824,U1020,email,2024-01-06 05:44:43,impression
TP006525,U0678,organic_social,2024-01-06 06:04:18,impression
TP005403,U0560,direct,2024-01-06 06:16:19,click
TP003916,U0408,paid_search,2024-01-06 07:14:12,click
TP004241,U0443,organic_social,2024-01-06 07:36:58,click
TP004274,U0446,paid_search,2024-01-06 07:49:27,click
TP006816,U0711,email,2024-01-06 08:13:37,click
TP011305,U1173,display,2024-01-06 08:19:30,click
TP009635,U0999,display,2024-01-06 08:27:48,click
TP004513,U0468,direct,2024-01-06 08:41:09,click
TP004242,U0443,email,2024-01-06 10:11:27,click
TP008645,U0901,email,2024-01-06 10:17:23,click
TP001196,U0122,email,2024-01-06 10:23:58,impression
TP004275,U0446,direct,2024-01-06 10:41:15,click
TP004100,U0428,organic_social,2024-01-06 10:52:55,click
TP000597,U0064,organic_social,2024-01-06 11:02:19,click
TP001223,U0126,paid_search,2024-01-06 11:44:58,click
TP010638,U1109,organic_social,2024-01-06 11:51:41,click
TP010263,U1069,display,2024-01-06 12:21:10,click
TP002850,U0293,paid_search,2024-01-06 12:27:15,click
TP011230,U1167,display,2024-01-06 12:30:40,click
TP003413,U0354,display,2024-01-06 12:53:42,click
TP001867,U0190,paid_search,2024-01-06 12:57:25,click
TP005766,U0600,display,2024-01-06 13:12:34,click
TP005419,U0562,email,2024-01-06 13:51:49,click
TP011231,U1167,direct,2024-01-06 14:07:33,click
TP005420,U0562,direct,2024-01-06 14:50:24,click
TP000135,U0014,email,2024-01-06 14:56:02,click
TP010158,U1058,organic_social,2024-01-06 14:57:42,click
TP009642,U0999,organic_social,2024-01-06 15:06:54,impression
TP004243,U0443,organic_social,2024-01-06 15:16:34,click
TP005274,U0547,display,2024-01-06 15:30:42,click
TP010365,U1080,paid_search,2024-01-06 16:04:10,click
TP008635,U0900,paid_search,2024-01-06 16:12:46,click
TP005597,U0583,display,2024-01-06 16:22:47,click
TP001518,U0154,paid_search,2024-01-06 16:48:15,click
TP010276,U1071,display,2024-01-06 17:15:41,click
TP005767,U0600,paid_search,2024-01-06 17:25:33,click
TP005555,U0578,email,2024-01-06 17:49:16,click
TP004244,U0443,organic_social,2024-01-06 18:05:03,click
TP006824,U0711,organic_social,2024-01-06 18:12:19,impression
TP004652,U0483,paid_search,2024-01-06 18:18:44,click
TP006743,U0704,organic_social,2024-01-06 18:25:30,impression
TP001671,U0171,display,2024-01-06 18:37:17,click
TP004368,U0454,paid_search,2024-01-06 19:07:32,click
TP006390,U0664,email,2024-01-06 19:15:42,click
TP005556,U0578,direct,2024-01-06 19:18:09,click
TP004245,U0443,organic_social,2024-01-06 19:34:20,click
TP003778,U0394,email,2024-01-06 19:45:39,click
TP003011,U0309,organic_social,2024-01-06 19:53:02,impression
TP004369,U0454,direct,2024-01-06 20:00:23,click
TP008612,U0899,display,2024-01-06 20:12:47,click
TP003266,U0340,paid_search,2024-01-06 20:15:02,click
TP006148,U0638,organic_social,2024-01-06 20:19:36,click
TP009816,U1020,display,2024-01-06 20:25:37,click
TP005598,U0583,direct,2024-01-06 20:34:20,click
TP010610,U1106,display,2024-01-06 20:47:53,click
TP001519,U0154,direct,2024-01-06 21:14:29,click
TP010277,U1071,direct,2024-01-06 21:46:18,click
TP000201,U0020,email,2024-01-06 21:56:28,click
TP004470,U0462,display,2024-01-06 22:13:09,impression
TP007990,U0830,paid_search,2024-01-06 22:15:05,impression
TP011198,U1163,paid_search,2024-01-06 22:19:31,click
TP006149,U0638,display,2024-01-06 22:32:17,click
TP006724,U0702,display,2024-01-06 22:49:53,click
TP000316,U0031,organic_social,2024-01-06 23:14:13,impression
TP008073,U0840,display,2024-01-06 23:47:03,click
TP006725,U0702,direct,2024-01-06 23:55:35,click
TP010965,U1140,email,2024-01-07 00:05:21,click
TP010939,U1137,paid_search,2024-01-07 00:54:09,click
TP010940,U1137,email,2024-01-07 01:35:27,click
TP011232,U1167,display,2024-01-07 02:23:05,click
TP008848,U0922,display,2024-01-07 02:44:59,impression
TP001868,U0190,display,2024-01-07 03:03:06,click
TP011544,U1196,paid_search,2024-01-07 03:29:14,click
TP006150,U0638,paid_search,2024-01-07 03:31:46,click
TP000301,U0031,email,2024-01-07 04:03:48,click
TP010911,U1134,organic_social,2024-01-07 04:16:03,impression
TP009135,U0950,paid_search,2024-01-07 04:31:20,click
TP005567,U0579,email,2024-01-07 04:48:10,impression
TP001766,U0180,display,2024-01-07 04:57:08,click
TP000302,U0031,direct,2024-01-07 05:04:40,click
TP009013,U0939,organic_social,2024-01-07 05:29:39,click
TP008613,U0899,display,2024-01-07 05:34:50,click
TP006391,U0664,display,2024-01-07 05:38:40,click
TP006392,U0664,email,2024-01-07 05:40:19,impression
TP009832,U1021,paid_search,2024-01-07 05:50:44,impression
TP005421,U0562,display,2024-01-07 06:24:10,impression
TP008614,U0899,direct,2024-01-07 07:28:38,click
TP010941,U1137,email,2024-01-07 08:22:13,click
TP011233,U1167,display,2024-01-07 08:28:40,click
TP004246,U0443,email,2024-01-07 08:32:42,click
TP004589,U0476,paid_search,2024-01-07 08:33:47,impression
TP010906,U1134,organic_social,2024-01-07 09:13:21,click
TP004370,U0454,paid_search,2024-01-07 09:30:21,click
TP010135,U1056,paid_search,2024-01-07 09:44:35,click
TP006185,U0641,email,2024-01-07 10:00:23,impression
TP001250,U0129,organic_social,2024-01-07 10:11:08,click
TP005562,U0578,display,2024-01-07 10:16:36,impression
TP009817,U1020,paid_search,2024-01-07 10:24:18,click
TP010942,U1137,direct,2024-01-07 10:37:22,click
TP000608,U0064,display,2024-01-07 10:53:33,impression
TP004247,U0443,email,2024-01-07 10:56:53,click
TP008278,U0861,paid_search,2024-01-07 10:57:50,click
TP004871,U0506,email,2024-01-07 11:03:02,click
TP008320,U0866,paid_search,2024-01-07 11:37:09,click
TP001197,U0122,organic_social,2024-01-07 11:37:46,impression
TP007960,U0826,email,2024-01-07 11:55:35,impression
TP010278,U1071,display,2024-01-07 12:36:26,click
TP006394,U0664,email,2024-01-07 12:39:07,impression
TP000598,U0064,organic_social,2024-01-07 13:01:14,click
TP006726,U0702,email,2024-01-07 13:01:50,click
TP004248,U0443,direct,2024-01-07 13:07:20,click
TP002899,U0298,paid_search,2024-01-07 13:24:33,click
TP010943,U1137,paid_search,2024-01-07 13:52:21,click
TP004371,U0454,paid_search,2024-01-07 14:25:59,click
TP008179,U0850,paid_search,2024-01-07 14:39:05,impression
TP000599,U0064,direct,2024-01-07 14:43:54,click
TP006895,U0721,display,2024-01-07 14:56:37,click
TP010639,U1109,paid_search,2024-01-07 15:39:02,click
TP001154,U0119,organic_social,2024-01-07 15:42:47,click
TP001077,U0110,display,2024-01-07 16:22:41,click
TP003316,U0345,paid_search,2024-01-07 16:35:15,click
TP000607,U0064,organic_social,2024-01-07 16:42:10,impression
TP010909,U1134,paid_search,2024-01-07 16:53:20,impression
TP010907,U1134,organic_social,2024-01-07 17:12:56,click
TP001190,U0122,display,2024-01-07 17:42:23,click
TP005199,U0539,email,2024-01-07 18:27:18,click
TP008841,U0922,email,2024-01-07 18:35:19,click
TP008289,U0861,paid_search,2024-01-07 18:43:30,impression
TP008498,U0887,paid_search,2024-01-07 19:07:56,impression
TP008168,U0850,email,2024-01-07 19:12:22,click
TP001078,U0110,direct,2024-01-07 19:18:59,click
TP000303,U0031,paid_search,2024-01-07 19:29:16,click
TP001231,U0126,email,2024-01-07 19:35:12,impression
TP001155,U0119,direct,2024-01-07 19:50:27,click
TP005673,U0590,email,2024-01-07 19:51:38,impression
TP000304,U0031,direct,2024-01-07 20:14:10,click
TP008169,U0850,direct,2024-01-07 20:15:46,click
TP008279,U0861,email,2024-01-07 20:35:53,click
TP010640,U1109,paid_search,2024-01-07 20:46:13,click
TP004105,U0428,display,2024-01-07 21:02:30,impression
TP004172,U0436,email,2024-01-07 22:48:25,click
TP005869,U0613,display,2024-01-07 23:05:19,click
TP003243,U0337,email,2024-01-07 23:23:41,click
TP000305,U0031,display,2024-01-07 23:26:15,click
TP011306,U1173,paid_search,2024-01-07 23:27:52,click
TP005712,U0595,paid_search,2024-01-07 23:36:05,click
TP002624,U0269,organic_social,2024-01-07 23:47:16,click
TP001159,U0119,display,2024-01-08 00:02:53,impression
TP003529,U0368,email,2024-01-08 00:04:32,click
TP005661,U0590,display,2024-01-08 00:43:12,click
TP009862,U1024,paid_search,2024-01-08 01:11:52,impression
TP002625,U0269,direct,2024-01-08 01:18:21,click
TP010498,U1094,paid_search,2024-01-08 01:26:24,click
TP010159,U1058,email,2024-01-08 01:46:57,click
TP010966,U1140,email,2024-01-08 02:11:09,click
TP009025,U0939,paid_search,2024-01-08 02:18:01,impression
TP001672,U0171,email,2024-01-08 02:31:38,click
TP005870,U0613,direct,2024-01-08 02:44:34,click
TP010967,U1140,direct,2024-01-08 02:52:04,click
TP000618,U0065,paid_search,2024-01-08 03:38:12,click
TP003673,U0381,display,2024-01-08 04:26:01,impression
TP006568,U0685,organic_social,2024-01-08 04:28:34,click
TP001251,U0129,organic_social,2024-01-08 04:31:16,click
TP010641,U1109,paid_search,2024-01-08 05:14:17,click
TP010759,U1120,display,2024-01-08 06:38:31,click
TP004514,U0468,organic_social,2024-01-08 06:44:34,click
TP005978,U0623,paid_search,2024-01-08 06:45:27,click
TP010417,U1086,paid_search,2024-01-08 07:11:11,click
TP004119,U0430,email,2024-01-08 07:44:22,click
TP008626,U0899,email,2024-01-08 08:15:26,impression
TP000619,U0065,direct,2024-01-08 08:30:51,click
TP005662,U0590,display,2024-01-08 08:34:17,click
TP011234,U1167,display,2024-01-08 09:11:09,click
TP003663,U0381,organic_social,2024-01-08 09:21:48,click
TP008643,U0900,display,2024-01-08 09:27:46,impression
TP009818,U1020,paid_search,2024-01-08 09:35:07,click
TP003530,U0368,display,2024-01-08 09:46:01,click
TP001038,U0106,paid_search,2024-01-08 09:51:20,click
TP000493,U0053,organic_social,2024-01-08 09:51:25,click
TP001039,U0106,paid_search,2024-01-08 10:25:08,click
TP007954,U0826,paid_search,2024-01-08 10:42:56,click
TP004249,U0443,email,2024-01-08 10:48:51,click
TP009819,U1020,organic_social,2024-01-08 11:17:13,click
TP001774,U0180,display,2024-01-08 11:18:19,impression
TP003664,U0381,direct,2024-01-08 11:20:17,click
TP010082,U1051,display,2024-01-08 11:26:39,click
TP011235,U1167,direct,2024-01-08 11:28:50,click
TP008615,U0899,paid_search,2024-01-08 11:29:42,click
TP008468,U0883,paid_search,2024-01-08 11:30:58,click
TP009821,U1020,email,2024-01-08 11:36:01,click
TP011523,U1193,email,2024-01-08 12:14:56,impression
TP009820,U1020,direct,2024-01-08 12:16:38,click
TP000848,U0087,organic_social,2024-01-08 12:32:13,impression
TP009822,U1020,organic_social,2024-01-08 12:39:55,click
TP008170,U0850,organic_social,2024-01-08 12:51:51,click
TP002070,U0210,email,2024-01-08 12:56:39,click
TP010908,U1134,organic_social,2024-01-08 13:17:24,click
TP001683,U0171,display,2024-01-08 13:30:52,impression
TP001444,U0147,organic_social,2024-01-08 13:34:26,click
TP006427,U0669,paid_search,2024-01-08 13:41:40,impression
TP010144,U1056,email,2024-01-08 13:44:28,impression
TP010749,U1118,email,2024-01-08 13:45:47,impression
TP010418,U1086,email,2024-01-08 13:56:00,click
TP000306,U0031,email,2024-01-08 13:58:58,click
TP003004,U0309,paid_search,2024-01-08 14:02:02,click
TP004653,U0483,organic_social,2024-01-08 14:03:15,click
TP007955,U0826,direct,2024-01-08 14:09:26,click
TP004173,U0436,email,2024-01-08 14:17:43,click
TP009209,U0957,display,2024-01-08 14:48:10,click
TP004250,U0443,paid_search,2024-01-08 14:58:13,impression
TP005006,U0520,paid_search,2024-01-08 15:01:20,click
TP011307,U1173,email,2024-01-08 15:36:47,click
TP005672,U0590,organic_social,2024-01-08 15:52:08,impression
TP005626,U0585,organic_social,2024-01-08 15:58:08,impression
TP002071,U0210,direct,2024-01-08 15:58:21,click
TP005008,U0520,paid_search,2024-01-08 16:02:40,click
TP008074,U0840,display,2024-01-08 16:18:34,click
TP006759,U0706,display,2024-01-08 16:23:35,click
TP009852,U1024,display,2024-01-08 16:27:01,click
TP005007,U0520,direct,2024-01-08 16:31:24,click
TP011552,U1196,paid_search,2024-01-08 16:33:41,impression
TP010366,U1080,organic_social,2024-01-08 16:48:52,click
TP010420,U1086,email,2024-01-08 17:05:04,click
TP005009,U0520,direct,2024-01-08 17:14:29,click
TP004515,U0468,paid_search,2024-01-08 17:34:57,click
TP010419,U1086,direct,2024-01-08 17:36:18,click
TP007590,U0787,email,2024-01-08 17:45:09,impression
TP008454,U0881,paid_search,2024-01-08 18:04:04,click
TP009136,U0950,organic_social,2024-01-08 18:06:31,click
TP004124,U0430,paid_search,2024-01-08 18:31:47,impression
TP008418,U0877,display,2024-01-08 19:00:00,impression
TP001079,U0110,email,2024-01-08 19:17:06,click
TP010421,U1086,direct,2024-01-08 19:42:56,click
TP006423,U0669,paid_search,2024-01-08 19:43:12,click
TP011459,U1188,paid_search,2024-01-08 19:43:51,click
TP008774,U0915,paid_search,2024-01-08 19:47:04,click
TP010281,U1071,email,2024-01-08 20:01:45,impression
TP006578,U0685,display,2024-01-08 20:15:53,impression
TP005404,U0560,direct,2024-01-08 20:32:40,click
TP007777,U0808,paid_search,2024-01-08 20:50:49,impression
TP004572,U0476,email,2024-01-08 20:52:50,click
TP007433,U0773,display,2024-01-08 21:58:35,click
TP006481,U0675,organic_social,2024-01-08 22:11:04,click
TP007370,U0768,display,2024-01-08 22:13:17,click
TP008616,U0899,paid_search,2024-01-08 22:17:47,click
TP000453,U0048,paid_search,2024-01-08 22:18:15,click
TP010280,U1071,organic_social,2024-01-08 23:16:42,impression
TP010367,U1080,display,2024-01-08 23:26:31,click
TP003267,U0340,paid_search,2024-01-08 23:46:30,click
TP001191,U0122,paid_search,2024-01-09 00:13:01,click
TP000843,U0087,display,2024-01-09 00:19:10,click
TP004516,U0468,email,2024-01-09 00:22:24,click
TP006482,U0675,organic_social,2024-01-09 00:27:35,click
TP004072,U0425,display,2024-01-09 00:55:39,click
TP011048,U1148,paid_search,2024-01-09 00:56:45,click
TP005713,U0595,paid_search,2024-01-09 01:01:13,click
TP007371,U0768,organic_social,2024-01-09 01:02:32,click
TP008636,U0900,paid_search,2024-01-09 01:10:01,click
TP011460,U1188,paid_search,2024-01-09 01:12:08,click
TP002900,U0298,organic_social,2024-01-09 01:25:27,click
TP006515,U0678,display,2024-01-09 01:51:50,click
TP010787,U1123,email,2024-01-09 01:56:36,click
TP005599,U0583,organic_social,2024-01-09 02:04:50,click
TP009725,U1009,email,2024-01-09 02:07:10,click
TP010136,U1056,paid_search,2024-01-09 02:16:55,click
TP003712,U0386,email,2024-01-09 02:28:26,click
TP009713,U1007,email,2024-01-09 02:38:32,click
TP004446,U0460,email,2024-01-09 02:40:56,impression
TP009726,U1009,direct,2024-01-09 03:30:12,click
TP001192,U0122,organic_social,2024-01-09 03:32:23,click
TP000844,U0087,direct,2024-01-09 03:34:07,click
TP009853,U1024,display,2024-01-09 03:36:24,click
TP008637,U0900,email,2024-01-09 04:20:18,click
TP003268,U0340,direct,2024-01-09 04:20:45,click
TP010760,U1120,paid_search,2024-01-09 04:25:36,click
TP004469,U0462,paid_search,2024-01-09 05:13:18,impression
TP011308,U1173,email,2024-01-09 05:15:24,click
TP010282,U1071,email,2024-01-09 05:15:38,impression
TP011526,U1193,organic_social,2024-01-09 05:33:10,impression
TP011553,U1196,display,2024-01-09 05:47:51,impression
TP002630,U0269,organic_social,2024-01-09 05:49:04,impression
TP001473,U0150,email,2024-01-09 05:54:34,click
TP010737,U1118,paid_search,2024-01-09 05:59:41,click
TP011309,U1173,direct,2024-01-09 06:14:16,click
TP006727,U0702,email,2024-01-09 06:15:23,click
TP006729,U0702,paid_search,2024-01-09 06:32:26,impression
TP007233,U0755,organic_social,2024-01-09 06:56:03,click
TP008654,U0902,paid_search,2024-01-09 07:00:41,click
TP010368,U1080,paid_search,2024-01-09 07:02:58,click
TP005979,U0623,paid_search,2024-01-09 07:15:54,click
TP004530,U0469,paid_search,2024-01-09 07:17:47,impression
TP007776,U0808,paid_search,2024-01-09 07:20:21,impression
TP006182,U0641,paid_search,2024-01-09 07:27:43,click
TP002258,U0229,organic_social,2024-01-09 07:59:02,click
TP009210,U0957,organic_social,2024-01-09 08:05:22,click
TP007964,U0827,display,2024-01-09 08:22:51,click
TP001229,U0126,paid_search,2024-01-09 08:38:24,impression
TP010738,U1118,paid_search,2024-01-09 08:39:03,click
TP001193,U0122,paid_search,2024-01-09 08:40:19,click
TP000600,U0064,organic_social,2024-01-09 08:52:01,click
TP008484,U0886,organic_social,2024-01-09 08:55:11,click
TP010422,U1086,organic_social,2024-01-09 08:57:38,click
TP005623,U0585,email,2024-01-09 09:15:13,click
TP004531,U0469,paid_search,2024-01-09 09:17:03,impression
TP007234,U0755,direct,2024-01-09 09:27:23,click
TP004073,U0425,paid_search,2024-01-09 09:33:10,click
TP005600,U0583,paid_search,2024-01-09 09:40:12,click
TP005663,U0590,paid_search,2024-01-09 09:41:40,click
TP005279,U0547,organic_social,2024-01-09 09:53:12,impression
TP008842,U0922,paid_search,2024-01-09 10:12:42,click
