conversion_id,user_id,conversion_timestamp,revenue
CONV002838,U0226,2024-01-15 05:41:23.000000,389.01
CONV000558,U0192,2024-01-17 16:11:03.729001,236.3
CONV002802,U0433,2024-03-16 22:24:06.000000,202.15
CONV001014,U0446,2024-02-16 23:35:12.653843,410.74
CONV002866,U0546,2024-01-26 19:44:09.000000,349.06
CONV000390,U0111,2024-02-06 07:13:22.814781,38.56
CONV002107,U0549,2024-02-14 12:25:40.000000,346.76
CONV001270,U0593,2024-02-20 23:07:58.602258,161.68
CONV002192,U0072,2024-02-05 05:50:10.000000,231.96
CONV000932,U0396,2024-02-26 05:26:34.903344,496.52
CONV000936,U0398,2024-02-22 02:11:42.382920,439.08
CONV002271,U0183,2024-02-16 23:31:37.000000,100.51
CONV003289,U0056,2024-03-13 09:33:42.000000,109.46
CONV002007,U0366,2024-03-07 04:33:32.000000,312.28
CONV001538,U0126,2024-03-18 04:21:51.000000,180.08
CONV000834,U0348,2024-02-19 11:13:38.105239,394.06
CONV000399,U0115,2024-02-08 18:18:12.703778,169.86
CONV000227,U0016,2024-01-09 12:22:34.364434,518.83
CONV002197,U0150,2024-02-11 19:12:33.000000,157.46
CONV000981,U0427,2024-01-11 22:07:50.984971,120.83
CONV001927,U0045,2024-01-09 03:26:55.000000,111.11
CONV002231,U0310,2024-01-07 15:18:48.000000,55.7
CONV001380,U0235,2024-01-13 13:59:33.000000,46.37
CONV000485,U0156,2024-02-20 00:17:35.016558,-167.48
CONV002089,U0099,2024-01-10 03:46:27.000000,157.16
CONV000501,U0163,2024-03-13 18:49:24.408562,334.03
CONV001402,U0590,2024-02-15 12:08:51.000000,373.01
CONV003073,U0347,2024-03-17 16:37:18.000000,27.81
CONV000490,U0158,2024-02-25 13:07:36.490306,-95.8
CONV000576,U0204,2024-02-25 10:03:19.759196,375.99
CONV000231,U0019,2024-01-21 20:14:11.058070,368.13
CONV000379,U0102,2024-01-19 05:00:38.469112,74.67
CONV001423,U0231,2024-02-29 23:01:00.000000,255.66
CONV001031,U0458,2024-01-13 15:39:11.963441,504.83
CONV000037,T0019,2024-01-18 07:05:54.000000,26.2
CONV000802,U0330,2024-03-22 04:54:29.041579,98.5
CONV002710,U0026,2024-03-23 03:28:15.000000,81.04
CONV000491,U0158,2024-03-06 08:57:24.059793,413.15
CONV001109,U0498,2024-03-28 15:53:04.271797,308.6
CONV000638,U0243,2024-02-25 22:49:48.632987,263.57
CONV000905,U0383,2024-03-25 03:14:06.204063,471.65
CONV000433,U0133,2024-02-19 13:16:14.583047,336.59
CONV001240,U0577,2024-02-17 05:35:40.492519,469.84
CONV000591,U0212,2024-03-04 05:08:04.510699,97.68
CONV001307,U0610,2024-02-22 02:08:37.942957,373.94
CONV002133,U0117,2024-02-22 07:39:13.000000,154.8
CONV001074,U0480,2024-01-18 06:49:38.233694,194.63
CONV002002,U0422,2024-03-20 17:53:33.000000,84.38
CONV002281,U0381,2024-02-11 05:33:22.000000,107.04
CONV001210,U0560,2024-02-18 12:17:06.496891,329.56
CONV001888,U0281,2024-01-02 07:04:47.000000,282.36
CONV002289,U0335,2024-02-03 09:50:49.000000,196.65
CONV001237,U0574,2024-03-19 18:04:33.036300,-62.76
CONV003144,U0166,2024-02-22 10:23:53.000000,262.33
CONV001898,U0062,2024-03-05 06:31:00.000000,354.3
CONV002324,U0569,2024-02-24 14:29:53.000000,337.63
CONV000966,U0415,2024-02-24 12:32:04.779121,211.49
CONV000165,T0083,2024-03-03 13:50:15.000000,74.57
CONV002723,U0264,2024-01-03 20:47:47.000000,217.8
CONV002901,U0358,2024-03-11 16:36:33.000000,311.61
CONV002031,U0514,2024-01-20 18:44:15.000000,299.09
CONV000074,T0037,2024-01-26 10:39:04.603107,109.98
CONV000233,U0021,2024-01-23 10:08:57.406835,38.26
CONV002798,U0607,2024-03-31 04:28:37.000000,100.12
CONV001290,U0602,2024-01-21 13:36:54.535053,291.82
CONV002806,U0136,2024-02-14 23:34:40.000000,277.82
CONV001392,U0593,2024-02-09 21:04:25.000000,73.04
CONV002760,U0483,2024-01-24 04:33:17.000000,105.48
CONV000341,U0081,2024-01-09 17:38:48.177029,389.13
CONV002185,U0054,2024-03-21 07:37:05.000000,249.29
CONV000611,U0226,2024-03-08 11:38:56.842174,373.34
CONV000055,T0028,2024-02-04 14:34:52.000000,34.46
CONV003263,U0080,2024-01-18 08:17:47.000000,92.87
CONV002744,U0107,2024-02-29 22:47:26.000000,195.61
CONV001036,U0460,2024-01-26 23:14:07.082507,94.88
CONV003093,U0124,2024-03-26 10:25:05.000000,36.09
CONV002229,U0298,2024-03-13 01:48:04.000000,81.78
CONV000740,U0293,2024-01-15 11:27:06.382474,313.83
CONV001634,U0440,2024-01-17 12:10:20.000000,125.22
CONV000630,U0237,2024-02-24 22:37:39.711732,258.27
CONV002988,U0282,2024-01-07 09:34:00.000000,343.43
CONV001732,U0610,2024-01-30 20:16:22.000000,176.66
CONV000253,U0033,2024-02-29 18:41:35.091625,53.21
CONV001042,U0464,2024-03-13 02:15:56.838952,106.76
CONV000164,T0082,2024-02-26 04:04:19.077358,215.29
CONV000434,U0133,2024-03-18 20:44:55.494388,388.54
CONV002902,U0011,2024-01-26 21:43:52.000000,395.24
CONV002839,U0515,2024-02-23 18:14:45.000000,333.14
CONV000218,U0012,2024-02-11 12:55:59.185730,160.34
CONV001869,U0413,2024-03-13 05:41:23.000000,118.35
CONV002495,U0157,2024-03-14 05:39:14.000000,33.51
CONV000812,U0335,2024-01-22 20:21:51.053828,283.3
CONV001533,U0355,2024-02-20 13:26:54.000000,307.77
CONV000474,U0151,2024-02-11 06:10:03.817205,216.53
CONV003089,U0446,2024-01-30 05:04:49.000000,337.82
CONV000380,U0102,2024-03-12 18:20:44.722715,24.78
CONV003310,U0022,2024-03-11 04:58:12.000000,119.75
CONV003090,U0387,2024-03-30 17:29:36.000000,238.02
CONV003052,U0175,2024-01-15 05:28:13.000000,17.11
CONV002507,U0553,2024-01-15 01:54:58.000000,30.37
CONV002573,U0190,2024-02-11 10:17:14.000000,251.46
CONV000022,T0011,2024-03-30 09:33:30.236211,144.04
CONV001830,U0610,2024-03-23 02:07:33.000000,395.04
CONV000279,U0046,2024-03-06 12:43:16.228858,128.86
CONV000366,U0097,2024-01-13 00:59:27.772368,420.74
CONV000685,U0267,2024-02-11 10:05:01.375967,507.22
CONV000291,U0053,2024-01-18 09:37:43.931578,37.34
CONV000023,T0012,2024-02-09 12:35:02.000000,67.03
CONV000620,U0232,2024-02-01 11:24:27.088632,110.65
CONV003151,U0550,2024-01-06 16:50:15.000000,255.41
CONV003153,U0281,2024-03-05 23:57:39.000000,388.61
CONV000907,U0384,2024-02-19 08:00:03.258182,62.14
CONV001370,U0610,2024-01-22 21:23:31.000000,306.35
CONV002317,U0393,2024-02-11 07:30:26.000000,316.45
CONV001880,U0300,2024-03-30 08:58:40.000000,366.33
CONV001496,U0244,2024-02-03 07:46:16.000000,251.49
CONV001835,U0221,2024-03-03 20:52:20.000000,76.31
CONV001096,U0492,2024-03-17 09:53:46.031691,391.04
CONV002414,U0418,2024-03-22 00:05:03.000000,64.12
CONV001958,U0401,2024-03-12 14:00:22.000000,221.34
CONV001811,U0018,2024-02-19 21:38:33.000000,376.08
CONV001246,U0580,2024-02-08 17:02:38.890100,467.52
CONV001029,U0457,2024-03-08 12:38:31.320459,164.26
CONV001786,U0492,2024-03-22 17:27:39.000000,384.49
CONV001106,U0496,2024-01-25 12:17:59.288190,407.38
CONV002370,U0530,2024-02-11 16:28:07.000000,104.14
CONV001371,U0248,2024-02-28 09:17:04.000000,129.39
CONV001881,U0399,2024-03-12 09:24:33.000000,370.23
CONV000991,U0433,2024-02-21 07:46:40.517640,347.44
CONV000746,U0296,2024-02-28 18:47:59.555224,41.53
CONV002202,U0295,2024-02-15 20:49:25.000000,52.31
CONV001822,U0521,2024-01-26 23:45:30.000000,313.01
CONV000006,T0003,2024-02-19 23:22:36.539144,213.71
CONV000777,U0313,2024-03-02 22:17:28.211368,264.74
CONV001640,U0104,2024-03-28 16:05:53.000000,390.63
CONV002432,U0041,2024-01-16 22:26:59.000000,165.61
CONV002701,U0445,2024-02-17 15:47:57.000000,389.36
CONV002617,U0260,2024-02-12 22:19:37.000000,117.23
CONV002398,U0560,2024-03-22 06:53:13.000000,268.01
CONV000506,U0165,2024-03-26 03:53:06.835450,124.41
CONV002821,U0029,2024-02-12 17:35:25.000000,63.9
CONV002390,U0492,2024-01-16 02:22:32.000000,67.66
CONV000783,U0317,2024-01-11 17:10:46.100960,74.84
CONV001526,U0501,2024-01-29 05:37:56.000000,68.67
CONV001658,U0292,2024-01-17 09:33:41.000000,209.79
CONV000370,U0099,2024-02-09 06:50:51.532865,403.91
CONV002877,U0114,2024-03-16 19:25:59.000000,223.73
CONV001602,U0060,2024-01-19 14:52:55.000000,32.56
CONV002343,U0420,2024-03-18 20:11:57.000000,65.6
CONV000672,U0259,2024-02-14 19:50:05.517524,68.07
CONV000505,U0165,2024-03-24 21:10:53.580368,424.13
CONV000484,U0156,2024-02-11 08:00:35.268937,375.01
CONV000299,U0057,2024-01-18 16:05:57.584187,51.87
CONV000970,U0417,2024-01-19 13:28:02.816755,183.03
CONV000512,U0169,2024-02-15 09:40:02.249991,204.96
CONV000516,U0170,2024-03-28 02:27:35.997184,281.46
CONV000190,T0095,2024-03-05 19:10:16.989127,151.29
CONV003082,U0570,2024-01-27 14:08:49.000000,205.97
CONV000452,U0143,2024-01-12 00:06:03.712490,56.83
CONV001792,U0151,2024-01-18 10:18:19.000000,316.67
CONV001611,U0150,2024-02-22 18:57:15.000000,113.83
CONV003181,U0080,2024-01-29 11:21:52.000000,204.46
CONV001929,U0352,2024-03-01 13:11:50.000000,220.91
CONV002696,U0605,2024-01-25 12:56:37.000000,112.42
CONV001396,U0289,2024-03-27 09:43:33.000000,280.81
CONV000582,U0207,2024-01-19 04:23:24.531734,326.23
CONV000245,U0027,2024-03-06 18:33:37.692195,16.99
CONV000735,U0291,2024-01-12 22:47:42.050720,143.61
CONV001286,U0600,2024-01-29 05:39:22.407962,20.53
CONV000275,U0044,2024-01-08 02:37:58.122525,161.4
CONV000597,U0217,2024-01-28 17:53:28.865395,407.27
CONV001891,U0554,2024-03-29 10:48:06.000000,347.99
CONV001775,U0387,2024-01-31 06:58:19.000000,149.08
CONV001555,U0549,2024-03-09 17:18:56.000000,340.65
CONV001279,U0596,2024-02-11 11:02:29.008775,141.29
CONV001571,U0501,2024-02-26 06:54:04.000000,17.39
CONV002140,U0217,2024-03-19 13:54:29.000000,381.55
CONV002247,U0456,2024-01-10 14:23:24.000000,17.06
CONV000362,U0095,2024-01-17 04:18:00.702071,445.58
CONV000155,T0078,2024-02-08 01:26:31.000000,53.36
CONV001424,U0312,2024-03-14 22:14:17.000000,169.5
CONV000645,U0246,2024-01-06 19:47:01.770212,121.89
CONV000923,U0391,2024-01-28 06:06:16.178934,383.23
CONV001155,U0525,2024-03-17 10:05:28.221507,101.81
CONV002240,U0079,2024-01-18 23:52:44.000000,279.61
CONV001729,U0357,2024-02-20 16:14:39.000000,41.11
CONV002590,U0269,2024-01-21 23:11:41.000000,162.69
CONV000985,U0429,2024-02-01 20:38:58.078317,92.32
CONV002335,U0476,2024-02-16 11:40:46.000000,256.44
CONV001545,U0150,2024-01-31 18:55:05.000000,169.91
CONV002640,U0243,2024-01-11 21:36:09.000000,73.25
CONV001162,U0531,2024-01-29 07:00:17.392525,315.39
CONV001887,U0519,2024-03-16 15:54:40.000000,355.69
CONV001592,U0044,2024-01-20 10:40:40.000000,30.96
CONV001654,U0034,2024-02-27 21:30:09.000000,86.53
CONV002286,U0214,2024-01-15 16:02:27.000000,245.94
CONV001455,U0213,2024-02-27 00:08:07.000000,233.31
CONV001266,U0591,2024-03-12 19:54:25.456304,295.74
CONV001916,U0572,2024-03-05 03:19:37.000000,374.53
CONV002514,U0040,2024-01-03 15:04:42.000000,26.3
CONV001647,U0448,2024-01-05 23:38:21.000000,81.12
CONV002747,U0232,2024-03-05 01:52:16.000000,85.41
CONV001837,U0391,2024-01-16 22:24:24.000000,33.81
CONV001783,U0302,2024-02-24 04:19:02.000000,69.19
CONV000548,U0187,2024-02-13 19:27:29.426290,502.98
CONV000845,U0352,2024-03-14 19:14:58.036355,506.72
CONV002643,U0600,2024-01-04 09:07:12.000000,343.29
CONV002909,U0018,2024-03-03 04:31:36.000000,166.38
CONV000424,U0128,2024-02-20 06:30:38.478148,322.16
CONV003027,U0137,2024-02-21 13:19:33.000000,121.93
CONV002033,U0572,2024-03-02 05:01:51.000000,115.44
CONV000749,U0298,2024-01-17 15:54:32.895998,144.39
CONV002797,U0585,2024-01-16 01:51:36.000000,340.15
CONV000690,U0270,2024-02-19 04:15:07.704311,336.14
CONV003123,U0299,2024-03-10 04:08:24.000000,277.29
CONV000603,U0220,2024-02-14 02:46:08.857511,251.56
CONV001622,U0268,2024-03-08 00:15:36.000000,68.29
CONV000513,U0170,2024-01-28 18:12:47.705107,474.71
CONV002287,U0472,2024-01-05 07:42:51.000000,276.43
CONV003203,U0580,2024-02-11 09:14:16.000000,53.25
CONV000435,U0134,2024-01-27 14:44:09.463125,267.67
CONV002420,U0532,2024-01-11 20:08:08.000000,251.13
CONV000649,U0248,2024-01-20 04:43:10.657326,326.62
CONV002263,U0590,2024-01-15 09:48:26.000000,68.45
CONV000711,U0280,2024-02-12 07:20:05.146496,448.44
CONV002105,U0191,2024-01-05 01:57:03.000000,181.42
CONV001224,U0568,2024-01-23 13:51:01.357210,116.93
CONV000348,U0086,2024-02-28 11:43:53.269694,484.74
CONV000990,U0433,2024-01-08 22:31:10.199675,198.58
CONV001348,U0503,2024-03-10 08:35:42.725119,109.43
CONV000151,T0076,2024-02-16 05:31:58.000000,79.73
CONV002774,U0455,2024-01-16 12:06:00.000000,321.12
CONV000451,U0142,2024-03-12 10:23:26.104380,81.75
CONV001637,U0600,2024-01-31 09:19:15.000000,358.11
CONV001744,U0286,2024-03-02 00:02:54.000000,220.9
CONV002532,U0077,2024-03-25 01:56:59.000000,156.91
CONV002327,U0328,2024-01-29 01:20:09.000000,338.11
CONV001132,U0511,2024-02-22 01:20:05.762330,232.55
CONV001980,U0608,2024-01-09 22:42:47.000000,380.88
CONV000891,U0375,2024-01-11 08:53:28.912173,156.91
CONV000374,U0100,2024-01-19 11:23:25.835609,77.35
CONV000188,T0094,2024-03-05 00:19:02.522301,144.84
CONV000489,U0158,2024-02-16 10:05:15.553741,116.13
CONV002499,U0335,2024-02-24 02:11:23.000000,228.61
CONV001131,U0510,2024-02-15 02:03:11.497974,191.35
CONV003107,U0446,2024-02-09 04:42:57.000000,140.14
CONV003115,U0352,2024-01-11 15:33:47.000000,192.73
CONV003113,U0285,2024-01-01 07:20:45.000000,35.42
CONV003191,U0164,2024-03-10 01:12:59.000000,93.99
CONV000215,U0010,2024-02-15 04:21:42.593664,147.98
CONV003190,U0243,2024-02-20 14:32:30.000000,12.2
CONV000369,U0098,2024-03-17 20:38:43.718887,397.93
CONV002749,U0365,2024-01-16 08:01:28.000000,82.34
CONV001993,U0096,2024-03-03 12:50:14.000000,210.59
CONV002204,U0481,2024-02-10 14:56:30.000000,43.92
CONV000786,U0319,2024-03-09 22:36:30.023157,353.38
CONV000984,U0428,2024-03-07 04:57:34.437503,435.93
CONV000083,T0042,2024-01-01 22:16:16.000000,26.1
CONV002849,U0038,2024-03-21 02:41:09.000000,88.89
CONV001574,U0478,2024-02-26 10:03:44.000000,98.24
CONV000983,U0428,2024-01-29 23:20:50.068983,254.65
CONV000599,U0218,2024-03-09 01:52:08.401686,454.07
CONV001711,U0398,2024-01-19 16:31:35.000000,324.3
CONV000262,U0038,2024-02-20 05:04:06.261629,22.3
CONV000461,U0147,2024-02-13 09:36:31.859170,339.1
CONV002822,U0616,2024-03-31 12:22:52.000000,104.71
CONV000695,U0273,2024-02-10 17:07:44.906502,352.35
CONV002724,U0604,2024-02-12 03:12:31.000000,253.33
CONV002770,U0245,2024-02-08 11:43:21.000000,163.09
CONV002980,U0613,2024-01-08 12:22:09.000000,382.41
CONV002936,U0186,2024-01-12 05:22:37.000000,121.14
CONV000449,U0142,2024-02-23 04:39:10.796467,168.83
CONV002443,U0560,2024-03-19 22:23:34.000000,25.72
CONV000522,U0173,2024-03-07 01:17:58.629681,227.17
CONV000738,U0292,2024-01-14 14:36:47.532264,111.75
CONV003005,U0583,2024-01-18 05:51:46.000000,143.46
CONV000321,U0068,2024-01-23 20:30:09.469361,78.38
CONV002500,U0183,2024-03-31 03:39:44.000000,251.52
CONV000458,U0146,2024-01-09 12:59:53.509106,503.83
CONV000728,U0287,2024-03-22 00:45:30.682213,123.63
CONV001905,U0607,2024-03-29 16:25:09.000000,290.06
CONV002338,U0591,2024-01-20 09:49:14.000000,283.35
CONV002112,U0064,2024-01-21 10:30:19.000000,33.88
CONV002450,U0593,2024-02-19 18:42:35.000000,278.61
CONV003187,U0127,2024-03-27 19:44:38.000000,310.42
CONV002442,U0105,2024-02-24 14:43:05.000000,198.4
CONV000933,U0396,2024-03-25 22:19:15.339676,236.97
CONV000286,U0050,2024-02-21 02:48:42.187429,508.41
CONV001587,U0366,2024-03-03 19:53:28.000000,180.05
CONV003240,U0332,2024-02-06 03:57:13.000000,206.3
CONV003198,U0480,2024-01-15 11:46:00.000000,157.35
CONV001989,U0302,2024-01-25 17:38:13.000000,29.45
CONV000626,U0235,2024-01-14 18:47:18.304797,415.86
CONV001878,U0485,2024-02-23 05:52:08.000000,101.84
CONV002560,U0466,2024-01-03 07:36:05.000000,248.34
CONV001113,U0501,2024-01-23 03:02:26.236324,398.81
CONV001049,U0469,2024-01-16 07:53:48.209125,502.89
CONV000317,U0066,2024-02-21 23:06:09.851443,202.04
CONV000627,U0235,2024-03-05 11:54:12.648194,360.99
CONV002899,U0471,2024-02-08 21:19:06.000000,228.07
CONV002392,U0169,2024-01-20 23:44:53.000000,374.76
CONV001557,U0058,2024-03-21 17:45:00.000000,233.94
CONV001801,U0295,2024-03-08 12:55:57.000000,344.46
CONV002402,U0602,2024-01-11 18:35:26.000000,306.12
CONV002856,U0364,2024-01-06 02:23:41.000000,15.84
CONV002864,U0260,2024-02-19 13:29:34.000000,377.7
CONV001703,U0566,2024-03-25 17:47:19.000000,283.29
CONV000779,U0314,2024-01-07 03:30:54.141970,48.52
CONV000306,U0060,2024-03-07 10:17:55.559555,64.15
CONV000045,T0023,2024-01-29 19:42:06.000000,36.87
CONV000942,U0402,2024-01-10 03:17:28.713344,317.69
CONV000409,U0120,2024-03-07 08:00:55.511809,205.06
CONV002636,U0500,2024-03-21 08:30:02.000000,149.4
CONV001581,U0503,2024-03-19 19:30:49.000000,122.63
CONV000791,U0323,2024-03-19 05:10:26.209059,511.6
CONV002480,U0259,2024-03-18 00:51:55.000000,399.93
CONV002540,U0617,2024-02-14 09:54:19.000000,71.14
CONV002833,U0519,2024-03-24 11:49:26.000000,52.9
CONV002882,U0165,2024-03-31 02:43:34.000000,113.54
CONV000941,U0401,2024-03-28 17:25:02.199099,381.88
CONV002337,U0468,2024-03-26 00:53:53.000000,55.97
CONV001674,U0232,2024-01-19 19:56:27.000000,237.44
CONV003314,U0320,2024-03-29 00:40:24.000000,287.01
CONV002575,U0020,2024-03-24 06:49:30.000000,10.59
CONV000159,T0080,2024-01-23 08:35:48.000000,33.97
CONV002985,U0443,2024-03-25 12:49:56.000000,273.57
CONV001900,U0207,2024-02-18 09:38:18.000000,367.77
CONV000246,U0028,2024-02-12 03:11:19.485097,70.09
CONV001627,U0084,2024-01-27 21:48:28.000000,268.75
CONV002872,U0580,2024-01-11 20:57:58.000000,142.65
CONV000413,U0124,2024-02-27 23:41:36.330266,240.26
CONV001717,U0133,2024-02-26 18:10:08.000000,89.08
CONV000760,U0305,2024-03-10 04:53:38.255365,120.68
CONV001750,U0145,2024-03-15 20:53:24.000000,358.67
CONV001995,U0481,2024-01-23 08:55:35.000000,120.4
CONV002602,U0317,2024-03-13 09:23:54.000000,278.98
CONV000046,T0023,2024-01-30 06:35:47.967542,116.16
CONV000523,U0173,2024-03-14 19:47:10.827063,176.5
CONV000446,U0140,2024-03-07 14:33:57.078910,117.05
CONV000544,U0185,2024-03-05 15:52:12.100149,293.33
CONV003196,U0056,2024-01-18 09:38:08.000000,85.47
CONV000199,T0100,2024-02-20 23:06:07.000000,51.77
CONV000665,U0254,2024-02-17 16:10:02.764772,369.75
CONV002054,U0028,2024-01-08 16:51:39.000000,95.9
CONV002612,U0032,2024-02-08 20:40:43.000000,191.28
CONV000637,U0242,2024-02-25 10:40:51.033220,427.64
CONV002145,U0106,2024-02-19 10:05:03.000000,102.19
CONV001216,U0564,2024-03-02 14:16:04.327099,387.08
CONV001889,U0082,2024-04-01 00:46:33.000000,127.21
CONV001619,U0345,2024-03-15 12:32:55.000000,118.11
CONV000859,U0358,2024-02-25 19:45:01.138971,224.34
CONV002588,U0530,2024-02-29 09:17:06.000000,333.14
CONV002878,U0441,2024-03-10 09:29:08.000000,377.51
CONV001969,U0519,2024-01-29 17:00:30.000000,211.43
CONV000957,U0410,2024-02-17 19:30:26.326492,298.55
CONV000033,T0017,2024-03-06 12:42:26.000000,30.61
CONV000651,U0249,2024-02-16 06:07:21.509236,293.71
CONV000201,U0001,2024-02-28 06:26:31.523903,213.43
CONV002562,U0133,2024-01-01 06:54:37.000000,326.07
CONV000775,U0312,2024-01-23 03:44:23.630195,33.29
CONV000072,T0036,2024-03-26 00:07:31.274733,230.12
CONV000837,U0350,2024-01-17 05:34:58.922051,294.06
CONV002382,U0163,2024-03-28 01:25:19.000000,10.24
CONV000082,T0041,2024-02-19 03:27:47.778699,107.39
CONV002388,U0090,2024-02-08 17:01:23.000000,149.29
CONV002139,U0064,2024-02-08 04:55:03.000000,46.87
CONV001388,U0118,2024-01-24 11:44:03.000000,385.94
CONV000407,U0119,2024-02-13 00:44:52.663403,125.13
CONV000976,U0422,2024-03-21 20:38:40.376198,113.61
CONV000537,U0181,2024-03-27 10:44:20.114984,420.57
CONV000465,U0148,2024-03-26 06:04:37.894147,153.26
CONV003125,U0595,2024-02-18 03:20:52.000000,126.48
CONV002601,U0279,2024-01-03 01:45:39.000000,288.07
CONV001458,U0353,2024-02-17 05:57:31.000000,148.09
CONV002990,U0518,2024-03-12 09:53:44.000000,159.73
CONV002527,U0444,2024-03-27 02:25:00.000000,252.95
CONV000346,U0085,2024-03-23 01:52:10.044898,206.51
CONV002042,U0354,2024-03-04 10:41:09.000000,156.41
CONV003288,U0185,2024-02-06 23:04:48.000000,21.24
CONV000473,U0151,2024-01-27 02:50:53.302193,124.8
CONV002867,U0020,2024-03-28 15:44:56.000000,16.77
CONV002520,U0183,2024-02-22 15:07:58.000000,317.71
CONV001175,U0538,2024-03-28 15:51:42.499080,42.01
CONV001804,U0353,2024-01-18 17:00:37.000000,188.21
CONV002563,U0079,2024-02-22 03:49:47.000000,350.65
CONV000234,U0021,2024-02-11 17:29:55.402108,426.46
CONV000375,U0101,2024-02-11 17:55:54.026785,240.04
CONV000793,U0324,2024-01-05 21:45:33.459334,202.04
CONV001040,U0463,2024-02-11 06:01:30.402181,-138.72
CONV001090,U0489,2024-01-26 02:26:34.284296,507.39
CONV002738,U0053,2024-02-16 17:59:32.000000,361.86
CONV000442,U0138,2024-02-26 19:40:58.206397,385.99
CONV001769,U0289,2024-01-05 06:44:37.000000,176.17
CONV002210,U0268,2024-03-19 01:36:04.000000,102.95
CONV001285,U0599,2024-02-14 04:57:31.020209,138.33
CONV000857,U0357,2024-02-24 22:17:31.657135,240.79
CONV001341,U0046,2024-03-10 08:33:14.771870,51.36
CONV001010,U0444,2024-02-19 17:13:59.411028,105.79
CONV001986,U0308,2024-01-06 07:11:41.000000,289.73
CONV001253,U0584,2024-02-19 00:22:12.786720,273.5
CONV002748,U0579,2024-03-24 19:21:18.000000,266.35
CONV001098,U0493,2024-03-27 14:04:32.217860,199.0
CONV000618,U0231,2024-02-22 22:55:41.496489,268.47
CONV001522,U0084,2024-01-30 10:19:58.000000,309.57
CONV002405,U0565,2024-03-17 23:07:13.000000,158.11
CONV001319,U0616,2024-02-08 04:46:52.811549,469.23
CONV000154,T0077,2024-03-09 16:28:44.509849,124.89
CONV001095,U0491,2024-03-29 23:56:38.824176,163.34
CONV001251,U0582,2024-02-13 21:24:10.559408,16.34
CONV000621,U0232,2024-02-24 01:19:39.269878,414.8
CONV002203,U0367,2024-02-21 12:21:35.000000,352.73
CONV002926,U0318,2024-03-07 08:32:54.000000,51.34
CONV000384,U0106,2024-02-19 01:36:41.305757,426.12
CONV003140,U0613,2024-01-06 20:17:11.000000,286.37
CONV001589,U0388,2024-01-08 01:17:33.000000,139.15
CONV001034,U0458,2024-03-23 15:21:01.411701,485.96
CONV002101,U0299,2024-03-25 15:38:01.000000,382.5
CONV002075,U0386,2024-03-11 19:41:15.000000,268.61
CONV001663,U0427,2024-01-12 23:30:41.000000,128.36
CONV000938,U0400,2024-01-21 13:52:37.601889,184.84
CONV000780,U0315,2024-03-17 01:12:22.677785,161.6
CONV001051,U0470,2024-01-18 05:38:00.964074,254.91
CONV002932,U0158,2024-02-10 12:43:30.000000,57.49
CONV002246,U0409,2024-02-22 21:03:09.000000,278.62
CONV000515,U0170,2024-03-24 06:20:14.912831,426.88
CONV003313,U0249,2024-01-13 11:17:03.000000,386.91
CONV001267,U0592,2024-02-11 00:29:56.148385,358.99
CONV000441,U0137,2024-03-21 23:24:10.792284,266.97
