employee_id,business_unit_id,review_date,rating,reviewer_id,review_cycle
EMP-0107,BU-01,2024-01-05,Meets,MGR-BU-01-16,Q1-2024
EMP-0109,BU-01,2024-01-20,Meets,MGR-BU-01-20,Q1-2024
EMP-0110,BU-01,2024-02-24,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0111,BU-01,2024-02-08,Needs Improvement,MGR-BU-01-13,Q1-2024
EMP-0112,BU-01,2024-03-23,Meets,MGR-BU-01-07,Q1-2024
EMP-0113,BU-01,2024-02-13,Meets,MGR-BU-01-14,Q1-2024
EMP-0114,BU-01,2024-02-20,Exceeds,MGR-BU-01-20,Q1-2024
EMP-0115,BU-01,2024-03-02,Needs Improvement,MGR-BU-01-14,Q1-2024
EMP-0117,BU-01,2024-01-12,Exceeds,MGR-BU-01-10,Q1-2024
EMP-0118,BU-01,2024-03-05,Needs Improvement,MGR-BU-01-08,Q1-2024
EMP-0119,BU-01,2024-01-10,Meets,MGR-BU-01-08,Q1-2024
EMP-0122,BU-01,2024-03-07,Meets,MGR-BU-01-10,Q1-2024
EMP-0123,BU-01,2024-02-15,Needs Improvement,MGR-BU-01-07,Q1-2024
EMP-0124,BU-01,2024-03-18,Meets,MGR-BU-01-07,Q1-2024
EMP-0125,BU-01,2024-01-22,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0126,BU-01,2024-03-29,Exceeds,MGR-BU-01-18,Q1-2024
EMP-0128,BU-01,2024-03-08,Needs Improvement,MGR-BU-01-06,Q1-2024
EMP-0129,BU-01,2024-02-15,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0130,BU-01,2024-02-11,Meets,MGR-BU-01-16,Q1-2024
EMP-0131,BU-01,2024-02-22,Meets,MGR-BU-01-13,Q1-2024
EMP-0132,BU-01,2024-02-17,Meets,MGR-BU-01-15,Q1-2024
EMP-0133,BU-01,2024-03-11,Needs Improvement,MGR-BU-01-11,Q1-2024
EMP-0134,BU-01,2024-02-22,Exceeds,MGR-BU-01-20,Q1-2024
EMP-0135,BU-01,2024-02-07,Needs Improvement,MGR-BU-01-17,Q1-2024
EMP-0136,BU-01,2024-02-24,Meets,MGR-BU-01-07,Q1-2024
EMP-0137,BU-01,2024-01-25,Meets,MGR-BU-01-17,Q1-2024
EMP-0138,BU-01,2024-02-28,Meets,MGR-BU-01-20,Q1-2024
EMP-0139,BU-01,2024-03-29,Needs Improvement,MGR-BU-01-01,Q1-2024
EMP-0140,BU-01,2024-03-11,Meets,MGR-BU-01-03,Q1-2024
EMP-0141,BU-01,2024-01-30,Meets,MGR-BU-01-13,Q1-2024
EMP-0142,BU-01,2024-02-21,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0143,BU-01,2024-01-08,Exceeds,MGR-BU-01-09,Q1-2024
EMP-0144,BU-01,2024-03-18,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0145,BU-01,2024-01-25,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0146,BU-01,2024-01-25,Exceeds,MGR-BU-01-14,Q1-2024
EMP-0147,BU-01,2024-02-23,Exceeds,MGR-BU-01-03,Q1-2024
EMP-0148,BU-01,2024-03-21,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0149,BU-01,2024-03-19,Meets,MGR-BU-01-18,Q1-2024
EMP-0150,BU-01,2024-01-11,Meets,MGR-BU-01-19,Q1-2024
EMP-0151,BU-01,2024-01-06,Needs Improvement,MGR-BU-01-16,Q1-2024
EMP-0152,BU-01,2024-01-13,Meets,MGR-BU-01-10,Q1-2024
EMP-0153,BU-01,2024-03-15,Exceeds,MGR-BU-01-17,Q1-2024
EMP-0154,BU-01,2024-03-13,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0156,BU-01,2024-02-26,Meets,MGR-BU-01-11,Q1-2024
EMP-0158,BU-01,2024-02-12,Meets,MGR-BU-01-09,Q1-2024
EMP-0159,BU-01,2024-03-30,Meets,MGR-BU-01-08,Q1-2024
EMP-0160,BU-01,2024-01-01,Needs Improvement,MGR-BU-01-17,Q1-2024
EMP-0161,BU-01,2024-03-23,Meets,MGR-BU-01-15,Q1-2024
EMP-0162,BU-01,2024-03-02,Meets,MGR-BU-01-18,Q1-2024
EMP-0163,BU-01,2024-03-12,Meets,MGR-BU-01-02,Q1-2024
EMP-0164,BU-01,2024-01-05,Meets,MGR-BU-01-02,Q1-2024
EMP-0165,BU-01,2024-01-06,Meets,MGR-BU-01-09,Q1-2024
EMP-0166,BU-01,2024-02-23,Exceeds,MGR-BU-01-14,Q1-2024
EMP-0167,BU-01,2024-01-11,Meets,MGR-BU-01-02,Q1-2024
EMP-0168,BU-01,2024-02-22,Meets,MGR-BU-01-10,Q1-2024
EMP-0169,BU-01,2024-03-05,Meets,MGR-BU-01-11,Q1-2024
EMP-0171,BU-01,2024-01-21,Meets,MGR-BU-01-07,Q1-2024
EMP-0172,BU-01,2024-01-24,Meets,MGR-BU-01-05,Q1-2024
EMP-0173,BU-01,2024-02-17,Meets,MGR-BU-01-03,Q1-2024
EMP-0174,BU-01,2024-02-24,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0175,BU-01,2024-03-23,Meets,MGR-BU-01-20,Q1-2024
EMP-0176,BU-01,2024-01-03,Meets,MGR-BU-01-09,Q1-2024
EMP-0177,BU-01,2024-03-16,Meets,MGR-BU-01-20,Q1-2024
EMP-0178,BU-01,2024-01-07,Meets,MGR-BU-01-05,Q1-2024
EMP-0179,BU-01,2024-03-14,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0180,BU-01,2024-01-10,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0181,BU-01,2024-02-01,Meets,MGR-BU-01-01,Q1-2024
EMP-0182,BU-01,2024-02-27,Meets,MGR-BU-01-10,Q1-2024
EMP-0183,BU-01,2024-03-20,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0184,BU-01,2024-03-19,Meets,MGR-BU-01-08,Q1-2024
EMP-0185,BU-01,2024-02-15,Meets,MGR-BU-01-07,Q1-2024
EMP-0187,BU-01,2024-01-23,Needs Improvement,MGR-BU-01-18,Q1-2024
EMP-0188,BU-01,2024-01-05,Exceeds,MGR-BU-01-18,Q1-2024
EMP-0189,BU-01,2024-03-20,Meets,MGR-BU-01-19,Q1-2024
EMP-0190,BU-01,2024-02-19,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0191,BU-01,2024-01-14,Needs Improvement,MGR-BU-01-05,Q1-2024
EMP-0192,BU-01,2024-02-06,Needs Improvement,MGR-BU-01-09,Q1-2024
EMP-0193,BU-01,2024-01-08,Meets,MGR-BU-01-18,Q1-2024
EMP-0194,BU-01,2024-02-05,Meets,MGR-BU-01-11,Q1-2024
EMP-0195,BU-01,2024-03-10,Meets,MGR-BU-01-09,Q1-2024
EMP-0196,BU-01,2024-03-28,Exceeds,MGR-BU-01-14,Q1-2024
EMP-0197,BU-01,2024-03-26,Meets,MGR-BU-01-10,Q1-2024
EMP-0198,BU-01,2024-03-01,Needs Improvement,MGR-BU-01-03,Q1-2024
EMP-0199,BU-01,2024-01-29,Exceeds,MGR-BU-01-17,Q1-2024
EMP-0200,BU-01,2024-01-29,Meets,MGR-BU-01-05,Q1-2024
EMP-0201,BU-01,2024-02-09,Meets,MGR-BU-01-02,Q1-2024
EMP-0203,BU-01,2024-02-09,Meets,MGR-BU-01-06,Q1-2024
EMP-0204,BU-01,2024-01-24,Meets,MGR-BU-01-08,Q1-2024
EMP-0205,BU-01,2024-02-06,Meets,MGR-BU-01-03,Q1-2024
EMP-0206,BU-01,2024-03-25,Meets,MGR-BU-01-03,Q1-2024
EMP-0208,BU-01,2024-02-05,Needs Improvement,MGR-BU-01-13,Q1-2024
EMP-0209,BU-01,2024-01-17,Needs Improvement,MGR-BU-01-08,Q1-2024
EMP-0210,BU-01,2024-03-08,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0211,BU-01,2024-02-16,Meets,MGR-BU-01-12,Q1-2024
EMP-0212,BU-01,2024-01-10,Meets,MGR-BU-01-08,Q1-2024
EMP-0213,BU-01,2024-02-16,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0214,BU-01,2024-01-19,Meets,MGR-BU-01-12,Q1-2024
EMP-0215,BU-01,2024-01-21,Exceeds,MGR-BU-01-17,Q1-2024
EMP-0216,BU-01,2024-01-08,Needs Improvement,MGR-BU-01-14,Q1-2024
EMP-0217,BU-01,2024-02-28,Meets,MGR-BU-01-08,Q1-2024
EMP-0218,BU-01,2024-03-04,Exceeds,MGR-BU-01-01,Q1-2024
EMP-0219,BU-01,2024-01-08,Meets,MGR-BU-01-02,Q1-2024
EMP-0220,BU-01,2024-01-04,Meets,MGR-BU-01-05,Q1-2024
EMP-0221,BU-01,2024-03-14,Needs Improvement,MGR-BU-01-12,Q1-2024
EMP-0222,BU-01,2024-03-06,Meets,MGR-BU-01-20,Q1-2024
EMP-0223,BU-01,2024-01-19,Meets,MGR-BU-01-12,Q1-2024
EMP-0224,BU-01,2024-01-06,Meets,MGR-BU-01-16,Q1-2024
EMP-0225,BU-01,2024-01-31,Meets,MGR-BU-01-02,Q1-2024
EMP-0226,BU-01,2024-01-28,Meets,MGR-BU-01-19,Q1-2024
EMP-0227,BU-01,2024-01-09,Meets,MGR-BU-01-03,Q1-2024
EMP-0228,BU-01,2024-01-10,Meets,MGR-BU-01-05,Q1-2024
EMP-0229,BU-01,2024-01-01,Meets,MGR-BU-01-19,Q1-2024
EMP-0230,BU-01,2024-01-17,Exceeds,MGR-BU-01-03,Q1-2024
EMP-0231,BU-01,2024-02-13,Meets,MGR-BU-01-16,Q1-2024
EMP-0233,BU-01,2024-02-09,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0234,BU-01,2024-02-11,Needs Improvement,MGR-BU-01-13,Q1-2024
EMP-0235,BU-01,2024-02-25,Meets,MGR-BU-01-03,Q1-2024
EMP-0236,BU-01,2024-03-25,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0237,BU-01,2024-01-31,Exceeds,MGR-BU-01-03,Q1-2024
EMP-0238,BU-01,2024-02-07,Needs Improvement,MGR-BU-01-02,Q1-2024
EMP-0239,BU-01,2024-03-24,Exceeds,MGR-BU-01-09,Q1-2024
EMP-0240,BU-01,2024-01-02,Exceeds,MGR-BU-01-02,Q1-2024
EMP-0241,BU-01,2024-03-22,Meets,MGR-BU-01-13,Q1-2024
EMP-0243,BU-01,2024-02-27,Meets,MGR-BU-01-20,Q1-2024
EMP-0245,BU-01,2024-03-02,Meets,MGR-BU-01-19,Q1-2024
EMP-0247,BU-01,2024-03-29,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0248,BU-01,2024-02-26,Needs Improvement,MGR-BU-01-08,Q1-2024
EMP-0249,BU-01,2024-01-08,Exceeds,MGR-BU-01-06,Q1-2024
EMP-0250,BU-01,2024-01-19,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0251,BU-01,2024-01-02,Meets,MGR-BU-01-02,Q1-2024
EMP-0252,BU-01,2024-02-08,Meets,MGR-BU-01-17,Q1-2024
EMP-0253,BU-01,2024-03-09,Meets,MGR-BU-01-13,Q1-2024
EMP-0254,BU-01,2024-01-03,Meets,MGR-BU-01-16,Q1-2024
EMP-0255,BU-01,2024-01-04,Meets,MGR-BU-01-18,Q1-2024
EMP-0256,BU-01,2024-03-20,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0257,BU-01,2024-03-27,Needs Improvement,MGR-BU-01-08,Q1-2024
EMP-0258,BU-01,2024-01-29,Needs Improvement,MGR-BU-01-02,Q1-2024
EMP-0259,BU-01,2024-02-28,Meets,MGR-BU-01-19,Q1-2024
EMP-0261,BU-01,2024-03-24,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0262,BU-01,2024-03-07,Needs Improvement,MGR-BU-01-01,Q1-2024
EMP-0263,BU-01,2024-01-18,Meets,MGR-BU-01-19,Q1-2024
EMP-0264,BU-01,2024-02-04,Meets,MGR-BU-01-08,Q1-2024
EMP-0265,BU-01,2024-03-21,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0266,BU-01,2024-03-29,Needs Improvement,MGR-BU-01-14,Q1-2024
EMP-0267,BU-01,2024-01-02,Meets,MGR-BU-01-03,Q1-2024
EMP-0268,BU-01,2024-03-24,Exceeds,MGR-BU-01-13,Q1-2024
EMP-0269,BU-01,2024-03-29,Meets,MGR-BU-01-08,Q1-2024
EMP-0270,BU-01,2024-03-13,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0271,BU-01,2024-02-19,Meets,MGR-BU-01-14,Q1-2024
EMP-0272,BU-01,2024-03-14,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0273,BU-01,2024-01-06,Meets,MGR-BU-01-04,Q1-2024
EMP-0276,BU-01,2024-02-08,Exceeds,MGR-BU-01-09,Q1-2024
EMP-0277,BU-01,2024-01-30,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0278,BU-01,2024-02-20,Needs Improvement,MGR-BU-01-01,Q1-2024
EMP-0280,BU-01,2024-01-03,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0281,BU-01,2024-01-14,Meets,MGR-BU-01-04,Q1-2024
EMP-0283,BU-01,2024-02-01,Meets,MGR-BU-01-15,Q1-2024
EMP-0284,BU-01,2024-02-21,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0285,BU-01,2024-01-18,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0286,BU-01,2024-02-22,Meets,MGR-BU-01-15,Q1-2024
EMP-0287,BU-01,2024-01-11,Meets,MGR-BU-01-13,Q1-2024
EMP-0288,BU-01,2024-02-29,Exceeds,MGR-BU-01-06,Q1-2024
EMP-0289,BU-01,2024-03-18,Meets,MGR-BU-01-04,Q1-2024
EMP-0290,BU-01,2024-01-01,Meets,MGR-BU-01-11,Q1-2024
EMP-0291,BU-01,2024-02-04,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0292,BU-01,2024-02-18,Meets,MGR-BU-01-10,Q1-2024
EMP-0293,BU-01,2024-02-28,Meets,MGR-BU-01-07,Q1-2024
EMP-0294,BU-01,2024-03-30,Meets,MGR-BU-01-15,Q1-2024
EMP-0295,BU-01,2024-01-22,Needs Improvement,MGR-BU-01-16,Q1-2024
EMP-0296,BU-01,2024-02-26,Needs Improvement,MGR-BU-01-09,Q1-2024
EMP-0297,BU-01,2024-01-18,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0298,BU-01,2024-01-04,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0299,BU-01,2024-01-10,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0300,BU-01,2024-01-03,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0301,BU-01,2024-02-24,Meets,MGR-BU-01-11,Q1-2024
EMP-0302,BU-01,2024-01-20,Meets,MGR-BU-01-13,Q1-2024
EMP-0303,BU-01,2024-02-09,Meets,MGR-BU-01-18,Q1-2024
EMP-0304,BU-01,2024-03-11,Meets,MGR-BU-01-18,Q1-2024
EMP-0306,BU-01,2024-02-07,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0307,BU-01,2024-01-10,Meets,MGR-BU-01-16,Q1-2024
EMP-0309,BU-01,2024-03-12,Meets,MGR-BU-01-16,Q1-2024
EMP-0310,BU-01,2024-03-27,Meets,MGR-BU-01-04,Q1-2024
EMP-0311,BU-01,2024-03-22,Needs Improvement,MGR-BU-01-09,Q1-2024
EMP-0312,BU-01,2024-01-30,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0313,BU-01,2024-03-13,Exceeds,MGR-BU-01-06,Q1-2024
EMP-0314,BU-01,2024-01-14,Meets,MGR-BU-01-02,Q1-2024
EMP-0315,BU-01,2024-03-07,Meets,MGR-BU-01-17,Q1-2024
EMP-0316,BU-01,2024-03-08,Meets,MGR-BU-01-05,Q1-2024
EMP-0317,BU-01,2024-03-28,Meets,MGR-BU-01-16,Q1-2024
EMP-0318,BU-01,2024-02-27,Exceeds,MGR-BU-01-09,Q1-2024
EMP-0319,BU-01,2024-02-20,Meets,MGR-BU-01-12,Q1-2024
EMP-0321,BU-01,2024-03-01,Needs Improvement,MGR-BU-01-12,Q1-2024
EMP-0323,BU-01,2024-01-01,Needs Improvement,MGR-BU-01-18,Q1-2024
EMP-0324,BU-01,2024-02-12,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0325,BU-01,2024-03-09,Meets,MGR-BU-01-02,Q1-2024
EMP-0326,BU-01,2024-03-26,Meets,MGR-BU-01-08,Q1-2024
EMP-0327,BU-01,2024-01-23,Meets,MGR-BU-01-09,Q1-2024
EMP-0328,BU-01,2024-01-18,Meets,MGR-BU-01-13,Q1-2024
EMP-0330,BU-01,2024-01-23,Needs Improvement,MGR-BU-01-05,Q1-2024
EMP-0331,BU-01,2024-03-24,Meets,MGR-BU-01-02,Q1-2024
EMP-0333,BU-01,2024-03-06,Needs Improvement,MGR-BU-01-16,Q1-2024
EMP-0334,BU-01,2024-02-21,Exceeds,MGR-BU-01-06,Q1-2024
EMP-0335,BU-01,2024-01-01,Meets,MGR-BU-01-03,Q1-2024
EMP-0336,BU-01,2024-01-03,Exceeds,MGR-BU-01-05,Q1-2024
EMP-0337,BU-01,2024-02-09,Meets,MGR-BU-01-01,Q1-2024
EMP-0338,BU-01,2024-03-08,Meets,MGR-BU-01-16,Q1-2024
EMP-0339,BU-01,2024-02-27,Meets,MGR-BU-01-18,Q1-2024
EMP-0340,BU-01,2024-03-08,Needs Improvement,MGR-BU-01-02,Q1-2024
EMP-0341,BU-01,2024-01-03,Needs Improvement,MGR-BU-01-11,Q1-2024
EMP-0342,BU-01,2024-01-09,Exceeds,MGR-BU-01-04,Q1-2024
EMP-0343,BU-01,2024-02-13,Meets,MGR-BU-01-02,Q1-2024
EMP-0344,BU-01,2024-03-06,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0345,BU-01,2024-01-29,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0346,BU-01,2024-03-18,Meets,MGR-BU-01-05,Q1-2024
EMP-0347,BU-01,2024-01-17,Meets,MGR-BU-01-18,Q1-2024
EMP-0348,BU-01,2024-03-26,Meets,MGR-BU-01-16,Q1-2024
EMP-0349,BU-01,2024-03-16,Meets,MGR-BU-01-06,Q1-2024
EMP-0350,BU-01,2024-02-11,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0352,BU-01,2024-01-14,Exceeds,MGR-BU-01-14,Q1-2024
EMP-0354,BU-01,2024-02-02,Meets,MGR-BU-01-11,Q1-2024
EMP-0355,BU-01,2024-03-15,Meets,MGR-BU-01-10,Q1-2024
EMP-0356,BU-01,2024-03-13,Meets,MGR-BU-01-05,Q1-2024
EMP-0358,BU-01,2024-02-02,Meets,MGR-BU-01-19,Q1-2024
EMP-0359,BU-01,2024-01-26,Meets,MGR-BU-01-10,Q1-2024
EMP-0360,BU-01,2024-03-04,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0362,BU-01,2024-01-30,Needs Improvement,MGR-BU-01-11,Q1-2024
EMP-0363,BU-01,2024-03-02,Meets,MGR-BU-01-06,Q1-2024
EMP-0365,BU-01,2024-03-23,Meets,MGR-BU-01-07,Q1-2024
EMP-0366,BU-01,2024-02-15,Meets,MGR-BU-01-08,Q1-2024
EMP-0367,BU-01,2024-02-22,Exceeds,MGR-BU-01-03,Q1-2024
EMP-0370,BU-01,2024-02-02,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0371,BU-01,2024-01-23,Exceeds,MGR-BU-01-17,Q1-2024
EMP-0372,BU-01,2024-02-05,Meets,MGR-BU-01-05,Q1-2024
