employee_id,business_unit_id,event_date,event_type,documented_by,notes
EMP-0206,BU-02,2024-02-09,Performance Review Meeting,MGR-BU-02-16,Performance below quarterly target
EMP-0717,BU-04,2024-01-19,HR Escalation,MGR-BU-04-06,Missed key deliverable deadline
EMP-0524,BU-01,2024-03-19,HR Escalation,MGR-BU-01-12,Attendance and punctuality concern
EMP-0168,BU-01,2024-02-14,Performance Review Meeting,MGR-BU-01-10,Performance below quarterly target
EMP-0327,BU-03,2024-03-16,Performance Review Meeting,MGR-BU-03-10,Attendance and punctuality concern
EMP-0755,BU-02,2024-01-29,Written Warning,MGR-BU-02-06,Attendance and punctuality concern
EMP-0854,BU-01,2024-02-02,Coaching Session,MGR-BU-01-02,Missed key deliverable deadline
EMP-0951,BU-04,2024-03-25,Written Warning,MGR-BU-04-20,Performance below quarterly target
EMP-0098,BU-04,2024-03-11,HR Escalation,MGR-BU-04-10,Missed key deliverable deadline
EMP-0038,BU-03,2024-03-13,Coaching Session,MGR-BU-03-17,Attendance and punctuality concern
EMP-0370,BU-01,2024-03-28,Written Warning,MGR-BU-01-04,Missed key deliverable deadline
EMP-0417,BU-03,2024-03-27,Performance Review Meeting,MGR-BU-03-05,Missed key deliverable deadline
EMP-0779,BU-02,2024-03-31,Coaching Session,MGR-BU-02-07,Missed key deliverable deadline
EMP-0734,BU-03,2024-01-17,Written Warning,MGR-BU-03-14,Performance below quarterly target
EMP-0559,BU-02,2024-01-08,HR Escalation,MGR-BU-02-17,Attendance and punctuality concern
EMP-0361,BU-03,2024-03-12,HR Escalation,MGR-BU-03-16,Attendance and punctuality concern
EMP-0457,BU-04,2024-03-05,Performance Review Meeting,MGR-BU-04-07,Performance below quarterly target
EMP-0400,BU-02,2024-02-15,Written Warning,MGR-BU-02-19,Missed key deliverable deadline
EMP-0472,BU-02,2024-03-07,Performance Review Meeting,MGR-BU-02-09,Performance below quarterly target
EMP-0373,BU-04,2024-01-14,Coaching Session,MGR-BU-04-04,Performance below quarterly target
EMP-0016,BU-02,2024-03-24,Performance Review Meeting,MGR-BU-02-11,Attendance and punctuality concern
EMP-0701,BU-04,2024-02-08,HR Escalation,MGR-BU-04-08,Performance below quarterly target
EMP-0152,BU-03,2024-01-21,Performance Review Meeting,MGR-BU-03-03,Missed key deliverable deadline
EMP-0391,BU-03,2024-02-18,Coaching Session,MGR-BU-03-18,Missed key deliverable deadline
EMP-0712,BU-02,2024-03-11,Coaching Session,MGR-BU-02-06,Attendance and punctuality concern
EMP-0926,BU-02,2024-01-09,Coaching Session,MGR-BU-02-19,Attendance and punctuality concern
EMP-0973,BU-04,2024-01-07,Written Warning,MGR-BU-04-20,Performance below quarterly target
EMP-0949,BU-01,2024-02-09,Coaching Session,MGR-BU-01-07,Attendance and punctuality concern
EMP-0147,BU-01,2024-02-04,Coaching Session,MGR-BU-01-03,Attendance and punctuality concern
EMP-0558,BU-03,2024-03-06,HR Escalation,MGR-BU-03-12,Attendance and punctuality concern
EMP-0675,BU-04,2024-02-03,HR Escalation,MGR-BU-04-01,Attendance and punctuality concern
EMP-0493,BU-04,2024-01-04,HR Escalation,MGR-BU-04-08,Attendance and punctuality concern
EMP-0180,BU-02,2024-03-18,HR Escalation,MGR-BU-02-10,Attendance and punctuality concern
EMP-0761,BU-03,2024-01-13,Written Warning,MGR-BU-03-15,Performance below quarterly target
EMP-0578,BU-04,2024-01-04,Coaching Session,MGR-BU-04-11,Attendance and punctuality concern
EMP-0073,BU-03,2024-03-21,Written Warning,MGR-BU-03-12,Missed key deliverable deadline
EMP-0007,BU-04,2024-02-18,Coaching Session,MGR-BU-04-13,Attendance and punctuality concern
EMP-0333,BU-02,2024-01-11,Written Warning,MGR-BU-02-05,Attendance and punctuality concern
EMP-0597,BU-04,2024-02-25,Performance Review Meeting,MGR-BU-04-20,Performance below quarterly target
EMP-0200,BU-03,2024-01-10,Coaching Session,MGR-BU-03-03,Attendance and punctuality concern
EMP-0157,BU-02,2024-03-27,Written Warning,MGR-BU-02-11,Missed key deliverable deadline
EMP-0706,BU-03,2024-02-18,HR Escalation,MGR-BU-03-04,Attendance and punctuality concern
EMP-0277,BU-04,2024-01-12,Coaching Session,MGR-BU-04-12,Attendance and punctuality concern
EMP-0297,BU-01,2024-01-22,Performance Review Meeting,MGR-BU-01-08,Attendance and punctuality concern
EMP-0635,BU-03,2024-02-03,Written Warning,MGR-BU-03-19,Attendance and punctuality concern
EMP-0550,BU-02,2024-03-14,Written Warning,MGR-BU-02-01,Missed key deliverable deadline
EMP-0599,BU-04,2024-03-09,Written Warning,MGR-BU-04-01,Missed key deliverable deadline
EMP-0603,BU-03,2024-01-23,Written Warning,MGR-BU-03-18,Performance below quarterly target
EMP-0470,BU-01,2024-02-21,Written Warning,MGR-BU-01-09,Attendance and punctuality concern
EMP-0116,BU-02,2024-03-21,Coaching Session,MGR-BU-02-08,Performance below quarterly target
EMP-0813,BU-02,2024-01-19,Coaching Session,MGR-BU-02-19,Attendance and punctuality concern
EMP-0226,BU-03,2024-01-19,Performance Review Meeting,MGR-BU-03-08,Performance below quarterly target
EMP-0340,BU-01,2024-03-12,Performance Review Meeting,MGR-BU-01-02,Missed key deliverable deadline
EMP-0323,BU-03,2024-03-27,Performance Review Meeting,MGR-BU-03-10,Performance below quarterly target
EMP-0378,BU-03,2024-02-02,Coaching Session,MGR-BU-03-02,Missed key deliverable deadline
EMP-0356,BU-02,2024-02-03,HR Escalation,MGR-BU-02-07,Performance below quarterly target
EMP-0850,BU-04,2024-02-24,Coaching Session,MGR-BU-04-08,Missed key deliverable deadline
EMP-0891,BU-02,2024-02-03,Coaching Session,MGR-BU-02-06,Attendance and punctuality concern
EMP-0873,BU-02,2024-01-07,HR Escalation,MGR-BU-02-08,Performance below quarterly target
EMP-0665,BU-04,2024-02-21,Performance Review Meeting,MGR-BU-04-17,Performance below quarterly target
EMP-0391,BU-02,2024-03-13,Coaching Session,MGR-BU-02-11,Performance below quarterly target
EMP-0583,BU-02,2024-03-21,Performance Review Meeting,MGR-BU-02-09,Attendance and punctuality concern
EMP-0736,BU-01,2024-01-13,Written Warning,MGR-BU-01-14,Missed key deliverable deadline
EMP-0248,BU-04,2024-01-06,HR Escalation,MGR-BU-04-01,Performance below quarterly target
EMP-0316,BU-01,2024-02-15,Coaching Session,MGR-BU-01-05,Attendance and punctuality concern
EMP-0620,BU-02,2024-01-16,HR Escalation,MGR-BU-02-07,Performance below quarterly target
EMP-0849,BU-02,2024-03-28,Coaching Session,MGR-BU-02-09,Performance below quarterly target
EMP-0223,BU-03,2024-02-21,HR Escalation,MGR-BU-03-15,Attendance and punctuality concern
EMP-0452,BU-03,2024-01-26,Performance Review Meeting,MGR-BU-03-06,Missed key deliverable deadline
EMP-0089,BU-04,2024-03-11,Coaching Session,MGR-BU-04-20,Performance below quarterly target
EMP-0420,BU-04,2024-01-05,Coaching Session,MGR-BU-04-12,Attendance and punctuality concern
EMP-0490,BU-03,2024-02-09,Performance Review Meeting,MGR-BU-03-15,Attendance and punctuality concern
EMP-0297,BU-04,2024-01-24,Coaching Session,MGR-BU-04-09,Performance below quarterly target
EMP-0081,BU-01,2024-03-03,Performance Review Meeting,MGR-BU-01-05,Attendance and punctuality concern
EMP-0498,BU-03,2024-02-22,Written Warning,MGR-BU-03-04,Missed key deliverable deadline
EMP-0580,BU-02,2024-03-09,Performance Review Meeting,MGR-BU-02-08,Attendance and punctuality concern
EMP-0476,BU-01,2024-03-18,HR Escalation,MGR-BU-01-02,Missed key deliverable deadline
EMP-0367,BU-03,2024-02-09,Performance Review Meeting,MGR-BU-03-06,Missed key deliverable deadline
EMP-0284,BU-02,2024-02-19,Written Warning,MGR-BU-02-19,Attendance and punctuality concern
EMP-0756,BU-01,2024-02-20,Performance Review Meeting,MGR-BU-01-01,Missed key deliverable deadline
EMP-0837,BU-02,2024-01-29,Written Warning,MGR-BU-02-19,Performance below quarterly target
EMP-0011,BU-02,2024-03-24,Coaching Session,MGR-BU-02-04,Attendance and punctuality concern
EMP-0961,BU-01,2024-03-05,HR Escalation,MGR-BU-01-09,Attendance and punctuality concern
EMP-0534,BU-02,2024-01-17,Coaching Session,MGR-BU-02-13,Performance below quarterly target
EMP-0915,BU-03,2024-01-02,Coaching Session,MGR-BU-03-07,Missed key deliverable deadline
EMP-0634,BU-04,2024-01-25,Performance Review Meeting,MGR-BU-04-04,Missed key deliverable deadline
EMP-0569,BU-04,2024-03-15,Coaching Session,MGR-BU-04-11,Missed key deliverable deadline
EMP-0067,BU-04,2024-02-22,Written Warning,MGR-BU-04-15,Missed key deliverable deadline
EMP-0767,BU-01,2024-01-28,Written Warning,MGR-BU-01-11,Attendance and punctuality concern
EMP-0144,BU-02,2024-01-25,Coaching Session,MGR-BU-02-15,Attendance and punctuality concern
EMP-0642,BU-01,2024-01-02,Performance Review Meeting,MGR-BU-01-13,Performance below quarterly target
EMP-0979,BU-04,2024-01-29,HR Escalation,MGR-BU-04-15,Performance below quarterly target
EMP-0933,BU-03,2024-02-21,Performance Review Meeting,MGR-BU-03-12,Performance below quarterly target
EMP-0706,BU-04,2024-01-21,Written Warning,MGR-BU-04-09,Missed key deliverable deadline
EMP-0985,BU-02,2024-01-19,Coaching Session,MGR-BU-02-14,Performance below quarterly target
EMP-0266,BU-04,2024-01-06,Coaching Session,MGR-BU-04-09,Attendance and punctuality concern
EMP-0184,BU-01,2024-01-22,Written Warning,MGR-BU-01-08,Missed key deliverable deadline
EMP-0234,BU-03,2024-03-03,Written Warning,MGR-BU-03-10,Performance below quarterly target
EMP-0665,BU-01,2024-02-23,Performance Review Meeting,MGR-BU-01-16,Attendance and punctuality concern
EMP-0567,BU-01,2024-01-12,Coaching Session,MGR-BU-01-12,Missed key deliverable deadline
EMP-0693,BU-02,2024-01-25,HR Escalation,MGR-BU-02-01,Performance below quarterly target
EMP-0605,BU-02,2024-02-20,Performance Review Meeting,MGR-BU-02-15,Attendance and punctuality concern
EMP-0524,BU-03,2024-01-10,Written Warning,MGR-BU-03-01,Missed key deliverable deadline
EMP-0703,BU-03,2024-02-02,HR Escalation,MGR-BU-03-14,Missed key deliverable deadline
EMP-0364,BU-02,2024-02-12,Performance Review Meeting,MGR-BU-02-02,Missed key deliverable deadline
EMP-0212,BU-01,2024-02-08,Written Warning,MGR-BU-01-08,Missed key deliverable deadline
EMP-0418,BU-02,2024-02-12,Written Warning,MGR-BU-02-02,Missed key deliverable deadline
EMP-0109,BU-04,2024-01-19,Written Warning,MGR-BU-04-05,Performance below quarterly target
EMP-0431,BU-03,2024-03-12,Performance Review Meeting,MGR-BU-03-12,Missed key deliverable deadline
EMP-0643,BU-04,2024-02-28,Coaching Session,MGR-BU-04-14,Missed key deliverable deadline
EMP-0489,BU-01,2024-01-28,Performance Review Meeting,MGR-BU-01-17,Missed key deliverable deadline
EMP-0108,BU-02,2024-03-28,Performance Review Meeting,MGR-BU-02-10,Missed key deliverable deadline
EMP-0977,BU-02,2024-01-30,Performance Review Meeting,MGR-BU-02-10,Missed key deliverable deadline
EMP-0852,BU-03,2024-01-05,Performance Review Meeting,MGR-BU-03-12,Performance below quarterly target
EMP-0374,BU-03,2024-01-12,Performance Review Meeting,MGR-BU-03-13,Performance below quarterly target
EMP-0049,BU-02,2024-01-19,Coaching Session,MGR-BU-02-08,Performance below quarterly target
EMP-0929,BU-02,2024-03-05,HR Escalation,MGR-BU-02-15,Missed key deliverable deadline
EMP-0199,BU-04,2024-03-26,Performance Review Meeting,MGR-BU-04-11,Missed key deliverable deadline
EMP-0049,BU-04,2024-02-14,HR Escalation,MGR-BU-04-12,Performance below quarterly target
EMP-0483,BU-01,2024-01-26,Performance Review Meeting,MGR-BU-01-14,Attendance and punctuality concern
EMP-0074,BU-03,2024-03-24,HR Escalation,MGR-BU-03-18,Performance below quarterly target
EMP-0777,BU-03,2024-03-16,Performance Review Meeting,MGR-BU-03-14,Missed key deliverable deadline
EMP-0826,BU-01,2024-03-09,HR Escalation,MGR-BU-01-14,Performance below quarterly target
EMP-0435,BU-03,2024-01-01,HR Escalation,MGR-BU-03-07,Missed key deliverable deadline
EMP-0273,BU-01,2024-03-09,HR Escalation,MGR-BU-01-04,Missed key deliverable deadline
EMP-0973,BU-02,2024-02-07,Written Warning,MGR-BU-02-13,Performance below quarterly target
EMP-0276,BU-02,2024-02-27,HR Escalation,MGR-BU-02-20,Missed key deliverable deadline
EMP-0402,BU-02,2024-02-25,Performance Review Meeting,MGR-BU-02-08,Missed key deliverable deadline
EMP-0261,BU-01,2024-03-25,Performance Review Meeting,MGR-BU-01-08,Attendance and punctuality concern
EMP-0862,BU-04,2024-01-09,Written Warning,MGR-BU-04-09,Attendance and punctuality concern
EMP-0177,BU-04,2024-02-17,Written Warning,MGR-BU-04-17,Performance below quarterly target
EMP-0411,BU-01,2024-02-27,Performance Review Meeting,MGR-BU-01-13,Performance below quarterly target
EMP-0904,BU-01,2024-03-31,Written Warning,MGR-BU-01-02,Attendance and punctuality concern
EMP-0248,BU-03,2024-02-10,Written Warning,MGR-BU-03-04,Attendance and punctuality concern
EMP-0235,BU-03,2024-03-17,Written Warning,MGR-BU-03-03,Missed key deliverable deadline
EMP-0244,BU-02,2024-01-09,Coaching Session,MGR-BU-02-09,Missed key deliverable deadline
EMP-0507,BU-03,2024-03-17,Coaching Session,MGR-BU-03-05,Performance below quarterly target
EMP-0544,BU-02,2024-02-29,Performance Review Meeting,MGR-BU-02-12,Missed key deliverable deadline
EMP-0057,BU-02,2024-02-25,Performance Review Meeting,MGR-BU-02-17,Performance below quarterly target
EMP-0565,BU-01,2024-01-14,HR Escalation,MGR-BU-01-06,Performance below quarterly target
EMP-0732,BU-02,2024-03-16,Written Warning,MGR-BU-02-04,Attendance and punctuality concern
EMP-0866,BU-03,2024-01-13,Written Warning,MGR-BU-03-15,Attendance and punctuality concern
EMP-0377,BU-04,2024-03-23,Written Warning,MGR-BU-04-06,Missed key deliverable deadline
EMP-0549,BU-02,2024-02-22,HR Escalation,MGR-BU-02-12,Missed key deliverable deadline
EMP-0076,BU-01,2024-03-21,Coaching Session,MGR-BU-01-10,Performance below quarterly target
EMP-0312,BU-03,2024-02-23,Written Warning,MGR-BU-03-17,Missed key deliverable deadline
EMP-0393,BU-01,2024-01-08,Performance Review Meeting,MGR-BU-01-13,Attendance and punctuality concern
EMP-0279,BU-03,2024-02-01,HR Escalation,MGR-BU-03-05,Performance below quarterly target
EMP-0260,BU-03,2024-03-22,Performance Review Meeting,MGR-BU-03-13,Missed key deliverable deadline
EMP-0533,BU-03,2024-02-02,Performance Review Meeting,MGR-BU-03-05,Attendance and punctuality concern
EMP-0005,BU-01,2024-01-18,Written Warning,MGR-BU-01-13,Missed key deliverable deadline
EMP-0893,BU-01,2024-02-22,HR Escalation,MGR-BU-01-17,Attendance and punctuality concern
EMP-0928,BU-01,2024-02-23,HR Escalation,MGR-BU-01-01,Performance below quarterly target
EMP-0617,BU-02,2024-03-04,Coaching Session,MGR-BU-02-14,Missed key deliverable deadline
EMP-0464,BU-02,2024-03-18,Coaching Session,MGR-BU-02-15,Performance below quarterly target
EMP-0964,BU-04,2024-03-26,Performance Review Meeting,MGR-BU-04-07,Missed key deliverable deadline
EMP-0354,BU-02,2024-01-17,Performance Review Meeting,MGR-BU-02-09,Attendance and punctuality concern
EMP-0599,BU-03,2024-01-02,Performance Review Meeting,MGR-BU-03-04,Missed key deliverable deadline
EMP-0263,BU-01,2024-03-24,Written Warning,MGR-BU-01-19,Attendance and punctuality concern
EMP-0612,BU-03,2024-01-29,Performance Review Meeting,MGR-BU-03-04,Missed key deliverable deadline
EMP-0190,BU-04,2024-02-09,Performance Review Meeting,MGR-BU-04-06,Performance below quarterly target
EMP-0585,BU-04,2024-01-21,Written Warning,MGR-BU-04-04,Missed key deliverable deadline
EMP-0920,BU-01,2024-02-11,Written Warning,MGR-BU-01-05,Performance below quarterly target
EMP-0687,BU-04,2024-03-25,HR Escalation,MGR-BU-04-03,Attendance and punctuality concern
EMP-0245,BU-03,2024-03-04,HR Escalation,MGR-BU-03-17,Attendance and punctuality concern
EMP-0526,BU-01,2024-01-01,Coaching Session,MGR-BU-01-10,Performance below quarterly target
EMP-0013,BU-03,2024-01-13,Written Warning,MGR-BU-03-03,Performance below quarterly target
EMP-0387,BU-02,2024-03-24,Written Warning,MGR-BU-02-09,Attendance and punctuality concern
EMP-0005,BU-04,2024-01-29,Written Warning,MGR-BU-04-12,Missed key deliverable deadline
EMP-0748,BU-02,2024-01-07,Performance Review Meeting,MGR-BU-02-09,Performance below quarterly target
EMP-0593,BU-02,2024-01-05,Performance Review Meeting,MGR-BU-02-08,Performance below quarterly target
EMP-0156,BU-02,2024-01-01,Coaching Session,MGR-BU-02-11,Performance below quarterly target
EMP-0586,BU-02,2024-03-04,Coaching Session,MGR-BU-02-05,Attendance and punctuality concern
EMP-0737,BU-04,2024-02-23,Performance Review Meeting,MGR-BU-04-14,Missed key deliverable deadline
EMP-0197,BU-01,2024-01-22,Written Warning,MGR-BU-01-10,Performance below quarterly target
EMP-0196,BU-03,2024-02-13,Coaching Session,MGR-BU-03-11,Missed key deliverable deadline
EMP-0861,BU-02,2024-03-07,Performance Review Meeting,MGR-BU-02-08,Attendance and punctuality concern
EMP-0507,BU-04,2024-01-13,Coaching Session,MGR-BU-04-19,Attendance and punctuality concern
EMP-0992,BU-02,2024-03-17,Written Warning,MGR-BU-02-07,Attendance and punctuality concern
EMP-0723,BU-04,2024-03-17,Performance Review Meeting,MGR-BU-04-20,Missed key deliverable deadline
EMP-0396,BU-04,2024-02-14,Performance Review Meeting,MGR-BU-04-13,Missed key deliverable deadline
EMP-0219,BU-04,2024-01-24,Performance Review Meeting,MGR-BU-04-09,Attendance and punctuality concern
EMP-0179,BU-02,2024-01-10,Performance Review Meeting,MGR-BU-02-15,Attendance and punctuality concern
EMP-0717,BU-02,2024-01-10,Performance Review Meeting,MGR-BU-02-02,Attendance and punctuality concern
EMP-0888,BU-02,2024-02-16,Coaching Session,MGR-BU-02-19,Attendance and punctuality concern
EMP-0022,BU-02,2024-03-11,Performance Review Meeting,MGR-BU-02-17,Performance below quarterly target
EMP-0152,BU-02,2024-02-29,Performance Review Meeting,MGR-BU-02-09,Performance below quarterly target
EMP-0958,BU-04,2024-01-30,Performance Review Meeting,MGR-BU-04-07,Performance below quarterly target
EMP-0981,BU-04,2024-01-22,HR Escalation,MGR-BU-04-03,Attendance and punctuality concern
EMP-0615,BU-04,2024-02-03,Written Warning,MGR-BU-04-10,Performance below quarterly target
EMP-0477,BU-04,2024-02-08,Performance Review Meeting,MGR-BU-04-08,Missed key deliverable deadline
EMP-0236,BU-04,2024-03-28,HR Escalation,MGR-BU-04-03,Missed key deliverable deadline
EMP-0783,BU-04,2024-03-30,HR Escalation,MGR-BU-04-19,Missed key deliverable deadline
EMP-0473,BU-04,2024-03-25,HR Escalation,MGR-BU-04-18,Performance below quarterly target
EMP-0293,BU-01,2024-01-28,Coaching Session,MGR-BU-01-07,Attendance and punctuality concern
EMP-0050,BU-03,2024-02-28,Coaching Session,MGR-BU-03-04,Performance below quarterly target
EMP-0086,BU-04,2024-03-05,HR Escalation,MGR-BU-04-04,Attendance and punctuality concern
EMP-0808,BU-01,2024-02-24,Written Warning,MGR-BU-01-08,Attendance and punctuality concern
EMP-0825,BU-01,2024-02-20,Coaching Session,MGR-BU-01-06,Attendance and punctuality concern
EMP-0752,BU-02,2024-01-21,Coaching Session,MGR-BU-02-19,Missed key deliverable deadline
EMP-0641,BU-03,2024-02-16,HR Escalation,MGR-BU-03-05,Missed key deliverable deadline
EMP-0203,BU-01,2024-03-10,Coaching Session,MGR-BU-01-06,Missed key deliverable deadline
EMP-0059,BU-04,2024-03-01,Coaching Session,MGR-BU-04-18,Missed key deliverable deadline
EMP-0583,BU-04,2024-02-28,Coaching Session,MGR-BU-04-03,Missed key deliverable deadline
EMP-0009,BU-02,2024-03-03,Performance Review Meeting,MGR-BU-02-06,Missed key deliverable deadline
EMP-0136,BU-04,2024-02-10,Coaching Session,MGR-BU-04-11,Attendance and punctuality concern
EMP-0208,BU-04,2024-02-25,Coaching Session,MGR-BU-04-02,Missed key deliverable deadline
EMP-0425,BU-02,2024-01-13,HR Escalation,MGR-BU-02-07,Performance below quarterly target
EMP-0433,BU-01,2024-02-28,Written Warning,MGR-BU-01-12,Attendance and punctuality concern
EMP-0164,BU-01,2024-03-21,Written Warning,MGR-BU-01-02,Performance below quarterly target
EMP-0422,BU-02,2024-02-13,Performance Review Meeting,MGR-BU-02-03,Performance below quarterly target
EMP-0799,BU-01,2024-02-28,Performance Review Meeting,MGR-BU-01-15,Attendance and punctuality concern
EMP-0503,BU-04,2024-01-27,Performance Review Meeting,MGR-BU-04-20,Attendance and punctuality concern
EMP-0488,BU-01,2024-01-22,Performance Review Meeting,MGR-BU-01-05,Performance below quarterly target
EMP-0663,BU-01,2024-01-20,Written Warning,MGR-BU-01-02,Performance below quarterly target
EMP-0191,BU-01,2024-01-14,Coaching Session,MGR-BU-01-05,Attendance and punctuality concern
EMP-0718,BU-03,2024-02-17,Written Warning,MGR-BU-03-01,Attendance and punctuality concern
EMP-0077,BU-02,2024-02-29,HR Escalation,MGR-BU-02-03,Attendance and punctuality concern
EMP-0039,BU-01,2024-02-03,Coaching Session,MGR-BU-01-08,Performance below quarterly target
EMP-0578,BU-01,2024-03-26,HR Escalation,MGR-BU-01-18,Missed key deliverable deadline
EMP-0191,BU-02,2024-03-04,Performance Review Meeting,MGR-BU-02-06,Performance below quarterly target
EMP-0175,BU-03,2024-01-15,HR Escalation,MGR-BU-03-09,Missed key deliverable deadline
EMP-0834,BU-03,2024-01-19,HR Escalation,MGR-BU-03-17,Attendance and punctuality concern
EMP-0546,BU-02,2024-01-19,Performance Review Meeting,MGR-BU-02-16,Missed key deliverable deadline
EMP-0303,BU-01,2024-01-16,Performance Review Meeting,MGR-BU-01-18,Missed key deliverable deadline
EMP-0760,BU-02,2024-03-30,HR Escalation,MGR-BU-02-08,Performance below quarterly target
EMP-0473,BU-03,2024-02-23,Performance Review Meeting,MGR-BU-03-20,Performance below quarterly target
EMP-0346,BU-01,2024-02-07,HR Escalation,MGR-BU-01-05,Missed key deliverable deadline
EMP-0568,BU-03,2024-02-24,Performance Review Meeting,MGR-BU-03-03,Attendance and punctuality concern
EMP-0265,BU-03,2024-01-26,Written Warning,MGR-BU-03-13,Missed key deliverable deadline
EMP-0943,BU-04,2024-01-26,Written Warning,MGR-BU-04-17,Attendance and punctuality concern
EMP-0616,BU-04,2024-01-12,Written Warning,MGR-BU-04-14,Attendance and punctuality concern
EMP-0781,BU-03,2024-01-11,Coaching Session,MGR-BU-03-07,Attendance and punctuality concern
EMP-0453,BU-04,2024-03-12,HR Escalation,MGR-BU-04-16,Missed key deliverable deadline
EMP-0739,BU-03,2024-03-30,HR Escalation,MGR-BU-03-16,Missed key deliverable deadline
EMP-0408,BU-02,2024-03-14,Written Warning,MGR-BU-02-08,Attendance and punctuality concern
EMP-0131,BU-01,2024-01-30,HR Escalation,MGR-BU-01-13,Performance below quarterly target
EMP-0064,BU-01,2024-03-06,HR Escalation,MGR-BU-01-01,Missed key deliverable deadline
EMP-0620,BU-01,2024-01-02,HR Escalation,MGR-BU-01-17,Attendance and punctuality concern
EMP-0026,BU-02,2024-01-29,HR Escalation,MGR-BU-02-03,Performance below quarterly target
EMP-0897,BU-01,2024-02-05,Performance Review Meeting,MGR-BU-01-01,Missed key deliverable deadline
EMP-0073,BU-01,2024-03-11,HR Escalation,MGR-BU-01-16,Performance below quarterly target
EMP-0031,BU-03,2024-03-21,HR Escalation,MGR-BU-03-02,Missed key deliverable deadline
EMP-0369,BU-03,2024-02-18,Coaching Session,MGR-BU-03-06,Attendance and punctuality concern
EMP-0144,BU-01,2024-02-02,Coaching Session,MGR-BU-01-12,Attendance and punctuality concern
EMP-0719,BU-04,2024-03-17,Performance Review Meeting,MGR-BU-04-10,Attendance and punctuality concern
EMP-0885,BU-04,2024-03-18,HR Escalation,MGR-BU-04-18,Missed key deliverable deadline
EMP-0518,BU-03,2024-03-20,HR Escalation,MGR-BU-03-01,Attendance and punctuality concern
EMP-0136,BU-02,2024-01-09,Performance Review Meeting,MGR-BU-02-14,Attendance and punctuality concern
EMP-0591,BU-01,2024-02-02,Performance Review Meeting,MGR-BU-01-16,Missed key deliverable deadline
EMP-0362,BU-02,2024-03-10,Written Warning,MGR-BU-02-07,Missed key deliverable deadline
EMP-0337,BU-03,2024-02-10,HR Escalation,MGR-BU-03-12,Performance below quarterly target
EMP-0876,BU-03,2024-01-06,Performance Review Meeting,MGR-BU-03-01,Attendance and punctuality concern
EMP-0798,BU-04,2024-03-05,Performance Review Meeting,MGR-BU-04-05,Performance below quarterly target
EMP-0254,BU-04,2024-02-24,HR Escalation,MGR-BU-04-11,Attendance and punctuality concern
EMP-0669,BU-04,2024-01-05,HR Escalation,MGR-BU-04-20,Performance below quarterly target
EMP-0206,BU-01,2024-03-13,HR Escalation,MGR-BU-01-03,Missed key deliverable deadline
EMP-0557,BU-03,2024-03-20,Coaching Session,MGR-BU-03-03,Performance below quarterly target
EMP-0193,BU-01,2024-02-04,HR Escalation,MGR-BU-01-18,Missed key deliverable deadline
EMP-0413,BU-03,2024-03-18,Performance Review Meeting,MGR-BU-03-07,Missed key deliverable deadline
EMP-0339,BU-03,2024-03-29,HR Escalation,MGR-BU-03-20,Attendance and punctuality concern
EMP-0587,BU-04,2024-02-14,Coaching Session,MGR-BU-04-11,Performance below quarterly target
EMP-0218,BU-03,2024-03-21,Written Warning,MGR-BU-03-11,Performance below quarterly target
