gateway_id,transaction_id,merchant_id,transaction_date,amount_usd,payment_instrument_id
ALPHA,TXN-102178,MCH-032,2024-01-01 08:25:36.000000000,210.18,PMT-006501
ALPHA,TXN-100449,MCH-007,2024-01-01 10:23:31.000000000,88.17,PMT-001253
ALPHA,TXN-100716,MCH-008,2024-01-01 10:28:28.000000000,135.87,PMT-001520
ALPHA,TXN-103031,MCH-041,2024-01-01 10:34:10.000000000,73.92,PMT-008251
ALPHA,TXN-102641,MCH-039,2024-01-01 11:09:16.000000000,64.72,PMT-007861
ALPHA,TXN-103243,MCH-041,2024-01-01 12:15:26.000000000,101.53,PMT-008463
ALPHA,TXN-100590,MCH-007,2024-01-01 12:24:06.000000000,112.4,PMT-001394
ALPHA,TXN-102103,MCH-032,2024-01-01 12:53:50.000000000,243.78,PMT-006426
ALPHA,TXN-101941,MCH-031,2024-01-01 13:17:56.000000000,102.48,PMT-006264
ALPHA,TXN-900154,MCH-012,2024-01-01 13:18:21.000000000,152.97,PMT-002277
ALPHA,TXN-103347,MCH-050,2024-01-01 13:47:45.000000000,100.34,PMT-010141
ALPHA,TXN-101265,MCH-012,2024-01-01 14:01:38.000000000,89.1,PMT-002273
ALPHA,TXN-101395,MCH-012,2024-01-01 15:09:36.000000000,184.38,PMT-002403
ALPHA,TXN-102658,MCH-039,2024-01-01 15:14:47.000000000,139.73,PMT-007878
ALPHA,TXN-102033,MCH-032,2024-01-01 15:25:38.000000000,62.8,PMT-006356
ALPHA,TXN-100823,MCH-008,2024-01-01 15:32:16.000000000,138.87,PMT-001627
ALPHA,TXN-102672,MCH-039,2024-01-01 15:54:17.000000000,66.66,PMT-007892
ALPHA,TXN-850077,MCH-029,2024-01-01 16:00:00.000000000,132.1,PMT-DEC0008
ALPHA,TXN-101732,MCH-029,2024-01-01 16:00:11.000000000,206.39,PMT-005857
ALPHA,TXN-870007,MCH-039,2024-01-01 16:22:23.361796436,83.31,PMT-BND-DJ0001
ALPHA,TXN-102041,MCH-032,2024-01-01 16:26:28.000000000,66.1,PMT-006364
ALPHA,TXN-100400,MCH-005,2024-01-01 16:32:50.000000000,170.01,PMT-000969
ALPHA,TXN-100326,MCH-005,2024-01-01 17:20:44.000000000,155.21,PMT-000895
ALPHA,TXN-102214,MCH-036,2024-01-01 18:08:42.000000000,104.05,PMT-007200
ALPHA,TXN-102471,MCH-038,2024-01-01 19:31:07.000000000,57.08,PMT-007691
ALPHA,TXN-102516,MCH-038,2024-01-01 21:04:25.000000000,88.89,PMT-007736
ALPHA,TXN-100055,MCH-002,2024-01-01 22:30:45.000000000,122.06,PMT-000233
ALPHA,TXN-101172,MCH-011,2024-01-02 00:02:20.000000000,46.94,PMT-002180
ALPHA,TXN-100423,MCH-005,2024-01-02 00:46:08.000000000,112.22,PMT-000992
ALPHA,TXN-103074,MCH-041,2024-01-02 01:34:21.000000000,206.63,PMT-008294
ALPHA,TXN-103135,MCH-041,2024-01-02 02:46:36.000000000,375.17,PMT-008355
ALPHA,TXN-103182,MCH-041,2024-01-02 02:48:03.000000000,77.74,PMT-008402
ALPHA,TXN-102904,MCH-040,2024-01-02 02:49:55.000000000,78.61,PMT-008124
ALPHA,TXN-102447,MCH-038,2024-01-02 03:05:24.000000000,71.59,PMT-007667
ALPHA,TXN-103228,MCH-041,2024-01-02 03:16:24.000000000,112.62,PMT-008448
ALPHA,TXN-100405,MCH-005,2024-01-02 03:39:52.000000000,79.95,PMT-000974
ALPHA,TXN-100773,MCH-008,2024-01-02 03:46:56.000000000,126.8,PMT-001577
ALPHA,TXN-102947,MCH-040,2024-01-02 04:41:22.000000000,202.31,PMT-008167
ALPHA,TXN-100738,MCH-008,2024-01-02 04:48:27.000000000,81.07,PMT-001542
ALPHA,TXN-101063,MCH-011,2024-01-02 05:15:30.000000000,148.65,PMT-002071
ALPHA,TXN-101811,MCH-031,2024-01-02 05:28:33.000000000,217.04,PMT-006134
ALPHA,TXN-101638,MCH-029,2024-01-02 05:45:24.000000000,88.89,PMT-005763
ALPHA,TXN-100184,MCH-002,2024-01-02 07:38:29.000000000,255.01,PMT-000362
ALPHA,TXN-102495,MCH-038,2024-01-02 07:52:47.000000000,87.7,PMT-007715
ALPHA,TXN-900018,MCH-012,2024-01-02 09:10:07.000000000,95.29,PMT-002408
ALPHA,TXN-103324,MCH-050,2024-01-02 09:22:06.000000000,42.76,PMT-010118
ALPHA,TXN-103424,MCH-050,2024-01-02 09:37:28.000000000,69.3,PMT-010218
ALPHA,TXN-101303,MCH-012,2024-01-02 10:36:37.000000000,140.07,PMT-002311
ALPHA,TXN-101502,MCH-022,2024-01-02 10:43:35.000000000,150.29,PMT-004440
ALPHA,TXN-102438,MCH-038,2024-01-02 11:31:31.000000000,135.85,PMT-007658
ALPHA,TXN-102226,MCH-036,2024-01-02 11:40:00.000000000,130.78,PMT-007212
ALPHA,TXN-101450,MCH-022,2024-01-02 11:42:07.000000000,214.95,PMT-004388
ALPHA,TXN-102901,MCH-040,2024-01-02 12:24:09.000000000,131.97,PMT-008121
ALPHA,TXN-103134,MCH-041,2024-01-02 12:42:52.000000000,115.58,PMT-008354
ALPHA,TXN-103220,MCH-041,2024-01-02 13:10:05.000000000,331.33,PMT-008440
ALPHA,TXN-100608,MCH-007,2024-01-02 13:18:42.000000000,100.87,PMT-001412
ALPHA,TXN-102418,MCH-038,2024-01-02 13:56:24.000000000,72.68,PMT-007638
ALPHA,TXN-102124,MCH-032,2024-01-02 14:18:16.000000000,107.13,PMT-006447
ALPHA,TXN-102371,MCH-036,2024-01-02 15:24:29.000000000,175.26,PMT-007357
ALPHA,TXN-103004,MCH-040,2024-01-02 15:33:38.000000000,70.95,PMT-008224
ALPHA,TXN-101127,MCH-011,2024-01-02 16:11:12.000000000,70.51,PMT-002135
ALPHA,TXN-102121,MCH-032,2024-01-02 16:17:14.000000000,147.14,PMT-006444
ALPHA,TXN-101266,MCH-012,2024-01-02 17:00:03.000000000,139.36,PMT-002274
ALPHA,TXN-100425,MCH-007,2024-01-02 17:40:20.000000000,57.99,PMT-001229
ALPHA,TXN-101351,MCH-012,2024-01-02 17:58:18.000000000,95.8,PMT-002359
ALPHA,TXN-103343,MCH-050,2024-01-02 18:50:42.000000000,125.57,PMT-010137
ALPHA,TXN-102407,MCH-038,2024-01-02 19:12:15.000000000,147.96,PMT-007627
ALPHA,TXN-900047,MCH-039,2024-01-02 19:21:35.000000000,140.41,PMT-007980
ALPHA,TXN-101693,MCH-029,2024-01-02 19:28:35.000000000,278.12,PMT-005818
ALPHA,TXN-101909,MCH-031,2024-01-02 19:31:15.000000000,73.66,PMT-006232
ALPHA,TXN-103439,MCH-050,2024-01-02 19:41:23.000000000,69.8,PMT-010233
ALPHA,TXN-100389,MCH-005,2024-01-02 20:13:32.000000000,75.32,PMT-000958
ALPHA,TXN-100829,MCH-008,2024-01-02 21:25:29.000000000,137.04,PMT-001633
ALPHA,TXN-900023,MCH-041,2024-01-02 22:40:21.000000000,140.9,PMT-008334
ALPHA,TXN-103284,MCH-050,2024-01-02 23:08:30.000000000,57.24,PMT-010078
ALPHA,TXN-101456,MCH-022,2024-01-03 00:52:06.000000000,82.43,PMT-004394
ALPHA,TXN-102085,MCH-032,2024-01-03 02:09:02.000000000,422.37,PMT-006408
ALPHA,TXN-102271,MCH-036,2024-01-03 02:17:06.000000000,252.06,PMT-007257
ALPHA,TXN-103447,MCH-050,2024-01-03 02:34:53.000000000,177.48,PMT-010241
ALPHA,TXN-101449,MCH-022,2024-01-03 02:42:14.000000000,157.29,PMT-004387
ALPHA,TXN-102417,MCH-038,2024-01-03 02:43:21.000000000,114.28,PMT-007637
ALPHA,TXN-102727,MCH-039,2024-01-03 02:54:05.000000000,162.27,PMT-007947
ALPHA,TXN-101974,MCH-032,2024-01-03 03:02:42.000000000,176.28,PMT-006297
ALPHA,TXN-100686,MCH-008,2024-01-03 03:10:29.000000000,124.36,PMT-001490
ALPHA,TXN-102999,MCH-040,2024-01-03 03:46:57.000000000,53.57,PMT-008219
ALPHA,TXN-103099,MCH-041,2024-01-03 03:59:13.000000000,205.01,PMT-008319
ALPHA,TXN-100406,MCH-005,2024-01-03 04:29:24.000000000,85.51,PMT-000975
ALPHA,TXN-102078,MCH-032,2024-01-03 04:56:20.000000000,122.65,PMT-006401
ALPHA,TXN-101437,MCH-022,2024-01-03 06:41:12.000000000,196.0,PMT-004375
ALPHA,TXN-101224,MCH-012,2024-01-03 07:39:59.000000000,149.82,PMT-002232
ALPHA,TXN-101350,MCH-012,2024-01-03 08:57:34.000000000,128.6,PMT-002358
ALPHA,TXN-900175,MCH-040,2024-01-03 09:04:40.000000000,49.29,PMT-008173
ALPHA,TXN-102695,MCH-039,2024-01-03 09:10:58.000000000,87.32,PMT-007915
ALPHA,TXN-100487,MCH-007,2024-01-03 09:56:46.000000000,96.24,PMT-001291
ALPHA,TXN-102102,MCH-032,2024-01-03 11:16:56.000000000,322.59,PMT-006425
ALPHA,TXN-102605,MCH-039,2024-01-03 11:30:59.000000000,112.52,PMT-007825
ALPHA,TXN-102653,MCH-039,2024-01-03 12:53:12.000000000,316.67,PMT-007873
ALPHA,TXN-103299,MCH-050,2024-01-03 13:16:08.000000000,62.23,PMT-010093
ALPHA,TXN-102644,MCH-039,2024-01-03 13:22:50.000000000,167.83,PMT-007864
ALPHA,TXN-100617,MCH-007,2024-01-03 14:09:17.000000000,376.04,PMT-001421
ALPHA,TXN-101562,MCH-022,2024-01-03 14:19:54.000000000,73.56,PMT-004500
ALPHA,TXN-102711,MCH-039,2024-01-03 14:28:54.000000000,124.85,PMT-007931
ALPHA,TXN-102596,MCH-039,2024-01-03 16:23:05.000000000,243.64,PMT-007816
ALPHA,TXN-100118,MCH-002,2024-01-03 16:23:53.000000000,47.01,PMT-000296
ALPHA,TXN-101544,MCH-022,2024-01-03 16:29:45.000000000,97.68,PMT-004482
ALPHA,TXN-100990,MCH-010,2024-01-03 16:47:10.000000000,158.05,PMT-001998
ALPHA,TXN-100671,MCH-008,2024-01-03 17:17:27.000000000,102.8,PMT-001475
ALPHA,TXN-101087,MCH-011,2024-01-03 18:02:40.000000000,186.01,PMT-002095
ALPHA,TXN-900026,MCH-041,2024-01-03 19:28:24.000000000,55.74,PMT-008357
ALPHA,TXN-100516,MCH-007,2024-01-03 21:08:22.000000000,82.48,PMT-001320
ALPHA,TXN-100965,MCH-010,2024-01-03 21:13:19.000000000,725.28,PMT-001973
ALPHA,TXN-101549,MCH-022,2024-01-03 21:42:48.000000000,134.21,PMT-004487
ALPHA,TXN-103069,MCH-041,2024-01-03 21:52:42.000000000,263.85,PMT-008289
ALPHA,TXN-100283,MCH-005,2024-01-03 22:18:35.000000000,172.56,PMT-000852
ALPHA,TXN-101730,MCH-029,2024-01-03 22:30:47.000000000,82.28,PMT-005855
ALPHA,TXN-102530,MCH-038,2024-01-04 00:39:42.000000000,211.31,PMT-007750
ALPHA,TXN-102201,MCH-036,2024-01-04 00:57:59.000000000,68.55,PMT-007187
ALPHA,TXN-100615,MCH-007,2024-01-04 01:26:23.000000000,138.18,PMT-001419
ALPHA,TXN-102288,MCH-036,2024-01-04 02:11:14.000000000,147.95,PMT-007274
ALPHA,TXN-103036,MCH-041,2024-01-04 02:19:19.000000000,250.71,PMT-008256
ALPHA,TXN-100654,MCH-008,2024-01-04 02:27:37.000000000,224.06,PMT-001458
ALPHA,TXN-100058,MCH-002,2024-01-04 02:28:19.000000000,27.59,PMT-000236
ALPHA,TXN-101669,MCH-029,2024-01-04 04:41:49.000000000,92.02,PMT-005794
ALPHA,TXN-100490,MCH-007,2024-01-04 05:09:08.000000000,240.65,PMT-001294
ALPHA,TXN-100747,MCH-008,2024-01-04 05:21:10.000000000,39.45,PMT-001551
ALPHA,TXN-102698,MCH-039,2024-01-04 05:48:53.000000000,170.7,PMT-007918
ALPHA,TXN-101384,MCH-012,2024-01-04 06:27:42.000000000,73.44,PMT-002392
ALPHA,TXN-900061,MCH-008,2024-01-04 06:36:03.000000000,37.04,PMT-001616
ALPHA,TXN-100084,MCH-002,2024-01-04 07:14:58.000000000,120.93,PMT-000262
ALPHA,TXN-102992,MCH-040,2024-01-04 07:31:57.000000000,105.15,PMT-008212
ALPHA,TXN-101540,MCH-022,2024-01-04 07:52:03.000000000,102.14,PMT-004478
ALPHA,TXN-100822,MCH-008,2024-01-04 07:54:00.000000000,179.57,PMT-001626
ALPHA,TXN-101542,MCH-022,2024-01-04 08:00:24.000000000,155.32,PMT-004480
ALPHA,TXN-101175,MCH-011,2024-01-04 08:16:47.000000000,280.83,PMT-002183
ALPHA,TXN-101462,MCH-022,2024-01-04 09:37:20.000000000,145.01,PMT-004400
ALPHA,TXN-100894,MCH-010,2024-01-04 12:13:23.000000000,267.06,PMT-001902
ALPHA,TXN-101109,MCH-011,2024-01-04 13:02:32.000000000,62.46,PMT-002117
ALPHA,TXN-102650,MCH-039,2024-01-04 13:37:49.000000000,65.51,PMT-007870
ALPHA,TXN-102632,MCH-039,2024-01-04 13:48:48.000000000,30.69,PMT-007852
ALPHA,TXN-100356,MCH-005,2024-01-04 14:09:21.000000000,183.53,PMT-000925
ALPHA,TXN-103126,MCH-041,2024-01-04 14:12:36.000000000,296.75,PMT-008346
ALPHA,TXN-100661,MCH-008,2024-01-04 15:05:00.000000000,140.28,PMT-001465
ALPHA,TXN-102841,MCH-040,2024-01-04 15:22:52.000000000,115.2,PMT-008061
ALPHA,TXN-102788,MCH-039,2024-01-04 15:47:28.000000000,133.33,PMT-008008
ALPHA,TXN-102173,MCH-032,2024-01-04 17:00:00.000000000,193.3,PMT-006496
ALPHA,TXN-100454,MCH-007,2024-01-04 18:12:08.000000000,122.75,PMT-001258
ALPHA,TXN-100234,MCH-005,2024-01-04 18:31:08.000000000,114.11,PMT-000803
ALPHA,TXN-103170,MCH-041,2024-01-04 19:06:30.000000000,284.41,PMT-008390
ALPHA,TXN-102066,MCH-032,2024-01-04 19:33:19.000000000,195.28,PMT-006389
ALPHA,TXN-102474,MCH-038,2024-01-04 19:48:33.000000000,54.08,PMT-007694
ALPHA,TXN-101548,MCH-022,2024-01-04 19:49:06.000000000,111.15,PMT-004486
ALPHA,TXN-102941,MCH-040,2024-01-04 20:50:15.000000000,132.3,PMT-008161
ALPHA,TXN-102607,MCH-039,2024-01-04 20:57:29.000000000,56.25,PMT-007827
ALPHA,TXN-101655,MCH-029,2024-01-04 21:41:35.000000000,241.9,PMT-005780
ALPHA,TXN-102488,MCH-038,2024-01-04 23:21:07.000000000,298.12,PMT-007708
ALPHA,TXN-101703,MCH-029,2024-01-04 23:56:50.000000000,90.94,PMT-005828
ALPHA,TXN-100609,MCH-007,2024-01-05 00:10:46.000000000,229.44,PMT-001413
ALPHA,TXN-101145,MCH-011,2024-01-05 02:24:06.000000000,80.14,PMT-002153
ALPHA,TXN-101030,MCH-010,2024-01-05 02:32:22.000000000,82.55,PMT-002038
ALPHA,TXN-103039,MCH-041,2024-01-05 02:36:14.000000000,292.38,PMT-008259
ALPHA,TXN-900042,MCH-022,2024-01-05 02:46:59.000000000,194.32,PMT-004504
ALPHA,TXN-103372,MCH-050,2024-01-05 03:29:57.000000000,137.72,PMT-010166
ALPHA,TXN-103109,MCH-041,2024-01-05 04:07:46.000000000,148.68,PMT-008329
ALPHA,TXN-103128,MCH-041,2024-01-05 04:19:45.000000000,205.39,PMT-008348
ALPHA,TXN-103146,MCH-041,2024-01-05 05:41:08.000000000,120.9,PMT-008366
ALPHA,TXN-101569,MCH-022,2024-01-05 08:14:03.000000000,58.67,PMT-004507
ALPHA,TXN-101763,MCH-031,2024-01-05 08:17:51.000000000,200.29,PMT-006086
ALPHA,TXN-102921,MCH-040,2024-01-05 09:49:56.000000000,49.7,PMT-008141
ALPHA,TXN-102240,MCH-036,2024-01-05 09:53:50.000000000,156.14,PMT-007226
ALPHA,TXN-101771,MCH-031,2024-01-05 09:54:04.000000000,86.77,PMT-006094
ALPHA,TXN-100088,MCH-002,2024-01-05 09:59:55.000000000,173.14,PMT-000266
ALPHA,TXN-900114,MCH-002,2024-01-05 10:21:06.000000000,40.86,PMT-000282
ALPHA,TXN-101671,MCH-029,2024-01-05 10:22:09.000000000,183.95,PMT-005796
ALPHA,TXN-102349,MCH-036,2024-01-05 10:22:24.000000000,237.44,PMT-007335
ALPHA,TXN-101590,MCH-022,2024-01-05 11:18:01.000000000,232.43,PMT-004528
ALPHA,TXN-100401,MCH-005,2024-01-05 11:44:32.000000000,167.38,PMT-000970
ALPHA,TXN-101927,MCH-031,2024-01-05 11:57:55.000000000,116.7,PMT-006250
ALPHA,TXN-102916,MCH-040,2024-01-05 12:26:46.000000000,87.83,PMT-008136
ALPHA,TXN-101260,MCH-012,2024-01-05 12:42:57.000000000,93.98,PMT-002268
ALPHA,TXN-100535,MCH-007,2024-01-05 13:09:41.000000000,134.73,PMT-001339
ALPHA,TXN-103241,MCH-041,2024-01-05 14:09:13.000000000,291.43,PMT-008461
ALPHA,TXN-103022,MCH-040,2024-01-05 14:44:24.000000000,136.42,PMT-008242
ALPHA,TXN-102553,MCH-038,2024-01-05 16:04:16.000000000,194.13,PMT-007773
ALPHA,TXN-102852,MCH-040,2024-01-05 18:58:15.000000000,186.58,PMT-008072
ALPHA,TXN-102935,MCH-040,2024-01-05 19:06:06.000000000,314.77,PMT-008155
ALPHA,TXN-900131,MCH-036,2024-01-05 20:40:43.000000000,192.96,PMT-007264
ALPHA,TXN-101325,MCH-012,2024-01-05 21:04:52.000000000,147.13,PMT-002333
ALPHA,TXN-100633,MCH-007,2024-01-05 21:09:56.000000000,92.62,PMT-001437
ALPHA,TXN-100218,MCH-005,2024-01-05 21:32:13.000000000,88.17,PMT-000787
ALPHA,TXN-100462,MCH-007,2024-01-06 01:48:36.000000000,35.1,PMT-001266
ALPHA,TXN-102840,MCH-040,2024-01-06 02:25:21.000000000,179.54,PMT-008060
ALPHA,TXN-102829,MCH-040,2024-01-06 03:31:21.000000000,277.68,PMT-008049
ALPHA,TXN-102140,MCH-032,2024-01-06 04:23:41.000000000,259.17,PMT-006463
ALPHA,TXN-103298,MCH-050,2024-01-06 06:40:21.000000000,380.85,PMT-010092
ALPHA,TXN-101237,MCH-012,2024-01-06 06:41:20.000000000,367.94,PMT-002245
ALPHA,TXN-103050,MCH-041,2024-01-06 06:44:45.000000000,205.37,PMT-008270
ALPHA,TXN-100169,MCH-002,2024-01-06 06:59:13.000000000,134.81,PMT-000347
ALPHA,TXN-100972,MCH-010,2024-01-06 07:04:53.000000000,197.39,PMT-001980
ALPHA,TXN-102165,MCH-032,2024-01-06 08:01:47.000000000,121.9,PMT-006488
ALPHA,TXN-101613,MCH-029,2024-01-06 09:48:10.000000000,218.3,PMT-005738
ALPHA,TXN-103157,MCH-041,2024-01-06 11:15:36.000000000,120.16,PMT-008377
ALPHA,TXN-102257,MCH-036,2024-01-06 11:16:43.000000000,59.88,PMT-007243
ALPHA,TXN-100718,MCH-008,2024-01-06 11:39:07.000000000,337.17,PMT-001522
ALPHA,TXN-100085,MCH-002,2024-01-06 11:46:20.000000000,144.4,PMT-000263
ALPHA,TXN-102395,MCH-038,2024-01-06 11:47:54.000000000,180.09,PMT-007615
ALPHA,TXN-102146,MCH-032,2024-01-06 12:00:13.000000000,52.19,PMT-006469
ALPHA,TXN-100382,MCH-005,2024-01-06 12:16:31.000000000,81.91,PMT-000951
ALPHA,TXN-100524,MCH-007,2024-01-06 12:53:22.000000000,142.94,PMT-001328
ALPHA,TXN-102567,MCH-038,2024-01-06 13:16:48.000000000,63.07,PMT-007787
ALPHA,TXN-900099,MCH-050,2024-01-06 14:13:33.000000000,54.25,PMT-010156
ALPHA,TXN-103291,MCH-050,2024-01-06 14:53:58.000000000,146.07,PMT-010085
ALPHA,TXN-100593,MCH-007,2024-01-06 16:09:51.000000000,134.02,PMT-001397
ALPHA,TXN-103104,MCH-041,2024-01-06 16:53:54.000000000,193.55,PMT-008324
ALPHA,TXN-100640,MCH-007,2024-01-06 17:04:57.000000000,83.24,PMT-001444
ALPHA,TXN-100672,MCH-008,2024-01-06 17:29:22.000000000,104.77,PMT-001476
ALPHA,TXN-100886,MCH-010,2024-01-06 17:32:50.000000000,97.33,PMT-001894
ALPHA,TXN-900103,MCH-036,2024-01-06 18:05:09.000000000,133.54,PMT-007266
ALPHA,TXN-103183,MCH-041,2024-01-06 18:21:45.000000000,103.35,PMT-008403
ALPHA,TXN-101508,MCH-022,2024-01-06 20:14:17.000000000,76.69,PMT-004446
ALPHA,TXN-100833,MCH-008,2024-01-06 20:31:26.000000000,217.26,PMT-001637
ALPHA,TXN-102200,MCH-036,2024-01-06 21:06:55.000000000,318.1,PMT-007186
ALPHA,TXN-100399,MCH-005,2024-01-06 21:14:32.000000000,245.46,PMT-000968
ALPHA,TXN-102072,MCH-032,2024-01-06 21:17:06.000000000,133.83,PMT-006395
ALPHA,TXN-101804,MCH-031,2024-01-06 22:24:39.000000000,138.11,PMT-006127
ALPHA,TXN-102956,MCH-040,2024-01-06 22:28:18.000000000,131.75,PMT-008176
ALPHA,TXN-102109,MCH-032,2024-01-06 22:28:39.000000000,104.94,PMT-006432
ALPHA,TXN-102625,MCH-039,2024-01-06 22:54:57.000000000,94.6,PMT-007845
ALPHA,TXN-101576,MCH-022,2024-01-06 23:03:52.000000000,67.05,PMT-004514
ALPHA,TXN-100828,MCH-008,2024-01-07 00:03:26.000000000,102.76,PMT-001632
ALPHA,TXN-100071,MCH-002,2024-01-07 01:08:25.000000000,314.83,PMT-000249
ALPHA,TXN-102414,MCH-038,2024-01-07 01:42:57.000000000,193.75,PMT-007634
ALPHA,TXN-101789,MCH-031,2024-01-07 02:55:42.000000000,74.58,PMT-006112
ALPHA,TXN-100571,MCH-007,2024-01-07 03:34:53.000000000,149.69,PMT-001375
ALPHA,TXN-102776,MCH-039,2024-01-07 04:11:44.000000000,209.63,PMT-007996
ALPHA,TXN-102023,MCH-032,2024-01-07 04:20:37.000000000,92.76,PMT-006346
ALPHA,TXN-103111,MCH-041,2024-01-07 04:57:33.000000000,214.34,PMT-008331
ALPHA,TXN-100517,MCH-007,2024-01-07 05:12:11.000000000,366.78,PMT-001321
ALPHA,TXN-900149,MCH-012,2024-01-07 05:19:32.000000000,135.89,PMT-002279
ALPHA,TXN-100033,MCH-002,2024-01-07 06:08:09.000000000,243.6,PMT-000211
ALPHA,TXN-102090,MCH-032,2024-01-07 07:16:29.000000000,95.82,PMT-006413
ALPHA,TXN-103236,MCH-041,2024-01-07 07:18:09.000000000,208.38,PMT-008456
ALPHA,TXN-103026,MCH-040,2024-01-07 07:56:39.000000000,126.19,PMT-008246
ALPHA,TXN-100180,MCH-002,2024-01-07 08:40:36.000000000,153.85,PMT-000358
ALPHA,TXN-102907,MCH-040,2024-01-07 09:16:32.000000000,172.73,PMT-008127
ALPHA,TXN-102738,MCH-039,2024-01-07 09:20:06.000000000,291.46,PMT-007958
ALPHA,TXN-100741,MCH-008,2024-01-07 09:45:21.000000000,60.42,PMT-001545
ALPHA,TXN-100417,MCH-005,2024-01-07 09:56:40.000000000,385.34,PMT-000986
ALPHA,TXN-102466,MCH-038,2024-01-07 10:17:37.000000000,163.32,PMT-007686
ALPHA,TXN-102619,MCH-039,2024-01-07 10:47:26.000000000,83.02,PMT-007839
ALPHA,TXN-102071,MCH-032,2024-01-07 11:29:43.000000000,73.39,PMT-006394
ALPHA,TXN-100993,MCH-010,2024-01-07 11:45:01.000000000,103.57,PMT-002001
ALPHA,TXN-100215,MCH-005,2024-01-07 13:11:16.000000000,285.37,PMT-000784
ALPHA,TXN-102797,MCH-039,2024-01-07 15:05:08.000000000,142.88,PMT-008017
ALPHA,TXN-102839,MCH-040,2024-01-07 16:04:37.000000000,251.53,PMT-008059
ALPHA,TXN-101174,MCH-011,2024-01-07 16:13:04.000000000,191.36,PMT-002182
ALPHA,TXN-101422,MCH-022,2024-01-07 16:17:14.000000000,108.31,PMT-004360
ALPHA,TXN-101964,MCH-031,2024-01-07 16:41:23.000000000,107.57,PMT-006287
ALPHA,TXN-900045,MCH-039,2024-01-07 16:57:59.000000000,155.32,PMT-007890
ALPHA,TXN-101393,MCH-012,2024-01-07 17:23:04.000000000,76.64,PMT-002401
ALPHA,TXN-900097,MCH-005,2024-01-07 18:38:22.000000000,118.16,PMT-000822
ALPHA,TXN-102492,MCH-038,2024-01-07 18:38:28.000000000,100.54,PMT-007712
ALPHA,TXN-102628,MCH-039,2024-01-07 18:44:31.000000000,231.56,PMT-007848
ALPHA,TXN-102301,MCH-036,2024-01-07 19:29:58.000000000,322.54,PMT-007287
ALPHA,TXN-900129,MCH-050,2024-01-07 21:21:19.000000000,222.67,PMT-010163
ALPHA,TXN-102700,MCH-039,2024-01-07 21:50:49.000000000,122.06,PMT-007920
ALPHA,TXN-103207,MCH-041,2024-01-07 22:06:51.000000000,101.48,PMT-008427
ALPHA,TXN-102206,MCH-036,2024-01-07 23:32:36.000000000,137.27,PMT-007192
ALPHA,TXN-100179,MCH-002,2024-01-08 01:54:24.000000000,46.51,PMT-000357
ALPHA,TXN-103030,MCH-041,2024-01-08 02:13:26.000000000,150.91,PMT-008250
ALPHA,TXN-100240,MCH-005,2024-01-08 02:30:56.000000000,137.83,PMT-000809
ALPHA,TXN-102253,MCH-036,2024-01-08 02:31:14.000000000,241.96,PMT-007239
ALPHA,TXN-100146,MCH-002,2024-01-08 02:39:18.000000000,160.56,PMT-000324
ALPHA,TXN-100074,MCH-002,2024-01-08 02:40:42.000000000,146.72,PMT-000252
ALPHA,TXN-100360,MCH-005,2024-01-08 02:58:42.000000000,124.55,PMT-000929
