case_id,gateway_id,transaction_id
CASE-0160,ALPHA,TXN-103375
CASE-0161,ALPHA,TXN-103272
CASE-0162,CHARLIE,TXN-301714
CASE-0163,BRAVO,TXN-201144
CASE-0164,CHARLIE,TXN-302657
CASE-0165,ALPHA,TXN-101098
CASE-0166,CHARLIE,TXN-302718
CASE-0167,BRAVO,TXN-201938
CASE-0168,CHARLIE,TXN-300371
CASE-0169,BRAVO,TXN-202576
CASE-0170,CHARLIE,TXN-300714
CASE-0171,BRAVO,TXN-201401
CASE-0172,BRAVO,TXN-202104
CASE-0173,CHARLIE,TXN-301555
CASE-0174,BRAVO,TXN-200255
CASE-0175,CHARLIE,TXN-300579
CASE-0176,ALPHA,TXN-101957
CASE-0177,BRAVO,TXN-200480
CASE-0178,CHARLIE,TXN-302843
CASE-0179,CHARLIE,TXN-302075
CASE-0180,BRAVO,TXN-202948
CASE-0181,BRAVO,TXN-200379
CASE-0182,CHARLIE,TXN-301669
CASE-0183,ALPHA,TXN-102069
CASE-0184,CHARLIE,TXN-300151
CASE-0185,ALPHA,TXN-100781
CASE-0186,ALPHA,TXN-101963
CASE-0187,CHARLIE,TXN-301338
CASE-0188,BRAVO,TXN-201980
CASE-0189,BRAVO,TXN-200683
CASE-0190,ALPHA,TXN-101170
CASE-0191,CHARLIE,TXN-302220
CASE-0192,BRAVO,TXN-202124
CASE-0193,CHARLIE,TXN-301570
CASE-0194,ALPHA,TXN-103165
CASE-0195,BRAVO,TXN-203558
CASE-0196,ALPHA,TXN-102111
CASE-0197,BRAVO,TXN-201906
CASE-0198,ALPHA,TXN-100995
CASE-0199,ALPHA,TXN-102104
CASE-0200,BRAVO,TXN-201979
CASE-0201,CHARLIE,TXN-300638
CASE-0202,BRAVO,TXN-200851
CASE-0203,BRAVO,TXN-203219
CASE-0204,BRAVO,TXN-202649
CASE-0205,BRAVO,TXN-201097
CASE-0206,CHARLIE,TXN-300894
CASE-0207,CHARLIE,TXN-300103
CASE-0208,CHARLIE,TXN-302771
CASE-0209,ALPHA,TXN-100663
CASE-0210,CHARLIE,TXN-301504
CASE-0211,CHARLIE,TXN-302560
CASE-0212,BRAVO,TXN-200794
CASE-0213,BRAVO,TXN-202559
CASE-0214,CHARLIE,TXN-300786
CASE-0215,CHARLIE,TXN-300932
CASE-0216,BRAVO,TXN-200382
CASE-0217,ALPHA,TXN-100245
CASE-0218,CHARLIE,TXN-302001
CASE-0219,CHARLIE,TXN-302802
CASE-0220,ALPHA,TXN-100934
CASE-0002,ALPHA,TXN-900021
CASE-0002,ALPHA,TXN-900164
CASE-0005,CHARLIE,TXN-300838
CASE-0008,BRAVO,TXN-202783
CASE-0008,BRAVO,TXN-202807
CASE-0018,ALPHA,TXN-101307
CASE-0018,ALPHA,TXN-101414
CASE-0023,BRAVO,TXN-203096
CASE-0023,BRAVO,TXN-203029
CASE-0026,BRAVO,TXN-201808
CASE-0027,BRAVO,TXN-900172
CASE-0027,BRAVO,TXN-202668
CASE-0029,BRAVO,TXN-202627
CASE-0032,BRAVO,TXN-900146
CASE-0035,BRAVO,TXN-900060
CASE-0035,BRAVO,TXN-200360
CASE-0035,BRAVO,TXN-200345
CASE-0042,ALPHA,TXN-100315
CASE-0044,ALPHA,TXN-102063
CASE-0044,ALPHA,TXN-102049
CASE-0044,ALPHA,TXN-102169
CASE-0046,CHARLIE,TXN-302764
CASE-0046,CHARLIE,TXN-302760
CASE-0046,CHARLIE,TXN-302750
CASE-0049,BRAVO,TXN-202262
CASE-0052,ALPHA,TXN-900119
CASE-0052,ALPHA,TXN-101885
CASE-0056,BRAVO,TXN-202599
CASE-0056,BRAVO,TXN-202538
CASE-0057,ALPHA,TXN-102432
CASE-0057,ALPHA,TXN-102570
CASE-0057,ALPHA,TXN-102417
CASE-0059,ALPHA,TXN-100543
CASE-0062,BRAVO,TXN-900174
CASE-0065,BRAVO,TXN-202659
CASE-0065,BRAVO,TXN-900099
CASE-0066,BRAVO,TXN-900023
CASE-0066,BRAVO,TXN-203309
CASE-0066,BRAVO,TXN-203203
CASE-0067,ALPHA,TXN-103045
CASE-0069,CHARLIE,TXN-300289
CASE-0069,CHARLIE,TXN-300296
CASE-0069,CHARLIE,TXN-300346
CASE-0070,ALPHA,TXN-100451
CASE-0070,ALPHA,TXN-100617
CASE-0073,CHARLIE,TXN-301711
CASE-0077,ALPHA,TXN-101514
CASE-0077,ALPHA,TXN-101496
CASE-0078,ALPHA,TXN-900016
CASE-0078,ALPHA,TXN-101616
CASE-0081,BRAVO,TXN-900024
CASE-0085,BRAVO,TXN-201617
CASE-0085,BRAVO,TXN-201681
CASE-0090,CHARLIE,TXN-302514
CASE-0091,ALPHA,TXN-103297
CASE-0091,ALPHA,TXN-103341
CASE-0091,ALPHA,TXN-103322
CASE-0092,BRAVO,TXN-201072
CASE-0092,BRAVO,TXN-201255
CASE-0095,ALPHA,TXN-101030
CASE-0095,ALPHA,TXN-100943
