case_id,reason_code,reported_gateway_id,reported_transaction_id,filed_date
CASE-0059,fraud_account_takeover,ALPHA,TXN-100433,2024-02-09 19:50:01
CASE-0060,fraud_lost_stolen_card,CHARLIE,TXN-302896,2024-01-11 22:39:14
CASE-0061,fraud_card_not_present,CHARLIE,TXN-302349,2024-03-01 04:05:59
CASE-0062,fraud_account_takeover,BRAVO,TXN-202052,2024-02-23 15:57:42
CASE-0063,fraud_card_not_present,CHARLIE,TXN-300528,2024-01-30 15:53:21
CASE-0064,fraud_card_not_present,ALPHA,TXN-100884,2024-03-21 21:48:24
CASE-0065,fraud_card_not_present,BRAVO,TXN-202676,2024-03-07 11:16:28
CASE-0066,fraud_lost_stolen_card,BRAVO,TXN-203372,2024-01-31 00:45:00
CASE-0067,fraud_account_takeover,ALPHA,TXN-103138,2024-02-01 16:40:49
CASE-0068,fraud_account_takeover,BRAVO,TXN-201900,2024-02-11 06:20:10
CASE-0069,fraud_card_not_present,CHARLIE,TXN-300409,2024-02-20 10:42:36
CASE-0070,fraud_card_not_present,ALPHA,TXN-100444,2024-01-21 14:40:13
CASE-0071,fraud_lost_stolen_card,BRAVO,TXN-202495,2024-02-13 15:22:53
CASE-0072,fraud_account_takeover,CHARLIE,TXN-302744,2024-02-23 05:05:30
CASE-0073,fraud_card_not_present,CHARLIE,TXN-301622,2024-02-02 12:28:51
CASE-0074,fraud_account_takeover,BRAVO,TXN-200533,2024-02-17 11:09:35
CASE-0075,fraud_account_takeover,ALPHA,TXN-101355,2024-02-23 22:05:22
CASE-0076,fraud_account_takeover,CHARLIE,TXN-302039,2024-02-23 08:01:34
CASE-0077,fraud_account_takeover,ALPHA,TXN-101495,2024-02-15 17:44:10
CASE-0078,fraud_lost_stolen_card,ALPHA,TXN-101667,2024-03-19 02:21:42
CASE-0079,fraud_card_not_present,ALPHA,TXN-103412,2024-02-05 01:52:14
CASE-0080,fraud_account_takeover,BRAVO,TXN-200455,2024-02-02 21:31:35
CASE-0081,fraud_lost_stolen_card,BRAVO,TXN-200367,2024-03-14 04:59:31
CASE-0082,fraud_lost_stolen_card,CHARLIE,TXN-301694,2024-02-14 10:12:05
CASE-0083,fraud_lost_stolen_card,BRAVO,TXN-202042,2024-02-07 12:51:24
CASE-0084,fraud_lost_stolen_card,CHARLIE,TXN-300733,2024-03-24 22:01:50
CASE-0085,fraud_card_not_present,BRAVO,TXN-201520,2024-03-13 12:26:52
CASE-0086,fraud_lost_stolen_card,BRAVO,TXN-201872,2024-03-10 14:30:00
CASE-0087,fraud_card_not_present,ALPHA,TXN-101663,2024-02-24 18:09:32
CASE-0088,fraud_account_takeover,ALPHA,TXN-101956,2024-03-01 14:28:07
CASE-0089,fraud_account_takeover,BRAVO,TXN-202572,2024-03-08 21:35:28
CASE-0090,fraud_lost_stolen_card,CHARLIE,TXN-302565,2024-01-07 03:20:36
CASE-0091,fraud_lost_stolen_card,ALPHA,TXN-103357,2024-02-26 06:15:08
CASE-0092,fraud_lost_stolen_card,BRAVO,TXN-900072,2024-02-07 13:11:08
CASE-0093,fraud_card_not_present,BRAVO,TXN-200782,2024-01-13 08:52:44
CASE-0094,fraud_lost_stolen_card,BRAVO,TXN-202043,2024-01-31 06:11:35
CASE-0095,fraud_lost_stolen_card,ALPHA,TXN-100874,2024-03-01 23:54:58
CASE-0096,fraud_card_not_present,ALPHA,TXN-102188,2024-02-13 15:30:42
CASE-0097,fraud_account_takeover,ALPHA,TXN-100712,2024-03-31 12:44:21
CASE-0098,fraud_card_not_present,CHARLIE,TXN-300405,2024-02-25 14:11:33
CASE-0099,fraud_account_takeover,CHARLIE,TXN-301402,2024-02-06 00:30:33
CASE-0100,duplicate_charge,ALPHA,TXN-102573,2024-01-30 21:51:35
CASE-0101,product_not_received,ALPHA,TXN-101574,2024-01-29 18:54:21
CASE-0102,product_not_received,BRAVO,TXN-200221,2024-02-16 09:57:14
CASE-0103,credit_not_processed,ALPHA,TXN-102383,2024-03-23 06:42:06
CASE-0104,credit_not_processed,CHARLIE,TXN-301498,2024-02-08 00:15:17
CASE-0105,credit_not_processed,BRAVO,TXN-202543,2024-02-11 23:23:40
CASE-0106,subscription_canceled,CHARLIE,TXN-300843,2024-02-25 00:14:33
CASE-0107,product_not_received,ALPHA,TXN-101954,2024-02-06 07:49:22
CASE-0108,duplicate_charge,CHARLIE,TXN-302616,2024-03-25 16:14:26
CASE-0109,subscription_canceled,CHARLIE,TXN-300266,2024-01-24 09:22:57
CASE-0110,product_not_received,CHARLIE,TXN-300834,2024-01-09 01:53:06
CASE-0111,product_not_received,CHARLIE,TXN-300140,2024-03-18 03:21:29
CASE-0112,duplicate_charge,BRAVO,TXN-201797,2024-02-07 20:50:36
CASE-0113,duplicate_charge,ALPHA,TXN-101561,2024-02-10 19:09:11
CASE-0114,credit_not_processed,BRAVO,TXN-200283,2024-02-11 23:52:32
CASE-0115,product_not_received,CHARLIE,TXN-301553,2024-02-12 00:22:18
CASE-0116,credit_not_processed,CHARLIE,TXN-300316,2024-02-24 03:40:37
CASE-0117,subscription_canceled,BRAVO,TXN-203121,2024-02-11 18:00:39
CASE-0118,duplicate_charge,CHARLIE,TXN-300326,2024-01-11 06:17:25
CASE-0119,duplicate_charge,ALPHA,TXN-100648,2024-03-07 15:14:50
CASE-0120,product_not_received,ALPHA,TXN-100340,2024-03-06 17:28:38
CASE-0121,duplicate_charge,BRAVO,TXN-202740,2024-03-08 13:01:40
CASE-0122,credit_not_processed,BRAVO,TXN-203057,2024-01-23 05:07:59
CASE-0123,credit_not_processed,ALPHA,TXN-101227,2024-02-22 02:04:54
CASE-0124,subscription_canceled,CHARLIE,TXN-301475,2024-01-21 23:19:13
CASE-0125,product_not_received,BRAVO,TXN-202185,2024-02-19 00:57:56
CASE-0126,credit_not_processed,BRAVO,TXN-900106,2024-02-17 00:49:23
CASE-0127,subscription_canceled,ALPHA,TXN-102564,2024-02-29 06:14:24
CASE-0128,product_not_received,ALPHA,TXN-900022,2024-03-08 08:55:56
CASE-0129,credit_not_processed,BRAVO,TXN-200588,2024-04-01 19:34:38
CASE-0130,duplicate_charge,CHARLIE,TXN-302976,2024-02-16 19:06:34
CASE-0131,subscription_canceled,ALPHA,TXN-100504,2024-02-26 05:23:13
CASE-0132,subscription_canceled,CHARLIE,TXN-301103,2024-02-10 07:14:41
CASE-0133,credit_not_processed,CHARLIE,TXN-300956,2024-01-27 18:57:37
CASE-0134,duplicate_charge,CHARLIE,TXN-302081,2024-02-09 23:12:59
CASE-0135,product_not_received,BRAVO,TXN-200483,2024-03-06 11:50:13
CASE-0136,credit_not_processed,BRAVO,TXN-202660,2024-01-04 21:34:12
CASE-0137,product_not_received,CHARLIE,TXN-301485,2024-01-28 01:48:17
CASE-0138,credit_not_processed,BRAVO,TXN-200665,2024-02-05 09:29:54
CASE-0139,credit_not_processed,ALPHA,TXN-100331,2024-03-08 23:16:01
CASE-0140,product_not_received,BRAVO,TXN-200565,2024-01-17 15:49:48
CASE-0141,product_not_received,BRAVO,TXN-202580,2024-02-02 13:06:52
CASE-0142,product_not_received,BRAVO,TXN-203434,2024-02-13 21:16:32
CASE-0143,duplicate_charge,CHARLIE,TXN-302955,2024-03-02 01:00:32
CASE-0144,credit_not_processed,BRAVO,TXN-201613,2024-01-23 16:10:02
CASE-0145,duplicate_charge,ALPHA,TXN-100667,2024-03-23 10:24:03
CASE-0146,credit_not_processed,CHARLIE,TXN-302804,2024-03-23 18:51:08
CASE-0147,credit_not_processed,ALPHA,TXN-101905,2024-03-10 15:03:19
CASE-0148,product_not_received,ALPHA,TXN-100118,2024-01-13 16:23:53
CASE-0149,duplicate_charge,CHARLIE,TXN-302541,2024-02-18 17:30:49
CASE-0150,credit_not_processed,CHARLIE,TXN-302228,2024-03-25 23:53:32
CASE-0151,product_not_received,BRAVO,TXN-200235,2024-03-30 05:39:50
CASE-0152,duplicate_charge,BRAVO,TXN-200713,2024-01-18 21:47:25
CASE-0153,product_not_received,BRAVO,TXN-202116,2024-02-24 10:42:50
CASE-0154,credit_not_processed,CHARLIE,TXN-300462,2024-02-09 23:23:56
CASE-0155,subscription_canceled,CHARLIE,TXN-301079,2024-03-05 02:36:41
CASE-0156,subscription_canceled,ALPHA,TXN-100515,2024-01-30 02:50:37
CASE-0157,subscription_canceled,CHARLIE,TXN-302800,2024-02-28 08:20:20
CASE-0158,duplicate_charge,BRAVO,TXN-200569,2024-03-11 09:56:03
CASE-0159,credit_not_processed,ALPHA,TXN-101936,2024-01-12 09:09:22
CASE-0160,subscription_canceled,ALPHA,TXN-103375,2024-02-05 08:31:50
CASE-0161,subscription_canceled,ALPHA,TXN-103272,2024-01-14 21:41:28
CASE-0162,subscription_canceled,CHARLIE,TXN-301714,2024-03-17 01:51:09
CASE-0163,product_not_received,BRAVO,TXN-201144,2024-01-30 05:33:11
CASE-0164,subscription_canceled,CHARLIE,TXN-302657,2024-01-05 00:07:48
CASE-0165,credit_not_processed,ALPHA,TXN-101098,2024-01-07 07:12:27
CASE-0166,product_not_received,CHARLIE,TXN-302718,2024-01-28 08:48:23
CASE-0167,duplicate_charge,BRAVO,TXN-201938,2024-02-05 23:41:51
CASE-0168,subscription_canceled,CHARLIE,TXN-300371,2024-03-14 17:17:06
CASE-0169,credit_not_processed,BRAVO,TXN-202576,2024-02-19 05:01:13
CASE-0170,credit_not_processed,CHARLIE,TXN-300714,2024-01-25 23:05:26
CASE-0171,credit_not_processed,BRAVO,TXN-201401,2024-03-19 05:09:35
CASE-0172,product_not_received,BRAVO,TXN-202104,2024-02-25 02:45:03
CASE-0173,credit_not_processed,CHARLIE,TXN-301555,2024-03-22 00:14:30
CASE-0174,duplicate_charge,BRAVO,TXN-200255,2024-02-12 18:59:41
CASE-0175,subscription_canceled,CHARLIE,TXN-300579,2024-03-06 02:24:36
CASE-0176,credit_not_processed,ALPHA,TXN-101957,2024-01-15 09:33:40
CASE-0177,credit_not_processed,BRAVO,TXN-200480,2024-03-26 05:23:58
CASE-0178,subscription_canceled,CHARLIE,TXN-302843,2024-03-08 22:42:42
CASE-0179,subscription_canceled,CHARLIE,TXN-302075,2024-03-07 13:20:17
CASE-0180,product_not_received,BRAVO,TXN-202948,2024-02-11 17:52:54
CASE-0181,credit_not_processed,BRAVO,TXN-200379,2024-02-07 08:55:01
CASE-0182,credit_not_processed,CHARLIE,TXN-301669,2024-02-05 13:09:35
CASE-0183,duplicate_charge,ALPHA,TXN-102069,2024-04-01 10:52:35
CASE-0184,duplicate_charge,CHARLIE,TXN-300151,2024-03-16 20:24:46
CASE-0185,credit_not_processed,ALPHA,TXN-100781,2024-03-07 19:05:33
CASE-0186,credit_not_processed,ALPHA,TXN-101963,2024-01-25 05:41:40
CASE-0187,duplicate_charge,CHARLIE,TXN-301338,2024-01-21 07:49:35
CASE-0188,product_not_received,BRAVO,TXN-201980,2024-01-21 08:09:30
CASE-0189,subscription_canceled,BRAVO,TXN-200683,2024-01-08 03:43:46
CASE-0190,duplicate_charge,ALPHA,TXN-101170,2024-03-26 16:23:55
CASE-0191,subscription_canceled,CHARLIE,TXN-302220,2024-03-28 22:12:36
CASE-0192,credit_not_processed,BRAVO,TXN-202124,2024-03-05 16:51:42
CASE-0193,duplicate_charge,CHARLIE,TXN-301570,2024-04-08 08:45:28
CASE-0194,credit_not_processed,ALPHA,TXN-103165,2024-04-07 10:58:04
CASE-0195,duplicate_charge,BRAVO,TXN-203558,2024-01-27 04:57:49
CASE-0196,duplicate_charge,ALPHA,TXN-102111,2024-03-04 06:09:40
CASE-0197,subscription_canceled,BRAVO,TXN-201906,2024-02-01 17:49:13
CASE-0198,credit_not_processed,ALPHA,TXN-100995,2024-01-27 23:15:42
CASE-0199,credit_not_processed,ALPHA,TXN-102104,2024-01-03 03:05:56
CASE-0200,credit_not_processed,BRAVO,TXN-201979,2024-02-02 03:24:50
CASE-0201,credit_not_processed,CHARLIE,TXN-300638,2024-01-22 11:22:27
CASE-0202,credit_not_processed,BRAVO,TXN-200851,2024-02-02 16:49:06
CASE-0203,product_not_received,BRAVO,TXN-203219,2024-02-20 16:05:00
CASE-0204,duplicate_charge,BRAVO,TXN-202649,2024-01-31 16:14:05
CASE-0205,credit_not_processed,BRAVO,TXN-201097,2024-02-17 18:28:55
CASE-0206,duplicate_charge,CHARLIE,TXN-300894,2024-01-26 10:50:15
CASE-0207,subscription_canceled,CHARLIE,TXN-300103,2024-02-04 10:02:47
CASE-0208,credit_not_processed,CHARLIE,TXN-302771,2024-02-16 12:30:22
CASE-0209,duplicate_charge,ALPHA,TXN-100663,2024-03-03 10:06:19
CASE-0210,credit_not_processed,CHARLIE,TXN-301504,2024-02-10 14:50:54
CASE-0211,product_not_received,CHARLIE,TXN-302560,2024-03-23 22:21:00
CASE-0212,duplicate_charge,BRAVO,TXN-200794,2024-02-24 01:38:00
CASE-0213,product_not_received,BRAVO,TXN-202559,2024-02-12 10:02:23
CASE-0214,product_not_received,CHARLIE,TXN-300786,2024-01-23 20:22:36
CASE-0215,product_not_received,CHARLIE,TXN-300932,2024-04-01 06:59:05
CASE-0216,duplicate_charge,BRAVO,TXN-200382,2024-01-23 04:08:50
CASE-0217,duplicate_charge,ALPHA,TXN-100245,2024-02-21 00:26:33
CASE-0218,product_not_received,CHARLIE,TXN-302001,2024-02-11 14:34:36
CASE-0219,duplicate_charge,CHARLIE,TXN-302802,2024-01-11 16:14:30
CASE-0220,subscription_canceled,ALPHA,TXN-100934,2024-02-16 13:56:27
