case_id,resolution_status,resolution_date,case_status
CASE-0115,lost,2024-03-17 18:03:21,open
CASE-0116,won,2024-01-27 19:05:54,closed
CASE-0117,won,2024-02-03 11:38:08,closed
CASE-0118,withdrawn,2024-02-13 12:09:27,closed
CASE-0119,lost,2024-03-11 18:57:37,open
CASE-0120,lost,2024-04-09 11:54:00,open
CASE-0121,withdrawn,2024-03-18 15:27:22,open
CASE-0122,won,2024-03-27 06:07:42,closed
CASE-0123,lost,2024-02-12 04:53:26,closed
CASE-0124,won,2024-04-23 13:43:40,closed
CASE-0125,won,2024-04-17 00:08:29,closed
CASE-0126,lost,2024-02-11 14:21:00,closed
CASE-0127,lost,2024-03-23 10:12:52,open
CASE-0128,lost,2024-02-15 12:38:30,closed
CASE-0129,lost,2024-01-24 23:15:28,closed
CASE-0130,lost,2024-02-24 11:22:27,closed
CASE-0131,lost,2024-04-26 03:44:15,open
CASE-0132,won,2024-04-03 09:42:59,open
CASE-0133,won,2024-03-12 14:11:18,closed
CASE-0134,won,2024-04-05 23:23:21,open
CASE-0135,lost,2024-04-04 09:58:27,open
CASE-0136,won,2024-04-01 01:52:28,closed
CASE-0137,lost,2024-03-16 10:56:36,open
CASE-0138,withdrawn,2024-03-25 11:34:07,open
CASE-0139,lost,2024-05-09 18:20:53,open
CASE-0140,open,2024-03-02 20:48:43,open
CASE-0141,won,2024-03-26 04:32:51,open
CASE-0142,open,2024-03-30 14:12:14,open
CASE-0143,open,2024-03-29 00:48:20,open
CASE-0144,open,2024-04-20 18:00:21,open
CASE-0145,won,2024-04-18 08:41:28,open
CASE-0146,lost,2024-04-04 23:19:26,open
CASE-0147,won,2024-02-26 04:03:46,closed
CASE-0148,lost,2024-02-16 14:57:57,closed
CASE-0149,lost,2024-04-20 18:31:47,open
CASE-0150,open,2024-04-13 07:26:20,open
CASE-0151,won,2024-03-24 20:20:53,open
CASE-0152,lost,2024-03-28 07:42:43,closed
CASE-0153,open,2024-05-10 10:22:54,open
CASE-0154,lost,2024-05-14 04:07:31,open
CASE-0155,open,2024-02-15 07:34:59,open
CASE-0156,open,2024-02-11 03:41:15,open
CASE-0157,lost,2024-03-10 23:52:09,closed
CASE-0158,lost,2024-02-24 06:36:53,closed
CASE-0159,withdrawn,2024-03-06 06:04:46,closed
CASE-0160,lost,2024-04-14 14:05:50,open
CASE-0161,withdrawn,2024-03-09 16:12:03,closed
CASE-0162,won,2024-03-05 04:59:54,closed
CASE-0163,lost,2024-04-06 07:09:35,open
CASE-0164,won,2024-02-12 19:32:46,closed
CASE-0165,won,2024-04-18 22:21:02,open
CASE-0166,lost,2024-05-02 08:00:04,open
CASE-0167,won,2024-02-05 19:34:52,closed
CASE-0168,lost,2024-02-21 22:20:11,closed
CASE-0169,lost,2024-04-04 00:22:57,open
CASE-0170,open,2024-03-01 07:46:46,open
CASE-0171,won,2024-02-23 20:36:21,closed
CASE-0172,won,2024-02-13 15:48:10,closed
CASE-0173,won,2024-04-05 08:33:05,closed
CASE-0174,won,2024-02-17 11:18:58,closed
CASE-0175,lost,2024-04-06 11:18:38,open
CASE-0176,withdrawn,2024-04-17 16:36:28,open
CASE-0177,won,2024-02-21 05:18:03,closed
CASE-0178,withdrawn,2024-03-24 15:51:22,open
CASE-0179,open,2024-02-05 20:47:07,open
CASE-0180,won,2024-04-05 03:23:05,open
CASE-0181,won,2024-04-12 02:21:42,open
CASE-0182,lost,2024-02-24 10:55:07,closed
CASE-0183,lost,2024-04-14 11:34:57,open
CASE-0184,won,2024-04-12 19:45:33,open
CASE-0185,lost,2024-03-01 15:09:42,closed
CASE-0186,lost,2024-02-24 13:44:51,closed
CASE-0187,won,2024-03-17 14:44:40,open
CASE-0188,lost,2024-03-25 17:02:47,open
CASE-0189,lost,2024-04-08 20:15:49,open
CASE-0190,won,2024-03-06 18:34:02,closed
CASE-0191,lost,2024-04-06 17:27:09,open
CASE-0192,lost,2024-03-04 03:54:21,closed
CASE-0193,lost,2024-02-07 05:52:15,closed
CASE-0194,won,2024-03-21 11:54:54,open
CASE-0195,withdrawn,2024-02-27 00:28:01,closed
CASE-0196,lost,2024-04-13 03:43:19,open
CASE-0197,won,2024-03-23 18:09:32,open
CASE-0198,lost,2024-03-24 19:45:04,open
CASE-0199,won,2024-05-13 09:41:12,open
CASE-0200,lost,2024-01-28 08:16:47,closed
CASE-0201,open,2024-02-18 10:03:09,open
CASE-0202,won,2024-03-28 15:25:06,open
CASE-0203,won,2024-04-08 14:06:58,open
CASE-0204,lost,2024-02-21 04:27:50,closed
CASE-0205,open,2024-01-31 22:46:58,open
CASE-0206,lost,2024-04-06 21:37:44,open
CASE-0207,won,2024-02-24 05:52:59,closed
CASE-0208,open,2024-04-06 05:05:40,open
CASE-0209,won,2024-03-13 03:34:15,open
CASE-0210,open,2024-03-14 23:55:48,open
CASE-0211,won,2024-02-25 14:49:25,open
CASE-0212,open,2024-03-04 13:18:57,open
CASE-0213,lost,2024-04-19 15:21:46,closed
CASE-0214,lost,2024-04-03 10:46:16,open
CASE-0215,won,2024-03-22 03:11:55,open
CASE-0216,won,2024-02-27 16:43:34,closed
CASE-0217,won,2024-03-04 18:54:16,closed
CASE-0218,won,2024-05-01 19:05:33,open
CASE-0219,won,2024-03-04 22:08:55,closed
CASE-0220,lost,2024-02-29 01:02:09,closed
