shift_id,employee_id,shift_start,shift_end,break_minutes,zone_code,supervisor_id,job_code,work_order_id,schedule_type,assigned_at
S000053,E0001,2024-03-07 14:17:00,2024-03-07 21:36:51,30,ZONE-D,E0339,PICKER,WO0001,on_call,2024-03-05 10:08:31
S000054,E0001,2024-03-08 08:59:00,2024-03-08 15:38:49,0,ZONE-D,E0025,load_er,WO0002,regular,2024-03-07 08:18:58
S000055,E0001,2024-03-09 11:52:00,2024-03-09 19:16:46,0,ZONE-B,E0033,Super-visor,WO0004,regular,2024-03-07 22:38:55
S000056,E0001,2024-03-11 12:56:00,2024-03-11 19:46:49,0,ZONE-A,E0465,picker,WO0003,on_call,2024-03-01 17:04:19
S000057,E0001,2024-03-12 08:53:00,2024-03-12 17:05:37,30,ZONE-D,E0031,Pick-er,WO0002,regular,2024-03-09 21:27:22
S000058,E0001,2024-03-13 12:30:00,2024-03-13 19:26:41,30,ZONE-D,E0029,SUPERVISOR,WO0004,regular,2024-03-10 07:20:37
S000059,E0001,2024-03-14 21:41:00,2024-03-15 06:33:17,30,ZONE-C,E0438,Pick-er,WO0004,regular,2024-03-05 22:47:42
S000060,E0001,2024-03-15 12:38:00,2024-03-15 21:17:44,30,ZONE-C,E0021,PICKER,WO0002,flex,2024-03-13 15:23:23
S000061,E0001,2024-03-17 08:00:00,2024-03-17 16:35:47,0,ZONE-C,E0012,SUPERVISOR,WO0001,regular,2024-03-13 07:17:24
S000062,E0001,2024-03-18 13:12:00,2024-03-18 22:14:34,30,ZONE-B,E0030,Pick-er,WO0002,regular,2024-03-16 19:33:05
S000063,E0001,2024-03-19 12:27:00,2024-03-19 21:36:58,45,ZONE-D,E0007,picker,WO0004,regular,2024-03-16 12:21:22
S000064,E0001,2024-03-20 23:03:00,2024-03-21 06:25:00,45,ZONE-A,E0020,load_er,WO0002,regular,2024-03-20 00:57:28
S000065,E0001,2024-03-21 11:55:00,2024-03-21 19:36:30,0,ZONE-A,E0001,PICKER,WO0004,regular,2024-03-18 18:52:11
S000066,E0001,2024-03-22 13:54:00,2024-03-22 22:14:33,45,ZONE-A,E0039,scan_ner,WO0001,regular,2024-03-22 00:38:12
S000067,E0001,2024-03-23 06:54:00,2024-03-23 15:31:41,30,ZONE-C,E0022,Load-er,WO0002,flex,2024-03-19 05:33:03
S000068,E0001,2024-03-25 08:17:00,2024-03-25 16:42:37,45,ZONE-C,E0417,PICKER,WO0002,flex,2024-03-24 19:17:00
S000069,E0001,2024-03-26 15:15:00,2024-03-26 22:49:54,30,ZONE-D,E0025,Supervisor,WO0001,flex,2024-03-23 04:12:48
S000070,E0001,2024-03-27 06:48:00,2024-03-27 15:43:54,30,ZONE-D,E0001,supervisor,WO0002,regular,2024-03-25 15:04:29
S000071,E0001,2024-03-29 09:51:00,2024-03-29 19:37:27,45,ZONE-D,E0004,picker,WO0001,regular,2024-03-28 20:51:00
S000072,E0002,2024-01-02 09:28:00,2024-01-02 19:14:03,30,ZONE-D,E0438,LOADER,WO0004,regular,2024-01-01 20:28:00
S000073,E0002,2024-01-03 11:35:00,2024-01-03 18:35:02,45,ZONE-C,E0024,Super-visor,WO0004,regular,2024-01-02 13:26:13
S000074,E0002,2024-01-04 14:57:00,2024-01-04 22:19:42,30,ZONE-C,E0005,pick_er,WO0002,flex,2023-12-26 11:34:51
S000075,E0002,2024-01-05 12:25:00,2024-01-05 19:43:36,30,ZONE-A,E0004,scan_ner,WO0004,flex,2024-01-04 23:25:00
S000076,E0002,2024-01-06 15:12:00,2024-01-06 22:25:47,30,ZONE-C,E0005,SCANNER,WO0001,regular,2024-01-02 09:28:27
S000077,E0002,2024-01-09 11:28:00,2024-01-09 20:52:55,45,ZONE-B,E0010,loader,WO0003,regular,2024-01-06 17:40:27
S000078,E0002,2024-01-10 12:14:00,2024-01-10 21:27:42,45,ZONE-D,E0005,loader,WO0004,flex,2024-01-09 23:14:00
S000079,E0002,2024-01-11 15:15:00,2024-01-11 23:50:33,30,ZONE-A,E0020,PICKER,WO0001,regular,2024-01-07 18:08:25
S000080,E0002,2024-01-12 15:13:00,2024-01-12 23:26:30,0,ZONE-A,E0023,Scan-ner,WO0004,regular,2024-01-12 02:13:00
S000081,E0002,2024-01-13 14:34:00,2024-01-13 22:32:27,0,ZONE-D,E0002,loader,WO0001,regular,2024-01-09 11:45:21
S000082,E0002,2024-01-14 11:22:00,2024-01-14 19:40:56,0,ZONE-C,E0023,pick_er,WO0002,regular,2024-01-12 12:53:58
S000083,E0002,2024-01-15 10:17:00,2024-01-15 17:31:31,30,ZONE-B,E0339,loader,WO0002,regular,2024-01-13 10:44:18
S000084,E0002,2024-01-16 09:41:00,2024-01-16 18:54:00,30,ZONE-D,E0033,PICKER,WO0003,regular,2024-01-13 13:34:20
S000085,E0002,2024-01-18 07:04:00,2024-01-18 15:37:26,45,ZONE-D,E0005,Scan-ner,WO0002,regular,2024-01-15 12:09:23
S000086,E0002,2024-01-20 06:49:00,2024-01-20 14:12:45,0,ZONE-A,E0013,picker,WO0001,regular,2024-01-12 19:09:12
S000087,E0002,2024-01-22 14:53:00,2024-01-23 00:52:45,45,ZONE-A,E0015,Scan-ner,WO0004,regular,2024-01-22 01:53:00
S000088,E0002,2024-01-23 11:51:00,2024-01-23 19:59:27,30,ZONE-D,E0019,PICKER,WO0002,regular,2024-01-22 22:51:00
S000089,E0002,2024-01-27 13:07:00,2024-01-27 21:10:26,30,ZONE-A,E0039,PICKER,WO0004,flex,2024-01-26 17:49:02
S000090,E0002,2024-01-28 08:44:00,2024-01-28 17:05:48,45,ZONE-C,E0036,Supervisor,WO0003,regular,2024-01-25 16:44:19
S000091,E0002,2024-01-29 12:49:00,2024-01-29 19:43:32,30,ZONE-B,E0028,load_er,WO0003,regular,2024-01-27 15:06:15
S000092,E0002,2024-01-30 12:09:00,2024-01-30 20:06:34,30,ZONE-C,E0001,SUPERVISOR,WO0003,regular,2024-01-29 00:20:59
S000093,E0002,2024-01-31 15:27:00,2024-02-01 00:12:12,45,ZONE-C,E0009,Pick-er,WO0002,regular,2024-01-29 03:35:45
S000094,E0002,2024-02-01 06:39:00,2024-02-01 15:06:31,0,ZONE-A,E0040,loader,WO0001,regular,2024-01-26 15:05:53
S000095,E0002,2024-02-02 13:43:00,2024-02-02 20:40:43,0,ZONE-A,E0009,picker,WO0002,regular,2024-01-26 10:31:26
S000096,E0002,2024-02-04 08:27:00,2024-02-04 17:04:41,45,ZONE-D,E0002,Pick-er,WO0001,regular,2024-02-02 23:32:52
S000097,E0002,2024-02-06 08:43:00,2024-02-06 16:45:50,0,ZONE-B,E0035,pick_er,WO0004,regular,2024-02-04 13:15:33
S000098,E0002,2024-02-07 11:19:00,2024-02-07 21:03:14,45,ZONE-D,E0465,loader,WO0002,regular,2024-02-06 22:19:00
S000099,E0002,2024-02-08 15:05:00,2024-02-09 00:46:59,0,ZONE-B,E0018,picker,WO0003,on_call,2024-02-04 15:21:31
S000100,E0002,2024-02-10 13:30:00,2024-02-10 21:58:11,45,ZONE-D,E0030,loader,WO0002,regular,2024-02-10 00:30:00
S000101,E0002,2024-02-11 09:20:00,2024-02-11 18:57:43,30,ZONE-C,E0002,Scan-ner,WO0004,regular,2024-02-10 20:20:00
S000102,E0002,2024-02-12 12:34:00,2024-02-12 21:35:27,0,ZONE-B,E0016,Load-er,WO0004,flex,2024-02-09 15:14:56
S000103,E0002,2024-02-13 10:16:00,2024-02-13 18:44:16,30,ZONE-D,E0005,pick_er,WO0002,regular,2024-02-12 03:08:19
S000104,E0002,2024-02-14 14:12:00,2024-02-14 21:12:14,30,ZONE-B,E0009,PICKER,WO0003,regular,2024-02-10 14:46:58
S000105,E0002,2024-02-16 07:28:00,2024-02-16 16:16:24,45,ZONE-B,E0438,pick_er,WO0002,regular,2024-02-08 13:09:04
S000106,E0002,2024-02-17 09:30:00,2024-02-17 19:08:02,45,ZONE-A,E0032,PICKER,WO0001,regular,2024-02-16 01:19:26
S000107,E0002,2024-02-19 14:23:00,2024-02-19 23:23:50,30,ZONE-B,E0006,pick_er,WO0004,regular,2024-02-12 02:27:46
S000108,E0002,2024-02-21 10:40:00,2024-02-21 18:07:38,30,ZONE-C,E0022,PICKER,WO0003,regular,2024-02-20 06:42:00
S000109,E0002,2024-02-22 10:04:00,2024-02-22 18:06:46,45,ZONE-D,E0005,scanner,WO0003,regular,2024-02-16 14:06:34
S000110,E0002,2024-02-23 13:24:00,2024-02-23 19:56:42,45,ZONE-D,E0033,PICKER,WO0004,flex,2024-02-20 01:35:19
S000111,E0002,2024-02-24 15:13:00,2024-02-24 22:35:56,30,ZONE-A,E0438,pick_er,WO0004,regular,2024-02-24 01:45:43
S000112,E0002,2024-02-26 10:30:00,2024-02-26 19:33:58,30,ZONE-A,E0017,Load-er,WO0001,regular,2024-02-25 21:30:00
S000113,E0002,2024-02-27 09:58:00,2024-02-27 17:26:00,45,ZONE-A,E0023,SCANNER,WO0002,regular,2024-02-24 11:15:29
S000114,E0002,2024-02-28 09:00:00,2024-02-28 15:30:41,30,ZONE-C,E0004,Pick-er,WO0001,flex,2024-02-26 17:38:19
S000115,E0002,2024-02-29 06:56:00,2024-02-29 13:43:08,30,ZONE-C,E0027,loader,WO0002,regular,2024-02-24 13:16:07
S000116,E0002,2024-03-03 13:58:00,2024-03-03 21:54:46,30,ZONE-C,E0013,SCANNER,WO0001,regular,2024-03-01 09:28:22
S000117,E0002,2024-03-04 11:59:00,2024-03-04 18:48:55,0,ZONE-B,E0028,picker,WO0001,flex,2024-03-03 17:53:50
S000118,E0002,2024-03-05 10:10:00,2024-03-05 17:23:39,45,ZONE-D,E0012,PICKER,WO0002,on_call,2024-02-27 16:42:36
S000119,E0002,2024-03-06 06:57:00,2024-03-06 15:22:03,30,ZONE-C,E0005,pick_er,WO0002,regular,2024-03-06 00:03:21
S000120,E0002,2024-03-08 14:54:00,2024-03-08 22:36:24,0,ZONE-D,E0002,SUPERVISOR,WO0001,regular,2024-03-06 10:00:50
S000121,E0002,2024-03-09 09:48:00,2024-03-09 17:56:33,45,ZONE-C,E0417,SUPERVISOR,WO0001,regular,2024-03-08 20:48:00
S000122,E0002,2024-03-10 09:41:00,2024-03-10 16:37:22,30,ZONE-B,E0018,pick_er,WO0001,regular,2024-03-09 20:13:25
S000123,E0002,2024-03-12 15:18:00,2024-03-12 22:03:09,30,ZONE-C,E0028,scan_ner,WO0002,regular,2024-03-10 20:20:32
S000124,E0002,2024-03-13 15:12:00,2024-03-13 22:31:48,45,ZONE-D,E0035,supervisor,WO0004,regular,2024-03-11 10:49:34
S000125,E0002,2024-03-14 09:35:00,2024-03-14 16:08:18,30,ZONE-D,E0005,LOADER,WO0001,regular,2024-03-10 11:40:06
S000126,E0002,2024-03-15 09:14:00,2024-03-15 18:25:46,30,ZONE-D,E0009,Scan-ner,WO0002,regular,2024-03-12 20:38:10
S000127,E0002,2024-03-16 09:40:00,2024-03-16 18:43:10,30,ZONE-D,E0034,picker,WO0002,regular,2024-03-14 14:14:42
S000128,E0002,2024-03-17 14:11:00,2024-03-17 21:10:55,45,ZONE-A,E0020,SCANNER,WO0001,flex,2024-03-17 01:11:00
S000129,E0002,2024-03-18 12:18:00,2024-03-18 21:08:22,30,ZONE-D,E0029,Super-visor,WO0002,flex,2024-03-17 21:36:01
S000130,E0002,2024-03-19 07:59:00,2024-03-19 15:36:29,30,ZONE-C,E0034,PICKER,WO0004,regular,2024-03-18 18:59:00
S000131,E0002,2024-03-20 09:25:00,2024-03-20 16:39:23,30,ZONE-B,E0009,picker,WO0003,regular,2024-03-18 21:57:06
S000132,E0002,2024-03-21 11:20:00,2024-03-21 20:43:07,45,ZONE-D,E0004,picker,WO0004,regular,2024-03-18 19:21:25
S000133,E0002,2024-03-23 12:40:00,2024-03-23 21:58:43,30,ZONE-C,E0005,PICKER,WO0004,regular,2024-03-22 16:41:40
S000134,E0002,2024-03-24 06:50:00,2024-03-24 15:14:04,45,ZONE-A,E0034,PICKER,WO0003,regular,2024-03-21 18:13:56
S000135,E0002,2024-03-25 08:55:00,2024-03-25 18:52:11,0,ZONE-B,E0020,SCANNER,WO0002,flex,2024-03-24 19:55:00
S000136,E0002,2024-03-27 09:18:00,2024-03-27 17:20:16,45,ZONE-D,E0012,picker,WO0003,regular,2024-03-25 20:36:51
S000137,E0002,2024-03-28 09:17:00,2024-03-28 16:35:04,30,ZONE-B,E0017,SCANNER,WO0002,regular,2024-03-25 09:22:17
S000138,E0002,2024-03-30 08:56:00,2024-03-30 16:33:59,30,ZONE-D,E0016,loader,WO0001,regular,2024-03-29 19:56:00
S000139,E0002,2024-03-31 11:26:00,2024-03-31 18:40:37,30,ZONE-D,E0035,Pick-er,WO0002,regular,2024-03-28 01:04:41
S000140,E0003,2024-01-01 11:03:00,2024-01-01 19:19:06,45,ZONE-D,E0034,Load-er,WO0004,regular,2023-12-30 14:48:43
S000141,E0003,2024-01-02 12:40:00,2024-01-02 19:52:01,0,ZONE-C,E0021,PICKER,WO0004,regular,2024-01-01 23:40:00
S000142,E0003,2024-01-03 06:27:00,2024-01-03 14:27:33,45,ZONE-C,E0006,picker,WO0004,regular,2024-01-01 10:47:42
S000143,E0003,2024-01-04 08:51:00,2024-01-04 15:28:42,45,ZONE-C,E0259,scanner,WO0003,flex,2024-01-01 23:50:25
S000144,E0003,2024-01-05 10:29:00,2024-01-05 20:20:24,30,ZONE-D,E0030,pick_er,WO0001,regular,2024-01-03 17:18:07
S000145,E0003,2024-01-06 14:25:00,2024-01-06 23:13:21,30,ZONE-B,E0003,Pick-er,WO0003,regular,2024-01-05 17:33:19
S000146,E0003,2024-01-08 15:14:00,2024-01-08 23:35:48,0,ZONE-B,E0030,SUPERVISOR,WO0003,regular,2023-12-30 17:17:26
S000147,E0003,2024-01-09 13:12:00,2024-01-09 20:26:53,30,ZONE-C,E0002,Pick-er,WO0002,regular,2024-01-07 03:26:53
S000148,E0003,2024-01-12 12:41:00,2024-01-12 21:00:52,45,ZONE-B,E0006,scan_ner,WO0004,regular,2024-01-09 03:50:06
S000149,E0003,2024-01-13 21:56:00,2024-01-14 05:11:37,0,ZONE-B,E0438,SCANNER,WO0002,flex,2024-01-13 08:56:00
S000150,E0003,2024-01-15 13:18:00,2024-01-15 20:31:49,30,ZONE-B,E0001,pick_er,WO0003,regular,2024-01-14 23:48:01
S000151,E0003,2024-01-19 14:18:00,2024-01-19 23:35:06,30,ZONE-D,E0017,picker,WO0003,flex,2024-01-19 01:18:00
S000152,E0003,2024-01-20 14:05:00,2024-01-20 23:59:14,30,ZONE-B,E0001,picker,WO0001,regular,2024-01-10 14:05:00
S000153,E0003,2024-01-21 14:58:00,2024-01-21 22:40:11,45,ZONE-C,E0438,supervisor,WO0003,regular,2024-01-21 04:16:50
S000154,E0003,2024-01-22 15:03:00,2024-01-22 23:06:11,30,ZONE-C,E0003,pick_er,WO0002,regular,2024-01-19 18:43:17
S000155,E0003,2024-01-24 14:44:00,2024-01-24 22:31:49,0,ZONE-A,E0011,Pick-er,WO0001,flex,2024-01-21 23:20:25
S000156,E0003,2024-01-25 08:49:00,2024-01-25 18:16:49,30,ZONE-D,E0417,PICKER,WO0003,regular,2024-01-19 16:52:17
S000157,E0003,2024-01-26 15:10:00,2024-01-26 22:18:48,30,ZONE-C,E0020,pick_er,WO0003,regular,2024-01-26 02:10:00
S000158,E0003,2024-01-28 09:34:00,2024-01-28 16:58:09,30,ZONE-C,E0003,PICKER,WO0004,regular,2024-01-27 03:03:21
S000159,E0003,2024-01-29 13:47:00,2024-01-29 21:57:38,30,ZONE-C,E0031,Pick-er,WO0004,regular,2024-01-27 03:08:42
S000160,E0003,2024-01-30 14:33:00,2024-01-30 21:59:08,45,ZONE-D,E0038,pick_er,WO0001,regular,2024-01-23 11:14:09
S000161,E0003,2024-01-31 06:40:00,2024-01-31 15:14:38,30,ZONE-D,E0018,picker,WO0001,flex,2024-01-30 17:40:00
S000162,E0003,2024-02-01 14:55:00,2024-02-01 22:20:49,30,ZONE-D,E0014,Load-er,WO0004,flex,2024-01-30 11:09:44
S000163,E0003,2024-02-02 12:39:00,2024-02-02 22:02:17,30,ZONE-B,E0021,SCANNER,WO0002,regular,2024-01-31 21:41:19
S000164,E0003,2024-02-03 06:22:00,2024-02-03 14:20:39,0,ZONE-D,E0006,Pick-er,WO0004,regular,2024-01-30 03:55:06
S000165,E0003,2024-02-04 11:11:00,2024-02-04 19:05:27,30,ZONE-C,E0036,pick_er,WO0001,regular,2024-02-03 22:11:00
S000166,E0003,2024-02-05 13:00:00,2024-02-05 20:20:03,45,ZONE-B,E0019,LOADER,WO0004,regular,2024-02-05 00:00:00
S000167,E0003,2024-02-06 07:16:00,2024-02-06 15:32:07,45,ZONE-B,E0031,SCANNER,WO0001,regular,2024-01-27 07:16:00
S000168,E0003,2024-02-07 07:38:00,2024-02-07 17:37:14,45,ZONE-C,E0339,loader,WO0001,regular,2024-02-06 18:38:00
S000169,E0003,2024-02-08 10:05:00,2024-02-08 19:10:08,45,ZONE-A,E0009,load_er,WO0002,flex,2024-02-06 00:05:27
S000170,E0003,2024-02-09 07:07:00,2024-02-09 15:36:15,45,ZONE-B,E0015,pick_er,WO0004,regular,2024-02-06 19:19:02
S000171,E0003,2024-02-10 07:41:00,2024-02-10 15:06:16,0,ZONE-D,E0034,Load-er,WO0004,flex,2024-02-08 14:13:09
S000172,E0003,2024-02-11 08:52:00,2024-02-11 16:15:00,45,ZONE-D,E0011,scanner,WO0003,regular,2024-02-06 23:35:03
S000173,E0003,2024-02-12 11:03:00,2024-02-12 20:15:02,0,ZONE-A,E0002,SUPERVISOR,WO0004,regular,2024-02-11 22:03:00
S000174,E0003,2024-02-13 06:03:00,2024-02-13 15:15:12,30,ZONE-A,E0438,Pick-er,WO0002,flex,2024-02-12 17:03:00
S000175,E0003,2024-02-14 10:13:00,2024-02-14 17:46:38,30,ZONE-D,E0013,Load-er,WO0003,regular,2024-02-13 02:06:58
S000176,E0003,2024-02-16 09:57:00,2024-02-16 18:29:01,30,ZONE-B,E0038,pick_er,WO0002,regular,2024-02-15 09:05:23
S000177,E0003,2024-02-17 12:49:00,2024-02-17 22:39:43,30,ZONE-C,E0020,Load-er,WO0001,regular,2024-02-16 23:49:00
S000178,E0003,2024-02-18 15:52:00,2024-02-19 00:55:47,30,ZONE-D,E0030,scan_ner,WO0003,regular,2024-02-16 01:53:45
S000179,E0003,2024-02-19 07:16:00,2024-02-19 16:20:30,45,ZONE-D,E0018,LOADER,WO0004,regular,2024-02-18 04:12:31
S000180,E0003,2024-02-20 09:26:00,2024-02-20 17:59:04,30,ZONE-A,E0037,pick_er,WO0003,regular,2024-02-19 14:09:15
S000181,E0003,2024-02-23 08:15:00,2024-02-23 17:51:24,30,ZONE-B,E0006,load_er,WO0003,regular,2024-02-22 23:59:56
S000182,E0003,2024-02-24 10:08:00,2024-02-24 18:35:11,0,ZONE-B,E0008,Load-er,WO0001,regular,2024-02-23 02:01:24
S000183,E0003,2024-02-25 12:40:00,2024-02-25 19:14:57,45,ZONE-B,E0032,picker,WO0001,regular,2024-02-23 12:53:45
S000184,E0003,2024-02-26 23:51:00,2024-02-27 07:53:36,45,ZONE-D,E0031,pick_er,WO0002,regular,2024-02-25 03:11:22
S000185,E0003,2024-02-27 10:03:00,2024-02-27 19:34:09,30,ZONE-A,E0002,load_er,WO0004,regular,2024-02-25 20:18:14
S000186,E0003,2024-02-28 13:36:00,2024-02-28 20:51:56,30,ZONE-A,E0004,Pick-er,WO0003,flex,2024-02-26 21:04:08
S000187,E0003,2024-02-29 13:06:00,2024-02-29 22:19:23,30,ZONE-D,E0012,Pick-er,WO0002,regular,2024-02-28 03:44:07
S000188,E0003,2024-03-02 13:35:00,2024-03-02 20:58:57,45,ZONE-B,E0465,picker,WO0002,regular,2024-03-02 00:35:00
S000189,E0003,2024-03-03 13:35:00,2024-03-03 20:31:01,30,ZONE-A,E0438,supervisor,WO0004,flex,2024-03-03 00:35:00
