employee_id,department_id,hire_date,employment_status,employee_type,hourly_rate,pay_group_id
E0103,D03,2016-10-11,ACTIVE,full_time,20.56,
E0104,D03,2017-02-22,active,full_time,28.65,
E0105,D03,2016-04-08,Active,full_time,26.46,
E0106,D03,2017-12-27,ACTIVE,full_time,25.74,
E0107,D03,2017-12-29,active,full_time,22.67,
E0108,D03,2020-04-19,Active,full_time,20.63,
E0109,D03,2018-04-02,ACTIVE,full_time,18.61,
E0110,D03,2019-10-05,active,full_time,27.88,
E0111,D03,2023-01-23,Active,full_time,22.74,
E0112,D03,2015-09-12,ACTIVE,full_time,19.83,
E0113,D03,2016-02-22,active,full_time,21.02,
E0114,D03,2021-02-03,On_Leave,full_time,24.16,
E0115,D03,2015-04-30,Active,full_time,19.53,
E0116,D03,2023-11-23,ACTIVE,full_time,27.35,
E0117,D03,2021-08-12,active,full_time,26.22,
E0118,D03,2018-12-02,Active,full_time,25.77,
E0119,D03,2023-07-21,ACTIVE,full_time,22.47,
E0120,D03,2019-06-11,active,full_time,24.71,
E0121,D03,2023-09-13,terminated,full_time,24.22,
E0122,D03,2018-12-19,Active,full_time,24.97,
E0123,D03,2015-04-18,Terminated,full_time,18.47,PG02
E0124,D03,2020-03-29,ACTIVE,full_time,22.28,
E0125,D03,2019-11-30,active,full_time,17.98,
E0126,D03,2015-06-11,Active,full_time,23.18,
E0127,D03,2022-12-23,ACTIVE,full_time,21.29,
E0128,D03,2020-09-26,active,full_time,19.16,
E0129,D03,2015-04-16,ON_LEAVE,full_time,18.69,
E0130,D03,2018-03-15,Active,full_time,24.26,
E0131,D03,2015-12-01,ACTIVE,full_time,19.46,PG02
E0132,D03,2017-10-16,active,full_time,28.14,
E0133,D03,2016-05-04,Active,full_time,24.18,PG02
E0134,D03,2023-01-06,ACTIVE,full_time,21.49,PG02
E0135,D03,2021-11-22,active,full_time,24.3,PG02
E0136,D03,2018-06-27,on_leave,full_time,17.76,
E0137,D03,2021-11-16,Active,full_time,28.52,
E0138,D03,2023-06-23,On_Leave,full_time,23.05,
E0139,D03,2019-07-25,TERMINATED,full_time,26.5,
E0140,D03,2019-03-31,ACTIVE,full_time,18.45,
C0021,D03,2016-08-22,active,contractor,2335.32,
C0022,D03,2016-04-21,Active,contractor,2339.78,
C0023,D03,2016-09-03,ACTIVE,contractor,2831.61,PG02
C0024,D03,2023-01-03,active,contractor,2428.9,
C0025,D03,2019-03-05,Active,contractor,2320.84,
C0026,D03,2017-01-09,ACTIVE,contractor,2093.67,
C0027,D03,2017-12-09,active,contractor,2164.73,
C0028,D03,2016-04-21,Active,contractor,2372.74,
C0029,D03,2020-02-25,ACTIVE,contractor,2282.8,
C0030,D03,2020-05-11,active,contractor,1823.77,
E0151,D04,2019-08-07,ON_LEAVE,full_time,27.0,
E0152,D04,2023-08-16,Active,full_time,27.81,
E0153,D04,2021-05-15,terminated,full_time,19.11,
E0154,D04,2023-06-14,ACTIVE,full_time,23.87,
E0155,D04,2018-10-16,active,full_time,18.75,
E0156,D04,2017-03-27,Active,full_time,25.23,
E0157,D04,2018-07-31,ACTIVE,full_time,20.73,
E0158,D04,2020-02-04,active,full_time,25.08,
E0159,D04,2021-03-02,Active,full_time,25.86,
E0160,D04,2021-09-09,on_leave,full_time,26.34,
E0161,D04,2020-09-16,ACTIVE,full_time,18.74,PG02
E0162,D04,2018-09-29,active,full_time,28.03,
E0163,D04,2019-12-08,Active,full_time,20.15,
E0164,D04,2021-10-20,ACTIVE,full_time,17.93,
E0165,D04,2015-03-25,active,full_time,23.88,
E0166,D04,2020-12-18,Active,full_time,21.77,
E0167,D04,2021-11-23,ACTIVE,full_time,27.04,
E0168,D04,2016-08-09,active,full_time,26.79,PG02
E0169,D04,2018-10-25,Active,full_time,21.15,
E0170,D04,2021-10-01,ACTIVE,full_time,28.46,
E0171,D04,2015-07-28,active,full_time,20.85,
E0172,D04,2019-04-09,Active,full_time,23.42,
E0173,D04,2015-08-08,ACTIVE,full_time,20.44,
E0174,D04,2022-11-08,active,full_time,28.26,
E0175,D04,2023-05-19,Terminated,full_time,19.39,
E0176,D04,2022-01-25,Active,full_time,18.02,
E0177,D04,2020-03-22,ACTIVE,full_time,22.5,
E0178,D04,2015-10-31,active,full_time,28.91,
E0179,D04,2018-12-20,On_Leave,full_time,27.75,
E0180,D04,2020-11-11,Active,full_time,26.11,
E0181,D04,2023-02-19,ON_LEAVE,full_time,27.74,
E0182,D04,2016-09-05,ACTIVE,full_time,27.77,
E0183,D04,2015-02-25,active,full_time,23.47,
E0184,D04,2016-12-10,Active,full_time,21.13,
E0185,D04,2021-03-26,ACTIVE,full_time,26.38,
E0186,D04,2022-04-19,active,full_time,25.11,
E0187,D04,2016-08-12,Active,full_time,21.8,PG02
E0188,D04,2018-03-26,ACTIVE,full_time,18.59,
E0189,D04,2016-06-21,active,full_time,26.09,
E0190,D04,2019-01-12,on_leave,full_time,20.52,
C0031,D04,2020-05-24,Active,contractor,2830.49,
C0032,D04,2022-02-12,ACTIVE,contractor,2065.07,
C0033,D04,2023-06-07,active,contractor,1935.03,
C0034,D04,2022-12-27,Active,contractor,2714.22,
C0035,D04,2015-06-24,ACTIVE,contractor,1968.61,
C0036,D04,2022-12-11,active,contractor,1997.2,
C0037,D04,2020-05-13,Active,contractor,2459.32,
C0038,D04,2022-06-28,ACTIVE,contractor,2762.02,
C0039,D04,2018-02-20,active,contractor,2016.08,PG02
C0040,D04,2020-05-02,Active,contractor,2141.36,
E0201,D05,2019-09-22,ACTIVE,full_time,26.44,
E0202,D05,2015-05-29,active,full_time,28.68,
E0203,D05,2015-08-27,Active,full_time,23.26,
E0204,D05,2015-01-18,ACTIVE,full_time,19.15,
E0205,D05,2019-09-17,active,full_time,17.66,
E0206,D05,2022-12-03,Active,full_time,20.14,
E0207,D05,2023-03-26,On_Leave,full_time,19.02,
E0208,D05,2016-11-14,ACTIVE,full_time,25.29,
E0209,D05,2018-11-09,ON_LEAVE,full_time,18.9,
E0210,D05,2020-04-02,active,full_time,23.32,
E0211,D05,2020-09-17,TERMINATED,full_time,25.48,
E0212,D05,2016-01-19,Active,full_time,24.18,
E0213,D05,2021-10-15,ACTIVE,full_time,19.8,
E0214,D05,2019-12-04,terminated,full_time,26.75,
E0215,D05,2019-08-12,active,full_time,25.73,
E0216,D05,2023-07-22,Terminated,full_time,26.0,
E0217,D05,2019-11-26,Active,full_time,19.01,
E0218,D05,2023-10-14,ACTIVE,full_time,18.92,
E0219,D05,2021-11-15,active,full_time,28.17,
E0220,D05,2015-10-08,Active,full_time,22.07,
E0221,D05,2016-05-25,TERMINATED,full_time,20.96,
E0222,D05,2023-10-24,ACTIVE,full_time,23.12,
E0223,D05,2016-04-29,on_leave,full_time,25.12,
E0224,D05,2020-04-11,active,full_time,28.49,
E0225,D05,2015-06-29,terminated,full_time,20.79,
E0226,D05,2015-04-10,On_Leave,full_time,28.14,
E0227,D05,2022-06-07,ON_LEAVE,full_time,17.79,
E0228,D05,2023-02-25,Active,full_time,23.88,
E0229,D05,2015-12-08,ACTIVE,full_time,24.79,
E0230,D05,2023-10-08,on_leave,full_time,18.72,
E0231,D05,2020-05-28,active,full_time,19.11,
E0232,D05,2022-03-01,Terminated,full_time,22.32,
E0233,D05,2018-08-01,Active,full_time,28.61,
E0234,D05,2018-09-19,On_Leave,full_time,24.35,
E0235,D05,2020-08-01,ACTIVE,full_time,28.23,
E0236,D05,2021-06-30,active,full_time,26.75,
E0237,D05,2022-10-17,Active,full_time,22.87,
E0238,D05,2018-03-15,ACTIVE,full_time,26.52,
E0239,D05,2020-07-23,active,full_time,17.71,
E0240,D05,2018-01-14,TERMINATED,full_time,18.76,
C0041,D05,2019-11-12,Active,contractor,2712.37,
C0042,D05,2022-07-09,ACTIVE,contractor,2676.5,
C0043,D05,2022-07-03,active,contractor,2055.9,
C0044,D05,2023-01-29,Active,contractor,2383.85,
C0045,D05,2016-12-22,ACTIVE,contractor,2466.62,
C0046,D05,2020-04-23,active,contractor,2754.51,
C0047,D05,2018-12-07,Active,contractor,2463.42,
C0048,D05,2017-07-19,ACTIVE,contractor,2253.83,
C0049,D05,2022-01-11,terminated,contractor,2211.6,
C0050,D05,2019-02-09,active,contractor,2268.47,
E0251,D02,2023-09-14,ON_LEAVE,full_time,25.0,PG02
E0252,D06,2023-01-08,on_leave,full_time,27.48,
E0253,D06,2017-01-14,On_Leave,full_time,22.72,
E0254,D06,2015-05-19,Terminated,full_time,20.35,
E0255,D06,2017-06-30,Active,full_time,20.22,
E0256,D06,2023-11-04,ACTIVE,full_time,26.08,
E0257,D06,2019-10-24,active,full_time,26.89,
E0258,D06,2015-06-29,ON_LEAVE,full_time,18.71,
E0259,D01,2015-11-29,Active,full_time,18.27,
E0260,D06,2015-12-16,on_leave,full_time,24.34,
E0261,D06,2020-09-28,ACTIVE,full_time,19.18,
E0262,D06,2023-04-07,active,full_time,26.98,PG02
E0263,D06,2022-10-31,Active,full_time,21.07,PG02
E0264,D06,2019-08-05,ACTIVE,full_time,19.15,
E0265,D06,2018-08-09,active,full_time,28.09,
E0266,D06,2021-04-01,Active,full_time,19.4,
E0267,D06,2019-05-21,ACTIVE,full_time,20.77,
E0268,D06,2019-10-19,active,full_time,19.27,
E0269,D06,2016-07-25,Active,full_time,18.83,
E0270,D04,2015-05-14,ACTIVE,full_time,17.74,
E0271,D06,2017-08-31,active,full_time,18.14,
E0272,D06,2019-08-13,Active,full_time,19.51,
E0273,D06,2016-08-14,ACTIVE,full_time,18.11,
E0274,D06,2015-02-07,active,full_time,24.3,
E0275,D06,2017-12-08,Active,full_time,25.33,
E0276,D06,2020-04-15,ACTIVE,full_time,22.03,
E0277,D06,2023-12-24,active,full_time,21.16,
E0278,D06,2015-02-18,Active,full_time,23.3,PG02
E0279,D06,2021-01-21,ACTIVE,full_time,27.56,PG02
E0280,D06,2021-04-11,active,full_time,27.29,
E0281,D06,2015-02-09,Active,full_time,18.0,
E0282,D06,2015-10-24,ACTIVE,full_time,19.59,
E0283,D06,2015-03-02,active,full_time,20.22,PG02
E0284,D06,2015-08-21,Active,full_time,20.37,
E0285,D06,2021-03-19,TERMINATED,full_time,24.07,
E0286,D06,2016-06-11,ACTIVE,full_time,22.29,
E0287,D06,2023-03-24,active,full_time,18.07,
E0288,D06,2018-05-13,On_Leave,full_time,21.8,
E0289,D06,2016-05-03,Active,full_time,23.52,
E0290,D06,2019-11-01,ACTIVE,full_time,18.67,
C0051,D06,2018-12-07,active,contractor,2716.8,
C0052,D06,2019-09-05,Active,contractor,1857.16,
C0053,D06,2018-12-23,ACTIVE,contractor,2817.33,
C0054,D06,2023-04-12,active,contractor,1909.02,PG02
C0055,D06,2020-03-09,Active,contractor,2727.93,
C0056,D06,2022-01-08,ACTIVE,contractor,2792.92,PG02
C0057,D06,2021-12-20,active,contractor,2877.53,
C0058,D06,2020-10-03,Active,contractor,2682.23,
C0059,D06,2019-07-21,ACTIVE,contractor,2657.43,
C0060,D06,2020-10-01,active,contractor,2506.73,
E0301,D07,2017-03-29,Active,full_time,26.46,
E0302,D07,2020-01-02,ACTIVE,full_time,19.05,
E0303,D07,2021-06-21,active,full_time,23.66,
E0304,D07,2019-10-04,Active,full_time,23.41,
E0305,D07,2022-04-02,ACTIVE,full_time,27.36,
E0306,D07,2021-10-31,active,full_time,22.82,
E0307,D07,2022-10-18,Active,full_time,21.93,
E0308,D07,2017-09-19,ACTIVE,full_time,24.85,
E0309,D07,2023-06-20,active,full_time,20.56,
E0310,D07,2020-09-28,ON_LEAVE,full_time,19.11,
E0311,D07,2016-10-13,Active,full_time,23.0,PG02
E0312,D07,2015-09-28,ACTIVE,full_time,22.29,
E0313,D07,2021-05-23,active,full_time,20.17,
E0314,D07,2017-10-10,Active,full_time,21.73,
E0315,D07,2017-12-08,ACTIVE,full_time,21.71,
E0316,D07,2015-11-29,active,full_time,21.27,
E0317,D07,2019-02-02,Active,full_time,21.86,
E0318,D07,2020-12-07,ACTIVE,full_time,25.39,
E0319,D07,2017-03-15,on_leave,full_time,20.91,PG02
E0320,D07,2017-03-30,active,full_time,28.41,
E0321,D07,2021-11-09,Active,full_time,28.04,
E0322,D07,2018-04-25,ACTIVE,full_time,23.03,
E0323,D07,2021-04-02,active,full_time,21.28,
E0324,D07,2020-11-11,Active,full_time,23.66,
E0325,D07,2020-01-20,ACTIVE,full_time,27.26,
E0326,D07,2022-06-25,active,full_time,25.0,
E0327,D07,2017-04-24,Active,full_time,26.75,
E0328,D07,2017-01-31,ACTIVE,full_time,23.63,
E0329,D07,2018-06-03,active,full_time,24.78,
E0330,D07,2019-08-04,On_Leave,full_time,20.81,PG02
E0331,D07,2016-03-08,Active,full_time,25.95,
E0332,D07,2022-09-16,ACTIVE,full_time,19.83,
E0333,D07,2021-03-12,active,full_time,25.49,
E0334,D07,2017-09-18,Active,full_time,27.4,
E0335,D07,2018-11-19,ACTIVE,full_time,19.02,
E0336,D07,2020-01-26,active,full_time,24.57,
E0337,D07,2019-06-12,Active,full_time,18.59,
E0338,D07,2019-12-24,ACTIVE,full_time,25.85,
E0339,D01,2018-08-16,active,full_time,18.47,
E0340,D07,2023-05-31,Active,full_time,28.26,
C0061,D07,2020-06-10,ACTIVE,contractor,1951.15,
C0062,D07,2020-05-17,active,contractor,2854.77,
C0063,D10,2018-02-27,Active,contractor,2680.97,
C0064,D07,2018-06-05,ON_LEAVE,contractor,2453.05,
C0065,D07,2016-12-07,ACTIVE,contractor,2660.89,PG02
C0066,D07,2019-05-08,on_leave,contractor,2674.63,
C0067,D07,2017-02-22,active,contractor,2840.63,
C0068,D07,2020-04-01,Active,contractor,2078.72,
C0069,D07,2017-10-17,ACTIVE,contractor,2449.08,
C0070,D07,2021-02-20,active,contractor,1904.55,
E0351,D08,2021-07-07,Active,full_time,24.59,
E0352,D08,2023-09-28,ACTIVE,full_time,19.47,
E0353,D08,2017-10-21,active,full_time,24.0,
E0354,D08,2020-01-08,Active,full_time,24.08,
E0355,D08,2016-12-07,ACTIVE,full_time,22.86,
E0356,D08,2017-03-13,active,full_time,23.51,
E0357,D08,2021-09-12,Active,full_time,26.29,
E0358,D08,2018-05-14,ACTIVE,full_time,26.69,
E0359,D08,2020-02-25,terminated,full_time,23.16,
E0360,D08,2019-01-29,active,full_time,24.4,
E0361,D08,2023-08-21,Active,full_time,28.21,
E0362,D08,2016-05-21,ACTIVE,full_time,18.88,
E0363,D08,2022-06-11,active,full_time,18.85,
E0364,D08,2016-01-03,Active,full_time,18.51,
E0365,D08,2015-01-31,ACTIVE,full_time,25.07,
E0366,D08,2023-05-26,active,full_time,22.31,
E0367,D08,2016-12-22,Active,full_time,26.4,
E0368,D08,2021-08-16,ACTIVE,full_time,25.22,
E0369,D08,2020-03-22,active,full_time,21.34,
E0370,D08,2019-04-24,Active,full_time,27.83,
E0371,D08,2016-12-01,ACTIVE,full_time,26.27,
E0372,D08,2021-03-25,active,full_time,20.61,
E0373,D08,2023-08-03,Active,full_time,21.69,
E0374,D08,2021-03-31,ACTIVE,full_time,21.12,
E0375,D08,2021-04-17,active,full_time,19.31,
E0376,D08,2023-04-19,Terminated,full_time,19.2,
E0377,D08,2023-11-10,Active,full_time,28.27,
E0378,D08,2015-09-11,ACTIVE,full_time,22.54,
E0379,D08,2016-03-13,active,full_time,21.91,
E0380,D08,2021-12-17,Active,full_time,25.89,
E0381,D08,2021-03-16,ACTIVE,full_time,23.86,
E0382,D08,2016-04-26,active,full_time,28.27,
E0383,D08,2020-06-11,On_Leave,full_time,26.47,
E0384,D08,2021-07-24,TERMINATED,full_time,23.01,
E0385,D08,2016-10-30,Active,full_time,21.83,
E0386,D08,2019-06-12,ACTIVE,full_time,28.85,
E0387,D08,2021-03-31,active,full_time,25.75,
E0388,D08,2022-07-05,Active,full_time,28.44,
E0389,D08,2016-07-11,ACTIVE,full_time,18.86,
E0390,D08,2021-10-29,active,full_time,27.28,
C0071,D08,2023-04-12,Active,contractor,2500.78,
C0072,D08,2018-01-17,ACTIVE,contractor,1934.11,
C0073,D08,2020-04-02,active,contractor,2447.08,
C0074,D08,2017-06-19,Active,contractor,2554.71,
C0075,D08,2015-12-20,ACTIVE,contractor,1813.53,
C0076,D08,2019-10-25,active,contractor,2299.75,
C0077,D08,2020-11-23,Active,contractor,2707.94,
C0078,D08,2017-01-31,terminated,contractor,2124.89,
C0079,D08,2022-04-17,Terminated,contractor,2304.4,
C0080,D08,2017-07-26,ON_LEAVE,contractor,2286.55,
E0401,D09,2020-02-05,ACTIVE,full_time,20.97,
E0402,D09,2015-09-19,active,full_time,28.06,
E0403,D09,2015-09-07,Active,full_time,26.48,
E0404,D09,2017-03-30,ACTIVE,full_time,18.77,
E0405,D09,2018-04-07,active,full_time,28.97,
E0406,D09,2023-02-07,Active,full_time,27.61,
E0407,D09,2019-09-25,ACTIVE,full_time,20.76,
E0408,D09,2020-01-20,on_leave,full_time,27.12,
E0409,D09,2021-11-18,active,full_time,18.72,
E0410,D09,2019-05-24,Active,full_time,28.99,PG02
E0411,D09,2017-01-13,ACTIVE,full_time,25.16,
E0412,D09,2017-06-24,active,full_time,24.98,
E0413,D09,2016-10-22,Active,full_time,18.54,
E0414,D09,2015-12-06,ACTIVE,full_time,27.82,
E0415,D09,2022-07-23,active,full_time,17.83,
E0416,D09,2021-04-04,Active,full_time,20.27,
E0417,D01,2022-02-02,ACTIVE,full_time,19.14,
E0418,D09,2017-01-28,active,full_time,26.43,
E0419,D09,2022-05-05,Active,full_time,19.78,
E0420,D09,2022-06-30,TERMINATED,full_time,27.97,
E0421,D09,2021-05-31,ACTIVE,full_time,25.05,
E0422,D09,2016-09-29,On_Leave,full_time,17.92,
E0423,D09,2019-06-25,active,full_time,17.56,
E0424,D09,2015-07-15,Active,full_time,18.09,
E0425,D09,2022-04-11,ACTIVE,full_time,24.47,
E0426,D09,2017-01-17,active,full_time,26.72,PG02
E0427,D09,2018-11-25,Active,full_time,20.24,
E0428,D09,2019-03-04,ACTIVE,full_time,27.27,
E0429,D09,2015-01-08,ON_LEAVE,full_time,18.16,
E0430,D09,2020-06-05,on_leave,full_time,26.71,
E0431,D09,2020-09-21,active,full_time,28.17,
E0432,D09,2015-02-18,Active,full_time,26.38,
E0433,D09,2023-01-10,ACTIVE,full_time,25.53,
E0434,D09,2021-11-11,active,full_time,27.14,
E0435,D09,2018-11-01,Active,full_time,17.96,PG02
E0436,D09,2023-06-29,ACTIVE,full_time,19.82,
E0437,D09,2016-02-25,active,full_time,18.94,PG02
E0438,D01,2016-07-10,terminated,full_time,23.3,
E0439,D09,2015-09-21,Active,full_time,26.07,PG02
E0440,D09,2017-01-13,ACTIVE,full_time,24.75,
C0081,D09,2015-02-13,active,contractor,2736.24,
C0082,D09,2015-10-23,Active,contractor,1970.73,
C0083,D09,2019-12-11,ACTIVE,contractor,2608.08,
C0084,D09,2019-07-19,active,contractor,2012.35,
C0085,D09,2017-09-21,Active,contractor,2097.83,
C0086,D09,2023-04-15,ACTIVE,contractor,2580.9,
C0087,D09,2015-03-10,active,contractor,2878.23,
C0088,D09,2016-10-31,Active,contractor,2472.7,
C0089,D09,2019-12-23,ACTIVE,contractor,1859.95,
C0090,D07,2016-03-07,active,contractor,2477.94,
E0451,D10,2019-09-24,Active,full_time,17.99,
E0452,D10,2015-11-06,ACTIVE,full_time,27.67,
E0453,D10,2016-02-20,active,full_time,25.66,
E0454,D10,2017-03-30,Active,full_time,19.49,
E0455,D10,2016-06-22,Terminated,full_time,18.55,
E0456,D10,2018-08-14,ACTIVE,full_time,19.61,
E0457,D10,2020-03-03,active,full_time,28.77,
E0458,D10,2016-12-09,Active,full_time,22.77,
E0459,D10,2022-04-02,ACTIVE,full_time,26.52,PG02
E0460,D10,2020-01-22,active,full_time,24.82,PG02
E0461,D10,2016-11-15,Active,full_time,24.08,PG02
E0462,D10,2020-11-06,ACTIVE,full_time,19.17,
E0463,D10,2023-12-26,active,full_time,28.38,
E0464,D10,2015-06-30,Active,full_time,20.97,
E0465,D01,2020-05-07,TERMINATED,full_time,24.15,
E0466,D10,2019-05-28,ACTIVE,full_time,25.55,
E0467,D10,2020-05-01,active,full_time,24.97,
E0468,D10,2019-07-08,Active,full_time,28.32,
E0469,D10,2015-11-10,ACTIVE,full_time,19.21,
E0470,D10,2018-12-15,active,full_time,23.35,
E0471,D10,2020-06-27,Active,full_time,22.15,
E0472,D10,2015-05-10,On_Leave,full_time,22.95,
E0473,D10,2019-11-21,ACTIVE,full_time,18.87,PG02
E0474,D10,2015-01-14,ON_LEAVE,full_time,19.04,
E0475,D10,2018-01-05,active,full_time,20.7,
E0476,D10,2015-11-29,terminated,full_time,21.0,
E0477,D10,2015-04-21,Active,full_time,22.42,
E0478,D10,2018-05-22,ACTIVE,full_time,24.53,
E0479,D10,2022-09-26,active,full_time,24.8,
E0480,D10,2023-02-03,Active,full_time,22.24,PG02
E0481,D10,2019-10-30,ACTIVE,full_time,22.2,
E0482,D10,2022-02-28,on_leave,full_time,20.0,
E0483,D10,2022-01-09,active,full_time,24.27,
E0484,D10,2015-09-27,Active,full_time,21.15,
E0485,D10,2023-09-11,ACTIVE,full_time,17.91,
E0486,D10,2021-03-13,active,full_time,22.31,
E0487,D10,2022-08-18,Active,full_time,22.95,
E0488,D10,2023-08-03,ACTIVE,full_time,20.09,
E0489,D10,2023-06-03,active,full_time,24.08,
E0490,D10,2015-08-11,Active,full_time,24.01,
C0091,D10,2018-10-22,ACTIVE,contractor,2572.2,
C0092,D10,2015-07-01,active,contractor,2512.74,
C0093,D10,2022-06-10,Active,contractor,2517.68,
C0094,D10,2022-11-26,ACTIVE,contractor,2147.84,
C0095,D10,2015-07-10,active,contractor,2666.18,
C0096,D10,2015-01-13,Active,contractor,2404.06,
C0097,D10,2019-08-02,ACTIVE,contractor,2274.56,
C0098,D10,2020-11-27,active,contractor,2488.61,
C0099,D10,2020-06-21,Active,contractor,2196.72,
C0100,D10,2017-12-11,ACTIVE,contractor,2364.01,
