employee_id,week_start,to_dept_id,reassigned_hours,reassignment_reason
C0043,2024-03-25,D01,4.94,project_support
C0005,2024-01-22,D04,8.44,project_support
E0475,2024-03-04,D03,5.6,coverage
E0129,2024-03-11,D01,9.63,coverage
E0488,2024-01-22,D02,7.0,coverage
E0038,2024-03-11,D05,9.74,project_support
E0135,2024-01-22,D09,2.53,training
C0011,2024-02-19,D09,4.99,coverage
E0236,2024-03-11,D03,2.42,project_support
E0217,2024-02-19,D03,3.2,training
C0005,2024-01-08,D03,5.05,project_support
E0037,2024-02-12,D08,5.51,coverage
E0327,2024-03-25,D05,6.58,training
E0040,2024-03-04,D10,8.86,coverage
E0289,2024-03-18,D04,5.46,coverage
E0239,2024-03-18,D10,9.45,training
C0008,2024-03-18,D06,5.41,training
E0287,2024-02-26,D07,6.59,coverage
E0027,2024-02-12,D09,6.45,training
E0254,2024-02-05,D03,2.94,coverage
E0159,2024-03-25,D06,8.6,coverage
C0035,2024-01-01,D05,8.37,coverage
E0177,2024-02-19,D03,3.54,coverage
E0429,2024-03-18,D07,3.38,project_support
C0010,2024-03-11,D10,2.85,training
C0084,2024-03-04,D02,2.0,coverage
E0414,2024-01-22,D05,6.55,training
E0484,2024-03-04,D04,6.28,project_support
E0489,2024-01-08,D06,8.91,training
C0014,2024-02-19,D07,4.18,training
E0162,2024-02-05,D07,4.19,coverage
E0417,2024-03-25,D02,7.68,coverage
C0036,2024-03-11,D03,5.57,training
E0156,2024-02-19,D07,3.88,coverage
E0359,2024-01-08,D06,7.66,training
E0040,2024-02-05,D06,5.92,project_support
C0019,2024-02-12,D03,7.61,training
C0026,2024-01-01,D01,6.33,project_support
E0468,2024-01-22,D02,8.01,coverage
C0093,2024-02-26,D09,4.06,project_support
E0390,2024-02-12,D07,5.05,coverage
E0358,2024-01-15,D02,4.25,project_support
C0074,2024-03-04,D07,2.61,coverage
E0412,2024-03-11,D01,6.64,coverage
E0224,2024-02-12,D04,5.46,training
E0483,2024-02-05,D01,4.74,coverage
E0027,2024-01-08,D07,5.45,coverage
E0268,2024-03-18,D02,8.55,project_support
E0080,2024-01-08,D03,5.17,coverage
C0051,2024-02-19,D08,6.75,training
E0101,2024-02-05,D07,5.89,project_support
E0409,2024-03-25,D02,9.92,coverage
C0020,2024-02-05,D04,5.79,coverage
E0086,2024-03-04,D07,9.0,training
E0436,2024-01-01,D10,2.96,coverage
E0078,2024-03-18,D10,7.87,coverage
E0454,2024-01-15,D07,2.64,coverage
C0007,2024-02-05,D06,7.71,training
E0230,2024-02-05,D08,6.59,coverage
E0401,2024-03-04,D08,6.72,coverage
E0468,2024-03-25,D07,2.61,coverage
E0326,2024-02-05,D10,2.72,project_support
E0425,2024-01-29,D01,4.95,coverage
E0155,2024-02-12,D10,7.46,coverage
E0223,2024-01-15,D04,9.33,training
E0032,2024-02-05,D09,5.06,project_support
E0457,2024-01-29,D02,6.31,training
E0212,2024-02-26,D02,3.37,coverage
E0271,2024-01-08,D04,4.83,training
E0018,2024-02-26,D03,4.46,training
E0163,2024-02-05,D02,5.8,training
C0077,2024-03-04,D09,7.12,coverage
C0100,2024-01-08,D07,2.89,training
E0155,2024-01-15,D03,6.19,coverage
E0079,2024-02-05,D01,9.07,training
C0023,2024-02-05,D06,2.44,coverage
E0052,2024-03-04,D06,5.01,coverage
E0018,2024-03-04,D08,3.98,training
E0080,2024-01-15,D05,8.63,training
E0407,2024-02-05,D01,2.41,training
E0090,2024-01-15,D06,3.89,project_support
C0004,2024-02-19,D04,8.31,training
C0078,2024-01-29,D09,7.52,coverage
E0290,2024-03-25,D02,8.23,coverage
E0307,2024-01-08,D09,3.89,project_support
E0486,2024-01-29,D03,8.62,training
E0372,2024-01-29,D05,6.01,project_support
E0260,2024-03-11,D05,8.51,coverage
E0416,2024-03-11,D04,6.8,coverage
E0460,2024-03-25,D03,6.65,coverage
C0027,2024-01-29,D10,4.05,coverage
E0073,2024-03-18,D05,2.7,training
E0170,2024-02-19,D05,3.29,coverage
E0269,2024-03-25,D07,8.19,coverage
E0018,2024-02-12,D09,4.39,project_support
E0384,2024-03-18,D07,9.27,training
E0289,2024-01-01,D01,4.86,training
E0420,2024-01-15,D07,5.78,coverage
E0229,2024-01-08,D04,7.72,project_support
E0338,2024-03-18,D02,8.74,project_support
E0288,2024-01-15,D02,3.81,project_support
E0228,2024-01-29,D07,3.4,project_support
E0084,2024-01-22,D10,4.54,training
E0457,2024-01-22,D07,5.31,coverage
E0206,2024-02-05,D04,2.88,coverage
C0010,2024-01-15,D05,9.22,training
E0130,2024-03-25,D02,6.95,coverage
E0074,2024-03-25,D09,7.23,project_support
E0054,2024-01-22,D05,9.88,project_support
E0479,2024-01-01,D05,3.28,training
C0025,2024-01-22,D02,8.32,coverage
E0451,2024-03-18,D04,5.88,coverage
E0154,2024-03-18,D10,8.61,project_support
C0036,2024-03-04,D08,8.03,training
E0360,2024-01-01,D01,9.59,coverage
E0282,2024-01-29,D10,9.37,training
E0183,2024-02-19,D09,6.12,project_support
E0457,2024-01-22,D01,8.02,coverage
E0418,2024-02-19,D07,5.17,project_support
E0405,2024-03-18,D08,4.74,coverage
E0335,2024-03-11,D06,6.7,training
E0171,2024-03-04,D07,3.4,coverage
E0157,2024-02-19,D07,4.45,coverage
E0387,2024-01-08,D09,7.1,project_support
E0321,2024-02-26,D08,8.19,coverage
E0340,2024-02-26,D08,5.44,project_support
C0054,2024-01-15,D05,9.07,training
E0312,2024-02-12,D09,2.83,coverage
C0044,2024-01-08,D09,8.1,coverage
E0389,2024-03-18,D07,4.22,coverage
