department_id,week_start,budgeted_hours,headcount_target,avg_hourly_rate,overtime_budget_pct
D09,2024-03-04,2129.8,57,24.36,6.2
D09,2024-03-11,2437.1,62,21.28,14.5
D09,2024-03-18,2253.1,74,24.94,13.9
D09,2024-03-25,2231.4,64,21.19,6.3
D10,2024-01-01,2323.5,47,24.42,14.4
D10,2024-01-08,2272.6,46,23.78,11.0
D10,2024-01-15,2199.1,56,24.62,13.7
D10,2024-01-22,2767.2,50,24.82,12.7
D10,2024-01-29,2199.5,55,23.37,10.2
D10,2024-02-05,2293.2,58,22.53,13.8
D10,2024-02-12,2594.0,56,22.57,7.8
D10,2024-02-19,2554.2,50,24.98,6.2
D10,2024-02-26,2120.2,62,23.1,9.8
D10,2024-03-04,2690.3,64,24.95,8.0
D10,2024-03-11,2781.1,72,24.71,6.0
D10,2024-03-18,2622.9,61,24.28,6.9
D10,2024-03-25,2595.0,61,24.08,9.4
